bgc_id	bgc_label	is_main4	bgc_type	known_cluster	start	end	length_kb	4mC_T1_internal	4mC_T1_flank	density_4mC_T1	density_flank_4mC_T1	4mC_T2_internal	4mC_T2_flank	density_4mC_T2	density_flank_4mC_T2	4mC_T3_internal	4mC_T3_flank	density_4mC_T3	density_flank_4mC_T3	6mA_T1_internal	6mA_T1_flank	density_6mA_T1	density_flank_6mA_T1	6mA_T2_internal	6mA_T2_flank	density_6mA_T2	density_flank_6mA_T2	6mA_T3_internal	6mA_T3_flank	density_6mA_T3	density_flank_6mA_T3
NC_003888.3_region17	RED	True	prodigiosin,NRPS-like,T1PKS	undecylprodigiosin	6423649	6476442	52.794	15	8	0.2841	0.8	15	7	0.2841	0.7	7	5	0.1326	0.5	3	1	0.0568	0.1	1	2	0.0189	0.2	5	0	0.0947	0.0
NC_003888.3_region18	14-hydroxyisochain	False	RiPP-like	14-hydroxyisochainin	6632342	6643659	11.318	3	3	0.2651	0.3	3	5	0.2651	0.5	0	2	0.0	0.2	6	1	0.5301	0.1	6	1	0.5301	0.1	5	1	0.4418	0.1
NC_003888.3_region19	geosmin	False	terpene	geosmin	6656218	6678399	22.182	4	1	0.1803	0.1	7	1	0.3156	0.1	1	1	0.0451	0.1	5	1	0.2254	0.1	5	0	0.2254	0.0	8	2	0.3607	0.2
NC_003888.3_region20	enduracidin A	False	NI-siderophore	enduracidin A/enduracidin B	6833314	6864522	31.209	6	2	0.1923	0.2	10	2	0.3204	0.2	4	2	0.1282	0.2	5	0	0.1602	0.0	5	0	0.1602	0.0	7	1	0.2243	0.1
NC_003888.3_region21	CPK	True	T1PKS,butyrolactone,hydrogen-cyanide	coelimycin P1	6880897	6956537	75.641	12	3	0.1586	0.3	14	4	0.1851	0.4	11	3	0.1454	0.3	14	3	0.1851	0.3	19	2	0.2512	0.2	16	2	0.2115	0.2
NC_003888.3_region22	nogalamycin	False	thioamide-NRP,NRPS	nogalamycin	7088263	7142447	54.185	9	2	0.1661	0.2	19	3	0.3507	0.3	4	2	0.0738	0.2	18	2	0.3322	0.2	23	2	0.4245	0.2	25	3	0.4614	0.3
NC_003888.3_region23	SapB	False	lanthipeptide-class-iii	SapB	7409741	7432456	22.716	4	2	0.1761	0.2	3	3	0.1321	0.3	3	1	0.1321	0.1	9	5	0.3962	0.5	9	5	0.3962	0.5	14	8	0.6163	0.8
NC_003888.3_region24	hopene	False	terpene	hopene	7506016	7532758	26.743	2	1	0.0748	0.1	3	4	0.1122	0.4	1	0	0.0374	0.0	7	1	0.2618	0.1	3	1	0.1122	0.1	4	0	0.1496	0.0
NC_003888.3_region25	Bisenarsan	False	PKS-like,T1PKS	Bisenarsan	7570411	7618555	48.145	9	3	0.1869	0.3	16	7	0.3323	0.7	12	5	0.2492	0.5	4	2	0.0831	0.2	6	2	0.1246	0.2	5	2	0.1039	0.2
NC_003888.3_region26	lanthipeptide-clas	False	lanthipeptide-class-i		7682906	7709360	26.455	1	0	0.0378	0.0	7	2	0.2646	0.2	2	0	0.0756	0.0	0	2	0.0	0.2	1	3	0.0378	0.3	1	3	0.0378	0.3
NC_003888.3_region27	germicidin	False	other,T3PKS	germicidin	7973469	8047475	74.007	3	1	0.0405	0.1	21	3	0.2838	0.3	11	0	0.1486	0.0	19	1	0.2567	0.1	14	1	0.1892	0.1	15	2	0.2027	0.2
NC_003888.3_region28	5-dimethylallylind	False	indole	5-dimethylallylindole-3-acetonitrile	8269636	8290764	21.129	1	0	0.0473	0.0	5	1	0.2366	0.1	4	0	0.1893	0.0	1	2	0.0473	0.2	2	3	0.0947	0.3	6	2	0.284	0.2
NC_003888.3_region29	coelibactin	False	T3PKS,NRP-metallophore,NRPS,terpene	coelibactin	8475101	8549581	74.481	4	0	0.0537	0.0	29	2	0.3894	0.2	15	2	0.2014	0.2	20	0	0.2685	0.0	14	1	0.188	0.1	15	2	0.2014	0.2
