locus_tag	start	end	strand	product	protein_id	T1_mean	T2_mean	T3_mean	category	spearman_rho	spearman_pval
SC_RS22725	4510885	4511700	-	tRNA (guanosine(46)-N7)-methyltransferase TrmB	WP_003974862.1	446.7079314465536	84.47010934444131	85.35074007723979	RNA MTase	0.5	0.6666666666666666
SC_RS13720	2508881	2509552	+	O-methyltransferase	WP_003976466.1	183.9038161039435	348.7646399342845	173.2422796259209	O-methyltransferase	0.5	0.6666666666666666
SC_RS13305	2423298	2424173	+	3-methyl-2-oxobutanoate hydroxymethyltransferase	WP_003976556.1	453.34455212475854	124.43464945091924	360.45325486809384	Small molecule MTase	0.5	0.6666666666666666
SC_RS12910	2337400	2338119	-	class I SAM-dependent methyltransferase	WP_037897775.1	76.78990510339129	30.93402759714095	42.965475288281105	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS24685	4924984	4925628	-	class I SAM-dependent DNA methyltransferase	WP_003974444.1	324.80802529916514	33.84850611965863	66.10033450311492	DNA MTase (unspecified)	0.5	0.6666666666666666
SC_RS35335	7353207	7356839	+	BREX-2 system adenine-specific DNA-methyltransferase PglX	WP_011031053.1	1666.2580911243465	1989.2951319815177	979.8380238270424	BREX system MTase	0.5	0.6666666666666666
SC_RS23200	4612173	4612988	-	class I SAM-dependent methyltransferase	WP_003974768.1	88.26492427741964	36.82396125887368	58.92184245716262	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS11895	2112316	2113110	-	methyltransferase domain-containing protein	WP_003976846.1	164.0225914798529	206.88309840169197	104.2402759744582	Protein MTase	0.5	0.6666666666666666
SC_RS09790	1666903	1668129	-	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE	WP_003977269.1	146.49788486251052	65.4094780219104	87.45013028927764	Small molecule MTase	0.5	0.6666666666666666
SC_RS27295	5459908	5460726	+	class I SAM-dependent methyltransferase	WP_011030011.1	76.89106259099084	86.03599137398534	62.70315657739709	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666
SC_RS29000	5833806	5835062	+	serine hydroxymethyltransferase	WP_003973633.1	90.32876498521227	82.4699642790302	121.83250952362316	Small molecule MTase	-0.5	0.6666666666666666
SC_RS28465	5715872	5716681	+	class I SAM-dependent methyltransferase	WP_011030136.1	332.8299534185339	1525.429686073751	842.2677338715035	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS02900	180084	180824	-	class I SAM-dependent methyltransferase	WP_011026914.1	46.97384480171146	72.89396029640932	47.69004033379665	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS30165	6094782	6095669	-	class I SAM-dependent methyltransferase	WP_011030324.1	36.63356549503521	582.5761320722996	328.9967761741212	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS37490	7843106	7843768	+	methyltransferase domain-containing protein	WP_231909205.1	9.209306237257202	3.936466876027754	26.25438287745989	Protein MTase	-0.5	0.6666666666666666
SC_RS41180	8626338	8627069	-	class I SAM-dependent methyltransferase	WP_011031927.1	85.1752851840583	237.8677599390039	160.81426349835647	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS40760	8550431	8551234	+	SAM-dependent methyltransferase	WP_011031850.1	22.235037433117174	461.0211166825376	330.53472990359415	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS40690	8538368	8539246	+	geranyl diphosphate 2-C-methyltransferase	WP_011031840.1	4.63311416124746	172.0150684471688	97.06206436200624	Terpenoid MTase	-0.5	0.6666666666666666
SC_RS40100	8403793	8404608	+	SAM-dependent methyltransferase	WP_011031761.1	76.96872199173879	314.9457370284834	203.3960183132117	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS39465	8267283	8268311	-	methyltransferase	WP_003971690.1	14.18074939236898	65.35485167508368	59.352310756254475	MTase (general)	-0.5	0.6666666666666666
SC_RS37505	7844776	7845501	+	class I SAM-dependent methyltransferase	WP_003972089.1	31.293943797703218	96.23671744404346	46.86340057470949	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS35235	7327541	7328326	+	SAM-dependent methyltransferase	WP_011031037.1	39.79272530262506	94.76419197391176	70.53881129251475	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS32685	6687926	6688708	+	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(O)	WP_011030647.1	9.816886256977902	5.367313012984217	44.957573698708565	RNA MTase	-0.5	0.6666666666666666
SC_RS35230	7326508	7327326	-	SAM-dependent methyltransferase	WP_016327797.1	428.0157541080114	1373.3988118874397	460.5366713804114	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS34935	7246146	7247090	+	class I SAM-dependent methyltransferase	WP_003972431.1	69.78482548117832	143.234093686031	115.7184475713726	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS34875	7230397	7231212	-	SAM-dependent methyltransferase	WP_003972443.1	78.65714720336571	97.05387849975244	88.0266042285549	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS34745	7199504	7200325	-	methyltransferase domain-containing protein	WP_011030973.1	58.55725841728482	4982.37498844687	275.26799460386934	Protein MTase	-0.5	0.6666666666666666
SC_RS33005	6752734	6753294	+	methylated-DNA--[protein]-cysteine S-methyltransferase	WP_011030689.1	22.201613434731065	119.4229233708326	97.17983147494064	Protein MTase	-0.5	0.6666666666666666
SC_RS32935	6738552	6739466	-	homocysteine S-methyltransferase	WP_011030679.1	72.23445034289178	60.65560778920167	72.27712689551983	DNA repair MTase	-0.5	0.6666666666666666
SC_RS34900	7233979	7234725	+	class I SAM-dependent methyltransferase	WP_003972438.1	74.68853514707666	112.0960356032448	99.88760106901609	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS41210	8631557	8632408	+	class I SAM-dependent methyltransferase	WP_011031934.1	64.05272971621837	378.4907302979939	173.82597182526536	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS11995	2129838	2130524	-	class I SAM-dependent methyltransferase	WP_011028084.1	48.64064720538695	874.0108619697036	420.3633311899227	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS18190	3524828	3525871	-	class I SAM-dependent methyltransferase	WP_016326468.1	13.610255874949674	1500.7779583572349	919.5250530090974	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS06885	1038243	1040561	+	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	WP_011027494.1	352.51940783295066	3558.9082035346764	400.68954028918273	DNA repair MTase	-0.5	0.6666666666666666
SC_RS06595	976453	977265	-	SAM-dependent methyltransferase	WP_011027452.1	79.1924294973838	507.9460971821864	191.87049395257205	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS06515	958016	958987	+	L-histidine N(alpha)-methyltransferase	WP_011027441.1	58.66351094147922	1759.0127774138898	320.9429307264898	Histidine MTase	-0.5	0.6666666666666666
SC_RS11875	2109316	2109870	+	methylated-DNA--[protein]-cysteine S-methyltransferase	WP_011028072.1	398.48129306286097	18780.13529178491	2000.3037162311912	Protein MTase	-0.5	0.6666666666666666
SC_RS26525	5302468	5303406	-	class I SAM-dependent methyltransferase	WP_011029919.1	32.317954958256784	2316.523336968715	491.8559784331556	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS13590	2483598	2484278	+	class I SAM-dependent methyltransferase	WP_003976501.1	131.89033567155357	272.6568383265366	138.36983327431506	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS05730	805153	805797	+	HemK2/MTQ2 family protein methyltransferase	WP_173943921.1	37.326839308005496	153.7049282874552	79.4958985910401	Protein MTase	-0.5	0.6666666666666666
SC_RS05450	744945	745763	-	SAM-dependent methyltransferase	WP_003978157.1	1029.6134643036796	6965.213136079846	3340.4747227014627	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS07760	1222188	1222787	+	class I SAM-dependent methyltransferase	WP_011027620.1	61.90721241142697	135.27359913324997	82.92777336178749	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS17785	3433453	3434364	-	trans-aconitate 2-methyltransferase	WP_011028784.1	43.07029351717953	39.17167528082203	235.3388275643996	Small molecule MTase	-0.5	0.6666666666666666
SC_RS17580	3384933	3386249	-	SAM-dependent methyltransferase	WP_011028761.1	256.07310138106044	8629.613965985074	477.1860540102283	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS18820	3696891	3697673	-	class I SAM-dependent methyltransferase	WP_011028920.1	38.35987464751967	132.2068372605639	114.67041581325002	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS19670	3878757	3879503	-	DNA-methyltransferase	WP_011029046.1	3.7825582139960545	2.934884828407481	48.02974459760939	DNA MTase (unspecified)	-0.5	0.6666666666666666
SC_RS26520	5301340	5302356	-	class I SAM-dependent methyltransferase	WP_011029918.1	173.24548613255988	914.4964954267158	352.6583553098513	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS26345	5269286	5270731	+	glycine hydroxymethyltransferase	WP_003974134.1	267.62829032886026	498.94025884941584	271.6311104545079	Small molecule MTase	-0.5	0.6666666666666666
SC_RS24550	4897553	4898155	+	O-methyltransferase	WP_161270162.1	14.685739391810566	8.76352966323104	36.69105067856605	O-methyltransferase	-0.5	0.6666666666666666
SC_RS03870	413247	414497	+	class I SAM-dependent methyltransferase	WP_011027081.1	4.51792551197752	5494.771971843066	2827.1804614913076	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS20850	4115028	4115813	+	class I SAM-dependent methyltransferase	WP_011029204.1	16.765841232509306	16.253807696416754	41.2555932863338	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS19770	3896173	3897147	+	DNA cytosine methyltransferase	WP_254613693.1	11.04321239273056	4.593498996940218	62.12948389870852	DNA cytosine MTase (Dcm-like, 5mC)	-0.5	0.6666666666666666
SC_RS06935	1050595	1051344	+	class I SAM-dependent methyltransferase	WP_011027504.1	19.01939828651021	2020.5220370418629	757.4690295540325	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS19420	3818491	3819297	-	methyltransferase domain-containing protein	WP_234025335.1	22.490257297303163	7.817440683833138	52.64300084796909	Protein MTase	-0.5	0.6666666666666666
SC_RS03935	426015	426833	-	SAM-dependent methyltransferase	WP_011027090.1	145.09353927696654	1388.6796673732676	730.6619443371713	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS04540	557029	557844	+	SAM-dependent methyltransferase	WP_003978338.1	294.73441086804587	788.4575826900697	370.66853067016456	SAM-dependent MTase (unclassified)	-0.5	0.6666666666666666
SC_RS04895	635776	636516	-	class I SAM-dependent methyltransferase	WP_011027230.1	15.989812982196232	31.71641410072912	53.484337844051986	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS05160	690228	690923	+	class I SAM-dependent methyltransferase	WP_011027271.1	25.218954802389757	119.53970526596412	153.18435838750258	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS40540	8494577	8495092	-	isoprenylcysteine carboxyl methyltransferase family protein	WP_011031817.1	0.7760282503130767	1.635431133785558	23.379382443888954	Protein MTase	-1.0	0.0
SC_RS06105	883113	883760	-	class I SAM-dependent methyltransferase	WP_003978024.1	11.02918123106017	18.81794053353983	40.26226783959407	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS40630	8523760	8524488	+	class I SAM-dependent methyltransferase	WP_003971452.1	3.807400779642164	7.011316634313949	35.74977542853039	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS37815	7907864	7908628	-	class I SAM-dependent methyltransferase	WP_003972025.1	0.0	1.8250933731998469	38.961143571801934	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS39430	8259792	8260529	+	SAM-dependent methyltransferase	WP_011031670.1	9.112165945908478	13.40093021102004	50.819358868313394	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS27630	5535661	5536287	-	class I SAM-dependent methyltransferase	WP_011030052.1	18.6986749043465	33.10367089704861	675.4749683247163	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS36945	7712024	7712521	+	SAM-dependent methyltransferase	WP_134111936.1	150.74422508337818	265.2639424224678	464.4990124904198	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS36850	7692907	7694997	-	methyltransferase%2C FxLD system	WP_011031310.1	62.73149326035269	179.2027880970338	1171.5675202171665	FxLD system MTase	-1.0	0.0
SC_RS36625	7654146	7654901	+	DNA-methyltransferase	WP_011031270.1	2.7178861011108766	3.948058393401344	45.995400720688	DNA MTase (unspecified)	-1.0	0.0
SC_RS36410	7617112	7618383	-	DNA cytosine methyltransferase	WP_011031229.1	1.3465217677323842	4.245930040402993	64.9063069631264	DNA cytosine MTase (Dcm-like, 5mC)	-1.0	0.0
SC_RS08195	1319887	1320564	+	class I SAM-dependent methyltransferase	WP_011027667.1	371.13005467879407	408.430080628569	851.7312308381332	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS08355	1349799	1350677	+	class I SAM-dependent methyltransferase	WP_003977552.1	1.7096933272428128	5.992347310633291	48.8874044278973	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS14675	2723027	2723800	-	SCO2525 family SAM-dependent methyltransferase	WP_003976278.1	103.29157732666576	545.171526841508	775.7623264110247	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS15340	2884761	2885426	+	class I SAM-dependent methyltransferase	WP_011028485.1	15.874624332926292	21.41684792278367	49.83970999941937	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS34620	7177711	7178433	+	class I SAM-dependent methyltransferase	WP_011030956.1	6.4331535721141035	33.97108377347696	57.44648388025356	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS34505	7151007	7151501	+	methylated-DNA--[protein]-cysteine S-methyltransferase	WP_011030939.1	18.77999680900972	50.779509941905616	64.84384709815292	Protein MTase	-1.0	0.0
SC_RS34410	7126477	7127388	+	class I SAM-dependent methyltransferase	WP_011030923.1	3.288379618530185	11.710006009012112	110.97633410037578	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS16460	3126611	3127843	+	ATP-grasp peptide maturase system methyltransferase	WP_011028638.1	69.92218397863806	90.97372808742158	94.60834229369574	Protein MTase	-1.0	0.0
SC_RS32600	6664852	6666069	+	damage-control phosphatase ARMT1 family protein	WP_134111906.1	66.37000306318187	85.03687384501063	100.4782212366079	N-6 adenine DNA MTase	-1.0	0.0
SC_RS31720	6458306	6459394	+	SAM-dependent methyltransferase	WP_003973125.1	18.154811177588417	288.9527732118817	682.9348413354861	SAM-dependent MTase (unclassified)	-1.0	0.0
SC_RS19385	3811766	3812845	-	methyltransferase domain-containing protein	WP_011028993.1	49.44295055402569	51.53593668188923	86.5120464474442	Protein MTase	-1.0	0.0
SC_RS21470	4250514	4251389	-	FkbM family methyltransferase	WP_011029280.1	97.8364122877283	141.08016995569403	274.23656611345217	FkbM family MTase	-1.0	0.0
SC_RS19765	3896019	3896120	+	DNA cytosine methyltransferase					DNA cytosine MTase (Dcm-like, 5mC)		
