locus_tag	start	end	strand	product	protein_id	T1_mean_counts	T2_mean_counts	T3_mean_counts	T2vsT1_log2FC	T2vsT1_padj	T3vsT1_log2FC	T3vsT1_padj	gene_id	T1_mean	T2_mean	T3_mean	category	spearman_rho	spearman_pval	composite_score	scoring_details
SC_RS19080	3754603	3755691	+	SAM-dependent methyltransferase	WP_011028950.1	369.1419980928493	198.6698126843655	136.2318842279316	-0.8700646200888953	1.0615703230481137e-05	-1.4146685734357618	2.994403449980952e-13	SC_RS19080	369.1419980928493	198.6698126843655	136.2318842279316	SAM-dependent MTase (unclassified)	1.0	0.0	8	rho=1.0 (+3); T1=369, ratio=3.5 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS11295	1986075	1986806	+	precorrin-2 C(20)-methyltransferase	WP_011028010.1	1582.5403205764742	947.5358910402788	246.6595034074928	-0.722651683700907	4.608645710912658e-05	-2.6710795173807993	1.1013869772266278e-50	SC_RS11295	1582.5403205764742	947.5358910402788	246.6595034074928	Small molecule MTase	1.0	0.0	8	rho=1.0 (+3); T1=1583, ratio=0.8 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS29545	5957728	5958846	-	glycine cleavage system aminomethyltransferase GcvT	WP_003973526.1	2738.3605360731544	1194.6243464863726	307.53342534237623	-1.1590580662931609	5.525458342260256e-07	-3.128982235756662	6.248973294699535e-41	SC_RS29545	2738.3605360731544	1194.6243464863726	307.53342534237623	MTase (general)	1.0	0.0	8	rho=1.0 (+3); T1=2738, ratio=0.5 (+1); Unclassified SAM MTase (+1); R-M neighbor (+2); H10 hit (+1)
SC_RS14810	2751941	2752690	-	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_003976252.1	548.6311718496328	170.596056128558	113.01169863644718	-1.6655369562938604	3.5605901894038497e-22	-2.2727119069491426	1.2819927063432012e-40	SC_RS14810	548.6311718496328	170.596056128558	113.01169863644718	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=549, ratio=2.3 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS17855	3449961	3450821	-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_003975667.1	539.9284804923994	113.35929351316648	100.74669142270648	-2.227440752185536	1.599828494154808e-28	-2.3992087916996274	5.095148663849366e-35	SC_RS17855	539.9284804923994	113.35929351316648	100.74669142270648	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=540, ratio=2.4 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS07160	1097372	1098505	+	methyltransferase	WP_161270458.1	758.3032562116546	219.59406203790073	134.63194028395398	-1.7687747792007995	7.489892886177101e-27	-2.4797348554709884	2.0378168346991245e-51	SC_RS07160	758.3032562116546	219.59406203790073	134.63194028395398	MTase (general)	1.0	0.0	8	rho=1.0 (+3); T1=758, ratio=1.7 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS28985	5831498	5832343	+	peptide chain release factor N(5)-glutamine methyltransferase	WP_003973636.1	896.3384862885556	183.65267871384225	139.17437232085203	-2.265414697217656	9.115107665493783e-40	-2.675267755095698	1.2695731365002304e-56	SC_RS28985	896.3384862885556	183.65267871384225	139.17437232085203	Protein MTase	1.0	0.0	8	rho=1.0 (+3); T1=896, ratio=1.4 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS17875	3453841	3454701	-	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	WP_003975663.1	481.8801249767893	165.2143748693428	131.82953480696384	-1.5232532411431126	2.9898786510351096e-19	-1.8475919474072424	5.395426475483978e-29	SC_RS17875	481.8801249767893	165.2143748693428	131.82953480696384	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=482, ratio=2.7 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS09775	1660653	1661471	-	TrmH family RNA methyltransferase	WP_003977273.1	308.45019611918144	138.54755033989028	85.85781046813848	-1.131951129031791	1.0684152338991352e-09	-1.8312950450105616	2.484609417003085e-23	SC_RS09775	308.45019611918144	138.54755033989028	85.85781046813848	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=308, ratio=4.2 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS09780	1661473	1662705	-	uroporphyrinogen-III C-methyltransferase	WP_003977272.1	672.1562596653762	353.86646124298204	166.78409055354084	-0.9108935198337148	4.20303487428297e-09	-1.9931087407705448	2.1127831085938287e-37	SC_RS09780	672.1562596653762	353.86646124298204	166.78409055354084	Small molecule MTase	1.0	0.0	8	rho=1.0 (+3); T1=672, ratio=1.9 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS10665	1850270	1850887	-	class I SAM-dependent methyltransferase	WP_003977095.1	442.56494868105113	194.8727562270326	166.1180938854185	-1.1620591017733102	3.0767203543888694e-10	-1.4009542607102925	7.0943022171269865e-15	SC_RS10665	442.56494868105113	194.8727562270326	166.1180938854185	SAM-dependent MTase (unclassified)	1.0	0.0	8	rho=1.0 (+3); T1=443, ratio=2.9 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS21570	4275980	4276699	+	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	WP_011029291.1	460.8667613890505	203.76688152044233	114.13021438831474	-1.157177040222061	3.2350234122089987e-10	-1.9843520987017185	3.949960619487788e-27	SC_RS21570	460.8667613890505	203.76688152044233	114.13021438831474	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=461, ratio=2.8 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS27895	5592745	5593443	-	O-methyltransferase	WP_161270547.1	894.8692285123499	320.24127871955255	218.3027281267614	-1.4637253058277175	2.7630001227129936e-19	-2.0257684086700554	5.095005615736322e-36	SC_RS27895	894.8692285123499	320.24127871955255	218.3027281267614	O-methyltransferase	1.0	0.0	8	rho=1.0 (+3); T1=895, ratio=1.4 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS12500	2247685	2248641	-	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	WP_078653284.1	839.0384676323861	136.87887254199413	119.05480108764571	-2.581552436907095	4.695309529256716e-30	-2.781829672709937	5.0594998375908114e-36	SC_RS12500	839.0384676323861	136.87887254199413	119.05480108764571	RNA MTase	1.0	0.0	8	rho=1.0 (+3); T1=839, ratio=1.5 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS11305	1987651	1988463	+	precorrin-4 C(11)-methyltransferase	WP_161270011.1	1981.0378167218264	1348.9423034511954	296.42436234158555	-0.5418140681611233	0.0012502285767843	-2.7326689542792577	8.67283475252001e-60	SC_RS11305	1981.0378167218264	1348.9423034511954	296.42436234158555	Small molecule MTase	1.0	0.0	8	rho=1.0 (+3); T1=1981, ratio=0.7 (+3); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS17645	3399763	3401802	-	N-6 DNA methylase	WP_011028768.1	245.1053184178421	51.73774494986095	145.13814106419088	-2.1949101667317077	6.480003319855991e-16	-0.7108321220350501	0.0033279494835819	SC_RS17645	245.1053184178421	51.73774494986095	145.13814106419088	N-6 adenine DNA MTase	0.5	0.6666666666666666	7	rho=0.50 (+1); T1=245, ratio=5.3 (+3); N6-adenine specific (+0); R-M neighbor (+2); H10 hit (+1)
SC_RS16160	3072689	3073546	-	class I SAM-dependent methyltransferase	WP_003975986.1	77.8491274873461	76.55993652161946	60.32686218623667	-0.0203586690868437	0.9471813314171088	-0.3252874446780308	0.2145179460248052	SC_RS16160	77.8491274873461	76.55993652161946	60.32686218623667	SAM-dependent MTase (unclassified)	1.0	0.0	7	rho=1.0 (+3); T1=78, ratio=16.6 (+2); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS25950	5169472	5170644	-	class I SAM-dependent methyltransferase	WP_161270170.1	146.92342823618904	45.88012132160341	74.81766565009978	-1.6163844353420795	1.0199843356401373e-08	-0.9135470437177152	0.0003605606609394	SC_RS25950	146.92342823618904	45.88012132160341	74.81766565009978	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	7	rho=0.50 (+1); T1=147, ratio=8.8 (+3); Unclassified SAM MTase (+1); H10 hit (+1); BLAST hit (+1)
SC_RS24685	4924984	4925628	-	class I SAM-dependent DNA methyltransferase	WP_003974444.1	324.80802529916514	33.84850611965863	66.10033450311492	-3.224755298890623	5.003945484191258e-36	-2.2454980649327156	7.074570094246949e-25	SC_RS24685	324.80802529916514	33.84850611965863	66.10033450311492	DNA MTase (unspecified)	0.5	0.6666666666666666	7	rho=0.50 (+1); T1=325, ratio=4.0 (+3); DNA MTase unspecified (+2); H10 hit (+1)
SC_RS35335	7353207	7356839	+	BREX-2 system adenine-specific DNA-methyltransferase PglX	WP_011031053.1	1666.2580911243465	1989.2951319815177	979.8380238270424	0.2500055876122167	0.1668019524224547	-0.751784818258908	8.988448493305942e-06	SC_RS35335	1666.2580911243465	1989.2951319815177	979.8380238270424	BREX system MTase	0.5	0.6666666666666666	7	rho=0.50 (+1); T1=1666, ratio=0.8 (+3); N6-adenine specific (+0); R-M neighbor (+2); H10 hit (+1)
SC_RS28835	5801998	5805600	-	BREX-2 system adenine-specific DNA-methyltransferase PglX	WP_011030180.1	604.2846826714166	395.1741142939586	381.6886995982897	-0.6011302090439018	0.0001596759695177	-0.6456827690845612	2.6219067285931795e-05	SC_RS28835	604.2846826714166	395.1741142939586	381.6886995982897	BREX system MTase	1.0	0.0	7	rho=1.0 (+3); T1=604, ratio=2.1 (+3); N6-adenine specific (+0); H10 hit (+1)
SC_RS40280	8443999	8444814	+	SAM-dependent methyltransferase	WP_003971527.1	130.1679556614349	1019.7792761410768	126.9788940847609	2.9473177655929863	1.3115069575399175e-48	-0.0514179301663354	0.8163066922239703	SC_RS40280	130.1679556614349	1019.7792761410768	126.9788940847609	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	6	rho=0.50 (+1); T1=130, ratio=9.9 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS39225	8216457	8217248	-	SAM-dependent methyltransferase	WP_003971739.1	1441.8953322015566	2409.833499770923	563.7744877590336	0.7176284748793755	0.000693655748772	-1.3313392121434269	2.1782693179242807e-10	SC_RS39225	1441.8953322015566	2409.833499770923	563.7744877590336	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	6	rho=0.50 (+1); T1=1442, ratio=0.9 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS18645	3658635	3659537	-	SAM-dependent methyltransferase	WP_011028899.1	308.0411062263118	328.60365636548573	142.14434885705433	0.0908357897375197	0.6450354861109171	-1.106915569380014	3.1235226697363756e-10	SC_RS18645	308.0411062263118	328.60365636548573	142.14434885705433	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	6	rho=0.50 (+1); T1=308, ratio=4.2 (+3); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS23365	4640855	4641799	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	WP_011029524.1	1873.481570414584	471.0649793215389	251.93193807184068	-1.9668407072520384	2.3773511165880174e-24	-2.880373531064531	5.408030659575428e-50	SC_RS23365	1873.481570414584	471.0649793215389	251.93193807184068	RNA MTase	1.0	0.0	6	rho=1.0 (+3); T1=1873, ratio=0.7 (+3); Non-DNA MTase (+0)
SC_RS24935	4974767	4975462	+	demethylmenaquinone methyltransferase	WP_003974389.1	1107.3933189983195	509.2400673283334	313.5236578683658	-1.0831232235805468	4.381173310590958e-06	-1.7898339493690951	2.2870709773724103e-14	SC_RS24935	1107.3933189983195	509.2400673283334	313.5236578683658	Small molecule MTase	1.0	0.0	6	rho=1.0 (+3); T1=1107, ratio=1.2 (+3); Non-DNA MTase (+0)
SC_RS09335	1571971	1573398	-	RsmB/NOP family class I SAM-dependent RNA methyltransferase	WP_003977354.1	1042.2457454087898	366.7075317344872	217.49887937797723	-1.4895167947459382	4.551725511681094e-21	-2.25405959732072	3.3673217490105803e-46	SC_RS09335	1042.2457454087898	366.7075317344872	217.49887937797723	RNA MTase	1.0	0.0	6	rho=1.0 (+3); T1=1042, ratio=1.2 (+3); Non-DNA MTase (+0)
SC_RS30190	6098530	6099363	+	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_003973399.1	862.0003489811597	130.88055708094177	109.74514867448568	-2.7015411128176487	4.548627020201978e-46	-2.960492735082876	5.281479329925073e-58	SC_RS30190	862.0003489811597	130.88055708094177	109.74514867448568	RNA MTase	1.0	0.0	6	rho=1.0 (+3); T1=862, ratio=1.5 (+3); Non-DNA MTase (+0)
SC_RS30440	6143019	6144125	+	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	WP_003973380.1	1694.6258833201737	1035.3358635252252	434.8755049990059	-0.6956605430257765	4.080414924566856e-05	-1.9493324121396252	3.8048621215623246e-31	SC_RS30440	1694.6258833201737	1035.3358635252252	434.8755049990059	RNA MTase	1.0	0.0	6	rho=1.0 (+3); T1=1695, ratio=0.8 (+3); Non-DNA MTase (+0)
SC_RS18690	3668023	3669720	-	bifunctional uroporphyrinogen-III C-methyltransferase/uroporphyrinogen-III synthase	WP_003975519.1	8557.44129042052	2109.916536905546	1715.870963561424	-1.9810703790894744	2.0300821716114748e-16	-2.281782303568375	2.118230211508598e-21	SC_RS18690	8557.44129042052	2109.916536905546	1715.870963561424	Small molecule MTase	1.0	0.0	6	rho=1.0 (+3); T1=8557, ratio=0.2 (+1); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS11310	1988460	1989701	+	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE	WP_161270012.1	3215.643948197115	1695.9735021190115	365.85744908851893	-0.906237348782666	4.2135428328013486e-08	-3.12755826100387	2.2362554397328745e-78	SC_RS11310	3215.643948197115	1695.9735021190115	365.85744908851893	Small molecule MTase	1.0	0.0	6	rho=1.0 (+3); T1=3216, ratio=0.4 (+1); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS29535	5955947	5957209	-	serine hydroxymethyltransferase	WP_003973528.1	5658.913287684114	3668.8931683198366	693.232831470587	-0.601868945308872	0.0078271609452213	-3.0020222914867865	2.8052022896052576e-41	SC_RS29535	5658.913287684114	3668.8931683198366	693.232831470587	Small molecule MTase	1.0	0.0	6	rho=1.0 (+3); T1=5659, ratio=0.2 (+1); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS15430	2906677	2907651	-	methyltransferase domain-containing protein	WP_011028500.1	786.7343800046388	487.4294567712504	414.1156449395203	-0.6619978041687945	0.0050937002863999	-0.9004538007260396	9.051441493907516e-05	SC_RS15430	786.7343800046388	487.4294567712504	414.1156449395203	Protein MTase	1.0	0.0	6	rho=1.0 (+3); T1=787, ratio=1.6 (+3); Non-DNA MTase (+0)
SC_RS11315	1989698	1991530	+	precorrin-3B C(17)-methyltransferase	WP_161270013.1	6045.5662402550615	3934.558365831891	734.8272535074935	-0.6048819282508514	0.0011130511835971	-3.0263131669291305	1.896427507203356e-61	SC_RS11315	6045.5662402550615	3934.558365831891	734.8272535074935	Small molecule MTase	1.0	0.0	6	rho=1.0 (+3); T1=6046, ratio=0.2 (+1); Non-DNA MTase (+0); R-M neighbor (+2)
SC_RS12910	2337400	2338119	-	class I SAM-dependent methyltransferase	WP_037897775.1	76.78990510339129	30.93402759714095	42.965475288281105	-1.2250446068249	0.0001338487119248	-0.7626913078019908	0.0084821984470573	SC_RS12910	76.78990510339129	30.93402759714095	42.965475288281105	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	5	rho=0.50 (+1); T1=77, ratio=16.8 (+2); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS23200	4612173	4612988	-	class I SAM-dependent methyltransferase	WP_003974768.1	88.26492427741964	36.82396125887368	58.92184245716262	-1.186615845429349	0.0002117060189449	-0.5186733670734611	0.0754867517758389	SC_RS23200	88.26492427741964	36.82396125887368	58.92184245716262	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	5	rho=0.50 (+1); T1=88, ratio=14.6 (+2); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS27295	5459908	5460726	+	class I SAM-dependent methyltransferase	WP_011030011.1	76.89106259099084	86.03599137398534	62.70315657739709	0.1581127664696197	0.5600844080814967	-0.268427950475296	0.2732413834789733	SC_RS27295	76.89106259099084	86.03599137398534	62.70315657739709	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	5	rho=0.50 (+1); T1=77, ratio=16.8 (+2); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS06060	874543	875343	+	class I SAM-dependent methyltransferase	WP_003978033.1	62.43704497651466	29.81542135341711	49.00939346650341	-1.006722750570742	0.0007778935192462	-0.3093181720019652	0.2456334387806335	SC_RS06060	62.43704497651466	29.81542135341711	49.00939346650341	SAM-dependent MTase (unclassified)	0.5	0.6666666666666666	5	rho=0.50 (+1); T1=62, ratio=20.6 (+2); Unclassified SAM MTase (+1); H10 hit (+1)
SC_RS22725	4510885	4511700	-	tRNA (guanosine(46)-N7)-methyltransferase TrmB	WP_003974862.1	446.7079314465536	84.47010934444131	85.35074007723979	-2.3816271969781733	5.259194404339422e-35	-2.3549885445283216	1.0179351624392355e-38	SC_RS22725	446.7079314465536	84.47010934444131	85.35074007723979	RNA MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=447, ratio=2.9 (+3); Non-DNA MTase (+0)
SC_RS13720	2508881	2509552	+	O-methyltransferase	WP_003976466.1	183.9038161039435	348.7646399342845	173.2422796259209	0.8919363576495246	8.3170691611797e-05	-0.0933157249232163	0.6922442892787454	SC_RS13720	183.9038161039435	348.7646399342845	173.2422796259209	O-methyltransferase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=184, ratio=7.0 (+3); Non-DNA MTase (+0)
SC_RS13305	2423298	2424173	+	3-methyl-2-oxobutanoate hydroxymethyltransferase	WP_003976556.1	453.34455212475854	124.43464945091924	360.45325486809384	-1.835310133956218	6.74763057617099e-18	-0.3232180771437479	0.1066783297821503	SC_RS13305	453.34455212475854	124.43464945091924	360.45325486809384	Small molecule MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=453, ratio=2.8 (+3); Non-DNA MTase (+0)
SC_RS32105	6543401	6544900	+	3' terminal RNA ribose 2'-O-methyltransferase Hen1	WP_161270254.1	294.44353703423803	71.59179978216979	99.0114319403132	-2.00838142642247	2.3224982585179648e-17	-1.5244230379365031	4.612093291636005e-12	SC_RS32105	294.44353703423803	71.59179978216979	99.0114319403132	RNA MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=294, ratio=4.4 (+3); Non-DNA MTase (+0)
SC_RS21310	4219178	4219963	-	TrmH family RNA methyltransferase	WP_011029261.1	358.6077928958111	436.622290958936	125.07900009133456	0.2739221527284936	0.1700966084913567	-1.496029423806404	1.1174165655056624e-14	SC_RS21310	358.6077928958111	436.622290958936	125.07900009133456	RNA MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=359, ratio=3.6 (+3); Non-DNA MTase (+0)
SC_RS11895	2112316	2113110	-	methyltransferase domain-containing protein	WP_003976846.1	164.0225914798529	206.88309840169197	104.2402759744582	0.3243429243706789	0.1130822904131803	-0.6259629972724713	0.0014178504143965	SC_RS11895	164.0225914798529	206.88309840169197	104.2402759744582	Protein MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=164, ratio=7.9 (+3); Non-DNA MTase (+0)
SC_RS09790	1666903	1668129	-	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE	WP_003977269.1	146.49788486251052	65.4094780219104	87.45013028927764	-1.111558557026424	7.097142585784907e-05	-0.6905542275540599	0.0083570287207158	SC_RS09790	146.49788486251052	65.4094780219104	87.45013028927764	Small molecule MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=146, ratio=8.8 (+3); Non-DNA MTase (+0)
SC_RS10000	1709299	1710147	-	TrmH family RNA methyltransferase	WP_011027873.1	913.4604244710628	106.751835715768	133.25195781560925	-3.071776232267622	4.982771390812521e-58	-2.764210186538145	1.953008673523977e-53	SC_RS10000	913.4604244710628	106.751835715768	133.25195781560925	RNA MTase	0.5	0.6666666666666666	4	rho=0.50 (+1); T1=913, ratio=1.4 (+3); Non-DNA MTase (+0)
SC_RS37540	7850449	7851291	+	putative protein N(5)-glutamine methyltransferase	WP_011031408.1	53.009960069708406	25.481688211316555	48.78222358912279	-0.991131359074828	0.0023695807123585	-0.093255896840808	0.7544996281157671	SC_RS37540	53.009960069708406	25.481688211316555	48.78222358912279	Protein MTase	0.5	0.6666666666666666	3	rho=0.50 (+1); T1=53, ratio=24.3 (+2); Non-DNA MTase (+0)
