locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	group	gene_length	gc_content	gc3	gc3_deviation	nc	rare_codon_freq	dist_oriC	region_calc	baseMean	has_gene_name	has_old_locus_tag	has_named_product	is_hypothetical	has_protein_id	is_constitutive	LFC_T2vsT1	LFC_T3vsT1	composite_conservation
SC_RS03095		SCO0233	helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-	1	Shielded	840	0.6928571428571428	0.8678571428571429	0.04647160752155566	34.840541740851044	0.043010752688172046	4050574.5	arm	47.42383554788814	False	True	True	False	True	False	0.3510988112785352	0.9778105348669064	-0.28381283647591643
SC_RS03110		SCO0236	helix-turn-helix transcriptional regulator	HTH (other)	224404	225276	-	1	Shielded	873	0.6884306987399771	0.8281786941580757	0.08615005622062288	35.77029283790316	0.06896551724137931	4047853.0	arm	39.60445367684655	False	True	True	False	True	False	1.0526452066867726	1.7519941873600655	-0.6579394034845516
SC_RS03135		SCO0241	TetR/AcrR family transcriptional regulator	TetR	229995	230669	+	1	Shielded	675	0.6918518518518518	0.8755555555555555	0.03877319482314301	36.168633753075376	0.022321428571428572	4042361.0	arm	36.138061787905976	False	True	True	False	True	False	0.2967320614247226	1.2919282371871128	-0.20001242126357308
SC_RS03175		SCO0250	TetR/AcrR family transcriptional regulator	TetR	239858	240523	+	1	Shielded	666	0.7357357357357357	0.8918918918918919	0.022436858486806655	34.97625109873251	0.049773755656108594	4032502.5	arm	91.3979724334288	False	True	True	False	True	False	-1.1172802415794452	-0.9699274878551772	-0.27566751336223116
SC_RS03185		SCO0253	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	242203	242766	+	1	Shielded	564	0.7145390070921985	0.9202127659574468	0.005884015578748292	34.37628566346455	0.053475935828877004	4030208.5	arm	73.19986180420189	False	True	True	False	True	False	-0.2353378035035249	-0.7205633305830927	-0.24045381627232024
SC_RS03195		SCO0255	sigma-54-dependent Fis family transcriptional regulator	Other regulatory	243936	245759	-	1	Shielded	1824	0.7351973684210527	0.8980263157894737	0.016302434589224868	32.85581461529776	0.03789126853377265	4027845.5	arm	48.26479708966274	False	True	True	False	True	False	-0.6120267926735176	1.740045350289085	0.21896026270724578
SC_RS03230		SCO0262	LysR family transcriptional regulator	LysR	250805	251740	+	1	Shielded	936	0.7104700854700855	0.8910256410256411	0.02330310935305746	34.94732154242971	0.05466237942122187	4021420.5	arm	106.65541328465385	False	True	True	False	True	True	0.4008340214024673	0.1857779581061298	-0.23658830739675532
SC_RS03240		SCO0264	MarR family winged helix-turn-helix transcriptional regulator	MarR	252946	253398	+	1	Shielded	453	0.7019867549668874	0.8675496688741722	0.046779081504526365	35.353820746599695	0.05333333333333334	4019521.0	arm	59.185734193842436	False	True	True	False	True	False	0.927899550045083	0.2954702719152247	-0.47952406871571907
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	-	1	Exposed	867	0.7370242214532872	0.9065743944636678	0.007754355915030708	31.986959174399054	0.017361111111111112	4017928.0	arm	34.685792597197064	False	True	True	False	True	False	0.1814637166824383	1.0523627135003395	0.165397913502926
SC_RS03295		SCO0275	ROK family transcriptional regulator	ROK	266356	267513	+	1	Shielded	1158	0.7547495682210709	0.9481865284974094	0.033857778118710824	29.905784226679515	0.025974025974025976	4005758.5	arm	60.21744793711283	False	True	True	False	True	False	-0.5011124574904358	-0.0096853856268534	0.1505132399469317
SC_RS03330		SCO0282	DeoR/GlpR family DNA-binding transcription regulator	DeoR	272898	273656	+	1	Shielded	759	0.7246376811594203	0.8893280632411067	0.025000687137591848	34.68844248465668	0.03968253968253968	3999416.0	arm	74.78998177096643	False	True	True	False	True	True	0.2007804528858386	-0.412050094183533	-0.18273963543607596
SC_RS03355		SCO0287	AraC-like ligand-binding domain-containing protein	AraC	279691	280695	+	1	Shielded	1005	0.6805970149253732	0.8388059701492537	0.07552278022944481	41.320741907438716	0.059880239520958084	3992500.0	arm	86.48657993496629	False	True	True	False	True	False	0.6109724139132588	0.6048174752981932	-0.7021149131695542
SC_RS03365		SCO0289	LacI family DNA-binding transcriptional regulator	LacI	281129	282157	-	1	Shielded	1029	0.7162293488824101	0.8892128279883382	0.025115922390360312	34.47167090002842	0.04678362573099415	3991050.0	arm	113.2508711054103	False	True	True	False	True	False	-1.23324135449965	-0.8225971176573529	-0.14630670105157723
SC_RS03400		SCO0296	TetR/AcrR family transcriptional regulator	TetR	290584	291165	+	1	Shielded	582	0.7216494845360825	0.8917525773195877	0.02257617305911086	33.33963099153503	0.03626943005181347	3981818.5	arm	63.74010326781429	False	True	True	False	True	False	-0.6869007709146461	-0.4773424087671649	-0.15114028846978828
SC_RS03410		SCO0298	LysR family transcriptional regulator	LysR	292656	293519	-	1	Shielded	864	0.7349537037037037	0.8888888888888888	0.0254398614898097	35.03544357378686	0.05226480836236934	3979605.5	arm	466.6920804150581	False	True	True	False	True	False	2.162880179285506	0.692429057457416	-0.20502404038989935
SC_RS03430		SCO0302	TetR/AcrR family transcriptional regulator	TetR	297515	298108	-	1	Shielded	594	0.7457912457912458	0.8535353535353535	0.06079339684334506	37.24062375944573	0.04568527918781726	3974881.5	arm	103.0264658729036	False	True	True	False	True	True	0.4745124893283499	0.2424616545947328	-0.5076138281047059
SC_RS03450		SCO0307	helix-turn-helix domain-containing protein	HTH (other)	303084	303971	+	1	Shielded	888	0.7376126126126126	0.8817567567567568	0.03257199362194174	36.79559663784677	0.05084745762711865	3969165.5	arm	53.45054970010108	False	True	True	False	True	False	1.023956203688079	1.0210734228792675	-0.33422954362865936
SC_RS03465		SCO0310	TetR/AcrR family transcriptional regulator	TetR	306816	307460	-	1	Shielded	645	0.703875968992248	0.8930232558139535	0.021305494564745064	32.61716403480385	0.037383177570093455	3965555.0	arm	67.45623252721481	False	True	True	False	True	True	0.1690309381069101	-0.3735438344238591	-0.11043537922417683
SC_RS03495		SCO0316	PucR family transcriptional regulator	Other regulatory	315254	316921	-	1	Shielded	1668	0.7751798561151079	0.9388489208633094	0.02452017048461086	30.580547677454874	0.025225225225225224	3956605.5	arm	49.5742095023473	False	True	True	False	True	False	1.0536515073234405	1.661513801842365	0.30983311794217
SC_RS03575		SCO0332	TetR/AcrR family transcriptional regulator	TetR	333529	334149	+	1	Shielded	621	0.7262479871175523	0.9178743961352657	0.0035456457565671284	31.947368368706144	0.024271844660194174	3938854.0	arm	50.25235622648445	False	True	True	False	True	True	0.1255201918906925	-0.0704869374825558	0.07114174374320764
SC_RS03600		SCO0337	TetR/AcrR family transcriptional regulator	TetR	340752	341318	+	1	Shielded	567	0.7231040564373897	0.8941798941798942	0.020148856198804355	32.262392548582014	0.031914893617021274	3931658.0	arm	80.77247720684656	False	True	True	False	True	True	-0.0282199003568821	-0.2607181450431699	-0.07452895950103906
SC_RS03630		SCO0344	GntR family transcriptional regulator	GntR	348206	349381	+	1	Shielded	1176	0.7431972789115646	0.8979591836734694	0.016369566705229155	37.95894035822297	0.056265984654731455	3923899.5	arm	73.68039877743618	False	True	True	False	True	True	-0.2679594837506325	0.492941927932301	-0.2626976919780562
SC_RS03635		SCO0345	IclR family transcriptional regulator	IclR	349419	350201	-	1	Shielded	783	0.7458492975734355	0.9080459770114943	0.006282773367204286	36.368035369883884	0.046153846153846156	3922883.0	arm	48.330145289609455	False	True	True	False	True	False	0.3444890370297744	0.5872388116236392	-0.20428904949416374
SC_RS03695		SCO0357	FadR/GntR family transcriptional regulator	GntR	361759	362508	-	1	Shielded	750	0.7266666666666667	0.944	0.02967124962130141	32.26775497505958	0.020080321285140562	3910559.5	arm	160.39449189567853	False	True	True	False	True	False	-0.4994119004344529	-1.1366102199287702	0.02784365626468054
SC_RS03710		SCO0360	LacI family DNA-binding transcriptional regulator	LacI	364559	365602	-	1	Shielded	1044	0.7480842911877394	0.9454022988505747	0.031073548471876156	30.609947302971083	0.01729106628242075	3907612.5	arm	158.0496524428533	False	True	True	False	True	True	0.1447372583235094	-0.3524496198663566	0.17969254262249207
SC_RS03790		SCO0376	helix-turn-helix domain-containing protein	HTH (other)	391232	391834	+	1	Shielded	603	0.7097844112769486	0.900497512437811	0.013831237940887586	39.45995814947523	0.045	3881160.0	arm	65.12025644879927	False	True	True	False	True	True	-0.4006589053837667	-0.2074840208108687	-0.38389664817770214
SC_RS03945		SCO0407	MerR family transcriptional regulator	MerR	427610	428614	+	1	Shielded	1005	0.7522388059701492	0.9044776119402985	0.00985113843840002	35.447371196666104	0.03592814371257485	3844581.0	arm	57.15842581998693	False	True	True	False	True	False	1.3036844920565769	1.46694514368741	-0.053873833211312734
SC_RS03980	sigJ	SCO0414	RNA polymerase sigma factor SigJ	Sigma factor	432617	433513	-	1	Shielded	897	0.7424749163879598	0.9264214046822743	0.012092654303575756	32.660239722755115	0.02348993288590604	3839628.0	arm	105.63573597238538	True	True	True	False	True	True	0.2039989649477898	0.1866994321487384	0.6377526586434552
SC_RS04015		SCO0421	response regulator transcription factor	Response regulator	438329	439000	-	1	Shielded	672	0.7336309523809523	0.9464285714285714	0.032099821049872856	29.406836489942947	0.008968609865470852	3834028.5	arm	24.02211733982177	False	True	True	False	True	False	1.1598787194855855	2.082712947105876	0.1564851019643905
SC_RS04020		SCO0422	sensor histidine kinase	Sensor kinase	438997	440190	-	1	Shielded	1194	0.7512562814070352	0.9246231155778895	0.010294365199190914	29.893092132183178	0.022670025188916875	3833099.5	arm	38.52320353606066	False	True	True	False	True	False	1.2908158424842628	2.70128052682275	0.2810519155110203
SC_RS04050		SCO0428	TetR/AcrR family transcriptional regulator	TetR	445611	446144	+	1	Shielded	534	0.7415730337078652	0.949438202247191	0.03510945186849246	31.42138181239924	0.01694915254237288	3826815.5	arm	63.10547918021129	False	True	True	False	True	False	-0.8348028269753959	-1.668553395474504	-0.015388939326888023
SC_RS04060		SCO0430	TetR/AcrR family transcriptional regulator	TetR	447245	447868	+	1	Shielded	624	0.7467948717948718	0.9134615384615384	0.0008672119171601045	32.443761375067716	0.043478260869565216	3825136.5	arm	164.06032145099752	False	True	True	False	True	False	-1.2501528217472195	-1.7572787909129055	-0.05335343567622064
SC_RS04075		SCO0433	helix-turn-helix domain-containing protein	HTH (other)	453370	454374	+	1	Shielded	1005	0.7293532338308458	0.9402985074626866	0.025969757083988076	32.37446707068047	0.020958083832335328	3818821.0	arm	70.32013303174631	False	True	True	False	True	False	-0.9067181621287422	-0.4286264862553396	0.09176728280485522
SC_RS04145		SCO0447	MarR family winged helix-turn-helix transcriptional regulator	MarR	465990	466436	+	1	Shielded	447	0.7002237136465325	0.87248322147651	0.04184552890218851	36.80840620494149	0.02702702702702703	3806480.0	arm	26.372570069956694	False	True	True	False	True	False	-0.9442129281634142	-0.0105433305901647	-0.3319946207136302
SC_RS04195		SCO0456	LacI family DNA-binding transcriptional regulator	LacI	475628	476671	+	1	Shielded	1044	0.7519157088122606	0.9224137931034483	0.008085042724749747	31.52227481990063	0.037463976945244955	3796543.5	arm	22.66212909134369	False	True	True	False	True	False	0.4360018885227191	2.0325119562716063	0.08690527536016668
SC_RS04245		SCO0466	GlxA family transcriptional regulator	Other regulatory	487618	488601	+	1	Shielded	984	0.7398373983739838	0.9512195121951219	0.03689076181642337	30.78767413475704	0.024464831804281346	3784583.5	arm	36.11288719186357	False	True	True	False	True	False	0.656849840565568	1.8765147753505993	0.06647725884385344
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	+	1	Exposed	981	0.764525993883792	0.9296636085626911	0.015334858183992606	31.909600608292724	0.024539877300613498	3780302.0	arm	54.117421729534186	False	True	True	False	True	False	1.1733093432665949	1.7924413873114893	0.1195618870523613
SC_RS04345		SCO0485	TetR/AcrR family transcriptional regulator	TetR	504854	505465	+	1	Shielded	612	0.7238562091503268	0.9019607843137255	0.012367966064973035	33.52927988167762	0.054187192118226604	3767533.5	arm	87.45004423505787	False	True	True	False	True	False	-1.166480643873066	-1.7147008806026507	-0.22821640897344325
SC_RS04355		SCO0487	MarR family winged helix-turn-helix transcriptional regulator	MarR	506842	507348	+	1	Shielded	507	0.73767258382643	0.8994082840236687	0.01492046635502986	36.18308494768806	0.03571428571428571	3765598.0	arm	54.23308337610128	False	True	True	False	True	True	0.2509990949013399	0.163150202483835	-0.23635832978304225
SC_RS04460		SCO0508	acyl-CoA-like ligand-binding transcription factor	Other regulatory	543545	544087	+	1	Shielded	543	0.7329650092081031	0.9116022099447514	0.0027265404339471555	33.08005241822652	0.03333333333333333	3728877.0	arm	42.02299443294939	False	True	True	False	True	False	-2.455410432554957	-1.47076747749231	-0.05078522490581753
SC_RS04480		SCO0512	TetR/AcrR family transcriptional regulator	TetR	547135	547743	-	1	Shielded	609	0.7241379310344828	0.9211822660098522	0.006853515631153662	35.15079157736902	0.039603960396039604	3725254.0	arm	84.34154159507092	False	True	True	False	True	False	0.8710166541982379	0.3167804554295489	-0.16120865082261293
SC_RS04515		SCO0520	TetR/AcrR family transcriptional regulator	TetR	553277	553861	+	1	Shielded	585	0.7299145299145299	0.9179487179487179	0.0036199675700193668	34.691784887439496	0.030927835051546393	3719124.0	arm	52.8904281943876	False	True	True	False	True	False	0.7449652467363138	-0.0405962281752214	-0.08147679772734132
SC_RS04520		SCO0521	TetR/AcrR family transcriptional regulator	TetR	553892	554473	+	1	Shielded	582	0.7491408934707904	0.9432989690721649	0.028970218693466387	30.269535839948034	0.02072538860103627	3718510.5	arm	135.32981110817587	False	True	True	False	True	False	-0.7267519064625878	-1.2962017797199263	0.047256278600144024
SC_RS04530		SCO0523	Lrp/AsnC family transcriptional regulator	Lrp	555468	555905	-	1	Shielded	438	0.723744292237443	0.952054794520548	0.037726044141849435	34.98791188772938	0.027586206896551724	3717006.5	arm	41.590717797774126	False	True	True	False	True	True	0.1443584186641425	-0.094590919048304	-0.2549872577643837
SC_RS04565		SCO0530	GntR family transcriptional regulator	GntR	561731	562576	-	1	Shielded	846	0.723404255319149	0.9219858156028369	0.0076570652241383375	31.219141247560344	0.02491103202846975	3710539.5	arm	104.76252545931855	False	True	True	False	True	False	-0.6728136108943864	-0.5485180914772065	0.14342995212903958
SC_RS04670		SCO0551	sensor histidine kinase	Sensor kinase	590981	592309	-	1	Shielded	1329	0.764484574868322	0.9367945823927766	0.022465832014078035	32.02227705037017	0.02262443438914027	3681048.0	arm	96.033361425094	False	True	True	False	True	True	0.2372264926792688	0.1439933226483048	0.19935721832780068
SC_RS04675		SCO0552	response regulator transcription factor	Response regulator	592306	592995	-	1	Shielded	690	0.7043478260869566	0.8956521739130435	0.018676576465655015	33.42257000884882	0.039301310043668124	3680042.5	arm	30.993425950424367	False	True	True	False	True	False	0.3429021036098957	0.630303549676508	-0.1333560856752898
SC_RS04705		SCO0557	MerR family transcriptional regulator	MerR	598747	599769	+	1	Shielded	1023	0.7790811339198436	0.9472140762463344	0.03288532586763582	30.450753382153813	0.01764705882352941	3673435.0	arm	302.90549386040504	False	True	True	False	True	False	-0.3724140861521582	-0.5830879932815349	0.18815039378922277
SC_RS04725		SCO0561	Fur family transcriptional regulator	Other regulatory	603385	603840	-	1	Shielded	456	0.743421052631579	0.8947368421052632	0.019591908273435377	32.06785232803923	0.046357615894039736	3669080.5	arm	626.035704134476	False	True	True	False	True	False	4.716805818310592	2.983702272825852	-0.12576195448300267
SC_RS04795		SCO0574	IclR family transcriptional regulator	IclR	616253	617086	+	1	Shielded	834	0.7517985611510791	0.960431654676259	0.046102904297560476	30.374526900946904	0.007220216606498195	3656023.5	arm	52.26913411391209	False	True	True	False	True	False	-1.010102468201226	-0.5598160529470783	0.12326878606098572
SC_RS04835		SCO0582	FadR/GntR family transcriptional regulator	GntR	624273	625034	+	1	Shielded	762	0.7335958005249343	0.9566929133858267	0.0423641630071282	29.989431200895535	0.019762845849802372	3648039.5	arm	176.78034215190206	False	True	True	False	True	False	-0.9180429434867632	-1.4809515362443284	0.06158717198584336
SC_RS04865		SCO0588	sensor histidine kinase	Sensor kinase	629185	630912	-	1	Shielded	1728	0.7557870370370371	0.9305555555555556	0.01622680517685704	30.366783571330995	0.029565217391304348	3642644.5	arm	1920.0965723621264	False	True	True	False	True	False	6.976372241992684	3.713971497920266	0.5812719754758416
SC_RS04870		SCO0589	LysR family transcriptional regulator	LysR	631216	632103	-	1	Shielded	888	0.7635135135135135	0.9324324324324325	0.018103682053733916	31.501101308268545	0.020338983050847456	3641033.5	arm	52.588621819407486	False	True	True	False	True	False	1.054127544087963	0.8664477034196086	0.12582214229392674
SC_RS04920		SCO0599	anti-sigma factor RsbA family regulatory protein	Sigma factor	638801	639730	+	1	Shielded	930	0.7408602150537634	0.9193548387096774	0.0050260883309788396	32.57401435356648	0.042071197411003236	3633427.5	arm	476.5257679737931	False	True	True	False	True	False	0.6196643888560709	0.1306431568845916	0.05848967353356417
SC_RS04925		SCO0600	RNA polymerase sigma factor SigF	Sigma factor	639859	640704	+	1	Shielded	846	0.6855791962174941	0.9432624113475178	0.02893366096881922	29.621667904701724	0.0	3632411.5	arm	554.6901747342122	False	True	True	False	True	False	-1.2591318297701912	-1.2623042038035506	0.3413934789252032
SC_RS04950		SCO0605	GlxA family transcriptional regulator	Other regulatory	645297	646232	+	1	Shielded	936	0.7350427350427351	0.9423076923076923	0.02797894192899375	30.04714875029262	0.022508038585209004	3626928.5	arm	32.19798205842999	False	True	True	False	True	False	-0.0460695847428328	1.034179401427624	0.13031090068938092
SC_RS04965	slbR	SCO0608	gamma-butyrolactone-binding regulator SlbR	Other regulatory	647887	648765	+	1	Shielded	879	0.7281001137656428	0.9453924914675768	0.031063741088878216	32.671093962173174	0.02054794520547945	3624367.0	arm	1274.994903874055	True	True	True	False	True	False	1.4874595631570964	0.9512587569581356	0.7241261270952695
SC_RS04975		SCO0610	GntR family transcriptional regulator	GntR	649840	650610	+	1	Shielded	771	0.7691309987029832	0.9455252918287937	0.031196541450095205	29.920520240398396	0.0234375	3622468.0	arm	77.91963300273865	False	True	True	False	True	False	-1.79525130114843	-1.213259309884466	0.07540152449725672
SC_RS05020		SCO0620	metal-sensitive transcriptional regulator	Other regulatory	661329	661607	-	1	Shielded	279	0.6953405017921147	0.9354838709677419	0.02115512058904334	33.31853224743384	0.03260869565217391	3611225.0	arm	141.863087508812	False	True	True	False	True	True	0.2702113151748363	-0.1112588514346406	-0.19159386770011336
SC_RS05030		SCO0622	TetR/AcrR family transcriptional regulator	TetR	662373	663014	+	1	Shielded	642	0.7398753894080997	0.897196261682243	0.01713248869645556	31.89616653034167	0.03755868544600939	3609999.5	arm	228.23415790853736	False	True	True	False	True	False	-1.3668292078247744	-2.9208570426090463	-0.0486048632052342
SC_RS05065		SCO0629	LacI family DNA-binding transcriptional regulator	LacI	671618	672727	-	1	Shielded	1110	0.7837837837837838	0.9486486486486486	0.03431989826995008	29.81613299389174	0.02710027100271003	3600520.5	arm	40.87102220594213	False	True	True	False	True	False	-1.2179066283951665	0.6074056687687585	0.12819887896960816
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	+	1	Exposed	585	0.7162393162393162	0.9128205128205128	0.0015082375581857432	36.43124388873474	0.041237113402061855	3598668.0	arm	16.630401452366712	False	True	True	False	True	False	-0.1773167519469067	1.6113360419805196	-0.21022214261157393
SC_RS05120		SCO0640	BlaI/MecI/CopY family transcriptional regulator	Other regulatory	681435	681863	-	1	Shielded	429	0.7482517482517482	0.916083916083916	0.0017551657052174985	30.63884053045942	0.035211267605633804	3591044.0	arm	238.06276391041015	False	True	True	False	True	False	-0.6111934284105836	-1.2488418444844804	0.020176349995859575
SC_RS05150		SCO0646	TetR/AcrR family transcriptional regulator	TetR	688679	689263	+	1	Shielded	585	0.7675213675213676	0.9435897435897436	0.029260993211045028	29.891741014238622	0.015463917525773196	3583722.0	arm	32.58155931270201	False	True	True	False	True	False	-0.5435455538211246	0.3780906244929008	0.08349343043716069
SC_RS05265		SCO0669	TetR/AcrR family transcriptional regulator	TetR	709071	709688	+	1	Shielded	618	0.7297734627831716	0.941747572815534	0.027418822436835466	32.31009060874282	0.00975609756097561	3563313.5	arm	64.03323433883776	False	True	True	False	True	False	-1.1509878752879124	-0.5138549291301228	0.05934252958262871
SC_RS05410			GlxA family transcriptional regulator	Other regulatory	738527	739524	+	1	Shielded	998	0.7364729458917836	0.7921686746987951	0.12216007567990339	39.01059687160674	0.07878787878787878	3533667.5	arm	79.93338553832567	False	False	True	False	False	False	1.029551486704538	1.7059424629242783	-1.914034263808939
SC_RS05445			helix-turn-helix domain-containing protein	HTH (other)	743929	744847	+	1	Shielded	919	0.6974972796517954	0.7549019607843137	0.15942678959438483	37.74982144691765	0.08169934640522876	3528305.0	arm	1238.0746027456753	False	False	True	False	False	False	1.2538408848742586	0.8832410897921971	-1.9196504869522966
SC_RS05480		SCO0711	PucR family transcriptional regulator	Other regulatory	751917	753197	-	1	Shielded	1281	0.7665886026541764	0.936768149882904	0.02243939950420548	30.368293967683503	0.02112676056338028	3520136.0	arm	26.903620411998688	False	True	True	False	True	False	-0.9458116142359604	3.6201931396096767	0.24588959992806242
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	-	1	Exposed	2826	0.7951167728237792	0.9087048832271762	0.005623867151522299	33.984096565196594	0.040382571732199786	3517962.5	arm	51.093845671660496	False	True	True	False	True	False	-0.5006499103865119	2.8676687798585383	0.48179950058917864
