SCO_ID	gene_id	gene_name	contig	start	end	strand	pfam_TF_flag	tf_related_domains	all_domains	ZorroAranda_regulator_type	CastroMelchor_regulator_flag	sigma_flag	sigma_group	TF_family	source_flags	product
	SC_RS02185		chromosome	24378	24614	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0030	SC_RS02190		chromosome	25248	25871	+	no		LTD	NA	0	no	NA	NA	NA	lamin tail domain-containing protein
SCO0031	SC_RS02195		chromosome	25843	26385	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0033	SC_RS02200		chromosome	26527	28728	-	no		BNR_2;BNR_3;DUF346	NA	0	no	NA	NA	NA	exo-alpha-sialidase
SCO0034	SC_RS02205		chromosome	29040	29519	+	no		HA	NA	0	no	NA	NA	NA	helicase associated domain-containing protein
SCO0035	SC_RS02210		chromosome	29605	30054	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0039	SC_RS02225		chromosome	31625	32137	+	no		Patatin	NA	0	no	NA	NA	NA	patatin-like phospholipase family protein
SCO0040	SC_RS02230		chromosome	32134	33357	+	no		EryCIII-like_C;Glyco_tran_28_C;Glyco_transf_4;UDPGT	NA	0	no	NA	NA	NA	glycosyltransferase
SCO0041	SC_RS02235		chromosome	33360	33845	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0042	SC_RS02240		chromosome	33842	34777	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0043	SC_RS02245		chromosome	35179	35907	-	no		NAD_binding_10;NmrA	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0044	SC_RS02250		chromosome	36006	36674	-	no		Nitroreductase;TM1586_NiRdase	NA	0	no	NA	NA	NA	nitroreductase
SCO0046	SC_RS02255		chromosome	36816	37478	+	no		FMN_red;Flavodoxin_2	NA	0	no	NA	NA	NA	FMN-dependent NADH-azoreductase
SCO0047	SC_RS02260		chromosome	37614	38768	-	yes	MarR;MarR_2	MarR;MarR_2	NA	1	no	NA	MarR	pfam;CastroMelchor	MarR family winged helix-turn-helix transcriptional regulator
	SC_RS02265		chromosome	39107	39325	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0049	SC_RS02270		chromosome	39489	39812	+	no		ANTAR	NA	0	no	NA	NA	NA	ANTAR domain-containing protein
SCO0050	SC_RS02275		chromosome	39901	40212	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0053	SC_RS02285		chromosome	41354	42174	+	no		DDE_Tnp_1;DDE_Tnp_1_2;DUF4096	NA	0	no	NA	NA	NA	IS5 family transposase
SCO0055	SC_RS02290		chromosome	42171	43682	-	no		Pentapeptide_3	NA	0	no	NA	NA	NA	oxidoreductase
SCO0057	SC_RS02295		chromosome	43950	44090	+	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02305		chromosome	44796	44975	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0059	SC_RS02310		chromosome	45267	46073	+	no		ADH_N;ADH_zinc_N	NA	0	no	NA	NA	NA	NADP-dependent oxidoreductase
SCO0060	SC_RS02315		chromosome	46064	46201	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0061	SC_RS02320		chromosome	46430	47734	-	no		Glyco_hydro_125	NA	0	no	NA	NA	NA	glycoside hydrolase family 125 protein
SCO0062	SC_RS02325		chromosome	47789	48844	-	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	NA	1	no	NA	LacI	pfam;CastroMelchor	LacI family DNA-binding transcriptional regulator
SCO0063	SC_RS02330		chromosome	48889	49824	-	no		ROK	NA	1	no	NA	NA	CastroMelchor	ROK family protein
SCO0064	SC_RS02335		chromosome	49821	51539	-	no			NA	1	no	NA	NA	CastroMelchor	class I mannose-6-phosphate isomerase
SCO0065	SC_RS02340		chromosome	51831	53144	+	no		SBP_bac_1;SBP_bac_8	NA	0	no	NA	NA	NA	ABC transporter substrate-binding protein
SCO0066	SC_RS02345		chromosome	53141	54100	+	no		BPD_transp_1	NA	0	no	NA	NA	NA	carbohydrate ABC transporter permease
SCO0067	SC_RS02350		chromosome	54103	54918	+	no		BPD_transp_1	NA	0	no	NA	NA	NA	carbohydrate ABC transporter permease
SCO0068	SC_RS02355		chromosome	54968	56173	+	no		Glyco_hydro_76;Glyco_hydro_88	NA	0	no	NA	NA	NA	glycoside hydrolase family 76 protein
SCO0069	SC_RS02360		chromosome	56225	59383	+	no		Glyco_hydro_38C;Glyco_hydro_38N	NA	0	no	NA	NA	NA	glycoside hydrolase family 38 N-terminal domain-containing protein
SCO0071	SC_RS02370		chromosome	60069	60275	-	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02375		chromosome	60485	60691	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0072	SC_RS02380		chromosome	60740	64066	-	no		DUF6531;RHS_repeat;TEN_YD-shell	NA	0	no	NA	NA	NA	RHS repeat-associated core domain-containing protein
SCO0073	SC_RS02385		chromosome	64587	64925	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0075	SC_RS02390		chromosome	65140	65679	+	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02400		chromosome	66104	66418	-	no		DUF4096	NA	0	no	NA	NA	NA	transposase
SCO0079	SC_RS02405		chromosome	66688	67911	-	no		MFS_1;MFS_4	NA	0	no	NA	NA	NA	MFS transporter
SCO0080	SC_RS02410		chromosome	68372	68887	+	no		DUF1877	NA	0	no	NA	NA	NA	YfbM family protein
SCO0083	SC_RS02420		chromosome	69799	70647	+	no		DDE_Tnp_1;DUF4096	NA	0	no	NA	NA	NA	IS5 family transposase
SCO0084	SC_RS02425		chromosome	70777	71235	+	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02430		chromosome	71273	71431	-	no			NA	0	no	NA	NA	NA	glutamate-cysteine ligase family protein
SCO0085	SC_RS02435		chromosome	71648	72139	-	no		DNA_ligase_A_M	NA	0	no	NA	NA	NA	ATP-dependent DNA ligase
SCO0086	SC_RS02440		chromosome	72159	73097	-	no		ADP_ribosyl_GH	NA	0	no	NA	NA	NA	ADP-ribosylglycohydrolase family protein
SCO0087	SC_RS02445		chromosome	73784	74833	-	no		Lactamase_B;Lactamase_B_2;Lactamase_B_3	NA	0	no	NA	NA	NA	MBL fold metallo-hydrolase
SCO0088	SC_RS02450		chromosome	74917	75876	-	no		Beta-lactamase2	NA	0	no	NA	NA	NA	serine hydrolase
SCO0089	SC_RS02455		chromosome	75916	76893	+	yes	HTH_1;LysR_substrate	HTH_1;LysR_substrate	NA	1	no	NA	LysR	pfam;CastroMelchor	LysR family transcriptional regulator
SCO0091	SC_RS02465		chromosome	77315	78271	+	no			NA	0	no	NA	NA	NA	IS481-like element IS1649 family transposase
SCO0097	SC_RS02480		chromosome	80845	81165	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0098	SC_RS02485		chromosome	81602	82441	-	no			NA	0	no	NA	NA	NA	IS5-like element ISSco3 family transposase
SCO0101	SC_RS02495		chromosome	83516	84235	-	no		DUF2625	NA	0	no	NA	NA	NA	DUF2625 domain-containing protein
SCO0103	SC_RS02500		chromosome	85468	86643	+	no		FAD_binding_6;Globin;NAD_binding_1	NA	0	no	NA	NA	NA	globin domain-containing protein
SCO0104	SC_RS02505		chromosome	86640	87311	+	no		PNPOx_N	NA	0	no	NA	NA	NA	pyridoxamine 5'-phosphate oxidase family protein
SCO0105	SC_RS02510		chromosome	87907	88632	-	no		Glyco_hydro_11	NA	0	no	NA	NA	NA	glycoside hydrolase family 11 protein
SCO0106	SC_RS02515		chromosome	89073	89465	+	no		DUF4096	NA	0	no	NA	NA	NA	IS5 family transposase
SCO0107	SC_RS02520		chromosome	89486	90010	-	no		Aminoglyc_resit	NA	0	no	NA	NA	NA	nucleotidyltransferase domain-containing protein
	SC_RS02525		chromosome	90584	90757	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0110	SC_RS02530		chromosome	90951	91790	-	yes	HTH_31	HTH_31;MLTR_LBD	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0111	SC_RS02535		chromosome	91977	92729	+	no		Epimerase;KR;SDR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family NAD(P)-dependent oxidoreductase
	SC_RS02540		chromosome	93220	93549	-	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02545		chromosome	93593	94087	-	no		DUF4096	NA	0	no	NA	NA	NA	IS5 family transposase
SCO0116	SC_RS02550		chromosome	94306	94872	-	yes	TetR_N	DUF6262;TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO0117	SC_RS02555		chromosome	94989	95681	+	no		adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0118	SC_RS02560		chromosome	95995	97518	+	no		GH43_C2;Glyco_hydro_43	NA	0	no	NA	NA	NA	glycoside hydrolase family 43 protein
SCO0119	SC_RS02565		chromosome	97760	98281	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0120	SC_RS02570		chromosome	98463	99338	-	no		ABC2_membrane_3	NA	0	no	NA	NA	NA	ABC transporter permease
SCO0121	SC_RS02575		chromosome	99335	99949	-	no		AAA_21;ABC_tran	NA	0	no	NA	NA	NA	ABC transporter ATP-binding protein
SCO0122	SC_RS02580		chromosome	100205	101566	+	no		FMO-like;NAD_binding_8;Pyr_redox_2;Pyr_redox_3	NA	0	no	NA	NA	NA	flavin-containing monooxygenase
SCO0123	SC_RS02585		chromosome	101656	103002	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0124	SC_RS02590		chromosome	103781	104989	+	no		Epimerase;NAD_binding_4	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0125	SC_RS02595		chromosome	105057	106640	+	no		FabD_helical_ins;NMO	NA	0	no	NA	NA	NA	PfaD family polyunsaturated fatty acid/polyketide biosynthesis protein
SCO0126	SC_RS02600		chromosome	106694	112885	+	no		Acyl_transf_1;KAsynt_C_assoc;KR;Ketoacyl-synt_C;PKS_DH_N;PP-binding;PS-DH;adh_short;adh_short_C2;ketoacyl-synt	NA	0	no	NA	NA	NA	type I polyketide synthase
SCO0127	SC_RS02605		chromosome	112932	119654	+	no		Acyl_transf_1;ApeI-like;FabA;KAsynt_C_assoc;Ketoacyl-synt_C;ketoacyl-synt	NA	0	no	NA	NA	NA	type I polyketide synthase
SCO0128	SC_RS02610		chromosome	119651	119833	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0130	SC_RS02615		chromosome	120457	121371	+	no		Anti-Pycsar_Apyc1;Lactamase_B	NA	0	no	NA	NA	NA	MBL fold metallo-hydrolase
SCO0131	SC_RS02620		chromosome	121617	122456	-	no		Exo_endo_phos;Exo_endo_phos_PGAP2IP	NA	0	no	NA	NA	NA	endonuclease/exonuclease/phosphatase family protein
SCO0132	SC_RS02625		chromosome	122743	125502	+	yes	GerE	AAA_16;GerE	NA	1	no	NA	LuxR	pfam;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0133	SC_RS02630		chromosome	125625	126005	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0135	SC_RS02635		chromosome	127571	128290	+	no		Abhydrolase_1;Abhydrolase_5;Abhydrolase_6;Hydrolase_4	NA	0	no	NA	NA	NA	alpha/beta fold hydrolase
SCO0136	SC_RS02640		chromosome	128634	130184	-	no		EIIC-GAT	NA	0	no	NA	NA	NA	PTS ascorbate transporter subunit IIC
SCO0137	SC_RS02645		chromosome	130201	131001	-	no		PTS_EIIA_2;PTS_IIB	NA	0	no	NA	NA	NA	PTS sugar transporter subunit IIA
SCO0138	SC_RS02650		chromosome	131523	132296	+	no		adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0139	SC_RS02655		chromosome	132327	132647	+	no			NA	0	no	NA	NA	NA	nuclear transport factor 2 family protein
SCO0140	SC_RS02660		chromosome	132693	133520	+	yes	MerR;MerR_1	GyrI-like;MerR;MerR_1	NA	0	no	NA	MerR	pfam	MerR family transcriptional regulator
SCO0141	SC_RS02665		chromosome	133570	134121	-	no		EF-hand_1;EF-hand_5;EF-hand_6;EF-hand_7;EF-hand_8	NA	0	no	NA	NA	NA	EF-hand domain-containing protein
SCO0142	SC_RS02670		chromosome	134295	136100	-	no		AhpC-TSA;NHL;Redoxin;Thioredoxin_8	NA	0	no	NA	NA	NA	NHL domain-containing thioredoxin family protein
	SC_RS02675		chromosome	136149	136307	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0143	SC_RS02680		chromosome	136683	137183	+	yes	TetR_N	TetR_N	NA	0	no	NA	TetR	pfam	TetR/AcrR family transcriptional regulator
SCO0144	SC_RS02685		chromosome	137197	137556	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0145	SC_RS02690		chromosome	137561	138589	+	no		Abhydrolase_6	NA	0	no	NA	NA	NA	alpha/beta hydrolase
SCO0147	SC_RS02700		chromosome	138976	139467	+	no		DUF2975	NA	1	no	NA	NA	CastroMelchor	DUF2975 domain-containing protein
SCO0148	SC_RS02705		chromosome	139467	139712	+	yes	HTH_26;HTH_3;HTH_31	HTH_26;HTH_3;HTH_31	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix domain-containing protein
SCO0151	SC_RS02715		chromosome	141370	141708	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0152	SC_RS02720		chromosome	141705	143315	+	no		SSF	NA	0	no	NA	NA	NA	sodium/solute symporter
SCO0153	SC_RS02725		chromosome	143776	144363	-	no		DM13	NA	0	no	NA	NA	NA	DM13 domain-containing protein
SCO0154	SC_RS02730		chromosome	144704	145366	-	no		AhpC-TSA;Redoxin	NA	0	no	NA	NA	NA	peroxiredoxin-like family protein
SCO0155	SC_RS02735		chromosome	145499	146122	+	yes	TetR_C_13;TetR_N	TetR_C_13;TetR_C_13_2;TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO0158	SC_RS02740		chromosome	146977	148206	+	no		DAO;Pyr_redox;Pyr_redox_2;Pyr_redox_3	NA	1	no	NA	NA	CastroMelchor	NAD(P)/FAD-dependent oxidoreductase
SCO0159	SC_RS02745		chromosome	148225	149184	+	yes	Sigma70_r2;Sigma70_r4_2	Sigma70_r2;Sigma70_r4_2	NA	1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	sigma-70 family RNA polymerase sigma factor
SCO0160	SC_RS02750		chromosome	149508	150209	-	yes	HTH_3;HTH_31	HTH_3;HTH_31;Pyridox_ox_2	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix domain-containing protein
SCO0162	SC_RS02755		chromosome	150579	151571	+	no		Nitroreductase	NA	0	no	NA	NA	NA	Acg family FMN-binding oxidoreductase
SCO0163	SC_RS02760		chromosome	151749	153275	+	no		AAA_17;AAA_18;AAA_33	NA	0	no	NA	NA	NA	bifunctional aminoglycoside phosphotransferase/ATP-binding protein
SCO0164	SC_RS02765		chromosome	153398	155728	+	no		E1-E2_ATPase;Hemerythrin;Hydrolase	NA	0	no	NA	NA	NA	heavy metal translocating P-type ATPase
SCO0165	SC_RS02770		chromosome	155707	156120	-	no		DUF302	NA	0	no	NA	NA	NA	DUF302 domain-containing protein
SCO0166	SC_RS02775	ppk2	chromosome	156338	157141	+	no		PPK2	NA	1	no	NA	NA	CastroMelchor	polyphosphate kinase 2
SCO0167	SC_RS02780		chromosome	157189	158073	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0168	SC_RS02785		chromosome	158846	159304	+	no		cNMP_binding	NA	1	no	NA	NA	CastroMelchor	cyclic nucleotide-binding domain-containing protein
SCO0169	SC_RS02790		chromosome	159339	160025	+	no		BON;CBS	NA	1	no	NA	NA	CastroMelchor	CBS domain-containing protein
	SC_RS02795		chromosome	160026	160238	-	no		Hydantoinase_B	NA	0	no	NA	NA	NA	hydantoinase B/oxoprolinase family protein
SCO0170	SC_RS02800		chromosome	160356	161027	-	no		BON;CBS	NA	0	no	NA	NA	NA	CBS domain-containing protein
SCO0171	SC_RS02805		chromosome	161237	162553	+	no		NAPRTase;NAPRTase_N	NA	0	no	NA	NA	NA	nicotinate phosphoribosyltransferase
SCO0172	SC_RS02810		chromosome	162661	163119	+	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0173	SC_RS02815		chromosome	163235	163891	-	no		OsmC	NA	1	no	NA	NA	CastroMelchor	OsmC family protein
SCO0174	SC_RS02820		chromosome	164023	164931	-	yes	HTH_19;HTH_25;HTH_3;HTH_31	DUF1918;HTH_19;HTH_25;HTH_3;HTH_31;PNPOx_N;Pyridox_ox_2	NA	1	no	NA	HTH_other	pfam;CastroMelchor	pyridoxamine 5'-phosphate oxidase family protein
	SC_RS02825		chromosome	165275	165397	+	no			NA	0	no	NA	NA	NA	CBS domain-containing protein
SCO0176	SC_RS02830		chromosome	165478	165855	+	no		BON	NA	0	no	NA	NA	NA	BON domain-containing protein
SCO0177	SC_RS02835		chromosome	166033	166614	+	no		Rv1733c	NA	0	no	NA	NA	NA	Rv1733c family protein
SCO0179	SC_RS02845		chromosome	167444	168514	-	no		ADH_N;ADH_zinc_N;ADH_zinc_N_2;Glu_dehyd_C	NA	0	no	NA	NA	NA	zinc-dependent alcohol dehydrogenase family protein
SCO0180	SC_RS02850		chromosome	168705	169556	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0181	SC_RS02855		chromosome	169584	170486	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0185	SC_RS02875		chromosome	173801	174946	+	no		polyprenyl_synt	NA	0	no	NA	NA	NA	polyprenyl synthetase family protein
SCO0186	SC_RS02880	crtI	chromosome	174943	176514	+	no		Amino_oxidase;DAO;FAD_binding_2;HI0933_like;NAD_binding_8;Pyr_redox;Pyr_redox_2	NA	0	no	NA	NA	NA	phytoene desaturase family protein
SCO0187	SC_RS02885		chromosome	176501	177496	+	no		SQS_PSY	NA	0	no	NA	NA	NA	phytoene/squalene synthase family protein
SCO0188	SC_RS02890		chromosome	177493	178503	+	no		DUF5914;Rieske	NA	0	no	NA	NA	NA	DUF5914 domain-containing protein
SCO0189	SC_RS02895		chromosome	178519	180087	-	no		Amino_oxidase;DAO;FAD_binding_2;FAD_oxidored;HI0933_like;NAD_binding_8;Pyr_redox_2	NA	0	no	NA	NA	NA	FAD-dependent oxidoreductase
SCO0190	SC_RS02900		chromosome	180084	180824	-	no		Methyltransf_11;Methyltransf_12;Methyltransf_23;Methyltransf_25;Methyltransf_31;Ubie_methyltran	NA	0	no	NA	NA	NA	class I SAM-dependent methyltransferase
SCO0191	SC_RS02905		chromosome	180821	182038	-	no		Lycopene_cycl	NA	0	no	NA	NA	NA	lycopene cyclase family protein
SCO0192	SC_RS02910		chromosome	182309	183559	-	no		Amino_oxidase;DAO;FAD_binding_2;FAD_oxidored;NAD_binding_8	NA	0	no	NA	NA	NA	NAD(P)/FAD-dependent oxidoreductase
SCO0193	SC_RS02915		chromosome	183793	184797	-	yes	MerR;MerR_1	B12-binding;B12-binding_2;MerR;MerR_1	NA	1	no	NA	MerR	pfam;CastroMelchor	MerR family transcriptional regulator
SCO0194	SC_RS02920		chromosome	184958	185566	+	yes	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	NA	1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	sigma-70 family RNA polymerase sigma factor
SCO0195	SC_RS02925		chromosome	185675	186361	+	no		DUF4397	NA	0	no	NA	NA	NA	DUF4397 domain-containing protein
SCO0196	SC_RS02930		chromosome	186447	186887	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0197	SC_RS02935		chromosome	187019	187459	-	no		Pyridox_ox_2	NA	0	no	NA	NA	NA	pyridoxamine 5'-phosphate oxidase family protein
SCO0198	SC_RS02940		chromosome	187992	188858	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0199	SC_RS02945	adhP	chromosome	188864	189886	-	no		ADH_N;ADH_zinc_N;ADH_zinc_N_2	NA	0	no	NA	NA	NA	alcohol dehydrogenase AdhP
SCO0200	SC_RS02950		chromosome	189925	190830	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0201	SC_RS02955		chromosome	190983	191612	-	no			NA	0	no	NA	NA	NA	DoxX family membrane protein
SCO0202	SC_RS02960		chromosome	191904	192848	+	no			NA	0	no	NA	NA	NA	Acg family FMN-binding oxidoreductase
SCO0203	SC_RS02965		chromosome	192880	194637	-	no		GAF;GAF_2;GAF_3;HATPase_c;HisKA_3	NA	1	no	NA	NA	CastroMelchor	two-component system sensor histidine kinase
SCO0204	SC_RS02970		chromosome	194760	195461	-	yes	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	TCS	1	no	NA	LuxR	pfam;ZorroAranda;CastroMelchor	response regulator
SCO0207	SC_RS02980		chromosome	196386	196991	-	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0208	SC_RS02985	ppdK	chromosome	197221	199917	+	no		PEP-utilizers;PEP-utilizers_C;PPDK_N	NA	0	no	NA	NA	NA	pyruvate, phosphate dikinase
SCO0209	SC_RS02990		chromosome	200024	200428	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0210	SC_RS02995		chromosome	200701	201369	+	no		BON;CBS	NA	0	no	NA	NA	NA	CBS domain-containing protein
SCO0211	SC_RS03000		chromosome	201374	202090	+	no		HATPase_c;HisKA_3	NA	0	no	NA	NA	NA	sensor histidine kinase
SCO0212	SC_RS03005		chromosome	202370	202843	-	no		Hemerythrin	NA	0	no	NA	NA	NA	hemerythrin domain-containing protein
SCO0213	SC_RS03010		chromosome	202863	204101	-	no		MFS_1	NA	0	no	NA	NA	NA	nitrate/nitrite transporter
SCO0214	SC_RS03015		chromosome	204387	204800	+	no		Pyridox_ox_2	NA	0	no	NA	NA	NA	pyridoxamine 5'-phosphate oxidase family protein
SCO0215	SC_RS03020		chromosome	204881	205888	-	no		Nitroreductase;TM1586_NiRdase	NA	0	no	NA	NA	NA	Acg family FMN-binding oxidoreductase
SCO0216	SC_RS03025		chromosome	206480	210181	+	no		Molybdopterin;Molydop_binding;NarG_dom_V	NA	0	no	NA	NA	NA	nitrate reductase subunit alpha
SCO0217	SC_RS03030	narH	chromosome	210183	211751	+	no		Fer4_10;Fer4_11;Fer4_2;Fer4_6;Fer4_7;Nitr_red_bet_C	NA	0	no	NA	NA	NA	nitrate reductase subunit beta
SCO0218	SC_RS03035	narJ	chromosome	211748	212551	+	no		Nitrate_red_del	NA	0	no	NA	NA	NA	nitrate reductase molybdenum cofactor assembly chaperone
SCO0219	SC_RS03040	narI	chromosome	212551	213321	+	no		Nitrate_red_gam	NA	0	no	NA	NA	NA	respiratory nitrate reductase subunit gamma
SCO0220	SC_RS03045		chromosome	213421	213870	+	no		SnoaL_2	NA	0	no	NA	NA	NA	nuclear transport factor 2 family protein
SCO0222	SC_RS03055		chromosome	214913	215446	+	no		Acetyltransf_1;Acetyltransf_3	NA	0	no	NA	NA	NA	GNAT family N-acetyltransferase
SCO0224	SC_RS03060		chromosome	215807	216844	-	no		Questin_oxidase	NA	0	no	NA	NA	NA	questin oxidase family protein
SCO0226	SC_RS03065		chromosome	217315	217968	-	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS03070		chromosome	218481	218771	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0229	SC_RS03075		chromosome	219302	220150	+	no		KR;adh_short;adh_short_C2	NA	1	no	NA	NA	CastroMelchor	oxidoreductase
SCO0230	SC_RS03080		chromosome	220150	220764	+	yes	TetR_N	EthR_C;TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO0231	SC_RS03085		chromosome	221092	221247	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0232	SC_RS03090		chromosome	221414	221599	-	no			NA	0	no	NA	NA	NA	beta/alpha barrel domain-containing protein
SCO0233	SC_RS03095		chromosome	221699	222538	-	yes	HTH_3;HTH_31	HTH_3;HTH_31;MLTR_LBD	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0234	SC_RS03100		chromosome	222827	223288	+	no		KR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family NAD(P)-dependent oxidoreductase
SCO0235	SC_RS03105		chromosome	223294	224232	+	no		KR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0236	SC_RS03110		chromosome	224404	225276	-	yes	HTH_3;HTH_31	HTH_3;HTH_31;MLTR_LBD	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0237	SC_RS03115		chromosome	225476	226237	+	no		Epimerase;KR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0238	SC_RS03120		chromosome	226481	227008	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0239	SC_RS03125		chromosome	227081	228154	-	no			NA	0	no	NA	NA	NA	protein kinase family protein
SCO0240	SC_RS03130		chromosome	228714	229649	-	no		KR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	oxidoreductase
