sample	timepoint	chrom	position	strand	mod_type	group	coverage	mod_freq	n_modified	n_canonical	n_other_mod	n_delete	n_fail	n_diff
1-1	T1	NC_003888.3	75626	+	4mC	CCGG_4mC	8	100.0	8	0	0	0	18	0
1-1	T1	NC_003888.3	78421	+	6mA	6mA	15	46.67	7	8	0	0	10	0
1-1	T1	NC_003888.3	79564	-	5mC	CCGG_pos_5mC	2	0.0	0	0	2	0	12	2
1-1	T1	NC_003888.3	79564	-	4mC	CCGG_4mC	2	100.0	2	0	0	0	12	2
1-1	T1	NC_003888.3	82127	-	6mA	6mA	9	77.78	7	2	0	0	10	1
1-1	T1	NC_003888.3	82128	-	6mA	6mA	16	75.0	12	4	0	0	4	0
1-1	T1	NC_003888.3	82883	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	14	0
1-1	T1	NC_003888.3	82883	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	14	0
1-1	T1	NC_003888.3	82886	-	6mA	6mA	12	75.0	9	3	0	0	6	1
1-1	T1	NC_003888.3	83403	+	5mC	CCGG_pos_5mC	4	0.0	0	1	3	0	15	0
1-1	T1	NC_003888.3	83403	+	4mC	CCGG_4mC	4	75.0	3	1	0	0	15	0
1-1	T1	NC_003888.3	83531	+	6mA	6mA	16	50.0	8	8	0	0	3	0
1-1	T1	NC_003888.3	86222	+	5mC	CCGG_pos_5mC	7	0.0	0	0	7	0	14	1
1-1	T1	NC_003888.3	86222	+	4mC	CCGG_4mC	7	100.0	7	0	0	0	14	1
1-1	T1	NC_003888.3	93654	-	6mA	6mA	14	64.29	9	5	0	0	5	1
1-1	T1	NC_003888.3	96097	-	5mC	CCGG_pos_5mC	4	0.0	0	2	2	0	9	0
1-1	T1	NC_003888.3	96097	-	4mC	CCGG_4mC	4	50.0	2	2	0	0	9	0
1-1	T1	NC_003888.3	96883	+	6mA	6mA	16	75.0	12	4	0	0	8	0
1-1	T1	NC_003888.3	99875	-	5mC	CCGG_pos_5mC	8	0.0	0	0	8	0	4	1
1-1	T1	NC_003888.3	99875	-	4mC	CCGG_4mC	8	100.0	8	0	0	0	4	1
1-1	T1	NC_003888.3	101374	-	6mA	6mA	10	70.0	7	3	0	0	3	0
1-1	T1	NC_003888.3	102443	+	6mA	6mA	14	42.86	6	8	0	0	9	0
1-1	T1	NC_003888.3	104202	+	5mC	CCGG_pos_5mC	10	0.0	0	4	6	0	8	0
1-1	T1	NC_003888.3	104202	+	4mC	CCGG_4mC	10	60.0	6	4	0	0	8	0
1-1	T1	NC_003888.3	104521	-	6mA	6mA	8	75.0	6	2	0	0	1	0
1-1	T1	NC_003888.3	106467	+	6mA	6mA	16	62.5	10	6	0	0	2	0
1-1	T1	NC_003888.3	106790	-	6mA	6mA	11	45.45	5	6	0	1	3	0
1-1	T1	NC_003888.3	106962	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	11	0
1-1	T1	NC_003888.3	106962	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	11	0
1-1	T1	NC_003888.3	108750	+	5mC	CCGG_pos_5mC	9	0.0	0	2	7	0	14	0
1-1	T1	NC_003888.3	108750	+	4mC	CCGG_4mC	9	77.78	7	2	0	0	14	0
1-1	T1	NC_003888.3	108751	-	5mC	CCGG_pos_5mC	8	0.0	0	3	5	0	6	2
1-1	T1	NC_003888.3	108751	-	4mC	CCGG_4mC	8	62.5	5	3	0	0	6	2
1-1	T1	NC_003888.3	108921	+	5mC	CCGG_pos_5mC	10	0.0	0	0	10	0	11	0
1-1	T1	NC_003888.3	108921	+	4mC	CCGG_4mC	10	100.0	10	0	0	0	11	0
1-1	T1	NC_003888.3	108947	+	5mC	CCGG_pos_5mC	6	0.0	0	1	5	0	10	5
1-1	T1	NC_003888.3	108947	+	4mC	CCGG_4mC	6	83.33	5	1	0	0	10	5
1-1	T1	NC_003888.3	108948	-	5mC	CCGG_pos_5mC	7	0.0	0	0	7	1	7	1
1-1	T1	NC_003888.3	108948	-	4mC	CCGG_4mC	7	100.0	7	0	0	1	7	1
1-1	T1	NC_003888.3	110489	-	6mA	6mA	8	37.5	3	5	0	0	5	0
1-1	T1	NC_003888.3	114750	-	6mA	6mA	14	14.29	2	12	0	0	3	0
1-1	T1	NC_003888.3	116615	-	6mA	6mA	12	66.67	8	4	0	0	6	0
1-1	T1	NC_003888.3	116802	-	6mA	6mA	12	50.0	6	6	0	0	6	0
1-1	T1	NC_003888.3	117043	-	6mA	6mA	13	30.77	4	9	0	0	5	0
1-1	T1	NC_003888.3	117044	-	6mA	6mA	13	30.77	4	9	0	0	5	0
1-1	T1	NC_003888.3	117144	-	6mA	6mA	12	16.67	2	10	0	0	6	0
1-1	T1	NC_003888.3	119656	-	6mA	6mA	12	41.67	5	7	0	0	11	0
1-1	T1	NC_003888.3	120744	-	5mC	CCGG_pos_5mC	4	0.0	0	3	1	0	11	2
1-1	T1	NC_003888.3	120744	-	4mC	CCGG_4mC	4	25.0	1	3	0	0	11	2
1-1	T1	NC_003888.3	120747	-	6mA	6mA	13	38.46	5	8	0	0	4	0
1-1	T1	NC_003888.3	120748	-	6mA	6mA	13	38.46	5	8	0	0	4	0
1-1	T1	NC_003888.3	123684	-	6mA	6mA	10	50.0	5	5	0	0	6	0
1-1	T1	NC_003888.3	125264	-	6mA	6mA	11	54.55	6	5	0	0	5	0
1-1	T1	NC_003888.3	127246	-	5mC	CCGG_pos_5mC	1	0.0	0	1	0	0	15	1
1-1	T1	NC_003888.3	127246	-	4mC	CCGG_4mC	1	0.0	0	1	0	0	15	1
1-1	T1	NC_003888.3	127250	-	6mA	6mA	13	46.15	6	7	0	0	4	0
1-1	T1	NC_003888.3	128592	-	5mC	CCGG_pos_5mC	9	0.0	0	0	9	0	7	1
1-1	T1	NC_003888.3	128592	-	4mC	CCGG_4mC	9	100.0	9	0	0	0	7	1
1-1	T1	NC_003888.3	128807	-	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	10	0
1-1	T1	NC_003888.3	128807	-	4mC	CCGG_4mC	8	87.5	7	1	0	0	10	0
1-1	T1	NC_003888.3	131563	+	5mC	CCGG_pos_5mC	12	0.0	0	1	11	0	19	1
1-1	T1	NC_003888.3	131563	+	4mC	CCGG_4mC	12	91.67	11	1	0	0	19	1
1-1	T1	NC_003888.3	135597	-	6mA	6mA	16	56.25	9	7	0	0	8	0
1-1	T1	NC_003888.3	136278	-	6mA	6mA	20	55.0	11	9	0	0	7	0
1-1	T1	NC_003888.3	139070	+	5mC	CCGG_pos_5mC	9	0.0	0	0	9	0	23	0
1-1	T1	NC_003888.3	139070	+	4mC	CCGG_4mC	9	100.0	9	0	0	0	23	0
1-1	T1	NC_003888.3	139785	+	5mC	CCGG_pos_5mC	7	0.0	0	4	3	0	23	1
1-1	T1	NC_003888.3	139785	+	4mC	CCGG_4mC	7	42.86	3	4	0	0	23	1
1-1	T1	NC_003888.3	140453	+	5mC	CCGG_pos_5mC	12	0.0	0	3	9	0	13	2
1-1	T1	NC_003888.3	140453	+	4mC	CCGG_4mC	12	75.0	9	3	0	0	13	2
1-1	T1	NC_003888.3	146773	+	6mA	6mA	15	60.0	9	6	0	0	3	0
1-1	T1	NC_003888.3	149840	-	5mC	CCGG_pos_5mC	14	0.0	0	2	12	0	6	0
1-1	T1	NC_003888.3	149840	-	4mC	CCGG_4mC	14	85.71	12	2	0	0	6	0
1-1	T1	NC_003888.3	151355	-	5mC	CCGG_pos_5mC	2	0.0	0	0	2	0	19	1
1-1	T1	NC_003888.3	151355	-	4mC	CCGG_4mC	2	100.0	2	0	0	0	19	1
1-1	T1	NC_003888.3	153747	+	6mA	6mA	18	38.89	7	11	0	0	10	0
1-1	T1	NC_003888.3	159639	+	6mA	6mA	14	57.14	8	6	0	0	4	1
1-1	T1	NC_003888.3	162474	-	6mA	6mA	12	16.67	2	10	0	0	6	0
1-1	T1	NC_003888.3	163824	-	6mA	6mA	12	58.33	7	5	0	0	4	0
1-1	T1	NC_003888.3	165349	-	6mA	6mA	15	80.0	12	3	0	0	3	1
1-1	T1	NC_003888.3	166193	+	6mA	6mA	8	75.0	6	2	0	0	4	0
1-1	T1	NC_003888.3	173002	-	5mC	CCGG_pos_5mC	2	0.0	0	0	2	0	9	0
1-1	T1	NC_003888.3	173002	-	4mC	CCGG_4mC	2	100.0	2	0	0	0	9	0
1-1	T1	NC_003888.3	173006	-	6mA	6mA	7	85.71	6	1	0	1	2	1
1-1	T1	NC_003888.3	173563	+	5mC	CCGG_pos_5mC	3	0.0	0	0	3	0	12	0
1-1	T1	NC_003888.3	173563	+	4mC	CCGG_4mC	3	100.0	3	0	0	0	12	0
1-1	T1	NC_003888.3	173568	+	6mA	6mA	11	45.45	5	6	0	0	4	0
1-1	T1	NC_003888.3	174054	+	6mA	6mA	8	37.5	3	5	0	0	6	0
1-1	T1	NC_003888.3	174061	+	6mA	6mA	13	38.46	5	8	0	0	1	0
1-1	T1	NC_003888.3	175601	+	5mC	CCGG_pos_5mC	5	0.0	0	1	4	0	9	0
1-1	T1	NC_003888.3	175601	+	4mC	CCGG_4mC	5	80.0	4	1	0	0	9	0
1-1	T1	NC_003888.3	176720	+	6mA	6mA	12	58.33	7	5	0	0	5	0
1-1	T1	NC_003888.3	176789	+	6mA	6mA	7	85.71	6	1	0	0	10	0
1-1	T1	NC_003888.3	178569	-	6mA	6mA	14	42.86	6	8	0	0	3	0
1-1	T1	NC_003888.3	178710	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	10	2
1-1	T1	NC_003888.3	178710	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	10	2
1-1	T1	NC_003888.3	181109	-	6mA	6mA	10	50.0	5	5	0	0	6	0
1-1	T1	NC_003888.3	188589	-	6mA	6mA	12	33.33	4	8	0	0	3	0
1-1	T1	NC_003888.3	191485	+	6mA	6mA	11	100.0	11	0	0	0	11	0
1-1	T1	NC_003888.3	199170	+	6mA	6mA	17	70.59	12	5	0	0	7	0
1-1	T1	NC_003888.3	199192	+	6mA	6mA	15	60.0	9	6	0	0	9	0
1-1	T1	NC_003888.3	202216	-	6mA	6mA	14	50.0	7	7	0	1	1	1
1-1	T1	NC_003888.3	203228	-	5mC	CCGG_pos_5mC	11	0.0	0	1	10	0	9	0
1-1	T1	NC_003888.3	203228	-	4mC	CCGG_4mC	11	90.91	10	1	0	0	9	0
1-1	T1	NC_003888.3	206083	-	6mA	6mA	12	25.0	3	9	0	0	5	2
1-1	T1	NC_003888.3	208456	-	5mC	CCGG_pos_5mC	9	0.0	0	3	6	0	12	1
1-1	T1	NC_003888.3	208456	-	4mC	CCGG_4mC	9	66.67	6	3	0	0	12	1
1-1	T1	NC_003888.3	210962	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	13	1
1-1	T1	NC_003888.3	210962	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	13	1
1-1	T1	NC_003888.3	211143	+	6mA	6mA	17	41.18	7	10	0	0	3	0
1-1	T1	NC_003888.3	211317	+	6mA	6mA	15	60.0	9	6	0	0	5	0
1-1	T1	NC_003888.3	211827	+	6mA	6mA	15	60.0	9	6	0	0	3	1
1-1	T1	NC_003888.3	212406	+	6mA	6mA	14	35.71	5	9	0	0	6	0
1-1	T1	NC_003888.3	212900	+	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	14	0
1-1	T1	NC_003888.3	212900	+	4mC	CCGG_4mC	8	87.5	7	1	0	0	14	0
1-1	T1	NC_003888.3	224082	+	6mA	6mA	26	57.69	15	11	0	0	3	0
1-1	T1	NC_003888.3	227095	-	5mC	CCGG_pos_5mC	8	0.0	0	4	4	0	17	2
1-1	T1	NC_003888.3	227095	-	4mC	CCGG_4mC	8	50.0	4	4	0	0	17	2
1-1	T1	NC_003888.3	229696	-	6mA	6mA	20	55.0	11	9	0	0	9	1
1-1	T1	NC_003888.3	231677	+	5mC	CCGG_pos_5mC	11	0.0	0	2	9	0	12	0
1-1	T1	NC_003888.3	231677	+	4mC	CCGG_4mC	11	81.82	9	2	0	0	12	0
1-1	T1	NC_003888.3	232457	+	6mA	6mA	17	35.29	6	11	0	0	4	1
1-1	T1	NC_003888.3	234634	-	5mC	CCGG_pos_5mC	6	0.0	0	2	4	0	14	0
1-1	T1	NC_003888.3	234634	-	4mC	CCGG_4mC	6	66.67	4	2	0	0	14	0
1-1	T1	NC_003888.3	234720	-	5mC	CCGG_pos_5mC	8	0.0	0	2	6	0	9	2
1-1	T1	NC_003888.3	234720	-	4mC	CCGG_4mC	8	75.0	6	2	0	0	9	2
1-1	T1	NC_003888.3	235897	-	6mA	6mA	17	41.18	7	10	0	0	5	0
1-1	T1	NC_003888.3	240262	-	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	15	0
1-1	T1	NC_003888.3	240262	-	4mC	CCGG_4mC	8	87.5	7	1	0	0	15	0
1-1	T1	NC_003888.3	240265	-	6mA	6mA	14	42.86	6	8	0	0	9	0
1-1	T1	NC_003888.3	241148	-	5mC	CCGG_pos_5mC	10	0.0	0	0	10	0	10	0
1-1	T1	NC_003888.3	241148	-	4mC	CCGG_4mC	10	100.0	10	0	0	0	10	0
1-1	T1	NC_003888.3	242078	-	5mC	CCGG_pos_5mC	8	0.0	0	0	8	0	10	1
1-1	T1	NC_003888.3	242078	-	4mC	CCGG_4mC	8	100.0	8	0	0	0	10	1
1-1	T1	NC_003888.3	244807	-	6mA	6mA	15	53.33	8	7	0	0	6	0
1-1	T1	NC_003888.3	246147	+	6mA	6mA	21	52.38	11	10	0	0	3	0
1-1	T1	NC_003888.3	250423	-	6mA	6mA	21	42.86	9	12	0	0	7	0
1-1	T1	NC_003888.3	251009	+	6mA	6mA	20	45.0	9	11	0	0	5	0
1-1	T1	NC_003888.3	251051	+	6mA	6mA	17	58.82	10	7	0	0	8	0
1-1	T1	NC_003888.3	251362	-	5mC	CCGG_pos_5mC	14	0.0	0	0	14	0	13	1
1-1	T1	NC_003888.3	251362	-	4mC	CCGG_4mC	14	100.0	14	0	0	0	13	1
1-1	T1	NC_003888.3	255491	-	6mA	6mA	16	56.25	9	7	0	0	11	1
1-1	T1	NC_003888.3	258445	-	6mA	6mA	11	81.82	9	2	0	0	12	0
1-1	T1	NC_003888.3	262658	+	5mC	CCGG_pos_5mC	7	0.0	0	1	6	0	14	0
1-1	T1	NC_003888.3	262658	+	4mC	CCGG_4mC	7	85.71	6	1	0	0	14	0
1-1	T1	NC_003888.3	273922	+	5mC	CCGG_pos_5mC	6	0.0	0	0	6	0	13	1
1-1	T1	NC_003888.3	273922	+	4mC	CCGG_4mC	6	100.0	6	0	0	0	13	1
1-1	T1	NC_003888.3	277593	+	5mC	CCGG_pos_5mC	10	0.0	0	0	10	0	8	0
1-1	T1	NC_003888.3	277593	+	4mC	CCGG_4mC	10	100.0	10	0	0	0	8	0
1-1	T1	NC_003888.3	278824	-	6mA	6mA	22	81.82	18	4	0	0	5	1
1-1	T1	NC_003888.3	281008	+	6mA	6mA	8	37.5	3	5	0	0	5	0
1-1	T1	NC_003888.3	281968	-	6mA	6mA	23	43.48	10	13	0	0	2	0
1-1	T1	NC_003888.3	286084	+	5mC	CCGG_pos_5mC	2	0.0	0	0	2	0	9	1
1-1	T1	NC_003888.3	286084	+	4mC	CCGG_4mC	2	100.0	2	0	0	0	9	1
1-1	T1	NC_003888.3	287572	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	20	1
1-1	T1	NC_003888.3	287572	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	20	1
1-1	T1	NC_003888.3	289130	-	5mC	CCGG_pos_5mC	11	0.0	0	1	10	0	12	0
1-1	T1	NC_003888.3	289130	-	4mC	CCGG_4mC	11	90.91	10	1	0	0	12	0
1-1	T1	NC_003888.3	292053	+	6mA	6mA	12	33.33	4	8	0	0	2	0
1-1	T1	NC_003888.3	294436	+	5mC	CCGG_pos_5mC	4	0.0	0	2	2	0	9	1
1-1	T1	NC_003888.3	294436	+	4mC	CCGG_4mC	4	50.0	2	2	0	0	9	1
1-1	T1	NC_003888.3	298186	+	6mA	6mA	11	54.55	6	5	0	0	6	1
1-1	T1	NC_003888.3	299409	-	5mC	CCGG_pos_5mC	4	0.0	0	0	4	0	19	0
1-1	T1	NC_003888.3	299409	-	4mC	CCGG_4mC	4	100.0	4	0	0	0	19	0
1-1	T1	NC_003888.3	300957	-	5mC	CCGG_pos_5mC	11	0.0	0	2	9	0	15	0
1-1	T1	NC_003888.3	300957	-	4mC	CCGG_4mC	11	81.82	9	2	0	0	15	0
1-1	T1	NC_003888.3	304667	-	5mC	CCGG_pos_5mC	16	0.0	0	2	14	0	9	0
1-1	T1	NC_003888.3	304667	-	4mC	CCGG_4mC	16	87.5	14	2	0	0	9	0
1-1	T1	NC_003888.3	305746	+	5mC	CCGG_pos_5mC	8	0.0	0	2	6	0	12	1
1-1	T1	NC_003888.3	305746	+	4mC	CCGG_4mC	8	75.0	6	2	0	0	12	1
1-1	T1	NC_003888.3	306824	-	6mA	6mA	14	50.0	7	7	0	0	10	0
1-1	T1	NC_003888.3	311643	+	6mA	6mA	8	62.5	5	3	0	0	5	0
1-1	T1	NC_003888.3	312437	-	5mC	CCGG_pos_5mC	5	0.0	0	0	5	0	11	3
1-1	T1	NC_003888.3	312437	-	4mC	CCGG_4mC	5	100.0	5	0	0	0	11	3
1-1	T1	NC_003888.3	313017	+	6mA	6mA	11	45.45	5	6	0	0	2	0
1-1	T1	NC_003888.3	314629	-	5mC	CCGG_pos_5mC	4	0.0	0	1	3	0	16	0
1-1	T1	NC_003888.3	314629	-	4mC	CCGG_4mC	4	75.0	3	1	0	0	16	0
1-1	T1	NC_003888.3	314739	+	6mA	6mA	12	33.33	4	8	0	0	5	0
1-1	T1	NC_003888.3	315635	+	6mA	6mA	10	20.0	2	8	0	1	5	0
1-1	T1	NC_003888.3	316040	-	6mA	6mA	12	41.67	5	7	0	0	8	0
1-1	T1	NC_003888.3	316115	-	6mA	6mA	11	45.45	5	6	0	0	9	0
1-1	T1	NC_003888.3	317620	-	6mA	6mA	19	31.58	6	13	0	0	4	0
1-1	T1	NC_003888.3	317665	-	6mA	6mA	16	68.75	11	5	0	0	7	0
1-1	T1	NC_003888.3	320225	-	6mA	6mA	17	64.71	11	6	0	0	6	1
1-1	T1	NC_003888.3	321176	+	6mA	6mA	12	50.0	6	6	0	0	2	0
1-1	T1	NC_003888.3	321268	-	5mC	CCGG_pos_5mC	8	0.0	0	2	6	0	15	1
1-1	T1	NC_003888.3	321268	-	4mC	CCGG_4mC	8	75.0	6	2	0	0	15	1
1-1	T1	NC_003888.3	321759	+	5mC	CCGG_pos_5mC	5	0.0	0	1	4	0	7	0
1-1	T1	NC_003888.3	321759	+	4mC	CCGG_4mC	5	80.0	4	1	0	0	7	0
1-1	T1	NC_003888.3	321885	-	6mA	6mA	16	62.5	10	6	0	0	8	0
1-1	T1	NC_003888.3	321886	-	6mA	6mA	17	76.47	13	4	0	0	7	0
1-1	T1	NC_003888.3	321887	-	6mA	6mA	16	43.75	7	9	0	0	6	2
1-1	T1	NC_003888.3	322390	+	6mA	6mA	11	72.73	8	3	0	0	1	0
1-1	T1	NC_003888.3	322787	+	6mA	6mA	12	58.33	7	5	0	1	1	0
1-1	T1	NC_003888.3	323043	+	6mA	6mA	11	36.36	4	7	0	0	4	0
1-1	T1	NC_003888.3	323419	-	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	9	4
1-1	T1	NC_003888.3	323419	-	4mC	CCGG_4mC	8	87.5	7	1	0	0	9	4
1-1	T1	NC_003888.3	327687	-	6mA	6mA	26	53.85	14	12	0	0	2	0
1-1	T1	NC_003888.3	327701	+	6mA	6mA	10	40.0	4	6	0	0	2	0
1-1	T1	NC_003888.3	328301	+	5mC	CCGG_pos_5mC	4	0.0	0	2	2	0	9	0
1-1	T1	NC_003888.3	328301	+	4mC	CCGG_4mC	4	50.0	2	2	0	0	9	0
1-1	T1	NC_003888.3	332394	-	5mC	CCGG_pos_5mC	9	0.0	0	2	7	0	15	0
1-1	T1	NC_003888.3	332394	-	4mC	CCGG_4mC	9	77.78	7	2	0	0	15	0
1-1	T1	NC_003888.3	334051	+	6mA	6mA	15	40.0	6	9	0	1	2	0
1-1	T1	NC_003888.3	335038	+	5mC	CCGG_pos_5mC	7	0.0	0	0	7	0	10	0
1-1	T1	NC_003888.3	335038	+	4mC	CCGG_4mC	7	100.0	7	0	0	0	10	0
1-1	T1	NC_003888.3	335643	+	6mA	6mA	11	72.73	8	3	0	1	6	0
1-1	T1	NC_003888.3	336454	+	6mA	6mA	13	61.54	8	5	0	0	5	0
1-1	T1	NC_003888.3	340484	-	6mA	6mA	18	50.0	9	9	0	0	4	0
1-1	T1	NC_003888.3	343113	-	6mA	6mA	15	33.33	5	10	0	1	6	0
1-1	T1	NC_003888.3	345730	+	6mA	6mA	11	72.73	8	3	0	0	3	0
1-1	T1	NC_003888.3	347855	+	6mA	6mA	13	69.23	9	4	0	0	3	0
1-1	T1	NC_003888.3	349736	-	5mC	CCGG_pos_5mC	8	0.0	0	0	8	0	10	0
1-1	T1	NC_003888.3	349736	-	4mC	CCGG_4mC	8	100.0	8	0	0	0	10	0
1-1	T1	NC_003888.3	354684	+	6mA	6mA	18	61.11	11	7	0	0	8	0
1-1	T1	NC_003888.3	354755	-	6mA	6mA	14	21.43	3	11	0	2	2	0
1-1	T1	NC_003888.3	355330	+	6mA	6mA	16	50.0	8	8	0	0	9	0
1-1	T1	NC_003888.3	355626	+	6mA	6mA	21	71.43	15	6	0	0	5	0
1-1	T1	NC_003888.3	355753	+	5mC	CCGG_pos_5mC	6	0.0	0	1	5	0	20	0
1-1	T1	NC_003888.3	355753	+	4mC	CCGG_4mC	6	83.33	5	1	0	0	20	0
1-1	T1	NC_003888.3	357889	+	6mA	6mA	16	68.75	11	5	0	0	2	3
