position	strand	timepoint	frequency	rel_pos_in_motif	motif_base	in_CCGG_C1	in_CCGG_C2	in_CCGG_other_C	orientation
749518	-	T1	92.96	5	G	False	False	False	+
753689	-	T1	92.59	5	G	False	False	False	+
778043	+	T1	80.68	3	C	True	False	False	+
778604	+	T1	92.91	3	C	True	False	False	+
801847	+	T1	57.78	3	C	True	False	False	+
826745	+	T1	66.11	3	C	True	False	False	+
849568	-	T1	88.82	5	G	False	False	False	+
862344	+	T1	96.97	3	C	True	False	False	+
869966	+	T1	89.35	3	C	True	False	False	+
899184	+	T1	92.06	3	C	True	False	False	+
901669	-	T1	100.0	5	G	False	False	False	+
911132	+	T1	80.89	3	C	True	False	False	+
912367	-	T1	90.28	5	G	False	False	False	+
961344	+	T1	89.17	3	C	True	False	False	+
976908	-	T1	94.44	5	G	False	False	False	+
982073	+	T1	97.44	3	C	True	False	False	+
992016	+	T1	96.47	3	C	True	False	False	+
995973	-	T1	93.75	5	G	False	False	False	+
1020345	-	T1	90.12	5	G	False	False	False	+
1034866	+	T1	86.57	3	C	True	False	False	+
1035686	-	T1	91.9	5	G	False	False	False	+
1064554	+	T1	98.04	3	C	True	False	False	+
1064592	+	T1	85.28	3	C	True	False	False	+
1087682	-	T1	85.77	5	G	False	False	False	+
1090733	-	T1	77.04	5	G	False	False	False	+
1097919	-	T1	87.55	5	G	False	False	False	+
1107099	+	T1	87.45	3	C	True	False	False	+
1107100	-	T1	100.0	5	G	False	False	False	+
1109050	+	T1	81.9	3	C	True	False	False	+
1123645	-	T1	97.92	5	G	False	False	False	+
1126539	+	T1	54.29	3	C	True	False	False	+
1128572	+	T1	81.11	3	C	True	False	False	+
1144627	-	T1	77.78	5	G	False	False	False	+
1157284	+	T1	93.75	3	C	True	False	False	+
1190775	-	T1	94.44	5	G	False	False	False	+
1195812	-	T1	57.67	5	G	False	False	False	+
1214206	+	T1	68.33	3	C	True	False	False	+
1256056	+	T1	88.06	3	C	True	False	False	+
1258403	-	T1	93.02	5	G	False	False	False	+
1268932	-	T1	74.21	5	G	False	False	False	+
1280327	-	T1	94.26	5	G	False	False	False	+
1293847	+	T1	96.08	3	C	True	False	False	+
1320413	+	T1	96.55	3	C	True	False	False	+
1337911	-	T1	87.59	5	G	False	False	False	+
1342816	-	T1	90.61	5	G	False	False	False	+
1365143	+	T1	67.92	3	C	True	False	False	+
1369369	-	T1	89.17	5	G	False	False	False	+
1369633	+	T1	90.0	3	C	True	False	False	+
1375940	+	T1	97.22	3	C	True	False	False	+
1386475	+	T1	91.83	3	C	True	False	False	+
1394427	-	T1	97.92	5	G	False	False	False	+
1394445	-	T1	100.0	5	G	False	False	False	+
1402389	+	T1	89.09	3	C	True	False	False	+
1403019	+	T1	94.44	3	C	True	False	False	+
1405945	-	T1	90.48	5	G	False	False	False	+
1407732	+	T1	100.0	3	C	True	False	False	+
1422369	-	T1	59.44	5	G	False	False	False	+
1423807	-	T1	78.85	5	G	False	False	False	+
1425376	-	T1	90.0	5	G	False	False	False	+
1435677	-	T1	91.85	5	G	False	False	False	+
1436860	+	T1	74.92	3	C	True	False	False	+
1439599	-	T1	96.67	5	G	False	False	False	+
1446658	-	T1	96.1	5	G	False	False	False	+
1455106	-	T1	85.55	5	G	False	False	False	+
1456612	-	T1	87.71	5	G	False	False	False	+
1458442	+	T1	84.13	3	C	True	False	False	+
1468250	-	T1	81.3	5	G	False	False	False	+
1468404	-	T1	94.84	5	G	False	False	False	+
1480748	-	T1	89.41	5	G	False	False	False	+
1486220	-	T1	96.3	5	G	False	False	False	+
1493354	+	T1	67.18	3	C	True	False	False	+
1493424	-	T1	90.42	5	G	False	False	False	+
1506714	-	T1	77.5	5	G	False	False	False	+
1520671	+	T1	75.93	3	C	True	False	False	+
1531204	+	T1	93.92	3	C	True	False	False	+
1532270	+	T1	55.7	3	C	True	False	False	+
1534652	-	T1	91.64	5	G	False	False	False	+
1543367	+	T1	91.67	3	C	True	False	False	+
1544968	+	T1	96.37	3	C	True	False	False	+
1548745	+	T1	97.78	3	C	True	False	False	+
1549039	+	T1	82.78	3	C	True	False	False	+
1553159	-	T1	77.71	5	G	False	False	False	+
1554331	-	T1	76.31	5	G	False	False	False	+
1582778	-	T1	85.0	5	G	False	False	False	+
1593629	+	T1	70.72	3	C	True	False	False	+
1614758	+	T1	91.37	3	C	True	False	False	+
1640520	+	T1	94.23	3	C	True	False	False	+
1640571	+	T1	62.03	3	C	True	False	False	+
1641368	+	T1	90.24	3	C	True	False	False	+
1650002	-	T1	94.07	5	G	False	False	False	+
1660352	+	T1	77.98	3	C	True	False	False	+
1661465	-	T1	80.0	5	G	False	False	False	+
1663079	+	T1	91.85	3	C	True	False	False	+
1667535	-	T1	95.65	5	G	False	False	False	+
1668039	-	T1	85.35	5	G	False	False	False	+
1671520	-	T1	85.18	5	G	False	False	False	+
1680069	-	T1	100.0	5	G	False	False	False	+
1680671	-	T1	93.61	5	G	False	False	False	+
1682067	+	T1	87.21	3	C	True	False	False	+
1713976	+	T1	97.62	3	C	True	False	False	+
1716986	-	T1	94.59	5	G	False	False	False	+
1717765	+	T1	89.43	3	C	True	False	False	+
1717865	-	T1	72.92	5	G	False	False	False	+
1723511	-	T1	73.49	5	G	False	False	False	+
1724336	-	T1	92.53	5	G	False	False	False	+
1724992	-	T1	92.45	5	G	False	False	False	+
1729534	-	T1	92.96	5	G	False	False	False	+
1733935	-	T1	90.6	5	G	False	False	False	+
1735496	-	T1	73.89	5	G	False	False	False	+
1744614	+	T1	88.68	3	C	True	False	False	+
1760304	-	T1	53.33	5	G	False	False	False	+
1760730	-	T1	96.02	5	G	False	False	False	+
1763623	-	T1	91.65	5	G	False	False	False	+
1767009	-	T1	76.31	5	G	False	False	False	+
1796338	-	T1	84.21	5	G	False	False	False	+
1797890	-	T1	83.33	5	G	False	False	False	+
1805538	+	T1	75.2	3	C	True	False	False	+
1808922	+	T1	83.12	3	C	True	False	False	+
1829820	-	T1	63.81	5	G	False	False	False	+
1830557	+	T1	83.55	3	C	True	False	False	+
1835273	-	T1	83.41	5	G	False	False	False	+
1844221	-	T1	91.9	5	G	False	False	False	+
1845486	+	T1	91.7	3	C	True	False	False	+
1852903	+	T1	82.08	3	C	True	False	False	+
1857576	+	T1	94.75	3	C	True	False	False	+
1860286	-	T1	74.9	5	G	False	False	False	+
1864750	+	T1	95.06	3	C	True	False	False	+
1879101	-	T1	84.43	5	G	False	False	False	+
1891961	-	T1	81.25	5	G	False	False	False	+
1897024	-	T1	100.0	5	G	False	False	False	+
1904510	+	T1	97.44	3	C	True	False	False	+
1922223	-	T1	77.89	5	G	False	False	False	+
1929016	-	T1	51.03	5	G	False	False	False	+
1940460	-	T1	98.41	5	G	False	False	False	+
1943198	+	T1	89.47	3	C	True	False	False	+
1955497	+	T1	72.53	3	C	True	False	False	+
1968495	-	T1	84.57	5	G	False	False	False	+
1974379	+	T1	76.15	3	C	True	False	False	+
1985445	+	T1	63.62	3	C	True	False	False	+
1987510	-	T1	97.1	5	G	False	False	False	+
2008110	+	T1	92.07	3	C	True	False	False	+
2010240	+	T1	100.0	3	C	True	False	False	+
2011434	+	T1	73.55	3	C	True	False	False	+
2014269	+	T1	80.59	3	C	True	False	False	+
2016683	+	T1	94.44	3	C	True	False	False	+
2017318	-	T1	59.3	5	G	False	False	False	+
2018888	-	T1	70.24	5	G	False	False	False	+
2019769	+	T1	62.72	3	C	True	False	False	+
2020066	-	T1	89.71	5	G	False	False	False	+
2020725	-	T1	95.45	5	G	False	False	False	+
2027745	+	T1	71.52	3	C	True	False	False	+
2031984	+	T1	91.96	3	C	True	False	False	+
2032645	-	T1	93.48	5	G	False	False	False	+
2037299	-	T1	91.89	5	G	False	False	False	+
2039688	-	T1	95.81	5	G	False	False	False	+
2047814	-	T1	78.14	5	G	False	False	False	+
2056153	+	T1	92.18	3	C	True	False	False	+
2061630	+	T1	75.68	3	C	True	False	False	+
2063526	+	T1	95.48	3	C	True	False	False	+
2066633	+	T1	70.6	3	C	True	False	False	+
2076578	-	T1	93.93	5	G	False	False	False	+
2079588	-	T1	57.62	5	G	False	False	False	+
2089244	-	T1	89.17	5	G	False	False	False	+
2103449	+	T1	94.62	3	C	True	False	False	+
2104393	+	T1	96.67	3	C	True	False	False	+
2104477	-	T1	99.02	5	G	False	False	False	+
2115734	+	T1	94.81	3	C	True	False	False	+
2132384	+	T1	90.91	3	C	True	False	False	+
2133135	-	T1	79.17	5	G	False	False	False	+
2140077	+	T1	98.48	3	C	True	False	False	+
2143377	-	T1	81.2	5	G	False	False	False	+
2150144	+	T1	85.22	3	C	True	False	False	+
2153661	-	T1	87.81	5	G	False	False	False	+
2163461	+	T1	88.89	3	C	True	False	False	+
2164041	-	T1	84.51	5	G	False	False	False	+
2172495	+	T1	98.41	3	C	True	False	False	+
2178642	+	T1	80.25	3	C	True	False	False	+
2180414	+	T1	69.05	3	C	True	False	False	+
2187345	-	T1	95.77	5	G	False	False	False	+
2188199	-	T1	58.93	5	G	False	False	False	+
2191975	-	T1	86.6	5	G	False	False	False	+
2196102	+	T1	97.78	3	C	True	False	False	+
2202774	-	T1	81.87	5	G	False	False	False	+
2211642	-	T1	87.01	5	G	False	False	False	+
2212029	-	T1	78.38	5	G	False	False	False	+
2218444	+	T1	92.44	3	C	True	False	False	+
2222677	+	T1	92.95	3	C	True	False	False	+
2227901	+	T1	93.83	3	C	True	False	False	+
2236130	-	T1	73.33	5	G	False	False	False	+
2238525	-	T1	66.47	5	G	False	False	False	+
2241019	+	T1	91.83	3	C	True	False	False	+
2246196	-	T1	100.0	5	G	False	False	False	+
2248740	-	T1	84.23	5	G	False	False	False	+
2255844	+	T1	93.87	3	C	True	False	False	+
2269438	+	T1	89.39	3	C	True	False	False	+
2269967	-	T1	98.85	5	G	False	False	False	+
2270080	+	T1	86.62	3	C	True	False	False	+
2274531	-	T1	94.03	5	G	False	False	False	+
2274821	+	T1	89.91	3	C	True	False	False	+
2275208	+	T1	95.6	3	C	True	False	False	+
2275487	+	T1	94.84	3	C	True	False	False	+
2279427	+	T1	97.32	3	C	True	False	False	+
2282416	-	T1	58.61	5	G	False	False	False	+
2285061	+	T1	80.25	3	C	True	False	False	+
2294401	+	T1	89.55	3	C	True	False	False	+
2295462	-	T1	62.75	5	G	False	False	False	+
2300507	-	T1	89.7	5	G	False	False	False	+
2303994	+	T1	70.87	3	C	True	False	False	+
2304887	-	T1	80.16	5	G	False	False	False	+
2307759	-	T1	88.41	5	G	False	False	False	+
2307801	-	T1	97.11	5	G	False	False	False	+
2309036	-	T1	98.72	5	G	False	False	False	+
2309573	-	T1	64.57	5	G	False	False	False	+
2311303	-	T1	93.16	5	G	False	False	False	+
2316074	+	T1	97.78	3	C	True	False	False	+
2318937	-	T1	58.33	5	G	False	False	False	+
2329793	-	T1	91.77	5	G	False	False	False	+
2331157	-	T1	59.31	5	G	False	False	False	+
2334011	+	T1	93.8	3	C	True	False	False	+
2334012	-	T1	83.97	5	G	False	False	False	+
2342068	+	T1	90.24	3	C	True	False	False	+
2342799	+	T1	75.02	3	C	True	False	False	+
2343352	-	T1	85.42	5	G	False	False	False	+
2343384	+	T1	53.33	3	C	True	False	False	+
2344597	+	T1	92.98	3	C	True	False	False	+
2347213	+	T1	97.92	3	C	True	False	False	+
2350889	-	T1	92.15	5	G	False	False	False	+
2354773	+	T1	91.04	3	C	True	False	False	+
2355371	+	T1	78.51	3	C	True	False	False	+
2356708	+	T1	64.26	3	C	True	False	False	+
2373228	-	T1	82.69	5	G	False	False	False	+
2375338	-	T1	79.62	5	G	False	False	False	+
2389907	-	T1	81.48	5	G	False	False	False	+
2395652	-	T1	96.96	5	G	False	False	False	+
2400994	+	T1	73.49	3	C	True	False	False	+
2404847	-	T1	95.54	5	G	False	False	False	+
2413467	+	T1	94.97	3	C	True	False	False	+
2421683	+	T1	100.0	3	C	True	False	False	+
2422064	-	T1	56.32	5	G	False	False	False	+
2432011	+	T1	100.0	3	C	True	False	False	+
2436275	+	T1	71.33	3	C	True	False	False	+
2454759	-	T1	84.97	5	G	False	False	False	+
2458087	+	T1	80.88	3	C	True	False	False	+
2463377	-	T1	75.22	5	G	False	False	False	+
2469372	-	T1	87.14	5	G	False	False	False	+
2473733	-	T1	95.37	5	G	False	False	False	+
2474379	+	T1	91.25	3	C	True	False	False	+
2474511	+	T1	82.78	3	C	True	False	False	+
2474766	+	T1	86.86	3	C	True	False	False	+
2486595	+	T1	82.75	3	C	True	False	False	+
2490818	+	T1	81.19	3	C	True	False	False	+
2494983	+	T1	93.01	3	C	True	False	False	+
2495262	+	T1	92.33	3	C	True	False	False	+
2495871	+	T1	60.47	3	C	True	False	False	+
2496513	+	T1	75.14	3	C	True	False	False	+
2521672	+	T1	59.6	3	C	True	False	False	+
2525552	+	T1	69.72	3	C	True	False	False	+
2527745	-	T1	92.82	5	G	False	False	False	+
2543279	-	T1	87.17	5	G	False	False	False	+
2543375	-	T1	94.27	5	G	False	False	False	+
2543552	-	T1	92.78	5	G	False	False	False	+
2543594	-	T1	89.29	5	G	False	False	False	+
2544743	+	T1	61.89	3	C	True	False	False	+
2546354	+	T1	75.71	3	C	True	False	False	+
2547347	+	T1	81.57	3	C	True	False	False	+
2559929	+	T1	55.56	3	C	True	False	False	+
2580460	+	T1	92.59	3	C	True	False	False	+
2581243	+	T1	68.23	3	C	True	False	False	+
2582224	-	T1	90.9	5	G	False	False	False	+
2592644	+	T1	69.28	3	C	True	False	False	+
2598013	+	T1	98.41	3	C	True	False	False	+
2598901	-	T1	97.85	5	G	False	False	False	+
2601300	-	T1	81.73	5	G	False	False	False	+
2602775	+	T1	65.17	3	C	True	False	False	+
2609980	-	T1	86.19	5	G	False	False	False	+
2609995	-	T1	95.0	5	G	False	False	False	+
2610388	-	T1	77.72	5	G	False	False	False	+
2630481	+	T1	70.03	3	C	True	False	False	+
2634095	+	T1	90.26	3	C	True	False	False	+
2634096	-	T1	82.22	5	G	False	False	False	+
2636552	+	T1	86.43	3	C	True	False	False	+
2639916	+	T1	73.17	3	C	True	False	False	+
2643273	-	T1	84.51	5	G	False	False	False	+
2644744	+	T1	72.22	3	C	True	False	False	+
2648815	+	T1	55.79	3	C	True	False	False	+
2657782	+	T1	68.58	3	C	True	False	False	+
2660063	+	T1	90.05	3	C	True	False	False	+
2661328	-	T1	59.18	5	G	False	False	False	+
2667118	+	T1	98.77	3	C	True	False	False	+
2668477	-	T1	95.81	5	G	False	False	False	+
2675206	-	T1	78.81	5	G	False	False	False	+
2697702	-	T1	86.39	5	G	False	False	False	+
2726388	-	T1	83.67	5	G	False	False	False	+
2727797	-	T1	91.67	5	G	False	False	False	+
2737842	-	T1	83.05	5	G	False	False	False	+
2737866	-	T1	94.61	5	G	False	False	False	+
2738932	+	T1	69.77	3	C	True	False	False	+
2743272	+	T1	82.41	3	C	True	False	False	+
2744648	+	T1	91.21	3	C	True	False	False	+
2747022	+	T1	85.95	3	C	True	False	False	+
2751179	+	T1	75.0	3	C	True	False	False	+
2753511	-	T1	92.04	5	G	False	False	False	+
2756814	+	T1	66.67	3	C	True	False	False	+
2768445	-	T1	99.12	5	G	False	False	False	+
2770892	-	T1	75.87	5	G	False	False	False	+
2781061	+	T1	59.02	3	C	True	False	False	+
2788618	+	T1	73.08	3	C	True	False	False	+
2788619	-	T1	86.13	5	G	False	False	False	+
2792757	-	T1	98.77	5	G	False	False	False	+
2793646	-	T1	78.17	5	G	False	False	False	+
2799811	+	T1	85.56	3	C	True	False	False	+
2828883	-	T1	92.38	5	G	False	False	False	+
2838443	-	T1	69.31	5	G	False	False	False	+
2847682	-	T1	90.67	5	G	False	False	False	+
2850521	+	T1	83.59	3	C	True	False	False	+
2876660	-	T1	86.6	5	G	False	False	False	+
2879925	+	T1	65.39	3	C	True	False	False	+
2884771	+	T1	87.66	3	C	True	False	False	+
2889007	+	T1	84.54	3	C	True	False	False	+
2889123	+	T1	86.73	3	C	True	False	False	+
2897265	+	T1	81.48	3	C	True	False	False	+
2906252	-	T1	94.27	5	G	False	False	False	+
2911607	+	T1	94.94	3	C	True	False	False	+
2913612	+	T1	86.37	3	C	True	False	False	+
2915338	+	T1	98.55	3	C	True	False	False	+
2918727	-	T1	69.4	5	G	False	False	False	+
2919098	-	T1	79.78	5	G	False	False	False	+
2926348	+	T1	81.14	3	C	True	False	False	+
2927962	-	T1	90.99	5	G	False	False	False	+
2927993	-	T1	86.2	5	G	False	False	False	+
2928557	+	T1	75.0	3	C	True	False	False	+
2934310	+	T1	89.94	3	C	True	False	False	+
2935051	-	T1	69.63	5	G	False	False	False	+
2942021	-	T1	90.56	5	G	False	False	False	+
2945348	-	T1	83.82	5	G	False	False	False	+
2946180	-	T1	65.81	5	G	False	False	False	+
2961070	-	T1	71.56	5	G	False	False	False	+
2964190	+	T1	65.2	3	C	True	False	False	+
2971440	-	T1	87.23	5	G	False	False	False	+
2997515	+	T1	80.34	3	C	True	False	False	+
2998598	-	T1	63.97	5	G	False	False	False	+
3000114	+	T1	57.79	3	C	True	False	False	+
3000735	+	T1	93.86	3	C	True	False	False	+
3012824	-	T1	73.89	5	G	False	False	False	+
3013751	+	T1	86.15	3	C	True	False	False	+
3016211	-	T1	62.78	5	G	False	False	False	+
3024068	-	T1	84.54	5	G	False	False	False	+
3024503	-	T1	90.5	5	G	False	False	False	+
3028930	+	T1	72.11	3	C	True	False	False	+
3037035	-	T1	95.95	5	G	False	False	False	+
3050855	-	T1	72.31	5	G	False	False	False	+
3051337	+	T1	100.0	3	C	True	False	False	+
3057581	-	T1	74.95	5	G	False	False	False	+
3058257	-	T1	75.98	5	G	False	False	False	+
3059426	-	T1	90.71	5	G	False	False	False	+
3067139	+	T1	61.97	3	C	True	False	False	+
3067961	+	T1	90.85	3	C	True	False	False	+
3069604	+	T1	74.71	3	C	True	False	False	+
3075005	+	T1	55.71	3	C	True	False	False	+
3082963	-	T1	86.67	5	G	False	False	False	+
3084783	+	T1	93.07	3	C	True	False	False	+
3091544	-	T1	60.99	5	G	False	False	False	+
3093632	+	T1	56.94	3	C	True	False	False	+
3097001	+	T1	86.38	3	C	True	False	False	+
3102750	+	T1	92.31	3	C	True	False	False	+
3103725	-	T1	70.35	5	G	False	False	False	+
3112284	+	T1	91.11	3	C	True	False	False	+
3114330	+	T1	72.46	3	C	True	False	False	+
3122250	+	T1	67.18	3	C	True	False	False	+
3129517	+	T1	98.33	3	C	True	False	False	+
3129518	-	T1	74.3	5	G	False	False	False	+
3133986	-	T1	64.45	5	G	False	False	False	+
3137294	+	T1	58.81	3	C	True	False	False	+
3140842	+	T1	95.25	3	C	True	False	False	+
3141094	+	T1	89.29	3	C	True	False	False	+
3163948	-	T1	86.09	5	G	False	False	False	+
3165387	+	T1	75.43	3	C	True	False	False	+
3168458	+	T1	80.71	3	C	True	False	False	+
3168474	+	T1	65.33	3	C	True	False	False	+
3184329	+	T1	92.54	3	C	True	False	False	+
3185368	+	T1	96.26	3	C	True	False	False	+
3201404	+	T1	86.09	3	C	True	False	False	+
3210065	-	T1	70.61	5	G	False	False	False	+
3211953	-	T1	53.89	5	G	False	False	False	+
3223037	+	T1	92.78	3	C	True	False	False	+
3225250	-	T1	54.44	5	G	False	False	False	+
3226415	-	T1	75.92	5	G	False	False	False	+
3233570	-	T1	89.8	5	G	False	False	False	+
3233975	-	T1	94.55	5	G	False	False	False	+
3234842	-	T1	94.05	5	G	False	False	False	+
3235904	+	T1	90.37	3	C	True	False	False	+
3242499	+	T1	89.67	3	C	True	False	False	+
3252894	-	T1	92.23	5	G	False	False	False	+
3255812	+	T1	94.19	3	C	True	False	False	+
3256210	+	T1	79.43	3	C	True	False	False	+
3270785	-	T1	97.87	5	G	False	False	False	+
3276195	-	T1	96.3	5	G	False	False	False	+
3278193	-	T1	88.33	5	G	False	False	False	+
3281296	+	T1	93.11	3	C	True	False	False	+
3281617	+	T1	64.32	3	C	True	False	False	+
3305529	-	T1	60.88	5	G	False	False	False	+
3307899	+	T1	86.1	3	C	True	False	False	+
3309515	-	T1	59.59	5	G	False	False	False	+
3310391	+	T1	87.86	3	C	True	False	False	+
3317882	-	T1	88.54	5	G	False	False	False	+
3336717	+	T1	56.84	3	C	True	False	False	+
3340217	-	T1	96.33	5	G	False	False	False	+
3347074	+	T1	98.41	3	C	True	False	False	+
3348495	-	T1	76.24	5	G	False	False	False	+
3354644	-	T1	93.84	5	G	False	False	False	+
3364273	-	T1	66.29	5	G	False	False	False	+
3367956	-	T1	99.38	5	G	False	False	False	+
3372731	+	T1	85.4	3	C	True	False	False	+
3377667	-	T1	92.88	5	G	False	False	False	+
3383765	+	T1	79.92	3	C	True	False	False	+
3383766	-	T1	85.95	5	G	False	False	False	+
3384808	+	T1	69.29	3	C	True	False	False	+
3386051	-	T1	85.74	5	G	False	False	False	+
3395991	-	T1	72.85	5	G	False	False	False	+
3397812	+	T1	80.42	3	C	True	False	False	+
3401573	+	T1	72.79	3	C	True	False	False	+
3404475	+	T1	91.18	3	C	True	False	False	+
3408444	+	T1	86.12	3	C	True	False	False	+
3412086	-	T1	89.87	5	G	False	False	False	+
3417037	-	T1	88.96	5	G	False	False	False	+
3423184	+	T1	89.3	3	C	True	False	False	+
3425918	+	T1	78.55	3	C	True	False	False	+
3433860	-	T1	81.08	5	G	False	False	False	+
3440408	+	T1	89.33	3	C	True	False	False	+
3440963	+	T1	55.16	3	C	True	False	False	+
3444695	+	T1	81.91	3	C	True	False	False	+
3453798	-	T1	68.21	5	G	False	False	False	+
3457054	+	T1	80.38	3	C	True	False	False	+
3462147	+	T1	85.1	3	C	True	False	False	+
3472992	+	T1	93.7	3	C	True	False	False	+
3477141	+	T1	96.92	3	C	True	False	False	+
3477870	+	T1	80.71	3	C	True	False	False	+
3481531	-	T1	58.86	5	G	False	False	False	+
3483724	-	T1	89.04	5	G	False	False	False	+
3483787	-	T1	95.19	5	G	False	False	False	+
3486246	+	T1	82.04	3	C	True	False	False	+
3487389	+	T1	95.77	3	C	True	False	False	+
3488743	+	T1	63.29	3	C	True	False	False	+
3492878	+	T1	91.67	3	C	True	False	False	+
3507160	-	T1	97.18	5	G	False	False	False	+
3513993	+	T1	68.49	3	C	True	False	False	+
3514878	-	T1	87.85	5	G	False	False	False	+
3518688	-	T1	70.6	5	G	False	False	False	+
3520479	+	T1	84.07	3	C	True	False	False	+
3521870	-	T1	90.27	5	G	False	False	False	+
3522545	-	T1	79.18	5	G	False	False	False	+
3526687	+	T1	97.06	3	C	True	False	False	+
3529637	-	T1	89.56	5	G	False	False	False	+
3530668	+	T1	85.3	3	C	True	False	False	+
3533745	+	T1	87.11	3	C	True	False	False	+
3533746	-	T1	85.94	5	G	False	False	False	+
3539825	-	T1	83.43	5	G	False	False	False	+
3545442	+	T1	68.05	3	C	True	False	False	+
3550050	+	T1	72.29	3	C	True	False	False	+
3583855	+	T1	90.93	3	C	True	False	False	+
3584284	+	T1	87.12	3	C	True	False	False	+
3588521	-	T1	85.69	5	G	False	False	False	+
3593344	-	T1	80.64	5	G	False	False	False	+
3595700	+	T1	86.02	3	C	True	False	False	+
3601358	+	T1	92.84	3	C	True	False	False	+
3602098	-	T1	85.84	5	G	False	False	False	+
3604228	+	T1	75.56	3	C	True	False	False	+
3607978	+	T1	68.65	3	C	True	False	False	+
3617785	-	T1	93.29	5	G	False	False	False	+
3619980	+	T1	80.51	3	C	True	False	False	+
3620211	+	T1	90.56	3	C	True	False	False	+
3621988	-	T1	72.34	5	G	False	False	False	+
3622804	+	T1	94.95	3	C	True	False	False	+
3629593	-	T1	59.44	5	G	False	False	False	+
3631693	+	T1	57.78	3	C	True	False	False	+
3632650	-	T1	56.83	5	G	False	False	False	+
3638106	-	T1	95.95	5	G	False	False	False	+
3639865	+	T1	74.52	3	C	True	False	False	+
3641279	+	T1	95.19	3	C	True	False	False	+
3646715	-	T1	91.07	5	G	False	False	False	+
3648808	+	T1	77.06	3	C	True	False	False	+
3658730	-	T1	95.57	5	G	False	False	False	+
3666058	+	T1	51.57	3	C	True	False	False	+
3668349	+	T1	84.52	3	C	True	False	False	+
3670927	-	T1	92.76	5	G	False	False	False	+
3671380	-	T1	93.61	5	G	False	False	False	+
3673765	-	T1	52.91	5	G	False	False	False	+
3685263	-	T1	60.9	5	G	False	False	False	+
3692158	+	T1	83.07	3	C	True	False	False	+
3693776	+	T1	86.71	3	C	True	False	False	+
3693989	+	T1	86.13	3	C	True	False	False	+
3696288	-	T1	92.94	5	G	False	False	False	+
3696485	+	T1	83.12	3	C	True	False	False	+
3698585	+	T1	95.48	3	C	True	False	False	+
3699228	+	T1	79.03	3	C	True	False	False	+
3700627	-	T1	82.5	5	G	False	False	False	+
3706514	-	T1	82.55	5	G	False	False	False	+
3708230	+	T1	68.69	3	C	True	False	False	+
3708810	+	T1	81.18	3	C	True	False	False	+
3716228	+	T1	94.31	3	C	True	False	False	+
3723492	+	T1	92.88	3	C	True	False	False	+
3725142	-	T1	92.63	5	G	False	False	False	+
3725896	+	T1	70.4	3	C	True	False	False	+
3743216	+	T1	91.85	3	C	True	False	False	+
3744614	-	T1	73.43	5	G	False	False	False	+
3761661	-	T1	80.84	5	G	False	False	False	+
3764466	-	T1	84.63	5	G	False	False	False	+
3766880	+	T1	65.96	3	C	True	False	False	+
3769553	+	T1	82.04	3	C	True	False	False	+
3773667	-	T1	90.25	5	G	False	False	False	+
3779648	-	T1	90.49	5	G	False	False	False	+
3781081	+	T1	84.34	3	C	True	False	False	+
3783905	+	T1	78.78	3	C	True	False	False	+
3789808	-	T1	87.23	5	G	False	False	False	+
3794027	-	T1	93.5	5	G	False	False	False	+
3795607	+	T1	97.98	3	C	True	False	False	+
