bgc_name	gene_id	old_locus_tag	gene_name	product	pwm_name	motif_count	top_score	best_pvalue	best_qvalue	mean_dist_to_tss
act	SC_RS27520	SCO5072	NA	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	282.6
act	SC_RS27525	SCO5073	NA	quinone oxidoreductase family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	199.33333333333331
act	SC_RS27530	SCO5074	NA	hypothetical protein	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	255
act	SC_RS27535	SCO5075	NA	NADP-dependent oxidoreductase	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	359
act	SC_RS27540	SCO5076	NA	MFS transporter	SARP_heptamer_strict	8	9.42647	1.88e-4	0.0511	239.375
act	SC_RS27550	SCO5078	NA	DUF6081 family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	279.3333333333333
act	SC_RS27555	SCO5079	NA	NmrA/HSCARG family protein	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	203
act	SC_RS27560	SCO5080	actVA	actinorhodin polyketide dimerase ActVA	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	252.66666666666666
act	SC_RS27565	SCO5081	NA	antibiotic biosynthesis monooxygenase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	371
act	SC_RS27570	SCO5082	actII-orf4	TetR family transcriptional regulator ActII	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	148
act	SC_RS27580	SCO5084	NA	MMPL family transporter	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	319.4
act	SC_RS27595	SCO5087	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	343.3333333333333
act	SC_RS27605	SCO5089	NA	acyl carrier protein	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	490
act	SC_RS27610	SCO5090	NA	aromatase/cyclase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	15
act	SC_RS27615	SCO5091	NA	MBL fold metallo-hydrolase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	175
act	SC_RS27620	SCO5092	actVB	actinorhodin polyketide dimerase ActVB	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	313.3333333333333
act	SC_RS27560	SCO5080	actVA	actinorhodin polyketide dimerase ActVA	ActII_ORF4	4	8.5545	2.31e-4	0.176	262.5
act	SC_RS27620	SCO5092	actVB	actinorhodin polyketide dimerase ActVB	ActII_ORF4	4	8.5545	2.31e-4	0.176	251.25
act	SC_RS27550	SCO5078	NA	DUF6081 family protein	SARP_heptamer_relaxed	6	7.05802	2.32e-4	0.0435	305.3333333333333
act	SC_RS27555	SCO5079	NA	NmrA/HSCARG family protein	SARP_heptamer_relaxed	9	7.05802	2.32e-4	0.0435	226.33333333333334
act	SC_RS27565	SCO5081	NA	antibiotic biosynthesis monooxygenase	SARP_heptamer_relaxed	4	7.05802	2.32e-4	0.0435	253.75
act	SC_RS27570	SCO5082	actII-orf4	TetR family transcriptional regulator ActII	SARP_heptamer_relaxed	10	7.05802	2.32e-4	0.0435	203.4
act	SC_RS27610	SCO5090	NA	aromatase/cyclase	SARP_heptamer_relaxed	4	7.05802	2.32e-4	0.0435	81.25
act	SC_RS27530	SCO5074	NA	hypothetical protein	ActII_ORF4	3	8.38863	2.65e-4	0.176	167.33333333333334
act	SC_RS27570	SCO5082	actII-orf4	TetR family transcriptional regulator ActII	ActII_ORF4	2	8.19905	3.22e-4	0.176	179.5
act	SC_RS27610	SCO5090	NA	aromatase/cyclase	ActII_ORF4	5	8.19905	3.22e-4	0.176	139.4
act	SC_RS27565	SCO5081	NA	antibiotic biosynthesis monooxygenase	ActII_ORF4	4	8.19431	3.26e-4	0.176	202.25
act	SC_RS27545	SCO5077	NA	PPOX class F420-dependent oxidoreductase	ActII_ORF4	3	8.09953	3.74e-4	0.176	336
act	SC_RS27580	SCO5084	NA	MMPL family transporter	ActII_ORF4	4	8.09953	3.74e-4	0.176	338.5
act	SC_RS27615	SCO5091	NA	MBL fold metallo-hydrolase	ActII_ORF4	3	7.99052	3.86e-4	0.176	215
act	SC_RS27520	SCO5072	NA	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	ActII_ORF4	5	7.97156	4.11e-4	0.176	272
act	SC_RS27590	SCO5086	NA	3-oxoacyl-ACP reductase	SARP_heptamer_relaxed	4	6.43686	5.25e-4	0.0559	163
act	SC_RS27605	SCO5089	NA	acyl carrier protein	ActII_ORF4	8	7.61137	5.76e-4	0.176	327.75
act	SC_RS27600	SCO5088	NA	ketosynthase chain-length factor	SARP_heptamer_relaxed	1	6.33447	6.51e-4	0.0559	192
act	SC_RS27600	SCO5088	NA	ketosynthase chain-length factor	ActII_ORF4	4	7.38863	6.93e-4	0.176	319.25
act	SC_RS27575	SCO5083	NA	MFS transporter	SARP_heptamer_relaxed	2	6.0273	8.7e-4	0.0559	292
cda	SC_RS18180	SCO3213	NA	anthranilate synthase component II	ActII_ORF4	2	10.4692	2.51e-5	0.105	285
cda	SC_RS18325	SCO3242	NA	SCO3242 family prenyltransferase	ActII_ORF4	3	10.4692	2.51e-5	0.105	203.33333333333334
cda	SC_RS18175	SCO3212	trpD	anthranilate phosphoribosyltransferase	SARP_heptamer_relaxed	11	8.49829	4.39e-5	0.0417	235.27272727272728
cda	SC_RS18175	SCO3212	trpD	anthranilate phosphoribosyltransferase	SARP_heptamer_strict	7	11.9167	4.39e-5	0.0511	238.14285714285714
cda	SC_RS18240	SCO3225	absA1	sensor histidine kinase	SARP_heptamer_relaxed	4	8.49829	4.39e-5	0.0417	361
cda	SC_RS18240	SCO3225	absA1	sensor histidine kinase	SARP_heptamer_strict	2	11.9167	4.39e-5	0.0511	396.5
cda	SC_RS18330	SCO3243	NA	inositol-3-phosphate synthase	SARP_heptamer_relaxed	9	8.49829	4.39e-5	0.0417	323.55555555555554
cda	SC_RS18330	SCO3243	NA	inositol-3-phosphate synthase	SARP_heptamer_strict	5	11.9167	4.39e-5	0.0511	367.6
cda	SC_RS18280	SCO3233	NA	alpha/beta fold hydrolase	ActII_ORF4	6	10.2417	4.47e-5	0.162	177
cda	SC_RS18170	SCO3211	trpC	indole-3-glycerol phosphate synthase TrpC	ActII_ORF4	4	9.5782	7.68e-5	0.176	74
cda	SC_RS18330	SCO3243	NA	inositol-3-phosphate synthase	ActII_ORF4	4	9.22275	1.11e-4	0.176	190.75
cda	SC_RS18165	SCO3210	NA	class II 3-deoxy-7-phosphoheptulonate synthase	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	213.125
cda	SC_RS18180	SCO3213	NA	anthranilate synthase component II	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	208.33333333333331
cda	SC_RS18195	SCO3216	NA	HAD-IC family P-type ATPase	SARP_heptamer_relaxed	5	7.46758	1.16e-4	0.0417	426
cda	SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	226.83333333333331
cda	SC_RS18205	SCO3218	NA	MbtH family protein	SARP_heptamer_relaxed	10	7.46758	1.16e-4	0.0417	209.4
cda	SC_RS18210	SCO3219	NA	alpha/beta hydrolase family protein	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	236.25
cda	SC_RS18220	SCO3221	NA	prephenate dehydrogenase	SARP_heptamer_relaxed	5	7.46758	1.16e-4	0.0417	327.2
cda	SC_RS18225	SCO3222	NA	phospholipase	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	141.5
cda	SC_RS18250	SCO3227	NA	aminotransferase-like domain-containing protein	SARP_heptamer_relaxed	9	7.46758	1.16e-4	0.0417	223.66666666666666
cda	SC_RS18265	SCO3230	NA	non-ribosomal peptide synthase/polyketide synthase	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	381.3333333333333
cda	SC_RS18270	SCO3231	NA	non-ribosomal peptide synthetase	SARP_heptamer_relaxed	4	7.46758	1.16e-4	0.0417	257.75
cda	SC_RS18275	SCO3232	NA	amino acid adenylation domain-containing protein	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	267
cda	SC_RS18280	SCO3233	NA	alpha/beta fold hydrolase	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	191.83333333333334
cda	SC_RS18300	SCO3237	NA	alkaline phosphatase family protein	SARP_heptamer_relaxed	14	7.46758	1.16e-4	0.0417	164.64285714285714
cda	SC_RS18305	SCO3238	eboE	metabolite traffic protein EboE	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	217.375
cda	SC_RS18310	SCO3239	NA	TatD family hydrolase	SARP_heptamer_relaxed	7	7.46758	1.16e-4	0.0417	294.2857142857143
cda	SC_RS18315	SCO3240	NA	EboA domain-containing protein	SARP_heptamer_relaxed	10	7.46758	1.16e-4	0.0417	240.79999999999998
cda	SC_RS18320	SCO3241	NA	sugar phosphate isomerase/epimerase family protein	SARP_heptamer_relaxed	13	7.46758	1.16e-4	0.0417	239.84615384615384
cda	SC_RS18325	SCO3242	NA	SCO3242 family prenyltransferase	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	250.125
cda	SC_RS18345	SCO3246	NA	beta-ketoacyl-ACP synthase III	SARP_heptamer_relaxed	9	7.46758	1.16e-4	0.0417	264.77777777777777
cda	SC_RS18355	SCO3248	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	SARP_heptamer_relaxed	5	7.46758	1.16e-4	0.0417	344.4
cda	SC_RS18190	SCO3215	NA	class I SAM-dependent methyltransferase	SARP_heptamer_relaxed	11	7.36519	1.6e-4	0.0435	202.27272727272728
cda	SC_RS18165	SCO3210	NA	class II 3-deoxy-7-phosphoheptulonate synthase	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	168
cda	SC_RS18170	SCO3211	trpC	indole-3-glycerol phosphate synthase TrpC	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	222.5
cda	SC_RS18180	SCO3213	NA	anthranilate synthase component II	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	175
cda	SC_RS18185	SCO3214	NA	anthranilate synthase component I family protein	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	338.5
cda	SC_RS18195	SCO3216	NA	HAD-IC family P-type ATPase	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	408.75
cda	SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	308.5
cda	SC_RS18205	SCO3218	NA	MbtH family protein	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	266.75
cda	SC_RS18210	SCO3219	NA	alpha/beta hydrolase family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	310.3333333333333
cda	SC_RS18215	SCO3220	NA	hypothetical protein	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	156.5
cda	SC_RS18220	SCO3221	NA	prephenate dehydrogenase	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	329
cda	SC_RS18225	SCO3222	NA	phospholipase	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	157.4
cda	SC_RS18245	SCO3226	absA2	two component system response regulator	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	360
cda	SC_RS18250	SCO3227	NA	aminotransferase-like domain-containing protein	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	196.4
cda	SC_RS18260	SCO3229	hppD	4-hydroxyphenylpyruvate dioxygenase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	172
cda	SC_RS18265	SCO3230	NA	non-ribosomal peptide synthase/polyketide synthase	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	390.5
cda	SC_RS18270	SCO3231	NA	non-ribosomal peptide synthetase	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	287
cda	SC_RS18275	SCO3232	NA	amino acid adenylation domain-containing protein	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	406
cda	SC_RS18280	SCO3233	NA	alpha/beta fold hydrolase	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	230
cda	SC_RS18295	SCO3236	asnO	L-asparagine oxygenase	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	253.33333333333334
cda	SC_RS18300	SCO3237	NA	alkaline phosphatase family protein	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	201
cda	SC_RS18305	SCO3238	eboE	metabolite traffic protein EboE	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	181
cda	SC_RS18310	SCO3239	NA	TatD family hydrolase	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	193
cda	SC_RS18315	SCO3240	NA	EboA domain-containing protein	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	178.2
cda	SC_RS18320	SCO3241	NA	sugar phosphate isomerase/epimerase family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	206.66666666666666
cda	SC_RS18325	SCO3242	NA	SCO3242 family prenyltransferase	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	340.75
cda	SC_RS18335	SCO3244	NA	hypothetical protein	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	73
cda	SC_RS18340	SCO3245	NA	FAD-dependent monooxygenase	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	222.5
cda	SC_RS18345	SCO3246	NA	beta-ketoacyl-ACP synthase III	SARP_heptamer_strict	8	9.42647	1.88e-4	0.0511	264.625
cda	SC_RS18350	SCO3247	NA	acyl-CoA dehydrogenase family protein	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	283.5
cda	SC_RS18355	SCO3248	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	388
cda	SC_RS18235	SCO3224	NA	ABC transporter ATP-binding protein	ActII_ORF4	2	8.5545	2.31e-4	0.176	122
cda	SC_RS18265	SCO3230	NA	non-ribosomal peptide synthase/polyketide synthase	ActII_ORF4	1	8.5545	2.31e-4	0.176	391
cda	SC_RS18305	SCO3238	eboE	metabolite traffic protein EboE	ActII_ORF4	5	8.5545	2.31e-4	0.176	360.8
cda	SC_RS18170	SCO3211	trpC	indole-3-glycerol phosphate synthase TrpC	SARP_heptamer_relaxed	5	7.05802	2.32e-4	0.0435	250.2
cda	SC_RS18185	SCO3214	NA	anthranilate synthase component I family protein	SARP_heptamer_relaxed	8	7.05802	2.32e-4	0.0435	269.25
cda	SC_RS18215	SCO3220	NA	hypothetical protein	SARP_heptamer_relaxed	3	7.05802	2.32e-4	0.0435	125.66666666666667
cda	SC_RS18245	SCO3226	absA2	two component system response regulator	SARP_heptamer_relaxed	14	7.05802	2.32e-4	0.0435	290
cda	SC_RS18260	SCO3229	hppD	4-hydroxyphenylpyruvate dioxygenase	SARP_heptamer_relaxed	6	7.05802	2.32e-4	0.0435	220
cda	SC_RS18295	SCO3236	asnO	L-asparagine oxygenase	SARP_heptamer_relaxed	8	7.05802	2.32e-4	0.0435	273.25
cda	SC_RS18335	SCO3244	NA	hypothetical protein	SARP_heptamer_relaxed	6	7.05802	2.32e-4	0.0435	268.3333333333333
cda	SC_RS18340	SCO3245	NA	FAD-dependent monooxygenase	SARP_heptamer_relaxed	6	7.05802	2.32e-4	0.0435	188.16666666666666
cda	SC_RS18350	SCO3247	NA	acyl-CoA dehydrogenase family protein	SARP_heptamer_relaxed	9	7.05802	2.32e-4	0.0435	216
cda	SC_RS18220	SCO3221	NA	prephenate dehydrogenase	ActII_ORF4	2	8.52133	2.35e-4	0.176	202
cda	SC_RS18215	SCO3220	NA	hypothetical protein	ActII_ORF4	1	8.38863	2.65e-4	0.176	56
cda	SC_RS18245	SCO3226	absA2	two component system response regulator	ActII_ORF4	1	8.38863	2.65e-4	0.176	303
cda	SC_RS18255	SCO3228	NA	alpha-hydroxy acid oxidase	SARP_heptamer_relaxed	4	7.04778	2.76e-4	0.0489	298.75
cda	SC_RS18250	SCO3227	NA	aminotransferase-like domain-containing protein	ActII_ORF4	3	8.32701	3.05e-4	0.176	224.66666666666666
cda	SC_RS18355	SCO3248	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	ActII_ORF4	2	8.32701	3.05e-4	0.176	309
cda	SC_RS18360	SCO3249	NA	acyl carrier protein	ActII_ORF4	1	8.32701	3.05e-4	0.176	470
cda	SC_RS18255	SCO3228	NA	alpha-hydroxy acid oxidase	SARP_heptamer_strict	1	9.04412	3.2e-4	0.0772	490
cda	SC_RS18185	SCO3214	NA	anthranilate synthase component I family protein	ActII_ORF4	5	8.19905	3.22e-4	0.176	216.2
cda	SC_RS18210	SCO3219	NA	alpha/beta hydrolase family protein	ActII_ORF4	4	8.19905	3.22e-4	0.176	202.5
cda	SC_RS18230	SCO3223	NA	ABC transporter permease subunit	ActII_ORF4	1	8.19905	3.22e-4	0.176	182
cda	SC_RS18295	SCO3236	asnO	L-asparagine oxygenase	ActII_ORF4	2	8.19431	3.26e-4	0.176	189
cda	SC_RS18190	SCO3215	NA	class I SAM-dependent methyltransferase	SARP_heptamer_strict	2	8.95098	3.64e-4	0.0849	253
cda	SC_RS18255	SCO3228	NA	alpha-hydroxy acid oxidase	ActII_ORF4	3	7.99052	3.86e-4	0.176	122.33333333333334
cda	SC_RS18270	SCO3231	NA	non-ribosomal peptide synthetase	ActII_ORF4	3	7.9763	3.92e-4	0.176	183.66666666666669
cda	SC_RS18310	SCO3239	NA	TatD family hydrolase	ActII_ORF4	1	7.87204	4.55e-4	0.176	247
cda	SC_RS18350	SCO3247	NA	acyl-CoA dehydrogenase family protein	ActII_ORF4	4	7.87204	4.55e-4	0.176	331.25
cda	SC_RS18235	SCO3224	NA	ABC transporter ATP-binding protein	SARP_heptamer_relaxed	8	6.51195	4.95e-4	0.0559	245
cda	SC_RS18315	SCO3240	NA	EboA domain-containing protein	ActII_ORF4	5	7.76303	5.01e-4	0.176	248.6
cda	SC_RS18240	SCO3225	absA1	sensor histidine kinase	ActII_ORF4	1	7.74408	5.18e-4	0.176	261
cda	SC_RS18285	SCO3234	hasP	3-hydroxyasparagine phosphotransferase	SARP_heptamer_relaxed	4	6.43686	5.25e-4	0.0559	237
cda	SC_RS18290	SCO3235	NA	ABC transporter ATP-binding protein	SARP_heptamer_relaxed	6	6.43686	5.25e-4	0.0559	256
cda	SC_RS18235	SCO3224	NA	ABC transporter ATP-binding protein	SARP_heptamer_strict	2	7.90196	5.49e-4	0.113	253
cda	SC_RS18230	SCO3223	NA	ABC transporter permease subunit	SARP_heptamer_strict	1	7.81863	6.02e-4	0.123	152
cda	SC_RS18175	SCO3212	trpD	anthranilate phosphoribosyltransferase	ActII_ORF4	3	7.53081	6.08e-4	0.176	406
cda	SC_RS18225	SCO3222	NA	phospholipase	ActII_ORF4	1	7.53081	6.08e-4	0.176	200
cda	SC_RS18275	SCO3232	NA	amino acid adenylation domain-containing protein	ActII_ORF4	1	7.53081	6.08e-4	0.176	79
cda	SC_RS18345	SCO3246	NA	beta-ketoacyl-ACP synthase III	ActII_ORF4	3	7.53081	6.08e-4	0.176	248.33333333333334
cda	SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	ActII_ORF4	2	7.49763	6.26e-4	0.176	171.5
cda	SC_RS18230	SCO3223	NA	ABC transporter permease subunit	SARP_heptamer_relaxed	1	6.33447	6.51e-4	0.0559	74
cda	SC_RS18190	SCO3215	NA	class I SAM-dependent methyltransferase	ActII_ORF4	1	7.36493	7.15e-4	0.176	113
cda	SC_RS18205	SCO3218	NA	MbtH family protein	ActII_ORF4	2	7.30332	7.79e-4	0.176	328.5
cda	SC_RS18285	SCO3234	hasP	3-hydroxyasparagine phosphotransferase	ActII_ORF4	1	7.30332	7.79e-4	0.176	330
cda	SC_RS18360	SCO3249	NA	acyl carrier protein	SARP_heptamer_relaxed	1	6.0273	8.7e-4	0.0559	412
cda	SC_RS18290	SCO3235	NA	ABC transporter ATP-binding protein	ActII_ORF4	1	7.07583	9.54e-4	0.189	238
cpk	SC_RS33640	SCO6278	NA	MFS transporter	ActII_ORF4	4	11.4929	8.32e-6	0.105	250.5
cpk	SC_RS33615	SCO6273	NA	thioester reductase domain-containing protein	SARP_heptamer_relaxed	5	8.49829	4.39e-5	0.0417	152.8
cpk	SC_RS33615	SCO6273	NA	thioester reductase domain-containing protein	SARP_heptamer_strict	4	11.9167	4.39e-5	0.0511	149.25
cpk	SC_RS33685	SCO6287	NA	thioesterase II family protein	ActII_ORF4	3	9.5782	7.68e-5	0.176	401.3333333333333
cpk	SC_RS33625	SCO6275	NA	type I polyketide synthase	ActII_ORF4	3	9.38389	9.19e-5	0.176	203
cpk	SC_RS33620	SCO6274	NA	SDR family NAD(P)-dependent oxidoreductase	SARP_heptamer_relaxed	11	7.46758	1.16e-4	0.0417	277.6363636363636
cpk	SC_RS33625	SCO6275	NA	type I polyketide synthase	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	210.875
cpk	SC_RS33630	SCO6276	NA	FAD-dependent oxidoreductase	SARP_heptamer_relaxed	3	7.46758	1.16e-4	0.0417	403.3333333333333
cpk	SC_RS33635	SCO6277	NA	alpha/beta fold hydrolase	SARP_heptamer_relaxed	7	7.46758	1.16e-4	0.0417	228.85714285714286
cpk	SC_RS33645	SCO6279	NA	aspartate aminotransferase family protein	SARP_heptamer_relaxed	8	7.46758	1.16e-4	0.0417	262.625
cpk	SC_RS33655	SCO6281	NA	FAD-binding oxidoreductase	SARP_heptamer_relaxed	9	7.46758	1.16e-4	0.0417	296.3333333333333
cpk	SC_RS33660	SCO6282	cpkO	SDR family oxidoreductase	SARP_heptamer_relaxed	6	7.46758	1.16e-4	0.0417	223.33333333333334
cpk	SC_RS33670	SCO6284	NA	acyl-CoA carboxylase subunit beta	SARP_heptamer_relaxed	10	7.46758	1.16e-4	0.0417	302.5
cpk	SC_RS33680	SCO6286	scbR2	ScbR family autoregulator-binding transcription factor	SARP_heptamer_relaxed	10	7.46758	1.16e-4	0.0417	184.3
cpk	SC_RS33690	SCO6288	NA	AfsR/SARP family transcriptional regulator	SARP_heptamer_relaxed	7	7.46758	1.16e-4	0.0417	233
cpk	SC_RS33665	SCO6283	NA	NAD(P)H-binding protein	SARP_heptamer_relaxed	4	7.36519	1.6e-4	0.0435	291.75
cpk	SC_RS33620	SCO6274	NA	SDR family NAD(P)-dependent oxidoreductase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	56
cpk	SC_RS33625	SCO6275	NA	type I polyketide synthase	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	208.2
cpk	SC_RS33630	SCO6276	NA	FAD-dependent oxidoreductase	SARP_heptamer_strict	1	9.42647	1.88e-4	0.0511	412
cpk	SC_RS33635	SCO6277	NA	alpha/beta fold hydrolase	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	280.75
cpk	SC_RS33640	SCO6278	NA	MFS transporter	SARP_heptamer_strict	2	9.42647	1.88e-4	0.0511	372
cpk	SC_RS33645	SCO6279	NA	aspartate aminotransferase family protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	203
cpk	SC_RS33655	SCO6281	NA	FAD-binding oxidoreductase	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	310.25
cpk	SC_RS33660	SCO6282	cpkO	SDR family oxidoreductase	SARP_heptamer_strict	5	9.42647	1.88e-4	0.0511	227.2
cpk	SC_RS33665	SCO6283	NA	NAD(P)H-binding protein	SARP_heptamer_strict	3	9.42647	1.88e-4	0.0511	286
cpk	SC_RS33670	SCO6284	NA	acyl-CoA carboxylase subunit beta	SARP_heptamer_strict	4	9.42647	1.88e-4	0.0511	295.75
