bgc_name	gene_id	old_locus_tag	gene_name	role	contig	start	end	strand	product	gene_type
act	SC_RS27600	SCO5088	NA	biosynthesis	NC_003888.3	5531201	5532424	+	ketosynthase chain-length factor	BGC_gene
act	SC_RS27605	SCO5089	NA	biosynthesis	NC_003888.3	5532449	5532709	+	acyl carrier protein	BGC_gene
act	SC_RS27610	SCO5090	NA	biosynthesis	NC_003888.3	5532706	5533656	+	aromatase/cyclase	BGC_gene
act	SC_RS27615	SCO5091	NA	biosynthesis	NC_003888.3	5533653	5534546	+	MBL fold metallo-hydrolase	BGC_gene
act	SC_RS27620	SCO5092	actVB	biosynthesis	NC_003888.3	5534558	5535091	+	actinorhodin polyketide dimerase ActVB	BGC_gene
red	SC_RS31630	SCO5877	redD	regulator	NC_003888.3	6432812	6433618	+	AfsR/SARP family transcriptional regulator	BGC_gene
red	SC_RS31635	SCO5878	NA	biosynthesis	NC_003888.3	6433650	6436616	+	beta-ketoacyl [acyl carrier protein] synthase domain-containing protein	BGC_gene
red	SC_RS31640	SCO5879	redW	biosynthesis	NC_003888.3	6436613	6437788	+	L-prolyl-[peptidyl-carrier protein] dehydrogenase	BGC_gene
red	SC_RS31645	SCO5880	NA	biosynthesis	NC_003888.3	6437814	6438134	+	RedY protein	BGC_gene
red	SC_RS31650	SCO5881	redZ	regulator	NC_003888.3	6438206	6438859	-	response regulator transcription factor	BGC_gene
red	SC_RS31655	SCO5882	NA	biosynthesis	NC_003888.3	6439123	6440310	-	nitroreductase family protein	BGC_gene
red	SC_RS31660	SCO5883	NA	biosynthesis	NC_003888.3	6440423	6441289	-	4'-phosphopantetheinyl transferase family protein	BGC_gene
red	SC_RS31665	SCO5884	NA	biosynthesis	NC_003888.3	6441276	6442166	-	DUF6206 family protein	BGC_gene
red	SC_RS31670	SCO5885	NA	biosynthesis	NC_003888.3	6442174	6442614	-	DUF6041 domain-containing protein	BGC_gene
red	SC_RS31675	SCO5886	NA	biosynthesis	NC_003888.3	6442753	6443976	-	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	BGC_gene
red	SC_RS31680	SCO5887	NA	biosynthesis	NC_003888.3	6443973	6444218	-	acyl carrier protein	BGC_gene
red	SC_RS31685	SCO5888	NA	biosynthesis	NC_003888.3	6444587	6445594	+	beta-ketoacyl-ACP synthase III	BGC_gene
red	SC_RS31690	SCO5889	NA	biosynthesis	NC_003888.3	6445654	6445917	+	acyl carrier protein	BGC_gene
red	SC_RS31695	SCO5890	NA	biosynthesis	NC_003888.3	6445914	6447836	+	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	BGC_gene
red	SC_RS31700	SCO5891	redM	biosynthesis	NC_003888.3	6447950	6449548	+	L-proline--[L-prolyl-carrier protein] ligase RedM	BGC_gene
red	SC_RS31705	SCO5892	NA	biosynthesis	NC_003888.3	6449576	6456442	+	type I polyketide synthase	BGC_gene
red	SC_RS31710	SCO5893	NA	biosynthesis	NC_003888.3	6456446	6457489	+	NAD-dependent epimerase/dehydratase family protein	BGC_gene
red	SC_RS31715	SCO5894	NA	biosynthesis	NC_003888.3	6457476	6458318	+	thioesterase II family protein	BGC_gene
red	SC_RS31720	SCO5895	NA	biosynthesis	NC_003888.3	6458306	6459394	+	SAM-dependent methyltransferase	BGC_gene
red	SC_RS31725	SCO5896	NA	biosynthesis	NC_003888.3	6459417	6462218	+	PEP/pyruvate-binding domain-containing protein	BGC_gene
red	SC_RS31730	SCO5897	NA	biosynthesis	NC_003888.3	6462296	6463483	+	aromatic ring-hydroxylating oxygenase subunit alpha	BGC_gene
red	SC_RS31735	SCO5898	NA	transport	NC_003888.3	6463526	6464206	+	DUF1295 domain-containing protein	BGC_gene
cda	SC_RS18165	SCO3210	NA	biosynthesis	NC_003888.3	3519449	3520903	-	class II 3-deoxy-7-phosphoheptulonate synthase	BGC_gene
cda	SC_RS18170	SCO3211	trpC	biosynthesis	NC_003888.3	3520900	3521676	-	indole-3-glycerol phosphate synthase TrpC	BGC_gene
cda	SC_RS18175	SCO3212	trpD	biosynthesis	NC_003888.3	3521673	3522680	-	anthranilate phosphoribosyltransferase	BGC_gene
cda	SC_RS18180	SCO3213	NA	biosynthesis	NC_003888.3	3522697	3523299	-	anthranilate synthase component II	BGC_gene
cda	SC_RS18185	SCO3214	NA	biosynthesis	NC_003888.3	3523296	3524831	-	anthranilate synthase component I family protein	BGC_gene
cda	SC_RS18190	SCO3215	NA	biosynthesis	NC_003888.3	3524828	3525871	-	class I SAM-dependent methyltransferase	BGC_gene
cda	SC_RS18195	SCO3216	NA	biosynthesis	NC_003888.3	3526137	3528527	+	HAD-IC family P-type ATPase	BGC_gene
cda	SC_RS18200	SCO3217	NA	biosynthesis	NC_003888.3	3529272	3531188	+	AfsR/SARP family transcriptional regulator	BGC_gene
cda	SC_RS18205	SCO3218	NA	biosynthesis	NC_003888.3	3531250	3531465	-	MbtH family protein	BGC_gene
cda	SC_RS18210	SCO3219	NA	biosynthesis	NC_003888.3	3531588	3532763	-	alpha/beta hydrolase family protein	BGC_gene
cda	SC_RS18215	SCO3220	NA	biosynthesis	NC_003888.3	3532971	3533399	-	hypothetical protein	BGC_gene
cda	SC_RS18220	SCO3221	NA	biosynthesis	NC_003888.3	3533492	3534346	-	prephenate dehydrogenase	BGC_gene
cda	SC_RS18225	SCO3222	NA	biosynthesis	NC_003888.3	3534444	3534899	-	phospholipase	BGC_gene
cda	SC_RS18230	SCO3223	NA	biosynthesis	NC_003888.3	3535054	3535848	-	ABC transporter permease subunit	BGC_gene
cda	SC_RS18235	SCO3224	NA	biosynthesis	NC_003888.3	3535855	3536808	-	ABC transporter ATP-binding protein	BGC_gene
cda	SC_RS18240	SCO3225	absA1	regulator	NC_003888.3	3536945	3538660	+	sensor histidine kinase	BGC_gene
cda	SC_RS18245	SCO3226	absA2	regulator	NC_003888.3	3538679	3539347	+	two component system response regulator	BGC_gene
cda	SC_RS18250	SCO3227	NA	biosynthesis	NC_003888.3	3539337	3540671	-	aminotransferase-like domain-containing protein	BGC_gene
cda	SC_RS18255	SCO3228	NA	biosynthesis	NC_003888.3	3540668	3541954	-	alpha-hydroxy acid oxidase	BGC_gene
cda	SC_RS18260	SCO3229	hppD	biosynthesis	NC_003888.3	3541951	3543027	-	4-hydroxyphenylpyruvate dioxygenase	BGC_gene
cda	SC_RS18265	SCO3230	NA	biosynthesis	NC_003888.3	3543335	3565726	+	non-ribosomal peptide synthase/polyketide synthase	BGC_gene
cda	SC_RS18270	SCO3231	NA	biosynthesis	NC_003888.3	3565723	3576735	+	non-ribosomal peptide synthetase	BGC_gene
cda	SC_RS18275	SCO3232	NA	biosynthesis	NC_003888.3	3576735	3583988	+	amino acid adenylation domain-containing protein	BGC_gene
cda	SC_RS18280	SCO3233	NA	biosynthesis	NC_003888.3	3583992	3584810	+	alpha/beta fold hydrolase	BGC_gene
cda	SC_RS18285	SCO3234	hasP	biosynthesis	NC_003888.3	3584822	3585724	+	3-hydroxyasparagine phosphotransferase	BGC_gene
cda	SC_RS18290	SCO3235	NA	biosynthesis	NC_003888.3	3585800	3587647	-	ABC transporter ATP-binding protein	BGC_gene
cda	SC_RS18295	SCO3236	asnO	biosynthesis	NC_003888.3	3587687	3588688	-	L-asparagine oxygenase	BGC_gene
cda	SC_RS18300	SCO3237	NA	biosynthesis	NC_003888.3	3588746	3590149	-	alkaline phosphatase family protein	BGC_gene
cda	SC_RS18305	SCO3238	eboE	biosynthesis	NC_003888.3	3590146	3591306	-	metabolite traffic protein EboE	BGC_gene
cda	SC_RS18310	SCO3239	NA	biosynthesis	NC_003888.3	3591313	3592182	-	TatD family hydrolase	BGC_gene
cda	SC_RS18315	SCO3240	NA	biosynthesis	NC_003888.3	3592179	3592889	-	EboA domain-containing protein	BGC_gene
cda	SC_RS18320	SCO3241	NA	biosynthesis	NC_003888.3	3592886	3593758	-	sugar phosphate isomerase/epimerase family protein	BGC_gene
cda	SC_RS18325	SCO3242	NA	biosynthesis	NC_003888.3	3593755	3594630	-	SCO3242 family prenyltransferase	BGC_gene
cda	SC_RS18330	SCO3243	NA	biosynthesis	NC_003888.3	3594627	3595793	-	inositol-3-phosphate synthase	BGC_gene
cda	SC_RS18335	SCO3244	NA	biosynthesis	NC_003888.3	3595843	3596640	-	hypothetical protein	BGC_gene
cda	SC_RS18340	SCO3245	NA	biosynthesis	NC_003888.3	3596708	3597973	-	FAD-dependent monooxygenase	BGC_gene
cda	SC_RS18345	SCO3246	NA	biosynthesis	NC_003888.3	3598017	3599009	-	beta-ketoacyl-ACP synthase III	BGC_gene
cda	SC_RS18350	SCO3247	NA	biosynthesis	NC_003888.3	3599006	3600808	-	acyl-CoA dehydrogenase family protein	BGC_gene
cda	SC_RS18355	SCO3248	NA	biosynthesis	NC_003888.3	3600858	3602078	-	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	BGC_gene
cda	SC_RS18360	SCO3249	NA	biosynthesis	NC_003888.3	3602075	3602320	-	acyl carrier protein	BGC_gene
cpk	SC_RS33615	SCO6273	NA	biosynthesis	NC_003888.3	6900898	6907317	-	thioester reductase domain-containing protein	BGC_gene
cpk	SC_RS33620	SCO6274	NA	biosynthesis	NC_003888.3	6907413	6918101	-	SDR family NAD(P)-dependent oxidoreductase	BGC_gene
cpk	SC_RS33625	SCO6275	NA	biosynthesis	NC_003888.3	6918286	6931959	-	type I polyketide synthase	BGC_gene
cpk	SC_RS33630	SCO6276	NA	biosynthesis	NC_003888.3	6932285	6933607	+	FAD-dependent oxidoreductase	BGC_gene
cpk	SC_RS33635	SCO6277	NA	biosynthesis	NC_003888.3	6933604	6934464	+	alpha/beta fold hydrolase	BGC_gene
cpk	SC_RS33640	SCO6278	NA	biosynthesis	NC_003888.3	6934507	6936138	+	MFS transporter	BGC_gene
cpk	SC_RS33645	SCO6279	NA	biosynthesis	NC_003888.3	6936149	6937705	+	aspartate aminotransferase family protein	BGC_gene
cpk	SC_RS33650	SCO6280	NA	biosynthesis	NC_003888.3	6938024	6939643	+	AfsR/SARP family transcriptional regulator	BGC_gene
cpk	SC_RS33655	SCO6281	NA	biosynthesis	NC_003888.3	6939907	6941544	+	FAD-binding oxidoreductase	BGC_gene
cpk	SC_RS33660	SCO6282	cpkO	regulator	NC_003888.3	6941746	6942516	-	SDR family oxidoreductase	BGC_gene
cpk	SC_RS33665	SCO6283	NA	biosynthesis	NC_003888.3	6942661	6943506	+	NAD(P)H-binding protein	BGC_gene
cpk	SC_RS33670	SCO6284	NA	biosynthesis	NC_003888.3	6943673	6945265	+	acyl-CoA carboxylase subunit beta	BGC_gene
cpk	SC_RS33675	SCO6285	NA	biosynthesis	NC_003888.3	6945280	6945543	+	hypothetical protein	BGC_gene
cpk	SC_RS33680	SCO6286	scbR2	regulator	NC_003888.3	6945705	6946379	-	ScbR family autoregulator-binding transcription factor	BGC_gene
cpk	SC_RS33685	SCO6287	NA	biosynthesis	NC_003888.3	6946617	6947423	+	thioesterase II family protein	BGC_gene
cpk	SC_RS33690	SCO6288	NA	biosynthesis	NC_003888.3	6947569	6948414	+	AfsR/SARP family transcriptional regulator	BGC_gene
act	SC_RS27585	SCO5085	NA	SARP	NC_003888.3	5528094	5528861	+	AfsR/SARP family transcriptional regulator	SARP
NA	SC_RS06435	SCO0898	NA	SARP	NC_003888.3	943851	945833	-	AfsR/SARP family transcriptional regulator	SARP
cda	SC_RS18200	SCO3217	NA	SARP	NC_003888.3	3529272	3531188	+	AfsR/SARP family transcriptional regulator	SARP
NA	SC_RS24295	SCO4426	NA	SARP	NC_003888.3	4842787	4845768	-	transcriptional regulator AfsR	SARP
red	SC_RS31630	SCO5877	NA	SARP	NC_003888.3	6432812	6433618	+	AfsR/SARP family transcriptional regulator	SARP
cpk	SC_RS33690	SCO6288	NA	SARP	NC_003888.3	6947569	6948414	+	AfsR/SARP family transcriptional regulator	SARP
NA	SC_RS22750	SCO4116	NA	SARP	NC_003888.3	4517961	4521269	+	BTAD domain-containing putative transcriptional regulator	SARP
NA	SC_RS13320	SCO2259	NA	SARP	NC_003888.3	2426233	2430201	-	BTAD domain-containing putative transcriptional regulator	SARP
act	SC_RS27570	SCO5082	NA	SARP	NC_003888.3	5523183	5523962	-	TetR family transcriptional regulator ActII	SARP
act	SC_RS27570	SCO5082	NA	TF_candidate	NC_003888.3	5523183	5523962	-	TetR family transcriptional regulator ActII	TF_candidate
NA	SC_RS37190	SCO6993	NA	TF_candidate	NC_003888.3	7760977	7762803	+	LuxR family transcriptional regulator AbsR2	TF_candidate
NA	SC_RS36895	SCO6937	NA	TF_candidate	NC_003888.3	7702025	7702498	-	LuxR C-terminal-related transcriptional regulator	TF_candidate
red	SC_RS31650	SCO5881	NA	TF_candidate	NC_003888.3	6438206	6438859	-	response regulator transcription factor	TF_candidate
NA	SC_RS21215	SCO3818	NA	TF_candidate	NC_003888.3	4197520	4198176	+	response regulator	TF_candidate
NA	SC_RS29775	SCO5518	NA	TF_candidate	NC_003888.3	6010717	6011964	-	PucR family transcriptional regulator	TF_candidate
NA	SC_RS28860	SCO5337	NA	TF_candidate	NC_003888.3	5809921	5810652	-	XRE family transcriptional regulator	TF_candidate
NA	SC_RS26000	SCO4768	NA	TF_candidate	NC_003888.3	5179727	5180338	+	response regulator transcription factor	TF_candidate
NA	SC_RS16870	SCO2953	NA	TF_candidate	NC_003888.3	3211306	3212094	-	anti-sigma U factor RsuA	TF_candidate
