chrom	position	strand	T1_freq	T2_freq	T3_freq	delta	category	pattern	region
NC_003888.3	2390763	-	65.43	61.5	50.6	14.830000000000005	dynamic	Monotone decrease	core
NC_003888.3	582571	+	61.31	72.11	76.06	14.75	dynamic	Monotone increase	arm
NC_003888.3	8630724	-	76.34	71.47	61.6	14.740000000000002	dynamic	Monotone decrease	arm
NC_003888.3	2240356	-	66.24	60.95	51.53	14.709999999999994	dynamic	Monotone decrease	core
NC_003888.3	2444862	+	51.63	61.69	65.97	14.339999999999996	dynamic	Monotone increase	core
NC_003888.3	4088376	+	61.64	58.53	72.74	14.209999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	8207949	-	70.5	72.8	58.61	14.189999999999998	dynamic	Peak (T2 max)	arm
NC_003888.3	7380013	+	50.79	63.17	64.96	14.169999999999995	dynamic	Monotone increase	arm
NC_003888.3	6794677	-	69.55	83.69	83.71	14.159999999999997	dynamic	Monotone increase	core
NC_003888.3	6907097	-	58.57	66.84	72.57	13.999999999999993	dynamic	Monotone increase	core
NC_003888.3	7294986	-	69.74	83.67	83.58	13.930000000000007	dynamic	Peak (T2 max)	arm
NC_003888.3	43753	+	52.68	54.97	66.26	13.580000000000005	dynamic	Monotone increase	arm
NC_003888.3	736996	+	77.95	64.45	76.08	13.5	dynamic	Valley (T2 min)	arm
NC_003888.3	8046704	-	68.49	56.49	55.08	13.409999999999997	dynamic	Monotone decrease	arm
NC_003888.3	7615297	-	63.13	50.82	64.22	13.399999999999999	dynamic	Valley (T2 min)	arm
NC_003888.3	1043761	-	80.3	66.91	70.82	13.39	dynamic	Valley (T2 min)	arm
NC_003888.3	7122006	+	65.37	67.69	54.44	13.25	dynamic	Peak (T2 max)	core
NC_003888.3	6751520	-	64.25	54.43	51.02	13.229999999999997	dynamic	Monotone decrease	core
NC_003888.3	6527073	+	72.01	58.82	61.0	13.190000000000005	dynamic	Valley (T2 min)	core
NC_003888.3	3742024	-	53.52	66.57	60.8	13.04999999999999	dynamic	Peak (T2 max)	core
NC_003888.3	631017	-	50.1	54.81	63.11	13.009999999999998	dynamic	Monotone increase	arm
NC_003888.3	2315384	-	72.18	68.94	81.89	12.950000000000003	dynamic	Valley (T2 min)	core
NC_003888.3	4608283	+	79.33	66.4	71.06	12.929999999999993	dynamic	Valley (T2 min)	core
NC_003888.3	934028	+	58.52	63.89	51.02	12.869999999999997	dynamic	Peak (T2 max)	arm
NC_003888.3	3907581	+	76.54	75.32	63.68	12.860000000000007	dynamic	Monotone decrease	core
NC_003888.3	5652736	-	65.33	67.89	55.11	12.780000000000001	dynamic	Peak (T2 max)	core
NC_003888.3	5155288	+	61.06	73.79	63.96	12.730000000000004	dynamic	Peak (T2 max)	core
NC_003888.3	3088823	-	54.02	66.72	65.77	12.699999999999996	dynamic	Peak (T2 max)	core
NC_003888.3	648438	+	70.43	71.76	59.17	12.590000000000003	dynamic	Peak (T2 max)	arm
NC_003888.3	3291265	+	72.49	63.35	75.92	12.57	dynamic	Valley (T2 min)	core
NC_003888.3	4863478	+	55.88	52.28	64.8	12.519999999999996	dynamic	Valley (T2 min)	core
NC_003888.3	6337641	-	72.05	82.07	69.67	12.399999999999991	dynamic	Peak (T2 max)	core
NC_003888.3	5577918	+	62.29	73.68	74.67	12.380000000000003	dynamic	Monotone increase	core
NC_003888.3	6941576	+	66.15	64.08	53.9	12.250000000000007	dynamic	Monotone decrease	core
NC_003888.3	1535444	-	65.75	63.04	75.18	12.140000000000008	dynamic	Valley (T2 min)	core
NC_003888.3	2488224	-	52.98	57.01	65.1	12.119999999999997	dynamic	Monotone increase	core
NC_003888.3	8450515	-	86.36	78.63	74.26	12.099999999999994	dynamic	Monotone decrease	arm
NC_003888.3	466470	+	70.77	74.45	82.75	11.980000000000004	dynamic	Monotone increase	arm
NC_003888.3	7559499	-	53.65	65.57	58.04	11.919999999999995	dynamic	Peak (T2 max)	arm
NC_003888.3	6260597	+	73.24	61.39	65.82	11.849999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	7808992	+	50.86	62.69	52.52	11.829999999999998	dynamic	Peak (T2 max)	arm
NC_003888.3	5427965	+	60.5	62.0	50.18	11.82	dynamic	Peak (T2 max)	core
NC_003888.3	5753341	-	66.97	59.95	55.17	11.799999999999997	dynamic	Monotone decrease	core
NC_003888.3	3779730	+	71.34	59.55	65.79	11.790000000000006	dynamic	Valley (T2 min)	core
NC_003888.3	2611800	-	65.93	64.02	54.15	11.780000000000008	dynamic	Monotone decrease	core
NC_003888.3	3715070	+	56.11	67.89	57.04	11.780000000000001	dynamic	Peak (T2 max)	core
NC_003888.3	5555374	+	56.04	59.99	67.75	11.71	dynamic	Monotone increase	core
NC_003888.3	7126992	-	67.82	56.17	62.96	11.649999999999991	dynamic	Valley (T2 min)	core
NC_003888.3	2811132	-	91.19	79.66	82.27	11.530000000000001	dynamic	Valley (T2 min)	core
NC_003888.3	1178737	+	55.73	61.46	67.22	11.490000000000002	dynamic	Monotone increase	arm
NC_003888.3	6164126	+	52.55	56.19	63.98	11.43	dynamic	Monotone increase	core
NC_003888.3	5598023	+	55.27	65.28	66.46	11.18999999999999	dynamic	Monotone increase	core
NC_003888.3	6812698	+	71.67	69.95	60.51	11.160000000000004	dynamic	Monotone decrease	core
NC_003888.3	4256583	+	68.78	59.65	57.7	11.079999999999998	dynamic	Monotone decrease	core
NC_003888.3	609829	+	69.62	80.66	69.93	11.039999999999992	dynamic	Peak (T2 max)	arm
NC_003888.3	5861379	-	61.31	53.84	50.4	10.910000000000004	dynamic	Monotone decrease	core
NC_003888.3	4840209	+	89.11	87.96	78.21	10.900000000000006	dynamic	Monotone decrease	core
NC_003888.3	6547212	+	56.98	65.65	67.72	10.740000000000002	dynamic	Monotone increase	core
NC_003888.3	6965962	-	62.03	51.39	51.35	10.68	dynamic	Monotone decrease	core
NC_003888.3	1147605	-	59.1	52.66	63.33	10.670000000000002	dynamic	Valley (T2 min)	arm
NC_003888.3	5106232	+	50.11	52.61	60.69	10.579999999999998	dynamic	Monotone increase	core
NC_003888.3	3038105	+	61.37	52.87	50.79	10.579999999999998	dynamic	Monotone decrease	core
NC_003888.3	5753480	-	72.65	75.78	65.25	10.530000000000001	dynamic	Peak (T2 max)	core
NC_003888.3	3032656	-	58.96	63.3	52.78	10.519999999999996	dynamic	Peak (T2 max)	core
NC_003888.3	2054745	-	62.89	59.94	70.39	10.450000000000003	dynamic	Valley (T2 min)	core
NC_003888.3	2516233	-	53.31	51.89	62.31	10.420000000000002	dynamic	Valley (T2 min)	core
NC_003888.3	467033	+	61.63	53.4	51.24	10.39	dynamic	Monotone decrease	arm
NC_003888.3	3826785	+	78.36	73.95	67.98	10.379999999999995	dynamic	Monotone decrease	core
NC_003888.3	4588611	+	65.89	73.59	63.22	10.370000000000005	dynamic	Peak (T2 max)	core
NC_003888.3	1488563	-	60.78	71.1	62.41	10.319999999999993	dynamic	Peak (T2 max)	arm
NC_003888.3	959397	-	54.57	64.86	62.17	10.29	dynamic	Peak (T2 max)	arm
NC_003888.3	648246	+	77.69	77.14	67.43	10.259999999999991	dynamic	Monotone decrease	arm
NC_003888.3	3202935	-	52.56	50.21	60.45	10.240000000000002	dynamic	Valley (T2 min)	core
NC_003888.3	1561817	-	67.43	77.66	70.56	10.22999999999999	dynamic	Peak (T2 max)	core
NC_003888.3	2484553	+	69.39	59.29	65.84	10.100000000000001	dynamic	Valley (T2 min)	core
NC_003888.3	3715071	+	59.62	67.26	69.69	10.07	dynamic	Monotone increase	core
NC_003888.3	1881513	-	65.15	72.89	75.18	10.030000000000001	dynamic	Monotone increase	core
NC_003888.3	6941575	+	60.87	70.66	70.84	9.970000000000006	stable	stable	core
NC_003888.3	7783699	+	61.86	52.78	62.63	9.850000000000001	stable	stable	arm
NC_003888.3	3032599	+	63.18	66.33	56.58	9.75	stable	stable	core
NC_003888.3	4263175	-	52.17	61.9	55.21	9.729999999999997	stable	stable	core
NC_003888.3	5577930	+	72.05	62.36	65.68	9.689999999999998	stable	stable	core
NC_003888.3	6007831	+	71.24	61.58	65.14	9.659999999999997	stable	stable	core
NC_003888.3	2410836	+	68.66	72.17	62.54	9.630000000000003	stable	stable	core
NC_003888.3	8305088	+	73.23	66.85	76.43	9.580000000000013	stable	stable	arm
NC_003888.3	3638361	+	63.67	62.97	54.1	9.57	stable	stable	core
NC_003888.3	2094314	-	72.7	73.52	63.99	9.529999999999994	stable	stable	core
NC_003888.3	7676160	-	72.88	66.48	63.45	9.429999999999993	stable	stable	arm
NC_003888.3	8523051	-	54.04	62.28	63.45	9.410000000000004	stable	stable	arm
NC_003888.3	7487450	-	65.24	57.79	55.83	9.409999999999997	stable	stable	arm
NC_003888.3	321885	-	61.11	52.09	51.81	9.299999999999997	stable	stable	arm
NC_003888.3	5233883	+	57.73	54.07	63.29	9.219999999999999	stable	stable	core
NC_003888.3	5554072	+	62.09	69.49	60.32	9.169999999999995	stable	stable	core
NC_003888.3	946273	+	70.48	61.32	65.81	9.160000000000004	stable	stable	arm
NC_003888.3	6485079	+	56.77	55.11	64.25	9.14	stable	stable	core
NC_003888.3	3773896	-	74.32	71.98	65.22	9.099999999999994	stable	stable	core
NC_003888.3	2812033	-	51.0	55.37	60.09	9.090000000000003	stable	stable	core
NC_003888.3	3468459	-	61.15	66.81	70.19	9.04	stable	stable	core
NC_003888.3	5631606	+	62.35	53.82	53.36	8.990000000000002	stable	stable	core
NC_003888.3	8373023	-	70.59	70.23	79.21	8.97999999999999	stable	stable	arm
NC_003888.3	7828778	+	73.55	66.89	75.77	8.879999999999995	stable	stable	arm
NC_003888.3	82886	-	65.69	58.16	66.99	8.829999999999998	stable	stable	arm
NC_003888.3	8479403	+	67.26	76.08	68.76	8.819999999999993	stable	stable	arm
NC_003888.3	5190162	+	65.13	73.93	70.8	8.800000000000011	stable	stable	core
NC_003888.3	2558083	+	50.91	52.08	59.7	8.790000000000006	stable	stable	core
NC_003888.3	4485795	-	70.28	61.56	62.79	8.719999999999999	stable	stable	core
NC_003888.3	2739860	+	51.83	55.62	60.52	8.690000000000005	stable	stable	core
NC_003888.3	3785243	-	80.85	72.17	73.53	8.679999999999993	stable	stable	core
NC_003888.3	3221250	-	57.7	66.35	59.58	8.649999999999991	stable	stable	core
NC_003888.3	3918012	+	53.26	58.77	50.14	8.630000000000003	stable	stable	core
NC_003888.3	5597295	+	70.21	69.45	61.58	8.629999999999995	stable	stable	core
NC_003888.3	8568964	+	60.14	56.14	51.6	8.54	stable	stable	arm
NC_003888.3	5792805	-	61.66	53.21	60.99	8.449999999999996	stable	stable	core
NC_003888.3	3742117	-	73.52	70.32	78.75	8.430000000000007	stable	stable	core
NC_003888.3	3392297	-	54.27	50.36	58.78	8.420000000000002	stable	stable	core
NC_003888.3	1459341	-	75.76	68.03	67.35	8.41000000000001	stable	stable	arm
NC_003888.3	2529760	-	65.97	59.08	57.57	8.399999999999999	stable	stable	core
NC_003888.3	648450	+	60.58	66.48	58.12	8.360000000000007	stable	stable	arm
NC_003888.3	4663819	+	53.56	55.56	61.91	8.349999999999994	stable	stable	core
NC_003888.3	3180920	-	55.32	62.01	53.94	8.07	stable	stable	core
NC_003888.3	173006	-	82.15	74.11	80.29	8.040000000000006	stable	stable	arm
NC_003888.3	1831095	+	73.79	73.03	65.76	8.030000000000001	stable	stable	core
NC_003888.3	191485	+	67.9	62.17	59.94	7.960000000000008	stable	stable	arm
NC_003888.3	3909841	-	64.43	71.89	63.95	7.939999999999998	stable	stable	core
NC_003888.3	3825683	+	74.41	66.47	71.53	7.939999999999998	stable	stable	core
NC_003888.3	2005471	+	52.3	54.51	60.23	7.93	stable	stable	core
NC_003888.3	1249043	+	62.43	63.4	55.49	7.909999999999997	stable	stable	arm
NC_003888.3	1741260	-	74.81	66.94	67.85	7.8700000000000045	stable	stable	core
NC_003888.3	6182518	+	55.17	63.02	58.67	7.850000000000001	stable	stable	core
NC_003888.3	23405	+	56.6	64.42	63.93	7.82	stable	stable	arm
NC_003888.3	2315801	-	66.91	60.26	68.06	7.800000000000004	stable	stable	core
NC_003888.3	4898789	-	65.94	58.14	59.49	7.799999999999997	stable	stable	core
NC_003888.3	5325244	+	72.22	76.18	68.42	7.760000000000005	stable	stable	core
NC_003888.3	3447415	-	59.94	56.84	52.31	7.6299999999999955	stable	stable	core
NC_003888.3	2005277	-	56.52	61.14	53.57	7.57	stable	stable	core
NC_003888.3	6129445	-	83.13	88.76	81.38	7.38000000000001	stable	stable	core
NC_003888.3	7676159	-	76.0	70.38	68.63	7.3700000000000045	stable	stable	arm
NC_003888.3	1724206	-	60.02	56.38	63.75	7.369999999999997	stable	stable	core
NC_003888.3	6124300	+	59.13	62.3	66.47	7.339999999999996	stable	stable	core
NC_003888.3	4367845	-	61.72	61.11	54.44	7.280000000000001	stable	stable	core
NC_003888.3	946272	+	84.38	83.95	77.16	7.219999999999999	stable	stable	arm
NC_003888.3	4339627	+	65.69	67.0	72.9	7.210000000000008	stable	stable	core
NC_003888.3	8127347	-	69.61	63.49	70.69	7.199999999999996	stable	stable	arm
NC_003888.3	4127932	-	72.28	74.59	67.43	7.159999999999997	stable	stable	core
NC_003888.3	4397561	-	58.86	65.99	59.94	7.1299999999999955	stable	stable	core
NC_003888.3	2559888	+	56.62	63.72	62.29	7.100000000000001	stable	stable	core
NC_003888.3	6130227	-	87.05	81.25	79.95	7.099999999999994	stable	stable	core
NC_003888.3	467034	+	68.08	64.84	61.0	7.079999999999998	stable	stable	arm
NC_003888.3	1028664	-	62.0	56.28	55.01	6.990000000000002	stable	stable	arm
NC_003888.3	5724200	-	75.18	76.73	69.75	6.980000000000004	stable	stable	core
NC_003888.3	7272283	+	61.89	68.86	67.78	6.969999999999999	stable	stable	arm
NC_003888.3	2433109	+	68.77	64.52	71.47	6.950000000000003	stable	stable	core
NC_003888.3	5598032	+	68.19	69.44	62.5	6.939999999999998	stable	stable	core
NC_003888.3	4088375	+	71.67	75.62	68.71	6.910000000000011	stable	stable	core
NC_003888.3	7365585	+	76.2	72.97	69.29	6.909999999999997	stable	stable	arm
NC_003888.3	4209710	-	68.62	75.45	70.05	6.829999999999998	stable	stable	core
NC_003888.3	735990	-	66.97	60.15	62.99	6.82	stable	stable	arm
NC_003888.3	4415926	+	52.59	59.41	57.88	6.819999999999993	stable	stable	core
NC_003888.3	6711767	+	61.62	66.19	59.48	6.710000000000001	stable	stable	core
NC_003888.3	1432374	-	60.23	66.77	60.08	6.689999999999998	stable	stable	arm
NC_003888.3	5693194	+	55.91	54.04	60.71	6.670000000000002	stable	stable	core
NC_003888.3	4436216	-	61.91	55.92	62.54	6.619999999999997	stable	stable	core
NC_003888.3	2628132	-	55.51	54.59	61.18	6.589999999999996	stable	stable	core
NC_003888.3	6004403	+	60.52	53.95	54.43	6.57	stable	stable	core
NC_003888.3	4380830	+	59.97	57.93	64.45	6.520000000000003	stable	stable	core
NC_003888.3	6056054	-	76.88	77.78	71.47	6.310000000000002	stable	stable	core
NC_003888.3	6216858	+	52.86	52.88	59.14	6.280000000000001	stable	stable	core
NC_003888.3	4173642	-	56.65	58.18	62.84	6.190000000000005	stable	stable	core
NC_003888.3	4829045	+	60.01	66.18	61.48	6.170000000000009	stable	stable	core
NC_003888.3	1550490	-	58.98	65.12	59.94	6.140000000000008	stable	stable	core
NC_003888.3	6125183	+	59.84	55.28	53.8	6.040000000000006	stable	stable	core
NC_003888.3	2362188	+	60.38	66.42	61.71	6.039999999999999	stable	stable	core
NC_003888.3	5407711	+	67.28	72.41	66.37	6.039999999999992	stable	stable	core
NC_003888.3	4916928	+	70.32	65.55	64.28	6.039999999999992	stable	stable	core
NC_003888.3	7123328	+	68.7	62.69	63.06	6.010000000000005	stable	stable	core
NC_003888.3	4972750	+	79.67	77.89	73.69	5.980000000000004	stable	stable	core
NC_003888.3	6112592	+	68.86	64.52	62.89	5.969999999999999	stable	stable	core
NC_003888.3	4942202	-	56.16	60.72	54.8	5.920000000000002	stable	stable	core
NC_003888.3	864746	+	63.02	67.47	68.9	5.880000000000003	stable	stable	arm
NC_003888.3	5902394	-	60.78	59.44	65.32	5.8799999999999955	stable	stable	core
NC_003888.3	7380014	+	58.43	63.59	57.73	5.8600000000000065	stable	stable	arm
NC_003888.3	1622772	-	56.35	50.49	56.2	5.859999999999999	stable	stable	core
NC_003888.3	4848927	+	61.72	65.64	67.49	5.769999999999996	stable	stable	core
NC_003888.3	1282748	+	54.33	52.19	57.88	5.690000000000005	stable	stable	arm
NC_003888.3	4317756	-	63.71	67.85	62.16	5.689999999999998	stable	stable	core
NC_003888.3	5577919	+	60.62	66.3	61.35	5.68	stable	stable	core
NC_003888.3	2922117	+	65.7	71.17	71.38	5.679999999999993	stable	stable	core
NC_003888.3	1619086	-	55.69	57.28	51.69	5.590000000000003	stable	stable	core
NC_003888.3	3960369	+	71.75	70.92	66.19	5.560000000000002	stable	stable	core
NC_003888.3	2140386	-	72.85	78.33	76.75	5.480000000000004	stable	stable	core
NC_003888.3	2957837	-	59.94	63.55	65.39	5.450000000000003	stable	stable	core
NC_003888.3	5697997	-	56.11	58.85	61.46	5.350000000000001	stable	stable	core
NC_003888.3	3170105	-	66.68	65.26	61.43	5.250000000000007	stable	stable	core
NC_003888.3	7674620	-	60.12	60.56	55.31	5.25	stable	stable	arm
NC_003888.3	2054746	-	69.42	69.71	74.64	5.219999999999999	stable	stable	core
NC_003888.3	4712674	+	59.41	59.35	64.56	5.210000000000001	stable	stable	core
NC_003888.3	648235	+	76.14	76.83	71.65	5.179999999999993	stable	stable	arm
NC_003888.3	3446536	-	53.0	57.63	58.16	5.159999999999997	stable	stable	core
NC_003888.3	6129444	-	54.61	57.81	59.74	5.130000000000003	stable	stable	core
NC_003888.3	7346560	+	55.11	50.01	51.29	5.100000000000001	stable	stable	arm
NC_003888.3	6993087	-	55.08	60.14	56.16	5.060000000000002	stable	stable	core
NC_003888.3	1073789	-	59.61	61.85	64.65	5.040000000000006	stable	stable	arm
NC_003888.3	82127	-	66.34	68.84	71.37	5.030000000000001	stable	stable	arm
NC_003888.3	6172438	-	54.16	59.17	57.46	5.010000000000005	stable	stable	core
NC_003888.3	1455585	-	66.87	71.1	71.85	4.97999999999999	stable	stable	arm
NC_003888.3	1981066	-	54.35	56.93	59.29	4.939999999999998	stable	stable	core
NC_003888.3	5235829	+	57.98	62.89	59.04	4.910000000000004	stable	stable	core
NC_003888.3	4885759	-	74.72	69.85	73.83	4.8700000000000045	stable	stable	core
NC_003888.3	7620816	-	79.17	74.3	75.42	4.8700000000000045	stable	stable	arm
NC_003888.3	7721106	+	63.43	68.18	66.2	4.750000000000007	stable	stable	arm
NC_003888.3	6131209	+	59.64	54.93	55.42	4.710000000000001	stable	stable	core
NC_003888.3	3907580	+	69.6	68.73	64.96	4.640000000000001	stable	stable	core
NC_003888.3	6286267	+	60.35	55.73	60.29	4.6200000000000045	stable	stable	core
NC_003888.3	5577931	+	66.91	71.45	67.06	4.540000000000006	stable	stable	core
NC_003888.3	6216859	+	52.2	53.22	56.67	4.469999999999999	stable	stable	core
NC_003888.3	4824047	-	64.26	61.45	59.81	4.450000000000003	stable	stable	core
NC_003888.3	4848483	+	51.94	56.34	54.7	4.400000000000006	stable	stable	core
NC_003888.3	5362918	-	54.9	59.3	56.77	4.399999999999999	stable	stable	core
NC_003888.3	4861416	-	76.49	80.88	78.17	4.390000000000001	stable	stable	core
NC_003888.3	5233154	-	50.35	54.61	50.65	4.259999999999998	stable	stable	core
NC_003888.3	4655990	-	72.99	69.74	73.99	4.25	stable	stable	core
NC_003888.3	942123	-	63.51	62.71	59.26	4.25	stable	stable	arm
NC_003888.3	4948212	+	63.15	67.31	64.76	4.160000000000004	stable	stable	core
NC_003888.3	6337175	-	71.8	73.93	75.93	4.13000000000001	stable	stable	core
NC_003888.3	7923186	+	68.92	73.04	70.31	4.1200000000000045	stable	stable	arm
NC_003888.3	2496849	-	55.09	53.14	50.98	4.1100000000000065	stable	stable	core
NC_003888.3	6879641	+	56.81	60.46	56.36	4.100000000000001	stable	stable	core
NC_003888.3	7489808	-	54.17	57.17	58.25	4.079999999999998	stable	stable	arm
NC_003888.3	5261448	+	57.15	56.15	60.19	4.039999999999999	stable	stable	core
NC_003888.3	1879814	-	55.01	58.89	56.06	3.8800000000000026	stable	stable	core
NC_003888.3	6668896	+	54.29	55.85	58.16	3.8699999999999974	stable	stable	core
NC_003888.3	5598050	+	60.96	58.36	62.19	3.8299999999999983	stable	stable	core
NC_003888.3	5241339	+	74.16	75.96	72.14	3.819999999999993	stable	stable	core
NC_003888.3	1025655	+	57.06	59.0	60.84	3.780000000000001	stable	stable	arm
NC_003888.3	3055827	+	66.99	64.96	68.73	3.7700000000000102	stable	stable	core
NC_003888.3	4226868	-	63.77	67.22	67.54	3.770000000000003	stable	stable	core
NC_003888.3	6596536	+	64.57	67.12	63.39	3.730000000000004	stable	stable	core
NC_003888.3	6115116	+	51.59	53.01	55.27	3.6799999999999997	stable	stable	core
NC_003888.3	735989	-	54.03	50.41	51.52	3.6200000000000045	stable	stable	arm
NC_003888.3	6350485	+	70.32	73.84	71.1	3.5200000000000102	stable	stable	core
NC_003888.3	2340861	+	58.29	61.8	61.6	3.509999999999998	stable	stable	core
NC_003888.3	3825682	+	68.8	66.43	65.3	3.5	stable	stable	core
NC_003888.3	82128	-	69.16	66.27	69.71	3.4399999999999977	stable	stable	arm
NC_003888.3	4168538	+	54.82	51.43	53.76	3.3900000000000006	stable	stable	core
NC_003888.3	3773897	-	93.09	93.25	89.87	3.3799999999999955	stable	stable	core
NC_003888.3	1619116	-	59.67	63.04	63.03	3.3699999999999974	stable	stable	core
NC_003888.3	2173524	-	58.07	54.72	57.47	3.3500000000000014	stable	stable	core
NC_003888.3	2229757	-	58.44	55.67	55.09	3.3499999999999943	stable	stable	core
NC_003888.3	5652010	+	58.45	58.27	55.23	3.220000000000006	stable	stable	core
NC_003888.3	3767450	-	71.7	68.66	71.87	3.210000000000008	stable	stable	core
NC_003888.3	2435429	+	65.88	64.59	62.72	3.1599999999999966	stable	stable	core
NC_003888.3	4275123	+	65.27	63.87	66.9	3.0300000000000082	stable	stable	core
NC_003888.3	4661382	-	56.4	58.19	55.16	3.030000000000001	stable	stable	core
NC_003888.3	7652660	-	60.71	63.65	63.31	2.9399999999999977	stable	stable	arm
NC_003888.3	2262284	-	52.43	54.85	51.97	2.8800000000000026	stable	stable	core
NC_003888.3	4669535	+	51.35	54.21	52.95	2.8599999999999994	stable	stable	core
NC_003888.3	5614302	-	51.38	54.2	54.1	2.8200000000000003	stable	stable	core
NC_003888.3	2682947	+	58.21	58.44	61.0	2.789999999999999	stable	stable	core
NC_003888.3	3826784	+	72.99	72.26	70.35	2.6400000000000006	stable	stable	core
NC_003888.3	6624375	+	76.19	78.17	78.79	2.6000000000000085	stable	stable	core
NC_003888.3	5092064	-	56.83	58.08	59.26	2.4299999999999997	stable	stable	core
NC_003888.3	4327022	-	62.05	64.44	62.33	2.3900000000000006	stable	stable	core
NC_003888.3	5437964	-	56.36	55.34	57.64	2.299999999999997	stable	stable	core
NC_003888.3	1730347	-	52.57	52.88	54.87	2.299999999999997	stable	stable	core
NC_003888.3	2070118	-	60.56	60.26	62.51	2.25	stable	stable	core
NC_003888.3	2070119	-	61.85	59.93	59.61	2.240000000000002	stable	stable	core
NC_003888.3	5060014	+	58.82	60.53	58.37	2.1600000000000037	stable	stable	core
NC_003888.3	2123463	-	51.58	52.56	50.46	2.1000000000000014	stable	stable	core
NC_003888.3	5576108	+	52.82	53.2	51.1	2.1000000000000014	stable	stable	core
NC_003888.3	6842192	+	51.08	52.77	50.79	1.980000000000004	stable	stable	core
NC_003888.3	977528	-	59.49	60.25	61.47	1.9799999999999969	stable	stable	arm
NC_003888.3	224082	+	54.67	53.8	52.8	1.8700000000000045	stable	stable	arm
NC_003888.3	4656583	-	60.92	59.28	61.04	1.759999999999998	stable	stable	core
NC_003888.3	4237139	-	52.73	51.03	51.74	1.6999999999999957	stable	stable	core
NC_003888.3	1806806	-	62.2	61.19	62.79	1.6000000000000014	stable	stable	core
NC_003888.3	4671074	+	65.0	64.84	66.4	1.5600000000000023	stable	stable	core
NC_003888.3	7849061	+	53.29	54.59	53.06	1.5300000000000011	stable	stable	arm
NC_003888.3	5886952	+	75.48	74.25	75.74	1.4899999999999949	stable	stable	core
NC_003888.3	3447416	-	88.42	89.12	87.72	1.4000000000000057	stable	stable	core
NC_003888.3	4824048	-	66.1	65.18	64.76	1.3399999999999892	stable	stable	core
NC_003888.3	914289	+	62.31	63.13	63.62	1.3099999999999952	stable	stable	arm
NC_003888.3	7107817	+	71.65	71.08	72.37	1.2900000000000063	stable	stable	core
NC_003888.3	5146697	-	56.23	55.56	54.95	1.279999999999994	stable	stable	core
NC_003888.3	4218807	+	70.93	70.35	71.59	1.240000000000009	stable	stable	core
NC_003888.3	3658320	+	58.05	59.17	58.07	1.1200000000000045	stable	stable	core
NC_003888.3	3385360	-	52.38	53.23	53.26	0.8799999999999955	stable	stable	core
NC_003888.3	3038104	+	63.87	64.37	63.53	0.8400000000000034	stable	stable	core
NC_003888.3	7122007	+	55.58	56.29	55.56	0.7299999999999969	stable	stable	core
NC_003888.3	1689086	-	51.51	51.89	51.98	0.46999999999999886	stable	stable	core
