locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	region	coordination_T2	coordination_T3	log2FC_T2vsT1_deseq	log2FC_T3vsT1_deseq	methyl_change	both_T2T3_derepression	both_T2T3_repression
SC_RS26965		SCO4960	sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	5395316	5395822	core	discordant_loss_down	ambiguous	-1.272316820268741	-1.514544477647077	lost_T2	False	False
SC_RS27105		SCO4989	IclR family transcriptional regulator	IclR	5428166	5428930	core	discordant_loss_down	discordant_loss_down	-1.7170840522337387	-2.391846336398685	lost_T2,lost_T3	False	False
SC_RS27300		SCO5027	winged helix DNA-binding domain-containing protein	HTH (other)	5460757	5461950	core	ambiguous	discordant_loss_down	-2.2543700120671244	-1.101360873538775	lost_T3	False	False
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	5765139	core	methyl_change_no_expr_change	concordant_repression	-0.0137258522464046	-2.4145957323816596	gained_T2,gained_T3	False	False
SC_RS29350	tcrA	SCO5433	AfsR-like transcriptional regulator TcrA	Other regulatory	5905174	5907459	core	discordant_gain_up	ambiguous	1.0401395580980954	1.4918041436883782	gained_T2	False	False
SC_RS29355		SCO5434	response regulator	Response regulator	5907344	5908036	core	ambiguous	concordant_repression	-1.9216630018303835	-1.1163059002941826	gained_T3	False	False
SC_RS30140		SCO5584	P-II family nitrogen regulator	Other regulatory	6087374	6087712	core	methyl_change_no_expr_change	discordant_loss_down	-0.5802055478802578	-1.435204814633584	lost_T2,lost_T3	False	False
SC_RS31385		SCO5828	response regulator	Response regulator	6377983	6378663	core	concordant_derepression	concordant_derepression	3.2007683924803816	1.0914308087972038	lost_T2,lost_T3	True	False
SC_RS32025		SCO5956	TetR/AcrR family transcriptional regulator	TetR	6527068	6527715	arm	ambiguous	discordant_loss_down	-2.09236783247235	-1.036039802559863	lost_T3	False	False
SC_RS33075		SCO6165	TraR/DksA family transcriptional regulator	Other regulatory	6768098	6768478	arm	methyl_change_no_expr_change	concordant_derepression	0.9232644917721738	4.398470931655745	lost_T2,lost_T3	False	False
SC_RS33745		SCO6299	TetR/AcrR family transcriptional regulator	TetR	6958987	6959844	arm	discordant_loss_down	methyl_change_no_expr_change	-1.4114119775299854	-0.8004049577607204	lost_T2	False	False
SC_RS33895		SCO6334	LuxR C-terminal-related transcriptional regulator	Other regulatory	6991755	6994433	arm	ambiguous	discordant_gain_up	1.0792987194838373	2.6248645299059365	gained_T3	False	False
SC_RS34060		SCO6369	HAMP domain-containing sensor histidine kinase	Sensor kinase	7030354	7031664	arm	ambiguous	discordant_gain_up	1.425234745616793	2.573759751578359	gained_T3	False	False
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	arm	ambiguous	discordant_loss_down	-1.5315166238060172	-1.5502641674059274	lost_T3	False	False
SC_RS35525		SCO6668	sensor histidine kinase	Sensor kinase	7408463	7409680	arm	concordant_derepression	concordant_derepression	1.0418397945969575	1.3420720062885316	lost_T2,lost_T3	True	False
SC_RS35610	ramR	SCO6685	two-component system response regulator RamR	Response regulator	7426396	7427004	arm	ambiguous	discordant_gain_up	6.6041010227398775	7.902404097846659	gained_T3	False	False
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	7567337	7567666	arm	discordant_gain_up	discordant_gain_up	2.168987976181465	2.737953669278411	gained_T2,gained_T3	False	False
SC_RS36820		SCO6924	helix-turn-helix domain-containing protein	HTH (other)	7687305	7688201	arm	concordant_repression	ambiguous	-2.5425777989933764	1.1724818092504623	gained_T2	False	False
SC_RS37035			WhiB family transcriptional regulator	WhiB	7731868	7732188	arm	concordant_derepression	ambiguous	1.2351768680285735	1.7474209061331545	lost_T2	False	False
SC_RS37675		SCO7089	sensor histidine kinase	Sensor kinase	7876048	7877241	arm	methyl_change_no_expr_change	discordant_gain_up	0.5692475959080903	2.938021809245114	gained_T3	False	False
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	8063643	arm	discordant_gain_up	ambiguous	9.317497513720548	7.76413546802748	gained_T2	False	False
SC_RS38610		SCO7279	helix-turn-helix domain-containing protein	HTH (other)	8086495	8086968	arm	discordant_gain_up	ambiguous	1.5122439263738874	1.437287270168461	gained_T2	False	False
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	arm	ambiguous	discordant_gain_up	1.9292968279677385	1.4941315998411235	gained_T3	False	False
SC_RS39260		SCO7411	LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	arm	methyl_change_no_expr_change	discordant_gain_up	0.6752788836681285	1.1268958401806786	gained_T3	False	False
SC_RS39850		SCO7530	MerR family transcriptional regulator	MerR	8348997	8350073	arm	methyl_change_no_expr_change	discordant_gain_up	0.804545404597441	1.6906408230956813	gained_T2,gained_T3	False	False
SC_RS40040		SCO7568	ROK family protein	ROK	8391351	8392310	arm	concordant_repression	methyl_change_no_expr_change	-1.2552343502126442	0.1545523986304376	gained_T2	False	False
SC_RS40435		SCO7648	response regulator transcription factor	Response regulator	8475216	8475908	arm	ambiguous	concordant_derepression	2.439373553896403	2.0481399803843376	lost_T3	False	False
SC_RS40740		SCO7711	sensor histidine kinase	Sensor kinase	8546786	8548315	arm	discordant_gain_up	ambiguous	3.155882755112203	3.140448803384679	gained_T2	False	False
