# Program:featureCounts v2.1.1; Command:"/Users/okaban/miniconda3/envs/rna-seq/bin/featureCounts" "-T" "6" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/Users/okaban/SFC-CNS Dropbox/Takeda Tomoki/my_projects/2026/M145_RNA-seq/data/RH250715199/02_M145-ref/ncbi_dataset/data/GCF_000203835.1/genomic.gtf" "-o" "/Users/okaban/bioinfo/rna-seq/03_quantification/data/featureCounts_s2/featureCounts_M145_s2.txt" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam
SC_RS02240	NC_003888.3	33842	34777	+	936	0	1	0	1	1	3	47	14	36
SC_RS02245	NC_003888.3	35179	35907	-	729	12	13	11	29	29	29	69	24	44
SC_RS02250	NC_003888.3	36006	36674	-	669	8	15	10	4	2	3	28	7	37
SC_RS02255	NC_003888.3	36816	37478	+	663	8	4	5	4	5	8	46	2	47
SC_RS02260	NC_003888.3	37614	38768	-	1155	77	68	97	70	69	58	102	70	113
SC_RS02265	NC_003888.3	39107	39325	-	219	1	0	3	0	0	2	22	4	20
SC_RS02270	NC_003888.3	39489	39812	+	324	2	4	3	2	4	9	27	15	29
SC_RS02275	NC_003888.3	39901	40212	+	312	0	0	0	3	2	4	28	9	23
SC_RS02280	NC_003888.3	40223	41065	-	843	5	2	2	1	2	6	79	18	43
SC_RS02285	NC_003888.3	41354	42174	+	821	13	18	14	10	29	20	72	23	56
SC_RS02290	NC_003888.3	42171	43682	-	1512	114	107	129	244	211	239	193	93	138
SC_RS02295	NC_003888.3	43950	44090	+	141	2	1	3	7	9	15	20	7	8
SC_RS02300	NC_003888.3	44187	44555	+	369	86	55	100	38	36	56	34	23	36
SC_RS02305	NC_003888.3	44796	44975	+	180	54	38	55	38	21	51	40	15	22
SC_RS02310	NC_003888.3	45267	46073	+	807	36	32	38	36	48	32	71	25	56
SC_RS02315	NC_003888.3	46064	46201	+	138	2	7	3	5	3	5	7	6	18
SC_RS02320	NC_003888.3	46430	47734	-	1305	82	58	81	36	47	46	125	43	84
SC_RS02325	NC_003888.3	47789	48844	-	1056	100	69	66	25	19	29	79	25	67
SC_RS02330	NC_003888.3	48889	49824	-	936	66	49	85	25	20	27	76	32	60
SC_RS02335	NC_003888.3	49821	51539	-	1719	47	37	51	42	41	32	128	29	72
SC_RS02340	NC_003888.3	51831	53144	+	1314	7	6	4	12	10	6	69	29	65
SC_RS02345	NC_003888.3	53141	54100	+	960	2	3	0	3	11	6	56	14	43
SC_RS02350	NC_003888.3	54103	54918	+	816	2	1	0	4	4	7	55	17	39
SC_RS02355	NC_003888.3	54968	56173	+	1206	2	2	3	2	3	6	75	15	47
SC_RS02360	NC_003888.3	56225	59383	+	3159	5	6	15	18	14	17	162	34	141
SC_RS02365	NC_003888.3	59546	60058	+	513	0	2	4	0	2	2	40	8	40
SC_RS02370	NC_003888.3	60069	60275	-	207	2	5	9	7	4	0	13	5	16
SC_RS02375	NC_003888.3	60485	60691	-	207	15	10	17	32	33	60	55	40	45
SC_RS02380	NC_003888.3	60740	64066	-	3327	27	20	28	167	146	193	314	163	231
SC_RS02385	NC_003888.3	64587	64925	+	339	0	0	2	0	0	0	28	8	19
SC_RS02390	NC_003888.3	65140	65679	+	540	4	3	9	20	18	11	73	39	65
SC_RS02395	NC_003888.3	65943	66104	-	162	0	2	3	0	0	2	11	5	11
SC_RS02400	NC_003888.3	66104	66418	-	315	1	3	1	5	7	0	20	3	17
SC_RS02405	NC_003888.3	66688	67911	-	1224	4	4	4	13	14	20	75	27	85
SC_RS02410	NC_003888.3	68372	68887	+	516	12	19	22	13	11	4	39	11	43
SC_RS02415	NC_003888.3	68914	69676	-	763	5	1	0	5	0	2	74	15	50
SC_RS02420	NC_003888.3	69799	70647	+	849	1	1	1	4	3	3	54	18	49
SC_RS02425	NC_003888.3	70777	71235	+	459	19	12	23	14	6	19	31	14	26
SC_RS02430	NC_003888.3	71273	71431	-	159	3	2	1	0	2	0	28	4	12
SC_RS02435	NC_003888.3	71648	72139	-	492	1	5	2	4	2	1	31	5	19
SC_RS02440	NC_003888.3	72159	73097	-	939	12	15	18	29	15	25	47	19	70
SC_RS02445	NC_003888.3	73784	74833	-	1050	19	21	26	31	45	62	86	20	68
SC_RS02450	NC_003888.3	74917	75876	-	960	13	22	28	31	36	32	65	27	57
SC_RS02455	NC_003888.3	75916	76893	+	978	33	22	39	116	106	102	128	77	103
SC_RS02460	NC_003888.3	76985	77200	-	216	2	2	0	0	2	5	30	11	22
SC_RS02465	NC_003888.3	77315	78271	+	957	1	0	2	1	5	2	22	4	10
SC_RS02470	NC_003888.3	78489	78779	-	291	1	0	0	0	0	0	16	0	18
SC_RS02475	NC_003888.3	78845	80690	-	1846	69	75	96	131	118	152	207	103	171
SC_RS02480	NC_003888.3	80845	81165	-	321	42	47	66	122	115	110	100	112	101
SC_RS02485	NC_003888.3	81602	82441	-	840	1	0	1	1	2	0	11	4	11
SC_RS02490	NC_003888.3	82716	83500	+	785	22	28	32	28	24	25	72	28	60
SC_RS02495	NC_003888.3	83516	84235	-	720	55	49	58	64	64	57	71	37	74
SC_RS02500	NC_003888.3	85468	86643	+	1176	77	56	86	27	20	28	68	22	69
SC_RS02505	NC_003888.3	86640	87311	+	672	34	46	54	15	12	5	53	18	43
SC_RS02510	NC_003888.3	87907	88632	-	726	2	1	1	5	2	2	42	10	25
SC_RS02515	NC_003888.3	89073	89465	+	393	4	5	6	20	23	26	71	56	64
SC_RS02520	NC_003888.3	89486	90010	-	525	9	15	18	85	75	74	62	37	68
SC_RS02525	NC_003888.3	90584	90757	+	174	1	0	0	1	3	0	32	8	20
SC_RS02530	NC_003888.3	90951	91790	-	840	16	17	12	51	62	90	92	54	83
SC_RS02535	NC_003888.3	91977	92729	+	753	0	3	1	2	7	4	55	14	41
SC_RS02540	NC_003888.3	93220	93549	-	330	0	0	2	1	0	1	23	6	17
SC_RS02545	NC_003888.3	93593	94087	-	495	20	14	36	16	20	13	35	10	43
SC_RS02550	NC_003888.3	94306	94872	-	567	44	47	72	63	60	48	71	33	60
SC_RS02555	NC_003888.3	94989	95681	+	693	6	6	7	12	5	2	51	18	30
SC_RS02560	NC_003888.3	95995	97518	+	1524	135	136	139	553	537	557	212	124	194
SC_RS02565	NC_003888.3	97760	98281	-	522	0	1	1	21	21	24	69	20	42
SC_RS02570	NC_003888.3	98463	99338	-	876	1	0	3	11	23	14	55	20	68
SC_RS02575	NC_003888.3	99335	99949	-	615	0	0	0	10	15	18	49	18	41
SC_RS02580	NC_003888.3	100205	101566	+	1362	1	3	0	10	4	10	106	29	72
SC_RS02585	NC_003888.3	101656	103002	-	1347	6	6	6	8	7	12	84	31	49
SC_RS02590	NC_003888.3	103781	104989	+	1209	3	5	0	6	1	5	88	15	53
SC_RS02595	NC_003888.3	105057	106640	+	1584	0	0	7	8	1	5	89	19	71
SC_RS02600	NC_003888.3	106694	112885	+	6192	16	14	21	57	49	66	349	92	271
SC_RS02605	NC_003888.3	112932	119654	+	6723	12	10	14	48	30	33	366	76	309
SC_RS02610	NC_003888.3	119651	119833	+	183	0	1	4	4	2	1	11	8	6
SC_RS02615	NC_003888.3	120457	121371	+	915	24	14	31	107	101	47	70	19	59
SC_RS02620	NC_003888.3	121617	122456	-	840	2	1	2	6794	6218	5288	312	213	145
SC_RS02625	NC_003888.3	122743	125502	+	2760	73	69	59	141	145	130	451	373	381
SC_RS02630	NC_003888.3	125625	126005	-	381	1	0	0	1	0	0	35	5	34
SC_RS02635	NC_003888.3	127571	128290	+	720	4	6	5	30	29	25	75	38	64
SC_RS02640	NC_003888.3	128634	130184	-	1551	24	21	27	109	92	84	123	67	126
SC_RS02645	NC_003888.3	130201	131001	-	801	24	17	36	107	109	68	100	70	85
SC_RS02650	NC_003888.3	131523	132296	+	774	2	7	9	6	10	6	55	10	36
SC_RS02655	NC_003888.3	132327	132647	+	321	1	1	2	1	0	0	16	4	17
SC_RS02660	NC_003888.3	132693	133520	+	828	5	11	8	9	4	6	60	16	33
SC_RS02665	NC_003888.3	133570	134121	-	552	8	5	14	17	11	24	215	199	183
SC_RS02670	NC_003888.3	134295	136100	-	1806	64	71	73	70	45	92	150	65	117
SC_RS02675	NC_003888.3	136149	136307	+	159	0	0	0	0	0	0	21	1	16
SC_RS02680	NC_003888.3	136683	137183	+	501	28	25	29	5	11	12	44	16	33
SC_RS02685	NC_003888.3	137197	137556	+	360	15	15	34	14	12	8	29	26	22
SC_RS02690	NC_003888.3	137561	138589	+	1029	89	83	107	72	65	57	88	51	86
SC_RS02695	NC_003888.3	138543	138761	-	219	4	2	6	1	1	4	25	7	19
SC_RS02700	NC_003888.3	138976	139467	+	492	57	65	80	25	28	22	53	24	40
SC_RS02705	NC_003888.3	139467	139712	+	246	31	27	28	12	14	10	20	11	8
SC_RS02710	NC_003888.3	139709	140862	+	1154	143	99	120	43	26	34	102	44	73
SC_RS02715	NC_003888.3	141370	141708	+	339	17	16	18	1	2	7	28	5	23
SC_RS02720	NC_003888.3	141705	143315	+	1611	17	9	25	3	7	5	92	18	57
SC_RS02725	NC_003888.3	143776	144363	-	588	19	21	17	23	15	19	67	27	53
SC_RS02730	NC_003888.3	144704	145366	-	663	14	17	21	33	27	21	70	13	47
SC_RS02735	NC_003888.3	145499	146122	+	624	65	72	86	151	104	154	117	91	101
SC_RS02740	NC_003888.3	146977	148206	+	1230	4	1	9	10	11	6	59	25	49
SC_RS02745	NC_003888.3	148225	149184	+	960	0	1	5	2	1	0	59	8	37
SC_RS02750	NC_003888.3	149508	150209	-	702	2	3	3	15	19	18	61	38	56
SC_RS02755	NC_003888.3	150579	151571	+	993	5	7	0	274	298	237	1687	2597	2404
SC_RS02760	NC_003888.3	151749	153275	+	1527	7	6	7	17	24	12	118	88	144
SC_RS02765	NC_003888.3	153398	155728	+	2331	2	2	7	14	13	12	200	60	141
SC_RS02770	NC_003888.3	155707	156120	-	414	9	7	19	32	29	23	92	111	101
SC_RS02775	NC_003888.3	156338	157141	+	804	17	13	16	40	30	48	186	154	220
SC_RS02780	NC_003888.3	157189	158073	-	885	7	16	14	1264	1227	1022	9440	13352	12339
SC_RS02785	NC_003888.3	158846	159304	+	459	19	6	10	1112	1127	1080	4663	6810	6020
SC_RS02790	NC_003888.3	159339	160025	+	687	8	19	17	725	880	843	2649	4133	3686
SC_RS02795	NC_003888.3	160026	160238	-	213	15	19	15	115	80	55	244	264	325
SC_RS02800	NC_003888.3	160356	161027	-	672	28	29	36	353	353	306	2665	3677	3322
SC_RS02805	NC_003888.3	161237	162553	+	1317	0	1	0	392	393	315	3338	4684	4313
SC_RS02810	NC_003888.3	162661	163119	+	459	3	2	4	36	34	18	154	160	199
SC_RS02815	NC_003888.3	163235	163891	-	657	21	17	30	97	103	78	319	518	559
SC_RS02820	NC_003888.3	164023	164931	-	909	7	3	6	418	421	456	2587	4067	3558
SC_RS02825	NC_003888.3	165275	165397	+	123	1	0	0	0	0	0	13	4	11
SC_RS02830	NC_003888.3	165478	165855	+	378	0	0	1	0	1	1	29	5	27
SC_RS02835	NC_003888.3	166033	166614	+	582	5	3	3	328	339	336	3231	4909	4425
SC_RS02840	NC_003888.3	166891	166965	+	75	25	18	42	11	18	14	74	118	105
SC_RS02845	NC_003888.3	167444	168514	-	1071	3	4	8	1096	1033	723	3995	5664	5912
SC_RS02850	NC_003888.3	168705	169556	-	852	1	1	2	210	173	165	975	1476	1548
SC_RS02855	NC_003888.3	169584	170486	-	903	5	3	2	617	628	569	5011	6712	6090
SC_RS02860	NC_003888.3	170827	171651	+	825	0	1	0	4	1	0	59	12	56
SC_RS02865	NC_003888.3	171653	172158	+	506	0	0	1	0	0	0	24	6	12
SC_RS02870	NC_003888.3	172170	173665	+	1496	3	0	1	4	1	3	81	12	63
SC_RS02875	NC_003888.3	173801	174946	+	1146	265	350	397	105	119	150	94	65	148
SC_RS02880	NC_003888.3	174943	176514	+	1572	199	300	326	72	88	129	94	63	143
SC_RS02885	NC_003888.3	176501	177496	+	996	67	98	133	18	28	25	56	25	56
SC_RS02890	NC_003888.3	177493	178503	+	1011	62	158	159	21	40	24	71	26	78
SC_RS02895	NC_003888.3	178519	180087	-	1569	86	117	138	96	116	167	113	45	85
SC_RS02900	NC_003888.3	180084	180824	-	741	33	33	52	35	42	69	50	21	42
SC_RS02905	NC_003888.3	180821	182038	-	1218	233	308	407	109	101	174	104	45	117
SC_RS02910	NC_003888.3	182309	183559	-	1251	782	800	1019	320	284	429	155	115	177
SC_RS02915	NC_003888.3	183793	184797	-	1005	2272	2130	2850	977	858	1097	341	301	375
SC_RS02920	NC_003888.3	184958	185566	+	609	671	712	955	219	231	280	689	603	743
SC_RS02925	NC_003888.3	185675	186361	+	687	352	337	467	104	126	129	296	278	381
SC_RS02930	NC_003888.3	186447	186887	+	441	106	134	158	63	49	54	123	73	125
SC_RS02935	NC_003888.3	187019	187459	-	441	7	15	18	126	177	179	319	493	442
SC_RS02940	NC_003888.3	187992	188858	-	867	19	7	24	273	328	255	817	1221	1284
SC_RS02945	NC_003888.3	188864	189886	-	1023	8	3	4	438	532	440	1992	2812	3023
SC_RS02950	NC_003888.3	189925	190830	-	906	7	6	3	857	1103	991	5859	8280	7516
SC_RS02955	NC_003888.3	190983	191612	-	630	4	1	6	827	947	728	4739	6854	6731
SC_RS02960	NC_003888.3	191904	192848	+	945	3	8	9	7	5	4	71	17	55
SC_RS02965	NC_003888.3	192880	194637	-	1758	145	131	219	1068	951	1060	1752	2138	2062
SC_RS02970	NC_003888.3	194760	195461	-	702	25	27	40	1988	2125	2172	6258	9607	7041
SC_RS02975	NC_003888.3	195554	196307	-	754	0	0	0	7	3	7	43	32	54
SC_RS02980	NC_003888.3	196386	196991	-	606	0	0	1	21	21	16	86	119	124
SC_RS02985	NC_003888.3	197221	199917	+	2697	6	7	9	465	492	386	2735	4209	3923
SC_RS02990	NC_003888.3	200024	200428	+	405	2	4	3	489	492	373	3041	4277	3888
SC_RS02995	NC_003888.3	200701	201369	+	669	3	1	3	163	160	132	662	1054	1063
SC_RS03000	NC_003888.3	201374	202090	+	717	3	6	2	38	66	29	160	182	236
SC_RS03005	NC_003888.3	202370	202843	-	474	8	6	3	119	113	107	219	402	313
SC_RS03010	NC_003888.3	202863	204101	-	1239	5	6	3	535	628	586	1483	2611	2018
SC_RS03015	NC_003888.3	204387	204800	+	414	11	13	3	165	190	186	428	564	439
SC_RS03020	NC_003888.3	204881	205888	-	1008	3	2	4	266	239	258	1351	2068	1826
SC_RS03025	NC_003888.3	206480	210181	+	3702	12	10	25	2015	2893	2791	4887	7855	6667
SC_RS03030	NC_003888.3	210183	211751	+	1569	6	3	11	484	734	583	677	999	984
SC_RS03035	NC_003888.3	211748	212551	+	804	1	0	0	91	137	201	145	200	211
SC_RS03040	NC_003888.3	212551	213321	+	771	1	0	3	117	180	254	152	254	216
SC_RS03045	NC_003888.3	213421	213870	+	450	6	5	3	59	49	89	80	93	106
SC_RS03050	NC_003888.3	213892	214542	-	651	0	1	5	7	13	8	54	15	66
SC_RS03055	NC_003888.3	214913	215446	+	534	401	413	507	282	312	335	220	153	171
SC_RS03060	NC_003888.3	215807	216844	-	1038	101	109	102	42	29	31	929	770	732
SC_RS03065	NC_003888.3	217315	217968	-	654	219	195	272	39	49	41	76	44	70
SC_RS03070	NC_003888.3	218481	218771	+	291	1	1	0	0	0	0	31	6	31
SC_RS03075	NC_003888.3	219302	220150	+	849	110	85	113	156	156	198	105	73	100
SC_RS03080	NC_003888.3	220150	220764	+	615	94	76	129	98	122	119	63	49	58
SC_RS03085	NC_003888.3	221092	221247	-	156	62	51	84	73	41	121	102	108	85
SC_RS03090	NC_003888.3	221414	221599	-	186	0	0	0	1	1	0	9	3	8
SC_RS03095	NC_003888.3	221699	222538	-	840	12	12	16	22	26	15	78	27	62
SC_RS03100	NC_003888.3	222827	223288	+	462	0	0	0	1	1	3	28	5	26
SC_RS03105	NC_003888.3	223294	224232	+	939	65	69	53	63	60	93	125	91	108
SC_RS03110	NC_003888.3	224404	225276	-	873	8	11	6	27	24	12	68	32	63
SC_RS03115	NC_003888.3	225476	226237	+	762	0	2	1	4	1	1	52	8	28
SC_RS03120	NC_003888.3	226481	227008	+	528	4	2	11	3	3	4	32	5	35
SC_RS03125	NC_003888.3	227081	228154	-	1074	13	14	14	18	21	22	87	31	63
SC_RS03130	NC_003888.3	228714	229649	-	936	34	34	33	19	14	29	70	25	49
SC_RS03135	NC_003888.3	229995	230669	+	675	18	15	18	18	12	23	61	15	56
SC_RS03140	NC_003888.3	231022	231465	+	444	51	44	70	392	289	446	373	390	398
SC_RS03145	NC_003888.3	231475	231654	+	180	33	30	33	150	157	129	190	163	151
SC_RS03150	NC_003888.3	232508	233518	+	1011	150	117	156	85	48	82	99	66	102
SC_RS03155	NC_003888.3	233854	234873	-	1020	220	227	276	60	55	85	116	50	67
SC_RS03160	NC_003888.3	234870	236207	-	1338	634	652	788	129	124	130	178	81	135
SC_RS03165	NC_003888.3	236794	237807	+	1014	1167	1113	1515	1502	1509	1719	899	918	681
SC_RS03170	NC_003888.3	238280	239794	-	1515	146	157	214	53	46	51	130	38	103
SC_RS03175	NC_003888.3	239858	240523	+	666	102	95	166	42	43	47	90	62	70
SC_RS03180	NC_003888.3	240876	242123	-	1248	45	45	63	41	31	46	75	27	83
SC_RS03185	NC_003888.3	242203	242766	+	564	57	68	104	52	42	38	52	33	64
SC_RS03190	NC_003888.3	243022	243762	-	741	19	24	26	36	41	60	96	63	79
SC_RS03195	NC_003888.3	243936	245759	-	1824	25	19	13	16	5	10	127	35	96
SC_RS03200	NC_003888.3	245986	246783	+	798	16	27	27	8	2	5	134	78	104
SC_RS03205	NC_003888.3	246868	247869	+	1002	12	16	12	5	4	8	90	42	70
SC_RS03210	NC_003888.3	247871	248680	+	810	9	22	19	10	7	8	84	45	52
SC_RS03215	NC_003888.3	248677	249702	+	1026	20	27	26	13	8	6	111	80	103
SC_RS03220	NC_003888.3	249755	250084	+	330	113	131	148	99	103	114	128	122	98
SC_RS03225	NC_003888.3	250164	250691	-	528	12	13	13	16	12	25	42	30	41
SC_RS03230	NC_003888.3	250805	251740	+	936	69	64	65	114	59	92	126	95	90
SC_RS03235	NC_003888.3	251764	252879	-	1116	50	47	54	15	26	17	89	20	82
SC_RS03240	NC_003888.3	252946	253398	+	453	34	23	45	71	54	54	62	56	48
SC_RS03245	NC_003888.3	253499	254290	+	792	62	58	73	104	87	84	87	100	90
SC_RS03250	NC_003888.3	254332	255198	-	867	4	13	7	18	9	15	57	19	43
SC_RS03255	NC_003888.3	255311	256087	+	777	4	1	3	3	9	6	78	14	47
SC_RS03260	NC_003888.3	256281	256442	+	162	5	7	4	1145	757	1212	476	542	420
SC_RS03265	NC_003888.3	256526	259687	+	3162	29	24	51	1003	613	932	499	450	469
SC_RS03270	NC_003888.3	259684	261084	+	1401	6	5	6	159	107	162	98	55	122
SC_RS03275	NC_003888.3	261366	262319	+	954	4	7	5	12	11	8	57	22	42
