position	strand	4mC	4mC_cov	5mC	5mC_cov
2793646	-	79.10283582089552	67	0.0	67
4257263	-	98.83906976744186	86	0.0	86
3000114	+	54.545	22	0.0	22
429275	+	97.67441860465117	43	0.0	43
3892534	-	89.28642857142859	56	0.0	56
2342068	+	87.49849999999999	40	0.0	40
6785946	+	94.4438888888889	36	0.0	36
5411479	+	88.88666666666667	54	0.0	54
1190775	-	94.2837142857143	35	0.0	35
2010240	+	100.0	69	0.0	69
6219951	+	95.91632653061224	49	0.0	49
2792757	-	98.57285714285715	70	0.0	70
3235904	+	91.06821428571428	56	0.0	56
6459845	-	97.72818181818182	44	0.0	44
4280538	-	80.45954022988505	87	0.0	87
2343352	-	85.96543859649124	57	0.0	57
1064592	+	87.4984375	32	0.0	32
2047814	-	77.41806451612904	31	0.0	31
5523353	+	91.52762711864408	59	0.0	59
2115734	+	96.36218181818182	55	0.0	55
2019769	+	62.1627027027027	37	0.0	37
2928557	+	73.81285714285714	42	0.0	42
2525552	+	68.57228571428571	35	0.0	35
4640304	+	87.50107142857142	56	0.0	56
6320323	-	86.48594594594594	37	0.0	37
3440408	+	90.47539682539684	63	0.0	63
3779648	-	95.23777777777777	63	0.0	63
5371477	+	92.728	55	0.0	55
4292161	+	78.04682926829268	82	0.0	82
1830557	+	83.78351351351351	37	0.0	37
801847	+	56.665333333333336	30	0.0	30
1829820	-	65.6253125	32	0.0	32
1650002	-	93.93909090909091	66	0.0	66
3225250	-	52.63157894736842	38	0.0	38
4077606	+	73.33333333333333	45	0.0	45
4207214	+	66.09898305084747	59	0.0	59
1446658	-	96.42910714285713	56	0.0	56
5655636	-	90.38846153846156	52	0.0	52
2422064	-	55.320851063829785	47	0.0	47
3364273	-	62.964444444444446	27	0.0	27
7359957	+	79.1675	24	0.0	24
2163461	+	87.50125	40	0.0	40
3340217	-	98.03725490196078	51	0.0	51
5656844	-	88.46153846153847	26	0.0	26
7238591	-	86.664	30	0.0	30
5563993	-	68.4213157894737	38	0.0	38
3951157	-	98.07711538461538	104	0.0	104
7880437	-	76.9226923076923	26	0.0	26
5716241	+	87.50399999999999	40	0.0	40
1369369	-	88.23529411764706	51	0.0	51
4368557	+	81.94527777777778	72	0.0	72
6561915	+	90.47666666666666	21	0.0	21
6632138	-	72.0028	25	0.0	25
5845058	+	83.87193548387096	31	0.0	31
2474379	+	92.30551282051282	78	0.0	78
6485562	+	90.47285714285715	21	0.0	21
4298019	+	87.83702702702703	74	0.0	74
8645065	+	100.0	20	0.0	20
1157284	+	91.17647058823529	34	0.0	34
6818985	-	88.89111111111113	27	0.0	27
7396296	-	95.65217391304348	23	0.0	23
6785565	+	73.33166666666668	30	0.0	30
6990122	-	82.92682926829268	41	0.0	41
5959763	+	95.45590909090907	44	0.0	44
6332516	+	93.93666666666667	33	0.0	33
4236074	-	82.67146666666667	75	0.0	75
5466826	+	77.776	45	0.0	45
5062697	-	95.3125	64	0.0	64
6630911	-	97.9175	48	0.0	48
2196102	+	97.49875	40	0.0	40
2879925	+	67.31	52	0.0	52
8512369	-	100.0	25	0.0	25
2543375	-	93.47565217391305	46	0.0	46
3819482	-	61.818000000000005	55	0.0	55
7211994	-	97.05882352941177	34	0.0	34
1107100	-	100.0	34	0.0	34
2918727	-	68.51814814814814	54	0.0	54
1553159	-	79.48948717948718	39	0.0	39
5931665	-	73.91478260869565	23	0.0	23
4171561	-	100.0	51	0.0	51
4654034	+	77.2710606060606	66	0.0	66
4392179	+	84.48396551724139	58	0.0	58
4635324	+	87.50428571428571	56	0.0	56
2942021	-	91.17617647058823	68	0.0	68
7174480	+	100.0	38	0.0	38
2661328	-	59.091818181818184	44	0.0	44
1808922	+	84.3775	32	0.0	32
4064212	-	91.14025316455697	79	0.0	79
5786902	-	86.66499999999999	30	0.0	30
5843408	+	68.7525	32	0.0	32
4893566	+	75.0015	40	0.0	40
4004137	+	84.78565217391304	92	0.0	92
4027485	-	84.41311688311687	77	0.0	77
6572150	-	73.68473684210525	19	0.0	19
4949632	+	92.97947368421052	57	0.0	57
4682264	-	85.71428571428571	42	0.0	42
3223037	+	96.55172413793103	29	0.0	29
5689096	+	94.0016	50	0.0	50
2211642	-	88.13440677966102	59	0.0	59
7286093	+	54.54545454545455	22	0.0	22
3397812	+	79.06813953488371	43	0.0	43
5038861	+	83.72395348837209	43	0.0	43
5067422	+	85.71249999999999	28	0.0	28
3530668	+	90.70058139534883	86	0.0	86
6528253	-	81.82181818181817	22	0.0	22
3408444	+	86.88655737704917	61	0.0	61
2008110	+	93.18181818181819	44	0.0	44
4729648	+	84.41740259740261	77	0.0	77
2178642	+	78.7890909090909	33	0.0	33
3693776	+	80.32721311475409	61	0.0	61
7634732	+	77.27045454545454	22	0.0	22
1723511	-	73.53117647058825	34	0.0	34
1493424	-	90.91060606060607	33	0.0	33
5466073	-	70.002	40	0.0	40
6561708	+	82.60782608695652	23	0.0	23
3693989	+	86.36340909090909	44	0.0	44
7210462	-	97.05882352941177	34	0.0	34
3425918	+	80.0018181818182	55	0.0	55
1717765	+	90.00066666666665	30	0.0	30
5433940	+	86.8428947368421	38	0.0	38
6841170	-	77.7788888888889	27	0.0	27
5971707	+	91.49148936170214	47	0.0	47
6525145	+	98.17945454545455	55	0.0	55
5985333	+	63.89277777777777	36	0.0	36
7266341	+	90.47857142857143	21	0.0	21
4709826	+	76.00200000000001	50	0.0	50
3276195	-	96.5503448275862	58	0.0	58
2373228	-	83.33027777777777	36	0.0	36
3961930	-	63.93377049180328	61	0.0	61
2876660	-	86.44271186440677	59	0.0	59
1342816	-	90.625625	32	0.0	32
5015413	-	74.36076923076924	39	0.0	39
3533745	+	89.79897959183673	49	0.0	49
4681332	-	95.835	24	0.0	24
4237748	+	89.79571428571428	49	0.0	49
3305529	-	60.0	30	0.0	30
5325701	-	78.26130434782608	46	0.0	46
3114330	+	78.94894736842106	19	0.0	19
6496815	-	89.7425641025641	39	0.0	39
2347213	+	97.77777777777777	45	0.0	45
6164387	-	90.3225806451613	31	0.0	31
5328687	-	64.0008	25	0.0	25
1593629	+	71.87468750000001	32	0.0	32
3000735	+	96.15384615384616	52	0.0	52
7200859	-	87.49916666666667	24	0.0	24
7248425	+	94.44444444444444	36	0.0	36
406538	+	100.0	32	0.0	32
7441094	-	100.0	28	0.0	28
6061468	+	88.63772727272728	44	0.0	44
5616968	-	73.91608695652174	23	0.0	23
6095147	-	83.33466666666666	30	0.0	30
6762214	+	57.69230769230769	26	0.0	26
3103725	-	76.46882352941176	34	0.0	34
1548745	+	97.72613636363636	44	0.0	44
2027745	+	72.09418604651164	43	0.0	43
3028930	+	68.7525	32	0.0	32
1123645	-	97.22222222222223	36	0.0	36
1860286	-	71.43057142857143	35	0.0	35
5572075	-	78.72468085106384	47	0.0	47
460130	-	93.7503125	32	0.0	32
1667535	-	93.18363636363637	44	0.0	44
3012824	-	74.3576923076923	39	0.0	39
1733935	-	90.19431372549019	51	0.0	51
7688006	-	93.33333333333333	30	0.0	30
6422313	+	72.72636363636364	22	0.0	22
2911607	+	95.29388235294118	85	0.0	85
1682067	+	88.37046511627906	43	0.0	43
4770929	-	85.71414285714286	70	0.0	70
5218898	+	81.13094339622643	53	0.0	53
6753262	-	77.275	22	0.0	22
5198936	-	91.669	60	0.0	60
5753280	+	84.61487179487179	39	0.0	39
5820597	+	90.6275	32	0.0	32
3685263	-	68.75416666666668	48	0.0	48
4346521	+	100.0	103	0.0	103
5765561	-	75.00178571428572	28	0.0	28
1805538	+	82.05358974358975	39	0.0	39
5188414	+	81.63367346938774	49	0.0	49
3168458	+	78.26043478260871	46	0.0	46
3112284	+	88.37255813953489	43	0.0	43
2738932	+	65.57344262295081	61	0.0	61
2961070	-	72.7261038961039	77	0.0	77
2270080	+	85.9992	50	0.0	50
1087682	-	85.71514285714285	35	0.0	35
3631693	+	60.0	30	0.0	30
5681476	-	90.7374074074074	54	0.0	54
2404847	-	95.77549295774647	71	0.0	71
6631406	-	94.11470588235295	34	0.0	34
1760304	-	54.83806451612903	31	0.0	31
4844781	-	75.51183673469387	49	0.0	49
6492334	-	65.38384615384615	26	0.0	26
304667	-	88.88944444444445	36	0.0	36
4213251	+	88.13440677966102	59	0.0	59
6057036	+	68.18	22	0.0	22
3067139	+	60.52842105263158	38	0.0	38
5270694	+	87.27436363636365	55	0.0	55
1940460	-	98.27655172413793	58	0.0	58
2592644	+	69.9985	40	0.0	40
3069604	+	75.67837837837837	37	0.0	37
3024503	-	87.75510204081633	49	0.0	49
5062781	+	63.8268085106383	47	0.0	47
2089244	-	86.0	50	0.0	50
6022300	+	95.002	20	0.0	20
7174792	+	100.0	29	0.0	29
5821296	+	95.38646153846153	65	0.0	65
7586609	+	73.91521739130435	23	0.0	23
2279427	+	97.43602564102564	78	0.0	78
5476668	+	90.90654545454545	55	0.0	55
585945	+	100.0	30	0.0	30
620836	+	94.28714285714287	35	0.0	35
7064924	-	87.09935483870967	31	0.0	31
3887655	+	63.26571428571429	49	0.0	49
4481933	+	81.253	80	0.0	80
5377738	+	91.52762711864408	59	0.0	59
6462222	-	74.99785714285714	28	0.0	28
5008242	+	83.33333333333333	36	0.0	36
5426350	-	77.27363636363636	44	0.0	44
7394962	+	58.617586206896554	29	0.0	29
2343384	+	53.333333333333336	30	0.0	30
7671741	+	95.65260869565218	23	0.0	23
5662284	-	98.11509433962264	53	0.0	53
4494506	+	84.61538461538461	65	0.0	65
6464772	-	67.85964285714286	28	0.0	28
2172495	+	98.73468354430379	79	0.0	79
2389907	-	82.04923076923077	39	0.0	39
4123877	-	92.3904347826087	92	0.0	92
3884508	+	84.3728125	64	0.0	64
2413467	+	95.4539393939394	66	0.0	66
4156907	+	81.81623376623376	77	0.0	77
2610388	-	77.77688888888889	45	0.0	45
7585226	-	92.0028	25	0.0	25
4644410	-	94.74105263157894	57	0.0	57
3588521	-	84.61641025641026	39	0.0	39
5605492	-	96.15384615384616	52	0.0	52
2274821	+	93.61829787234042	47	0.0	47
6130929	+	88.63954545454546	44	0.0	44
2202774	-	79.54727272727273	44	0.0	44
3639865	+	76.92423076923077	52	0.0	52
1796338	-	83.335	36	0.0	36
2275208	+	95.65	69	0.0	69
1214206	+	70.96774193548387	31	0.0	31
3487389	+	95.38338461538461	65	0.0	65
4354719	-	86.95855072463767	69	0.0	69
4169425	+	96.15105769230769	104	0.0	104
8005438	+	100.0	24	0.0	24
5380211	-	62.004400000000004	50	0.0	50
2927993	-	86.11319444444445	72	0.0	72
5576606	-	90.3848076923077	52	0.0	52
4654147	+	85.71428571428571	84	0.0	84
5825528	-	91.665	48	0.0	48
2304887	-	80.43260869565218	46	0.0	46
3773667	-	92.59074074074074	81	0.0	81
976908	-	95.23714285714286	42	0.0	42
3317882	-	88.45846153846153	52	0.0	52
4810355	+	67.501	40	0.0	40
3185368	+	94.64053571428572	56	0.0	56
3658730	-	96.59249999999999	88	0.0	88
7935499	-	87.49791666666665	24	0.0	24
1968495	-	81.35474576271187	59	0.0	59
149840	-	91.175	34	0.0	34
3803469	+	95.94797297297296	74	0.0	74
3462147	+	88.46134615384615	52	0.0	52
6362850	-	69.99933333333334	30	0.0	30
5247253	+	80.64483870967742	31	0.0	31
2667118	+	98.53088235294118	68	0.0	68
5226895	-	93.54612903225807	62	0.0	62
6242795	+	92.45037735849057	53	0.0	53
4036934	-	97.93711340206185	97	0.0	97
5763350	+	48.57542857142857	35	0.0	35
8659069	+	59.09	22	0.0	22
8059748	+	66.66761904761904	21	0.0	21
6625522	+	73.91130434782609	23	0.0	23
5992959	-	93.18	44	0.0	44
4514369	-	95.18457831325301	83	0.0	83
7061637	+	50.000454545454545	22	0.0	22
4309104	-	79.6878125	64	0.0	64
1486220	-	97.29756756756757	37	0.0	37
6206232	+	63.33133333333333	30	0.0	30
1680671	-	92.49875	40	0.0	40
2063526	+	95.31015624999999	64	0.0	64
6085390	+	79.99680000000001	25	0.0	25
3619980	+	78.56946428571428	56	0.0	56
5143231	+	79.48666666666666	39	0.0	39
2768445	-	98.83790697674421	86	0.0	86
3129517	+	98.50746268656717	67	0.0	67
1797890	-	80.0	30	0.0	30
5006857	+	88.37232558139534	43	0.0	43
4898691	-	77.27386363636364	44	0.0	44
7437589	+	91.665	24	0.0	24
2496513	+	72.72863636363637	44	0.0	44
4625639	+	86.48702702702701	74	0.0	74
2356708	+	61.702553191489365	47	0.0	47
8564813	-	100.0	26	0.0	26
3383765	+	86.95434782608696	23	0.0	23
2634095	+	89.55432835820895	67	0.0	67
4492468	-	85.45363636363636	55	0.0	55
3051337	+	100.0	38	0.0	38
7566272	+	83.3325	24	0.0	24
4316035	-	81.57973684210526	38	0.0	38
323419	-	83.33533333333334	30	0.0	30
5336925	-	92.59222222222222	54	0.0	54
5810024	+	91.66333333333334	36	0.0	36
7117204	+	93.1048275862069	29	0.0	29
2104477	-	98.27655172413793	58	0.0	58
1922223	-	78.26260869565218	46	0.0	46
1671520	-	86.84499999999998	38	0.0	38
4271830	+	70.21404255319149	47	0.0	47
4164055	+	65.625	32	0.0	32
1554331	-	75.000625	32	0.0	32
5200407	-	94.87	39	0.0	39
4191051	+	73.47204081632653	49	0.0	49
4449475	+	87.91417582417583	91	0.0	91
7593848	+	93.10103448275864	29	0.0	29
1423807	-	76.92358974358974	39	0.0	39
6840447	+	78.57392857142857	28	0.0	28
1532270	+	56.251875	32	0.0	32
2884771	+	87.3026984126984	63	0.0	63
3862479	+	92.45311320754718	106	0.0	106
1320413	+	94.23346153846153	52	0.0	52
6556715	-	74.07444444444445	27	0.0	27
7521098	+	73.91130434782609	23	0.0	23
6466912	+	95.835	24	0.0	24
1035686	-	93.02186046511628	43	0.0	43
3486246	+	84.08977272727272	44	0.0	44
2788619	-	85.71523809523809	42	0.0	42
7270262	+	100.0	20	0.0	20
3013751	+	89.79591836734694	49	0.0	49
1097919	-	88.2344117647059	34	0.0	34
3184329	+	93.55096774193548	62	0.0	62
7176637	+	92.85964285714284	28	0.0	28
4372549	-	67.21508196721311	61	0.0	61
2432011	+	100.0	85	0.0	85
2838443	-	72.002	50	0.0	50
6303651	+	68.0012	25	0.0	25
3967325	+	89.39333333333333	66	0.0	66
2066633	+	68.751875	32	0.0	32
5053195	+	83.05050847457626	59	0.0	59
5929295	+	91.48893617021275	47	0.0	47
2458087	+	80.00022222222222	45	0.0	45
3857897	+	60.464651162790695	43	0.0	43
3233975	-	95.83229166666668	48	0.0	48
2275487	+	94.62580645161292	93	0.0	93
5892835	-	92.68073170731707	41	0.0	41
1713976	+	98.11396226415094	53	0.0	53
3372731	+	82.35352941176471	34	0.0	34
1864750	+	94.87358974358973	39	0.0	39
1375940	+	96.77548387096775	31	0.0	31
3761661	-	76.19222222222223	63	0.0	63
3453798	-	64.10282051282051	39	0.0	39
5766822	-	83.99959999999999	50	0.0	50
7043492	+	93.10206896551725	29	0.0	29
4609721	-	74.07703703703703	54	0.0	54
3949775	+	95.35023255813952	86	0.0	86
7576488	-	52.17391304347826	23	0.0	23
3995293	-	71.8746875	64	0.0	64
1064554	+	97.82695652173913	46	0.0	46
2180414	+	68.29024390243902	41	0.0	41
5523320	-	60.004	20	0.0	20
1456612	-	86.36227272727272	44	0.0	44
869966	+	89.19189189189188	37	0.0	37
5815814	-	93.93818181818182	33	0.0	33
6447373	+	93.5516129032258	62	0.0	62
1879101	-	85.45236363636364	55	0.0	55
7413539	+	95.83375000000001	24	0.0	24
5531344	-	92.30923076923077	39	0.0	39
2238525	-	67.74064516129032	31	0.0	31
4165905	+	85.00075	40	0.0	40
4707716	-	51.108000000000004	45	0.0	45
7036618	-	87.80512195121952	41	0.0	41
2309573	-	69.04452380952381	42	0.0	42
5534200	+	65.71342857142858	35	0.0	35
3404475	+	89.99685714285712	70	0.0	70
3996764	-	81.39302325581396	43	0.0	43
7432977	+	92.85785714285714	28	0.0	28
2889007	+	83.07784615384615	65	0.0	65
5478036	+	83.86935483870967	31	0.0	31
4492641	-	50.0	54	0.0	54
2295462	-	66.66871794871794	39	0.0	39
4094150	-	80.0	50	0.0	50
251362	-	80.55666666666667	36	0.0	36
381782	-	91.17588235294116	34	0.0	34
4123091	+	73.76852459016393	61	0.0	61
647285	+	88.63454545454546	44	0.0	44
3082963	-	88.88777777777777	45	0.0	45
1852903	+	76.47058823529412	34	0.0	34
2598013	+	98.64918918918919	74	0.0	74
1844221	-	90.69558139534884	43	0.0	43
4368098	-	91.93435483870967	62	0.0	62
8203590	-	95.65347826086955	23	0.0	23
1425376	-	88.5717142857143	35	0.0	35
4149380	+	79.99971428571428	35	0.0	35
2546354	+	77.77622222222222	45	0.0	45
1835273	-	82.75844827586207	58	0.0	58
4753032	+	93.47695652173914	46	0.0	46
7874137	-	91.30217391304348	23	0.0	23
5979875	+	93.22305084745763	59	0.0	59
2598901	-	97.22291666666666	72	0.0	72
5382593	-	82.61130434782608	23	0.0	23
5375906	+	64.51322580645162	31	0.0	31
8427620	+	83.87096774193549	31	0.0	31
7117826	-	100.0	23	0.0	23
1641368	+	90.62625	32	0.0	32
436443	+	92.72818181818182	55	0.0	55
3384808	+	69.56695652173913	23	0.0	23
2799811	+	84.85000000000001	33	0.0	33
2781061	+	63.63681818181818	44	0.0	44
3514878	-	84.93260273972602	73	0.0	73
2032645	-	94.11725490196078	51	0.0	51
2342799	+	78.94868421052632	38	0.0	38
6583723	+	76.66466666666666	30	0.0	30
901669	-	100.0	36	0.0	36
3533746	-	83.07753846153847	65	0.0	65
1034866	+	86.36272727272727	44	0.0	44
4366661	-	52.176086956521736	46	0.0	46
4087788	+	93.90073170731708	82	0.0	82
3309515	-	60.0005	20	0.0	20
4810591	+	92.30692307692308	39	0.0	39
2285061	+	79.99799999999999	45	0.0	45
2307801	-	97.4995	80	0.0	80
4375244	-	71.01521739130436	69	0.0	69
2906252	-	95.08114754098362	61	0.0	61
4337264	+	88.23352941176469	68	0.0	68
4879541	+	89.19297297297297	74	0.0	74
4808319	+	56.41076923076923	39	0.0	39
5150420	-	65.22130434782608	23	0.0	23
1394445	-	100.0	73	0.0	73
4465685	+	70.83	48	0.0	48
2543552	-	92.85742857142857	70	0.0	70
4427746	-	76.71123287671233	73	0.0	73
1365143	+	68.42105263157895	38	0.0	38
3492878	+	93.54838709677419	31	0.0	31
4199916	+	95.36888888888889	108	0.0	108
3016211	-	53.332	30	0.0	30
5749297	-	82.97872340425532	47	0.0	47
5951205	+	97.18169014084508	71	0.0	71
3617785	-	92.67853658536586	41	0.0	41
4476130	-	85.41604166666667	48	0.0	48
4008065	+	87.13079207920791	101	0.0	101
4760334	+	73.97273972602738	73	0.0	73
5207175	-	52.17217391304348	23	0.0	23
4557114	-	68.65985074626866	67	0.0	67
3956015	-	94.59432432432432	74	0.0	74
2964190	+	66.66725490196077	51	1.96	51
1955497	+	67.64617647058823	34	0.0	34
6968874	-	79.31275862068966	29	0.0	29
3978105	+	83.33666666666667	54	0.0	54
4078056	-	92.59111111111112	81	0.0	81
5458898	+	93.9378787878788	33	0.0	33
7271782	+	87.500625	16	0.0	16
5503134	+	85.19	54	0.0	54
7910904	+	92.85857142857142	28	0.0	28
3699228	+	87.88090909090909	33	0.0	33
3307899	+	89.65379310344828	58	0.0	58
6016113	-	94.59189189189189	37	0.0	37
6098966	+	96.07843137254902	51	0.0	51
2311303	-	93.40373626373626	91	0.0	91
5557809	+	85.96543859649123	57	0.0	57
7647609	+	100.0	33	0.0	33
3483724	-	86.49108108108108	74	0.0	74
5966319	-	80.00166666666668	30	0.0	30
6215503	-	62.22222222222222	45	0.0	45
7198374	-	93.55096774193548	31	0.0	31
5448469	+	93.54516129032258	31	0.0	31
4845288	-	62.5	48	0.0	48
4819158	+	98.07596153846156	104	0.0	104
4893770	-	92.30692307692306	52	0.0	52
5254189	-	62.965555555555554	27	0.0	27
5643865	-	83.33666666666666	36	0.0	36
7014680	-	100.0	31	0.0	31
3488743	+	54.54272727272728	22	0.0	22
3986843	+	79.54386363636364	44	0.0	44
3744614	-	72.97135135135136	37	0.0	37
6208628	+	98.334	60	0.0	60
3668349	+	86.95434782608694	23	0.0	23
3417037	-	87.80560975609755	41	0.0	41
3895130	+	89.65379310344828	58	0.0	58
6886810	-	93.33066666666667	30	0.0	30
6030018	+	96.15480769230768	52	0.0	52
2354773	+	90.76615384615384	65	0.0	65
3137294	+	59.25962962962963	27	0.0	27
6612105	+	66.665	24	0.0	24
3797032	+	65.95872340425532	47	0.0	47
5097620	+	48.27655172413793	29	0.0	29
4605549	-	80.8814705882353	68	0.0	68
4170469	+	93.24108108108108	74	0.0	74
1480748	-	90.32516129032258	31	0.0	31
1144627	-	76.666	30	0.0	30
4712226	+	61.70234042553192	47	0.0	47
108750	+	91.17735294117647	34	0.0	34
4860663	+	86.156	65	0.0	65
5249865	+	70.27135135135136	37	0.0	37
6379484	-	73.336	30	0.0	30
4840914	-	89.47447368421052	76	0.0	76
1402389	+	88.67811320754716	53	0.0	53
2143377	-	80.49121951219513	41	0.0	41
3270785	-	96.15564102564103	78	0.0	78
5721741	+	72.58161290322582	62	0.0	62
5093296	-	60.869565217391305	23	0.0	23
3708810	+	82.46087719298247	57	0.0	57
5513141	+	57.14380952380952	21	0.0	21
2935051	-	68.62960784313725	51	0.0	51
3168474	+	69.56739130434784	46	0.0	46
6742756	-	88.56771428571429	35	0.0	35
3961929	+	68.11449275362318	69	0.0	69
6789327	+	88.88740740740741	27	0.0	27
3620211	+	90.3258064516129	62	0.0	62
4256468	-	89.47315789473683	57	0.0	57
5766522	+	77.14428571428572	35	0.0	35
5227701	-	54.836129032258064	31	0.0	31
7109297	+	100.0	45	0.0	45
1403019	+	95.9992	50	0.0	50
3483787	-	92.72763636363638	110	0.0	110
6039604	-	88.88916666666667	36	0.0	36
6417733	+	94.2837142857143	35	0.0	35
3698585	+	98.3057627118644	59	0.0	59
1268932	-	74.28942857142857	35	0.0	35
6919169	+	95.835	24	0.0	24
86222	+	97.22333333333333	36	0.0	36
5361112	+	87.71842105263157	57	0.0	57
5535159	+	79.06883720930233	43	0.0	43
3336717	+	51.85370370370371	27	0.0	27
6480961	-	94.1164705882353	51	0.0	51
8434867	-	95.2357142857143	21	0.0	21
6213469	-	68.96620689655172	29	0.0	29
364738	-	94.59648648648648	37	0.0	37
7537617	+	96.77548387096775	31	0.0	31
2246196	-	100.0	62	0.0	62
4361210	-	82.13857142857144	56	0.0	56
5677375	+	86.95652173913044	23	0.0	23
1845486	+	90.91227272727274	44	0.0	44
3958937	+	57.81125	64	0.0	64
4748625	-	75.7580303030303	66	0.0	66
7035262	-	62.965555555555554	27	0.0	27
4989251	+	76.59574468085107	47	0.0	47
8387143	-	78.57214285714284	28	0.0	28
4325087	+	92.47354838709678	93	0.0	93
6535330	+	93.54967741935484	31	0.0	31
3395991	-	74.46787234042554	47	0.0	47
3278193	-	84.44933333333333	45	0.0	45
3673765	-	56.101219512195115	41	0.0	41
7356385	-	94.445	18	0.0	18
8484451	-	93.10413793103449	29	0.0	29
1386475	+	92.30897435897437	39	0.0	39
2601300	-	82.00040000000001	50	0.0	50
3808220	+	80.002	25	0.0	25
6904461	+	80.001	20	0.0	20
7622522	-	78.56928571428571	28	0.0	28
7970794	-	80.95142857142858	21	0.0	21
1468404	-	94.44666666666666	36	0.0	36
3696485	+	85.00066666666667	60	0.0	60
3893627	-	90.24341463414635	82	0.0	82
7061219	+	92.85714285714286	42	0.0	42
3057581	-	67.6470588235294	34	0.0	34
7039604	-	72.72681818181819	22	0.0	22
5084441	-	81.57789473684211	38	0.0	38
4467414	-	79.16666666666667	72	0.0	72
3521870	-	88.0034	50	0.0	50
1744614	+	88.0	50	0.0	50
5299942	-	61.76705882352941	34	0.0	34
4542027	-	94.44222222222223	72	0.0	72
5767136	+	70.0	30	0.0	30
6744587	-	100.0	41	0.0	41
5471207	-	63.63454545454545	22	0.0	22
2889123	+	87.03796296296296	54	0.0	54
6337413	+	92.0016	25	0.0	25
3743216	+	89.65931034482759	58	0.0	58
1394427	-	98.0	50	0.0	50
1640571	+	60.87	46	0.0	46
1455106	-	86.0439534883721	43	0.0	43
5188336	+	86.79150943396228	53	0.0	53
4728691	-	60.97536585365853	41	0.0	41
3979155	-	90.526	95	0.0	95
1724336	-	92.50150000000001	40	0.0	40
5261558	+	100.0	80	0.0	80
4983938	+	77.27250000000001	44	0.0	44
6281057	+	79.40970588235295	34	0.0	34
1422369	-	59.37375	32	0.0	32
2331157	-	58.97564102564103	39	0.0	39
2355371	+	80.43739130434783	46	0.0	46
7664369	+	83.33333333333333	24	0.0	24
778604	+	93.18409090909091	44	0.0	44
