start	strand	21839	m
34824	-	0.0	0.0
34834	+	0.0	0.0
34835	-	0.0	0.0
34964	+	0.0	0.0
34965	-	0.0	0.0
34978	+	0.0	0.0
34979	-	0.0	0.0
35320	+	0.0	0.0
35321	-	0.0	0.0
35452	-	0.0	0.0
35963	+	0.0	0.0
35964	-	0.0	0.0
36618	+	0.0	0.0
36619	-	0.0	0.0
36645	+	0.0	0.0
36646	-	0.0	0.0
37174	+	0.0	0.0
37175	-	0.0	0.0
38885	+	0.0	0.0
38886	-	0.0	0.0
39344	+	0.0	0.0
39345	-	0.0	0.0
40678	-	0.0	0.0
41569	+	0.0	0.0
41570	-	0.0	0.0
44281	+	0.0	0.0
44282	-	0.0	0.0
44671	+	0.0	0.0
44672	-	0.0	0.0
45469	+	0.0	0.0
45470	-	0.0	0.0
46130	+	0.0	0.0
46131	-	0.0	0.0
46393	+	0.0	0.0
46394	-	0.0	0.0
46410	+	0.0	0.0
46411	-	0.0	0.0
48268	+	0.0	0.0
48269	-	0.0	0.0
48443	+	0.0	0.0
48444	-	0.0	0.0
48450	+	0.0	0.0
48451	-	0.0	0.0
48960	+	0.0	0.0
48961	-	0.0	0.0
49274	-	0.0	0.0
49626	+	0.0	0.0
49627	-	0.0	0.0
51464	+	0.0	0.0
51904	+	0.0	0.0
51905	-	0.0	0.0
52021	+	0.0	0.0
52022	-	0.0	0.0
52183	+	0.0	0.0
52184	-	0.0	0.0
52453	-	0.0	0.0
52519	+	0.0	0.0
52520	-	0.0	0.0
52924	+	0.0	0.0
52925	-	0.0	0.0
53002	+	0.0	0.0
53003	-	0.0	0.0
53181	+	0.0	0.0
53182	-	0.0	0.0
53265	+	0.0	0.0
53266	-	0.0	0.0
53511	+	0.0	0.0
53512	-	0.0	0.0
54356	+	0.0	0.0
54357	-	0.0	0.0
55014	+	0.0	0.0
55015	-	0.0	0.0
55904	+	0.0	0.0
55905	-	0.0	0.0
56087	+	0.0	0.0
56088	-	0.0	0.0
56310	+	0.0	0.0
56311	-	0.0	0.0
56756	+	0.0	0.0
56757	-	0.0	0.0
57081	+	0.0	0.0
57082	-	0.0	0.0
57759	+	0.0	0.0
57760	-	0.0	0.0
58130	+	0.0	0.0
58131	-	0.0	0.0
58515	+	0.0	0.0
58516	-	0.0	0.0
58868	+	0.0	0.0
58869	-	0.0	0.0
59670	+	0.0	0.0
59671	-	0.0	0.0
60504	+	0.0	0.0
60505	-	0.0	0.0
61011	+	0.0	0.0
61012	-	0.0	0.0
61134	+	0.0	0.0
61135	-	0.0	0.0
61431	+	0.0	0.0
61432	-	0.0	0.0
61473	+	0.0	0.0
61474	-	0.0	0.0
61671	+	0.0	0.0
61672	-	0.0	0.0
62028	+	0.0	0.0
62029	-	0.0	0.0
62374	+	0.0	0.0
62375	-	0.0	0.0
63099	+	0.0	0.0
63100	-	0.0	0.0
63421	+	0.0	0.0
63422	-	0.0	0.0
63612	+	0.0	0.0
63613	-	0.0	0.0
63894	+	0.0	0.0
63895	-	0.0	0.0
64726	+	0.0	0.0
64727	-	0.0	0.0
65633	+	0.0	0.0
65634	-	0.0	0.0
66083	+	0.0	0.0
66084	-	0.0	0.0
67022	+	0.0	0.0
67023	-	0.0	0.0
67495	+	0.0	0.0
67496	-	0.0	0.0
67866	+	0.0	0.0
67867	-	0.0	0.0
69017	+	0.0	0.0
70050	+	0.0	0.0
70051	-	0.0	0.0
70073	+	0.0	0.0
70074	-	0.0	0.0
70223	+	0.0	0.0
70224	-	0.0	0.0
70834	+	0.0	0.0
70835	-	0.0	0.0
71325	+	0.0	0.0
71957	+	0.0	0.0
71958	-	0.0	0.0
72054	+	0.0	0.0
72055	-	0.0	0.0
72667	+	90.0	0.0
72668	-	0.0	0.0
73072	+	0.0	0.0
73073	-	0.0	0.0
74777	+	0.0	0.0
74778	-	0.0	0.0
75627	-	0.0	0.0
76065	+	0.0	0.0
76066	-	0.0	0.0
76650	-	0.0	0.0
77055	+	0.0	0.0
77056	-	0.0	0.0
77102	+	0.0	0.0
77103	-	0.0	0.0
77823	+	0.0	0.0
77824	-	0.0	0.0
78292	+	0.0	0.0
78293	-	0.0	0.0
79563	+	0.0	0.0
80040	+	0.0	0.0
80041	-	0.0	0.0
80433	+	0.0	0.0
80434	-	0.0	0.0
81512	+	0.0	0.0
81513	-	0.0	0.0
81960	+	0.0	0.0
81961	-	0.0	0.0
83404	-	0.0	0.0
83494	+	0.0	0.0
83495	-	0.0	0.0
83785	-	0.0	0.0
83856	+	0.0	0.0
83857	-	0.0	0.0
84136	+	0.0	0.0
84137	-	0.0	0.0
84506	+	0.0	0.0
84507	-	0.0	0.0
84646	+	0.0	0.0
84647	-	0.0	0.0
86223	-	0.0	0.0
87159	+	0.0	0.0
87160	-	0.0	0.0
87256	+	0.0	0.0
87257	-	0.0	0.0
87268	+	0.0	0.0
87269	-	0.0	0.0
88340	+	0.0	0.0
88341	-	0.0	0.0
88541	+	0.0	0.0
88542	-	0.0	0.0
89418	+	0.0	0.0
89419	-	0.0	0.0
89811	+	0.0	0.0
89812	-	0.0	0.0
89854	+	0.0	0.0
89855	-	0.0	0.0
92026	+	0.0	0.0
92027	-	0.0	0.0
93575	+	0.0	0.0
93576	-	0.0	0.0
95557	+	0.0	0.0
95558	-	0.0	0.0
95630	+	0.0	0.0
95631	-	0.0	0.0
97767	+	0.0	0.0
99045	+	0.0	0.0
99046	-	0.0	0.0
100215	+	0.0	0.0
100216	-	0.0	0.0
102978	+	0.0	0.0
103201	+	0.0	0.0
103586	+	0.0	0.0
104202	+	60.0	0.0
105890	+	0.0	0.0
105891	-	0.0	0.0
106165	+	0.0	0.0
106166	-	0.0	0.0
106480	+	0.0	0.0
106481	-	0.0	0.0
106773	+	0.0	0.0
106774	-	0.0	0.0
106961	+	0.0	0.0
107022	+	0.0	0.0
107023	-	0.0	0.0
107679	+	0.0	0.0
107680	-	0.0	0.0
108002	+	0.0	0.0
108003	-	0.0	0.0
108677	+	0.0	0.0
108678	-	0.0	0.0
108921	+	100.0	0.0
108922	-	0.0	0.0
109379	+	0.0	0.0
109380	-	0.0	0.0
109703	+	0.0	0.0
109704	-	0.0	0.0
109757	+	0.0	0.0
109758	-	0.0	0.0
110030	+	0.0	0.0
110129	+	0.0	0.0
110130	-	0.0	0.0
112044	+	0.0	0.0
112164	+	0.0	0.0
112165	-	0.0	0.0
112232	+	0.0	0.0
112233	-	0.0	0.0
112391	+	0.0	0.0
112392	-	0.0	0.0
113594	+	0.0	0.0
113595	-	0.0	0.0
114110	+	0.0	0.0
114111	-	0.0	0.0
114276	+	0.0	0.0
114277	-	0.0	0.0
115141	+	0.0	0.0
115142	-	0.0	0.0
115356	+	0.0	0.0
116760	+	0.0	0.0
116761	-	0.0	0.0
116909	+	0.0	0.0
116910	-	0.0	0.0
117465	+	0.0	0.0
117466	-	0.0	0.0
117733	+	0.0	0.0
117734	-	0.0	0.0
118837	+	0.0	0.0
118838	-	0.0	0.0
119817	+	0.0	0.0
119818	-	0.0	0.0
120053	+	0.0	0.0
120054	-	0.0	0.0
120964	+	0.0	0.0
120965	-	0.0	0.0
121328	+	0.0	0.0
121329	-	0.0	0.0
121839	-	0.0	0.0
121936	+	0.0	0.0
121937	-	0.0	0.0
122180	+	0.0	0.0
122181	-	0.0	0.0
122550	+	0.0	0.0
122551	-	0.0	0.0
122646	+	0.0	0.0
122647	-	0.0	0.0
123653	+	0.0	0.0
123654	-	0.0	0.0
124223	+	0.0	0.0
124224	-	0.0	0.0
124392	+	0.0	0.0
124393	-	0.0	0.0
124646	+	0.0	0.0
124647	-	0.0	0.0
124985	+	0.0	0.0
124986	-	0.0	0.0
125280	+	0.0	0.0
125281	-	0.0	0.0
125785	+	0.0	0.0
125786	-	0.0	0.0
126591	+	0.0	0.0
126592	-	0.0	0.0
128475	+	0.0	0.0
128476	-	0.0	0.0
128493	+	0.0	0.0
128494	-	0.0	0.0
128525	+	0.0	0.0
128526	-	0.0	0.0
128559	+	0.0	0.0
128560	-	0.0	0.0
128570	+	0.0	0.0
128571	-	0.0	0.0
128587	+	0.0	0.0
128588	-	0.0	0.0
128616	+	0.0	0.0
128617	-	0.0	0.0
128806	+	0.0	0.0
129049	+	0.0	0.0
129050	-	0.0	0.0
129230	+	0.0	0.0
129231	-	0.0	0.0
129406	+	0.0	0.0
129407	-	0.0	0.0
129607	+	0.0	0.0
129608	-	0.0	0.0
131563	+	91.67	0.0
131564	-	0.0	0.0
131680	+	0.0	0.0
131681	-	0.0	0.0
132843	+	0.0	0.0
132844	-	0.0	0.0
133553	+	0.0	0.0
133554	-	0.0	0.0
133587	-	0.0	0.0
136395	+	0.0	0.0
136396	-	0.0	0.0
137642	+	0.0	0.0
137643	-	0.0	0.0
137958	+	0.0	0.0
137959	-	0.0	0.0
138078	+	0.0	0.0
138079	-	0.0	0.0
138699	+	0.0	0.0
138700	-	0.0	0.0
139071	-	0.0	0.0
139786	-	0.0	0.0
140070	+	0.0	0.0
140071	-	0.0	0.0
140378	+	0.0	0.0
140379	-	0.0	0.0
140453	+	75.0	0.0
140454	-	0.0	0.0
140561	+	0.0	0.0
140562	-	0.0	0.0
140715	+	0.0	0.0
140716	-	0.0	0.0
141096	+	0.0	0.0
141097	-	0.0	0.0
141344	+	0.0	0.0
141345	-	0.0	0.0
141839	+	0.0	0.0
141840	-	0.0	0.0
142016	+	0.0	0.0
142017	-	0.0	0.0
143951	+	0.0	0.0
143952	-	0.0	0.0
147005	+	0.0	0.0
147006	-	0.0	0.0
147045	+	0.0	0.0
147046	-	0.0	0.0
147365	+	0.0	0.0
147366	-	0.0	0.0
147728	+	0.0	0.0
147729	-	0.0	0.0
147812	+	0.0	0.0
147813	-	0.0	0.0
148475	+	0.0	0.0
148476	-	0.0	0.0
148505	+	0.0	0.0
148506	-	0.0	0.0
148970	+	0.0	0.0
148971	-	0.0	0.0
149145	+	0.0	0.0
149146	-	0.0	0.0
149461	+	0.0	0.0
149462	-	0.0	0.0
149504	+	0.0	0.0
149505	-	0.0	0.0
149755	+	0.0	0.0
149756	-	0.0	0.0
149839	+	0.0	0.0
149840	-	85.71	0.0
149965	+	0.0	0.0
149966	-	0.0	0.0
150120	+	0.0	0.0
150121	-	0.0	0.0
151354	+	0.0	0.0
151597	+	0.0	0.0
151598	-	0.0	0.0
151619	+	0.0	0.0
151620	-	0.0	0.0
153627	+	0.0	0.0
153628	-	0.0	0.0
154011	+	0.0	0.0
154012	-	0.0	0.0
154065	+	0.0	0.0
154066	-	0.0	0.0
154433	+	0.0	0.0
154434	-	0.0	0.0
154774	+	0.0	0.0
154775	-	0.0	0.0
154788	+	0.0	0.0
154789	-	0.0	0.0
155771	+	0.0	0.0
155772	-	0.0	0.0
157595	+	0.0	0.0
157596	-	0.0	0.0
157800	+	0.0	0.0
157801	-	0.0	0.0
157918	-	0.0	0.0
158533	+	0.0	0.0
158534	-	0.0	0.0
158738	+	0.0	0.0
158739	-	0.0	0.0
158879	+	0.0	0.0
158880	-	0.0	0.0
159589	+	0.0	0.0
159590	-	0.0	0.0
159834	+	0.0	0.0
159835	-	0.0	0.0
161155	+	0.0	0.0
161156	-	0.0	0.0
161308	+	0.0	0.0
161309	-	0.0	0.0
162379	+	0.0	0.0
162380	-	0.0	0.0
162482	+	0.0	0.0
162483	-	0.0	0.0
162580	+	0.0	0.0
162581	-	0.0	0.0
163378	+	0.0	0.0
163379	-	0.0	0.0
163958	+	0.0	0.0
163959	-	0.0	0.0
164102	+	0.0	0.0
164103	-	0.0	0.0
164626	+	0.0	0.0
164627	-	0.0	0.0
164660	+	0.0	0.0
164661	-	0.0	0.0
164666	+	0.0	0.0
164667	-	0.0	0.0
166512	-	0.0	0.0
167387	-	8.33	0.0
167436	-	0.0	0.0
169858	+	0.0	0.0
169859	-	0.0	0.0
170002	-	0.0	0.0
170054	-	0.0	0.0
170364	-	0.0	0.0
170713	-	0.0	0.0
171322	-	0.0	0.0
171456	-	0.0	0.0
171569	-	0.0	0.0
171631	-	0.0	0.0
171915	-	0.0	0.0
173063	-	0.0	0.0
173831	+	0.0	0.0
173832	-	0.0	0.0
174617	+	0.0	0.0
175031	+	0.0	0.0
175032	-	0.0	0.0
175602	-	0.0	0.0
175837	+	0.0	0.0
175838	-	0.0	0.0
177367	+	0.0	0.0
177368	-	0.0	0.0
177761	+	0.0	0.0
177762	-	0.0	0.0
177872	+	0.0	0.0
177873	-	0.0	0.0
178709	+	0.0	0.0
179431	+	0.0	0.0
179432	-	0.0	0.0
179860	+	0.0	0.0
179861	-	0.0	0.0
180193	+	0.0	0.0
180194	-	0.0	0.0
181222	+	0.0	0.0
181223	-	0.0	0.0
181444	+	0.0	0.0
181445	-	0.0	0.0
181552	+	0.0	0.0
181553	-	0.0	0.0
181613	+	0.0	0.0
181614	-	0.0	0.0
182467	+	0.0	0.0
182468	-	0.0	0.0
182821	+	0.0	0.0
182822	-	0.0	0.0
182950	+	0.0	0.0
182951	-	0.0	0.0
183063	+	0.0	0.0
183064	-	0.0	0.0
183199	+	0.0	0.0
183200	-	0.0	0.0
183501	+	0.0	0.0
183606	+	0.0	0.0
183607	-	0.0	0.0
183697	+	0.0	0.0
183698	-	0.0	0.0
183907	+	0.0	0.0
183908	-	0.0	0.0
183964	+	0.0	0.0
183965	-	0.0	0.0
185336	+	0.0	0.0
185337	-	0.0	0.0
185614	+	0.0	0.0
185615	-	0.0	0.0
185703	+	0.0	0.0
185704	-	0.0	0.0
185970	+	0.0	0.0
185971	-	0.0	0.0
186030	+	0.0	0.0
186031	-	0.0	0.0
186093	+	0.0	0.0
186094	-	0.0	0.0
186123	+	0.0	0.0
186124	-	0.0	0.0
186285	+	0.0	0.0
186286	-	0.0	0.0
186344	+	0.0	0.0
186345	-	0.0	0.0
186871	+	0.0	0.0
186872	-	0.0	0.0
187639	+	0.0	0.0
187640	-	0.0	0.0
187668	+	0.0	0.0
187669	-	0.0	0.0
187683	+	0.0	0.0
187684	-	0.0	0.0
187962	+	0.0	0.0
187963	-	0.0	0.0
188091	+	0.0	0.0
188092	-	0.0	0.0
188406	+	0.0	0.0
188407	-	0.0	0.0
188509	+	0.0	0.0
188510	-	0.0	0.0
189100	+	0.0	0.0
189101	-	0.0	0.0
190090	+	0.0	0.0
190091	-	0.0	0.0
190267	+	0.0	0.0
190268	-	0.0	0.0
190541	+	0.0	0.0
190542	-	0.0	0.0
191031	+	0.0	0.0
191032	-	0.0	0.0
191159	+	0.0	0.0
191160	-	0.0	0.0
191216	+	0.0	0.0
191217	-	0.0	0.0
191506	+	0.0	0.0
191507	-	0.0	0.0
191746	+	0.0	0.0
191747	-	0.0	0.0
191821	+	4.17	0.0
191822	-	0.0	0.0
192622	+	0.0	0.0
193033	+	0.0	0.0
193034	-	0.0	0.0
194069	+	0.0	0.0
194070	-	0.0	0.0
194666	+	0.0	0.0
194667	-	0.0	0.0
195127	+	0.0	0.0
195128	-	0.0	0.0
196030	+	0.0	0.0
196031	-	0.0	0.0
196074	+	0.0	0.0
196075	-	0.0	0.0
197170	+	0.0	0.0
197171	-	0.0	0.0
197448	+	0.0	0.0
197449	-	0.0	0.0
199529	+	0.0	0.0
199530	-	0.0	0.0
199701	+	0.0	0.0
199702	-	0.0	0.0
199814	+	0.0	0.0
199815	-	0.0	0.0
199901	+	0.0	0.0
199902	-	0.0	0.0
199947	+	0.0	0.0
199948	-	0.0	0.0
200180	+	0.0	0.0
200181	-	0.0	0.0
200244	+	0.0	0.0
200245	-	0.0	0.0
200448	+	0.0	0.0
200449	-	0.0	0.0
200750	+	0.0	0.0
200751	-	0.0	0.0
201554	+	0.0	0.0
201555	-	0.0	0.0
201577	+	0.0	0.0
201578	-	0.0	0.0
202200	+	0.0	0.0
202201	-	0.0	0.0
203035	+	0.0	0.0
203036	-	0.0	0.0
203078	+	0.0	0.0
203079	-	0.0	0.0
203227	+	0.0	0.0
203228	-	90.91	0.0
203638	+	0.0	0.0
203639	-	0.0	0.0
204150	+	0.0	0.0
204151	-	0.0	0.0
204362	+	0.0	0.0
204363	-	0.0	0.0
205195	+	0.0	0.0
205196	-	0.0	0.0
206329	+	0.0	0.0
206330	-	0.0	0.0
206509	+	0.0	0.0
206510	-	0.0	0.0
206899	+	0.0	0.0
206900	-	0.0	0.0
207003	+	0.0	0.0
207004	-	0.0	0.0
207081	+	0.0	0.0
207082	-	0.0	0.0
207261	+	0.0	0.0
207262	-	0.0	0.0
207627	+	0.0	0.0
207628	-	0.0	0.0
207865	+	0.0	0.0
207866	-	0.0	0.0
208507	+	0.0	0.0
208508	-	0.0	0.0
208832	+	0.0	0.0
208833	-	0.0	0.0
209088	+	0.0	0.0
209089	-	0.0	0.0
210664	+	0.0	0.0
210665	-	0.0	0.0
210961	+	0.0	0.0
212460	+	0.0	0.0
212461	-	0.0	0.0
212901	-	0.0	0.0
214669	+	0.0	0.0
214670	-	0.0	0.0
214861	+	0.0	0.0
214862	-	0.0	0.0
216773	+	0.0	0.0
216774	-	0.0	0.0
219027	+	0.0	0.0
219028	-	0.0	0.0
219555	+	0.0	0.0
219556	-	0.0	0.0
220019	+	0.0	0.0
220020	-	0.0	0.0
220158	+	0.0	0.0
220159	-	0.0	0.0
220592	+	0.0	0.0
220593	-	0.0	0.0
220951	+	0.0	0.0
220952	-	0.0	0.0
221503	+	0.0	0.0
221504	-	0.0	0.0
222651	+	0.0	0.0
222652	-	0.0	0.0
223101	+	0.0	0.0
223102	-	0.0	0.0
223180	+	0.0	0.0
223181	-	0.0	0.0
223406	+	0.0	0.0
223407	-	0.0	0.0
223598	+	0.0	0.0
223599	-	0.0	0.0
224456	+	0.0	0.0
224457	-	0.0	0.0
225579	+	0.0	0.0
225580	-	0.0	0.0
225858	+	0.0	0.0
225859	-	0.0	0.0
226013	+	0.0	0.0
226014	-	0.0	0.0
226230	+	0.0	0.0
226231	-	0.0	0.0
226573	+	0.0	0.0
226574	-	0.0	0.0
226860	+	0.0	0.0
226861	-	0.0	0.0
227094	+	0.0	0.0
228520	+	0.0	0.0
228521	-	0.0	0.0
229600	+	0.0	0.0
229601	-	0.0	0.0
229713	+	0.0	0.0
229714	-	0.0	0.0
230245	+	0.0	0.0
230246	-	0.0	0.0
230273	+	0.0	0.0
230274	-	0.0	0.0
230708	+	0.0	0.0
230709	-	0.0	0.0
231274	+	0.0	0.0
231275	-	0.0	0.0
231677	+	81.82	0.0
231678	-	0.0	0.0
231914	+	0.0	0.0
231915	-	0.0	0.0
232196	+	0.0	0.0
232197	-	0.0	0.0
234197	+	0.0	0.0
234198	-	0.0	0.0
234719	+	0.0	0.0
237605	+	0.0	0.0
238163	+	0.0	0.0
238164	-	0.0	0.0
238228	+	0.0	0.0
238229	-	0.0	0.0
238268	+	0.0	0.0
238269	-	0.0	0.0
238673	+	0.0	0.0
238674	-	0.0	0.0
239119	+	0.0	0.0
239120	-	0.0	0.0
239974	+	0.0	0.0
239975	-	0.0	0.0
240192	+	0.0	0.0
240193	-	0.0	0.0
240660	+	0.0	0.0
240661	-	0.0	0.0
240716	+	0.0	0.0
240717	-	0.0	0.0
240737	+	0.0	0.0
240738	-	0.0	0.0
241147	+	0.0	0.0
241148	-	100.0	0.0
241225	+	0.0	0.0
241226	-	0.0	0.0
241818	+	0.0	0.0
241819	-	0.0	0.0
241905	+	0.0	0.0
241906	-	0.0	0.0
242077	+	0.0	0.0
242495	+	0.0	0.0
242496	-	0.0	0.0
242600	+	0.0	0.0
242601	-	0.0	0.0
242811	+	0.0	0.0
242812	-	0.0	0.0
243275	+	0.0	0.0
243276	-	0.0	0.0
243316	+	0.0	0.0
243317	-	0.0	0.0
243670	+	0.0	0.0
243671	-	0.0	0.0
243813	+	0.0	0.0
243814	-	0.0	0.0
244221	+	0.0	0.0
244222	-	0.0	0.0
244905	+	0.0	0.0
244906	-	0.0	0.0
245343	+	0.0	0.0
245344	-	0.0	0.0
246143	+	0.0	0.0
246144	-	0.0	0.0
247111	+	0.0	0.0
247112	-	0.0	0.0
247855	+	0.0	0.0
247856	-	0.0	0.0
248434	+	0.0	0.0
248435	-	0.0	0.0
249455	+	0.0	0.0
249456	-	0.0	0.0
250087	+	0.0	0.0
250088	-	0.0	0.0
251240	+	0.0	0.0
251241	-	0.0	0.0
251362	-	100.0	0.0
251886	+	0.0	0.0
251887	-	0.0	0.0
252560	+	0.0	0.0
252561	-	0.0	0.0
253428	+	0.0	0.0
253429	-	0.0	0.0
253764	+	0.0	0.0
253765	-	0.0	0.0
254471	+	0.0	0.0
254472	-	0.0	0.0
254630	+	0.0	0.0
254631	-	0.0	0.0
256603	+	0.0	0.0
256604	-	0.0	0.0
256987	+	0.0	0.0
256988	-	0.0	0.0
257413	+	0.0	0.0
257414	-	0.0	0.0
258006	+	0.0	0.0
258007	-	0.0	0.0
258213	+	0.0	0.0
258214	-	0.0	0.0
258779	+	0.0	0.0
258780	-	0.0	0.0
259638	+	0.0	0.0
259639	-	0.0	0.0
259645	+	0.0	0.0
259646	-	0.0	0.0
259763	+	0.0	0.0
259764	-	0.0	0.0
260651	-	0.0	0.0
260776	+	0.0	0.0
260777	-	0.0	0.0
260841	+	0.0	0.0
260842	-	0.0	0.0
261041	+	0.0	0.0
261042	-	0.0	0.0
261449	+	0.0	0.0
261450	-	0.0	0.0
261492	+	0.0	0.0
261493	-	0.0	0.0
261611	+	0.0	0.0
261612	-	0.0	0.0
261967	+	0.0	0.0
261968	-	0.0	0.0
262659	-	0.0	0.0
263181	+	0.0	0.0
263182	-	0.0	0.0
263307	+	0.0	0.0
263308	-	0.0	0.0
263598	+	0.0	0.0
263599	-	0.0	0.0
264252	+	0.0	0.0
264253	-	0.0	0.0
264297	+	0.0	0.0
264298	-	0.0	0.0
264946	+	0.0	0.0
264947	-	0.0	0.0
265707	+	0.0	0.0
265708	-	0.0	0.0
266167	+	0.0	0.0
266168	-	0.0	0.0
267148	+	0.0	0.0
267149	-	0.0	0.0
267465	+	0.0	0.0
267466	-	0.0	0.0
268915	+	0.0	0.0
268916	-	0.0	0.0
268992	+	0.0	0.0
268993	-	0.0	0.0
269916	+	0.0	0.0
270679	+	0.0	0.0
270680	-	0.0	0.0
272668	+	0.0	0.0
272669	-	0.0	0.0
272815	+	0.0	0.0
272816	-	0.0	0.0
273923	-	0.0	0.0
274414	+	0.0	0.0
274415	-	0.0	0.0
275043	+	0.0	0.0
275044	-	0.0	0.0
275202	+	0.0	0.0
275203	-	0.0	0.0
275380	+	0.0	0.0
275381	-	0.0	0.0
276459	+	0.0	0.0
276460	-	0.0	0.0
277593	+	100.0	0.0
277594	-	0.0	0.0
277747	+	0.0	0.0
277748	-	0.0	0.0
278866	+	0.0	0.0
278867	-	0.0	0.0
278885	+	0.0	0.0
278886	-	0.0	0.0
278891	+	0.0	0.0
278892	-	0.0	0.0
278987	+	0.0	0.0
278988	-	0.0	0.0
279343	+	0.0	0.0
279344	-	0.0	0.0
279655	+	0.0	0.0
279656	-	0.0	0.0
280521	+	0.0	0.0
280522	-	0.0	0.0
280909	+	0.0	0.0
280910	-	0.0	0.0
281036	+	0.0	0.0
281037	-	0.0	0.0
281054	+	0.0	0.0
281055	-	0.0	0.0
281664	+	0.0	0.0
281665	-	0.0	0.0
282205	+	0.0	0.0
282206	-	0.0	0.0
282462	+	0.0	0.0
282463	-	0.0	0.0
282642	+	0.0	0.0
282643	-	0.0	0.0
283770	+	0.0	0.0
283771	-	0.0	0.0
284096	+	0.0	0.0
284097	-	0.0	0.0
284652	+	0.0	0.0
284653	-	0.0	0.0
284672	+	0.0	0.0
284673	-	0.0	0.0
284777	+	0.0	0.0
284778	-	0.0	0.0
285014	+	0.0	0.0
285015	-	0.0	0.0
285185	+	0.0	0.0
285186	-	0.0	0.0
286085	-	0.0	0.0
286845	+	0.0	0.0
286846	-	0.0	0.0
287571	+	0.0	0.0
287605	+	0.0	0.0
287606	-	0.0	0.0
288078	+	0.0	0.0
288079	-	0.0	0.0
288410	+	0.0	0.0
288411	-	0.0	0.0
289129	+	0.0	0.0
289130	-	90.91	0.0
289336	+	0.0	0.0
289337	-	0.0	0.0
289342	+	0.0	0.0
289343	-	0.0	0.0
289435	+	0.0	0.0
289436	-	0.0	0.0
289476	+	0.0	0.0
289477	-	0.0	0.0
289534	+	0.0	0.0
289535	-	0.0	0.0
290128	+	0.0	0.0
290129	-	0.0	0.0
290838	-	0.0	0.0
290947	-	0.0	0.0
293716	+	0.0	0.0
293717	-	0.0	0.0
293812	+	0.0	0.0
293813	-	0.0	0.0
