SCO_ID	gene_id	gene_name	contig	start	end	strand	pfam_TF_flag	tf_related_domains	ZorroAranda_regulator_type	CastroMelchor_regulator_flag	sigma_flag	sigma_group	TF_family	source_flags	confidence	product
SCO0159	SC_RS02745		chromosome	148225	149184	+	yes	Sigma70_r2;Sigma70_r4_2		1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0160	SC_RS02750		chromosome	149508	150209	-	yes	HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0166	SC_RS02775	ppk2	chromosome	156338	157141	+	no			1	no			CastroMelchor	low	polyphosphate kinase 2
SCO0168	SC_RS02785		chromosome	158846	159304	+	no			1	no			CastroMelchor	low	cyclic nucleotide-binding domain-containing protein
SCO0169	SC_RS02790		chromosome	159339	160025	+	no			1	no			CastroMelchor	low	CBS domain-containing protein
SCO0173	SC_RS02815		chromosome	163235	163891	-	no			1	no			CastroMelchor	low	OsmC family protein
SCO0174	SC_RS02820		chromosome	164023	164931	-	yes	HTH_19;HTH_25;HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	pyridoxamine 5'-phosphate oxidase family protein
SCO0193	SC_RS02915		chromosome	183793	184797	-	yes	MerR;MerR_1		1	no		MerR	pfam;CastroMelchor	medium	MerR family transcriptional regulator
SCO0194	SC_RS02920		chromosome	184958	185566	+	yes	Sigma70_r2;Sigma70_r4;Sigma70_r4_2		1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0203	SC_RS02965		chromosome	192880	194637	-	no			1	no			CastroMelchor	medium	two-component system sensor histidine kinase
SCO0204	SC_RS02970		chromosome	194760	195461	-	yes	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	TCS	1	no		LuxR	pfam;ZorroAranda;CastroMelchor	high	response regulator
SCO0229	SC_RS03075		chromosome	219302	220150	+	no			1	no			CastroMelchor	low	oxidoreductase
SCO0230	SC_RS03080		chromosome	220150	220764	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0233	SC_RS03095		chromosome	221699	222538	-	yes	HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0236	SC_RS03110		chromosome	224404	225276	-	yes	HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0241	SC_RS03135		chromosome	229995	230669	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0250	SC_RS03175		chromosome	239858	240523	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0253	SC_RS03185		chromosome	242203	242766	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein
SCO0255	SC_RS03195		chromosome	243936	245759	-	yes	HTH_50;HTH_8		1	no		HTH_other	pfam;CastroMelchor	medium	sigma-54-dependent Fis family transcriptional regulator
SCO0262	SC_RS03230		chromosome	250805	251740	+	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0264	SC_RS03240		chromosome	252946	253398	+	yes	MarR;MarR_2		0	no		MarR	pfam	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0266	SC_RS03250		chromosome	254332	255198	-	yes	HTH_18		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0275	SC_RS03295		chromosome	266356	267513	+	yes	HTH_IclR;MarR_2		1	no		MarR	pfam;CastroMelchor	medium	ROK family transcriptional regulator
SCO0276	SC_RS03300		chromosome	267585	268838	+	no			1	no			CastroMelchor	low	Gfo/Idh/MocA family protein
SCO0282	SC_RS03330		chromosome	272898	273656	+	yes	DeoRC;HTH_DeoR		1	no		DeoR	pfam;CastroMelchor	medium	DeoR/GlpR family DNA-binding transcription regulator
SCO0287	SC_RS03355		chromosome	279691	280695	+	yes	AraC_binding_2;HTH_18;HTH_AraC		0	no		AraC	pfam	medium	AraC-like ligand-binding domain-containing protein
SCO0288	SC_RS03360		chromosome	280692	281132	-	no			1	no			CastroMelchor	low	hypothetical protein
SCO0289	SC_RS03365		chromosome	281129	282157	-	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0296	SC_RS03400		chromosome	290584	291165	+	yes	TetR_C_11;TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO0298	SC_RS03410		chromosome	292656	293519	-	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0302	SC_RS03430		chromosome	297515	298108	-	yes	TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO0307	SC_RS03450		chromosome	303084	303971	+	yes	HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0310	SC_RS03465		chromosome	306816	307460	-	yes	TetR_C_8;TetR_N	TF	0	no		TetR	pfam;ZorroAranda	high	TetR/AcrR family transcriptional regulator
SCO0316	SC_RS03495		chromosome	315254	316921	-	yes	HTH_30		0	no		HTH_other	pfam	medium	PucR family transcriptional regulator
SCO0332	SC_RS03575		chromosome	333529	334149	+	yes	TetR_C_11;TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0337	SC_RS03600		chromosome	340752	341318	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0344	SC_RS03630		chromosome	348206	349381	+	yes	FCD;GntR;HTH_23;HTH_28;HTH_29;HTH_32		0	no		GntR	pfam	medium	GntR family transcriptional regulator
SCO0345	SC_RS03635		chromosome	349419	350201	-	yes	HTH_IclR		1	no		HTH_other	pfam;CastroMelchor	medium	IclR family transcriptional regulator
SCO0357	SC_RS03695		chromosome	361759	362508	-	yes	FCD;GntR		1	no		GntR	pfam;CastroMelchor	medium	FadR/GntR family transcriptional regulator
SCO0360	SC_RS03710		chromosome	364559	365602	-	yes	LacI;Peripla_BP_1;Peripla_BP_3		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0370	SC_RS03760		chromosome	377286	380690	-	no			1	no			CastroMelchor	low	glycosylhydrolase-like jelly roll fold domain-containing protein
SCO0376	SC_RS03790		chromosome	391232	391834	+	yes	HTH_19;HTH_26;HTH_3;HTH_31		0	no		HTH_other	pfam	medium	helix-turn-helix domain-containing protein
SCO0396	SC_RS03890		chromosome	416964	418247	+	yes	HTH_47		0	no		HTH_other	pfam	medium	DUF4910 domain-containing protein
SCO0406	SC_RS03940		chromosome	426932	427606	+	no			1	no			CastroMelchor	low	HEAT repeat domain-containing protein
SCO0407	SC_RS03945		chromosome	427610	428614	+	yes	MerR;MerR_1		1	no		MerR	pfam;CastroMelchor	medium	MerR family transcriptional regulator
SCO0408	SC_RS03950		chromosome	428657	429403	+	no			1	no			CastroMelchor	low	class I SAM-dependent DNA methyltransferase
SCO0414	SC_RS03980	sigJ	chromosome	432617	433513	-	yes	Sigma70_r2;Sigma70_r4_2		1	yes	ECF	Sigma	pfam;CastroMelchor;SigmaReview	high	RNA polymerase sigma factor SigJ
SCO0418	SC_RS04000		chromosome	435489	436103	+	no			1	no			CastroMelchor	low	dihydrofolate reductase family protein
SCO0421	SC_RS04015		chromosome	438329	439000	-	yes	GerE;Response_reg;Sigma70_r4_2		1	no		LuxR	pfam;CastroMelchor	medium	response regulator transcription factor
SCO0422	SC_RS04020		chromosome	438997	440190	-	no			1	no			CastroMelchor	low	sensor histidine kinase
SCO0428	SC_RS04050		chromosome	445611	446144	+	yes	TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO0430	SC_RS04060		chromosome	447245	447868	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0433	SC_RS04075		chromosome	453370	454374	+	yes	GerE		1	no		LuxR	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0447	SC_RS04145		chromosome	465990	466436	+	yes	MarR;MarR_2		0	no		MarR	pfam	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0449	SC_RS04160	rhaS	chromosome	468153	469232	+	yes	Peripla_BP_1;Peripla_BP_4		0	no		LacI	pfam	medium	rhamnose ABC transporter substrate-binding protein
SCO0453	SC_RS04180		chromosome	472458	473747	+	no			1	no			CastroMelchor	low	ABC transporter substrate-binding protein
SCO0454	SC_RS04185		chromosome	473848	474789	+	no			1	no			CastroMelchor	low	carbohydrate ABC transporter permease
SCO0455	SC_RS04190		chromosome	474804	475631	+	no			1	no			CastroMelchor	low	carbohydrate ABC transporter permease
SCO0456	SC_RS04195		chromosome	475628	476671	+	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0466	SC_RS04245		chromosome	487618	488601	+	yes	HTH_18;HTH_AraC		1	no		HTH_other	pfam;CastroMelchor	medium	GlxA family transcriptional regulator
SCO0467	SC_RS04250		chromosome	488719	489357	+	no			1	no			CastroMelchor	low	HD domain-containing protein
SCO0469	SC_RS04260		chromosome	490451	490972	+	no			1	no			CastroMelchor	low	carboxymuconolactone decarboxylase family protein
SCO0470	SC_RS04265		chromosome	490983	491891	+	no			1	no			CastroMelchor	low	alpha/beta fold hydrolase
SCO0471	SC_RS04270		chromosome	491901	492881	+	yes	HTH_18;HTH_AraC		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix domain-containing protein
SCO0485	SC_RS04345		chromosome	504854	505465	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0487	SC_RS04355		chromosome	506842	507348	+	yes	HTH_27;HTH_IclR;MarR;MarR_2		1	no		MarR	pfam;CastroMelchor	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0488	SC_RS04360		chromosome	507451	510810	+	no			1	no			CastroMelchor	low	glycoside hydrolase family 78 protein
SCO0508	SC_RS04460		chromosome	543545	544087	+	yes	TetR_N		0	no		TetR	pfam	medium	acyl-CoA-like ligand-binding transcription factor
SCO0512	SC_RS04480		chromosome	547135	547743	-	yes	TetR_C_13;TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0520	SC_RS04515		chromosome	553277	553861	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0521	SC_RS04520		chromosome	553892	554473	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0523	SC_RS04530		chromosome	555468	555905	-	yes	AsnC_trans_reg;HTH_24;HTH_AsnC-type		1	no		AsnC	pfam;CastroMelchor	medium	Lrp/AsnC family transcriptional regulator
SCO0530	SC_RS04565		chromosome	561731	562576	-	yes	GntR		0	no		GntR	pfam	medium	GntR family transcriptional regulator
SCO0542	SC_RS04625		chromosome	575351	577984	+	no			1	no			CastroMelchor	low	SpoIIE family protein phosphatase
SCO0552	SC_RS04675		chromosome	592306	592995	-	yes	Response_reg;Trans_reg_C		0	no		LuxR	pfam	medium	response regulator transcription factor
SCO0557	SC_RS04705		chromosome	598747	599769	+	yes	MerR;MerR_1		0	no		MerR	pfam	medium	MerR family transcriptional regulator
SCO0560	SC_RS04720	katG	chromosome	601133	603355	-	no			1	no			CastroMelchor	low	catalase/peroxidase HPI
SCO0561	SC_RS04725		chromosome	603385	603840	-	no		TF	1	no		Unclassified_TF	ZorroAranda;CastroMelchor	high	Fur family transcriptional regulator
SCO0574	SC_RS04795		chromosome	616253	617086	+	yes	HTH_IclR		0	no		HTH_other	pfam	medium	IclR family transcriptional regulator
SCO0582	SC_RS04835		chromosome	624273	625034	+	yes	FCD;GntR		1	no		GntR	pfam;CastroMelchor	medium	FadR/GntR family transcriptional regulator
SCO0584	SC_RS04845		chromosome	626369	627631	-	no			1	no			CastroMelchor	low	cytochrome P450
SCO0585	SC_RS04850		chromosome	627628	628266	-	no			1	no			CastroMelchor	low	GTP-binding protein
SCO0586	SC_RS04855		chromosome	628247	628603	-	no			1	no			CastroMelchor	low	DUF742 domain-containing protein
SCO0587	SC_RS04860		chromosome	628600	629019	-	no			1	no			CastroMelchor	low	roadblock/LC7 domain-containing protein
SCO0588	SC_RS04865		chromosome	629185	630912	-	no			1	no			CastroMelchor	low	sensor histidine kinase
SCO0589	SC_RS04870		chromosome	631216	632103	-	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0596	SC_RS04905		chromosome	637261	637824	+	no			1	no			CastroMelchor	low	Dps family protein
SCO0598	SC_RS04915		chromosome	638451	638804	+	no			1	no			CastroMelchor	low	STAS domain-containing protein
SCO0599	SC_RS04920		chromosome	638801	639730	+	no		TF	1	yes	ECF	Sigma	ZorroAranda;CastroMelchor;SigmaReview	high	anti-sigma factor RsbA family regulatory protein
SCO0600	SC_RS04925		chromosome	639859	640704	+	yes	Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	sigma	1	yes	sigma70_group3	Sigma	pfam;ZorroAranda;CastroMelchor;SigmaReview	high	RNA polymerase sigma factor SigF
SCO0605	SC_RS04950		chromosome	645297	646232	+	yes	HTH_18;HTH_AraC		1	no		HTH_other	pfam;CastroMelchor	medium	GlxA family transcriptional regulator
SCO0607	SC_RS04960		chromosome	647444	647731	+	no			1	no			CastroMelchor	low	SCO0607 family lipoprotein
SCO0608	SC_RS04965	slbR	chromosome	647887	648765	+	no		TF	1	no		Unclassified_TF	ZorroAranda;CastroMelchor	high	gamma-butyrolactone-binding regulator SlbR
SCO0610	SC_RS04975		chromosome	649840	650610	+	yes	GntR		0	no		GntR	pfam	medium	GntR family transcriptional regulator
SCO0622	SC_RS05030		chromosome	662373	663014	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0623	SC_RS05035		chromosome	663109	664686	+	no			1	no			CastroMelchor	low	MDR family MFS transporter
SCO0629	SC_RS05065		chromosome	671618	672727	-	yes	LacI;Peripla_BP_1;Peripla_BP_3		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0632	SC_RS05075		chromosome	673733	674317	+	yes	Sigma70_r2;Sigma70_r4;Sigma70_r4_2		1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0633	SC_RS05080		chromosome	674317	675069	+	no			1	yes	ECF	Sigma	CastroMelchor;SigmaReview	high	anti-sigma factor
SCO0646	SC_RS05150		chromosome	688679	689263	+	yes	TetR_C_11;TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO0659	SC_RS05215		chromosome	696248	697354	+	yes	HTH_11;HTH_DeoR;Peripla_BP_1;Peripla_BP_3		1	no		LacI	pfam;CastroMelchor	medium	substrate-binding domain-containing protein
SCO0669	SC_RS05265		chromosome	709071	709688	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0670	SC_RS05270		chromosome	709685	711268	+	no			1	no			CastroMelchor	low	glycerol-3-phosphate dehydrogenase/oxidase
SCO0672	SC_RS05280		chromosome	711835	712200	+	no			1	no			CastroMelchor	low	STAS domain-containing protein
SCO0701	SC_RS05430		chromosome	742242	742787	-	no			1	no			CastroMelchor	low	hypothetical protein
SCO0702	SC_RS05435		chromosome	742816	743394	-	no			1	no			CastroMelchor	low	ATP-binding protein
SCO0703	SC_RS05440		chromosome	743575	743802	+	no			1	no			CastroMelchor	low	DUF397 domain-containing protein
SCO0706	SC_RS05455		chromosome	745911	747194	-	yes	Peripla_BP_5;Peripla_BP_6		0	no		LacI	pfam	medium	ABC transporter substrate-binding protein
SCO0711	SC_RS05480		chromosome	751917	753197	-	yes	HTH_30		0	no		HTH_other	pfam	medium	PucR family transcriptional regulator
SCO0712	SC_RS05485		chromosome	753318	756143	-	yes	GerE		1	no		LuxR	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0724	SC_RS05550		chromosome	768450	769367	+	yes	HTH_6		1	no		HTH_other	pfam;CastroMelchor	medium	MurR/RpiR family transcriptional regulator
SCO0728	SC_RS05570		chromosome	771628	772362	+	yes	TetR_N		0	no		TetR	pfam	medium	TetR family transcriptional regulator
SCO0734	SC_RS05600		chromosome	776554	777720	-	yes	MarR_2		1	no		MarR	pfam;CastroMelchor	medium	ROK family transcriptional regulator
SCO0745	SC_RS05655		chromosome	786984	787643	-	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0746	SC_RS05660		chromosome	787843	789096	+	no			1	no			CastroMelchor	low	YncE family protein
SCO0751	SC_RS05685		chromosome	791981	794467	-	no			1	no			CastroMelchor	low	SpoIIE family protein phosphatase
SCO0772	SC_RS05790		chromosome	821295	821873	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0781	SC_RS05835		chromosome	828403	828789	+	no			1	yes	ECF	Sigma	CastroMelchor;SigmaReview	high	anti-sigma factor antagonist
SCO0800	SC_RS05930		chromosome	846917	847525	-	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0803	SC_RS05945	sigJ	chromosome	850100	851074	-	yes	Sigma70_r2;Sigma70_r4_2		1	yes	ECF	Sigma	pfam;CastroMelchor;SigmaReview	high	RNA polymerase sigma factor SigJ
SCO0806	SC_RS05960		chromosome	853340	854365	-	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0808	SC_RS05970	rhaS	chromosome	854802	855884	-	yes	Peripla_BP_1;Peripla_BP_4		0	no		LacI	pfam	medium	rhamnose ABC transporter substrate-binding protein
SCO0821	SC_RS06035		chromosome	870420	871397	-	no			1	no			CastroMelchor	low	pyridoxal-phosphate dependent enzyme
SCO0822	SC_RS06040		chromosome	871406	872086	-	yes	HTH_22		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0823	SC_RS06045		chromosome	872193	872633	+	yes	GntR		1	no		GntR	pfam;CastroMelchor	medium	GntR family transcriptional regulator
SCO0824	SC_RS06050		chromosome	872630	873520	+	no			1	no			CastroMelchor	low	ATP-binding cassette domain-containing protein
SCO0825	SC_RS06055		chromosome	873517	874473	+	no			1	no			CastroMelchor	low	transporter
SCO0826	SC_RS06060		chromosome	874543	875343	+	no			1	no			CastroMelchor	low	class I SAM-dependent methyltransferase
SCO0840	SC_RS06130		chromosome	888194	888700	-	yes	MarR;MarR_2		0	no		MarR	pfam	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0843	SC_RS06145		chromosome	892238	892672	-	no			1	no			CastroMelchor	low	hypothetical protein
SCO0844	SC_RS06150		chromosome	892665	893006	-	no			1	no			CastroMelchor	low	DUF3140 domain-containing protein
SCO0845	SC_RS06155		chromosome	893013	893240	-	no			1	no			CastroMelchor	low	hypervirulence associated TUDOR domain-containing protein
SCO0857	SC_RS06215		chromosome	904019	904747	+	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0864	SC_RS06250		chromosome	911343	911939	-	yes	Sigma70_r2;Sigma70_r4;Sigma70_r4_2		1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0865	SC_RS06255		chromosome	912092	912862	-	no			1	no			CastroMelchor	low	hypothetical protein
SCO0866	SC_RS06260		chromosome	912931	913572	-	yes	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2		1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0868	SC_RS06270		chromosome	914827	915270	-	no			1	no			CastroMelchor	low	ATP-binding protein
SCO0869	SC_RS06275		chromosome	915341	915715	-	no			1	no			CastroMelchor	low	STAS domain-containing protein
SCO0870	SC_RS06280		chromosome	916336	916785	-	yes	Response_reg		1	no		TCS_response_regulator	pfam;CastroMelchor	medium	response regulator
SCO0871	SC_RS06285		chromosome	916782	918377	-	no			1	no			CastroMelchor	low	sensor histidine kinase
SCO0872	SC_RS06290		chromosome	918438	919640	-	yes	Response_reg		1	no		TCS_response_regulator	pfam;CastroMelchor	medium	PP2C family protein-serine/threonine phosphatase
SCO0875	SC_RS06300		chromosome	921420	921755	-	yes	HTH_20;HTH_5;MarR_2		0	no		MarR	pfam	medium	ArsR/SmtB family transcription factor
SCO0877	SC_RS06310		chromosome	922247	924913	+	yes	GerE	global	1	no		LuxR	pfam;ZorroAranda;CastroMelchor	high	helix-turn-helix transcriptional regulator
SCO0886	SC_RS06365		chromosome	931757	932791	-	yes	LacI;Peripla_BP_3		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0887	SC_RS06370		chromosome	932864	933568	-	yes	TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO0889	SC_RS06380		chromosome	934332	935237	-	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0891	SC_RS06395		chromosome	936431	937270	+	yes	HTH_3;HTH_31		1	no		HTH_other	pfam;CastroMelchor	medium	helix-turn-helix transcriptional regulator
SCO0895	SC_RS06415		chromosome	941071	942090	-	yes	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4		1	yes	sigma70_group2	Sigma	pfam;CastroMelchor;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0898	SC_RS06435		chromosome	943851	945833	-	yes	BTAD;Trans_reg_C		1	no		SARP	pfam;CastroMelchor	medium	AfsR/SARP family transcriptional regulator
SCO0925	SC_RS06575		chromosome	971392	972276	+	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0927	SC_RS06585		chromosome	973388	974224	+	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0940	SC_RS06650		chromosome	986247	986720	+	yes	MarR_2		0	no		MarR	pfam	medium	MarR family winged helix-turn-helix transcriptional regulator
SCO0942	SC_RS06660		chromosome	988130	988684	+	yes	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2		0	yes	sigma70_unclassified	Sigma	pfam;SigmaReview	high	sigma-70 family RNA polymerase sigma factor
SCO0946	SC_RS06680		chromosome	991153	993243	-	no			1	no			CastroMelchor	low	SpoIIE family protein phosphatase
SCO0953	SC_RS06715		chromosome	1002624	1003673	+	yes	LacI;Peripla_BP_1;Peripla_BP_3		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO0971	SC_RS06810		chromosome	1023053	1023964	+	yes	HTH_1;LysR_substrate		1	no		LysR	pfam;CastroMelchor	medium	LysR family transcriptional regulator
SCO0981	SC_RS06865		chromosome	1031976	1033445	-	yes	HTH_19;HTH_3;HTH_31		0	no		HTH_other	pfam	medium	short-chain fatty acyl-CoA regulator family protein
SCO1003	SC_RS06975		chromosome	1058377	1058961	+	yes	TetR_C_11;TetR_N		0	no		TetR	pfam	medium	TetR/AcrR family transcriptional regulator
SCO1011	SC_RS07015		chromosome	1066337	1068241	-	yes	HTH_30		0	no		HTH_other	pfam	medium	helix-turn-helix domain-containing protein
SCO1026	SC_RS07085		chromosome	1084395	1085219	+	yes	DeoRC;HTH_11;HTH_DeoR		1	no		DeoR	pfam;CastroMelchor	medium	DeoR/GlpR family DNA-binding transcription regulator
SCO1034	SC_RS07125		chromosome	1092334	1092897	+	yes	TetR_C_13;TetR_N		1	no		TetR	pfam;CastroMelchor	medium	TetR/AcrR family transcriptional regulator
SCO1035	SC_RS07130		chromosome	1092908	1093495	+	no			1	no			CastroMelchor	low	DUF4865 family protein
SCO1036	SC_RS07135		chromosome	1093492	1094400	+	no			1	no			CastroMelchor	low	phosphotriesterase family protein
SCO1043	SC_RS07170		chromosome	1099030	1099809	+	yes	DeoRC;HTH_DeoR		0	no		DeoR	pfam	medium	DeoR/GlpR family DNA-binding transcription regulator
SCO1052	SC_RS07215		chromosome	1108110	1108778	-	yes	HTH_30		0	no		HTH_other	pfam	medium	helix-turn-helix domain-containing protein
SCO1066	SC_RS07285		chromosome	1126535	1127557	+	yes	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4		1	no		LacI	pfam;CastroMelchor	medium	LacI family DNA-binding transcriptional regulator
SCO1069	SC_RS07300		chromosome	1129716	1130108	-	yes	HTH_24;HTH_27;HTH_IclR;MarR;MarR_2		1	no		MarR	pfam;CastroMelchor	medium	MarR family winged helix-turn-helix transcriptional regulator
