locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_coordinated	coordination_primary	nearest_methyl_dist	sites_within_2kb	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1	padj_T2vsT1
SC_RS02745		SCO0159	sigma-70 family RNA polymerase sigma factor	Sigma factor	148225	149184	+	148225	arm	False	non_coordinated	1452	2	2	2	0	-0.0185477794247903	0.9694050357901944
SC_RS02750		SCO0160	helix-turn-helix domain-containing protein	HTH (other)	149508	150209	-	150209	arm	False	non_coordinated	369	2	1	2	1	2.6641822445754744	1.524816462612765e-07
SC_RS00815		SCP1.158	helix-turn-helix domain-containing protein	HTH (other)	152373	153824	+	152373	arm	False	non_coordinated	1018	2	0	1	1		
SC_RS00830		SCP1.161c	sigma-70 family RNA polymerase sigma factor	Sigma factor	156182	156988	-	156988	arm	False	non_coordinated	2651	0	0	0	0		
SC_RS00975		SCP1.186	helix-turn-helix domain-containing protein	HTH (other)	178957	179805	+	178957	arm	False	non_coordinated	247	2	1	2	1		
SC_RS02915		SCO0193	MerR family transcriptional regulator	MerR	183793	184797	-	184797	arm	False	non_coordinated	1665	1	0	1	1	-1.019931959466732	1.013538305070666e-08
SC_RS02920		SCO0194	sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+	184958	arm	False	non_coordinated	1504	1	0	1	1	-1.39711883038648	3.754533435680243e-13
SC_RS02965		SCO0203	two-component system sensor histidine kinase	Sensor kinase	192880	194637	-	194637	arm	False	non_coordinated	1309	1	0	1	1	2.900028857681269	1.762084019276586e-32
SC_RS02970		SCO0204	response regulator	Response regulator	194760	195461	-	195461	arm	False	non_coordinated	485	1	0	1	1	6.294033238583641	1.7557265487615575e-81
SC_RS03000		SCO0211	sensor histidine kinase	Sensor kinase	201374	202090	+	201374	arm	False	non_coordinated	842	2	2	1	-1	4.157236776581737	4.1558778452226783e-16
SC_RS01130		SCP1.217	helix-turn-helix domain-containing protein	HTH (other)	217465	217674	+	217465	arm	False	non_coordinated	4565	0	0	0	0		
SC_RS03080		SCO0230	TetR/AcrR family transcriptional regulator	TetR	220150	220764	+	220150	arm	False	non_coordinated	2284	0	0	0	0	0.4592858867424682	0.0379675301802991
SC_RS03095		SCO0233	helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-	222538	arm	False	non_coordinated	104	3	2	3	1	0.3510988112785352	0.2801980204941443
SC_RS03110		SCO0236	helix-turn-helix transcriptional regulator	HTH (other)	224404	225276	-	225276	arm	False	non_coordinated	1190	3	1	3	2	1.0526452066867726	0.0043364174671094
SC_RS03135		SCO0241	TetR/AcrR family transcriptional regulator	TetR	229995	230669	+	229995	arm	False	non_coordinated	299	3	1	2	1	0.2967320614247226	0.4665040492317455
SC_RS01210		SCP1.230	helix-turn-helix transcriptional regulator	HTH (other)	232923	233864	+	232923	arm	False	non_coordinated	463	5	0	5	5		
SC_RS03175		SCO0250	TetR/AcrR family transcriptional regulator	TetR	239858	240523	+	239858	arm	False	non_coordinated	404	3	2	2	0	-1.1172802415794452	2.1106056647081784e-06
SC_RS03185		SCO0253	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	242203	242766	+	242203	arm	False	non_coordinated	125	4	3	3	0	-0.2353378035035249	0.3956676277583421
SC_RS01265		SCP1.238	ArsR/SmtB family transcription factor	ArsR	242698	243033	+	242698	arm	False	non_coordinated	620	2	2	2	0		
SC_RS03195		SCO0255	sigma-54-dependent Fis family transcriptional regulator	Other regulatory	243936	245759	-	245759	arm	False	non_coordinated	388	2	2	1	-1	-0.6120267926735176	0.1478513088566815
SC_RS01285		SCP1.242c	ScbR family autoregulator-binding transcription factor	Other regulatory	246362	247006	-	247006	arm	False	non_coordinated	859	1	1	1	0		
SC_RS01305		SCP1.246	TetR/AcrR family transcriptional regulator	TetR	250406	251017	+	250406	arm	False	non_coordinated	17	4	3	3	0		
SC_RS03230		SCO0262	LysR family transcriptional regulator	LysR	250805	251740	+	250805	arm	False	non_coordinated	204	4	3	3	0	0.4008340214024673	0.1214819100666356
SC_RS03240		SCO0264	MarR family winged helix-turn-helix transcriptional regulator	MarR	252946	253398	+	252946	arm	False	non_coordinated	1584	3	2	3	1	0.927899550045083	0.0008637550758976735
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	-	255198	arm	True	concordant_derepression	293	2	1	1	0	0.1814637166824383	0.6277262454589735
SC_RS03295		SCO0275	ROK family transcriptional regulator	ROK	266356	267513	+	266356	arm	False	non_coordinated	3698	0	0	0	0	-0.5011124574904358	0.0885076620389719
SC_RS03330		SCO0282	DeoR/GlpR family DNA-binding transcription regulator	DeoR	272898	273656	+	272898	arm	False	non_coordinated	1024	1	0	1	1	0.2007804528858386	0.4837600608577712
SC_RS03355		SCO0287	AraC-like ligand-binding domain-containing protein	AraC	279691	280695	+	279691	arm	False	non_coordinated	867	2	1	1	0	0.6109724139132588	0.0409072890016528
SC_RS03365		SCO0289	LacI family DNA-binding transcriptional regulator	LacI	281129	282157	-	282157	arm	False	non_coordinated	189	3	0	2	2	-1.23324135449965	1.0172133612074509e-08
SC_RS03400		SCO0296	TetR/AcrR family transcriptional regulator	TetR	290584	291165	+	290584	arm	False	non_coordinated	1454	2	1	2	1	-0.6869007709146461	0.0117351533247998
SC_RS03410		SCO0298	LysR family transcriptional regulator	LysR	292656	293519	-	293519	arm	False	non_coordinated	917	2	1	2	1	2.162880179285506	3.5223867757775423e-22
SC_RS01545		SCP1.293c	helix-turn-helix domain-containing protein	HTH (other)	295502	296374	-	296374	arm	False	non_coordinated	1812	2	1	2	1		
SC_RS03430		SCO0302	TetR/AcrR family transcriptional regulator	TetR	297515	298108	-	298108	arm	False	non_coordinated	78	3	2	2	0	0.4745124893283499	0.0660796899852518
SC_RS03450		SCO0307	helix-turn-helix domain-containing protein	HTH (other)	303084	303971	+	303084	arm	False	non_coordinated	1583	1	1	1	0	1.023956203688079	0.0004727882984760293
SC_RS03465		SCO0310	TetR/AcrR family transcriptional regulator	TetR	306816	307460	-	307460	arm	False	non_coordinated	636	2	1	2	1	0.1690309381069101	0.5500130759361703
SC_RS03495		SCO0316	PucR family transcriptional regulator	Other regulatory	315254	316921	-	316921	arm	False	non_coordinated	699	6	1	3	2	1.0536515073234405	0.0008097756497943812
SC_RS01660		SCP1.312	TetR/AcrR family transcriptional regulator	TetR	315294	315917	+	315294	arm	False	non_coordinated	341	5	0	3	3		
SC_RS01695		SCP1.318	AraC family transcriptional regulator	AraC	321944	322858	+	321944	arm	False	non_coordinated	57	11	8	6	-2		
SC_RS03575		SCO0332	TetR/AcrR family transcriptional regulator	TetR	333529	334149	+	333529	arm	False	non_coordinated	522	3	1	2	1	0.1255201918906925	0.7032222041778403
SC_RS03600		SCO0337	TetR/AcrR family transcriptional regulator	TetR	340752	341318	+	340752	arm	False	non_coordinated	268	1	0	1	1	-0.0282199003568821	0.9299912164361416
SC_RS03630		SCO0344	GntR family transcriptional regulator	GntR	348206	349381	+	348206	arm	False	non_coordinated	351	2	1	1	0	-0.2679594837506325	0.3607599964374671
SC_RS03635		SCO0345	IclR family transcriptional regulator	IclR	349419	350201	-	350201	arm	False	non_coordinated	465	1	0	1	1	0.3444890370297744	0.2966883505189798
SC_RS03695		SCO0357	FadR/GntR family transcriptional regulator	GntR	361759	362508	-	362508	arm	False	non_coordinated	1447	3	1	1	0	-0.4994119004344529	0.0224046932833606
SC_RS03710		SCO0360	LacI family DNA-binding transcriptional regulator	LacI	364559	365602	-	365602	arm	False	non_coordinated	133	4	1	4	3	0.1447372583235094	0.4780479119630966
SC_RS03790		SCO0376	helix-turn-helix domain-containing protein	HTH (other)	391232	391834	+	391232	arm	False	non_coordinated	24	4	0	3	3	-0.4006589053837667	0.1430507720535424
SC_RS03945		SCO0407	MerR family transcriptional regulator	MerR	427610	428614	+	427610	arm	False	non_coordinated	366	4	2	4	2	1.3036844920565769	5.414122857830974e-05
SC_RS03980	sigJ	SCO0414	RNA polymerase sigma factor SigJ	Sigma factor	432617	433513	-	433513	arm	False	non_coordinated	270	2	0	1	1	0.2039989649477898	0.4099772207083643
SC_RS04015		SCO0421	response regulator transcription factor	Response regulator	438329	439000	-	439000	arm	False	non_coordinated	1613	1	1	0	-1	1.1598787194855855	0.012560760046958
SC_RS04020		SCO0422	sensor histidine kinase	Sensor kinase	438997	440190	-	440190	arm	False	non_coordinated	423	3	3	1	-2	1.2908158424842628	0.0044042138989236
SC_RS04050		SCO0428	TetR/AcrR family transcriptional regulator	TetR	445611	446144	+	445611	arm	False	non_coordinated	1431	3	1	3	2	-0.8348028269753959	0.0016543498261115
SC_RS04060		SCO0430	TetR/AcrR family transcriptional regulator	TetR	447245	447868	+	447245	arm	False	non_coordinated	61	3	1	3	2	-1.2501528217472195	2.563869354094103e-10
SC_RS04075		SCO0433	helix-turn-helix domain-containing protein	HTH (other)	453370	454374	+	453370	arm	False	non_coordinated	2199	0	0	0	0	-0.9067181621287422	0.0011980649890565
SC_RS04145		SCO0447	MarR family winged helix-turn-helix transcriptional regulator	MarR	465990	466436	+	465990	arm	False	non_coordinated	480	4	3	3	0	-0.9442129281634142	0.011403959338767
SC_RS04195		SCO0456	LacI family DNA-binding transcriptional regulator	LacI	475628	476671	+	475628	arm	False	non_coordinated	975	2	2	1	-1	0.4360018885227191	0.3613371578042998
SC_RS04245		SCO0466	GlxA family transcriptional regulator	Other regulatory	487618	488601	+	487618	arm	False	non_coordinated	878	2	2	1	-1	0.656849840565568	0.0715730555326587
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	+	491901	arm	True	concordant_derepression	239	5	3	4	1	1.1733093432665949	0.0002421652039553491
SC_RS04345		SCO0485	TetR/AcrR family transcriptional regulator	TetR	504854	505465	+	504854	arm	False	non_coordinated	856	3	1	3	2	-1.166480643873066	4.040076177068536e-06
SC_RS04355		SCO0487	MarR family winged helix-turn-helix transcriptional regulator	MarR	506842	507348	+	506842	arm	False	non_coordinated	737	3	0	3	3	0.2509990949013399	0.4089730351843791
SC_RS04460		SCO0508	acyl-CoA-like ligand-binding transcription factor	Other regulatory	543545	544087	+	543545	arm	False	non_coordinated	272	3	2	2	0	-2.455410432554957	3.6894128924960835e-10
SC_RS04480		SCO0512	TetR/AcrR family transcriptional regulator	TetR	547135	547743	-	547743	arm	False	non_coordinated	639	1	1	0	-1	0.8710166541982379	0.00015807286431847507
SC_RS04515		SCO0520	TetR/AcrR family transcriptional regulator	TetR	553277	553861	+	553277	arm	False	non_coordinated	1047	1	0	1	1	0.7449652467363138	0.0071942866494024
SC_RS04520		SCO0521	TetR/AcrR family transcriptional regulator	TetR	553892	554473	+	553892	arm	False	non_coordinated	432	1	0	1	1	-0.7267519064625878	0.0001164832887584576
SC_RS04530		SCO0523	Lrp/AsnC family transcriptional regulator	Lrp	555468	555905	-	555905	arm	False	non_coordinated	1581	1	0	1	1	0.1443584186641425	0.6679893321800505
SC_RS04565		SCO0530	GntR family transcriptional regulator	GntR	561731	562576	-	562576	arm	False	non_coordinated	397	3	1	1	0	-0.6728136108943864	0.0048290830865302
SC_RS04670		SCO0551	sensor histidine kinase	Sensor kinase	590981	592309	-	592309	arm	False	non_coordinated	231	4	4	3	-1	0.2372264926792688	0.3403562315749091
SC_RS04675		SCO0552	response regulator transcription factor	Response regulator	592306	592995	-	592995	arm	False	non_coordinated	455	6	5	5	0	0.3429021036098957	0.3917336247207572
SC_RS04705		SCO0557	MerR family transcriptional regulator	MerR	598747	599769	+	598747	arm	False	non_coordinated	571	3	2	2	0	-0.3724140861521582	0.0628112806683544
SC_RS04725		SCO0561	Fur family transcriptional regulator	Other regulatory	603385	603840	-	603840	arm	False	non_coordinated	3727	0	0	0	0	4.716805818310592	4.0993422951839e-69
SC_RS04795		SCO0574	IclR family transcriptional regulator	IclR	616253	617086	+	616253	arm	False	non_coordinated	1424	2	0	2	2	-1.010102468201226	0.00041182248510708927
SC_RS04835		SCO0582	FadR/GntR family transcriptional regulator	GntR	624273	625034	+	624273	arm	False	non_coordinated	721	4	0	4	4	-0.9180429434867632	1.3337254361535291e-06
SC_RS04865		SCO0588	sensor histidine kinase	Sensor kinase	629185	630912	-	630912	arm	False	non_coordinated	105	3	1	2	1	6.976372241992684	1.0360769982654961e-199
SC_RS04870		SCO0589	LysR family transcriptional regulator	LysR	631216	632103	-	632103	arm	False	non_coordinated	1086	1	1	1	0	1.054127544087963	0.000713248380176293
SC_RS04920		SCO0599	anti-sigma factor RsbA family regulatory protein	Sigma factor	638801	639730	+	638801	arm	False	non_coordinated	126	3	1	2	1	0.6196643888560709	0.0028802516159347
SC_RS04925		SCO0600	RNA polymerase sigma factor SigF	Sigma factor	639859	640704	+	639859	arm	False	non_coordinated	932	2	1	1	0	-1.2591318297701912	6.036519699991251e-07
SC_RS04950		SCO0605	GlxA family transcriptional regulator	Other regulatory	645297	646232	+	645297	arm	False	non_coordinated	278	4	3	3	0	-0.0460695847428328	0.9215889786083372
SC_RS04965	slbR	SCO0608	gamma-butyrolactone-binding regulator SlbR	Other regulatory	647887	648765	+	647887	arm	False	non_coordinated	347	16	9	15	6	1.4874595631570964	3.0245989862219055e-08
SC_RS04975		SCO0610	GntR family transcriptional regulator	GntR	649840	650610	+	649840	arm	False	non_coordinated	14	15	8	13	5	-1.79525130114843	1.88335959238973e-09
SC_RS05020		SCO0620	metal-sensitive transcriptional regulator	Other regulatory	661329	661607	-	661607	arm	False	non_coordinated	342	5	2	4	2	0.2702113151748363	0.3409054928434094
SC_RS05030		SCO0622	TetR/AcrR family transcriptional regulator	TetR	662373	663014	+	662373	arm	False	non_coordinated	779	4	2	4	2	-1.3668292078247744	1.8914007775150482e-10
SC_RS05065		SCO0629	LacI family DNA-binding transcriptional regulator	LacI	671618	672727	-	672727	arm	False	non_coordinated	954	2	1	1	0	-1.2179066283951665	0.0005633788276159562
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	+	673733	arm	True	discordant_gain_up	52	1	0	0	0	-0.1773167519469067	0.725454463466912
SC_RS05080		SCO0633	anti-sigma factor	Sigma factor	674317	675069	+	674317	arm	False	non_coordinated	636	1	0	0	0		
SC_RS05120		SCO0640	BlaI/MecI/CopY family transcriptional regulator	Other regulatory	681435	681863	-	681863	arm	False	non_coordinated	2131	0	0	0	0	-0.6111934284105836	0.004630901350612
SC_RS05150		SCO0646	TetR/AcrR family transcriptional regulator	TetR	688679	689263	+	688679	arm	False	non_coordinated	1516	1	0	1	1	-0.5435455538211246	0.1438649670750521
SC_RS05265		SCO0669	TetR/AcrR family transcriptional regulator	TetR	709071	709688	+	709071	arm	False	non_coordinated	5345	0	0	0	0	-1.1509878752879124	1.452562300981068e-05
SC_RS05410			GlxA family transcriptional regulator	Other regulatory	738527	739524	+	738527	arm	False	non_coordinated	1527	2	2	2	0	1.029551486704538	6.288837580965385e-05
SC_RS05445			helix-turn-helix domain-containing protein	HTH (other)	743929	744847	+	743929	arm	False	non_coordinated	880	1	1	1	0	1.2538408848742586	1.3427930689219516e-08
SC_RS05480		SCO0711	PucR family transcriptional regulator	Other regulatory	751917	753197	-	753197	arm	False	non_coordinated	392	6	2	3	1	-0.9458116142359604	0.1332509670166643
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	-	756143	arm	True	discordant_gain_up	114	4	0	3	3	-0.5006499103865119	0.2594732812614108
SC_RS05490	bdeA	SCO0713	bis(hydroxyethyl) terephthalate hydrolase	HTH (other)	756314	757246	-	757246	arm	False	non_coordinated	989	3	0	2	2	-1.5374159449617275	0.0080095340631558
SC_RS05550		SCO0724	MurR/RpiR family transcriptional regulator	Other regulatory	768450	769367	+	768450	arm	False	non_coordinated	741	6	4	4	0	0.4305057981057131	0.0278471676910499
SC_RS05570		SCO0728	TetR family transcriptional regulator	TetR	771628	772362	+	771628	arm	False	non_coordinated	396	4	4	4	0	-0.1737691216983287	0.5875539872963407
SC_RS05600		SCO0734	ROK family transcriptional regulator	ROK	776554	777720	-	777720	arm	False	non_coordinated	323	4	2	3	1	-0.1727301002487664	0.6246692869262561
SC_RS05655		SCO0745	TetR/AcrR family transcriptional regulator	TetR	786984	787643	-	787643	arm	False	non_coordinated	1805	1	1	1	0	1.403719300924047	0.0012517959918233
SC_RS05790		SCO0772	TetR/AcrR family transcriptional regulator	TetR	821295	821873	+	821295	arm	False	non_coordinated	361	2	1	1	0	0.1109692802517742	0.6584571538134992
SC_RS05835		SCO0781	anti-sigma factor antagonist	Sigma factor	828403	828789	+	828403	arm	False	non_coordinated	610	4	4	4	0	2.2586565372129304	5.442514783527711e-14
SC_RS05845	otr(A)	SCO0783	tetracycline resistance ribosomal protection protein Otr(A)	TetR	829910	831817	+	829910	arm	False	non_coordinated	501	2	0	1	1	-0.6405149842391521	0.0157319364859276
SC_RS05900		SCO0794	ROK family transcriptional regulator	ROK	840399	841688	-	841688	arm	False	non_coordinated	1216	1	1	1	0	-0.0560957848551432	0.7966039526095613
SC_RS05930		SCO0800	TetR/AcrR family transcriptional regulator	TetR	846917	847525	-	847525	arm	False	non_coordinated	1603	2	0	1	1	0.1570544064447543	0.5639366355211861
SC_RS05945	sigJ	SCO0803	RNA polymerase sigma factor SigJ	Sigma factor	850100	851074	-	851074	arm	False	non_coordinated	47	4	3	2	-1	0.8584381514538014	5.183747671411858e-06
SC_RS05960		SCO0806	LacI family DNA-binding transcriptional regulator	LacI	853340	854365	-	854365	arm	False	non_coordinated	1215	2	0	2	2	0.0545551845118072	0.8792574431235786
SC_RS06040		SCO0822	helix-turn-helix transcriptional regulator	HTH (other)	871406	872086	-	872086	arm	False	non_coordinated	140	2	0	1	1	-0.119034485166896	0.706206748988947
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	872633	+	872193	arm	True	concordant_repression	247	2	0	1	1	-1.3298006901673476	1.0047448089785034e-07
SC_RS06130		SCO0840	MarR family winged helix-turn-helix transcriptional regulator	MarR	888194	888700	-	888700	arm	False	non_coordinated	1924	1	1	0	-1	0.6238096514337876	0.04219073931408
SC_RS06215		SCO0857	TetR/AcrR family transcriptional regulator	TetR	904019	904747	+	904019	arm	False	non_coordinated	1911	1	1	0	-1	-0.0049563235360248	0.9812707229533894
SC_RS06250		SCO0864	sigma-70 family RNA polymerase sigma factor	Sigma factor	911343	911939	-	911939	arm	False	non_coordinated	428	6	3	6	3	3.659845684433634	3.7873335463423275e-08
SC_RS06260		SCO0866	sigma-70 family RNA polymerase sigma factor	Sigma factor	912931	913572	-	913572	arm	False	non_coordinated	415	5	3	5	2	5.905664010847805	4.888777569425737e-39
SC_RS06280		SCO0870	response regulator	Response regulator	916336	916785	-	916785	arm	False	non_coordinated	362	5	1	5	4	-1.2349348467967949	2.5551275555278416e-07
SC_RS06285		SCO0871	sensor histidine kinase	Sensor kinase	916782	918377	-	918377	arm	False	non_coordinated	188	4	1	4	3	-1.1384621811153084	6.518715588222653e-14
SC_RS06300		SCO0875	ArsR/SmtB family transcription factor	ArsR	921420	921755	-	921755	arm	False	non_coordinated	322	2	1	2	1	1.4434302376472552	0.0003711674350750573
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+	922247	arm	True	discordant_gain_up	170	2	1	2	1	1.688781934919955	3.741050281151121e-24
SC_RS06345		SCO0882	tetratricopeptide repeat protein	TetR	928670	929017	+	928670	arm	False	non_coordinated	874	3	1	2	1	1.744038012178177	0.00013874902939791582
SC_RS06365		SCO0886	LacI family DNA-binding transcriptional regulator	LacI	931757	932791	-	932791	arm	False	non_coordinated	183	4	3	4	1	3.0313495229464373	1.1963931123534e-40
SC_RS06370		SCO0887	TetR/AcrR family transcriptional regulator	TetR	932864	933568	-	933568	arm	False	non_coordinated	460	5	4	4	0	1.8513213168351164	1.1048074179540487e-11
SC_RS06380		SCO0889	LysR family transcriptional regulator	LysR	934332	935237	-	935237	arm	False	non_coordinated	296	4	2	3	1	0.2939809405267505	0.2473751752662648
SC_RS06395		SCO0891	helix-turn-helix transcriptional regulator	HTH (other)	936431	937270	+	936431	arm	False	non_coordinated	130	2	1	1	0	0.7719533111121496	0.0152143398553621
SC_RS06415		SCO0895	sigma-70 family RNA polymerase sigma factor	Sigma factor	941071	942090	-	942090	arm	False	non_coordinated	33	5	3	3	0	0.4854039204411557	0.38177022096382
SC_RS06430		SCO0897	PPC domain-containing DNA-binding protein	Other regulatory	942974	943408	-	943408	arm	False	non_coordinated	172	4	3	2	-1	0.8034364456318976	0.0366907775739251
SC_RS06435		SCO0898	AfsR/SARP family transcriptional regulator	SARP	943851	945833	-	945833	arm	False	non_coordinated	186	6	3	4	1	0.007604094758719	0.981417050450604
SC_RS06460			ArsR family transcriptional regulator	ArsR	950435	950575	-	950575	arm	False	non_coordinated	821	4	1	2	1		
SC_RS06465		SCO0903	ArsR/SmtB family transcription factor	ArsR	950560	950811	+	950560	arm	False	non_coordinated	836	5	2	3	1		
SC_RS06575		SCO0925	LysR family transcriptional regulator	LysR	971392	972276	+	971392	arm	False	non_coordinated	933	1	0	1	1	0.105748774574396	0.7626069923429968
SC_RS06585		SCO0927	LysR family transcriptional regulator	LysR	973388	974224	+	973388	arm	False	non_coordinated	1063	1	0	1	1	1.031289671131722	5.316653092772639e-07
SC_RS06650		SCO0940	MarR family winged helix-turn-helix transcriptional regulator	MarR	986247	986720	+	986247	arm	False	non_coordinated	2116	0	0	0	0	0.1192077013375205	0.804899169427557
SC_RS06660		SCO0942	sigma-70 family RNA polymerase sigma factor	Sigma factor	988130	988684	+	988130	arm	False	non_coordinated	2707	0	0	0	0	1.5069504137270713	0.0079335853136339
SC_RS06715		SCO0953	LacI family DNA-binding transcriptional regulator	LacI	1002624	1003673	+	1002624	arm	False	non_coordinated	990	4	2	3	1	-1.8426515587496184	1.3028575487252206e-08
SC_RS06810		SCO0971	LysR family transcriptional regulator	LysR	1023053	1023964	+	1023053	arm	False	non_coordinated	2602	0	0	0	0	-0.4677664194222722	0.0125088838350421
SC_RS06865		SCO0981	short-chain fatty acyl-CoA regulator family protein	Other regulatory	1031976	1033445	-	1033445	arm	False	non_coordinated	738	3	2	2	0	-0.0997928656008628	0.7740534950965939
SC_RS06885	metE	SCO0985	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	TetR	1038243	1040561	+	1038243	arm	False	non_coordinated	1332	1	0	0	0	3.3232589075481034	8.963961654078998e-98
SC_RS06975		SCO1003	TetR/AcrR family transcriptional regulator	TetR	1058377	1058961	+	1058377	arm	False	non_coordinated	2655	0	0	0	0	1.075371051480272	1.5623382578220711e-06
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+	1063185	arm	True	concordant_repression	183	3	2	3	1	0.1164734698130901	0.6338600448666032
SC_RS07005			helix-turn-helix domain-containing protein	HTH (other)	1063757	1064212	-	1064212	arm	False	non_coordinated	342	3	2	3	1	-1.263941082403715	0.0008749530598211414
SC_RS07015		SCO1011	helix-turn-helix domain-containing protein	HTH (other)	1066337	1068241	-	1068241	arm	False	non_coordinated	1903	1	0	1	1	0.9149011866957036	0.0005108289134025761
SC_RS07085		SCO1026	DeoR/GlpR family DNA-binding transcription regulator	DeoR	1084395	1085219	+	1084395	arm	False	non_coordinated	1046	2	1	1	0	-1.5092560605737335	6.116323082755171e-18
