gene_id	old_locus_tag	gene_name	gene_biotype	contig	start	end	strand	product	protein_id	ontology_term	baseMean	log2FoldChange_2_vs_1	lfcSE_2_vs_1	pvalue_2_vs_1	padj_2_vs_1	log2FoldChange_3_vs_1	lfcSE_3_vs_1	pvalue_3_vs_1	padj_3_vs_1	log2FoldChange_3_vs_2	lfcSE_3_vs_2	pvalue_3_vs_2	padj_3_vs_2	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4	bgc_name	bgc_role	is_regulator	regulator_name	regulator_type	is_SARP	SARP_subtype
SC_RS02115	NA	NA	pseudogene	NC_003888.3	13517	13621	-	RipA family octameric membrane protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02120	SCO0012	NA	protein_coding	NC_003888.3	14044	14343	-	hypothetical protein	WP_237530287.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02125	NA	NA	pseudogene	NC_003888.3	14739	15360	-	DUF6879 family protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02130	SCO0014	NA	protein_coding	NC_003888.3	15317	15595	-	hypothetical protein	WP_011026777.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02135	SCO0015	nhaA	protein_coding	NC_003888.3	16070	17302	-	Na+/H+ antiporter NhaA	WP_011026778.1	GO:0006814,GO:0006885,GO:0015385,GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02140	SCO0016	NA	protein_coding	NC_003888.3	17715	17918	+	hypothetical protein	WP_011026779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02145	SCO0017	NA	protein_coding	NC_003888.3	17919	18263	+	DUF6233 domain-containing protein	WP_011026780.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02150	SCO0018	NA	protein_coding	NC_003888.3	18485	19363	-	ANTAR domain-containing protein	WP_237530288.1	GO:0003723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02155	SCO0020	NA	protein_coding	NC_003888.3	19971	21620	+	ISL3 family transposase	WP_011031941.1	GO:0004803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02160	SCO0021	NA	protein_coding	NC_003888.3	21758	22210	+	hypothetical protein	WP_237530289.1	NA	13.034163353926742	-0.181168913220386	0.5839991005527996	0.7057348251721416	0.7521673366693887	1.80766783371857	0.6012499415581445	6.104067068428e-4	8.9477946328989e-4	2.0517453268762424	0.6426831698304308	3.0307299637595e-4	5.8949278308078e-4	5.447573392656435	9.31233900375692	5.3580247475887495	7.359440102035011	1.4104398310666626	7.463763758397317	30.852176091696897	12.014015808587525	38.08969744955516	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02165	NA	NA	pseudogene	NC_003888.3	22156	22500	-	ATP-binding protein	NA	GO:0005524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02170	NA	NA	pseudogene	NC_003888.3	22624	22761	-	ATP-binding protein	NA	GO:0005524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02175	NA	NA	pseudogene	NC_003888.3	22742	23010	+	ATP-binding protein	NA	GO:0005524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02180	SCO0026	NA	protein_coding	NC_003888.3	23343	23831	+	hypothetical protein	WP_234308248.1	NA	94.39519999357172	-0.0203349414281959	0.2197272536362288	0.9231996648427964	0.938044470084787	-0.908055134371964	0.2249740106975357	3.493633619209379e-5	5.6846824116779983e-5	-0.8857298631098528	0.2283578314913619	6.865743476833679e-5	1.4846005266931e-4	123.11515867403544	107.09189854320458	109.83950732556936	110.39160153052516	110.01430682319968	114.44437762875889	71.60033319393807	46.96387997902396	56.09573624389033	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02185	NA	NA	protein_coding	NC_003888.3	24378	24614	-	hypothetical protein	WP_161269924.1	NA	14.6926988543963	-1.388951198895088	0.6665187910641225	0.0122986105615096	0.0191908523170005	0.5567979726033606	0.497610709837218	0.2028635237744498	0.2301668649324	2.121767527991087	0.6641718710636567	2.9550816940012e-4	5.7624469860581e-4	23.969322927688314	9.31233900375692	12.502057744373747	6.132866751695842	1.4104398310666626	6.2198031319977645	28.523709971568827	10.921832553261384	33.24191777415723	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02190	SCO0030	NA	protein_coding	NC_003888.3	25248	25871	+	lamin tail domain-containing protein	WP_375336299.1	GO:0005882	15.482397435698694	-1.076883411098873	0.6415306046710414	0.0421501751481421	0.0602843694692657	1.313709002100099	0.5117355519203379	0.003847978638679	0.0052651475789799	2.63862050076016	0.6427209122080095	7.5045464252530435e-6	1.910111916361011e-5	13.074176142375444	11.64042375469615	8.930041245981249	4.906293401356674	4.231319493199988	3.731881879198659	36.09122486198505	13.106199063913664	43.63001707858137	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02195	SCO0031	NA	protein_coding	NC_003888.3	25843	26385	-	hypothetical protein	WP_011026791.1	NA	47.59416216108941	-1.1670083725818825	0.2969336605805517	4.083077188116445e-5	8.69858127064317e-5	-0.9371840830729052	0.2716557107338839	3.358300317126e-4	5.0269311324874e-4	0.2233615925510545	0.2939871551249014	0.4289582494630579	0.4803477995598331	68.63942474747108	76.82679678099458	76.79835471543873	42.930067261870896	25.387916959199924	26.123173154390617	39.00180751214513	33.857680915110294	38.78223740318344	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02200	SCO0033	NA	protein_coding	NC_003888.3	26527	28728	-	exo-alpha-sialidase	WP_161269925.1	NA	553.2202663524433	7.47161366775822	0.3840127794435466	4.673148898561541e-84	1.412288398355792e-82	6.342246465205891	0.3841546987759804	3.190821277965655e-61	7.154551170476657e-60	-1.0991102484383368	0.1855307805764759	1.5731984219145202e-9	7.254930720119675e-9	5.447573392656435	5.820211877348075	7.144032996784999	1200.8153099820458	1131.1727445154634	1066.0742568244168	547.1895382300959	596.3320574080717	418.9866719451068	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02205	SCO0034	NA	protein_coding	NC_003888.3	29040	29519	+	helicase associated domain-containing protein	WP_011026794.1	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02210	SCO0035	NA	protein_coding	NC_003888.3	29605	30054	-	hypothetical protein	WP_011026795.1	NA	9.174542711393826	0.9431917482372402	1.0073018310079545	0.1384884098728443	0.177873741288051	4.670246351020589	1.0947434744410764	8.883209315882858e-6	1.5181273676629487e-5	2.894953136669553	0.8065548842606413	5.529532420294752e-5	1.2187605905325e-4	0	1.164042375469615	0.8930041245981248	2.453146700678337	4.231319493199988	1.243960626399553	23.86677773131269	12.014015808587525	36.704617542298614	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02215	NA	NA	pseudogene	NC_003888.3	30155	30241	-	FAD-binding protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02220	SCO0037	NA	pseudogene	NC_003888.3	30379	31274	-	RNA polymerase sigma-70 factor	NA	GO:0006352,GO:0003700,GO:0016987	189.4212534190825	0.7740014298969246	0.2337477457227784	6.5377513463639e-4	0.0012097687994748	1.2469573380375325	0.2305112502482309	2.6991523261474023e-8	5.7470673031810194e-8	0.4571221933655727	0.2227367440619597	0.0351367046829413	0.0485786805196162	106.77243849606612	110.58402566961342	110.73251145016748	176.62656244884028	191.8198170250661	205.25350335592623	212.47253346168617	357.14392449164734	233.38596437272892	NA	NA	TRUE	NA	NA	FALSE	NA
SC_RS02225	SCO0039	NA	protein_coding	NC_003888.3	31625	32137	+	patatin-like phospholipase family protein	WP_262377499.1	GO:0006629	14.518810416961514	1.2707059448762548	0.6012550209833558	0.0132434834658317	0.0205519940287699	2.5501184271158226	0.5712469810551111	1.5918960562037591e-6	2.9153622145470524e-6	1.062979842974028	0.4635008152232212	0.0110600985840161	0.0167191604929591	5.447573392656435	3.4921271264088447	3.5720164983924994	13.492306853730854	9.873078817466638	12.439606263995527	37.25545792204908	22.93584836184891	22.161278516104822	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02230	SCO0040	NA	protein_coding	NC_003888.3	32134	33357	+	glycosyltransferase	WP_011026800.1	GO:0016757	19.79396487595689	-0.1826587507368818	0.6860866139608158	0.7221304427686355	0.7675019968597425	3.8565201374714007	0.7093310845292851	6.10901449057617e-9	1.3762382084544902e-8	4.14691803030035	0.7797960940372077	2.072929823752683e-8	8.0865415471495e-8	2.179029357062574	6.984254252817689	0.8930041245981248	1.2265733503391685	0	6.2198031319977645	76.25726543419421	26.212398127827328	58.17335610477516	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02235	SCO0041	NA	protein_coding	NC_003888.3	33360	33845	+	hypothetical protein	WP_011026801.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02240	SCO0042	NA	protein_coding	NC_003888.3	33842	34777	+	hypothetical protein	WP_011026802.1	NA	18.560035499335974	0.5953210171582464	0.6297768566751266	0.2391717226869505	0.2906400177470477	3.754945890620576	0.6084742574386742	1.4131903002541391e-10	3.6065597582587277e-10	2.910719532236821	0.550990189595484	2.2645487474226217e-8	8.784748717804852e-8	3.268544035593861	3.4921271264088447	2.6790123737943747	3.6797200510175054	8.462638986399975	4.975842505598212	55.88318688307362	30.58113114913188	54.018116383005506	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02245	SCO0043	NA	protein_coding	NC_003888.3	35179	35907	-	SDR family oxidoreductase	WP_011026803.1	GO:0016491,GO:0070403	35.34932191665595	1.2477729780628166	0.3660432508682387	2.7549507706174e-4	5.3408604442548e-4	1.563668452208468	0.351950448006826	2.9462110237383566e-6	5.250985894522955e-6	0.2826801909335936	0.3046886676189501	0.3328432645574223	0.3826004702085016	17.432234856500592	17.460635632044223	13.395061868971872	38.023773860514225	43.723634763066535	39.8067400447857	61.70435218339379	36.042047425762576	50.55541661486413	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02250	SCO0044	NA	protein_coding	NC_003888.3	36006	36674	-	nitroreductase	WP_011026804.1	GO:0000166,GO:0016491	16.699463121113997	-1.3556687500885578	0.6597442377820468	0.013877285593447	0.0214875912611373	1.090855466850782	0.5033464609970899	0.0141602021452423	0.0182979390911819	2.6954880121704385	0.6514794532426065	6.377908921311242e-6	1.6408308079524144e-5	9.805632106781582	18.62467800751384	12.502057744373747	4.906293401356674	2.820879662133325	4.975842505598212	32.59852568179294	14.1983823192398	49.86287666123585	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02255	SCO0046	NA	protein_coding	NC_003888.3	36816	37478	+	FMN-dependent NADH-azoreductase	WP_011026806.1	GO:0008753,GO:0009055,GO:0010181,GO:0016491,GO:0050136,GO:0050446	20.77913122821787	-0.543571632088415	0.5183843629520908	0.2229430442742955	0.272957969018617	0.537297232093022	0.4765425470449062	0.2043741142374242	0.2318119681737643	1.146958515391913	0.537925323846148	0.0144072554825703	0.0213318891207848	19.611264213563164	24.444889884861915	15.181070118168122	8.58601345237418	16.92527797279995	11.195645637595977	44.240856282433285	8.737466042609109	38.08969744955516	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02260	SCO0047	NA	protein_coding	NC_003888.3	37614	38768	-	MarR family winged helix-turn-helix transcriptional regulator	WP_011026807.1	GO:0006355,GO:0003700	88.71235818703218	-0.217473568852473	0.2372521787157568	0.3448529498344785	0.4027410500128949	-0.0316704257102638	0.2262462732277076	0.8847249392728969	0.8956185470250986	0.1865627113648924	0.2334199654176831	0.4126689419647088	0.4642829208743619	86.07165960397167	98.94360191491728	97.3374495811956	84.63356117340263	95.90990851253304	60.954070693578096	93.72076133515472	79.72937763880812	101.11083322972826	NA	NA	TRUE	NA	NA	FALSE	NA
SC_RS02265	NA	NA	protein_coding	NC_003888.3	39107	39325	-	hypothetical protein	WP_161269926.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02270	SCO0049	NA	protein_coding	NC_003888.3	39489	39812	+	ANTAR domain-containing protein	WP_011026809.1	GO:0003723	12.376786515211272	0.5842472073870432	0.6190929134378421	0.2433989567125896	0.2950266999087604	2.5616205539847687	0.6289271170391459	7.808228365569192e-6	1.3407077045394575e-5	1.7416867612732114	0.5762031986945906	6.661468629047e-4	0.0012211361577006	2.179029357062574	6.984254252817689	2.6790123737943747	4.906293401356674	2.820879662133325	12.439606263995527	27.359476911504792	22.93584836184891	29.08667805238758	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02275	SCO0050	NA	protein_coding	NC_003888.3	39901	40212	+	hypothetical protein	WP_030872760.1	NA	7.34895013975011	2.596857971454212	1.3885257964667626	0.006888013845573	0.0111840632540352	4.8923681088288955	1.3409441550073158	1.8733995968603297e-5	3.118661728193791e-5	1.559450894417079	0.6792173432379988	0.0063293212161567	0.0099946282566573	1.089514678531287	0	0	3.6797200510175054	2.820879662133325	7.463763758397317	20.37407855112059	12.014015808587525	18.698578747963445	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02280	SCO0051	NA	pseudogene	NC_003888.3	40223	41065	-	IS5 family transposase	NA	GO:0004803	23.361138789183755	1.14542980094612	0.6211808909202408	0.0275877369096825	0.0408315595066652	3.7336594892313304	0.583119601422989	2.609397026352535e-11	7.042516647896747e-11	2.31977092223533	0.4913036067332866	4.579885155521951e-7	1.4252259625201808e-6	5.447573392656435	3.4921271264088447	2.6790123737943747	9.812586802713348	7.052199155333312	13.683566890395085	71.01821666390606	30.58113114913188	66.48383554831446	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02285	SCO0053	NA	protein_coding	NC_003888.3	41354	42174	+	IS5 family transposase	WP_375336300.1	GO:0004803	51.05444811767549	0.0780808579967122	0.3133071166369645	0.794783781070834	0.8324543548037804	0.4159732473949868	0.3016551390117744	0.1496234980144842	0.1726042947825507	0.3357032959593764	0.304701578904983	0.2492356400029248	0.2945372030080933	49.028160533907915	40.741483141436525	44.650206229906246	30.664333758479213	57.82803307373316	54.73426756158033	72.7645662540021	42.59514695771941	66.48383554831446	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02290	SCO0055	NA	protein_coding	NC_003888.3	42171	43682	-	oxidoreductase	WP_011026811.1	NA	208.0716971292935	1.1798989915441698	0.1738313547069719	5.360260196518192e-12	1.8913036207927137e-11	0.0839849696814544	0.1738523886881343	0.6249962238781483	0.6552604170014542	-1.0942565444331749	0.1691607210554452	5.0957754622199706e-11	2.905466009256815e-10	145.99496692319246	155.9816783129284	128.59259394212998	337.30767134327135	339.9159992870657	309.7461959734887	161.8283953489007	148.53692272435484	144.74085030830963	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02295	SCO0057	NA	protein_coding	NC_003888.3	43950	44090	+	hypothetical protein	WP_011026813.1	NA	10.055893442838483	2.434361677092434	0.7681758418878895	3.1485970146341e-4	6.0624962915871e-4	2.450797449933316	0.7475059007197857	2.3136880655042e-4	3.5100116961994e-4	0.0015049134108942	0.4716987743268142	0.9997721809913276	0.9997721809913276	2.179029357062574	1.164042375469615	2.6790123737943747	8.58601345237418	12.693958479599962	21.1473306487924	16.88137937092849	12.014015808587525	13.158259118937238	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02300	NA	NA	pseudogene	NC_003888.3	44187	44555	+	hypothetical protein	NA	NA	65.23611126722864	-0.6298345901455299	0.2657725816265936	0.0138363464469147	0.021432881874617	-1.2288343700288775	0.2673196632598027	1.9672102170706075e-6	3.567668244715812e-6	-0.5726586882242041	0.2750428691119624	0.0302994694558509	0.0423605308940274	111.13049721019128	76.82679678099458	100.01646195499	51.51608071424508	57.82803307373316	72.14971633117408	39.583924042177145	31.67331440445802	46.40017689309447	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02305	NA	NA	protein_coding	NC_003888.3	44796	44975	+	hypothetical protein	WP_237531508.1	NA	79.9899631634891	-0.482506466927447	0.2328561780919213	0.032948570138829	0.0480589025718212	-1.3017148660251896	0.238503377911787	1.9391858035217264e-8	4.188422218566983e-8	-0.7984670984802175	0.2457055125009	7.8279799480194e-4	0.0014196568947475	120.93612931697284	115.24019517149188	107.16049495177498	74.82097437068929	69.11155172226647	97.02892885916512	39.583924042177145	44.77951346837168	51.2479565684924	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02310	SCO0059	NA	protein_coding	NC_003888.3	45267	46073	+	NADP-dependent oxidoreductase	WP_011026815.1	GO:0016491	64.99373516864003	0.1478632562820879	0.2709366023791126	0.5721357912224426	0.6296128756025902	0.1226427473267916	0.2618021005908844	0.6296590540615692	0.6596839034468016	-0.025382544372543	0.263901400205186	0.9194167753182252	0.9336907429230488	62.10233667628336	61.694245899889594	58.93827222347624	62.55524086729759	86.03682969506642	55.97822818797989	80.91419767445035	50.24042974500237	66.48383554831446	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02315	SCO0060	NA	protein_coding	NC_003888.3	46064	46201	+	hypothetical protein	WP_011026816.1	NA	11.44105291401606	-0.3071537510509133	0.5118318830541961	0.486254145387652	0.5467498817108806	0.0913330822469235	0.46981981152311	0.8285298997314203	0.8445460089783282	0.4043547224343702	0.5041156202802842	0.3574991094519238	0.4076716168336181	9.805632106781582	18.62467800751384	8.037037121383124	7.359440102035011	11.2835186485333	8.70772438479687	8.731747950480253	13.106199063913664	17.31349884070689	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02320	SCO0061	NA	protein_coding	NC_003888.3	46430	47734	-	glycoside hydrolase family 125 protein	WP_011026817.1	GO:0005975,GO:0004559	147.23727517870068	-1.831594141457368	0.2256038948629368	1.1384050572809391e-16	5.227774815597633e-16	-1.4030687977450698	0.2091226328523198	7.910172393044591e-12	2.2113776276862505e-11	0.4130494792903594	0.2262342007837612	0.0613256232200724	0.0815329012590286	278.9157577040095	263.07357685613295	265.2222250056431	62.55524086729759	87.44726952613307	72.14971633117408	116.42330600640338	77.54501112815583	101.80337318335653	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02325	SCO0062	NA	protein_coding	NC_003888.3	47789	48844	-	LacI family DNA-binding transcriptional regulator	WP_161269927.1	GO:0006355,GO:0003677,GO:0003700	92.50991632915984	-1.482151075954944	0.2769070132664063	2.9602859928659436e-8	8.17419526957494e-8	-0.7226818523959183	0.2509091101486225	0.0029152240662845	0.0040285203706509	0.733896018052762	0.2739214711634875	0.0054310545089192	0.0086602383264226	165.6062311367556	135.02891555447533	131.27160631592434	46.6097873128884	39.49231526986655	62.19803131997765	96.04922745528278	60.07007904293762	96.26305355433033	NA	NA	TRUE	NA	NA	FALSE	NA
SC_RS02330	SCO0063	NA	protein_coding	NC_003888.3	48889	49824	-	ROK family protein	WP_011026819.1	GO:0005524	66.22726572987733	-1.20882726219268	0.259981718447635	1.5453160341650048e-6	3.7688951825281104e-6	-0.3287013636122964	0.2233536688046149	0.1310289505828641	0.1522795798991609	0.8697367154484416	0.2569419268365697	4.6755237088852e-4	8.7770818262058e-4	99.14583574634712	80.31892390740343	91.08642070900872	38.023773860514225	38.08187543879989	37.31881879198659	73.92879931406614	63.34662880891604	74.79431499185378	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02335	SCO0064	NA	protein_coding	NC_003888.3	49821	51539	-	class I mannose-6-phosphate isomerase	WP_011026820.1	GO:0009298,GO:0004476,GO:0008270	74.07783997316224	-0.0403712218809608	0.3173831867938635	0.8925528102038377	0.9134598831238848	0.6637798854808625	0.3104073614220348	0.0248173450564029	0.0313745734625094	0.7048682936400644	0.3156358420192196	0.0188425599793014	0.0272395941769216	58.833792640689495	68.67850015270729	58.04526809887812	67.46153426865426	66.29067206013313	46.02654317678346	140.29008373771606	57.885712532285346	103.18845309061308	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02340	SCO0065	NA	protein_coding	NC_003888.3	51831	53144	+	ABC transporter substrate-binding protein	WP_011026821.1	GO:0042626,GO:0140359,GO:0055052	30.607919166576412	0.9091506504753936	0.5178296821990536	0.0435505320535624	0.0621476984101415	3.3028332277098618	0.4902300181906465	2.165156732106547e-12	6.277887134503853e-12	2.210161337191858	0.4408157032119389	1.0594953804226564e-7	3.675545226275694e-7	8.716117428250296	8.148296628287305	3.5720164983924994	18.398600255087526	15.514838141733287	8.70772438479687	78.00361502429026	43.68733021304554	90.72273392530413	NA	NA	FALSE	NA	NA	FALSE	NA
SC_RS02345	SCO0066	NA	protein_coding	NC_003888.3	53141	54100	+	carbohydrate ABC transporter permease	WP_011026822.1	GO:0008643,GO:0055085,GO:0042626,GO:0140359	25.613791596106715	0.9959345830956104	0.5223748667630955	0.0283876754067334	0.0419262441877311	2.723209762787094	0.5022914329020537	9.274062748789433e-9	2.0541565404763617e-8	1.5394812216486888	0.4515352184844233	1.9931134209038e-4	4.0019288908169e-4	6.537088071187722	9.31233900375692	6.2510288721868745	9.812586802713348	28.20879662133325	12.439606263995527	62.86858524345782	32.76549765978416	62.32859582654481	NA	NA	FALSE	NA	NA	FALSE	NA
