protein_id	protein_len	domain_name	domain_acc	domain_len	seq_evalue	seq_score	dom_evalue	dom_score	ali_from	ali_to	env_from	env_to
WP_011027426.1	660	Trans_reg_C	PF00486.35	77	7.6e-9	34.3	1.9e-8	33.1	26	97	21	97
WP_238363725.1	1322	Trans_reg_C	PF00486.35	77	1.5e-7	30.2	7.8e-7	27.9	26	78	17	88
WP_016327461.1	268	Trans_reg_C	PF00486.35	77	1.7e-6	26.9	3.5e-6	25.8	20	74	17	90
WP_003973893.1	255	BTAD	PF03704.24	146	3.7e-51	172.2	5.2e-51	171.7	103	248	103	248
WP_237530404.1	539	BTAD	PF03704.24	146	3.8e-50	168.9	3.8e-50	168.9	99	244	99	244
WP_016327685.1	281	BTAD	PF03704.24	146	9.1e-50	167.6	9.1e-50	167.6	103	248	103	248
WP_011029645.1	993	BTAD	PF03704.24	146	4.1e-47	159	4.1e-47	159	119	263	119	263
WP_011028835.1	638	BTAD	PF03704.24	146	2.8e-45	153.1	2.8e-45	153.1	126	270	126	270
WP_016327461.1	268	BTAD	PF03704.24	146	1.6999999999999998e-44	150.5	1.6999999999999998e-44	150.5	97	241	97	241
WP_161270138.1	1102	BTAD	PF03704.24	146	5.0999999999999995e-44	149	5.0999999999999995e-44	149	95	234	95	234
WP_011027426.1	660	BTAD	PF03704.24	146	2.7e-43	146.7	2.7e-43	146.7	104	245	104	245
WP_238363725.1	1322	BTAD	PF03704.24	146	6.7e-42	142.1	6.7e-42	142.1	95	237	95	237
WP_011028360.1	1349	BTAD	PF03704.24	146	3.6e-29	100.8	3.6e-29	100.8	918	1057	918	1057
WP_011029796.1	117	BTAD	PF03704.24	146	2.7e-9	36.4	4.1e-9	35.8	37	93	37	99
WP_011029724.1	1002	BTAD	PF03704.24	146	3.3e-9	36.1	3.3e-9	36.1	846	959	845	968
WP_003975543.1	477	BTAD	PF03704.24	146	4e-8	32.6	4e-8	32.6	116	217	116	224
WP_011030145.1	1007	NB-ARC	PF00931.29	175	2.8e-11	42.1	5.2e-11	41.2	195	340	188	347
WP_011029781.1	966	NB-ARC	PF00931.29	175	1.4e-10	39.8	2.5e-10	39	185	319	184	333
WP_011029645.1	993	NB-ARC	PF00931.29	175	1.1e-9	36.9	1.8e-9	36.2	325	472	301	474
WP_309242312.1	748	NB-ARC	PF00931.29	175	3.6e-9	35.2	6.6e-9	34.4	12	137	11	151
WP_011030349.1	886	NB-ARC	PF00931.29	175	3.7e-9	35.2	9.1e-9	33.9	192	324	191	350
WP_011030149.1	1148	NB-ARC	PF00931.29	175	5.7e-9	34.6	9.1e-9	33.9	335	439	334	484
WP_011028573.1	743	NB-ARC	PF00931.29	175	4e-8	31.8	6.3e-8	31.2	77	231	74	243
WP_166680935.1	675	NB-ARC	PF00931.29	175	6.1e-7	28	1e-6	27.2	51	153	36	166
WP_011028835.1	638	NB-ARC	PF00931.29	175	2.8e-6	25.8	5.3e-6	24.9	327	463	312	473
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	0.0042	16.1	552	609	548	609
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	1.4e-7	30.4	603	664	598	665
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	6.9e-12	44.2	645	706	641	706
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	1.8e-15	55.7	675	746	674	748
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	2.3e-12	45.7	718	788	717	790
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	2.1e-12	45.9	758	830	757	832
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	3.6e-12	45.1	800	871	799	872
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	8.2e-14	50.4	842	914	841	916
WP_011029781.1	966	TPR_12	PF13424.13	77	3.0999999999999998e-74	244	0.069	12.2	919	949	912	950
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	1.4e-8	33.7	374	446	371	447
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	1.3e-12	46.6	419	488	417	489
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	3.8e-13	48.3	461	530	459	530
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	8e-16	56.8	499	572	497	573
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	3.9e-8	32.2	563	614	562	615
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	7.5e-10	37.7	583	647	581	649
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	1.7e-10	39.8	625	697	623	699
WP_309242312.1	748	TPR_12	PF13424.13	77	1.2999999999999997e-64	213.2	0.0028	16.6	680	732	679	734
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	3.5e-5	22.7	557	616	553	616
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	3e-10	39	602	669	599	670
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	2.5e-4	20	646	688	645	689
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	6.2e-12	44.4	680	743	678	744
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	2.2e-12	45.8	726	785	724	786
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	3.1e-13	48.6	767	837	766	838
WP_011030349.1	886	TPR_12	PF13424.13	77	2.5e-48	161	5.6e-4	18.9	821	871	821	872
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	8.9e-9	34.3	378	440	374	440
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	6.4e-8	31.5	422	489	419	490
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	1.2e-10	40.2	464	530	463	532
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	4.9e-4	19.1	527	571	524	572
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	1.3e-9	36.9	554	610	548	614
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	4.6e-8	32	592	654	591	657
WP_011031533.1	745	TPR_12	PF13424.13	77	1.4e-47	158.6	2.6e-10	39.2	668	740	666	741
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	0.045	12.8	721	770	719	785
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	6.8e-5	21.8	757	826	754	827
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	1.2e-9	37.1	794	858	793	860
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	2.4e-10	39.3	836	900	835	903
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	4.8e-10	38.3	921	995	919	995
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	2.4e-5	23.3	1007	1070	1003	1074
WP_011030149.1	1148	TPR_12	PF13424.13	77	4.4999999999999996e-35	118.5	0.041	12.9	1049	1117	1047	1119
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	0.088	11.9	579	605	575	611
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	5.6e-8	31.7	616	682	609	682
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	7.4e-10	37.7	691	757	690	759
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	3e-5	23	740	791	738	793
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	8.8e-4	18.3	802	853	800	854
WP_011030145.1	1007	TPR_12	PF13424.13	77	2.2e-34	116.3	2.1e-4	20.3	908	975	905	979
WP_011031897.1	191	TPR_12	PF13424.13	77	2.5e-28	96.9	1.1e-7	30.8	8	66	4	67
WP_011031897.1	191	TPR_12	PF13424.13	77	2.5e-28	96.9	1.6e-7	30.2	77	126	75	127
WP_011031897.1	191	TPR_12	PF13424.13	77	2.5e-28	96.9	7.5e-13	47.3	119	182	118	186
WP_011030244.1	761	TPR_12	PF13424.13	77	1.0000000000000001e-23	82.1	2.8e-7	29.5	516	587	514	588
WP_011030244.1	761	TPR_12	PF13424.13	77	1.0000000000000001e-23	82.1	6.8e-11	41	596	656	594	658
WP_011030244.1	761	TPR_12	PF13424.13	77	1.0000000000000001e-23	82.1	1.6e-10	39.9	637	707	634	708
WP_011028573.1	743	TPR_12	PF13424.13	77	9.8e-23	79	4.1e-9	35.4	471	536	468	537
WP_011028573.1	743	TPR_12	PF13424.13	77	9.8e-23	79	1.2e-4	21.1	562	612	542	613
WP_011028573.1	743	TPR_12	PF13424.13	77	9.8e-23	79	5.9e-5	22	626	669	625	670
WP_011028573.1	743	TPR_12	PF13424.13	77	9.8e-23	79	3.4e-7	29.2	643	708	637	711
WP_166680935.1	675	TPR_12	PF13424.13	77	2.3e-17	61.8	9.6e-10	37.4	467	536	466	539
WP_166680935.1	675	TPR_12	PF13424.13	77	2.3e-17	61.8	1.8e-6	26.9	546	615	546	616
WP_166680935.1	675	TPR_12	PF13424.13	77	2.3e-17	61.8	1.4e-4	20.8	588	647	587	647
WP_161270179.1	1087	TPR_12	PF13424.13	77	4.6e-17	60.8	3.1e-7	29.3	678	740	670	743
WP_161270179.1	1087	TPR_12	PF13424.13	77	4.6e-17	60.8	2.7e-8	32.7	749	821	749	823
WP_161270179.1	1087	TPR_12	PF13424.13	77	4.6e-17	60.8	7.8e-4	18.4	831	901	829	903
WP_011029645.1	993	TPR_12	PF13424.13	77	8e-16	56.8	3.1e-10	38.9	784	854	781	855
WP_011029645.1	993	TPR_12	PF13424.13	77	8e-16	56.8	4.4e-8	32	868	932	860	934
WP_011029645.1	993	TPR_12	PF13424.13	77	8e-16	56.8	0.042	12.9	937	974	934	974
WP_003975159.1	449	TPR_12	PF13424.13	77	1e-15	56.5	0.0041	16.1	118	188	117	188
WP_003975159.1	449	TPR_12	PF13424.13	77	1e-15	56.5	1.4e-4	20.8	241	312	240	314
WP_003975159.1	449	TPR_12	PF13424.13	77	1e-15	56.5	6.6e-7	28.3	323	393	320	394
WP_003975159.1	449	TPR_12	PF13424.13	77	1e-15	56.5	1e-5	24.4	363	429	360	434
WP_003973767.1	610	TPR_12	PF13424.13	77	5.2e-11	41.4	0.0097	14.9	31	83	23	87
WP_003973767.1	610	TPR_12	PF13424.13	77	5.2e-11	41.4	0.13	11.3	289	318	281	322
WP_003973767.1	610	TPR_12	PF13424.13	77	5.2e-11	41.4	0.0014	17.7	291	348	290	351
WP_003973767.1	610	TPR_12	PF13424.13	77	5.2e-11	41.4	0.0054	15.7	325	382	321	384
WP_237531407.1	1062	TPR_12	PF13424.13	77	1.4e-10	40	0.0018	17.3	27	95	24	96
WP_237531407.1	1062	TPR_12	PF13424.13	77	1.4e-10	40	4.9e-4	19.1	103	171	101	175
WP_237531407.1	1062	TPR_12	PF13424.13	77	1.4e-10	40	0.0043	16.1	142	213	141	215
WP_237531407.1	1062	TPR_12	PF13424.13	77	1.4e-10	40	0.022	13.8	226	291	220	293
WP_173943989.1	462	TPR_12	PF13424.13	77	3e-9	35.8	0.15	11.1	227	285	215	289
WP_173943989.1	462	TPR_12	PF13424.13	77	3e-9	35.8	0.0013	17.7	389	451	385	455
WP_234328725.1	277	TPR_12	PF13424.13	77	4e-9	35.4	2.2e-4	20.2	140	197	137	201
WP_234328725.1	277	TPR_12	PF13424.13	77	4e-9	35.4	0.0019	17.2	218	262	215	263
WP_161270060.1	478	TPR_12	PF13424.13	77	2.2e-7	29.8	0.15	11.1	228	273	208	276
WP_161270060.1	478	TPR_12	PF13424.13	77	2.2e-7	29.8	0.23	10.5	275	306	272	310
WP_011028595.1	479	TPR_12	PF13424.13	77	1.1e-6	27.6	1.1e-6	27.6	250	310	243	311
WP_011027768.1	1001	TPR_12	PF13424.13	77	2.2e-6	26.6	0.0014	17.6	687	719	687	726
WP_011027768.1	1001	TPR_12	PF13424.13	77	2.2e-6	26.6	0.011	14.8	820	866	813	873
WP_011027768.1	1001	TPR_12	PF13424.13	77	2.2e-6	26.6	0.048	12.7	904	933	879	946
WP_011031112.1	893	TPR_12	PF13424.13	77	3.1e-6	26.1	4.5e-5	22.4	616	682	611	683
WP_011031112.1	893	TPR_12	PF13424.13	77	3.1e-6	26.1	0.0014	17.7	655	717	650	718
WP_003977032.1	245	TPR_12	PF13424.13	77	3.5e-6	26	1.8e-4	20.5	168	203	134	204
WP_161270163.1	470	TPR_12	PF13424.13	77	7.4e-6	24.9	0.0022	17	333	385	331	387
