locus_tag	old_locus_tag	gene_name	product	tf_family	region	tss	dT1	dT2	dT3	LFC_T2vsT1	LFC_T3vsT1
SC_RS24335	SCO4434		LysR family transcriptional regulator	LysR	0	4853069	265	42610	153701	-0.5661289350968162	-0.6469947036519791
SC_RS24425	SCO4452		RNA polymerase sigma factor	Sigma factor	0	4875516	128	65057	131254	0.4402004152934874	0.5949085230891418
SC_RS25990	SCO4766		LysR family transcriptional regulator	LysR	0	5178021	250	33140	97734	-0.5614154947959401	-1.193490472610386
SC_RS26280	SCO4824		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	TetR	0	5253981	208	10119	21774	-1.040301816310672	-2.6532674788759465
SC_RS27250	SCO5017		AraC-like ligand-binding domain-containing protein	AraC	0	5452583	134	164038	176828	1.835086357005902	3.0503580420114256
SC_RS27290	SCO5025		MerR family transcriptional regulator	MerR	0	5458994	96	157627	183239	0.281321289476046	-0.3669551641606063
SC_RS29370	SCO5437		MerR family transcriptional regulator	MerR	0	5911410	288	38214	635655	0.1665840547262255	-0.2139597147349814
SC_RS29770	SCO5517		TetR/AcrR family transcriptional regulator	TetR	0	6010146	273	24335	734391	-1.2562254513684274	-1.704987953844876
SC_RS29905	SCO5544		sensor histidine kinase	Sensor kinase	0	6044567	195	58756	768812	-1.3132734160492394	-3.0527798360079843
SC_RS30140	SCO5584		P-II family nitrogen regulator	Other regulatory	0	6087374	130	101563	751213	-0.5802055478802578	-1.435204814633584
SC_RS30370	SCO5629	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	6131020	91	100799	707567	2.6485640091293856	2.65329669029329
SC_RS31160	SCO5784		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	6321291	220	2855	517296	-0.8777496817967684	-0.3016147206048558
SC_RS32970	SCO6144		TetR-like C-terminal domain-containing protein	TetR	0	6744770	183	14976	93817	-0.3674104959367556	-0.659740110347553
SC_RS33790	SCO6309		LysR family transcriptional regulator	LysR	0	6968600	274	21521	42626	-1.2520710421838035	0.7687113727124808
SC_RS33960	SCO6349		LacI family DNA-binding transcriptional regulator	LacI	0	7011086	139	14835	140	0.6882335861624186	0.0295030550333813
SC_RS36820	SCO6924		helix-turn-helix domain-containing protein	HTH (other)	1	7688201	195	1806	70043	-2.5425777989933764	1.1724818092504623
SC_RS37660	SCO7086		MerR family transcriptional regulator	MerR	1	7873947	190	2894	4343	-0.2945712757961456	-0.7760274660124938
SC_RS39915	SCO7543		ROK family transcriptional regulator	ROK	1	8365625	283	736	142645	0.3174114997788794	1.669113215440278
SC_RS00975	SCP1.186		helix-turn-helix domain-containing protein	HTH (other)	1	178957	247	5394	244942		
SC_RS18375	SCO3251		helix-turn-helix domain-containing protein	HTH (other)	0	3604107	121	606591	322810		
SC_RS28915	SCO5348		helix-turn-helix transcriptional regulator	HTH (other)	0	5816431	128	22975	540676		
