locus_tag	old_locus_tag	gene_name	product	tf_family	region_label	tss	nearest_GCCGGC_T1	nearest_GCCGGC_T2	nearest_GCCGGC_T3	baseMean	LFC_T2vsT1	LFC_T3vsT1	class
SC_RS03080	SCO0230		TetR/AcrR family transcriptional regulator	TetR	arm	220150	16922	6945	203749	113.9	0.46	-0.93	Shielded
SC_RS03095	SCO0233		helix-turn-helix transcriptional regulator	HTH (other)	arm	222538	18610	4557	201361	47.4	0.35	0.98	Shielded
SC_RS03110	SCO0236		helix-turn-helix transcriptional regulator	HTH (other)	arm	225276	15872	1819	198623	39.6	1.05	1.75	Shielded
SC_RS03135	SCO0241		TetR/AcrR family transcriptional regulator	TetR	arm	229995	11153	1682	193904	36.1	0.3	1.29	Shielded
SC_RS03175	SCO0250		TetR/AcrR family transcriptional regulator	TetR	arm	239858	1290	5138	184041	91.4	-1.12	-0.97	Shielded
SC_RS03185	SCO0253		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	arm	242203	125	7483	181696	73.2	-0.24	-0.72	Exposed
SC_RS03195	SCO0255		sigma-54-dependent Fis family transcriptional regulator	Other regulatory	arm	245759	3681	11039	178140	48.3	-0.61	1.74	Shielded
SC_RS03230	SCO0262		LysR family transcriptional regulator	LysR	arm	250805	557	11853	173094	106.7	0.4	0.19	Shielded
SC_RS03240	SCO0264		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	252946	1584	9712	170953	59.2	0.93	0.3	Shielded
SC_RS03250	SCO0266		helix-turn-helix domain-containing protein	HTH (other)	arm	255198	3836	7460	168701	34.7	0.18	1.05	Shielded
SC_RS03295	SCO0275		ROK family transcriptional regulator	ROK	arm	266356	14994	3698	157543	60.2	-0.5	-0.01	Shielded
SC_RS03330	SCO0282		DeoR/GlpR family DNA-binding transcription regulator	DeoR	arm	272898	21536	1024	151001	74.8	0.2	-0.41	Shielded
SC_RS03355	SCO0287		AraC-like ligand-binding domain-containing protein	AraC	arm	279691	24976	2098	144208	86.5	0.61	0.6	Shielded
SC_RS03365	SCO0289		LacI family DNA-binding transcriptional regulator	LacI	arm	282157	22510	3927	141742	113.3	-1.23	-0.82	Shielded
SC_RS03400	SCO0296		TetR/AcrR family transcriptional regulator	TetR	arm	290584	14083	1454	133315	63.7	-0.69	-0.48	Shielded
SC_RS03410	SCO0298		LysR family transcriptional regulator	LysR	arm	293519	11148	917	130380	466.7	2.16	0.69	Shielded
SC_RS03430	SCO0302		TetR/AcrR family transcriptional regulator	TetR	arm	298108	6559	1301	125791	103.0	0.47	0.24	Shielded
SC_RS03450	SCO0307		helix-turn-helix domain-containing protein	HTH (other)	arm	303084	1583	2127	120815	53.5	1.02	1.02	Shielded
SC_RS03465	SCO0310		TetR/AcrR family transcriptional regulator	TetR	arm	307460	2793	1714	116439	67.5	0.17	-0.37	Shielded
SC_RS03495	SCO0316		PucR family transcriptional regulator	Other regulatory	arm	316921	6498	2292	106978	49.6	1.05	1.66	Shielded
SC_RS03575	SCO0332		TetR/AcrR family transcriptional regulator	TetR	arm	333529	1509	1135	90370	50.3	0.13	-0.07	Shielded
SC_RS03600	SCO0337		TetR/AcrR family transcriptional regulator	TetR	arm	340752	5714	8358	83147	80.8	-0.03	-0.26	Shielded
SC_RS03630	SCO0344		GntR family transcriptional regulator	GntR	arm	348206	13168	1530	75693	73.7	-0.27	0.49	Shielded
SC_RS03635	SCO0345		IclR family transcriptional regulator	IclR	arm	350201	14537	465	73698	48.3	0.34	0.59	Shielded
SC_RS03695	SCO0357		FadR/GntR family transcriptional regulator	GntR	arm	362508	2230	1680	61391	160.4	-0.5	-1.14	Shielded
SC_RS03710	SCO0360		LacI family DNA-binding transcriptional regulator	LacI	arm	365602	864	4774	58297	158.0	0.14	-0.35	Shielded
SC_RS03790	SCO0376		helix-turn-helix domain-containing protein	HTH (other)	arm	391232	9450	475	32667	65.1	-0.4	-0.21	Shielded
SC_RS03945	SCO0407		MerR family transcriptional regulator	MerR	arm	427610	1665	366	3711	57.2	1.3	1.47	Shielded
SC_RS03980	SCO0414	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	arm	433513	2930	2802	9614	105.6	0.2	0.19	Shielded
SC_RS04015	SCO0421		response regulator transcription factor	Response regulator	arm	439000	2557	2685	15101	24.0	1.16	2.08	Shielded
SC_RS04020	SCO0422		sensor histidine kinase	Sensor kinase	arm	440190	1519	3875	16291	38.5	1.29	2.7	Shielded
SC_RS04050	SCO0428		TetR/AcrR family transcriptional regulator	TetR	arm	445611	3902	2340	21712	63.1	-0.83	-1.67	Shielded
SC_RS04060	SCO0430		TetR/AcrR family transcriptional regulator	TetR	arm	447245	3024	706	23346	164.1	-1.25	-1.76	Shielded
SC_RS04075	SCO0433		helix-turn-helix domain-containing protein	HTH (other)	arm	453370	3101	5419	29471	70.3	-0.91	-0.43	Shielded
SC_RS04145	SCO0447		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	465990	5860	4240	42091	26.4	-0.94	-0.01	Shielded
SC_RS04195	SCO0456		LacI family DNA-binding transcriptional regulator	LacI	arm	475628	1253	2608	51729	22.7	0.44	2.03	Shielded
SC_RS04245	SCO0466		GlxA family transcriptional regulator	Other regulatory	arm	487618	3711	5112	63719	36.1	0.66	1.88	Shielded
SC_RS04270	SCO0471		helix-turn-helix domain-containing protein	HTH (other)	arm	491901	572	829	68002	54.1	1.17	1.79	Shielded
SC_RS04345	SCO0485		TetR/AcrR family transcriptional regulator	TetR	arm	504854	13525	856	80955	87.5	-1.17	-1.71	Shielded
SC_RS04355	SCO0487		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	506842	15513	1132	82943	54.2	0.25	0.16	Shielded
SC_RS04460	SCO0508		acyl-CoA-like ligand-binding transcription factor	Other regulatory	arm	543545	42400	2086	64725	42.0	-2.46	-1.47	Shielded
SC_RS04480	SCO0512		TetR/AcrR family transcriptional regulator	TetR	arm	547743	38202	6284	60527	84.3	0.87	0.32	Shielded
SC_RS04515	SCO0520		TetR/AcrR family transcriptional regulator	TetR	arm	553277	32668	11818	54993	52.9	0.74	-0.04	Shielded
SC_RS04520	SCO0521		TetR/AcrR family transcriptional regulator	TetR	arm	553892	32053	12433	54378	135.3	-0.73	-1.3	Shielded
SC_RS04530	SCO0523		Lrp/AsnC family transcriptional regulator	Lrp	arm	555905	30040	14446	52365	41.6	0.14	-0.09	Shielded
SC_RS04565	SCO0530		GntR family transcriptional regulator	GntR	arm	562576	23369	21117	45694	104.8	-0.67	-0.55	Shielded
SC_RS04670	SCO0551		sensor histidine kinase	Sensor kinase	arm	592309	2519	2518	15961	96.0	0.24	0.14	Shielded
SC_RS04675	SCO0552		response regulator transcription factor	Response regulator	arm	592995	1833	1832	15275	31.0	0.34	0.63	Shielded
SC_RS04705	SCO0557		MerR family transcriptional regulator	MerR	arm	598747	3919	1755	9523	302.9	-0.37	-0.58	Shielded
SC_RS04725	SCO0561		Fur family transcriptional regulator	Other regulatory	arm	603840	9012	6848	4430	626.0	4.72	2.98	Shielded
SC_RS04795	SCO0574		IclR family transcriptional regulator	IclR	arm	616253	2269	5504	7983	52.3	-1.01	-0.56	Shielded
SC_RS04835	SCO0582		FadR/GntR family transcriptional regulator	GntR	arm	624273	3437	721	16003	176.8	-0.92	-1.48	Shielded
SC_RS04865	SCO0588		sensor histidine kinase	Sensor kinase	arm	630912	10076	5508	22642	1920.1	6.98	3.71	Shielded
SC_RS04870	SCO0589		LysR family transcriptional regulator	LysR	arm	632103	11267	4317	23833	52.6	1.05	0.87	Shielded
SC_RS04920	SCO0599		anti-sigma factor RsbA family regulatory protein	Sigma factor	arm	638801	8484	2381	30531	476.5	0.62	0.13	Shielded
SC_RS04925	SCO0600		RNA polymerase sigma factor SigF	Sigma factor	arm	639859	7426	3439	31589	554.7	-1.26	-1.26	Shielded
SC_RS04950	SCO0605		GlxA family transcriptional regulator	Other regulatory	arm	645297	1988	3760	37027	32.2	-0.05	1.03	Shielded
SC_RS04965	SCO0608	slbR	gamma-butyrolactone-binding regulator SlbR	Other regulatory	arm	647887	602	1170	39617	1275.0	1.49	0.95	Shielded
SC_RS04975	SCO0610		GntR family transcriptional regulator	GntR	arm	649840	2555	381	41570	77.9	-1.8	-1.21	Shielded
SC_RS05020	SCO0620		metal-sensitive transcriptional regulator	Other regulatory	arm	661607	1770	1545	53337	141.9	0.27	-0.11	Shielded
SC_RS05030	SCO0622		TetR/AcrR family transcriptional regulator	TetR	arm	662373	1004	779	54103	228.2	-1.37	-2.92	Shielded
SC_RS05065	SCO0629		LacI family DNA-binding transcriptional regulator	LacI	arm	672727	9350	6006	64457	40.9	-1.22	0.61	Shielded
SC_RS05075	SCO0632		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	673733	10261	7012	65463	16.6	-0.18	1.61	Shielded
SC_RS05120	SCO0640		BlaI/MecI/CopY family transcriptional regulator	Other regulatory	arm	681863	2131	15142	73593	238.1	-0.61	-1.25	Shielded
SC_RS05150	SCO0646		TetR/AcrR family transcriptional regulator	TetR	arm	688679	4685	21958	78046	32.6	-0.54	0.38	Shielded
SC_RS05265	SCO0669		TetR/AcrR family transcriptional regulator	TetR	arm	709071	8237	8236	57654	64.0	-1.15	-0.51	Shielded
SC_RS05410			GlxA family transcriptional regulator	Other regulatory	arm	738527	4522	3909	28198	79.9	1.03	1.71	Shielded
SC_RS05445			helix-turn-helix domain-containing protein	HTH (other)	arm	743929	880	9311	22796	1238.1	1.25	0.88	Shielded
SC_RS05480	SCO0711		PucR family transcriptional regulator	Other regulatory	arm	753197	492	2826	13528	26.9	-0.95	3.62	Shielded
SC_RS05485	SCO0712		helix-turn-helix transcriptional regulator	HTH (other)	arm	756143	2454	120	10582	51.1	-0.5	2.87	Shielded
SC_RS05490	SCO0713	bdeA	bis(hydroxyethyl) terephthalate hydrolase	HTH (other)	arm	757246	3557	1223	9479	23.6	-1.54	2.09	Shielded
SC_RS05550	SCO0724		MurR/RpiR family transcriptional regulator	Other regulatory	arm	768450	9593	3121	1725	148.5	0.43	0.12	Shielded
SC_RS05570	SCO0728		TetR family transcriptional regulator	TetR	arm	771628	6415	4270	4903	41.7	-0.17	0.12	Shielded
SC_RS05600	SCO0734		ROK family transcriptional regulator	ROK	arm	777720	323	1822	390	66.7	-0.17	0.53	Shielded
SC_RS05655	SCO0745		TetR/AcrR family transcriptional regulator	TetR	arm	787643	9039	11745	10313	26.9	1.4	2.67	Shielded
SC_RS05790	SCO0772		TetR/AcrR family transcriptional regulator	TetR	arm	821295	5450	3511	43965	79.9	0.11	-0.49	Shielded
SC_RS05835	SCO0781		anti-sigma factor antagonist	Sigma factor	arm	828403	1658	10619	51073	74.2	2.26	2.21	Shielded
SC_RS05845	SCO0783	otr(A)	tetracycline resistance ribosomal protection protein Otr(A)	TetR	arm	829910	3165	12126	52580	89.1	-0.64	0.57	Shielded
SC_RS05900	SCO0794		ROK family transcriptional regulator	ROK	arm	841688	7880	13892	64358	182.0	-0.06	-0.56	Shielded
SC_RS05930	SCO0800		TetR/AcrR family transcriptional regulator	TetR	arm	847525	2043	8055	70195	79.0	0.16	-0.26	Shielded
SC_RS05945	SCO0803	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	arm	851074	1506	4506	73744	302.0	0.86	-0.05	Shielded
SC_RS05960	SCO0806		LacI family DNA-binding transcriptional regulator	LacI	arm	854365	4797	1215	77035	55.5	0.05	0.38	Shielded
SC_RS06040	SCO0822		helix-turn-helix transcriptional regulator	HTH (other)	arm	872086	2120	713	94756	54.9	-0.12	-0.27	Shielded
SC_RS06045	SCO0823		GntR family transcriptional regulator	GntR	arm	872193	2227	606	94863	79.4	-1.33	-1.47	Shielded
SC_RS06130	SCO0840		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	888700	10484	2811	111370	49.2	0.62	0.32	Shielded
SC_RS06215	SCO0857		TetR/AcrR family transcriptional regulator	TetR	arm	904019	2350	2191	126689	372.0	-0.0	-0.82	Shielded
SC_RS06250	SCO0864		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	911939	428	3605	134609	191.1	3.66	4.94	Shielded
SC_RS06260	SCO0866		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	913572	1205	5212	136242	242.7	5.91	6.22	Shielded
SC_RS06280	SCO0870		response regulator	Response regulator	arm	916785	4418	1999	139455	148.6	-1.23	-1.83	Shielded
SC_RS06285	SCO0871		sensor histidine kinase	Sensor kinase	arm	918377	6010	407	141047	585.6	-1.14	-2.35	Shielded
SC_RS06300	SCO0875		ArsR/SmtB family transcription factor	ArsR	arm	921755	9388	2971	144425	22.8	1.44	1.11	Shielded
SC_RS06310	SCO0877		helix-turn-helix transcriptional regulator	HTH (other)	arm	922247	9880	3463	144917	654.9	1.69	0.36	Shielded
SC_RS06345	SCO0882		tetratricopeptide repeat protein	TetR	arm	928670	16303	874	151340	18.4	1.74	1.55	Shielded
SC_RS06365	SCO0886		LacI family DNA-binding transcriptional regulator	LacI	arm	932791	20424	3247	155461	713.4	3.03	0.84	Shielded
SC_RS06370	SCO0887		TetR/AcrR family transcriptional regulator	TetR	arm	933568	21201	2993	156238	121.9	1.85	1.14	Shielded
SC_RS06380	SCO0889		LysR family transcriptional regulator	LysR	arm	935237	22870	1324	157907	86.3	0.29	-0.02	Shielded
SC_RS06395	SCO0891		helix-turn-helix transcriptional regulator	HTH (other)	arm	936431	24064	130	159101	41.5	0.77	1.36	Shielded
SC_RS06415	SCO0895		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	942090	19254	5529	164760	19.4	0.49	3.56	Shielded
SC_RS06430	SCO0897		PPC domain-containing DNA-binding protein	Other regulatory	arm	943408	17936	4775	166078	30.6	0.8	1.91	Shielded
SC_RS06435	SCO0898		AfsR/SARP family transcriptional regulator	SARP	arm	945833	15511	2350	168503	100.1	0.01	0.58	Shielded
SC_RS06575	SCO0925		LysR family transcriptional regulator	LysR	arm	971392	5516	933	194062	55.6	0.11	0.29	Shielded
SC_RS06585	SCO0927		LysR family transcriptional regulator	LysR	arm	973388	3520	1063	196058	411.8	1.03	0.06	Shielded
SC_RS06650	SCO0940		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	986247	4174	2116	208917	21.6	0.12	0.27	Shielded
SC_RS06660	SCO0942		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	988130	3886	3999	210800	18.5	1.51	2.93	Shielded
SC_RS06715	SCO0953		LacI family DNA-binding transcriptional regulator	LacI	arm	1002624	6651	3645	211583	62.2	-1.84	-0.36	Shielded
SC_RS06810	SCO0971		LysR family transcriptional regulator	LysR	arm	1023053	2708	5256	191154	430.0	-0.47	-0.82	Shielded
SC_RS06865	SCO0981		short-chain fatty acyl-CoA regulator family protein	Other regulatory	arm	1033445	1421	5136	180762	86.3	-0.1	0.67	Shielded
SC_RS06885	SCO0985	metE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	TetR	arm	1038243	2557	6360	175964	1437.4	3.32	0.18	Shielded
SC_RS06975	SCO1003		TetR/AcrR family transcriptional regulator	TetR	arm	1058377	6177	13774	155830	113.3	1.08	0.16	Shielded
SC_RS07000	SCO1008		ArsR/SmtB family transcription factor	ArsR	arm	1063185	1369	10557	151022	256.5	0.12	-1.35	Shielded
SC_RS07005			helix-turn-helix domain-containing protein	HTH (other)	arm	1064212	342	9530	149995	33.5	-1.26	-0.55	Shielded
SC_RS07015	SCO1011		helix-turn-helix domain-containing protein	HTH (other)	arm	1068241	3649	5501	145966	97.6	0.91	1.27	Shielded
SC_RS07085	SCO1026		DeoR/GlpR family DNA-binding transcription regulator	DeoR	arm	1084395	3287	4613	129812	588.8	-1.51	-1.64	Shielded
SC_RS07125	SCO1034		TetR/AcrR family transcriptional regulator	TetR	arm	1092334	1601	3639	121873	69.6	-0.38	1.22	Shielded
SC_RS07150	SCO1039		ROK family protein	ROK	arm	1096518	1401	545	117689	526.2	0.56	-0.63	Shielded
SC_RS07170	SCO1043		DeoR/GlpR family DNA-binding transcription regulator	DeoR	arm	1099030	1111	3057	115177	89.9	-0.8	-0.67	Shielded
SC_RS07215	SCO1052		helix-turn-helix domain-containing protein	HTH (other)	arm	1108778	272	12805	105429	17.8	0.35	2.36	Exposed
SC_RS07255	SCO1060		ROK family protein	ROK	arm	1119111	4534	10850	95096	81.0	-0.36	-0.13	Shielded
SC_RS07285	SCO1066		LacI family DNA-binding transcriptional regulator	LacI	arm	1126535	4	3426	87672	40.7	-0.37	0.73	Exposed
SC_RS07300	SCO1069		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	1130108	1536	147	84099	37.9	1.31	0.99	Shielded
SC_RS07310	SCO1070		response regulator transcription factor	Response regulator	arm	1131094	2522	1133	83113	49.1	0.81	1.03	Shielded
SC_RS07315	SCO1071		sensor histidine kinase	Sensor kinase	arm	1132338	3766	2377	81869	173.7	-0.57	0.09	Shielded
SC_RS07340	SCO1077		ROK family protein	ROK	arm	1138101	6526	481	76106	67.7	-1.45	-1.01	Shielded
SC_RS07345	SCO1078		LacI family DNA-binding transcriptional regulator	LacI	arm	1138315	6312	695	75892	165.9	0.03	-0.04	Shielded
SC_RS07425	SCO1094		TetR/AcrR family transcriptional regulator	TetR	arm	1152798	4486	15178	61409	155.0	-1.06	-1.33	Shielded
SC_RS07440	SCO1098		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	1156292	992	13159	57915	124.5	-0.83	-1.24	Shielded
SC_RS07470	SCO1104		TetR/AcrR family transcriptional regulator	TetR	arm	1161710	4426	7741	52497	155.4	-0.96	-0.94	Shielded
SC_RS07490	SCO1108		ArsR/SmtB family transcription factor	ArsR	arm	1165774	8490	3677	48433	89.3	0.48	-0.75	Shielded
SC_RS07505	SCO1111		PaaX family transcriptional regulator C-terminal domain-containing protein	Other regulatory	arm	1168750	11466	701	45457	56.2	-1.23	-0.32	Shielded
SC_RS07545	SCO1119		Lrp/AsnC family transcriptional regulator	Lrp	arm	1177797	12978	3700	36410	26.4	-1.82	-0.18	Shielded
SC_RS07560	SCO1122		LysR substrate-binding domain-containing protein	LysR	arm	1180792	9983	705	33415	369.4	-0.21	-1.05	Shielded
SC_RS07625	SCO1135	xdhR	purine salvage operon transcriptional regulator XdhR	Other regulatory	arm	1193398	2414	11901	20809	215.3	-0.02	-0.94	Shielded
SC_RS07630	SCO1136		response regulator	Response regulator	arm	1194742	1070	13245	19465	44.8	-1.35	-0.56	Shielded
SC_RS07635	SCO1137		sensor histidine kinase	Sensor kinase	arm	1196385	573	14888	17822	61.8	-1.19	0.65	Shielded
SC_RS07675	SCO1145		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	1204428	8616	11527	9779	283.3	-2.21	-0.87	Shielded
SC_RS07750	SCO1160		sensor histidine kinase	Sensor kinase	arm	1221178	6972	4905	6971	769.5	6.81	5.57	Shielded
SC_RS07805	SCO1171		ROK family transcriptional regulator	ROK	arm	1233319	19113	2499	19112	92.1	-0.26	-0.11	Shielded
SC_RS07840	SCO1177		FadR/GntR family transcriptional regulator	GntR	arm	1241559	14497	10739	27352	111.3	-0.21	3.66	Shielded
SC_RS07885	SCO1186		LacI family DNA-binding transcriptional regulator	LacI	arm	1258218	185	6710	44011	241.3	-0.75	-0.84	Exposed
SC_RS07910	SCO1191		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	1264656	4276	272	50449	80.9	-2.82	-2.1	Shielded
SC_RS07920	SCO1193		TetR/AcrR family transcriptional regulator	TetR	arm	1265739	3193	811	51532	106.7	-0.68	-1.57	Shielded
SC_RS07955	SCO1200		helix-turn-helix domain-containing protein	HTH (other)	arm	1272566	3634	5389	58359	123.0	0.26	0.08	Shielded
SC_RS07985	SCO1206		1,3,6,8-tetrahydroxynaphthalene synthase	TetR	arm	1277625	2702	718	56504	63.6	2.43	1.77	Shielded
SC_RS08005	SCO1210		TetR family transcriptional regulator	TetR	arm	1281884	1557	753	52245	370.0	-1.22	-1.45	Shielded
SC_RS08040	SCO1217		sensor histidine kinase	Sensor kinase	arm	1289084	4763	4143	45045	87.6	-0.14	0.15	Shielded
SC_RS08055	SCO1220		LytR/AlgR family response regulator transcription factor	Response regulator	arm	1292117	1730	1110	42012	23.1	-0.19	1.69	Shielded
SC_RS08060	SCO1221		Lrp/AsnC family transcriptional regulator	Lrp	arm	1292195	1652	1032	41934	55.7	1.45	0.19	Shielded
SC_RS08090	SCO1227		helix-turn-helix transcriptional regulator	HTH (other)	arm	1302022	8175	8795	32107	190.6	4.58	4.59	Shielded
SC_RS08165	SCO1242		helix-turn-helix domain-containing protein	HTH (other)	arm	1313856	6557	11850	20273	141.1	1.1	0.24	Shielded
SC_RS08255	SCO1259		sensor histidine kinase	Sensor kinase	arm	1329747	8164	4041	4382	104.2	-0.74	-0.27	Shielded
SC_RS08260	SCO1260		response regulator transcription factor	Response regulator	arm	1330916	6995	5210	3213	120.3	-0.45	-1.11	Shielded
SC_RS08265	SCO1261		ROK family transcriptional regulator	ROK	arm	1331678	6233	5972	2451	309.6	-0.34	-0.99	Shielded
SC_RS08270	SCO1262		GntR family transcriptional regulator	GntR	arm	1333633	4278	6521	496	964.7	1.02	0.12	Shielded
SC_RS08275	SCO1263		RNA polymerase sigma-70 factor	Sigma factor	arm	1334711	3200	5443	582	59.1	0.39	0.71	Shielded
SC_RS08340	SCO1276		RNA polymerase sigma factor	Sigma factor	arm	1346693	3877	6539	12564	38.9	0.84	4.54	Shielded
SC_RS08405	SCO1289	pdxR	MocR-like pyridoxine biosynthesis transcription factor PdxR	Other regulatory	arm	1359896	5247	3608	25767	388.0	2.13	2.11	Shielded
SC_RS08435	SCO1295		Lrp/AsnC family transcriptional regulator	Lrp	arm	1370221	588	13933	36092	87.3	0.1	-1.17	Shielded
SC_RS08460	SCO1299		Lrp/AsnC family transcriptional regulator	Lrp	arm	1374103	1837	17815	39974	36.6	-1.1	-0.49	Shielded
SC_RS08510	SCO1309		ArsR/SmtB family transcription factor	ArsR	arm	1387066	591	30778	52937	18.6	-0.53	0.26	Shielded
SC_RS08525	SCO1312		helix-turn-helix domain-containing protein	HTH (other)	arm	1389448	2973	33160	55319	47.0	-0.89	-0.55	Shielded
SC_RS08590	SCO1325		winged helix-turn-helix transcriptional regulator	HTH (other)	arm	1400584	1805	44296	66455	65.2	-0.52	-0.76	Shielded
SC_RS08620	SCO1331		LuxR C-terminal-related transcriptional regulator	Other regulatory	arm	1406162	217	49655	72033	323.3	2.43	2.04	Exposed
SC_RS08625			RNA polymerase sigma factor	Sigma factor	arm	1409380	1648	46437	75251	19.2	0.18	2.26	Shielded
SC_RS08660	SCO1339		TetR/AcrR family transcriptional regulator	TetR	arm	1416484	5885	39333	82355	39.7	-0.94	-0.22	Shielded
SC_RS08720	SCO1351		helix-turn-helix transcriptional regulator	HTH (other)	arm	1426307	931	29510	92178	85.1	-0.2	1.67	Shielded
SC_RS08730	SCO1353		helix-turn-helix domain-containing protein	HTH (other)	arm	1430593	5084	25224	96464	51.2	0.46	0.49	Shielded
SC_RS08755	SCO1358		LysR family transcriptional regulator	LysR	arm	1436223	546	19594	102094	71.5	-0.88	-0.01	Shielded
SC_RS08795	SCO1366		PadR family transcriptional regulator	PadR	arm	1443908	2750	11909	109779	815.8	-1.83	1.31	Shielded
SC_RS08810	SCO1369		sensor histidine kinase	Sensor kinase	arm	1445966	692	9851	111837	49.9	0.14	1.39	Shielded
SC_RS08815	SCO1370		response regulator	Response regulator	arm	1447177	519	8640	113048	18.3	0.32	1.43	Shielded
SC_RS08845	SCO1376		LacI family DNA-binding transcriptional regulator	LacI	arm	1453090	2016	2727	118961	375.7	2.0	1.43	Shielded
SC_RS08870	SCO1381		MerR family transcriptional regulator	MerR	arm	1460573	2131	4756	126444	831.4	0.88	-0.27	Shielded
SC_RS08880	SCO1383	ftsR	transcriptional regulator FtsR	Other regulatory	arm	1462033	3591	6216	127904	594.0	-0.93	-2.25	Shielded
SC_RS09025	SCO1410		GntR family transcriptional regulator	GntR	core	1505123	1591	10267	165069	88.8	-1.67	-1.57	Shielded
SC_RS09060	SCO1417		SCO1417 family PLP biosynthesis transcription factor	Other regulatory	core	1514141	6530	1249	156051	367.2	-0.32	-1.73	Shielded
SC_RS09100	SCO1425		Lrp/AsnC family transcriptional regulator	Lrp	core	1522060	1389	6670	148132	80.1	-1.08	-1.1	Shielded
SC_RS09125	SCO1430		TetR/AcrR family transcriptional regulator	TetR	core	1526779	4425	11389	143413	143.1	0.03	-0.42	Shielded
SC_RS09210	SCO1447		ROK family transcriptional regulator	ROK	core	1544653	315	29263	125539	208.4	-1.87	-1.96	Shielded
SC_RS09265	SCO1458		Lrp/AsnC family transcriptional regulator	Lrp	core	1556108	1777	40718	114084	75.5	-2.67	-2.27	Shielded
SC_RS09290	SCO1463		sugar-binding transcriptional regulator	Other regulatory	core	1561393	7062	37575	108799	3640.6	1.83	-0.66	Shielded
SC_RS09315	SCO1468		tetratricopeptide repeat protein	TetR	core	1568358	14027	30610	101834	167.6	3.87	4.26	Shielded
