locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1
SC_RS37535			MarR family winged helix-turn-helix transcriptional regulator	MarR	7849651	7850187	-	7850207	protein_coding	0	41.30687983241509	5.402820384545458	1006	4	537	-0.6392258583075638	-0.4354814133932818
SC_RS37510			GntR family transcriptional regulator	GntR	7845511	7846272	-	7846475	protein_coding	0	272.09586687974496	8.093263669834656	1785	1	762	2.3417968949676338	0.0634584351293333
SC_RS37435			MarR family winged helix-turn-helix transcriptional regulator	MarR	7834891	7835298	-	7835298	protein_coding	0	190.82952894548805	7.5836810059815205	536	1	408	-0.064996638819204	0.2606871040403199
SC_RS37350			LysR family transcriptional regulator	LysR	7811193	7812110	-	7812112	protein_coding	0	73.24042571808526	6.214133078246294	307	2	918	-0.361839811126796	-0.3265100831857784
SC_RS36140			TetR/AcrR family transcriptional regulator	TetR	7552594	7553190	+	7552555	protein_coding	0	164.40345872975885	7.369845592603737	978	3	597	-0.2988871657424283	-0.8816448802014657
SC_RS35560			helix-turn-helix domain-containing protein	HTH (other)	7415327	7415983	-	7416045	protein_coding	0	348.85841814136523	8.450627395346753	1569	1	657	1.0485319674132163	0.6190963131709148
SC_RS35300			MarR family winged helix-turn-helix transcriptional regulator	MarR	7340945	7341376	+	7340945	protein_coding	0	74.01974624162575	6.229198477900511	169	2	432	0.9030102954884232	0.218052893974026
SC_RS35020			GntR family transcriptional regulator	GntR	7267256	7267933	+	7267200	protein_coding	0	438.7661776080953	8.780592840640072	684	3	678	-1.1664627037141515	-1.967608380428548
SC_RS34880			helix-turn-helix domain-containing protein	HTH (other)	7231262	7232125	-	7232198	protein_coding	0	177.74521445821526	7.481760806939478	71	4	864	0.2834525578409987	-0.3684732584104658
SC_RS34245			helix-turn-helix domain-containing protein	HTH (other)	7077312	7077563	+	7077312	protein_coding	0	107.1116459667802	6.75637813073388	350	2	252	0.8374189701880895	0.2180619122259205
SC_RS33805			ScbR family autoregulator-binding transcription factor	TetR	6972028	6972675	-	6972729	protein_coding	0	667.5363616963774	9.384862220418555	1188	2	648	-0.4090762493099477	-0.7170102267887006
SC_RS33575			ScbR family autoregulator-binding transcription factor	TetR	6890528	6891175	-	6891300	protein_coding	0	646.1546522013301	9.337966707715076	2420	0	648	2.804243895494719	0.5368333606853147
SC_RS33480			allantoin degradation transcriptional regulator AllR	HTH (other)	6868657	6869469	-	6869497	protein_coding	0	185.1448503567133	7.540281894776416	1243	1	813	-0.43298887693353	-1.0716123487654836
SC_RS32970			TetR-like C-terminal domain-containing protein	TetR	6744201	6744770	-	6744799	protein_coding	0	158.1038511968173	7.3138249470986505	96	7	570	-0.3674104959367556	-0.659740110347553
SC_RS32950			response regulator	Sigma factor	6741629	6742288	+	6741364	protein_coding	0	115.47424909049975	6.863867219195946	1392	3	660	0.5110354174030197	-0.3601566857748298
SC_RS32285			ABC transporter substrate-binding protein	Other regulatory	6589587	6590690	+	6589532	protein_coding	0	1637.4503766828038	10.67811626367779	5677	0	1104	-0.6774833043713061	-2.5714266590436
SC_RS32280			ROK family transcriptional regulator	MarR	6588242	6589453	+	6588178	protein_coding	0	912.876001073968	9.835854616795922	4323	0	1212	1.9490638454787417	0.3389701760480995
SC_RS32255			helix-turn-helix domain-containing protein	HTH (other)	6579213	6580073	-	6580144	protein_coding	0	240.34472023854505	7.914951455881935	2498	0	861	0.5913396103599787	0.6232487570950433
SC_RS32230			helix-turn-helix domain-containing protein	HTH (other)	6573186	6574715	-	6574715	protein_coding	0	926.319632665144	9.856922888905121	2565	0	1530	0.676826755060682	-0.571141633094464
SC_RS31920			RNA polymerase sigma factor	Sigma factor	6504108	6504752	+	6504108	protein_coding	0	62.405453536377735	5.986535027547335	2295	0	645	-0.4024683776859474	0.0873717958990448
SC_RS31650			response regulator transcription factor	Sigma factor	6438206	6438859	-	6438972	protein_coding	0	1128.9515600639688	10.14204521168007	352	1	654	0.9068138863503556	0.9663293723417876
SC_RS31400			citrate synthase	HTH (other)	6381412	6382677	-	6382678	protein_coding	0	98.58041595368717	6.63779013653222	219	3	1266	0.3844483450926879	-0.0503312715972304
SC_RS31340			RNA polymerase sigma factor	Sigma factor	6367665	6369200	+	6367511	protein_coding	0	3030.3018862184663	11.565721821397478	216	3	1536	-0.2685324365602969	-0.7883781230324853
SC_RS31130			response regulator transcription factor	Response regulator	6315651	6316337	+	6315347	protein_coding	0	66.68116221758912	6.080682437446227	1082	1	687	-3.2911649386321704	-1.1778795989655038
SC_RS31005			helix-turn-helix domain-containing protein	HTH (other)	6293066	6293446	+	6293028	protein_coding	0	2343.6478828807867	11.19515556102103	3459	0	381	0.0987149337733138	0.511842138330417
SC_RS30985			helix-turn-helix domain-containing protein	HTH (other)	6289190	6290053	+	6289046	protein_coding	0	2028.7762871206603	10.987105013428717	2445	0	864	1.7664257220602293	-1.0319683594801414
SC_RS30675			LacI family DNA-binding transcriptional regulator	LacI	6200514	6201527	-	6201761	protein_coding	0	78.82847627412775	6.3188315687929135	749	4	1014	-0.825819654572287	-0.0688477298869675
SC_RS30495			Lrp/AsnC family transcriptional regulator	Lrp	6155449	6155964	-	6155949	protein_coding	0	1202.7512945653698	10.233321634267298	1886	1	516	-2.0995529592420255	-2.3850806887728377
SC_RS30335			TetR/AcrR family transcriptional regulator	TetR	6122014	6122571	+	6121990	protein_coding	0	428.4541956535343	8.746360455649723	604	3	558	1.020718790945095	-0.2975325838520312
SC_RS30020			Lrp/AsnC family transcriptional regulator	Lrp	6059732	6059965	-	6060121	protein_coding	0	366.1331594912242	8.520159614408508	1091	3	234	-0.9538326231656606	-1.6785995473847943
SC_RS29960			MerR family transcriptional regulator	MerR	6049735	6050379	-	6050403	protein_coding	0	104.10583076686144	6.715698895089108	479	2	645	-0.8950996125621657	-1.541250392822855
SC_RS29825			TetR/AcrR family transcriptional regulator	TetR	6022748	6023350	+	6022682	protein_coding	0	109.0146028218822	6.781551222801528	382	3	603	-0.8254001961557298	-1.2083170970885082
SC_RS29770			TetR/AcrR family transcriptional regulator	TetR	6010146	6010736	+	6010146	protein_coding	0	208.36308499054547	7.709863277716996	273	3	591	-1.2562254513684274	-1.704987953844876
SC_RS29670			cupin domain-containing protein	AraC	5984177	5984671	+	5984119	protein_coding	0	98.15693891747168	6.631641829434736	549	4	495	0.3807580534497096	0.5188082537709172
SC_RS29205			MarR family winged helix-turn-helix transcriptional regulator	MarR	5877408	5877884	-	5877968	protein_coding	0	1210.459937073372	10.242530980378909	427	1	477	2.891617584917847	1.236335790555081
SC_RS29195			response regulator transcription factor	Response regulator	5875298	5875966	+	5875257	protein_coding	0	66.29274441009521	6.072379054880915	2401	0	669	-1.145059285071395	-0.9962984957801037
SC_RS29100			TetR/AcrR family transcriptional regulator	TetR	5852346	5852987	+	5852346	protein_coding	0	112.73847352612628	6.829576537026412	2307	0	642	-0.8626951605881105	-0.9280415412165116
SC_RS28600			response regulator transcription factor	Response regulator	5755073	5755807	-	5755887	protein_coding	0	556.448795446816	9.122695481897113	2407	0	735	-1.04529906880727	-2.130604622192486
SC_RS28505			PadR family transcriptional regulator	PadR	5723633	5724715	-	5724782	protein_coding	0	337.82450479984504	8.404394408231047	582	4	1083	-1.8797533203902916	-1.9529815963762416
SC_RS28335			GntR family transcriptional regulator	GntR	5691072	5691836	-	5691889	protein_coding	0	158.77953283578736	7.319938806004097	1305	2	765	-0.8772459390097801	-1.1825421868300867
SC_RS28260			RNA polymerase sigma factor SigR	Sigma factor	5675219	5675902	+	5675179	protein_coding	0	3873.605568838389	11.919833737540857	2196	0	684	1.6882147654829212	0.1000394418578028
SC_RS27900			RNA polymerase sigma factor SigE	Sigma factor	5593690	5594361	+	5593587	protein_coding	0	4235.681163097085	12.0487188455738	514	1	672	-0.7668411556411651	0.7605915590574691
SC_RS27660			GntR family transcriptional regulator	GntR	5541010	5541762	+	5540983	protein_coding	0	558.8742952774608	9.128959134914009	408	4	753	3.315196156832278	2.5243311219258464
SC_RS27585			AfsR/SARP family transcriptional regulator	SARP	5528094	5528861	+	5528064	protein_coding	0	2568.5231577665613	11.327284939118611	807	2	768	1.9854878028690233	6.435870540124959
SC_RS27345			PadR family transcriptional regulator	PadR	5472658	5473182	-	5473182	protein_coding	0	419.634096736984	8.716421989914737	262	3	525	-2.4778833850748785	-2.0559753428390293
SC_RS27330			LysR substrate-binding domain-containing protein	LysR	5468567	5469505	+	5468482	protein_coding	0	161.5147699576052	7.34442703146204	125	5	939	-0.7524789925700364	-0.7356701192056007
SC_RS27290			MerR family transcriptional regulator	MerR	5458994	5459911	+	5458894	protein_coding	0	117.49385935561877	6.888668486816045	4	1	918	0.281321289476046	-0.3669551641606063
SC_RS26925			TetR/AcrR family transcriptional regulator	TetR	5389080	5389676	+	5388998	protein_coding	0	144.4827386318619	7.184704178870457	1102	4	597	-0.0593562606039366	-1.5908881237723784
SC_RS26695			two-component system response regulator AfsQ1	Response regulator	5339525	5340202	-	5340202	protein_coding	0	1004.0103782191536	9.972994684104101	1167	4	678	-1.4448293409983173	-2.329414784975276
SC_RS26635			sigma-70 family RNA polymerase sigma factor	Sigma factor	5328418	5329422	-	5329471	protein_coding	0	1651.9432638339997	10.690821490605027	336	5	1005	-0.3572705276266575	-0.4684976545923399
SC_RS26515			TetR/AcrR family transcriptional regulator	TetR	5300705	5301355	+	5300705	protein_coding	0	155.9524135583541	7.294183404116196	763	2	651	0.4513157771405439	-0.5839519555833844
SC_RS26490			RNA polymerase sigma factor	Sigma factor	5294399	5295061	+	5294266	protein_coding	0	91.2244569436346	6.5270774836376875	182	4	663	-2.383232055363211	-1.4626858479832872
SC_RS26005			sigma-70 family RNA polymerase sigma factor	Sigma factor	5180620	5181207	+	5180479	protein_coding	0	770.7969674913782	9.59207756509501	2665	0	588	1.475222471033223	0.9064836913147282
SC_RS25615			MerR family transcriptional regulator	MerR	5116372	5116728	-	5117055	protein_coding	0	222.94759298122085	7.807017349771783	1346	2	357	-0.209928149986379	-0.5714430683266386
SC_RS25375			TetR/AcrR family transcriptional regulator	TetR	5064405	5064998	+	5064405	protein_coding	0	424.6457086052709	8.73350927491199	923	3	594	-0.8571986010981619	-2.4460366852246627
SC_RS24435			TetR/AcrR family transcriptional regulator	TetR	4876023	4876625	-	4876625	protein_coding	0	135.0704210743419	7.088209678312559	1237	3	603	-1.8167566366869272	-1.6732570207250417
SC_RS24270			TetR family transcriptional regulator	TetR	4837557	4838192	-	4838204	protein_coding	0	246.43779563635533	7.9509220757496175	792	4	636	-1.5498489543450966	-1.8776916580837424
SC_RS24215			sigma-70 family RNA polymerase sigma factor	Sigma factor	4827365	4827958	-	4828092	protein_coding	0	2622.6720587961554	11.35737168879659	800	9	594	2.4478129572402416	1.8908417786963363
SC_RS24205			GbsR/MarR family transcriptional regulator	MarR	4825352	4826125	+	4825208	protein_coding	0	114.01594607362672	6.845690083348845	1160	3	774	-0.6102359269250709	-1.1116962078242183
SC_RS24140			metal-dependent transcriptional regulator	MarR	4810836	4811528	+	4810778	protein_coding	0	1521.103057522981	10.571850327829324	187	4	693	0.1078268639887354	-0.5992542659625048
SC_RS23860			MarR family winged helix-turn-helix transcriptional regulator	MarR	4750828	4751265	+	4750828	protein_coding	0	985.3441738630712	9.945947336666631	2203	0	438	-2.2152124543258744	-1.8655678289064952
SC_RS23750			TetR/AcrR family transcriptional regulator	TetR	4724955	4725605	+	4724896	protein_coding	0	208.71841538026385	7.712309739865835	634	2	651	-2.668446171977565	-2.5566033732340103
SC_RS23700			TetR/AcrR family transcriptional regulator	TetR	4717614	4718222	-	4718222	protein_coding	0	226.3360225401095	7.828682494354334	693	2	609	0.4800328681855517	0.2914084056542169
SC_RS23135			winged helix-turn-helix domain-containing protein	GntR	4598629	4599504	+	4598523	protein_coding	0	426.7992437214104	8.740790121832765	2239	0	876	-0.947355324671142	-1.2740425157818147
SC_RS23070			helix-turn-helix domain-containing protein	HTH (other)	4588684	4589526	+	4588574	protein_coding	0	128.20721898464546	7.013542867410266	37	4	843	0.7276872848626493	1.6387964274906617
SC_RS22980			LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-	4576134	protein_coding	1	1108.0084647456797	10.11505466188399	172	4	1023	-0.0261795784401953	-1.386678225928751
SC_RS22780			MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+	4529468	protein_coding	1	473.2408541558487	8.889476140973454	207	5	549	-3.79957961958281	-3.5392565751456435
SC_RS22290			RNA polymerase sigma factor SigF	Sigma factor	4430684	4431640	-	4431740	protein_coding	0	4666.848771848829	12.188542106281917	1049	1	957	1.4546917486403483	0.9244541502599852
SC_RS21715			MarR family winged helix-turn-helix transcriptional regulator	MarR	4310386	4310850	-	4310875	protein_coding	0	261.22041138175166	8.034636179884735	805	3	465	-0.815121140869563	-1.6215720382794796
SC_RS21645			PadR family transcriptional regulator	PadR	4294873	4295550	-	4295598	protein_coding	0	3234.681781417497	11.659854015129216	2148	0	678	-2.977392970203959	-3.141178079243595
SC_RS21295			TetR/AcrR family transcriptional regulator	TetR	4215177	4215806	-	4215824	protein_coding	0	188.33386480617037	7.564788668530798	2573	0	630	1.6409972826263803	0.5583428653215091
SC_RS21290			Lrp/AsnC family transcriptional regulator	Lrp	4214629	4215141	+	4214554	protein_coding	0	133.63132812409546	7.07287034764495	1303	1	513	-0.077592220658129	-1.1684825572033202
SC_RS21185			GntR family transcriptional regulator	GntR	4190999	4191346	+	4190996	protein_coding	0	42.00162394960906	5.426319238883683	20	3	348	-1.4405098999168529	-1.324164419478943
SC_RS21175			GntR family transcriptional regulator	GntR	4189065	4189715	-	4189715	protein_coding	0	379.0822271994761	8.570167755541153	1221	4	651	0.7716057510507088	0.3836733483367137
SC_RS21030			helix-turn-helix domain-containing protein	HTH (other)	4158580	4159929	-	4160059	protein_coding	0	157.09653897377	7.304661974548597	2274	0	1350	0.1921935445623061	-0.5750647778579644
SC_RS20810			RNA polymerase sigma factor	Sigma factor	4108736	4109227	-	4109237	protein_coding	0	48.395623974373045	5.626311332039154	575	3	492	-1.7310833361649274	-1.2236318568079445
SC_RS20680			SigE family RNA polymerase sigma factor	Sigma factor	4085317	4085871	-	4085883	protein_coding	0	50.506179062322495	5.686673613937078	1905	1	555	-1.3193271179997217	-0.1740782136333545
SC_RS20630			ArsR/SmtB family transcription factor	HTH (other)	4078689	4078997	-	4078997	protein_coding	0	13.258279472861506	3.833727999128771	244	6	309	0.3906674110010656	0.8405046276930888
SC_RS20470			sugar ABC transporter substrate-binding protein	Other regulatory	4047138	4048256	-	4048317	protein_coding	0	486.2129225555873	8.92840858874068	5279	0	1119	-0.6569678585660949	-1.794808912954607
SC_RS20445			ATP-dependent chaperone ClpB	Sigma factor	4040450	4043047	-	4043078	protein_coding	0	3450.692669507034	11.753088300767464	2460	0	2598	0.9411786074870604	-0.5842045625699569
SC_RS20165			PucR family transcriptional regulator	HTH (other)	3982525	3983607	+	3982481	protein_coding	0	518.7933884135917	9.021794473135461	63	2	1083	-1.6504081941574402	-2.492936107064746
SC_RS19990			Crp/Fnr family transcriptional regulator	HTH (other)	3950326	3951000	+	3950265	protein_coding	0	1899.3081001643436	10.892017628767741	490	2	675	-0.2213786192614913	-1.333979817173209
SC_RS19230			helix-turn-helix domain-containing protein	HTH (other)	3786977	3787801	-	3787865	protein_coding	0	835.8035847293286	9.708745221641783	781	2	825	1.1801475153188778	0.4510767986446244
SC_RS19195			MarR family winged helix-turn-helix transcriptional regulator	MarR	3779785	3780231	-	3780301	protein_coding	0	180.81181979222836	7.506302183593454	571	3	447	-1.3306434253857695	-1.378878703553435
SC_RS18990			ATP-dependent Clp protease ATP-binding subunit	Sigma factor	3736431	3738956	-	3739093	protein_coding	0	26996.95684238463	14.72056261034803	193	3	2526	0.5164146483391235	-0.0709137192647442
SC_RS18920			Lrp/AsnC family transcriptional regulator	Lrp	3720125	3720577	-	3720577	protein_coding	0	35.22551022606931	5.178934104764419	1740	1	453	-0.2949793504757966	0.1880432238117716
SC_RS18895			SigE family RNA polymerase sigma factor	Sigma factor	3715604	3716137	+	3715515	protein_coding	0	3586.3194099998263	11.80869049126423	444	5	534	0.3591860452126257	-0.6833312780743299
SC_RS18720			ECF subfamily RNA polymerase sigma factor, BldN family	Sigma factor	3675181	3675975	+	3675098	protein_coding	0	3804.502687960816	11.893871323811865	1327	2	795	7.549826853336102	6.6317424972834855
SC_RS18125			sigma-70 family RNA polymerase sigma factor	Sigma factor	3510381	3511379	-	3511748	protein_coding	0	1347.4080964406353	10.39704147970415	96	3	999	0.2915230515511615	-0.4817014391254797
SC_RS18105			DeoR/GlpR family DNA-binding transcription regulator	DeoR	3505418	3506179	-	3506218	protein_coding	0	1599.91494625292	10.644680946745703	942	2	762	-0.1982441960944395	1.010472046035588
SC_RS17975			MerR family transcriptional regulator	MerR	3477824	3478471	+	3477824	protein_coding	0	98.66360574595696	6.638994865353799	46	3	648	-1.5446593892137368	-1.0864303272235214
SC_RS17945			TetR/AcrR family transcriptional regulator	TetR	3469606	3470205	-	3470267	protein_coding	0	487.8892849598296	8.933363975761562	1420	6	600	-0.4257906660143592	-1.1951014014923391
SC_RS17790			MarR family transcriptional regulator TamR	MarR	3434529	3435026	+	3434529	protein_coding	0	428.6635344118165	8.74706353040618	314	5	498	-0.4338245961618631	-0.699382931288424
SC_RS17455			RNA polymerase sigma factor SigF	Sigma factor	3360694	3361608	+	3360598	protein_coding	0	1170.95430876382	10.194700608854994	213	3	915	-1.1881778751323795	-2.610296401870956
SC_RS17430			response regulator transcription factor	Response regulator	3355990	3356667	-	3356667	protein_coding	0	1448.9902686120422	10.501827502507636	2023	0	678	0.4668719232189372	-0.6508592634966578
SC_RS17165			two-component system response regulator MtrA	Response regulator	3288890	3289579	-	3289567	protein_coding	0	2928.8661992683133	11.516619066012776	1566	3	690	-0.0965430792290759	-1.202774875772149
SC_RS17140			response regulator	LuxR	3281872	3282630	-	3282709	protein_coding	0	1733.902008374242	10.760638462725002	1092	4	759	1.6024025720841717	0.6355089530968789
SC_RS16145			ArsR/SmtB family transcription factor	HTH (other)	3070230	3070556	-	3070611	protein_coding	0	111.0455956627134	6.807942129649846	1007	1	327	-0.4866504761710769	-0.8824422814679996
SC_RS16060			LacI family DNA-binding transcriptional regulator	LacI	3049837	3050892	-	3051120	protein_coding	0	548.8928678157217	9.103006764546771	217	2	1056	-0.6934597498605036	-1.6364304760804471
SC_RS15850			LacI family DNA-binding transcriptional regulator	LacI	2999879	3000925	+	2999759	protein_coding	0	185.9979143141286	7.546878368842481	355	4	1047	-0.8557136270428685	-1.226961921224731
SC_RS14555			helix-turn-helix transcriptional regulator	HTH (other)	2698679	2699575	-	2699656	protein_coding	0	260.5901637232051	8.03116448361321	1356	4	897	1.2367478968388692	0.2286381429775764
SC_RS14495			TetR/AcrR family transcriptional regulator	TetR	2680340	2680924	+	2680340	protein_coding	0	128.2703299012433	7.014247375856771	524	1	585	0.2172356621312726	-0.2858178620353691
SC_RS14235			IclR family transcriptional regulator	MarR	2618647	2619420	-	2619473	protein_coding	0	262.2713762970686	8.040406865283021	1044	2	774	-0.8787910467248727	-1.3880668703730774
SC_RS14165			helix-turn-helix domain-containing protein	HTH (other)	2600318	2601529	+	2600215	protein_coding	0	155.95433362134705	7.294201053086045	1085	2	1212	3.9154492499711857	2.8643966373854615
SC_RS13190			LacI family DNA-binding transcriptional regulator	LacI	2400651	2401685	+	2400413	protein_coding	0	692.3324377178212	9.437403448700241	131	2	1035	-2.6587528765760107	-3.014788749218442
SC_RS12950			GntR family transcriptional regulator	GntR	2347778	2348401	+	2347731	protein_coding	0	653.0853907130269	9.353335181333675	518	3	624	0.1300448292815365	-1.2898013310861227
SC_RS12745			Lrp/AsnC family transcriptional regulator	Lrp	2301552	2301833	+	2301517	protein_coding	0	383.90994593054296	8.588377140111016	1010	2	282	0.4956689769917444	-0.7500513306067362
SC_RS12565			Rv2175c family DNA-binding protein	HTH (other)	2262881	2263246	-	2263246	protein_coding	0	675.3664912415974	9.401661376848073	962	2	366	-0.319994432494782	-1.7026448212157888
SC_RS12095			ANTAR domain-containing response regulator	Response regulator	2155123	2155779	-	2155815	protein_coding	0	1191.0138419514972	10.219185273481317	2154	0	657	-0.3758406132605544	-2.064527153271847
SC_RS11925			helix-turn-helix domain-containing protein	HTH (other)	2117906	2118766	-	2118959	protein_coding	0	238.1474000392997	7.9017562965043435	1377	1	861	-0.3773227941484326	-0.8747084925038044
SC_RS11665			helix-turn-helix transcriptional regulator	MarR	2058374	2059132	-	2059132	protein_coding	0	2556.061463762439	11.320271123536346	2498	0	759	0.3931407418762849	0.7742359628976325
SC_RS11390			IclR family transcriptional regulator	HTH (other)	2006250	2007023	+	2006120	protein_coding	0	158.09131782353435	7.313711294615831	645	8	774	-1.594216831330721	-1.698424264979871
SC_RS11090			FadR/GntR family transcriptional regulator	GntR	1942957	1943649	+	1942920	protein_coding	0	242.77467731540548	7.929404460077013	278	2	693	-2.4417335587764044	-2.836907214530434
SC_RS10650			GntR family transcriptional regulator	GntR	1848412	1848777	-	1848777	protein_coding	0	35.65460649028252	5.1959226122934625	3291	0	366	0.3167615741544625	-0.1157853729576694
SC_RS10500			redox-sensitive transcriptional activator SoxR	MerR	1818351	1818878	-	1818880	protein_coding	0	145.82449887206283	7.197948903543839	613	2	528	0.6242426317153026	-0.5825428847892447
SC_RS10300			IclR family transcriptional regulator	HTH (other)	1776737	1777501	+	1776458	protein_coding	0	207.3207130903755	7.70266248180387	3968	0	765	0.2105562944714867	-0.3803137052658828
SC_RS10105			helix-turn-helix domain-containing protein	HTH (other)	1731316	1731885	-	1732052	protein_coding	0	240.35608997217156	7.915019419547938	878	4	570	0.7134181602977548	0.8129407609316661
SC_RS10090			LysR family transcriptional regulator	LysR	1728427	1729404	-	1729404	protein_coding	0	298.72590778643485	8.227499983067522	130	5	978	-2.332742571167738	-2.1435285187980977
SC_RS09420			transcriptional regulator BldD	HTH (other)	1592381	1592884	+	1592318	protein_coding	0	2243.2913777022354	11.132044278735561	1311	3	504	-1.05479477317521	-1.899293122841404
SC_RS09265			Lrp/AsnC family transcriptional regulator	Lrp	1555656	1556108	-	1556255	protein_coding	0	75.45563935816001	6.256551013399451	1924	1	453	-2.674697000425491	-2.2725627893615954
SC_RS09210			ROK family transcriptional regulator	MarR	1543454	1544653	-	1544653	protein_coding	0	208.36747401887547	7.709893521649616	315	6	1200	-1.865642161634753	-1.963666659241621
SC_RS08870			MerR family transcriptional regulator	MerR	1459887	1460573	-	1460694	protein_coding	0	831.3973378340091	9.701128540840507	405	2	687	0.8808278556898363	-0.2706408177843331
SC_RS08435			Lrp/AsnC family transcriptional regulator	Lrp	1370221	1370712	+	1370221	protein_coding	0	87.26500484545677	6.4637696489201355	314	6	492	0.0994077549945447	-1.1713923221247935
SC_RS08265			ROK family transcriptional regulator	MarR	1331678	1332832	+	1331650	protein_coding	0	309.58939171943473	8.278864744628315	1135	1	1155	-0.3436851068784765	-0.9944948446192432
SC_RS08165			helix-turn-helix domain-containing protein	HTH (other)	1313856	1314716	+	1313737	protein_coding	0	141.13408168001263	7.15110872306905	2339	0	861	1.0992593010195535	0.2400207077282753
SC_RS08060			Lrp/AsnC family transcriptional regulator	Lrp	1292195	1292698	+	1292195	protein_coding	0	55.736857586434766	5.8262143429615385	1032	3	504	1.4546795036848732	0.1915124420552084
SC_RS08055			LytR/AlgR family response regulator transcription factor	Response regulator	1291356	1292117	-	1292172	protein_coding	0	23.063366764793404	4.588766602532814	1055	3	762	-0.1934556509338861	1.6918525458816194
SC_RS08005			TetR family transcriptional regulator	TetR	1281884	1282540	+	1281851	protein_coding	0	369.96259766935225	8.535129924121827	683	7	657	-1.2241958779201516	-1.445802888611411
SC_RS07625			purine salvage operon transcriptional regulator XdhR	TetR	1193398	1193988	+	1193304	protein_coding	0	215.25985933833545	7.756622096832896	914	1	591	-0.0180939979031007	-0.9354472770861716
SC_RS07545			Lrp/AsnC family transcriptional regulator	Lrp	1177797	1178273	+	1177741	protein_coding	0	26.43573840740651	4.777984500014181	487	5	477	-1.8153785651929175	-0.1849715032366867
SC_RS07425			TetR/AcrR family transcriptional regulator	TetR	1152798	1153376	+	1152798	protein_coding	0	155.0093276500923	7.285488478812466	2920	0	579	-1.0576162161470033	-1.3286236481892786
SC_RS07085			DeoR/GlpR family DNA-binding transcription regulator	DeoR	1084395	1085219	+	1084307	protein_coding	0	588.8064354350477	9.204097753645344	958	2	825	-1.5092560605737335	-1.6379612583682632
SC_RS06310			helix-turn-helix transcriptional regulator	LuxR	922247	924913	+	922247	protein_coding	1	654.9005041217672	9.357333173677873	170	2	2667	1.688781934919955	0.3646558250554286
SC_RS04925			RNA polymerase sigma factor SigF	Sigma factor	639859	640704	+	639810	protein_coding	0	554.6901747342122	9.118136921717722	883	3	846	-1.2591318297701912	-1.2623042038035506
SC_RS04060			TetR/AcrR family transcriptional regulator	TetR	447245	447868	+	447193	protein_coding	0	164.06032145099752	7.366849544879196	113	3	624	-1.2501528217472195	-1.7572787909129055
SC_RS03980			RNA polymerase sigma factor SigJ	Sigma factor	432617	433513	-	433679	protein_coding	0	105.63573597238538	6.736547187631525	436	2	897	0.2039989649477898	0.1866994321487384
