timepoint	motif_start	strand
T1	2743801	-
T1	2767851	-
T1	2776710	-
T1	2778660	-
T1	2780316	-
T1	2780445	-
T1	2804117	-
T1	2811127	-
T1	2848533	+
T1	2854562	+
T1	2854829	+
T1	2893662	+
T1	2901015	-
T1	2922117	+
T1	2957741	-
T1	2967284	+
T1	2976601	-
T1	2980761	+
T1	2994533	-
T1	3017947	-
T1	3032598	+
T1	3032650	-
T1	3034681	+
T1	3038104	+
T1	3074063	-
T1	3090221	+
T1	3147379	+
T1	3187594	-
T1	3202930	-
T1	3206945	+
T1	3221244	-
T1	3291265	+
T1	3301968	-
T1	3322634	+
T1	3336233	+
T1	3337555	+
T1	3341976	-
T1	3345421	+
T1	3358874	+
T1	3370633	-
T1	3376220	+
T1	3384174	+
T1	3386592	-
T1	3392291	-
T1	3413016	-
T1	3419248	+
T1	3438374	-
T1	3446158	-
T1	3446428	-
T1	3446530	-
T1	3447410	-
T1	3469988	-
T1	3481040	+
T1	3484387	+
T1	3521389	+
T1	3563174	-
T1	3620285	-
T1	3638361	+
T1	3658320	+
T1	3666188	+
T1	3672785	-
T1	3690747	-
T1	3715070	+
T1	3718835	-
T1	3738894	-
T1	3740979	-
T1	3742018	-
T1	3742111	-
T1	3758266	-
T1	3770308	+
T1	3770474	-
T1	3773891	-
T1	3779730	+
T1	3783165	-
T1	3788644	-
T1	3818188	+
T1	3825682	+
T1	3826784	+
T1	3830897	-
T1	3843041	+
T1	3855272	+
T1	3878111	-
T1	3897447	+
T1	3907580	+
T1	3909879	+
T1	3918011	+
T1	3921534	-
T1	3926928	-
T1	3937988	-
T1	3943631	-
T1	3960369	+
T1	4037634	-
T1	4079728	+
T1	4088375	+
T1	4098015	-
T1	4114594	-
T1	4117351	+
T1	4129192	-
T1	4134416	+
T1	4141751	+
T1	4145034	+
T1	4149349	-
T1	4165195	+
T1	4166176	+
T1	4168526	+
T1	4168538	+
T1	4173636	-
T1	4173881	+
T1	4179014	+
T1	4209704	-
T1	4226862	-
T1	4237133	-
T1	4244956	+
T1	4256582	+
T1	4263169	-
T1	4275123	+
T1	4290572	+
T1	4292175	+
T1	4306580	-
T1	4311678	-
T1	4317750	-
T1	4345170	-
T1	4345439	-
T1	4363910	-
T1	4367770	-
T1	4367839	-
T1	4376355	+
T1	4380749	+
T1	4384626	-
T1	4390054	-
T1	4452336	-
T1	4454316	+
T1	4459595	+
T1	4481498	-
T1	4508895	+
T1	4531247	+
T1	4544892	+
T1	4575035	+
T1	4581838	+
T1	4588611	+
T1	4608283	+
T1	4632104	-
T1	4646711	-
T1	4656577	-
T1	4663819	+
T1	4669460	+
T1	4669535	+
T1	4671073	+
T1	4695344	+
T1	4727612	+
T1	4756414	-
T1	4760552	-
T1	4761764	-
T1	4763284	+
T1	4797942	-
T1	4815052	+
T1	4824042	-
T1	4840209	+
T1	4848483	+
T1	4848648	+
T1	4848927	+
T1	4861410	-
T1	4863478	+
T1	4872335	-
T1	4881945	+
T1	4885753	-
T1	4890339	+
T1	4922078	+
T1	4927050	-
T1	4942196	-
T1	4948212	+
T1	4951253	-
T1	4969613	+
T1	4975771	-
T1	4979672	+
T1	4983871	-
T1	4985941	+
T1	4994694	+
T1	4998989	+
T1	5049763	+
T1	5060014	+
T1	5077381	+
T1	5081730	+
T1	5092058	-
T1	5136506	+
T1	5146692	-
T1	5155288	+
T1	5166538	+
T1	5167763	+
T1	5186830	+
T1	5190162	+
T1	5199465	+
T1	5200095	+
T1	5209384	-
T1	5231637	-
T1	5233148	-
T1	5233883	+
T1	5241339	+
T1	5249973	-
T1	5261448	+
T1	5263060	+
T1	5269069	+
T1	5272247	+
T1	5279586	-
T1	5335652	+
T1	5338840	-
T1	5345800	+
T1	5351751	+
T1	5369000	+
T1	5370001	-
T1	5395917	+
T1	5395967	+
T1	5399557	-
T1	5402834	+
T1	5407711	+
T1	5411816	+
T1	5428537	+
T1	5437958	-
T1	5462052	-
T1	5462366	-
T1	5520871	+
T1	5538696	-
T1	5547231	+
T1	5554072	+
T1	5555095	+
T1	5555374	+
T1	5576108	+
T1	5576888	+
T1	5577918	+
T1	5587979	-
T1	5597295	+
T1	5598014	+
T1	5598023	+
T1	5598032	+
T1	5614296	-
T1	5631606	+
T1	5651163	-
T1	5652010	+
T1	5652731	-
T1	5693194	+
T1	5753336	-
T1	5753474	-
T1	5792799	-
T1	5837177	+
T1	5846938	+
T1	5861373	-
T1	5886952	+
T1	5888511	-
T1	5890367	-
T1	5903472	+
T1	5926816	-
T1	5937944	+
T1	5956872	-
T1	5974529	+
T1	5984875	+
T1	5995006	-
T1	6004403	+
T1	6007831	+
T1	6021310	-
T1	6033431	-
T1	6058275	+
T1	6059026	+
T1	6065122	+
T1	6112592	+
T1	6130221	-
T1	6143024	+
T1	6164126	+
T1	6165411	+
T1	6172432	-
T1	6175231	+
T1	6200799	+
T1	6216858	+
T1	6216987	+
T1	6220627	-
T1	6223682	-
T1	6244011	+
T1	6252207	-
T1	6269774	+
T1	6270570	+
T1	6286267	+
T1	6289735	+
T1	6296485	-
T1	6323735	+
T1	6325730	+
T1	6334867	+
T1	6360015	+
T1	6363774	-
T1	6368226	-
T1	6370535	-
T1	6382589	-
T1	6397210	+
T1	6463120	+
T1	6485079	+
T1	6485788	+
T1	6542794	+
T1	6547212	+
T1	6566615	+
T1	6583851	+
T1	6596536	+
T1	6624375	+
T1	6668896	+
T1	6695733	-
T1	6710217	+
T1	6711767	+
T1	6712370	+
T1	6716616	-
T1	6744699	+
T1	6763424	+
T1	6763991	+
T1	6767950	+
T1	6794672	-
T1	6808338	-
T1	6812698	+
T1	6835500	+
T1	6842192	+
T1	6874316	+
T1	6879641	+
T1	6941575	+
T1	6965956	-
T1	6967967	-
T1	7021005	+
T1	7031063	-
T1	7039487	-
T1	7051436	+
T1	7055990	+
T1	7060747	+
T1	7061827	+
T1	7102887	-
T1	7105960	+
T1	7107817	+
T1	7123217	+
T1	7135546	+
T1	7259106	-
T1	7289117	+
T1	7290285	-
T1	7324704	-
T1	7335037	-
T1	7346560	+
T1	7376402	+
T1	7392220	-
T1	7397690	-
T1	7484194	+
T1	7489803	-
T1	7513985	+
T1	7546045	+
T1	7615291	-
T1	7620810	-
T1	7634339	-
T1	7663066	+
T1	7667296	+
T1	7676154	-
T1	7796765	+
T1	7830084	-
T1	7881437	-
T1	7905878	+
T1	7923186	+
T1	7959392	-
T1	7961394	-
T1	7992328	-
T1	8023237	+
T1	8118464	+
T1	8218876	-
T1	8219593	-
T1	8285300	+
T1	8315299	+
T1	8369556	+
T1	8400987	+
T1	8479403	+
T1	8528286	-
T1	8540335	-
T1	8568964	+
T1	8584321	-
T1	8625535	-
T1	8655848	-
T1	8663514	+
T1	8667371	+
T2	129	-
T2	3986	-
T2	7322	-
T2	11652	+
T2	23405	+
T2	31826	-
T2	43753	+
T2	52709	+
T2	57317	-
T2	59890	+
T2	72030	+
T2	80983	+
T2	82122	-
T2	82881	-
T2	96095	-
T2	97715	-
T2	101059	+
T2	120742	-
T2	127244	-
T2	131479	-
T2	157430	+
T2	166674	+
T2	173000	-
T2	186458	+
T2	190348	+
T2	190480	+
T2	195422	-
T2	195942	+
T2	201830	+
T2	206077	-
T2	208454	-
T2	222430	+
T2	224082	+
T2	232456	+
T2	240260	-
T2	255670	+
T2	261873	-
T3	3986	-
T3	7322	-
T3	23405	+
T3	31826	-
T3	43753	+
T3	72030	+
T3	82881	-
T3	97715	-
T3	101059	+
T3	120742	-
T3	127244	-
T3	157430	+
T3	166674	+
T3	186458	+
T3	190348	+
T3	190480	+
T3	191485	+
T3	195422	-
T3	206077	-
T3	208454	-
T3	222430	+
T3	232456	+
T3	234632	-
T3	240260	-
T3	255670	+
T3	299927	+
T3	307450	-
T3	317893	+
T3	321880	-
T3	327700	+
T3	337718	+
T3	357889	+
T3	365992	+
T3	371040	-
T3	371574	-
T3	391204	+
T3	409395	+
T3	467033	+
T3	481753	-
T3	489298	-
T3	506101	+
T3	534740	-
T3	536313	-
