name	locus_tag	tier	category	bgc	strand	start	end	6mA_T1_count	6mA_T1_freq	6mA_T2_count	6mA_T2_freq	6mA_T3_count	6mA_T3_freq	4mC_T1_count	4mC_T1_freq	4mC_T2_count	4mC_T2_freq	4mC_T3_count	4mC_T3_freq	total_meth_T1	total_meth_T2	total_meth_T3	log2FC_T2vsT1	padj_T2vsT1	log2FC_T3vsT1	padj_T3vsT1	log2FC_T3vsT2	padj_T3vsT2	6mA_change_T2vsT1	6mA_change_T3vsT1	6mA_change_T3vsT2	4mC_change_T2vsT1	4mC_change_T3vsT1	4mC_change_T3vsT2	expr_change_T2vsT1	expr_change_T3vsT1	expr_change_T3vsT2	combined_coordination_T2vsT1	combined_coordination_T3vsT1	combined_coordination_T3vsT2	promoter_sites	has_AAGCCCG	motif_positions
afsS	SC_RS24290	1	global		-	4842382	4842573	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	3.0437423354372095	3.955657029836234e-26	3.069126511918816	1.1457923143013215e-26	0.0245160044094365	0.941819191662051	absent	absent	absent	absent	absent	absent	up	up	stable	expr_only	expr_only	no_change	0	False	
crp	SC_RS19990	1	global		+	3950326	3951000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-0.2213786192614913	0.3758747181073207	-1.333979817173209	1.1935283545747824e-08	-1.1010497697914536	3.8063520191476927e-06	absent	absent	absent	absent	absent	absent	stable	down	down	no_change	expr_only	expr_only	0	False	
dasR	SC_RS28335	1	global		-	5691072	5691836	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-0.8772459390097801	1.414165512046845e-05	-1.1825421868300867	1.3638931830624212e-09	-0.2952061270269837	0.167655223578847	absent	absent	absent	absent	absent	absent	mild_change	down	stable	expr_only	expr_only	no_change	0	False	
absA2	SC_RS18245	2	pleiotropic		+	3538679	3539347	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.948799424560244	3.8856279285358134e-05	0.5403133470339974	0.0175229390864308	-0.39908625727976	0.0866232899597614	absent	absent	absent	absent	absent	absent	mild_change	mild_change	stable	expr_only	expr_only	no_change	0	False	
absA1	SC_RS18240	2	pleiotropic		+	3536945	3538660	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	2.1995931224098624	2.165481344834267e-17	2.7250091300866304	5.104086381675095e-26	0.494241935705737	0.055013569071653	absent	absent	absent	absent	absent	absent	up	up	stable	expr_only	expr_only	no_change	0	False	
absB	SC_RS30075	2	pleiotropic		+	6069975	6070805	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.885735129671511	1.066708027018942e-19	-3.2177415280016035	1.0436191112529051e-53	-1.2952602613051518	1.1460464753772075e-09	absent	absent	absent	absent	absent	absent	down	down	down	expr_only	expr_only	expr_only	0	False	
afsQ1	SC_RS26695	2	pleiotropic		-	5339525	5340202	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.4448293409983173	1.356600491139982e-12	-2.329414784975276	2.8644506619234738e-30	-0.8555828030371742	4.1771650930285744e-05	absent	absent	absent	absent	absent	absent	down	down	mild_change	expr_only	expr_only	expr_only	0	False	
afsQ2	SC_RS26690	2	pleiotropic		-	5337921	5339528	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.258153952747587	2.8596129482100783e-11	-2.3120036446812424	2.68691805182763e-34	-1.0268785700429646	1.2777110463486434e-07	absent	absent	absent	absent	absent	absent	down	down	down	expr_only	expr_only	expr_only	0	False	
nsdA	SC_RS30130	2	pleiotropic		+	6084219	6085721	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	6.63799867067266	1.7445191411059716e-155	6.055522344586505	1.6876304870632495e-129	-0.5539086049982054	0.0138138821485793	absent	absent	absent	absent	absent	absent	up	up	mild_change	expr_only	expr_only	expr_only	0	False	
nsdB	SC_RS11445	2	pleiotropic		-	2016628	2018172	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-0.4693596814994021	0.1334656930858168	0.6014813401240704	0.0301226810035638	1.0903878261773745	0.0002548191117428108	absent	absent	absent	absent	absent	absent	stable	mild_change	up	no_change	expr_only	expr_only	0	False	
wblA	SC_RS20030	2	pleiotropic		-	3957444	3957782	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	6.323592911041734	2.303745133430902e-136	5.598818447665191	4.019003144520716e-107	-0.6890209490729567	0.0047884307709103	absent	absent	absent	absent	absent	absent	up	up	mild_change	expr_only	expr_only	expr_only	0	False	
actII-ORF4	SC_RS27585	3	csr	act	+	5528094	5528861	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.9854878028690233	4.664076720967501e-14	6.435870540124959	6.340036627731633e-136	4.401681273271182	4.3009237815193156e-70	absent	absent	absent	absent	absent	absent	up	up	up	expr_only	expr_only	expr_only	0	False	
redD	SC_RS31630	3	csr	red	+	6432812	6433618	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	5.7894075874883155	5.717037494598303e-87	4.998883834533164	3.458716656384043e-65	-0.7498722581039922	0.0027863849849283	absent	absent	absent	absent	absent	absent	up	up	mild_change	expr_only	expr_only	expr_only	0	False	
redZ	SC_RS31650	3	csr	red	-	6438206	6438859	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.9068138863503556	3.114102431006804e-05	0.9663293723417876	6.189143763629263e-06	0.0582768238324108	0.8102587688180584	absent	absent	absent	absent	absent	absent	mild_change	mild_change	stable	expr_only	expr_only	no_change	0	False	
cdaR	SC_RS18200	3	csr	cda	+	3529272	3531188	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	6.850365978212149	9.1400906067725e-162	5.758747449978721	1.3139907498249732e-114	-1.0506068239758557	1.3890689805693798e-05	absent	absent	absent	absent	absent	absent	up	up	down	expr_only	expr_only	expr_only	0	False	
cpkO/kasO	SC_RS33650	3	csr	cpk	+	6938024	6939643	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	7.177587903839435	3.3460251875646325e-172	5.210139159581922	2.4175569255900162e-91	-1.9240330058261077	3.7603984693287766e-16	absent	absent	absent	absent	absent	absent	up	up	down	expr_only	expr_only	expr_only	0	False	
papR2	SC_RS35040	3	csr	multiple	+	7272140	7273186	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.286284063704432	0.0005444035115984264	6.536027529583003	4.575667881095423e-73	5.147423447291335	8.258080707297387e-53	absent	absent	absent	absent	absent	absent	up	up	up	expr_only	expr_only	expr_only	0	False	
hrdB	SC_RS31340	1	sigma		+	6367665	6369200	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-0.2685324365602969	0.2376659497301773	-0.7883781230324853	0.00020011119704160056	-0.5167558661612791	0.017712251329135	absent	absent	absent	absent	absent	absent	stable	mild_change	mild_change	no_change	expr_only	expr_only	0	False	
hrdA	SC_RS19450	2	sigma		+	3824306	3825016	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-0.4991356673206462	0.2114520919141297	1.666314199276429	5.534433500392536e-07	2.2273896771131163	5.667547701243793e-09	absent	absent	absent	absent	absent	absent	stable	up	up	no_change	expr_only	expr_only	0	False	
hrdC	SC_RS30330	2	sigma		+	6121043	6121885	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	2.003051039898683	1.342185265481569e-15	1.84381974920077	6.350764449166607e-14	-0.1519860927881058	0.5141903518050053	absent	absent	absent	absent	absent	absent	up	up	stable	expr_only	expr_only	no_change	0	False	
hrdD	SC_RS18125	2	sigma		-	3510381	3511379	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.2915230515511615	0.257102166830076	-0.4817014391254797	0.046857563238997	-0.7776321179039869	0.0015435488400562	absent	absent	absent	absent	absent	absent	stable	mild_change	mild_change	no_change	expr_only	expr_only	0	False	
sigE	SC_RS18895	2	sigma		+	3715604	3716137	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.3591860452126257	0.1722209771603981	-0.6833312780743299	0.0063357545366833	-1.0518458604804255	3.617823421074415e-05	absent	absent	absent	absent	absent	absent	stable	mild_change	down	no_change	expr_only	expr_only	0	False	
sigH	SC_RS28395	2	sigma		-	5704007	5705071	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.0293094468069504	1.4876945961099657e-06	0.1574896792415155	0.4743639058572682	-0.8672842356022757	5.4098936997249365e-05	absent	absent	absent	absent	absent	absent	up	stable	mild_change	expr_only	no_change	expr_only	0	False	
sigR	SC_RS28260	2	sigma		+	5675219	5675902	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.6882147654829212	4.943823392400908e-12	0.1000394418578028	0.7192257165740392	-1.5953128449932463	1.2777634985993635e-10	absent	absent	absent	absent	absent	absent	up	stable	down	expr_only	no_change	expr_only	0	False	
sigF	SC_RS22295	2	sigma		-	4431932	4432795	0	0.0	0	0.0	0	0.0	1	60.99	1	58.16	1	57.78	1	1	1	-0.7328712147614266	0.1594687742006292	2.07904608058758	5.796505972705787e-06	2.99482937942035	6.883412967393349e-08	absent	absent	absent	stable	stable	stable	stable	up	up	no_change	expr_only	expr_only	1	False	
sigB	SC_RS04925	2	sigma		+	639859	640704	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	-1.2591318297701912	6.036519699991251e-07	-1.2623042038035506	3.641081436198965e-07	-0.0004399589314628136	0.99705599641931	absent	absent	absent	absent	absent	absent	down	down	stable	expr_only	expr_only	no_change	0	False	
sigU	SC_RS16875	2	sigma		-	3212154	3212678	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	1.954392305951057	7.476561336417773e-11	3.13004533177038	1.89247249618401e-26	1.116940044830664	4.399676609870688e-05	absent	absent	absent	absent	absent	absent	up	up	up	expr_only	expr_only	expr_only	0	False	
