position	site_strand	locus_tag	old_locus_tag	gene_name	gene_start	gene_end	gene_strand	product	distance	location	within_500bp	within_2kb	timepoint	region
31832	-	SC_RS02235	SCO0041		33360	33845	+	hypothetical protein	1528	upstream	False	True	T1	arm
82127	-	SC_RS00430	SCP1.81		79999	80421	+	hypothetical protein	1706	downstream_far	False	True	T1	arm
82127	-	SC_RS00435	SCP1.82		80439	81284	+	IS5 family transposase	843	downstream_far	False	True	T1	arm
82127	-	SC_RS02480	SCO0097		80845	81165	-	hypothetical protein	962	upstream	False	True	T1	arm
82127	-	SC_RS00440			81294	81893	-	hypothetical protein	234	promoter	True	True	T1	arm
82127	-	SC_RS02485	SCO0098		81602	82441	-	IS5-like element ISSco3 family transposase	0	gene_body	True	True	T1	arm
82127	-	SC_RS00445			81921	82391	-	hypothetical protein	0	gene_body	True	True	T1	arm
82127	-	SC_RS00450	SCP1.85		82970	83170	+	hypothetical protein	843	upstream	False	True	T1	arm
82127	-	SC_RS00455	SCP1.85c		83371	84690	-	hypothetical protein	1244	downstream_far	False	True	T1	arm
82127	-	SC_RS02495	SCO0101		83516	84235	-	DUF2625 domain-containing protein	1389	downstream_far	False	True	T1	arm
82128	-	SC_RS00430	SCP1.81		79999	80421	+	hypothetical protein	1707	downstream_far	False	True	T1	arm
82128	-	SC_RS00435	SCP1.82		80439	81284	+	IS5 family transposase	844	downstream_far	False	True	T1	arm
82128	-	SC_RS02480	SCO0097		80845	81165	-	hypothetical protein	963	upstream	False	True	T1	arm
82128	-	SC_RS00440			81294	81893	-	hypothetical protein	235	promoter	True	True	T1	arm
82128	-	SC_RS02485	SCO0098		81602	82441	-	IS5-like element ISSco3 family transposase	0	gene_body	True	True	T1	arm
82128	-	SC_RS00445			81921	82391	-	hypothetical protein	0	gene_body	True	True	T1	arm
82128	-	SC_RS00450	SCP1.85		82970	83170	+	hypothetical protein	842	upstream	False	True	T1	arm
82128	-	SC_RS00455	SCP1.85c		83371	84690	-	hypothetical protein	1243	downstream_far	False	True	T1	arm
82128	-	SC_RS02495	SCO0101		83516	84235	-	DUF2625 domain-containing protein	1388	downstream_far	False	True	T1	arm
82886	-	SC_RS00435	SCP1.82		80439	81284	+	IS5 family transposase	1602	downstream_far	False	True	T1	arm
82886	-	SC_RS02480	SCO0097		80845	81165	-	hypothetical protein	1721	upstream	False	True	T1	arm
82886	-	SC_RS00440			81294	81893	-	hypothetical protein	993	upstream	False	True	T1	arm
82886	-	SC_RS02485	SCO0098		81602	82441	-	IS5-like element ISSco3 family transposase	445	promoter	True	True	T1	arm
82886	-	SC_RS00445			81921	82391	-	hypothetical protein	495	promoter	True	True	T1	arm
82886	-	SC_RS00450	SCP1.85		82970	83170	+	hypothetical protein	84	promoter	True	True	T1	arm
82886	-	SC_RS00455	SCP1.85c		83371	84690	-	hypothetical protein	485	downstream	True	True	T1	arm
82886	-	SC_RS02495	SCO0101		83516	84235	-	DUF2625 domain-containing protein	630	downstream_far	False	True	T1	arm
127250	-	SC_RS02625	SCO0132		122743	125502	+	helix-turn-helix transcriptional regulator	1748	downstream_far	False	True	T1	arm
127250	-	SC_RS00710	SCP1.136		125422	127911	+	helicase associated domain-containing protein	0	gene_body	True	True	T1	arm
127250	-	SC_RS02630	SCO0133		125625	126005	-	hypothetical protein	1245	upstream	False	True	T1	arm
127250	-	SC_RS02635	SCO0135		127571	128290	+	alpha/beta fold hydrolase	321	promoter	True	True	T1	arm
127250	-	SC_RS02640	SCO0136		128634	130184	-	PTS ascorbate transporter subunit IIC	1384	downstream_far	False	True	T1	arm
127250	-	SC_RS00715	SCP1.138		128828	130090	+	ParA family protein	1578	upstream	False	True	T1	arm
173006	-	SC_RS00915	SCP1.176		169131	172742	+	LysM peptidoglycan-binding domain-containing protein	264	downstream	True	True	T1	arm
173006	-	SC_RS00920	SCP1.177		173067	173675	+	hypothetical protein	61	promoter	True	True	T1	arm
173006	-	SC_RS00925			173781	173927	-	hypothetical protein	775	downstream_far	False	True	T1	arm
173006	-	SC_RS02875	SCO0185		173801	174946	+	polyprenyl synthetase family protein	795	upstream	False	True	T1	arm
173006	-	SC_RS00930	SCP1.179		173994	174191	+	hypothetical protein	988	upstream	False	True	T1	arm
173006	-	SC_RS00935	SCP1.180		174205	174516	+	hypothetical protein	1199	upstream	False	True	T1	arm
173006	-	SC_RS00940			174626	175174	-	hypothetical protein	1620	downstream_far	False	True	T1	arm
173006	-	SC_RS02880	SCO0186	crtI	174943	176514	+	phytoene desaturase family protein	1937	upstream	False	True	T1	arm
229696	-	SC_RS01170	SCP1.224c	dnaE	224350	227952	-	DNA polymerase III subunit alpha	1744	upstream	False	True	T1	arm
229696	-	SC_RS03125	SCO0239		227081	228154	-	protein kinase family protein	1542	upstream	False	True	T1	arm
229696	-	SC_RS03130	SCO0240		228714	229649	-	oxidoreductase	47	promoter	True	True	T1	arm
229696	-	SC_RS01175	SCP1.225		228863	229135	+	hypothetical protein	561	downstream_far	False	True	T1	arm
229696	-	SC_RS01180	SCP1.226		229132	229518	+	PIN domain-containing protein	178	downstream	True	True	T1	arm
229696	-	SC_RS01185	SCP1.227		229812	230153	+	hypothetical protein	116	promoter	True	True	T1	arm
229696	-	SC_RS03135	SCO0241		229995	230669	+	TetR/AcrR family transcriptional regulator	299	promoter	True	True	T1	arm
229696	-	SC_RS01190	SCP1.227c		230263	230826	-	Rossmann-fold NAD(P)-binding domain-containing protein	567	downstream_far	False	True	T1	arm
229696	-	SC_RS01195			230887	231129	+	hypothetical protein	1191	upstream	False	True	T1	arm
229696	-	SC_RS03140	SCO0242		231022	231465	+	VOC family protein	1326	upstream	False	True	T1	arm
229696	-	SC_RS03145	SCO0243		231475	231654	+	hypothetical protein	1779	upstream	False	True	T1	arm
229696	-	SC_RS01200	SCP1.228c		231676	232200	-	flavin reductase family protein	1980	downstream_far	False	True	T1	arm
240265	-	SC_RS01240	SCP1.233B		238242	239240	+	beta-ketoacyl-ACP synthase III	1025	downstream_far	False	True	T1	arm
240265	-	SC_RS03170	SCO0249		238280	239794	-	monooxygenase	471	promoter	True	True	T1	arm
240265	-	SC_RS01245	SCP1.234		239304	239552	+	acyl carrier protein	713	downstream_far	False	True	T1	arm
240265	-	SC_RS01250	SCP1.235		239676	240374	+	HAD-IB family hydrolase	0	gene_body	True	True	T1	arm
240265	-	SC_RS03175	SCO0250		239858	240523	+	TetR/AcrR family transcriptional regulator	0	gene_body	True	True	T1	arm
240265	-	SC_RS01255	SCP1.236		240371	240991	+	ATP/GTP-binding protein	106	promoter	True	True	T1	arm
240265	-	SC_RS03180	SCO0252		240876	242123	-	FAD-dependent monooxygenase	611	downstream_far	False	True	T1	arm
240265	-	SC_RS01260	SCP1.237c		241054	242481	-	MFS transporter	789	downstream_far	False	True	T1	arm
240265	-	SC_RS03185	SCO0253		242203	242766	+	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	1938	upstream	False	True	T1	arm
321885	-	SC_RS01685	SCP1.316		319607	320569	+	IS5-like element IS4811 family transposase	1316	downstream_far	False	True	T1	arm
321885	-	SC_RS03515	SCO0320		320113	320583	+	zinc-binding dehydrogenase	1302	downstream_far	False	True	T1	arm
321885	-	SC_RS03520	SCO0321		320720	322255	+	carboxylesterase/lipase family protein	0	gene_body	True	True	T1	arm
321885	-	SC_RS01690	SCP1.317c		320862	321857	-	SDR family NAD(P)-dependent oxidoreductase	28	promoter	True	True	T1	arm
321885	-	SC_RS01695	SCP1.318		321944	322858	+	AraC family transcriptional regulator	59	promoter	True	True	T1	arm
321885	-	SC_RS03525	SCO0322		322244	323938	-	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	359	downstream	True	True	T1	arm
321885	-	SC_RS01700	SCP1.319c		323169	323468	-	hypothetical protein	1284	downstream_far	False	True	T1	arm
321885	-	SC_RS01705	SCP1.320c		323625	324563	-	SpoIIE family protein phosphatase	1740	downstream_far	False	True	T1	arm
321886	-	SC_RS01685	SCP1.316		319607	320569	+	IS5-like element IS4811 family transposase	1317	downstream_far	False	True	T1	arm
321886	-	SC_RS03515	SCO0320		320113	320583	+	zinc-binding dehydrogenase	1303	downstream_far	False	True	T1	arm
321886	-	SC_RS03520	SCO0321		320720	322255	+	carboxylesterase/lipase family protein	0	gene_body	True	True	T1	arm
321886	-	SC_RS01690	SCP1.317c		320862	321857	-	SDR family NAD(P)-dependent oxidoreductase	29	promoter	True	True	T1	arm
321886	-	SC_RS01695	SCP1.318		321944	322858	+	AraC family transcriptional regulator	58	promoter	True	True	T1	arm
321886	-	SC_RS03525	SCO0322		322244	323938	-	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	358	downstream	True	True	T1	arm
321886	-	SC_RS01700	SCP1.319c		323169	323468	-	hypothetical protein	1283	downstream_far	False	True	T1	arm
321886	-	SC_RS01705	SCP1.320c		323625	324563	-	SpoIIE family protein phosphatase	1739	downstream_far	False	True	T1	arm
321887	-	SC_RS01685	SCP1.316		319607	320569	+	IS5-like element IS4811 family transposase	1318	downstream_far	False	True	T1	arm
321887	-	SC_RS03515	SCO0320		320113	320583	+	zinc-binding dehydrogenase	1304	downstream_far	False	True	T1	arm
321887	-	SC_RS03520	SCO0321		320720	322255	+	carboxylesterase/lipase family protein	0	gene_body	True	True	T1	arm
321887	-	SC_RS01690	SCP1.317c		320862	321857	-	SDR family NAD(P)-dependent oxidoreductase	30	promoter	True	True	T1	arm
321887	-	SC_RS01695	SCP1.318		321944	322858	+	AraC family transcriptional regulator	57	promoter	True	True	T1	arm
321887	-	SC_RS03525	SCO0322		322244	323938	-	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	357	downstream	True	True	T1	arm
321887	-	SC_RS01700	SCP1.319c		323169	323468	-	hypothetical protein	1282	downstream_far	False	True	T1	arm
321887	-	SC_RS01705	SCP1.320c		323625	324563	-	SpoIIE family protein phosphatase	1738	downstream_far	False	True	T1	arm
357890	+	SC_RS03665	SCO0351		355713	357158	+	hypothetical protein	732	downstream_far	False	True	T1	arm
357890	+	SC_RS03670	SCO0352		357203	358477	+	ABC transporter substrate-binding protein	0	gene_body	True	True	T1	arm
357890	+	SC_RS03675	SCO0353		358481	359392	+	carbohydrate ABC transporter permease	591	upstream	False	True	T1	arm
357890	+	SC_RS03680	SCO0354		359389	360231	+	carbohydrate ABC transporter permease	1499	upstream	False	True	T1	arm
467034	+	SC_RS04135	SCO0445		464207	465502	-	hypothetical protein	1532	upstream	False	True	T1	arm
467034	+	SC_RS04140	SCO0446		465496	465849	-	hypothetical protein	1185	upstream	False	True	T1	arm
467034	+	SC_RS04145	SCO0447		465990	466436	+	MarR family winged helix-turn-helix transcriptional regulator	598	downstream_far	False	True	T1	arm
467034	+	SC_RS04150			466429	466764	+	MFS transporter	270	downstream	True	True	T1	arm
467034	+	SC_RS04155	SCO0448		466758	467909	+	MFS transporter	0	gene_body	True	True	T1	arm
467034	+	SC_RS04160	SCO0449	rhaS	468153	469232	+	rhamnose ABC transporter substrate-binding protein	1119	upstream	False	True	T1	arm
493898	-	SC_RS04270	SCO0471		491901	492881	+	helix-turn-helix domain-containing protein	1017	downstream_far	False	True	T1	arm
493898	-	SC_RS04275	SCO0472	aztD	493055	494263	-	zinc metallochaperone AztD	0	gene_body	True	True	T1	arm
493898	-	SC_RS04280	SCO0473	aztC	494260	495249	-	zinc ABC transporter substrate-binding protein AztC	362	downstream	True	True	T1	arm
493898	-	SC_RS04285	SCO0474		495246	496493	-	lipoprotein	1348	downstream_far	False	True	T1	arm
580713	+	SC_RS04630	SCO0543		578092	579228	+	M23 family metallopeptidase	1485	downstream_far	False	True	T1	arm
580713	+	SC_RS04635	SCO0544		579257	580789	+	CYTH and CHAD domain-containing protein	0	gene_body	True	True	T1	arm
580713	+	SC_RS04640	SCO0545		580913	583459	+	discoidin domain-containing protein	200	promoter	True	True	T1	arm
609829	+	SC_RS04740	SCO0564		606677	607837	-	oxygenase MpaB family protein	1992	upstream	False	True	T1	arm
609829	+	SC_RS04745	SCO0565		607851	608909	-	polyprenyl synthetase family protein	920	upstream	False	True	T1	arm
609829	+	SC_RS04750	SCO0566		608902	609186	-	hypothetical protein	643	upstream	False	True	T1	arm
609829	+	SC_RS04755	SCO0567		609517	610356	+	IS5-like element ISSco3 family transposase	0	gene_body	True	True	T1	arm
609829	+	SC_RS04760	SCO0568		610415	611488	-	polyprenyl synthetase family protein	586	downstream_far	False	True	T1	arm
609829	+	SC_RS04765			611653	612003	+	hypothetical protein	1824	upstream	False	True	T1	arm
631017	-	SC_RS04860	SCO0587		628600	629019	-	roadblock/LC7 domain-containing protein	1998	upstream	False	True	T1	arm
631017	-	SC_RS04865	SCO0588		629185	630912	-	sensor histidine kinase	105	promoter	True	True	T1	arm
631017	-	SC_RS04870	SCO0589		631216	632103	-	LysR family transcriptional regulator	199	downstream	True	True	T1	arm
631017	-	SC_RS04875	SCO0590		632189	633049	+	PhzF family phenazine biosynthesis isomerase	1172	upstream	False	True	T1	arm
648235	+	SC_RS04955	SCO0606		646345	647319	+	hypothetical protein	916	downstream_far	False	True	T1	arm
648235	+	SC_RS04960	SCO0607		647444	647731	+	SCO0607 family lipoprotein	504	downstream_far	False	True	T1	arm
648235	+	SC_RS04965	SCO0608	slbR	647887	648765	+	gamma-butyrolactone-binding regulator SlbR	0	gene_body	True	True	T1	arm
648235	+	SC_RS04970	SCO0609		648876	649739	+	DMT family transporter	641	upstream	False	True	T1	arm
648235	+	SC_RS04975	SCO0610		649840	650610	+	GntR family transcriptional regulator	1605	upstream	False	True	T1	arm
670858	-	SC_RS05055	SCO0627		667741	669870	-	hydantoinase/oxoprolinase family protein	988	upstream	False	True	T1	arm
670858	-	SC_RS05060	SCO0628		669972	671570	-	FAD-dependent oxidoreductase	0	gene_body	True	True	T1	arm
670858	-	SC_RS05065	SCO0629		671618	672727	-	LacI family DNA-binding transcriptional regulator	760	downstream_far	False	True	T1	arm
735989	-	SC_RS05375	SCO0691		732005	734134	+	xanthine dehydrogenase family protein molybdopterin-binding subunit	1855	downstream_far	False	True	T1	arm
735989	-	SC_RS05380	SCO0692		734210	735667	-	hypothetical protein	322	promoter	True	True	T1	arm
735989	-	SC_RS05385	SCO0693		735872	736192	+	DUF1232 domain-containing protein	0	gene_body	True	True	T1	arm
735989	-	SC_RS05390	SCO0694	tgmA	736312	736503	+	putative ATP-grasp-modified RiPP	323	promoter	True	True	T1	arm
735989	-	SC_RS05395	SCO0695	tgmB	736520	737506	+	ATP-grasp ribosomal peptide maturase	531	upstream	False	True	T1	arm
735989	-	SC_RS05400			737522	737737	-	hypothetical protein	1533	downstream_far	False	True	T1	arm
735989	-	SC_RS05405	SCO0696		737846	738340	-	membrane protein	1857	downstream_far	False	True	T1	arm
735990	-	SC_RS05375	SCO0691		732005	734134	+	xanthine dehydrogenase family protein molybdopterin-binding subunit	1856	downstream_far	False	True	T1	arm
735990	-	SC_RS05380	SCO0692		734210	735667	-	hypothetical protein	323	promoter	True	True	T1	arm
735990	-	SC_RS05385	SCO0693		735872	736192	+	DUF1232 domain-containing protein	0	gene_body	True	True	T1	arm
735990	-	SC_RS05390	SCO0694	tgmA	736312	736503	+	putative ATP-grasp-modified RiPP	322	promoter	True	True	T1	arm
735990	-	SC_RS05395	SCO0695	tgmB	736520	737506	+	ATP-grasp ribosomal peptide maturase	530	upstream	False	True	T1	arm
735990	-	SC_RS05400			737522	737737	-	hypothetical protein	1532	downstream_far	False	True	T1	arm
735990	-	SC_RS05405	SCO0696		737846	738340	-	membrane protein	1856	downstream_far	False	True	T1	arm
767709	-	SC_RS05530	SCO0721		764216	766594	-	glycoside hydrolase family 65 protein	1115	upstream	False	True	T1	arm
767709	-	SC_RS05535	SCO0722		766591	767331	-	beta-phosphoglucomutase family hydrolase	378	promoter	True	True	T1	arm
767709	-	SC_RS05540	SCO0723		767385	768074	+	nucleoside/nucleotide kinase family protein	0	gene_body	True	True	T1	arm
767709	-	SC_RS05545			768099	768272	-	hypothetical protein	390	downstream	True	True	T1	arm
767709	-	SC_RS05550	SCO0724		768450	769367	+	MurR/RpiR family transcriptional regulator	741	upstream	False	True	T1	arm
767709	-	SC_RS05555	SCO0725		769682	770065	+	hypothetical protein	1973	upstream	False	True	T1	arm
942123	-	SC_RS06410	SCO0894		939627	941063	+	FAD-dependent oxidoreductase	1060	downstream_far	False	True	T1	arm
942123	-	SC_RS06415	SCO0895		941071	942090	-	sigma-70 family RNA polymerase sigma factor	33	promoter	True	True	T1	arm
942123	-	SC_RS06420			942116	942370	-	DUF6343 family protein	0	gene_body	True	True	T1	arm
942123	-	SC_RS06425	SCO0896		942453	942878	-	CBS domain-containing protein	330	downstream	True	True	T1	arm
942123	-	SC_RS06430	SCO0897		942974	943408	-	PPC domain-containing DNA-binding protein	851	downstream_far	False	True	T1	arm
942123	-	SC_RS06435	SCO0898		943851	945833	-	AfsR/SARP family transcriptional regulator	1728	downstream_far	False	True	T1	arm
942124	-	SC_RS06410	SCO0894		939627	941063	+	FAD-dependent oxidoreductase	1061	downstream_far	False	True	T1	arm
942124	-	SC_RS06415	SCO0895		941071	942090	-	sigma-70 family RNA polymerase sigma factor	34	promoter	True	True	T1	arm
942124	-	SC_RS06420			942116	942370	-	DUF6343 family protein	0	gene_body	True	True	T1	arm
942124	-	SC_RS06425	SCO0896		942453	942878	-	CBS domain-containing protein	329	downstream	True	True	T1	arm
942124	-	SC_RS06430	SCO0897		942974	943408	-	PPC domain-containing DNA-binding protein	850	downstream_far	False	True	T1	arm
942124	-	SC_RS06435	SCO0898		943851	945833	-	AfsR/SARP family transcriptional regulator	1727	downstream_far	False	True	T1	arm
946273	+	SC_RS06435	SCO0898		943851	945833	-	AfsR/SARP family transcriptional regulator	440	promoter	True	True	T1	arm
946273	+	SC_RS06440	SCO0899		946063	946941	+	alpha/beta fold hydrolase	0	gene_body	True	True	T1	arm
946273	+	SC_RS06445	SCO0900		947027	948310	+	MFS transporter	754	upstream	False	True	T1	arm
959397	-	SC_RS06510	SCO0912	egtC	957204	958019	+	ergothioneine biosynthesis protein EgtC	1378	downstream_far	False	True	T1	arm
959397	-	SC_RS06515	SCO0913	egtD	958016	958987	+	L-histidine N(alpha)-methyltransferase	410	downstream	True	True	T1	arm
959397	-	SC_RS06520	SCO0914		959024	960292	-	extracellular solute-binding protein	0	gene_body	True	True	T1	arm
959397	-	SC_RS06525	SCO0915		960543	960758	+	dodecin	1146	upstream	False	True	T1	arm
959397	-	SC_RS06530	SCO0916		960792	961283	-	phosphatase domain-containing protein	1395	downstream_far	False	True	T1	arm
977528	-	SC_RS06590	SCO0928	rmdA	974312	976456	-	cyclic Di-GMP phosphodiesterase RmdA	1072	upstream	False	True	T1	arm
977528	-	SC_RS06595	SCO0929		976453	977265	-	SAM-dependent methyltransferase	263	promoter	True	True	T1	arm
977528	-	SC_RS06600	SCO0930		977491	978444	-	SCO0930 family lipoprotein	0	gene_body	True	True	T1	arm
977528	-	SC_RS06605	SCO0931		978767	979324	+	hypothetical protein	1239	upstream	False	True	T1	arm
977528	-	SC_RS06610	SCO0932		979340	980104	+	bestrophin-like domain	1812	upstream	False	True	T1	arm
1001429	-	SC_RS06700	SCO0950		999242	1000162	-	carbohydrate ABC transporter permease	1267	upstream	False	True	T1	arm
1001429	-	SC_RS06705	SCO0951		1000159	1001091	-	carbohydrate ABC transporter permease	338	promoter	True	True	T1	arm
1001429	-	SC_RS06710	SCO0952		1001098	1002390	-	ABC transporter substrate-binding protein	0	gene_body	True	True	T1	arm
1001429	-	SC_RS06715	SCO0953		1002624	1003673	+	LacI family DNA-binding transcriptional regulator	1195	upstream	False	True	T1	arm
1014706	-	SC_RS06755	SCO0960		1011212	1013830	-	glycoside hydrolase family 2	876	upstream	False	True	T1	arm
1014706	-	SC_RS06760	SCO0961	glgC	1014030	1015250	-	glucose-1-phosphate adenylyltransferase	0	gene_body	True	True	T1	arm
1014706	-	SC_RS06765	SCO0962	glgA	1015300	1016463	-	glycogen synthase	594	downstream_far	False	True	T1	arm
1014706	-	SC_RS06770	SCO0963		1016501	1017394	-	(2Fe-2S)-binding protein	1795	downstream_far	False	True	T1	arm
1025655	+	SC_RS06810	SCO0971		1023053	1023964	+	LysR family transcriptional regulator	1691	downstream_far	False	True	T1	arm
1025655	+	SC_RS06815	SCO0972		1024039	1024383	+	transposase	1272	downstream_far	False	True	T1	arm
1025655	+	SC_RS06820	SCO0973		1024508	1025767	+	DMT family transporter	0	gene_body	True	True	T1	arm
1025655	+	SC_RS06825	SCO0974	rpfD	1025757	1027076	-	resuscitation-promoting factor protein RpfD	102	downstream	True	True	T1	arm
1025655	+	SC_RS06830	SCO0975	gndA	1027393	1028832	+	NADP-dependent phosphogluconate dehydrogenase	1738	upstream	False	True	T1	arm
1028664	-	SC_RS06825	SCO0974	rpfD	1025757	1027076	-	resuscitation-promoting factor protein RpfD	1588	upstream	False	True	T1	arm
1028664	-	SC_RS06830	SCO0975	gndA	1027393	1028832	+	NADP-dependent phosphogluconate dehydrogenase	0	gene_body	True	True	T1	arm
1028664	-	SC_RS06840	SCO0977		1029991	1030335	-	GNAT family N-acetyltransferase	1327	downstream_far	False	True	T1	arm
1028664	-	SC_RS06845	SCO0978	panD	1030387	1030806	-	aspartate 1-decarboxylase	1723	downstream_far	False	True	T1	arm
1043761	-	SC_RS06895	SCO0987		1041692	1043245	+	PepSY-associated TM helix domain-containing protein	516	downstream_far	False	True	T1	arm
1043761	-	SC_RS06900	SCO0988		1043385	1043969	+	GNAT family N-acetyltransferase	0	gene_body	True	True	T1	arm
1043761	-	SC_RS06905	SCO0989		1043990	1044382	-	(2Fe-2S) ferredoxin domain-containing protein	229	downstream	True	True	T1	arm
1043761	-	SC_RS06910	SCO0990		1044679	1045668	-	ferric reductase-like transmembrane domain-containing protein	918	downstream_far	False	True	T1	arm
1045181	+	SC_RS06895	SCO0987		1041692	1043245	+	PepSY-associated TM helix domain-containing protein	1936	downstream_far	False	True	T1	arm
1045181	+	SC_RS06900	SCO0988		1043385	1043969	+	GNAT family N-acetyltransferase	1212	downstream_far	False	True	T1	arm
1045181	+	SC_RS06905	SCO0989		1043990	1044382	-	(2Fe-2S) ferredoxin domain-containing protein	799	upstream	False	True	T1	arm
1045181	+	SC_RS06910	SCO0990		1044679	1045668	-	ferric reductase-like transmembrane domain-containing protein	0	gene_body	True	True	T1	arm
1045181	+	SC_RS06915	SCO0991		1046251	1047114	+	GHMP family kinase ATP-binding protein	1070	upstream	False	True	T1	arm
1045181	+	SC_RS06920	SCO0992		1047111	1048133	+	cysteine synthase family protein	1930	upstream	False	True	T1	arm
1073789	-	SC_RS07035			1071616	1072620	+	O-antigen ligase family protein	1169	downstream_far	False	True	T1	arm
1073789	-	SC_RS07040	SCO1017		1072677	1073219	-	lipoprotein	570	upstream	False	True	T1	arm
1073789	-	SC_RS07045	SCO1018		1073299	1074084	-	glutamate racemase	0	gene_body	True	True	T1	arm
1073789	-	SC_RS07050	SCO1019		1074124	1075377	+	glycosyltransferase	335	promoter	True	True	T1	arm
1073789	-	SC_RS07055	SCO1020		1075397	1076719	-	TerD family protein	1608	downstream_far	False	True	T1	arm
1107141	-	SC_RS07200	SCO1049		1105031	1106194	-	Gfo/Idh/MocA family protein	947	upstream	False	True	T1	arm
1107141	-	SC_RS07205	SCO1050		1106404	1107006	+	Dps family protein	135	downstream	True	True	T1	arm
1107141	-	SC_RS07210	SCO1051		1107018	1108091	+	ABC-2 transporter permease	0	gene_body	True	True	T1	arm
1107141	-	SC_RS07215	SCO1052		1108110	1108778	-	helix-turn-helix domain-containing protein	969	downstream_far	False	True	T1	arm
1147604	-	SC_RS07380	SCO1085		1145088	1145816	+	lysophospholipid acyltransferase family protein	1788	downstream_far	False	True	T1	arm
1147604	-	SC_RS07385	SCO1086		1145827	1146399	-	transglutaminase domain-containing protein	1205	upstream	False	True	T1	arm
1147604	-	SC_RS07390	SCO1087		1146486	1147556	-	threonine aldolase family protein	48	promoter	True	True	T1	arm
1147604	-	SC_RS07395	SCO1088		1147553	1148299	-	SDR family oxidoreductase	0	gene_body	True	True	T1	arm
1147604	-	SC_RS07400	SCO1089		1148368	1149771	-	DUF6421 family protein	764	downstream_far	False	True	T1	arm
1147605	-	SC_RS07380	SCO1085		1145088	1145816	+	lysophospholipid acyltransferase family protein	1789	downstream_far	False	True	T1	arm
1147605	-	SC_RS07385	SCO1086		1145827	1146399	-	transglutaminase domain-containing protein	1206	upstream	False	True	T1	arm
1147605	-	SC_RS07390	SCO1087		1146486	1147556	-	threonine aldolase family protein	49	promoter	True	True	T1	arm
1147605	-	SC_RS07395	SCO1088		1147553	1148299	-	SDR family oxidoreductase	0	gene_body	True	True	T1	arm
