locus_tag	gene_name	tss	strand	region	nearest_methyl_dist	extended_kb	expected_motifs	observed_motifs	methylated_T1	layer2_deficit	layer3_deficit	is_layer2	is_layer3	category
SC_RS06715		1002624	+	arm	990	5.049	1.3019943799831233	0	0	1.3019943799831233	0	True	False	layer2_only
SC_RS06810		1023053	+	arm	2602	4.911	1.2664080808273157	0	0	1.2664080808273157	0	True	False	layer2_only
SC_RS06865		1033445	-	arm	738	5.469	1.4103005078486237	1	1	0.4103005078486237	0	True	False	layer2_only
SC_RS06885	metE	1038243	+	arm	1332	6.318	1.6292336091767423	0	0	1.6292336091767423	0	True	False	layer2_only
SC_RS06975		1058377	+	arm	2655	4.584	1.1820840241320334	0	0	1.1820840241320334	0	True	False	layer2_only
SC_RS07015		1068241	-	arm	1903	5.904	1.5224747117093205	0	2	1.5224747117093205	0	True	False	layer2_only
SC_RS07085		1084395	+	arm	1046	4.824	1.2439732400551764	0	0	1.2439732400551764	0	True	False	layer2_only
SC_RS07150		1096518	-	arm	545	5.238	1.3507321375225985	2	1	0.0	1	False	True	layer3_only
SC_RS07170		1099030	+	arm	1111	4.779	1.2323690120695872	1	1	0.23236901206958716	0	True	False	layer2_only
SC_RS07255		1119111	-	arm	3780	5.241	1.3515057527216376	0	0	1.3515057527216376	0	True	False	layer2_only
SC_RS07310		1131094	-	arm	1133	4.665	1.2029716345060941	0	1	1.2029716345060941	0	True	False	layer2_only
SC_RS07315		1132338	-	arm	2377	5.247	1.3530529831197162	0	0	1.3530529831197162	0	True	False	layer2_only
SC_RS07340		1138101	-	arm	481	4.953	1.277238693613866	1	0	0.277238693613866	1	True	True	both
SC_RS07345		1138315	+	arm	695	5.076	1.3089569167744768	1	0	0.3089569167744768	1	True	True	both
SC_RS07425		1152798	+	arm	2920	4.578	1.1805367937339548	0	0	1.1805367937339548	0	True	False	layer2_only
SC_RS07440		1156292	-	arm	574	4.575	1.1797631785349156	2	1	0.0	1	False	True	layer3_only
SC_RS07470		1161710	+	arm	336	4.701	1.2122550168945656	0	0	1.2122550168945656	0	True	False	layer2_only
SC_RS07490		1165774	-	arm	414	4.371	1.1271573450002441	0	0	1.1271573450002441	0	True	False	layer2_only
SC_RS07545		1177797	+	arm	431	4.476	1.154233876966619	1	0	0.15423387696661894	1	True	True	both
SC_RS07625	xdhR	1193398	+	arm	1008	4.59	1.183631254530112	0	1	1.183631254530112	0	True	False	layer2_only
SC_RS07630		1194742	-	arm	1070	4.791	1.2354634728657445	1	1	0.23546347286574454	0	True	False	layer2_only
SC_RS07635		1196385	-	arm	573	5.646	1.4559438045919417	1	1	0.4559438045919417	0	True	False	layer2_only
SC_RS07675		1204428	+	arm	3725	4.461	1.1503658009714226	0	0	1.1503658009714226	0	True	False	layer2_only
SC_RS07955		1272566	-	arm	704	4.575	1.1797631785349156	0	0	1.1797631785349156	0	True	False	layer2_only
SC_RS07985		1277625	+	arm	320	5.124	1.3213347599591054	2	1	0.0	1	False	True	layer3_only
SC_RS08005		1281884	+	arm	650	4.656	1.2006507889089764	2	1	0.0	1	False	True	layer3_only
SC_RS08055		1292117	-	arm	1110	4.761	1.2277273208753514	2	1	0.0	1	False	True	layer3_only
SC_RS08060		1292195	+	arm	1032	4.503	1.1611964137579727	0	1	1.1611964137579727	0	True	False	layer2_only
SC_RS08165		1313856	+	arm	2220	4.86	1.253256622443648	0	0	1.253256622443648	0	True	False	layer2_only
SC_RS08255		1329747	+	arm	768	5.154	1.3290709119494983	0	0	1.3290709119494983	0	True	False	layer2_only
SC_RS08260		1330916	+	arm	401	4.662	1.202198019307055	0	0	1.202198019307055	0	True	False	layer2_only
SC_RS08265		1331678	+	arm	1163	5.154	1.3290709119494983	0	0	1.3290709119494983	0	True	False	layer2_only
SC_RS08270		1333633	-	arm	496	4.761	1.2277273208753514	1	0	0.2277273208753514	1	True	True	both
SC_RS08275		1334711	-	arm	582	4.887	1.2602191592350014	1	0	0.2602191592350014	1	True	True	both
SC_RS08340		1346693	+	arm	860	4.596	1.1851784849281906	0	0	1.1851784849281906	0	True	False	layer2_only
SC_RS08435		1370221	+	arm	314	4.491	1.1581019529618153	2	2	0.0	0	False	False	neither
SC_RS08460		1374103	+	arm	1121	4.446	1.146497724976226	0	1	1.146497724976226	0	True	False	layer2_only
SC_RS08510		1387066	-	arm	591	4.359	1.1240628842040867	0	1	1.1240628842040867	0	True	False	layer2_only
SC_RS08525		1389448	-	arm	1483	4.572	1.1789895633358762	0	0	1.1789895633358762	0	True	False	layer2_only
SC_RS08590		1400584	+	arm	364	4.473	1.1534602617675798	0	2	1.1534602617675798	0	True	False	layer2_only
SC_RS08625		1409380	-	arm	1648	4.53	1.1681589505493262	0	1	1.1681589505493262	0	True	False	layer2_only
SC_RS08660		1416484	+	arm	1658	4.62	1.1913674065205049	0	0	1.1913674065205049	0	True	False	layer2_only
SC_RS08730		1430593	+	arm	1777	4.983	1.2849748456042587	2	0	0.0	2	False	True	layer3_only
SC_RS08755		1436223	-	arm	546	4.911	1.2664080808273157	2	2	0.0	0	False	False	neither
SC_RS08810		1445966	+	arm	692	5.214	1.3445432159302841	1	1	0.34454321593028414	0	True	False	layer2_only
SC_RS08815		1447177	+	arm	519	4.635	1.1952354825157012	1	1	0.19523548251570122	0	True	False	layer2_only
SC_RS08845		1453090	+	arm	2016	5.07	1.3074096863763982	0	1	1.3074096863763982	0	True	False	layer2_only
SC_RS08880	ftsR	1462033	-	arm	1744	4.74	1.2223120144820765	0	0	1.2223120144820765	0	True	False	layer2_only
SC_RS09025		1505123	-	core	1591	4.695	1.2107077864964872	1	1	0.21070778649648725	0	True	False	layer2_only
SC_RS09060		1514141	-	core	630	5.502	1.4188102750380558	1	0	0.4188102750380558	1	True	True	both
SC_RS09100		1522060	-	core	1098	4.44	1.1449504945781477	0	1	1.1449504945781477	0	True	False	layer2_only
SC_RS09125		1526779	-	core	2012	4.662	1.202198019307055	0	0	1.202198019307055	0	True	False	layer2_only
SC_RS09210		1544653	-	core	315	5.199	1.3406751399350876	1	2	0.3406751399350876	0	True	False	layer2_only
SC_RS09265		1556108	-	core	1777	4.452	1.1480449553743046	1	1	0.14804495537430462	0	True	False	layer2_only
SC_RS09290		1561393	-	core	420	5.043	1.3004471495850447	0	0	1.3004471495850447	0	True	False	layer2_only
SC_RS09415	pyrR	1592083	-	core	1546	4.581	1.1813104089329942	1	1	0.18131040893299422	0	True	False	layer2_only
SC_RS09420	bldD	1592381	+	core	1248	4.503	1.1611964137579727	0	1	1.1611964137579727	0	True	False	layer2_only
SC_RS09575		1626785	-	core	1273	4.752	1.2254064752782334	0	0	1.2254064752782334	0	True	False	layer2_only
SC_RS09690		1650377	+	core	375	4.413	1.137987957786794	1	1	0.13798795778679396	0	True	False	layer2_only
SC_RS09855		1679229	-	core	840	4.551	1.1735742569426013	2	2	0.0	0	False	False	neither
SC_RS09895		1687155	-	core	1279	4.539	1.170479796146444	0	0	1.170479796146444	0	True	False	layer2_only
SC_RS09995		1709248	-	core	828	5.139	1.325202835954302	0	0	1.325202835954302	0	True	False	layer2_only
SC_RS10080		1726192	+	core	415	4.71	1.2145758624916836	4	2	0.0	2	False	True	layer3_only
SC_RS10105		1731885	-	core	711	4.569	1.178215948136837	0	1	1.178215948136837	0	True	False	layer2_only
SC_RS10190		1751160	-	core	388	5.082	1.3105041471725554	0	0	1.3105041471725554	0	True	False	layer2_only
SC_RS10300		1776737	+	core	4247	4.764	1.2285009360743908	1	0	0.22850093607439081	1	True	True	both
SC_RS10320	parJ	1782041	+	core	892	5.001	1.2896165367984946	0	0	1.2896165367984946	0	True	False	layer2_only
SC_RS10405		1798424	-	core	534	4.701	1.2122550168945656	2	2	0.0	0	False	False	neither
SC_RS10470		1811224	-	core	2302	4.593	1.1844048697291514	0	1	1.1844048697291514	0	True	False	layer2_only
SC_RS10500	soxR	1818878	-	core	615	4.527	1.167385335350287	0	0	1.167385335350287	0	True	False	layer2_only
SC_RS10510		1820108	-	core	615	4.647	1.1983299433118586	0	0	1.1983299433118586	0	True	False	layer2_only
SC_RS10525		1821800	+	core	404	4.641	1.1967827129137798	0	0	1.1967827129137798	0	True	False	layer2_only
SC_RS10575		1834906	-	core	367	4.617	1.1905937913214655	1	1	0.19059379132146548	0	True	False	layer2_only
SC_RS10590		1837136	+	core	1270	4.749	1.2246328600791943	1	1	0.22463286007919425	0	True	False	layer2_only
SC_RS10600		1839798	-	core	1182	4.704	1.213028632093605	1	0	0.213028632093605	1	True	True	both
SC_RS10620		1843034	-	core	308	4.752	1.2254064752782334	1	1	0.22540647527823343	0	True	False	layer2_only
SC_RS10625		1843573	-	core	648	4.542	1.1712534113454833	2	2	0.0	0	False	False	neither
SC_RS10650		1848777	-	core	3291	4.365	1.1256101146021653	0	0	1.1256101146021653	0	True	False	layer2_only
SC_RS10730		1863882	+	core	549	5.166	1.3321653727456555	1	1	0.3321653727456555	0	True	False	layer2_only
SC_RS10735		1865045	+	core	295	4.665	1.2029716345060941	1	1	0.20297163450609412	0	True	False	layer2_only
SC_RS10900		1901295	+	core	1194	5.646	1.4559438045919417	0	1	1.4559438045919417	0	True	False	layer2_only
SC_RS10960		1915205	-	core	783	4.737	1.221538399283037	0	0	1.221538399283037	0	True	False	layer2_only
SC_RS11035		1930823	-	core	910	5.178	1.3352598335418127	0	1	1.3352598335418127	0	True	False	layer2_only
SC_RS11225		1967457	-	core	1038	4.221	1.0884765850482794	1	1	0.08847658504827938	0	True	False	layer2_only
SC_RS11390		2006250	+	core	775	4.773	1.2308217816715086	0	1	1.2308217816715086	0	True	False	layer2_only
SC_RS11480		2025415	-	core	1701	4.668	1.2037452497051335	0	0	1.2037452497051335	0	True	False	layer2_only
SC_RS11550		2038841	-	core	847	4.572	1.1789895633358762	1	2	0.17898956333587623	0	True	False	layer2_only
SC_RS11595	dapA	2048212	+	core	398	4.917	1.2679553112253945	1	1	0.2679553112253945	0	True	False	layer2_only
SC_RS11620		2052116	-	core	363	4.593	1.1844048697291514	0	0	1.1844048697291514	0	True	False	layer2_only
SC_RS11665		2059132	-	core	2498	4.758	1.2269537056763122	1	0	0.22695370567631223	1	True	True	both
SC_RS11780	whiA	2085567	-	core	986	4.992	1.2872956912013767	0	0	1.2872956912013767	0	True	False	layer2_only
SC_RS11925		2118766	-	core	1570	4.86	1.253256622443648	1	0	0.2532566224436481	1	True	True	both
SC_RS12005		2131341	-	core	1043	4.38	1.1294781905973617	2	2	0.0	0	False	False	neither
SC_RS12095		2155779	-	core	2118	4.656	1.2006507889089764	0	1	1.2006507889089764	0	True	False	layer2_only
SC_RS12270		2196709	-	core	607	4.587	1.1828576393310726	0	1	1.1828576393310726	0	True	False	layer2_only
SC_RS12415		2226683	-	core	1218	4.719	1.2168967080888016	1	1	0.21689670808880157	0	True	False	layer2_only
SC_RS12540		2257287	+	core	659	4.629	1.1936882521176226	1	1	0.19368825211762264	0	True	False	layer2_only
SC_RS12550		2260936	-	core	1344	4.992	1.2872956912013767	0	0	1.2872956912013767	0	True	False	layer2_only
SC_RS12555	metF	2261916	-	core	364	4.923	1.269502541623473	0	0	1.269502541623473	0	True	False	layer2_only
SC_RS12565		2263246	-	core	962	4.365	1.1256101146021653	0	0	1.1256101146021653	0	True	False	layer2_only
SC_RS12645		2281440	-	core	976	4.722	1.2176703232878408	1	2	0.21767032328784075	0	True	False	layer2_only
SC_RS12675		2286936	-	core	1388	4.953	1.277238693613866	0	1	1.277238693613866	0	True	False	layer2_only
SC_RS12745		2301552	+	core	1045	4.281	1.1039488890290652	1	1	0.10394888902906518	0	True	False	layer2_only
SC_RS12755		2302365	+	core	1629	5.364	1.3832239758822484	1	3	0.38322397588224844	0	True	False	layer2_only
SC_RS12805		2314453	+	core	321	4.401	1.1348934969906368	0	1	1.1348934969906368	0	True	False	layer2_only
SC_RS12865		2330315	-	core	522	4.683	1.2076133257003299	2	2	0.0	0	False	False	neither
SC_RS12870		2331562	-	core	405	5.25	1.3538265983187556	1	2	0.3538265983187556	0	True	False	layer2_only
SC_RS12950		2347778	+	core	565	4.623	1.1921410217195443	1	1	0.19214102171954428	0	True	False	layer2_only
SC_RS12960		2351510	+	core	621	4.983	1.2849748456042587	1	1	0.2849748456042587	0	True	False	layer2_only
SC_RS13040		2367728	+	core	1855	4.371	1.1271573450002441	0	0	1.1271573450002441	0	True	False	layer2_only
SC_RS13095		2376676	+	core	1338	4.581	1.1813104089329942	1	1	0.18131040893299422	0	True	False	layer2_only
SC_RS13110		2379677	+	core	605	4.653	1.199877173709937	0	0	1.199877173709937	0	True	False	layer2_only
SC_RS13125		2382653	+	core	930	4.509	1.1627436441560512	0	0	1.1627436441560512	0	True	False	layer2_only
SC_RS13190		2400651	+	core	343	5.034	1.2981263039879267	1	1	0.2981263039879267	0	True	False	layer2_only
SC_RS13245		2412355	+	core	936	4.578	1.1805367937339548	0	1	1.1805367937339548	0	True	False	layer2_only
SC_RS13290		2420483	-	core	405	4.854	1.2517093920455695	2	2	0.0	0	False	False	neither
SC_RS13320		2430201	-	core	943	7.968	2.054721968648351	2	1	0.054721968648351105	1	True	True	both
SC_RS13425		2450291	-	core	2758	4.647	1.1983299433118586	0	0	1.1983299433118586	0	True	False	layer2_only
SC_RS13430		2451016	-	core	2033	4.662	1.202198019307055	0	0	1.202198019307055	0	True	False	layer2_only
SC_RS13500		2465058	-	core	1681	4.836	1.2470677008513338	0	1	1.2470677008513338	0	True	False	layer2_only
SC_RS13505		2465169	+	core	1792	4.761	1.2277273208753514	1	1	0.2277273208753514	0	True	False	layer2_only
SC_RS13570		2477055	+	core	695	4.632	1.194461867316662	0	0	1.194461867316662	0	True	False	layer2_only
SC_RS13625		2490268	+	core	550	4.653	1.199877173709937	1	1	0.19987717370993696	0	True	False	layer2_only
SC_RS13675		2500565	-	core	371	4.992	1.2872956912013767	0	0	1.2872956912013767	0	True	False	layer2_only
SC_RS13685		2501697	-	core	1503	4.413	1.137987957786794	0	0	1.137987957786794	0	True	False	layer2_only
SC_RS13825		2526708	-	core	1037	4.644	1.1975563281128192	1	2	0.1975563281128192	0	True	False	layer2_only
SC_RS13940		2550901	+	core	1491	4.836	1.2470677008513338	0	0	1.2470677008513338	0	True	False	layer2_only
SC_RS14165		2600318	+	core	982	5.211	1.343769600731245	3	3	0.0	0	False	False	neither
SC_RS14235		2619420	-	core	991	4.773	1.2308217816715086	0	0	1.2308217816715086	0	True	False	layer2_only
SC_RS14245		2620881	-	core	1598	4.707	1.2138022472926442	0	0	1.2138022472926442	0	True	False	layer2_only
SC_RS14375		2654327	-	core	734	5.19	1.3383542943379698	0	0	1.3383542943379698	0	True	False	layer2_only
SC_RS14455		2671941	-	core	856	4.389	1.1317990361944796	0	0	1.1317990361944796	0	True	False	layer2_only
SC_RS14495		2680340	+	core	524	4.584	1.1820840241320334	0	0	1.1820840241320334	0	True	False	layer2_only
SC_RS14555		2699575	-	core	1275	4.896	1.2625400048321194	0	1	1.2625400048321194	0	True	False	layer2_only
SC_RS14590		2706801	+	core	1347	4.419	1.1395351881848723	0	0	1.1395351881848723	0	True	False	layer2_only
SC_RS14615		2709485	+	core	833	4.833	1.2462940856522944	0	0	1.2462940856522944	0	True	False	layer2_only
SC_RS14640		2714709	-	core	1120	5.277	1.3607891351101091	0	0	1.3607891351101091	0	True	False	layer2_only
SC_RS14725		2733319	+	core	2001	4.374	1.127930960199283	0	0	1.127930960199283	0	True	False	layer2_only
SC_RS14770		2742662	+	core	610	4.797	1.237010703263823	1	2	0.2370107032638229	0	True	False	layer2_only
SC_RS14825	hrcA	2756023	-	core	791	5.016	1.293484612793691	2	2	0.0	0	False	False	neither
SC_RS14890		2773509	-	core	1167	5.067	1.306636071177359	0	1	1.306636071177359	0	True	False	layer2_only
SC_RS15295		2877352	-	core	692	4.902	1.2640872352301982	2	1	0.0	1	False	True	layer3_only
SC_RS15310		2879447	+	core	478	4.518	1.165064489753169	1	1	0.165064489753169	0	True	False	layer2_only
SC_RS15335		2884084	+	core	687	4.434	1.143403264180069	0	1	1.143403264180069	0	True	False	layer2_only
SC_RS15515		2930719	-	core	2162	4.896	1.2625400048321194	0	3	1.2625400048321194	0	True	False	layer2_only
SC_RS15725		2975426	+	core	1177	4.191	1.0807404330578865	0	0	1.0807404330578865	0	True	False	layer2_only
SC_RS15795		2989145	-	core	1335	4.947	1.2756914632157874	0	0	1.2756914632157874	0	True	False	layer2_only
SC_RS15870		3003658	+	core	593	4.941	1.2741442328177088	0	0	1.2741442328177088	0	True	False	layer2_only
SC_RS15920		3019491	-	core	1542	6.231	1.606798768404603	0	1	1.606798768404603	0	True	False	layer2_only
SC_RS16045		3047135	+	core	3720	5.196	1.3399015247360482	0	0	1.3399015247360482	0	True	False	layer2_only
SC_RS16095		3059927	-	core	501	4.704	1.213028632093605	1	3	0.213028632093605	0	True	False	layer2_only
SC_RS16145		3070556	-	core	952	4.326	1.1155531170146544	0	1	1.1155531170146544	0	True	False	layer2_only
SC_RS16165		3073685	+	core	380	4.593	1.1844048697291514	0	1	1.1844048697291514	0	True	False	layer2_only
SC_RS16255		3090979	+	core	565	4.758	1.2269537056763122	1	2	0.22695370567631223	0	True	False	layer2_only
SC_RS16305		3101313	+	core	1275	4.893	1.2617663896330802	0	2	1.2617663896330802	0	True	False	layer2_only
SC_RS16330		3106233	-	core	1082	5.22	1.3460904463283625	0	1	1.3460904463283625	0	True	False	layer2_only
SC_RS16365		3111885	-	core	399	4.545	1.1720270265445227	1	1	0.17202702654452273	0	True	False	layer2_only
SC_RS16395		3116334	-	core	952	4.377	1.1287045753983225	0	1	1.1287045753983225	0	True	False	layer2_only
