accession,species,size_mb,gc_pct,CCGG_count,CCGG_density,CCGG_expected,CCGG_oe,AAGCCCG_count,AAGCCCG_density,AAGCCCG_expected,AAGCCCG_oe,GATC_count,GATC_density,GATC_expected,GATC_oe,GGCCGG_count,GGCCGG_density,GGCCGG_expected,GGCCGG_oe,GCCCG_count,GCCCG_density,GCCCG_expected,GCCCG_oe,GCGG_count,GCGG_density,GCGG_expected,GCGG_oe,CGACNNNCTCC_count,CGACNNNCTCC_density,CGACNNNCTCC_expected,CGACNNNCTCC_oe
GCF_018141485.1,Streptomyces alfalfae,8.28,72.1,115946,14005.5,139522.6,0.831,1502,181.4,1962.0,0.766,39964,4827.4,20972.7,1.906,26447,3194.6,36225.9,0.73,86085,10398.5,100541.8,0.856,282129,34079.3,279045.3,1.011,1997,241.2,706.9,2.825
GCF_014141535.1,Streptomyces alkaliphilus,5.76,72.5,129524,22481.4,99700.6,1.299,759,131.7,1363.4,0.557,35938,6237.7,14288.2,2.515,28966,5027.6,26230.9,1.104,60881,10567.1,72322.1,0.842,178565,30993.5,199401.3,0.896,1356,235.4,494.5,2.742
GCF_013618545.1,Streptomyces alkaliterrae,6.04,72.0,107210,17760.7,101417.6,1.057,999,165.5,1430.8,0.698,29489,4885.2,15329.8,1.924,26138,4330.1,26291.3,0.994,60149,9964.4,73026.1,0.824,199111,32985.2,202835.3,0.982,1663,275.5,515.1,3.228
GCF_045276965.1,Streptomyces althioticus,7.54,72.6,126710,16800.5,130599.6,0.97,1049,139.1,1784.8,0.588,36859,4887.2,18694.2,1.972,31148,4129.9,34371.5,0.906,78274,10378.4,94751.3,0.826,255280,33847.7,261199.2,0.977,1974,261.7,647.4,3.049
GCF_053591575.1,Streptomyces altiplanensis,8.01,71.2,131725,16440.1,128874.2,1.022,1512,188.7,1900.1,0.796,43221,5394.3,21035.0,2.055,34488,4304.3,32688.7,1.055,79180,9882.2,91790.3,0.863,251346,31369.6,257748.4,0.975,1794,223.9,676.7,2.651
GCF_039532665.1,Streptomyces amakusaensis,8.35,71.8,156090,18693.7,138769.3,1.125,1432,171.5,1979.8,0.723,53632,6423.1,21385.8,2.508,38182,4572.8,35779.2,1.067,87976,10536.2,99649.9,0.883,269278,32249.3,277538.7,0.97,2086,249.8,710.8,2.935
GCF_001267885.1,Streptomyces ambofaciens,8.39,72.2,146194,17417.3,142457.3,1.026,1282,152.7,1988.6,0.645,41417,4934.4,21145.9,1.959,37659,4486.6,37117.9,1.015,86207,10270.6,102836.8,0.838,270797,32262.3,284914.5,0.95,2130,253.8,717.8,2.967
GCF_001953875.1,Streptomyces amritsarensis,7.82,72.6,140002,17910.4,135603.0,1.032,1422,181.9,1849.5,0.769,42201,5398.8,19346.4,2.181,39114,5003.8,35720.7,1.095,86670,11087.7,98425.9,0.881,267359,34203.2,271206.0,0.986,1870,239.2,671.2,2.786
GCF_014650655.1,Streptomyces anandii,7.93,72.1,137366,17317.5,134114.0,1.024,1200,151.3,1879.7,0.638,39935,5034.5,20044.3,1.992,37084,4675.1,34877.4,1.063,84923,10706.1,96721.7,0.878,262860,33138.2,268227.9,0.98,1599,201.6,677.8,2.359
GCF_019400875.1,Streptomyces anatolicus,7.26,71.2,95636,13173.7,116463.7,0.821,1470,202.5,1721.5,0.854,38819,5347.2,19095.2,2.033,20174,2778.9,29502.5,0.684,72651,10007.5,82897.2,0.876,234610,32317.1,232927.4,1.007,1799,247.8,612.7,2.936
GCF_042651645.1,Streptomyces andamanensis,8.88,72.7,166623,18772.7,155364.0,1.072,1218,137.2,2098.6,0.58,44270,4987.7,21804.5,2.03,41207,4642.6,41110.4,1.002,102528,11551.4,113022.8,0.907,310856,35022.8,310728.0,1.0,1860,209.6,763.3,2.437
GCF_019933235.1,Streptomyces angustmyceticus,8.12,72.2,149417,18409.3,138058.3,1.082,1267,156.1,1922.8,0.659,43196,5322.1,20411.3,2.116,41908,5163.4,36011.6,1.164,86825,10697.5,99716.7,0.871,279842,34478.7,276116.7,1.013,1702,209.7,694.4,2.451
GCF_026627255.1,Streptomyces antarcticus,8.5,72.3,155077,18233.7,145223.8,1.068,1642,193.1,2014.4,0.815,45493,5349.0,21322.8,2.134,41076,4829.6,37953.3,1.082,94541,11116.0,104992.6,0.9,286596,33697.5,290447.5,0.987,1835,215.8,728.2,2.52
GCF_035917655.1,Streptomyces anthocyanicus,8.88,72.1,155041,17466.6,150238.3,1.032,1339,150.8,2103.3,0.637,44701,5035.9,22411.3,1.995,37941,4274.3,39091.4,0.971,92794,10454.0,108379.2,0.856,287821,32425.3,300476.5,0.958,2160,243.3,758.6,2.847
GCF_049310305.1,Streptomyces anthophorae,9.62,71.0,129732,13484.1,153165.2,0.847,1682,174.8,2281.2,0.737,54062,5619.1,25449.5,2.124,28434,2955.4,38650.7,0.736,93942,9764.1,108811.2,0.863,304287,31627.0,306330.4,0.993,2243,233.1,810.3,2.768
GCF_043202155.1,Streptomyces antibioticus,8.18,72.1,141277,17278.0,137743.4,1.026,1205,147.4,1937.9,0.622,47880,5855.7,20721.9,2.311,34761,4251.2,35755.9,0.972,82802,10126.6,99248.5,0.834,262755,32134.6,275486.8,0.954,2090,255.6,698.2,2.994
GCF_020532625.1,Streptomyces antimicrobicus,6.55,73.4,128807,19677.4,118735.8,1.085,1005,153.5,1541.8,0.652,34048,5201.4,15597.5,2.183,37307,5699.3,31982.8,1.166,78292,11960.4,87149.3,0.898,224847,34349.1,237471.5,0.947,1424,217.5,565.8,2.517
GCF_045161845.1,Streptomyces antimycoticus,10.88,70.8,175952,16171.7,171273.6,1.027,1922,176.7,2578.9,0.745,67062,6163.7,29014.0,2.311,41458,3810.4,42978.1,0.965,107261,9858.4,121334.3,0.884,343706,31590.0,342547.2,1.003,1965,180.6,913.5,2.151
GCF_000968685.2,Streptomyces antioxidans,9.12,71.5,149194,16362.5,148704.3,1.003,1571,172.3,2162.4,0.726,54436,5970.1,23691.9,2.298,32701,3586.4,37980.8,0.861,96198,10550.3,106281.7,0.905,300905,33001.0,297408.5,1.012,1694,185.8,772.8,2.192
GCF_004005495.1,Streptomyces antnestii,8.93,70.7,126627,14179.0,139805.4,0.906,1700,190.4,2116.3,0.803,51314,5745.9,23909.1,2.146,30338,3397.1,34984.6,0.867,84543,9466.7,98904.3,0.855,267543,29958.1,279610.8,0.957,2105,235.7,748.6,2.812
GCF_001434355.1,Streptomyces anulatus,8.85,71.7,160836,18179.5,146335.2,1.099,1664,188.1,2097.9,0.793,52089,5887.7,22742.5,2.29,37434,4231.2,37640.2,0.995,94865,10722.7,104958.0,0.904,277250,31337.9,292670.4,0.947,2235,252.6,752.3,2.971
GCF_009739465.1,Streptomyces apocyni,7.03,70.3,91940,13076.4,107589.4,0.855,1493,212.3,1664.2,0.897,38935,5537.6,19124.8,2.036,17901,2546.0,26618.1,0.673,64540,9179.4,75681.2,0.853,213107,30309.8,215178.9,0.99,1380,196.3,585.3,2.358
GCF_008369065.1,Streptomyces apricus,8.85,71.8,147697,16683.7,146868.6,1.006,1380,155.9,2099.1,0.657,45387,5126.9,22704.7,1.999,35816,4045.7,37834.1,0.947,92702,10471.5,105419.6,0.879,287831,32513.0,293737.3,0.98,2052,231.8,753.3,2.724
GCF_003955715.1,Streptomyces aquilus,10.39,70.8,156264,15034.1,163669.4,0.955,1705,164.0,2463.6,0.692,58405,5619.1,27711.4,2.108,36188,3481.6,41076.2,0.881,94601,9101.5,115956.1,0.816,314958,30301.9,327338.7,0.962,2757,265.2,872.7,3.159
GCF_008932075.1,Streptomyces arboris,8.3,71.4,141648,17065.6,134742.4,1.051,1442,173.7,1968.5,0.733,47383,5708.7,21641.6,2.189,33194,3999.2,34335.4,0.967,85271,10273.4,96191.8,0.886,256294,30878.0,269484.7,0.951,2147,258.7,702.6,3.056
GCF_003112575.1,Streptomyces ardesiacus,7.85,72.7,140306,17869.9,136737.1,1.026,1236,157.4,1857.2,0.666,37326,4754.0,19370.1,1.927,35786,4557.8,36089.6,0.992,84684,10785.6,99345.7,0.852,258797,32961.3,273474.3,0.946,1993,253.8,674.7,2.954
GCF_022343545.1,Streptomyces arenae,10.53,71.3,183883,17466.8,170272.0,1.08,1472,139.8,2496.7,0.59,57788,5489.2,27524.7,2.099,46667,4432.8,43309.3,1.078,99925,9491.7,121444.3,0.823,323603,30738.6,340544.0,0.95,2436,231.4,890.4,2.736
GCF_042902585.1,Streptomyces argenteolus,7.95,71.4,132525,16678.2,129327.5,1.025,1467,184.6,1884.5,0.778,44917,5652.8,20677.9,2.172,32256,4059.4,32998.3,0.978,78620,9894.3,92386.1,0.851,239236,30107.7,258655.1,0.925,1794,225.8,673.1,2.665
GCF_013046785.1,Streptomyces argyrophylli,7.82,72.5,150416,19246.0,134607.6,1.117,1188,152.0,1850.1,0.642,39370,5037.5,19457.5,2.023,40098,5130.6,35331.1,1.135,83124,10635.8,97527.8,0.852,252794,32345.4,269215.3,0.939,1754,224.4,670.2,2.617
GCF_003355155.1,Streptomyces armeniacus,8.08,72.3,126405,15637.9,137916.3,0.917,1607,198.8,1914.6,0.839,36385,4501.3,20278.1,1.794,27712,3428.3,36029.7,0.769,93812,11605.7,99690.4,0.941,284663,35216.4,275832.7,1.032,1884,233.1,692.0,2.723
GCF_018138715.1,Streptomyces asiaticus,11.88,71.0,193639,16302.4,188670.5,1.026,1961,165.1,2816.1,0.696,72375,6093.2,31470.0,2.3,44869,3777.5,47557.2,0.943,118746,9997.2,133960.0,0.886,377375,31771.1,377341.1,1.0,2102,177.0,999.7,2.103
GCF_016860545.1,Streptomyces asoensis,8.83,72.3,155080,17554.6,150964.4,1.027,1388,157.1,2092.3,0.663,47133,5335.3,22133.9,2.129,39302,4448.9,39469.3,0.996,94235,10667.1,109164.6,0.863,288847,32696.7,301928.7,0.957,2144,242.7,756.5,2.834
GCF_046614805.1,Streptomyces atacamensis,6.43,73.2,122998,19130.1,115267.8,1.067,1073,166.9,1516.6,0.708,32765,5096.0,15477.4,2.117,32666,5080.6,30867.5,1.058,74545,11594.1,84356.7,0.884,229190,35646.3,230535.5,0.994,1582,246.1,554.9,2.851
GCF_003330865.1,Streptomyces atratus,9.64,69.6,151929,15758.2,141329.1,1.075,1752,181.7,2273.7,0.771,60649,6290.5,26985.0,2.248,36044,3738.5,34222.4,1.053,86927,9016.1,98352.6,0.884,272075,28219.8,282658.2,0.963,1944,201.6,791.1,2.457
GCF_001418325.1,Streptomyces atriruber,8.89,71.3,118107,13281.1,143469.6,0.823,1724,193.9,2109.0,0.817,47541,5346.0,23294.4,2.041,23495,2642.0,36445.9,0.645,89974,10117.5,102263.2,0.88,290929,32714.8,286939.3,1.014,2105,236.7,751.6,2.801
GCF_964020845.1,Streptomyces atroolivaceus,8.17,70.7,134699,16486.6,127549.3,1.056,1460,178.7,1935.9,0.754,46927,5743.7,21916.3,2.141,33098,4051.1,31873.5,1.038,76191,9325.5,90171.5,0.845,237775,29102.6,255098.6,0.932,1848,226.2,684.3,2.701
GCF_039533285.1,Streptomyces atrovirens,8.72,71.9,152981,17536.5,145527.3,1.051,1251,143.4,2068.2,0.605,46444,5324.0,22277.6,2.085,38382,4399.8,37592.4,1.021,85663,9819.7,104601.3,0.819,279411,32029.4,291054.7,0.96,2234,256.1,743.3,3.006
GCF_014701115.1,Streptomyces aurantiacus,9.43,70.3,141566,15014.9,143826.8,0.984,1612,171.0,2231.1,0.722,51682,5481.5,25700.7,2.011,33500,3553.1,35528.0,0.943,87019,9229.5,101092.8,0.861,274920,29158.7,287653.6,0.956,2019,214.1,784.1,2.575
GCF_014649375.1,Streptomyces aurantiogriseus,10.61,71.0,163768,15435.8,168628.7,0.971,1715,161.6,2515.4,0.682,60143,5668.7,28097.0,2.141,41177,3881.1,42518.5,0.968,97953,9232.5,119748.4,0.818,318830,30051.1,337257.4,0.945,2741,258.4,893.1,3.069
GCF_050433025.1,Streptomyces auratus,8.44,71.2,149744,17745.4,135570.6,1.105,1335,158.2,2001.1,0.667,47861,5671.8,22172.4,2.159,41167,4878.5,34367.4,1.198,84729,10040.8,96532.0,0.878,274749,32559.2,271141.2,1.013,1666,197.4,712.4,2.338
GCF_000720475.1,Streptomyces aureocirculatus,9.32,71.2,129321,13873.9,149716.2,0.864,1959,210.2,2210.4,0.886,44896,4816.6,24496.0,1.833,25193,2702.8,37948.9,0.664,95414,10236.3,106597.9,0.895,305885,32816.3,299432.4,1.022,1973,211.7,786.9,2.507
GCF_042657885.1,Streptomyces aureoversilis,8.23,72.3,141562,17193.2,140734.0,1.006,1717,208.5,1950.0,0.88,40017,4860.2,20625.5,1.94,37950,4609.1,36798.8,1.031,93461,11351.1,101772.7,0.918,277146,33660.3,281468.1,0.985,1941,235.7,705.1,2.753
GCF_010669165.1,Streptomyces aureoverticillatus,9.74,71.5,129835,13332.2,159052.5,0.816,2294,235.6,2309.6,0.993,47372,4864.4,25276.1,1.874,27788,2853.4,40653.3,0.684,100272,10296.5,113719.1,0.882,323599,33229.1,318104.9,1.017,2334,239.7,825.6,2.827
GCF_039527835.1,Streptomyces aureus,9.87,70.1,132421,13413.6,148861.6,0.89,1809,183.2,2334.2,0.775,57331,5807.3,27122.4,2.114,31011,3141.3,36559.3,0.848,89039,9019.2,104329.0,0.853,287498,29122.0,297723.2,0.966,2103,213.0,818.0,2.571
GCF_000009765.2,Streptomyces avermitilis,9.12,70.7,137673,15095.9,142423.2,0.967,1610,176.5,2160.9,0.745,51993,5701.1,24458.0,2.126,33114,3631.0,35596.4,0.93,87722,9618.8,100695.1,0.871,277678,30447.5,284846.4,0.975,2054,225.2,763.9,2.689
GCF_000719135.1,Streptomyces avicenniae,6.48,73.5,91563,14129.4,117903.3,0.777,873,134.7,1525.8,0.572,30907,4769.4,15399.9,2.007,19731,3044.8,31806.8,0.62,75947,11719.6,86604.1,0.877,227501,35106.4,235806.6,0.965,1684,259.9,560.4,3.005
GCF_045161815.1,Streptomyces avidinii,9.03,71.8,161302,17858.5,149895.4,1.076,1559,172.6,2141.6,0.728,52509,5813.5,23159.0,2.267,41647,4610.9,38620.2,1.078,97016,10741.1,107601.1,0.902,288644,31957.0,299790.9,0.963,1922,212.8,768.7,2.5
GCF_039532135.1,Streptomyces axinellae,7.8,71.4,127704,16364.0,126729.3,1.008,1515,194.1,1850.8,0.819,38113,4883.8,20342.6,1.874,30756,3941.1,32298.9,0.952,82343,10551.4,90478.9,0.91,247389,31700.4,253458.5,0.976,1579,202.3,660.7,2.39
GCF_001270025.1,Streptomyces azureus,8.79,70.9,141123,16054.6,139049.0,1.015,1589,180.8,2083.8,0.763,49301,5608.6,23358.8,2.111,34996,3981.2,34977.0,1.001,86607,9852.7,98625.7,0.878,261816,29785.0,278098.0,0.941,2044,232.5,739.0,2.766
GCF_000716025.1,Streptomyces baarnensis,8.23,71.3,150370,18277.5,132744.7,1.133,1521,184.9,1951.1,0.78,49051,5962.1,21548.3,2.276,35230,4282.2,33723.6,1.045,90282,10973.8,94621.6,0.954,261418,31775.4,265489.5,0.985,2024,246.0,695.4,2.911
GCF_044767875.1,Streptomyces bacillaris,8.09,72.2,148219,18319.4,137296.8,1.08,1375,169.9,1916.9,0.717,44809,5538.3,20385.6,2.198,33798,4177.3,35770.5,0.945,91203,11272.4,99107.7,0.92,259836,32115.0,274593.6,0.946,2203,272.3,691.9,3.184
GCF_014649415.1,Streptomyces badius,7.52,71.4,133217,17726.4,121809.5,1.094,1375,183.0,1782.3,0.771,44228,5885.1,19617.5,2.255,30621,4074.5,31015.7,0.987,80989,10776.7,86925.4,0.932,234711,31231.6,243619.0,0.963,1900,252.8,635.9,2.988
GCF_020532645.1,Streptomyces bambusae,8.31,73.0,171512,20649.5,147452.2,1.163,1380,166.1,1961.3,0.704,42224,5083.6,20163.1,2.094,48351,5821.3,39293.0,1.231,96022,11560.8,107646.0,0.892,294156,35415.5,294904.4,0.997,1751,210.8,715.9,2.446
GCF_039530525.1,Streptomyces bangladeshensis,8.93,72.8,175515,19649.6,157213.5,1.116,1320,147.8,2110.9,0.625,46801,5239.6,21842.3,2.143,48192,5395.3,41714.2,1.155,98723,11052.4,114525.4,0.862,301421,33745.2,314427.0,0.959,2037,228.1,768.9,2.649
GCF_002843305.1,Streptomyces barkulensis,6.54,72.8,125997,19251.3,115199.9,1.094,1032,157.7,1546.7,0.667,33889,5177.9,16003.7,2.118,34503,5271.8,30567.3,1.129,74728,11417.8,83920.8,0.89,228334,34887.5,230399.8,0.991,1559,238.2,563.4,2.767
