accession	binomial	full_name	tax_id	strain	level	refseq_cat	n50	total_len	gc	n_assemblies
GCF_042902585.1	Streptomyces argenteolus	Streptomyces argenteolus	67274	NPDC012540	Scaffold	reference genome	263594	7946008	71.5	2
GCF_013046785.1	Streptomyces argyrophylli	Streptomyces argyrophylli	2726118	Jing01	Complete Genome	reference genome	7815457	7815457	72.5	1
GCF_003355155.1	Streptomyces armeniacus	Streptomyces armeniacus	83291	ATCC 15676	Chromosome	reference genome	1912867	8083249	72.5	1
GCF_018138715.1	Streptomyces asiaticus	Streptomyces asiaticus	114695	DSM 41761	Contig	reference genome	10122692	11877923	71	14
GCF_016860545.1	Streptomyces asoensis	Streptomyces asoensis	249586	NBRC 13813	Contig	reference genome	2349198	8834141	72.5	16
GCF_046614805.1	Streptomyces atacamensis	Streptomyces atacamensis	531966	KACC15492	Contig	reference genome	41981	6429559	73	1
GCF_003330865.1	Streptomyces atratus	Streptomyces atratus	1893	SCSIO_ZH16	Complete Genome	reference genome	9641288	9641288	69.5	14
GCF_001418325.1	Streptomyces atriruber	Streptomyces atriruber	545121	NRRL B-24165	Scaffold	reference genome	23936	8892875	71.5	2
GCF_964020845.1	Streptomyces atroolivaceus	Streptomyces atroolivaceus	66869		Contig	reference genome	8046083	8170221	70.5	11
GCF_039533285.1	Streptomyces atrovirens	Streptomyces atrovirens	285556	JCM 6913	Scaffold	reference genome	98256	8723571	72	2
GCF_014701115.1	Streptomyces aurantiacus	Streptomyces aurantiacus	47760	JCM 4677	Complete Genome	reference genome	9428393	9428393	70.5	7
GCF_014649375.1	Streptomyces aurantiogriseus	Streptomyces aurantiogriseus	66870	JCM 4346	Scaffold	reference genome	322564	10609595	71	2
GCF_050433025.1	Streptomyces auratus	Streptomyces auratus	114687	DSM 41897	Contig	reference genome	4434406	8438454	71	2
GCF_000720475.1	Streptomyces aureocirculatus	Streptomyces aureocirculatus	67275	NRRL ISP-5386	Contig	reference genome	156070	9321142	71	2
GCF_042657885.1	Streptomyces aureoversilis	Streptomyces aureoversilis	67277	CGMCC 4.1641	Scaffold	reference genome	299010	8233624	72.5	1
GCF_010669165.1	Streptomyces aureoverticillatus	Streptomyces aureoverticillatus	66871	HN6	Complete Genome		9617533	9738430	71.5	1
GCF_039527835.1	Streptomyces aureus	Streptomyces aureus	193461	JCM 12605	Scaffold	reference genome	35626	9872177	70	10
GCF_000009765.2	Streptomyces avermitilis	Streptomyces avermitilis MA-4680 = NBRC 14893	227882	MA-4680	Complete Genome	reference genome	9025608	9119895	70.5	28
GCF_000719135.1	Streptomyces avicenniae	Streptomyces avicenniae	500153	NRRL B-24776	Contig	reference genome	276597	6480326	73.5	1
GCF_045161815.1	Streptomyces avidinii	Streptomyces avidinii	1895	NBC_00832	Complete Genome	reference genome	9032248	9032248	72	8
GCF_039532135.1	Streptomyces axinellae	Streptomyces axinellae	552788	JCM 16373	Scaffold	reference genome	300261	7803961	71.5	1
GCF_001270025.1	Streptomyces azureus	Streptomyces azureus	146537	ATCC 14921	Scaffold	reference genome	52084	8790205	71	2
GCF_000716025.1	Streptomyces baarnensis	Streptomyces baarnensis	66872	NRRL B-2842	Scaffold	reference genome	63774	8227069	72	2
GCF_044767875.1	Streptomyces bacillaris	Streptomyces bacillaris	68179	NPDC101189	Scaffold	reference genome	337133	8090803	72	64
GCF_014649415.1	Streptomyces badius	Streptomyces badius	1941	JCM 4350	Scaffold	reference genome	47835	7515187	71.5	3
GCF_020532645.1	Streptomyces bambusae	Streptomyces bambusae	1550616	T110	Contig	reference genome	106707	8305856	73	3
GCF_039530525.1	Streptomyces bangladeshensis	Streptomyces bangladeshensis	295352	JCM 14924	Scaffold	reference genome	271198	8932251	73	1
GCF_002843305.1	Streptomyces barkulensis	Streptomyces barkulensis	1257026	RC 1831	Scaffold	reference genome	125886	6544873	73	2
GCF_020819595.1	Streptomyces barringtoniae	Streptomyces barringtoniae	2892029	JA03	Contig	reference genome	364153	9045328	71.5	1
GCF_015910445.1	Streptomyces bathyalis	Streptomyces bathyalis	2710756	ASO4wet	Complete Genome	reference genome	7377472	7377472	70	1
GCF_004784475.1	Streptomyces bauhiniae	Streptomyces bauhiniae	2340725	Bv016	Contig	reference genome	696214	6747476	71.5	19
GCF_019710745.1	Streptomyces beigongshangae	Streptomyces beigongshangae	2841597	REN17	Scaffold	reference genome	105427	9128061	72	1
GCF_026274175.1	Streptomyces beihaiensis	Streptomyces beihaiensis	2984495	GXMU-J5	Contig	reference genome	37912	6910013	71.5	1
GCF_039526835.1	Streptomyces beijiangensis	Streptomyces beijiangensis	163361	JCM 11882	Scaffold	reference genome	525254	8394580	69.5	4
GCF_007280585.1	Streptomyces benahoarensis	Streptomyces benahoarensis	2595054	MZ03-48	Contig	reference genome	11372	6913747	72	1
GCF_000719285.1	Streptomyces bicolor	Streptomyces bicolor	66874	NRRL B-5348	Contig	reference genome	232223	9481884	70.5	2
GCF_000716625.1	Streptomyces bikiniensis	Streptomyces bikiniensis	1896	NRRL ISP-5580	Contig	reference genome	142934	7391008	73	3
GCF_000092385.1	Streptomyces bingchenggensis	Streptomyces bingchenggensis BCW-1	749414	BCW-1	Complete Genome		11936683	11936683	71	1
GCF_039521185.1	Streptomyces blastmyceticus	Streptomyces blastmyceticus	68180	JCM 4565	Scaffold	reference genome	190087	8115695	71.5	1
GCF_009709555.1	Streptomyces blattellae	Streptomyces blattellae	2569855	TRM63209	Scaffold	reference genome	89619	8494434	70	1
GCF_014650715.1	Streptomyces bluensis	Streptomyces bluensis	33897	JCM 4729	Contig	reference genome	376825	9022007	70.5	5
GCF_036172715.1	Streptomyces bobili	Streptomyces bobili	67280	NBC_00302	Complete Genome	reference genome	9287515	9287515	71	26
GCF_031845405.1	Streptomyces boetiae	Streptomyces boetiae	3075541	DSM 44917	Contig	reference genome	108347	6050214	74.5	1
GCF_012033785.1	Streptomyces bohaiensis	Streptomyces bohaiensis	1431344	11A07	Scaffold	reference genome	16815	5631806	73.5	3
GCF_009908195.1	Streptomyces boluensis	Streptomyces boluensis	1775135	YC537	Contig	reference genome	16908	8247588	71	1
GCF_011045075.1	Streptomyces boncukensis	Streptomyces boncukensis	2711219	SB3404	Contig	reference genome	12556	8270314	73	1
GCF_048572725.1	Streptomyces boninensis	Streptomyces boninensis	2039455	TBRC7755	Complete Genome	reference genome	9599576	9599576	71.5	1
GCF_003721215.1	Streptomyces botrytidirepellens	Streptomyces botrytidirepellens	2486417	NEAU-LD23	Scaffold	reference genome	24675	11008137	71.5	1
GCF_000383595.1	Streptomyces bottropensis	Streptomyces bottropensis ATCC 25435	1054862	ATCC 25435	Scaffold	reference genome	4831231	8955726	71	11
GCF_014647875.1	Streptomyces brasiliensis	Streptomyces brasiliensis	1954	JCM 3086	Scaffold	reference genome	168452	10696112	70	1
GCF_018927715.1	Streptomyces brasiliscabiei	Streptomyces brasiliscabiei	2736302	IBSBF2867	Scaffold	reference genome	41120	10791795	71	8
GCF_007829885.1	Streptomyces brevispora	Streptomyces brevispora	887462	DSM 42059	Contig	reference genome	6430118	7540224	70.5	7
GCF_009796285.1	Streptomyces broussonetiae	Streptomyces broussonetiae	2686304	T44	Complete Genome	reference genome	9735779	9735779	71	3
GCF_014295035.1	Streptomyces buecherae	Streptomyces buecherae	2763006	AC541	Complete Genome	reference genome	8416829	8416829	73	13
GCF_036352915.1	Streptomyces bugieae	Streptomyces bugieae	3098223	DSM 41528	Contig	reference genome	173620	9056342	72	1
GCF_042657145.1	Streptomyces bullii	Streptomyces bullii	349910	CGMCC 4.7019	Scaffold	reference genome	464898	8613370	71.5	2
GCF_001514215.1	Streptomyces bungoensis	Streptomyces bungoensis	285568	DSM 41781	Scaffold	reference genome	156764	8408982	72.5	5
GCF_001187435.1	Streptomyces caatingaensis	Streptomyces caatingaensis	1678637	CMAA 1322	Contig	reference genome	780921	7055077	73.5	1
GCF_006539165.1	Streptomyces cacaoi	Streptomyces cacaoi	1898	NBRC 12748	Contig	reference genome	142848	8443444	73.5	10
GCF_003261055.1	Streptomyces cadmiisoli	Streptomyces cadmiisoli	2184053	ZFG47	Complete Genome	reference genome	9269371	10239272	71	3
GCF_014205255.1	Streptomyces caelestis	Streptomyces caelestis	36816	DSM 40084	Contig	reference genome	8936092	8936092	71	9
GCF_042678285.1	Streptomyces caeni	Streptomyces caeni	2307231	CGMCC 4.7426	Scaffold	reference genome	56262	7961753	71.5	1
GCF_001514235.1	Streptomyces caeruleatus	Streptomyces caeruleatus	661399	NRRL B-24802	Scaffold	reference genome	218496	10290495	71	1
GCF_002891435.1	Streptomyces cahuitamycinicus	Streptomyces cahuitamycinicus	2070367	13K301	Contig	reference genome	17129	9035421	71	1
GCF_014141525.1	Streptomyces calidiresistens	Streptomyces calidiresistens	1485586	DSM 42108	Contig	reference genome	6206	6196881	73	2
GCF_016906185.1	Streptomyces californicus	Streptomyces californicus	67351	FDAARGOS_1209	Complete Genome	reference genome	7814960	8031696	72.5	76
GCF_006716135.1	Streptomyces calvus	Streptomyces calvus	67282	DSM 41452	Complete Genome	reference genome	7766581	7766581	72.5	10
GCF_027625935.1	Streptomyces camelliae	Streptomyces camelliae	3004093	HUAS 2-6	Complete Genome	reference genome	9319598	9598041	71	1
GCF_014646115.1	Streptomyces camponoticapitis	Streptomyces camponoticapitis	1616125	CGMCC 4.7275	Scaffold	reference genome	189922	8278499	70.5	1
GCF_014650735.1	Streptomyces canarius	Streptomyces canarius	285453	JCM 4733	Scaffold	reference genome	162104	10647065	72	2
GCF_014655855.1	Streptomyces candidus	Streptomyces candidus	67283	JCM 4629	Scaffold	reference genome	365268	7307831	71	2
GCF_036178885.1	Streptomyces caniferus	Streptomyces caniferus	285557	NBC_00270	Complete Genome	reference genome	8848699	8971606	71.5	10
GCF_051171815.1	Streptomyces caniscabiei	Streptomyces caniscabiei	2746961	NE06-02D	Contig	reference genome	10788157	10963976	71	24
GCF_036177905.1	Streptomyces canus	Streptomyces canus	58343	NBC_00277	Complete Genome	reference genome	10691412	10825738	70	51
GCF_007829875.1	Streptomyces capillispiralis	Streptomyces capillispiralis	68182	DSM 41695	Contig	reference genome	8142423	8432708	72.5	3
GCF_002214185.1	Streptomyces capitiformicae	Streptomyces capitiformicae	2014920	1H-SSA4	Chromosome	reference genome	5694461	10989391	70	2
GCF_014654935.1	Streptomyces capoamus	Streptomyces capoamus	68183	JCM 4253	Scaffold	reference genome	12704	8406486	72	3
GCF_054782095.1	Streptomyces capparidis	Streptomyces capparidis	1840415	JCM 30089	Scaffold	reference genome	129624	8691823	74.5	1
GCF_000716845.1	Streptomyces capuensis	Streptomyces capuensis	1464056	NRRL B-12337	Contig		178168	9329832	72	2
GCF_002794255.1	Streptomyces carminius	Streptomyces carminius	2665496	TRM SA0054	Scaffold	reference genome	255411	7200897	73	1
GCF_025133285.1	Streptomyces carpaticus	Streptomyces carpaticus	285558	SCPM-O-B-9993	Complete Genome	reference genome	5968715	5968715	73	3
GCF_002154505.1	Streptomyces carpinensis	Streptomyces carpinensis	66369	NRRL B-16921	Scaffold	reference genome	27185	10405645	71	1
GCF_030719295.1	Streptomyces castrisilvae	Streptomyces castrisilvae	3033811	Mut1	Complete Genome	reference genome	7646342	7990879	72	1
GCF_000718015.1	Streptomyces catenulae	Streptomyces catenulae	66875	NRRL B-2342	Contig	reference genome	174156	7046907	73	2
GCF_029760955.1	Streptomyces cathayae	Streptomyces cathayae	3031124	HUAS 5	Complete Genome	reference genome	7464554	7614103	71.5	1
GCF_004023625.1	Streptomyces cavernae	Streptomyces cavernae	2259034	SYSU K10008	Scaffold	reference genome	226764	10446772	70.5	1
GCF_029968035.1	Streptomyces cavernicola	Streptomyces cavernicola	3043613	B-S-A6	Contig	reference genome	155201	8348439	71.5	1
GCF_042665405.1	Streptomyces caviscabies	Streptomyces caviscabies	90079	CGMCC 4.1836	Scaffold	reference genome	523007	8097215	72	2
GCF_006788935.1	Streptomyces cavourensis	Streptomyces cavourensis	67258	DSM 41795	Contig	reference genome	7670394	7670394	72	11
GCF_001513965.1	Streptomyces cellostaticus	Streptomyces cellostaticus	67285	DSM 40189	Scaffold	reference genome	147351	9835283	71	3
GCF_000720995.1	Streptomyces celluloflavus	Streptomyces celluloflavus	58344	NRRL B-2493	Contig	reference genome	181994	8676521	71.5	16
GCF_042804095.1	Streptomyces cellulosae	Streptomyces cellulosae	1968	NPDC057399	Scaffold	reference genome	44879	7595424	72	5
GCF_024600715.1	Streptomyces changanensis	Streptomyces changanensis	2964669	HL-66	Complete Genome	reference genome	6817869	6900504	74	1
GCF_008704715.1	Streptomyces chartreusis	Streptomyces chartreusis	1969	ATCC 14922	Complete Genome	reference genome	9912098	9912098	71	61
GCF_001294335.1	Streptomyces chattanoogensis	Streptomyces chattanoogensis	66876	NRRL ISP-5002	Contig	reference genome	166063	9129105	71	4
GCF_030406905.1	Streptomyces chengbuensis	Streptomyces chengbuensis	3053466	HUAS CB01	Complete Genome	reference genome	8069256	8098788	72	1
GCF_029846775.1	Streptomyces chengmaiensis	Streptomyces chengmaiensis	3040919	HNM0663	Scaffold	reference genome	127268	7967480	71	1
GCF_039529885.1	Streptomyces cheonanensis	Streptomyces cheonanensis	312720	JCM 14549	Contig	reference genome	501107	5848275	73	1
GCF_036281785.1	Streptomyces chiangmaiensis	Streptomyces chiangmaiensis	766497	TA4-1	Contig	reference genome	32937	9707984	69.5	2
GCF_001642695.1	Streptomyces chilikensis	Streptomyces chilikensis	1194079	RC 1830	Scaffold	reference genome	28865	7121774	73.5	2
GCF_031845445.1	Streptomyces chisholmiae	Streptomyces chisholmiae	3075540	DSM 44915	Contig	reference genome	309249	7513680	73.5	1
GCF_029846675.1	Streptomyces chitinivorans	Streptomyces chitinivorans	1257027	RC1832	Contig	reference genome	146088	6055792	73	3
GCF_042655885.1	Streptomyces chlorus	Streptomyces chlorus	887452	CGMCC 4.5798	Scaffold	reference genome	99034	8164212	71	2
GCF_003865135.1	Streptomyces chrestomyceticus	Streptomyces chrestomyceticus JCM 4735	1306181	NBRC 13444	Contig	reference genome	9377418	9377418	72	11
GCF_015160875.1	Streptomyces chromofuscus	Streptomyces chromofuscus	42881	DSM 40273	Complete Genome	reference genome	7483282	7483282	71.5	2
GCF_014650755.1	Streptomyces chryseus	Streptomyces chryseus	68186	JCM 4737	Contig	reference genome	229344	7154268	71.5	5
GCF_014779715.1	Streptomyces chumphonensis	Streptomyces chumphonensis	1214925	KK1-2	Contig	reference genome	350958	5823549	73.5	4
GCF_009299385.1	Streptomyces cinereoruber	Streptomyces cinereoruber	67260	ATCC 19740	Complete Genome	reference genome	7516652	7516652	73	32
GCF_042430725.1	Streptomyces cinereospinus	Streptomyces cinereospinus	285561	JCM 6917	Scaffold	reference genome	56971	7730381	72.5	2
GCF_014648635.1	Streptomyces cinerochromogenes	Streptomyces cinerochromogenes	66422	JCM 3385	Scaffold	reference genome	354079	9098877	72.5	4
GCF_027270315.1	Streptomyces cinnabarinus	Streptomyces cinnabarinus	67287	DSM 40467	Complete Genome	reference genome	9621721	9621721	71	1
GCF_002939475.1	Streptomyces cinnamoneus	Streptomyces cinnamoneus	53446	DSM 41675	Contig	reference genome	6463510	6662690	72.5	8
GCF_014650775.1	Streptomyces cirratus	Streptomyces cirratus	68187	JCM 4738	Contig	reference genome	436464	7269234	72	2
GCF_036967205.1	Streptomyces citrinus	Streptomyces citrinus	3118173	Q6	Complete Genome	reference genome	8566166	8951745	71.5	1
GCF_036345975.1	Streptomyces clavifer	Streptomyces clavifer	68188	NBC_00558	Complete Genome	reference genome	7749650	8241378	71	17
GCF_005519465.1	Streptomyces clavuligerus	Streptomyces clavuligerus	1901	ATCC 27064	Complete Genome	reference genome	6748591	8544086	72.5	29
GCF_029223485.1	Streptomyces coacervatus	Streptomyces coacervatus	647381	JCM 17138	Contig	reference genome	395589	11291453	70	2
GCF_045041415.1	Streptomyces coelicoflavus	Streptomyces coelicoflavus	285562	NBC_00099	Complete Genome	reference genome	7979235	8418602	72	28
GCF_008931305.1	Streptomyces coelicolor	Streptomyces coelicolor A3(2)	100226	CFB_NBC_0001	Complete Genome		8667664	8667664	72	8
GCF_039532725.1	Streptomyces coeruleofuscus	Streptomyces coeruleofuscus	66879	JCM 4358	Scaffold	reference genome	596739	9250019	71	1
GCF_039542925.1	Streptomyces coeruleoprunus	Streptomyces coeruleoprunus	285563	JCM 6919	Contig	reference genome	7683881	7767749	72.5	3
GCF_008705135.1	Streptomyces coeruleorubidus	Streptomyces coeruleorubidus	116188	ATCC 13740	Complete Genome	reference genome	9335698	9335698	71	21
GCF_042657965.1	Streptomyces coerulescens	Streptomyces coerulescens	29304	CGMCC 4.1597	Scaffold	reference genome	423863	10061624	70.5	1
GCF_016741875.1	Streptomyces coffeae	Streptomyces coffeae	621382	CA1R205	Contig	reference genome	229793	9896405	70.5	1
GCF_031348265.1	Streptomyces collinus	Streptomyces collinus	42684	CGMCC 4.1623	Complete Genome	reference genome	8867154	8867154	71.5	41
GCF_001866645.1	Streptomyces colonosanans	Streptomyces colonosanans	1428652	MUSC 93	Contig	reference genome	99963	7015076	70	1
GCF_012034205.1	Streptomyces composti	Streptomyces composti	2720025	SBST2-5	Contig	reference genome	166826	6517216	72	1
GCF_019104725.1	Streptomyces corallincola	Streptomyces corallincola	2851888	J2-1	Contig	reference genome	109407	6394983	72.5	1
GCF_001514055.1	Streptomyces corchorusii	Streptomyces corchorusii	1903	DSM 40340	Scaffold	reference genome	211102	10309547	72	1
GCF_913919575.1	Streptomyces coriariae	Streptomyces coriariae	2864460	CMB-FB	Scaffold	reference genome	68940	9331620	71	1
GCF_011044975.1	Streptomyces coryli	Streptomyces coryli	1128680	A7024	Contig	reference genome	28409	9031846	71.5	1
GCF_003346515.1	Streptomyces corynorhini	Streptomyces corynorhini	2282652	AC230	Scaffold	reference genome	27620	7735729	71.5	1
GCF_039535435.1	Streptomyces cremeus	Streptomyces cremeus	66881	JCM 4362	Contig	reference genome	1251892	7830338	72.5	2
GCF_039521265.1	Streptomyces crystallinus	Streptomyces crystallinus	68191	JCM 5067	Scaffold	reference genome	165170	7901527	72	1
GCF_024295805.1	Streptomyces cucumeris	Streptomyces cucumeris	2962890	NEAU-Y11	Scaffold	reference genome	117045	9521471	71	6
GCF_014257025.1	Streptomyces cupreus	Streptomyces cupreus	2759956	PSKA01	Contig	reference genome	119198	9399224	70	1
GCF_001513975.1	Streptomyces curacoi	Streptomyces curacoi	146536	DSM 40107	Scaffold	reference genome	333488	8412249	71	1
GCF_039532705.1	Streptomyces cuspidosporus	Streptomyces cuspidosporus	66882	JCM 4316	Scaffold	reference genome	166232	9737097	72.5	1
GCF_003963535.1	Streptomyces cyaneochromogenes	Streptomyces cyaneochromogenes	2496836	MK-45	Complete Genome	reference genome	10677137	10677137	70.5	1
GCF_033109485.1	Streptomyces cyaneofuscatus	Streptomyces cyaneofuscatus	66883	89-2-2	Complete Genome	reference genome	8117999	8117999	71.5	88
