target_gene	locus_tag	start	end	strand	product	T1_mean_counts	T2_mean_counts	T3_mean_counts	T2vsT1_log2FC	T3vsT1_log2FC	T2vsT1_padj	T3vsT1_padj	is_target
SC_RS19670	SC_RS19655	3874908	3876263	+	MFS transporter	90.3	62.46	125.28	-0.502	0.46	0.0595543703772223	0.0554171391037153	
SC_RS19670	SC_RS19660	3877191	3877628	+	reverse transcriptase family protein	49.17	41.26	96.45	-0.243	0.899	0.4694932951418364	0.0019369803705126	
SC_RS19670	SC_RS19665	3877724	3878659	+	DUF5655 domain-containing protein	66.17	91.09	75.26	0.433	0.18	0.1332696447648645	0.5176437782300707	
SC_RS19670	SC_RS19670	3878757	3879503	-	DNA-methyltransferase	3.78	2.93	48.03	-0.215	3.508	0.7177675481917571	1.6497012649800672e-09	YES
SC_RS19670	SC_RS19675	3880083	3881228	+	C40 family peptidase	20.59	4.7	87.22	-1.832	1.909	0.0027561197160382	9.86189245077385e-05	
SC_RS19670	SC_RS19680	3881317	3881625	+	DUF6112 family protein								
SC_RS19670	SC_RS19685	3881625	3882305	+	hypothetical protein	2.72	2.95	39.93	0.071	3.667	0.9094305921000072	2.4358754688918082e-08	
SC_RS19670	SC_RS19690	3882333	3883742	+	SCO6881 family protein	15.19	6.21	78.07	-1.041	2.196	0.0607162912170738	1.3249878277884916e-05	
SC_RS19670	SC_RS19695	3883874	3885340	+	SCO6880 family protein	10.49	3.01	74.55	-1.459	2.733	0.0176216803355118	1.1979766498191512e-09	
SC_RS19670	SC_RS19700	3885367	3885819	+	DUF6238 family protein	5.31	4.46	24.36	-0.175	1.992	0.7644487484730744	0.00038375737380704546	
SC_RS19670	SC_RS19705	3885846	3887351	+	ATP-binding protein	39.84	16.44	98.9	-1.17	1.241	0.0030913494072548	0.00020306375346053527	
SC_RS19670	SC_RS19710	3887384	3888079	+	hypothetical protein	14.46	14.69	52.6	0.014	1.782	0.9768707171038958	1.2353762396834573e-06	
SC_RS19670	SC_RS19715	3888210	3888821	+	hypothetical protein	5.84	6.77	34.34	0.162	2.397	0.7698213708444103	2.925568862440866e-06	
SC_RS36625	SC_RS36575	7644396	7644821	-	hypothetical protein	0.0	0.94	28.17	0.718	7.683	0.2303077313879575	6.083941328859354e-08	
SC_RS36625	SC_RS36580	7644900	7645406	-	hypothetical protein	8.29	7.66	35.4	-0.103	1.921	0.8505311989579204	4.0970108334137155e-05	
SC_RS36625	SC_RS36585	7645403	7646185	-	ParB N-terminal domain-containing protein								
SC_RS36625	SC_RS36590	7646264	7647787	-	VirB4 family type IV secretion system protein	7.28	17.22	75.0	1.039	3.257	0.0337229484031688	2.2299755757118296e-11	
SC_RS36625	SC_RS36595	7647816	7648277	-	DUF6238 family protein	0.0	1.77	24.74	1.698	7.442	0.0471444598911072	1.4328145690621748e-07	
SC_RS36625	SC_RS36600	7648378	7649850	-	SCO6880 family protein	2.03	4.97	83.93	0.542	4.804	0.3693759198934717	1.6660125225344264e-05	
SC_RS36625	SC_RS36605	7649943	7651331	-	SCO6881 family protein	11.68	19.85	93.27	0.643	2.886	0.135682252146522	2.005613758352642e-12	
SC_RS36625	SC_RS36610	7651368	7652060	-	hypothetical protein	2.58	1.29	34.83	-0.465	3.597	0.4548420826833962	2.2971003209544978e-07	
SC_RS36625	SC_RS36615	7652060	7652374	-	DUF6112 family protein								
SC_RS36625	SC_RS36620	7652497	7653630	-	C40 family peptidase	3.33	7.59	62.95	0.887	4.099	0.1396939945673236	2.55975390133906e-09	
SC_RS36625	SC_RS36625	7654146	7654901	+	DNA-methyltransferase	2.72	3.95	46.0	0.308	3.871	0.6051590093004695	6.520141981844974e-09	YES
SC_RS36625	SC_RS36630	7655068	7655703	+	DUF4913 domain-containing protein	3.91	0.41	30.87	-2.003	2.707	0.0299220893354792	1.2512261644536987e-05	
SC_RS36625	SC_RS36635	7655700	7656185	+	hypothetical protein								
SC_RS36625	SC_RS36640	7656204	7656902	+	hypothetical protein	8.03	4.64	40.47	-0.562	2.199	0.2986265163281932	5.867119389098703e-06	
SC_RS36625	SC_RS36645	7656920	7657660	+	hypothetical protein	1.87	2.12	41.34	0.147	4.331	0.811569767951851	8.520920453495759e-09	
SC_RS36625	SC_RS36650	7657842	7658154	+	SH3 domain-containing protein								
SC_RS36625	SC_RS36655	7658251	7658733	+	hypothetical protein	1.14	3.24	23.03	0.771	3.987	0.2326768417429925	3.810508591720539e-05	
SC_RS36625	SC_RS36660	7658730	7659174	+	hypothetical protein	1.35	2.64	22.95	0.47	3.733	0.4416714750129573	6.471573943549884e-06	
SC_RS36625	SC_RS36665	7659185	7659598	+	hypothetical protein	1.67	4.82	24.5	0.965	3.558	0.1369160758634546	3.2387473756326676e-06	
SC_RS36625	SC_RS36670	7659639	7660481	+	winged helix-turn-helix transcriptional regulator	1.26	3.11	37.28	0.614	4.473	0.3266536048498064	4.2783348925533066e-07	
SC_RS36625	SC_RS36675	7660478	7660993	+	hypothetical protein	1.02	1.65	27.3	0.309	4.37	0.6079631023668588	2.133955954074493e-06	
SC_RS36625	SC_RS36680	7660990	7662225	+	MFS transporter	10.59	11.01	64.8	0.021	2.513	0.967852980125648	6.751071574081307e-10	
SC_RS36625	SC_RS36685	7662267	7662569	+	hypothetical protein								
SC_RS36625	SC_RS36690	7662605	7663855	+	ATP-binding protein	5.2	2.94	69.29	-0.535	3.617	0.3558328288800725	1.1012699217445071e-11	
