gene_id,old_locus_tag,chrom,start,end,strand,6mA_T1_count,6mA_T1_mean_freq,6mA_T2_count,6mA_T2_mean_freq,6mA_T3_count,6mA_T3_mean_freq,4mC_T1_count,4mC_T1_mean_freq,4mC_T2_count,4mC_T2_mean_freq,4mC_T3_count,4mC_T3_mean_freq,5mC_T1_count,5mC_T1_mean_freq,5mC_T2_count,5mC_T2_mean_freq,5mC_T3_count,5mC_T3_mean_freq,log2FC_T2_vs_T1,padj_T2_vs_T1,baseMean_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,baseMean_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,baseMean_T3_vs_T2,6mA_change_T2_vs_T1,6mA_change_T3_vs_T1,6mA_change_T3_vs_T2,4mC_change_T2_vs_T1,4mC_change_T3_vs_T1,4mC_change_T3_vs_T2
SC_RS02130,SCO0014,NC_003888.3,15317,15595,-,0,0.0,0,0.0,0,0.0,0,0.0,1,87.85333333333334,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,87.85333333333334,0.0,-87.85333333333334
SC_RS02135,SCO0015,NC_003888.3,16070,17302,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02140,SCO0016,NC_003888.3,17715,17918,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02145,SCO0017,NC_003888.3,17919,18263,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02150,SCO0018,NC_003888.3,18485,19363,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02155,SCO0020,NC_003888.3,19971,21620,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02160,SCO0021,NC_003888.3,21758,22210,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.181168913220386,0.7521673366693887,13.034163353926742,1.80766783371857,0.0008947794632898938,13.034163353926742,2.0517453268762424,0.0005894927830807846,13.034163353926742,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02180,SCO0026,NC_003888.3,23343,23831,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.0203349414281959,0.938044470084787,94.39519999357172,-0.908055134371964,5.6846824116779983e-05,94.39519999357172,-0.8857298631098528,0.00014846005266931647,94.39519999357172,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02185,,NC_003888.3,24378,24614,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.388951198895088,0.0191908523170005,14.6926988543963,0.5567979726033606,0.2301668649324,14.6926988543963,2.121767527991087,0.0005762446986058115,14.6926988543963,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02190,SCO0030,NC_003888.3,25248,25871,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.076883411098873,0.0602843694692657,15.482397435698694,1.313709002100099,0.0052651475789799,15.482397435698694,2.63862050076016,1.910111916361011e-05,15.482397435698694,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02195,SCO0031,NC_003888.3,25843,26385,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.1670083725818825,8.69858127064317e-05,47.59416216108941,-0.9371840830729052,0.0005026931132487494,47.59416216108941,0.2233615925510545,0.4803477995598331,47.59416216108941,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02200,SCO0033,NC_003888.3,26527,28728,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,7.47161366775822,1.4122883983557922e-82,553.2202663524433,6.342246465205891,7.154551170476657e-60,553.2202663524433,-1.0991102484383368,7.254930720119675e-09,553.2202663524433,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02205,SCO0034,NC_003888.3,29040,29519,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02210,SCO0035,NC_003888.3,29605,30054,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.9431917482372402,0.177873741288051,9.174542711393826,4.670246351020589,1.5181273676629487e-05,9.174542711393826,2.894953136669553,0.0001218760590532536,9.174542711393826,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02225,SCO0039,NC_003888.3,31625,32137,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.2707059448762548,0.0205519940287699,14.518810416961514,2.5501184271158226,2.9153622145470524e-06,14.518810416961514,1.062979842974028,0.0167191604929591,14.518810416961514,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02230,SCO0040,NC_003888.3,32134,33357,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.1826587507368818,0.7675019968597425,19.79396487595689,3.8565201374714007,1.3762382084544902e-08,19.79396487595689,4.14691803030035,8.0865415471495e-08,19.79396487595689,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02235,SCO0041,NC_003888.3,33360,33845,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02240,SCO0042,NC_003888.3,33842,34777,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.5953210171582464,0.2906400177470477,18.560035499335974,3.754945890620576,3.6065597582587277e-10,18.560035499335974,2.910719532236821,8.784748717804852e-08,18.560035499335974,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02245,SCO0043,NC_003888.3,35179,35907,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.2477729780628166,0.0005340860444254804,35.34932191665595,1.563668452208468,5.250985894522955e-06,35.34932191665595,0.2826801909335936,0.3826004702085016,35.34932191665595,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02250,SCO0044,NC_003888.3,36006,36674,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.3556687500885578,0.0214875912611373,16.699463121113997,1.090855466850782,0.0182979390911819,16.699463121113997,2.6954880121704385,1.6408308079524144e-05,16.699463121113997,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02255,SCO0046,NC_003888.3,36816,37478,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.543571632088415,0.272957969018617,20.77913122821787,0.537297232093022,0.2318119681737643,20.77913122821787,1.146958515391913,0.0213318891207848,20.77913122821787,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02260,SCO0047,NC_003888.3,37614,38768,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.217473568852473,0.4027410500128949,88.71235818703218,-0.0316704257102638,0.8956185470250986,88.71235818703218,0.1865627113648924,0.4642829208743619,88.71235818703218,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02265,,NC_003888.3,39107,39325,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02270,SCO0049,NC_003888.3,39489,39812,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.5842472073870432,0.2950266999087604,12.376786515211272,2.5616205539847687,1.3407077045394575e-05,12.376786515211272,1.7416867612732114,0.0012211361577006,12.376786515211272,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02275,SCO0050,NC_003888.3,39901,40212,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.596857971454212,0.0111840632540352,7.34895013975011,4.8923681088288955,3.118661728193791e-05,7.34895013975011,1.559450894417079,0.0099946282566573,7.34895013975011,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02285,SCO0053,NC_003888.3,41354,42174,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0780808579967122,0.8324543548037804,51.05444811767549,0.4159732473949868,0.1726042947825507,51.05444811767549,0.3357032959593764,0.2945372030080933,51.05444811767549,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02290,SCO0055,NC_003888.3,42171,43682,-,0,0.0,1,54.97,1,67.54,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.1798989915441698,1.8913036207927137e-11,208.0716971292935,0.0839849696814544,0.6552604170014542,208.0716971292935,-1.0942565444331749,2.905466009256815e-10,208.0716971292935,54.97,67.54,12.570000000000007,0.0,0.0,0.0
SC_RS02295,SCO0057,NC_003888.3,43950,44090,+,0,0.0,1,54.97,1,67.54,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.434361677092434,0.0006062496291587187,10.055893442838483,2.450797449933316,0.00035100116961994687,10.055893442838483,0.0015049134108942,0.9997721809913276,10.055893442838483,54.97,67.54,12.570000000000007,0.0,0.0,0.0
SC_RS02305,,NC_003888.3,44796,44975,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.482506466927447,0.0480589025718212,79.9899631634891,-1.3017148660251896,4.188422218566983e-08,79.9899631634891,-0.7984670984802175,0.0014196568947475,79.9899631634891,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02310,SCO0059,NC_003888.3,45267,46073,+,0,0.0,1,61.61333333333334,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.1478632562820879,0.6296128756025902,64.99373516864003,0.1226427473267916,0.6596839034468016,64.99373516864003,-0.025382544372543,0.9336907429230488,64.99373516864003,61.61333333333334,0.0,-61.61333333333334,0.0,0.0,0.0
SC_RS02315,SCO0060,NC_003888.3,46064,46201,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.3071537510509133,0.5467498817108806,11.44105291401606,0.0913330822469235,0.8445460089783282,11.44105291401606,0.4043547224343702,0.4076716168336181,11.44105291401606,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02320,SCO0061,NC_003888.3,46430,47734,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.831594141457368,5.227774815597633e-16,147.23727517870068,-1.4030687977450698,2.2113776276862505e-11,147.23727517870068,0.4130494792903594,0.0815329012590286,147.23727517870068,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02325,SCO0062,NC_003888.3,47789,48844,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.482151075954944,8.17419526957494e-08,92.50991632915984,-0.7226818523959183,0.0040285203706509,92.50991632915984,0.733896018052762,0.0086602383264226,92.50991632915984,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02330,SCO0063,NC_003888.3,48889,49824,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-1.20882726219268,3.7688951825281104e-06,66.22726572987733,-0.3287013636122964,0.1522795798991609,66.22726572987733,0.8697367154484416,0.0008777081826205852,66.22726572987733,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02335,SCO0064,NC_003888.3,49821,51539,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.0403712218809608,0.9134598831238848,74.07783997316224,0.6637798854808625,0.0313745734625094,74.07783997316224,0.7048682936400644,0.0272395941769216,74.07783997316224,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02340,SCO0065,NC_003888.3,51831,53144,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.9091506504753936,0.0621476984101415,30.607919166576412,3.3028332277098618,6.277887134503853e-12,30.607919166576412,2.210161337191858,3.675545226275694e-07,30.607919166576412,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02345,SCO0066,NC_003888.3,53141,54100,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.9959345830956104,0.0419262441877311,25.613791596106715,2.723209762787094,2.0541565404763617e-08,25.613791596106715,1.5394812216486888,0.00040019288908169505,25.613791596106715,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02350,SCO0067,NC_003888.3,54103,54918,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.7119304517551795,0.1671759107581868,21.50891103965724,3.104554289738999,1.7879120052350455e-09,21.50891103965724,2.1965830102507735,3.4043249728996736e-06,21.50891103965724,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02355,SCO0068,NC_003888.3,54968,56173,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.1412200314395486,0.0541593785485275,25.26565815919635,4.217991348162781,1.7178189649039413e-11,25.26565815919635,2.7566830420847617,1.2613785472850169e-07,25.26565815919635,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02360,SCO0069,NC_003888.3,56225,59383,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.4832623617495559,0.2186261151104759,70.5004470731079,2.6536720622756462,1.2779819260089857e-12,70.5004470731079,2.096079475960104,1.6975722282695823e-08,70.5004470731079,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02370,SCO0071,NC_003888.3,60069,60275,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.0220044564290917,0.9707034598613856,6.090587305680221,0.3556513980353151,0.528288586752574,6.090587305680221,0.3731416888590342,0.5262105801704674,6.090587305680221,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02375,,NC_003888.3,60485,60691,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.738116454663289,9.687766482521602e-07,40.08456757222422,1.375365382115441,6.032219529418808e-05,40.08456757222422,-0.3331260721199404,0.2882913499866864,40.08456757222422,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02380,SCO0072,NC_003888.3,60740,64066,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.655057648503602,4.1461729349246916e-30,190.34915725444773,2.905293361379285,6.2822679640217765e-37,190.34915725444773,0.239822306801646,0.2368981328401387,190.34915725444773,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02385,SCO0073,NC_003888.3,64587,64925,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.3721655435904751,0.5101590260727418,9.80921243475128,4.427041389344312,1.7148067795371017e-06,9.80921243475128,5.3704289908207485,9.42369990400811e-06,9.80921243475128,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02390,SCO0075,NC_003888.3,65140,65679,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.6460597280545264,0.00021069920996065616,30.433290554398383,3.0568591441004123,5.824083355760587e-13,30.433290554398383,1.2844149177718007,0.0001395962985209846,30.433290554398383,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02400,,NC_003888.3,66104,66418,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02405,SCO0079,NC_003888.3,66688,67911,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.7722089460426576,9.375498929373716e-06,50.76543985561193,3.0508456323556863,2.820401904609062e-15,50.76543985561193,1.173149127762695,0.0003247488192197706,50.76543985561193,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02410,SCO0080,NC_003888.3,68372,68887,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.4543285874008771,0.3271385705101007,20.22369921999751,0.7038434761624848,0.0849157479400169,20.22369921999751,1.2114900747789812,0.0076651138365939,20.22369921999751,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02420,SCO0083,NC_003888.3,69799,70647,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.3862661785992168,0.5097260184471352,16.744338570028383,3.747444661085867,2.0285212742402783e-08,16.744338570028383,3.123974133513336,9.765065549994808e-07,16.744338570028383,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02425,SCO0084,NC_003888.3,70777,71235,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.0483747723776852,0.9164600387909184,19.674795692364924,0.4096580370269984,0.2862524326470633,19.674795692364924,0.4576155576519862,0.260109581143195,19.674795692364924,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02430,,NC_003888.3,71273,71431,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.5399555449149438,0.330402868294143,10.022751893426223,0.8821504702270438,0.0735662257624237,10.022751893426223,1.5568525461193294,0.0079916698381196,10.022751893426223,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02435,SCO0085,NC_003888.3,71648,72139,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0051761512663275,0.9927177069190948,10.27728761785616,2.340244923141716,0.0001354342431853493,10.27728761785616,2.306225461373934,0.0003793161565972228,10.27728761785616,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02440,SCO0086,NC_003888.3,72159,73097,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.6245080555692011,0.1032369280989004,35.38758149323478,1.3629061339452957,0.0001450685200028286,35.38758149323478,0.6859886893485069,0.0503626068103209,35.38758149323478,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02445,SCO0087,NC_003888.3,73784,74833,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.2032041538526683,0.0008042831438556441,57.70557884231302,1.3174011337872826,0.0001450685200028286,57.70557884231302,0.1008802959748551,0.7797694874185843,57.70557884231302,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02450,SCO0088,NC_003888.3,74917,75876,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.4453453846263303,0.218859504466575,39.31928979686657,0.8991103082955653,0.0069127262429047,39.31928979686657,0.432119538656414,0.2024788657374312,39.31928979686657,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02455,SCO0089,NC_003888.3,75916,76893,+,0,0.0,0,0.0,0,0.0,0,0.0,1,78.55999999999999,0,0.0,0,0,0,0,0,0,1.9589972494364425,2.5249380577013426e-17,101.96837109266303,1.3127734931300468,9.797260265484812e-09,101.96837109266303,-0.623856565940799,0.0023946579127299,101.96837109266303,0.0,0.0,0.0,78.55999999999999,0.0,-78.55999999999999
SC_RS02465,SCO0091,NC_003888.3,77315,78271,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02480,SCO0097,NC_003888.3,80845,81165,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.3174868170302123,7.982079274174585e-07,116.65885906592588,0.6067912290354254,0.0208126549239691,116.65885906592588,-0.6881786865112709,0.0076033551998754,116.65885906592588,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02485,SCO0098,NC_003888.3,81602,82441,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02495,SCO0101,NC_003888.3,83516,84235,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.3415912853664873,0.224859772398857,62.31286057993048,-0.030064976670507,0.912291028332213,62.31286057993048,-0.3724943750871819,0.1693107125779583,62.31286057993048,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02500,SCO0103,NC_003888.3,85468,86643,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.8897573576670413,0.0031874311091769,67.65176355973813,-0.3136892898009557,0.2631527550618669,67.65176355973813,0.5674617723652883,0.0600252499798888,67.65176355973813,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02505,SCO0104,NC_003888.3,86640,87311,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,-0.6173416585110286,0.0422301046858201,49.15844524731872,-0.1460510044925792,0.6056077742080179,49.15844524731872,0.4707078601485101,0.1172048269882806,49.15844524731872,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02510,SCO0105,NC_003888.3,87907,88632,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.1753179018308613,0.7720984641592445,13.508185331823896,3.1903414118229114,1.0547595816928266e-06,13.508185331823896,2.885842575881275,1.2969295785577984e-05,13.508185331823896,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02515,SCO0106,NC_003888.3,89073,89465,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.6123527576047154,8.876161796377943e-11,40.53626276557434,2.856511209283222,3.235985835376903e-13,40.53626276557434,0.218727298123399,0.466903777877109,40.53626276557434,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02520,SCO0107,NC_003888.3,89486,90010,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.6389323588245928,2.2618819002555827e-15,54.88128839421697,1.7903497188512851,5.1631718582045325e-08,54.88128839421697,-0.7948552213153798,0.0031587646017305,54.88128839421697,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02525,,NC_003888.3,90584,90757,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.281414431515953,0.0446858866294883,11.410550200842325,3.0998031137231243,4.94288990330923e-06,11.410550200842325,1.4506278542642237,0.005829402930989,11.410550200842325,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02530,SCO0110,NC_003888.3,90951,91790,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.202280419097655,6.644293286168122e-13,66.11440299135131,2.012106769769616,1.9538620894274818e-11,66.11440299135131,-0.1787969240127903,0.5034222906427657,66.11440299135131,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02535,SCO0111,NC_003888.3,91977,92729,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1.398071437225238,0.024729703508318,19.898068512341748,3.886167256918603,3.4622077688607924e-09,19.898068512341748,2.136618675179403,4.336212939134456e-05,19.898068512341748,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02540,,NC_003888.3,93220,93549,-,0,0.0,1,58.870000000000005,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.7557874408092828,0.2538473934587618,10.078287858484636,4.912156419816346,5.078738991239979e-06,10.078287858484636,3.385828414436463,1.557498132131862e-05,10.078287858484636,58.870000000000005,0.0,-58.870000000000005,0.0,0.0,0.0
