tfbs_id	tf_name	start	end	center	width	strand	pvalue	context	in_reg_promoter	in_nonreg_promoter	region	GCCGGC_T1_overlap	GCCGGC_T1_count	GCCGGC_T1_nearest_dist	AAGCCCG_T1_overlap	AAGCCCG_T1_count	AAGCCCG_T1_nearest_dist	All_4mC_T1_overlap	All_4mC_T1_count	All_4mC_T1_nearest_dist	All_6mA_T1_overlap	All_6mA_T1_count	All_6mA_T1_nearest_dist	All_T1_overlap	All_T1_count	All_T1_nearest_dist
67	GlnR	1958192	1958207	1958199	16	-	3.85e-06	promoter	False	True	core	False	0	2702	False	0	22867	False	0	2702	False	0	1881	False	0	1881
68	GlnR	2357032	2357047	2357039	16	+	3.85e-06	intragenic	False	False	core	False	0	331	False	0	33724	False	0	331	False	0	2178	False	0	331
69	GlnR	2474054	2474069	2474061	16	+	3.85e-06	promoter	False	True	core	False	0	318	False	0	10492	False	0	318	False	0	1747	False	0	318
70	GlnR	2780084	2780099	2780091	16	+	3.85e-06	promoter	False	True	core	False	0	970	False	0	31041	False	0	227	False	0	4537	False	0	227
71	GlnR	3016297	3016312	3016304	16	+	3.85e-06	promoter	False	True	core	False	0	93	False	0	16295	False	0	93	False	0	3484	False	0	93
72	GlnR	3334518	3334533	3334525	16	+	3.85e-06	promoter	False	True	core	False	0	2192	False	0	7457	False	0	2192	False	0	1664	False	0	1664
73	GlnR	3475235	3475250	3475242	16	-	3.85e-06	promoter	False	True	core	False	0	1899	False	0	6783	False	0	1899	False	0	2914	False	0	1899
74	GlnR	3481678	3481693	3481685	16	+	3.85e-06	promoter	False	True	core	False	0	154	False	0	13226	False	0	154	False	0	3529	False	0	154
75	GlnR	3696449	3696464	3696456	16	+	3.85e-06	intragenic	False	False	core	False	0	29	False	0	18615	False	0	29	False	0	1441	False	0	29
76	GlnR	4068783	4068798	4068790	16	-	3.85e-06	promoter	False	True	core	False	0	4578	False	0	19586	False	0	4578	False	0	13535	False	0	4578
77	GlnR	4192691	4192706	4192698	16	-	3.85e-06	intragenic	False	False	core	False	0	1647	False	0	17012	False	0	1647	False	0	1651	False	0	1647
78	GlnR	4378135	4378150	4378142	16	+	3.85e-06	promoter	False	True	core	False	0	250	False	0	10297	False	0	250	False	0	2688	False	0	250
79	GlnR	5702351	5702366	5702358	16	-	3.85e-06	promoter	True	False	core	False	0	6548	False	0	4361	False	0	4365	False	0	4361	False	0	4361
80	GlnR	6149590	6149605	6149597	16	+	3.85e-06	intragenic	False	False	core	False	0	2255	False	0	6572	False	0	2255	False	0	4718	False	0	2255
81	GlnR	6257558	6257573	6257565	16	-	3.85e-06	promoter	False	True	core	False	0	2893	False	0	12240	False	0	2893	False	0	3032	False	0	2893
82	GlnR	7066083	7066098	7066090	16	+	3.85e-06	promoter	False	True	core	False	0	340	False	0	26597	False	0	340	False	0	32	False	0	32
83	GlnR	7826472	7826487	7826479	16	+	3.85e-06	promoter	False	True	arm	False	0	10215	False	0	11181	False	0	2303	False	0	2299	False	0	2299
84	GlnR	7913269	7913284	7913276	16	-	3.85e-06	intragenic	False	False	arm	False	0	2372	False	0	8067	False	0	2372	False	0	901	False	0	901
85	GlnR	7949068	7949083	7949075	16	+	3.85e-06	promoter	False	True	arm	False	0	13576	False	0	27732	False	0	5572	False	0	3210	False	0	3210
86	GlnR	7977337	7977352	7977344	16	+	3.85e-06	promoter	False	True	arm	False	0	3247	False	0	14990	False	0	3247	False	0	6725	False	0	3247
87	GlnR	8575171	8575186	8575178	16	-	3.85e-06	promoter	False	True	arm	False	0	10365	False	0	3765	False	0	3769	False	0	3765	False	0	3765
88	GlnR	649824	649839	649831	16	+	7.71e-06	promoter	True	False	arm	False	0	2546	False	0	1596	False	0	1377	True	1	5	True	1	5
89	GlnR	794759	794774	794766	16	-	7.71e-06	promoter	False	True	arm	False	0	7081	False	0	27057	False	0	7081	False	0	1261	False	0	1261
90	GlnR	2596728	2596743	2596735	16	-	7.71e-06	promoter	False	True	core	False	0	1278	False	0	15065	False	0	1278	False	0	160	False	0	160
91	GlnR	4292388	4292403	4292395	16	+	7.71e-06	promoter	False	True	core	False	0	234	False	0	9703	False	0	216	False	0	8046	False	0	216
92	GlnR	4292386	4292401	4292393	16	-	7.71e-06	promoter	False	True	core	False	0	232	False	0	9701	False	0	214	False	0	8044	False	0	214
93	GlnR	4700728	4700743	4700735	16	-	7.71e-06	promoter	False	True	core	False	0	420	False	0	29661	False	0	420	False	0	1537	False	0	420
94	GlnR	6560353	6560368	6560360	16	-	7.71e-06	promoter	False	True	core	False	0	1348	False	0	164861	False	0	1348	False	0	2257	False	0	1348
95	GlnR	6619056	6619071	6619063	16	-	7.71e-06	promoter	True	False	core	False	0	2870	False	0	106158	False	0	2870	False	0	2503	False	0	2503
96	GlnR	7045557	7045572	7045564	16	+	7.71e-06	intergenic	False	False	core	False	0	2072	False	0	6071	False	0	2072	False	0	823	False	0	823
97	GlnR	7053394	7053409	7053401	16	-	7.71e-06	promoter	False	True	core	False	0	4671	False	0	13908	False	0	2593	False	0	5259	False	0	2593
98	GlnR	7669556	7669571	7669563	16	-	7.71e-06	intergenic	False	False	arm	False	0	2178	False	0	5057	False	0	946	False	0	1586	False	0	946
99	GlnR	2304419	2304434	2304426	16	-	1.15e-05	promoter	False	True	core	False	0	432	False	0	10957	False	0	432	False	0	2632	False	0	432
100	GlnR	6421494	6421509	6421501	16	-	1.15e-05	promoter	False	True	core	False	0	712	False	0	57721	False	0	712	False	0	2868	False	0	712
101	GlnR	59016	59031	59023	16	-	1.49e-05	intragenic	False	False	arm	False	0	27199	False	0	23104	False	0	15266	False	0	1629	False	0	1629
102	GlnR	100547	100562	100554	16	+	1.49e-05	intragenic	False	False	arm	False	0	8196	False	0	17668	False	0	8196	False	0	3671	False	0	3671
103	GlnR	102353	102368	102360	16	-	1.49e-05	intragenic	False	False	arm	False	0	6390	False	0	19474	False	0	6390	False	0	2161	False	0	2161
104	GlnR	118911	118926	118918	16	+	1.49e-05	intragenic	False	False	arm	False	0	10168	False	0	8332	False	0	10168	False	0	2116	False	0	2116
105	GlnR	238118	238133	238125	16	+	1.49e-05	intergenic	False	False	arm	False	0	3023	False	0	2140	False	0	3023	False	0	2140	False	0	2140
106	GlnR	248973	248988	248980	16	-	1.49e-05	intragenic	False	False	arm	False	0	2382	False	0	8715	False	0	2382	False	0	1443	False	0	1443
107	GlnR	328028	328043	328035	16	-	1.49e-05	promoter	False	True	arm	False	0	4616	False	0	6148	False	0	4616	False	0	348	False	0	348
108	GlnR	343241	343256	343248	16	+	1.49e-05	promoter	False	True	arm	False	0	8210	False	0	14642	False	0	8210	False	0	2482	False	0	2482
109	GlnR	381386	381401	381393	16	-	1.49e-05	intragenic	False	False	arm	False	0	389	False	0	23503	False	0	389	False	0	348	False	0	348
110	GlnR	397524	397539	397531	16	-	1.49e-05	promoter	False	True	arm	False	0	9007	False	0	39641	False	0	9007	False	0	2902	False	0	2902
111	GlnR	456557	456572	456564	16	-	1.49e-05	intragenic	False	False	arm	False	0	2993	False	0	10470	False	0	2993	False	0	995	False	0	995
112	GlnR	529761	529776	529768	16	+	1.49e-05	intragenic	False	False	arm	False	0	38439	False	0	35870	False	0	38439	False	0	788	False	0	788
113	GlnR	622581	622596	622588	16	+	1.49e-05	promoter	False	True	arm	False	0	1752	False	0	8429	False	0	1752	False	0	1245	False	0	1245
114	GlnR	679439	679454	679446	16	-	1.49e-05	intergenic	False	False	arm	False	0	4548	False	0	8588	False	0	4548	False	0	1400	False	0	1400
115	GlnR	714350	714365	714357	16	+	1.49e-05	promoter	False	True	arm	False	0	2951	False	0	21632	False	0	2951	False	0	59	False	0	59
116	GlnR	714350	714365	714357	16	-	1.49e-05	promoter	False	True	arm	False	0	2951	False	0	21632	False	0	2951	False	0	59	False	0	59
117	GlnR	754477	754492	754484	16	-	1.49e-05	intragenic	False	False	arm	False	0	795	False	0	13225	False	0	795	False	0	895	False	0	795
118	GlnR	761893	761908	761900	16	+	1.49e-05	intergenic	False	False	arm	False	0	8211	False	0	5809	False	0	185	False	0	1195	False	0	185
119	GlnR	812615	812630	812622	16	-	1.49e-05	promoter	False	True	arm	False	0	10775	False	0	44913	False	0	10775	False	0	803	False	0	803
120	GlnR	906968	906983	906975	16	+	1.49e-05	intragenic	False	False	arm	False	0	4157	False	0	35148	False	0	4157	False	0	1045	False	0	1045
121	GlnR	1035677	1035692	1035684	16	+	1.49e-05	intragenic	False	False	arm	True	1	2	False	0	7020	True	1	2	False	0	2984	True	1	2
122	GlnR	1045921	1045936	1045928	16	-	1.49e-05	promoter	False	True	arm	False	0	10242	False	0	747	False	0	10242	False	0	747	False	0	747
123	GlnR	1146197	1146212	1146204	16	+	1.49e-05	intragenic	False	False	arm	False	0	1577	False	0	1400	False	0	1397	False	0	193	False	0	193
124	GlnR	1146197	1146212	1146204	16	-	1.49e-05	intragenic	False	False	arm	False	0	1577	False	0	1400	False	0	1397	False	0	193	False	0	193
125	GlnR	1312294	1312309	1312301	16	-	1.49e-05	promoter	False	True	arm	False	0	8112	False	0	29553	False	0	8112	False	0	2375	False	0	2375
126	GlnR	1319719	1319734	1319726	16	+	1.49e-05	promoter	False	True	arm	False	0	687	False	0	36978	False	0	687	False	0	729	False	0	687
127	GlnR	1379823	1379838	1379830	16	+	1.49e-05	promoter	False	True	arm	False	0	3890	False	0	52544	False	0	1034	False	0	7063	False	0	1034
128	GlnR	1385977	1385992	1385984	16	-	1.49e-05	intragenic	False	False	arm	False	0	491	False	0	46390	False	0	491	False	0	4947	False	0	491
129	GlnR	1386170	1386185	1386177	16	-	1.49e-05	intragenic	False	False	arm	False	0	298	False	0	46197	False	0	298	False	0	4754	False	0	298
130	GlnR	1418465	1418480	1418472	16	-	1.49e-05	intragenic	False	False	arm	False	0	3897	False	0	13902	False	0	1854	False	0	5420	False	0	1854
131	GlnR	1422254	1422269	1422261	16	-	1.49e-05	promoter	False	True	arm	False	0	108	False	0	10113	False	0	108	False	0	1631	False	0	108
132	GlnR	1548676	1548691	1548683	16	+	1.49e-05	intragenic	False	False	core	False	0	62	False	0	1807	False	0	62	False	0	1807	False	0	62
133	GlnR	1652122	1652137	1652129	16	+	1.49e-05	promoter	False	True	core	False	0	2127	False	0	8765	False	0	2127	False	0	1199	False	0	1199
134	GlnR	1719995	1720010	1720002	16	+	1.49e-05	promoter	False	True	core	False	0	2137	False	0	4204	False	0	2137	False	0	572	False	0	572
135	GlnR	1759100	1759115	1759107	16	-	1.49e-05	intragenic	False	False	core	False	0	1197	False	0	17847	False	0	1197	False	0	2720	False	0	1197
136	GlnR	1902568	1902583	1902575	16	+	1.49e-05	intragenic	False	False	core	False	0	1935	False	0	21062	False	0	1935	False	0	86	False	0	86
137	GlnR	1950626	1950641	1950633	16	+	1.49e-05	promoter	False	True	core	False	0	4864	False	0	30433	False	0	1457	False	0	99	False	0	99
138	GlnR	2062571	2062586	2062578	16	+	1.49e-05	intragenic	False	False	core	False	0	948	False	0	7540	False	0	948	False	0	7540	False	0	948
139	GlnR	2104256	2104271	2104263	16	+	1.49e-05	promoter	False	True	core	False	0	130	False	0	9949	False	0	130	False	0	343	False	0	130
140	GlnR	2112103	2112118	2112110	16	-	1.49e-05	intragenic	False	False	core	False	0	3624	False	0	11353	False	0	2507	False	0	3669	False	0	2507
141	GlnR	2135047	2135062	2135054	16	-	1.49e-05	promoter	False	True	core	False	0	1919	False	0	5332	False	0	1919	False	0	453	False	0	453
142	GlnR	2177400	2177415	2177407	16	+	1.49e-05	promoter	False	True	core	False	0	1235	False	0	3883	False	0	714	False	0	589	False	0	589
143	GlnR	2231904	2231919	2231911	16	+	1.49e-05	promoter	False	True	core	False	0	4010	False	0	2154	False	0	96	False	0	2154	False	0	96
144	GlnR	2334056	2334071	2334063	16	+	1.49e-05	intragenic	False	False	core	False	0	51	False	0	18262	False	0	51	False	0	655	False	0	51
145	GlnR	2394247	2394262	2394254	16	+	1.49e-05	promoter	False	True	core	False	0	1398	False	0	3490	False	0	1398	False	0	362	False	0	362
146	GlnR	2457526	2457541	2457533	16	+	1.49e-05	promoter	False	True	core	False	0	554	False	0	27020	False	0	554	False	0	1458	False	0	554
147	GlnR	2468762	2468777	2468769	16	+	1.49e-05	intragenic	False	False	core	False	0	603	False	0	15784	False	0	603	False	0	3545	False	0	603
148	GlnR	2468762	2468777	2468769	16	-	1.49e-05	intragenic	False	False	core	False	0	603	False	0	15784	False	0	603	False	0	3545	False	0	603
149	GlnR	2543188	2543203	2543195	16	+	1.49e-05	promoter	False	True	core	False	0	84	False	0	13435	False	0	84	False	0	4307	False	0	84
150	GlnR	2620407	2620422	2620414	16	-	1.49e-05	intragenic	False	False	core	False	0	10026	False	0	7718	False	0	7714	False	0	2065	False	0	2065
151	GlnR	2654401	2654416	2654408	16	-	1.49e-05	promoter	True	False	core	False	0	3374	False	0	26276	False	0	3374	False	0	2302	False	0	2302
152	GlnR	2677528	2677543	2677535	16	+	1.49e-05	intragenic	False	False	core	False	0	2329	False	0	34537	False	0	2281	False	0	5412	False	0	2281
153	GlnR	2730380	2730395	2730387	16	+	1.49e-05	promoter	False	True	core	False	0	2590	False	0	18315	False	0	2590	False	0	4933	False	0	2590
154	GlnR	2806861	2806876	2806868	16	+	1.49e-05	intragenic	False	False	core	False	0	7057	False	0	4264	False	0	2749	False	0	4264	False	0	2749
155	GlnR	2822786	2822801	2822793	16	+	1.49e-05	promoter	False	True	core	False	0	6090	False	0	5015	False	0	5011	False	0	2525	False	0	2525
156	GlnR	2899341	2899356	2899348	16	-	1.49e-05	promoter	False	True	core	False	0	2083	False	0	5685	False	0	1669	False	0	1305	False	0	1305
157	GlnR	2906897	2906912	2906904	16	-	1.49e-05	intragenic	False	False	core	False	0	652	False	0	13241	False	0	652	False	0	1209	False	0	652
158	GlnR	2911713	2911728	2911720	16	+	1.49e-05	promoter	False	True	core	False	0	113	False	0	18057	False	0	113	False	0	4073	False	0	113
159	GlnR	2923625	2923640	2923632	16	+	1.49e-05	intragenic	False	False	core	False	0	2716	False	0	29969	False	0	1511	False	0	549	False	0	549
160	GlnR	2996505	2996520	2996512	16	-	1.49e-05	intragenic	False	False	core	False	0	1003	False	0	36087	False	0	1003	False	0	2507	False	0	1003
161	GlnR	3146543	3146558	3146550	16	+	1.49e-05	intragenic	False	False	core	False	0	5456	False	0	23555	False	0	833	False	0	2604	False	0	833
162	GlnR	3215543	3215558	3215550	16	+	1.49e-05	intragenic	False	False	core	False	0	3597	False	0	5700	False	0	2220	False	0	2671	False	0	2220
163	GlnR	3282413	3282428	3282420	16	-	1.49e-05	intragenic	False	False	core	False	0	803	False	0	21506	False	0	803	False	0	4076	False	0	803
164	GlnR	3289005	3289020	3289012	16	-	1.49e-05	promoter	True	False	core	False	0	7395	False	0	14914	False	0	2257	False	0	2121	False	0	2121
165	GlnR	3303843	3303858	3303850	16	-	1.49e-05	intragenic	False	False	core	False	0	1679	False	0	76	False	0	1476	False	0	76	False	0	76
166	GlnR	3329148	3329163	3329155	16	+	1.49e-05	promoter	False	True	core	False	0	7562	False	0	12827	False	0	6517	False	0	3189	False	0	3189
167	GlnR	3371140	3371155	3371147	16	+	1.49e-05	intragenic	False	False	core	False	0	1584	False	0	14213	False	0	512	False	0	5938	False	0	512
168	GlnR	3371140	3371155	3371147	16	-	1.49e-05	intragenic	False	False	core	False	0	1584	False	0	14213	False	0	512	False	0	5938	False	0	512
169	GlnR	3404095	3404110	3404102	16	+	1.49e-05	promoter	False	True	core	False	0	373	False	0	11805	False	0	373	False	0	2774	False	0	373
170	GlnR	3426779	3426794	3426786	16	-	1.49e-05	intragenic	False	False	core	False	0	868	False	0	19750	False	0	83	False	0	285	False	0	83
171	GlnR	3458934	3458949	3458941	16	+	1.49e-05	promoter	False	True	core	False	0	1887	False	0	9518	False	0	869	False	0	4526	False	0	869
172	GlnR	3460723	3460738	3460730	16	+	1.49e-05	intragenic	False	False	core	False	0	1417	False	0	7729	False	0	521	False	0	4346	False	0	521
173	GlnR	3563095	3563110	3563102	16	+	1.49e-05	intragenic	False	False	core	False	0	13052	False	0	26500	False	0	74	False	0	1453	False	0	74
174	GlnR	3660746	3660761	3660753	16	-	1.49e-05	promoter	False	True	core	False	0	2023	False	0	54318	False	0	2023	False	0	2280	False	0	2023
175	GlnR	3692892	3692907	3692899	16	+	1.49e-05	intragenic	False	False	core	False	0	741	False	0	22172	False	0	741	False	0	1617	False	0	741
176	GlnR	3692892	3692907	3692899	16	-	1.49e-05	intragenic	False	False	core	False	0	741	False	0	22172	False	0	741	False	0	1617	False	0	741
177	GlnR	3996082	3996097	3996089	16	-	1.49e-05	promoter	False	True	core	False	0	675	False	0	35719	False	0	675	False	0	680	False	0	675
178	GlnR	4100818	4100833	4100825	16	-	1.49e-05	promoter	False	True	core	False	0	697	False	0	12449	False	0	456	False	0	6439	False	0	456
179	GlnR	4113228	4113243	4113235	16	-	1.49e-05	promoter	False	True	core	False	0	9856	False	0	1365	False	0	1361	False	0	1365	False	0	1361
180	GlnR	4185150	4185165	4185157	16	-	1.49e-05	intragenic	False	False	core	False	0	3163	False	0	11515	False	0	3163	False	0	2132	False	0	2132
181	GlnR	4193166	4193181	4193173	16	-	1.49e-05	intragenic	False	False	core	False	0	2122	False	0	16537	False	0	2122	False	0	1176	False	0	1176
182	GlnR	4247216	4247231	4247223	16	+	1.49e-05	intragenic	False	False	core	False	0	7139	False	0	9360	False	0	7139	False	0	2476	False	0	2476
