en_line	quote	manuscript_value	source_of_manuscript_value	canonical_value	canonical_source	status	note
203	Spearman ρ = 0.43 between the ΔT1→T2 methylation change and the ΔM→L FIRE change per 5-kb window … p = 0.026	ρ 0.43; p 0.026	76_FIRE_methylation_crossref/scripts/fire_methyl_crossref.py (m_n_T2 from 37_ dedup table; verified identical)	ρ = 0.397, circular-shift p = 0.030 (2,000 shifts) on canonical T2 counts; ρ(T2 count vs FIRE_L) changes from −0.42 (dedup) to +0.04 (canonical)	suppfig8c_dmeth_vs_dfire_recompute.tsv	dedup_artifact	Headline ρ approximately survives; the sign of the T2-static correlation does not.
211	BGC GCCGGC methylation is erased on the same genome-wide schedule (140 → 80 → 4 sites at T1 → T2 → T3)	140 → 80 → 4	37_ dedup table intersected with the 29 antiSMASH regions (reproduces exactly)	140 → 214 → 118	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) + 72_antismash_genomewide/bgc_methylation_proximity.tsv region coordinates	dedup_artifact	No producing script found; the numbers reproduce from the dedup table + 72_ region coordinates.
217	the T3 value is not interpreted, since only 21 GCCGGC 4mC sites remain genome-wide	21	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
255	concordance with the developmental collapse of GCCGGC sites (≈1,289 → 407 → 21 across T1→T2→T3)	1,289 → 407 → 21	57_temporal_dynamics_exposed_TF/scripts/v_defense_MTase_expression_dynamics.py (reads 23_ 4mC_final_census.csv)	1,289 → 1,595 → 1,073 (no collapse); the MTase concordance ranking (SC_RS12890) was not recomputed	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	The expression-concordance candidate ranking is built against a series that does not exist in the canonical file.
261	synchronous demethylation of the 62 Exposed regulators' promoters at T2	62 → 0	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	56 of 62 retain a site within 293 bp at T2	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
261	redistribution of GCCGGC 4mC methylation from chromosomal core to arms at T2	core → arms	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	core share 83% → 66% (still core-enriched vs 63% genomic expectation)	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
267	synchronous demethylation of the 62 Exposed promoters (T1 → 0 at T2) … the 62 → 0 transition is identical on this set	62 → 0 on ≥3-replicate set	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21) (canonical file is itself n_reps = 3 for all rows)	62 → 56 on the same ≥3-replicate canonical file	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	The robustness claim inherits the dedup artefact; replicate filtering is not the issue.
290	4mC 1,987 / 2,446 / 1,647 and 6mA 1,934 / 2,120 / 2,295	1,987/2,446/1,647; 1,934/2,120/2,295	15_paper_figures/scripts/01_figure1_landscape.py panel_b (load_methylation_hc_all, 'true counts, not deduplicated')	identical	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	canonical_ok	Figure 1b is internally inconsistent with Figure 2b (1,289/407/21) in the same manuscript.
294	T1 83% core of n = 1,289; T2 18% of n = 407; T3 38% of n = 21	83%/1,289; 18%/407; 38%/21	15_paper_figures/scripts/02b_figure2_RM_redistribution.py + 31_merged_figure2_geography.py reading 37_ dedup table	83.0%/1,289; 66.0%/1,595; 68.7%/1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Figure 2a tracks and 2b bars both embed the dedup counts.
294	"a T2 ""arm-redistributed"" state after synchronous erasure and relocation"	schematic	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	T2: 66% core, 1,188 T1 sites persist, 407 new (18% core), 101 T1 sites lost	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) first_appearance_decomposition.tsv	dedup_artifact	
302	all 62 are methylated at T1 (12 h), none at T2 (24 h) and one at T3 (50 h) … Jaccard = 0	62/0/1; Jaccard 0	52_ F4_F5_reframe_figures.py (Figure5_synchronized_demethylation → Figure5.png = main Fig 4a) reading 37_ dedup table	62/56/45; Jaccard 0.700	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
368	dynamic GCCGGC sites (n = 243 of 855) and AAGCCCG sites (n = 47 of 147)	243/855; 47/147	70_ A5b (canonical file)	244/858; 97/309 with 0-based mapping	see L47	canonical_ok	See L47 caveats.
379	(c) Developmental co-change … Spearman ρ = 0.43; … p = 0.026	ρ 0.43	76_ via 37_ dedup table	ρ 0.397, p 0.030	suppfig8c_dmeth_vs_dfire_recompute.tsv	dedup_artifact	
391	core fraction 83% → 18% → 38%); AAGCCCG shifts at T2 (82% → 38% → 61%) … n = 1,146 at T1	83/18/38; 82/38/61 (n 1,146)	77_reviewer_figures/fig_modpos_and_redistribution.py reading 37_ table and 07_ methylation_site_sequences.csv (both first-appearance)	GCCGGC 83.0/66.0/68.7%; AAGCCCG pooled 4mC+6mA 82.2/70.4/73.0% (n = 1,116/1,302/1,017)	aagcccg_pooled_core_fraction_canonical.tsv	dedup_artifact	Both motif systems in Supp Fig 11 are dedup-derived.
399	site number collapses (GCCGGC 1,289→407→21) … T3 strata small (n = 15–38)	1,289→407→21	79_C4_region_by_timepoint (23_ census)	1,289→1,595→1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
411	T2 arm-localisation occurs under near-uniform coverage	T2 arm-localisation	78_ C1 (premise from 37_ table)	T2 is 66% core	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Coverage ratios unaffected.
427	GCCGGC-Exposed marks are erased synchronously and near-completely at T2 (100% → 0% → 1.6%)	100/0/1.6%	52_ F4_F5_reframe_figures.py (SuppFigure20.png) via 37_ table	100% → 90.3% → 72.6% (62/56/45)	exposed62_promoter_methylation_by_timepoint.tsv	dedup_artifact	
427	AAGCCCG-promoter set follows a shallower trajectory (9.1% → 4.5% → 0%)	9.1/4.5/0%	52_ F4_F5 via 36_AAGCCCG_distribution/tables/AAGCCCG_site_gene_mapping.tsv (built from 23_ 6mA_final_census.csv = first-appearance)	not recomputed; source is first-appearance-derived	—	dedup_artifact	Needs recomputation from canonical AAGCCCG 6mA sites (418/451/443 per TP).
453	Supplementary Table 1 … nearest_GCCGGC_T2 / nearest_GCCGGC_T3 columns	T2 median 57,884.5 bp	SuppTable1_Exposed62_identity.tsv columns reproduce the dedup recompute exactly	T2 median 181 bp; T3 184 bp	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	nearest_GCCGGC_T1 column is canonical.
466	Supplementary Table 4 | Per-site GCCGGC and AAGCCCG methylation dynamics classification	855/147 rows	70_ A5b_*_10pp.tsv (canonical file)	see L47	—	canonical_ok	AAGCCCG row set affected by the 1-bp base issue (147 vs 309).
