locus_tag	gene_name	old_locus_tag	product	tf_family	tss	strand	region	n_AAGCCCG_T1	n_AAGCCCG_T2	n_AAGCCCG_lost	n_AAGCCCG_gained	AAGCCCG_status	AAGCCCG_T1_positions	AAGCCCG_T2_positions	n_GCCGGC_T1	n_GCCGGC_T2	n_GCCGGC_T3	n_GCCGGC_lost	n_GCCGGC_maintained	GCCGGC_status	LFC_T2vsT1	LFC_T3vsT1	padj_T2	padj_T3	baseMean	coordination_T2	coordination_T3	temporal_pattern	LFC_T3vsT2
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	1221178	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	7.895713314069832	6.821010401586004	6.685778908988326e-80	5.485767658470406e-60	637.3478513438264	ambiguous	discordant_gain_up	T2T3_up	-1.0747029124838283
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264656	-	arm	0	0	0	0	Never			0	1	0	0	0	Gained	-2.9236552002412837	-2.121942799396092	1.6312809495587037e-18	3.7620615177737563e-13	68.50038540255754	concordant_repression	ambiguous	T2T3_down	0.8017124008451915
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	1302022	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	4.8574849580221	4.96019504144633	1.0504968452721195e-39	1.1409741023800268e-41	160.57546100123446	discordant_gain_up	discordant_gain_up	T2T3_up	0.10271008342422938
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	1568358	-	core	0	0	0	0	Never			0	0	0	0	0	Never	4.026952770152274	4.353737144637652	1.7832508749357542e-33	1.767786937533028e-39	136.8389828404388	ambiguous	concordant_derepression	T2T3_up	0.3267843744853778
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1674773	-	core	0	0	0	0	Never			0	0	0	0	0	Never	5.5269691734079345	2.7311380776602356	3.393746014177269e-24	5.085169643293528e-07	57.152097626056424	concordant_derepression	ambiguous	T2T3_up	-2.795831095747699
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1805076	-	core	0	0	0	0	Never			1	0	0	1	0	Lost	1.991505486717247	2.7890739234630972	1.0409101822101902e-05	2.6660575977229683e-10	30.31625669407818	concordant_derepression	concordant_derepression	T2T3_up	0.7975684367458502
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	2031485	+	core	0	0	0	0	Never			1	0	0	1	0	Lost	1.6809431847299388	1.4350413079538866	0.0001699613002738	0.0009104186676768	26.336155174382945	ambiguous	discordant_gain_up	T2T3_up	-0.24590187677605213
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-2.7985256796387907	-2.2528307579586753	1.4619202996223605e-21	2.2331866683258533e-18	68.96055513755051	discordant_loss_down	discordant_loss_down	T2T3_down	0.5456949216801155
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.3096522610330428	-1.8493943123561245	3.848248885630113e-15	1.0536178291998503e-28	555.0219797848655	ambiguous	discordant_loss_down	T2T3_down	-0.5397420513230817
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870568	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.7747397059724868	-1.210929290474675	2.120495197321675e-07	7.263588260934468e-05	39.54880357730561	ambiguous	discordant_loss_down	T2T3_down	0.5638104154978119
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	+	core	0	0	0	0	Never			0	0	0	0	0	Never	0.0972640262333668	1.1300843521940909	0.807059771939028	0.0009297741564291	59.536537013842185	methyl_change_no_expr_change	concordant_derepression	T3_up	1.032820325960724
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206684	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.6613775957407972	-2.6694787349831692	2.9831552655051355e-14	2.9462621075082523e-34	8827.927946527716	discordant_loss_down	ambiguous	T2T3_down	-1.008101139242372
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	3408313	-	core	0	0	0	0	Never			1	0	0	1	0	Lost	-0.3269667987752288	-1.1177703570800714	0.0592575079351018	2.4904671041488934e-11	595.9315893427465	methyl_change_no_expr_change	discordant_loss_down	T3_down	-0.7908035583048427
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3435764	-	core	0	0	0	0	Never			0	0	0	0	0	Never	3.862293400136804	3.8560143168192966	1.104230837631596e-70	1.2411581189382607e-70	878.2065427299824	discordant_gain_up	ambiguous	T2T3_up	-0.006279083317507261
SC_RS21680		SCO3907	single-stranded DNA-binding protein	Other regulatory	4303613	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-2.5696452550254967	-3.1280990279569942	1.3118774690164058e-32	1.9359604360758975e-47	11163.526735967154	concordant_repression	ambiguous	T2T3_down	-0.5584537729314976
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	+	core	1	0	1	0	Lost	4397561		1	0	0	1	0	Lost	0.216302293760551	3.4487693724200077	0.4473362277968655	1.7271286397763968e-41	462.4565750366655	methyl_change_no_expr_change	concordant_derepression	T3_up	3.2324670786594565
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-3.862409740149491	-3.450570084806256	2.6804264118874064e-83	1.541937882594552e-76	409.6650981491641	discordant_loss_down	ambiguous	T2T3_down	0.41183965534323486
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4576134	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-0.0222782102607179	-1.2147622020577222	0.926132348542036	3.8354144462935404e-10	914.2411633402164	methyl_change_no_expr_change	discordant_loss_down	T3_down	-1.1924839917970043
SC_RS23710		SCO4305	TetR/AcrR family transcriptional regulator	TetR	4719673	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.1485908521819146	-1.3006732325155153	6.724953217511754e-06	1.6780900608516806e-07	95.92906755225653	ambiguous	concordant_repression	T2T3_down	-0.15208238033360066
SC_RS24635		SCO4495	UdgX family uracil-DNA binding protein	Other regulatory	4914637	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-2.885192098520523	-1.686804194832741	2.39121332598803e-13	3.9540831701935873e-07	49.41162576969076	concordant_repression	concordant_repression	T2T3_down	1.1983879036877818
SC_RS25370		SCO4639	TetR/AcrR family transcriptional regulator	TetR	5063734	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.2374927770659256	-2.281675477789121	2.953020559404361e-08	5.616889113090159e-23	132.51549250048413	discordant_loss_down	ambiguous	T2T3_down	-1.0441827007231954
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	+	core	0	0	0	0	Never			1	0	0	1	0	Lost	-0.5619109836197297	-1.1255402539486647	0.0059447432079914	1.9971296506093053e-08	156.14331048327128	methyl_change_no_expr_change	concordant_repression	T3_down	-0.5636292703289351
SC_RS26855	sigJ	SCO4938	RNA polymerase sigma factor SigJ	Sigma factor	5373018	+	core	0	0	0	0	Never			0	0	0	0	0	Never	0.0232527665501622	2.172936408362761	0.968761700368794	9.35096503319624e-07	21.37352002654158	methyl_change_no_expr_change	discordant_gain_up	T3_up	2.1496836418125986
SC_RS27105		SCO4989	IclR family transcriptional regulator	IclR	5428166	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.788905032851815	-2.44748121947272	5.826692227034336e-19	1.7780595271178823e-33	233.392353618333	discordant_loss_down	discordant_loss_down	T2T3_down	-0.6585761866209048
SC_RS27300		SCO5027	winged helix DNA-binding domain-containing protein	HTH (other)	5461950	-	core	1	0	1	0	Lost	5462058		0	0	0	0	0	Never	-2.0816956167144225	-1.2867486511856243	2.2933528337691613e-13	5.159038926868124e-07	80.81339319835774	ambiguous	discordant_loss_down	T2T3_down	0.7949469655287982
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-0.0369786446381299	-2.322966797759986	0.8414520406331445	9.178012336606152e-46	1960.067286469889	methyl_change_no_expr_change	concordant_repression	T3_down	-2.285988153121856
SC_RS29350	tcrA	SCO5433	AfsR-like transcriptional regulator TcrA	Other regulatory	5905174	+	core	0	0	0	0	Never			0	0	0	0	0	Never	1.1870150801249613	1.566181799767754	3.0865283741764397e-06	1.9608046037208227e-10	89.28376429020891	discordant_gain_up	ambiguous	T2T3_up	0.3791667196427928
SC_RS29355		SCO5434	response regulator	Response regulator	5908036	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-2.0721552618354653	-1.1038909946361717	2.1847389564353058e-13	5.778608661861806e-06	64.27896929081675	ambiguous	concordant_repression	T2T3_down	0.9682642671992936
SC_RS30140		SCO5584	P-II family nitrogen regulator	Other regulatory	6087374	+	core	0	0	0	0	Never			1	0	0	1	0	Lost	-0.5520993440395129	-1.3654337785496689	0.0663544133440707	5.749117375339759e-06	47.83965036025134	methyl_change_no_expr_change	discordant_loss_down	T3_down	-0.813334434510156
SC_RS31385		SCO5828	response regulator	Response regulator	6378663	-	core	0	0	0	0	Never			0	0	0	0	0	Never	1.3645614961116626	0.5075909030752486	1.8557352193124634e-07	0.0530956700790179	84.17067822639935	concordant_derepression	methyl_change_no_expr_change	T2_up	-0.856970593036414
SC_RS32025		SCO5956	TetR/AcrR family transcriptional regulator	TetR	6527068	+	core	0	0	0	0	Never			0	0	0	0	0	Never	-2.276955921465654	-1.262392260679783	5.0560369061422746e-11	2.1594836334213845e-05	48.208886023268626	ambiguous	discordant_loss_down	T2T3_down	1.014563660785871
SC_RS33745		SCO6299	TetR/AcrR family transcriptional regulator	TetR	6959844	-	core	0	0	0	0	Never			0	0	0	0	0	Never	-1.4625627834801054	-0.9796564404749404	3.995221205154786e-07	0.0002182881902497	60.74054551654045	discordant_loss_down	methyl_change_no_expr_change	T2_down	0.482906343005165
SC_RS33895		SCO6334	LuxR C-terminal-related transcriptional regulator	Other regulatory	6994433	-	core	0	0	0	0	Never			0	0	0	0	0	Never	1.2456809977015784	2.677945630426972	3.2118275643664055e-05	3.792642255000653e-21	75.3074724374326	ambiguous	discordant_gain_up	T2T3_up	1.4322646327253938
SC_RS34060		SCO6369	HAMP domain-containing sensor histidine kinase	Sensor kinase	7030354	+	core	0	0	0	0	Never			0	0	0	0	0	Never	1.6423366912164392	2.631625924232399	0.0005983805434141	2.7737170772121145e-08	29.908118736333748	ambiguous	discordant_gain_up	T2T3_up	0.98928923301596
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319846	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	-1.6493677294403373	-1.633710575090497	5.3649560693093984e-11	1.253885938074296e-11	86.26001165254223	ambiguous	discordant_loss_down	T2T3_down	0.015657154349840274
SC_RS35525		SCO6668	sensor histidine kinase	Sensor kinase	7409680	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.192730313621187	1.273291930093327	9.345178045249545e-05	1.609697653233779e-05	49.46643967921048	concordant_derepression	concordant_derepression	T2T3_up	0.08056161647213989
SC_RS35610	ramR	SCO6685	two-component system response regulator RamR	Response regulator	7427004	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	8.847923903643316	10.260747758555716	3.332752738380108e-11	1.4838303885802547e-14	61.36194676971078	ambiguous	discordant_gain_up	T2T3_up	1.4128238549124
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	7567666	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.7717150262982868	2.5629518577289008	0.0106912764751931	0.0002946985417046	8.506203368274974	discordant_gain_up	discordant_gain_up	T2T3_up	0.791236831430614
SC_RS36820		SCO6924	helix-turn-helix domain-containing protein	HTH (other)	7688201	-	arm	0	0	0	0	Never			1	0	0	1	0	Lost	-2.6512168805872203	0.9925239261825154	0.000254687757996	0.0178826859400612	16.911959656445788	concordant_repression	methyl_change_no_expr_change	T2_down	3.6437408067697357
SC_RS37675		SCO7089	sensor histidine kinase	Sensor kinase	7877241	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	0.5193064994679604	2.494076970566667	0.3202105107832096	2.6392589417205497e-06	16.695881909821562	methyl_change_no_expr_change	discordant_gain_up	T3_up	1.9747704710987068
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	+	arm	0	0	0	0	Never			0	1	0	0	0	Gained	9.530292574912137	8.242603136940575	1.8903837971568821e-252	1.235348170075802e-189	8706.302682801952	discordant_gain_up	ambiguous	T2T3_up	-1.2876894379715615
SC_RS38610		SCO7279	helix-turn-helix domain-containing protein	HTH (other)	8086495	+	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.459130272910083	1.6276330745571697	1.8372545252536231e-09	1.0769430750359848e-11	201.9876548663489	discordant_gain_up	ambiguous	T2T3_up	0.16850280164708664
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	+	arm	0	0	0	0	Never			0	1	0	0	0	Gained	1.9106358305601812	1.3048173385320234	6.405123198255962e-10	1.94801768102285e-05	56.60205600891168	ambiguous	discordant_gain_up	T2T3_up	-0.6058184920281577
SC_RS39850		SCO7530	MerR family transcriptional regulator	MerR	8350073	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	0.841167050999035	1.6827129235747769	0.0122301805229151	1.1740833894723509e-07	41.980551970679144	methyl_change_no_expr_change	discordant_gain_up	T3_up	0.8415458725757419
SC_RS40040		SCO7568	ROK family protein	ROK	8392310	-	arm	0	0	0	0	Never			0	1	0	0	0	Gained	-1.212956784482011	0.300497556464014	1.9798837921785498e-05	0.2315756704447571	68.99165613687369	concordant_repression	methyl_change_no_expr_change	T2_down	1.513454340946025
SC_RS40435		SCO7648	response regulator transcription factor	Response regulator	8475908	-	arm	0	0	0	0	Never			0	0	0	0	0	Never	1.045517150533947	1.3522797244322318	0.0005321444050626	3.3076504265207856e-06	56.29571670381082	ambiguous	concordant_derepression	T2T3_up	0.3067625738982849
SC_RS40740		SCO7711	sensor histidine kinase	Sensor kinase	8546786	+	arm	0	0	0	0	Never			0	2	0	0	0	Gained	3.323752560787572	3.424044958839273	5.540295728720464e-31	2.5723390184013958e-33	146.0314354719315	discordant_gain_up	ambiguous	T2T3_up	0.10029239805170098
