locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_dist	bloc	module	phase_ratio	temporal_class	baseMean	LFC_T2vsT1	LFC_T3vsT1	T1_z	T2_z	T3_z
SC_RS27300	SCO5027		winged helix DNA-binding domain-containing protein	HTH (other)	core	104	repression	4.0	2.047	early	112.751	-2.254	-1.101	1.348	-1.044	-0.303
SC_RS28630	SCO5289		sensor histidine kinase	Sensor kinase	core	90	repression	4.0	0.006	late	2509.053	-0.014	-2.415	0.72	0.694	-1.414
SC_RS29350	SCO5433	tcrA	AfsR-like transcriptional regulator TcrA	Other regulatory	core	166	activation	2.0	0.697	early	110.759	1.04	1.492	-1.296	0.159	1.137
SC_RS29355	SCO5434		response regulator	Response regulator	core	76	repression	4.0	1.721	early	67.799	-1.922	-1.116	1.368	-0.995	-0.373
SC_RS30140	SCO5584		P-II family nitrogen regulator	Other regulatory	core	126	repression	4.0	0.404	gradual	61.074	-0.58	-1.435	1.254	-0.061	-1.193
SC_RS31385	SCO5828		response regulator	Response regulator	core	48	activation	1.0	2.933	early	219.227	3.201	1.091	-0.861	1.402	-0.541
SC_RS32025	SCO5956		TetR/AcrR family transcriptional regulator	TetR	core	5	repression	4.0	2.02	early	64.323	-2.092	-1.036	1.349	-1.042	-0.307
SC_RS33075	SCO6165		TraR/DksA family transcriptional regulator	Other regulatory	core	144	activation	2.0	0.21	late	7.929	0.923	4.398	-0.806	-0.603	1.409
SC_RS33745	SCO6299		TetR/AcrR family transcriptional regulator	TetR	core	35	repression	4.0	1.763	early	75.179	-1.411	-0.8	1.347	-1.047	-0.3
SC_RS33895	SCO6334		LuxR C-terminal-related transcriptional regulator	Other regulatory	core	30	activation	2.0	0.411	gradual	99.459	1.079	2.625	-0.955	-0.426	1.381
SC_RS34060	SCO6369		HAMP domain-containing sensor histidine kinase	Sensor kinase	core	264	activation	2.0	0.554	gradual	38.948	1.425	2.574	-1.104	-0.213	1.317
SC_RS35195	SCO6599		TetR/AcrR family transcriptional regulator	TetR	arm	236	repression	4.0	0.988	early	108.071	-1.532	-1.55	1.414	-0.7	-0.714
SC_RS35525	SCO6668		sensor histidine kinase	Sensor kinase	arm	99	activation	2.0	0.776	early	67.883	1.042	1.342	-1.357	0.333	1.024
SC_RS35610	SCO6685	ramR	two-component system response regulator RamR	Response regulator	arm	286	activation	2.0	0.836	early	55.327	6.604	7.902	-1.159	-0.122	1.281
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	arm	183	activation	2.0	0.792	early	18.873	2.169	2.738	-1.331	0.251	1.08
SC_RS36820	SCO6924		helix-turn-helix domain-containing protein	HTH (other)	arm	15	activation	3.0	-2.169	late	24.738	-2.543	1.172	-0.197	-1.114	1.311
SC_RS37035			WhiB family transcriptional regulator	WhiB	arm	34	activation	2.0	0.707	early	11.799	1.235	1.747	-1.312	0.198	1.114
SC_RS37675	SCO7089		sensor histidine kinase	Sensor kinase	arm	34	activation	2.0	0.194	late	28.763	0.569	2.938	-0.799	-0.611	1.41
SC_RS38475	SCO7252		DNA-binding protein NsdB	Other regulatory	arm	46	activation	1.0	1.2	early	9088.506	9.317	7.764	-1.077	1.332	-0.255
SC_RS38610	SCO7279		helix-turn-helix domain-containing protein	HTH (other)	arm	25	activation	1.0	1.052	early	213.166	1.512	1.437	-1.412	0.781	0.631
SC_RS38785	SCO7314		SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	arm	67	activation	1.0	1.291	early	72.935	1.929	1.494	-1.326	1.088	0.239
SC_RS39260	SCO7411		LacI family DNA-binding transcriptional regulator	LacI	arm	157	activation	2.0	0.599	gradual	49.329	0.675	1.127	-1.238	0.027	1.211
SC_RS39850	SCO7530		MerR family transcriptional regulator	MerR	arm	225	activation	2.0	0.476	gradual	50.891	0.805	1.691	-1.088	-0.239	1.327
SC_RS40040	SCO7568		ROK family protein	ROK	arm	51	activation	3.0		non-responder	75.521	-1.255	0.155	0.503	-1.396	0.893
SC_RS40435	SCO7648		response regulator transcription factor	Response regulator	arm	32	activation	1.0	1.191	early	120.995	2.439	2.048	-1.359	1.018	0.341
SC_RS40740	SCO7711		sensor histidine kinase	Sensor kinase	arm	35	activation	1.0	1.005	early	174.722	3.156	3.14	-1.414	0.715	0.699
