locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS03600	SCO0337		TetR/AcrR family transcriptional regulator	TetR	1	268	1	80.772	-0.028	-0.261	6	shielded
SC_RS03630	SCO0344		GntR family transcriptional regulator	GntR	1	351	2	73.68	-0.268	0.493	9	shielded
SC_RS03635	SCO0345		IclR family transcriptional regulator	IclR	1	465	1	48.33	0.344	0.587	7	shielded
SC_RS03695	SCO0357		FadR/GntR family transcriptional regulator	GntR	1	1447	3	160.394	-0.499	-1.137	6	shielded
SC_RS03710	SCO0360		LacI family DNA-binding transcriptional regulator	LacI	1	133	4	158.05	0.145	-0.352	3	shielded
SC_RS03790	SCO0376		helix-turn-helix domain-containing protein	HTH (other)	1	24	4	65.12	-0.401	-0.207	2	shielded
SC_RS03945	SCO0407		MerR family transcriptional regulator	MerR	1	366	4	57.158	1.304	1.467	2	shielded
SC_RS03980	SCO0414	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	1	270	2	105.636	0.204	0.187	2	shielded
SC_RS04015	SCO0421		response regulator transcription factor	Response regulator	1	1613	1	24.022	1.16	2.083	6	shielded
SC_RS04020	SCO0422		sensor histidine kinase	Sensor kinase	1	423	3	38.523	1.291	2.701	3	shielded
SC_RS04050	SCO0428		TetR/AcrR family transcriptional regulator	TetR	1	1431	3	63.105	-0.835	-1.669	5	shielded
SC_RS04060	SCO0430		TetR/AcrR family transcriptional regulator	TetR	1	61	3	164.06	-1.25	-1.757	8	shielded
SC_RS04075	SCO0433		helix-turn-helix domain-containing protein	HTH (other)	1	2199	0	70.32	-0.907	-0.429	2	shielded
SC_RS04145	SCO0447		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	480	4	26.373	-0.944	-0.011	8	shielded
SC_RS04195	SCO0456		LacI family DNA-binding transcriptional regulator	LacI	1	975	2	22.662	0.436	2.033	4	shielded
SC_RS04245	SCO0466		GlxA family transcriptional regulator	Other regulatory	1	878	2	36.113	0.657	1.877	2	shielded
SC_RS04270	SCO0471		helix-turn-helix domain-containing protein	HTH (other)	1	239	5	54.117	1.173	1.792	4	exposed
SC_RS04345	SCO0485		TetR/AcrR family transcriptional regulator	TetR	1	856	3	87.45	-1.166	-1.715	5	shielded
SC_RS04355	SCO0487		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	737	3	54.233	0.251	0.163	3	shielded
SC_RS04460	SCO0508		acyl-CoA-like ligand-binding transcription factor	Other regulatory	1	272	3	42.023	-2.455	-1.471	2	shielded
SC_RS04480	SCO0512		TetR/AcrR family transcriptional regulator	TetR	1	639	1	84.342	0.871	0.317	3	shielded
SC_RS04515	SCO0520		TetR/AcrR family transcriptional regulator	TetR	1	1047	1	52.89	0.745	-0.041	2	shielded
SC_RS04520	SCO0521		TetR/AcrR family transcriptional regulator	TetR	1	432	1	135.33	-0.727	-1.296	2	shielded
SC_RS04530	SCO0523		Lrp/AsnC family transcriptional regulator	Lrp	1	1581	1	41.591	0.144	-0.095	4	shielded
SC_RS04565	SCO0530		GntR family transcriptional regulator	GntR	1	397	3	104.763	-0.673	-0.549	3	shielded
SC_RS04670	SCO0551		sensor histidine kinase	Sensor kinase	1	231	4	96.033	0.237	0.144	3	shielded
SC_RS04675	SCO0552		response regulator transcription factor	Response regulator	1	455	6	30.993	0.343	0.63	3	shielded
SC_RS04705	SCO0557		MerR family transcriptional regulator	MerR	1	571	3	302.905	-0.372	-0.583	2	shielded
SC_RS04725	SCO0561		Fur family transcriptional regulator	Other regulatory	1	3727	0	626.036	4.717	2.984	14	shielded
SC_RS04795	SCO0574		IclR family transcriptional regulator	IclR	1	1424	2	52.269	-1.01	-0.56	1	shielded
SC_RS04835	SCO0582		FadR/GntR family transcriptional regulator	GntR	1	721	4	176.78	-0.918	-1.481	3	shielded
SC_RS04865	SCO0588		sensor histidine kinase	Sensor kinase	1	105	3	1920.097	6.976	3.714	4	shielded
SC_RS04870	SCO0589		LysR family transcriptional regulator	LysR	1	1086	1	52.589	1.054	0.866	6	shielded
SC_RS04920	SCO0599		anti-sigma factor RsbA family regulatory protein	Sigma factor	1	126	3	476.526	0.62	0.131	6	shielded
SC_RS04925	SCO0600		RNA polymerase sigma factor SigF	Sigma factor	1	932	2	554.69	-1.259	-1.262	1	shielded
SC_RS04950	SCO0605		GlxA family transcriptional regulator	Other regulatory	1	278	4	32.198	-0.046	1.034	2	shielded
SC_RS04965	SCO0608	slbR	gamma-butyrolactone-binding regulator SlbR	Other regulatory	1	347	16	1274.995	1.487	0.951	10	shielded
SC_RS04975	SCO0610		GntR family transcriptional regulator	GntR	1	14	15	77.92	-1.795	-1.213	3	shielded
SC_RS05020	SCO0620		metal-sensitive transcriptional regulator	Other regulatory	1	342	5	141.863	0.27	-0.111	4	shielded
SC_RS05030	SCO0622		TetR/AcrR family transcriptional regulator	TetR	1	779	4	228.234	-1.367	-2.921	1	shielded
SC_RS05065	SCO0629		LacI family DNA-binding transcriptional regulator	LacI	1	954	2	40.871	-1.218	0.607	5	shielded
SC_RS05075	SCO0632		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	52	1	16.63	-0.177	1.611	7	exposed
SC_RS05120	SCO0640		BlaI/MecI/CopY family transcriptional regulator	Other regulatory	1	2131	0	238.063	-0.611	-1.249	2	shielded
SC_RS05150	SCO0646		TetR/AcrR family transcriptional regulator	TetR	1	1516	1	32.582	-0.544	0.378	7	shielded
SC_RS05265	SCO0669		TetR/AcrR family transcriptional regulator	TetR	1	5345	0	64.033	-1.151	-0.514	5	shielded
SC_RS05410			GlxA family transcriptional regulator	Other regulatory	1	1527	2	79.933	1.03	1.706	2	shielded
SC_RS05445			helix-turn-helix domain-containing protein	HTH (other)	1	880	1	1238.075	1.254	0.883	8	shielded
SC_RS05480	SCO0711		PucR family transcriptional regulator	Other regulatory	1	392	6	26.904	-0.946	3.62	2	shielded
SC_RS05485	SCO0712		helix-turn-helix transcriptional regulator	HTH (other)	1	114	4	51.094	-0.501	2.868	11	exposed
SC_RS05490	SCO0713	bdeA	bis(hydroxyethyl) terephthalate hydrolase	HTH (other)	1	989	3	23.606	-1.537	2.09	9	shielded
SC_RS05550	SCO0724		MurR/RpiR family transcriptional regulator	Other regulatory	1	741	6	148.49	0.431	0.118	5	shielded
SC_RS05570	SCO0728		TetR family transcriptional regulator	TetR	1	396	4	41.69	-0.174	0.122	12	shielded
SC_RS05600	SCO0734		ROK family transcriptional regulator	ROK	1	323	4	66.707	-0.173	0.532	10	shielded
SC_RS05655	SCO0745		TetR/AcrR family transcriptional regulator	TetR	1	1805	1	26.924	1.404	2.671	1	shielded
SC_RS05790	SCO0772		TetR/AcrR family transcriptional regulator	TetR	1	361	2	79.91	0.111	-0.487	5	shielded
SC_RS05835	SCO0781		anti-sigma factor antagonist	Sigma factor	1	610	4	74.211	2.259	2.214	3	shielded
SC_RS05845	SCO0783	otr(A)	tetracycline resistance ribosomal protection protein Otr(A)	TetR	1	501	2	89.089	-0.641	0.566	6	shielded
SC_RS05900	SCO0794		ROK family transcriptional regulator	ROK	1	1216	1	181.994	-0.056	-0.56	1	shielded
SC_RS05930	SCO0800		TetR/AcrR family transcriptional regulator	TetR	1	1603	2	79.016	0.157	-0.263	4	shielded
SC_RS05945	SCO0803	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	1	47	4	302.006	0.858	-0.054	7	shielded
SC_RS05960	SCO0806		LacI family DNA-binding transcriptional regulator	LacI	1	1215	2	55.539	0.055	0.376	1	shielded
SC_RS06040	SCO0822		helix-turn-helix transcriptional regulator	HTH (other)	1	140	2	54.902	-0.119	-0.266	4	shielded
SC_RS06045	SCO0823		GntR family transcriptional regulator	GntR	1	247	2	79.412	-1.33	-1.469	4	exposed
SC_RS06130	SCO0840		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1924	1	49.19	0.624	0.325	5	shielded
SC_RS06215	SCO0857		TetR/AcrR family transcriptional regulator	TetR	1	1911	1	372.041	-0.005	-0.822	2	shielded
SC_RS06250	SCO0864		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	428	6	191.055	3.66	4.937	4	shielded
SC_RS06260	SCO0866		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	415	5	242.727	5.906	6.217	2	shielded
SC_RS06280	SCO0870		response regulator	Response regulator	1	362	5	148.556	-1.235	-1.832	1	shielded
SC_RS06285	SCO0871		sensor histidine kinase	Sensor kinase	1	188	4	585.569	-1.138	-2.348	7	shielded
SC_RS06300	SCO0875		ArsR/SmtB family transcription factor	ArsR	1	322	2	22.809	1.443	1.111	5	shielded
SC_RS06310	SCO0877		helix-turn-helix transcriptional regulator	HTH (other)	1	170	2	654.901	1.689	0.365	5	exposed
SC_RS06345	SCO0882		tetratricopeptide repeat protein	TetR	1	874	3	18.384	1.744	1.553	4	shielded
SC_RS06365	SCO0886		LacI family DNA-binding transcriptional regulator	LacI	1	183	4	713.368	3.031	0.843	1	shielded
SC_RS06370	SCO0887		TetR/AcrR family transcriptional regulator	TetR	1	460	5	121.894	1.851	1.135	8	shielded
SC_RS06380	SCO0889		LysR family transcriptional regulator	LysR	1	296	4	86.266	0.294	-0.019	3	shielded
SC_RS06395	SCO0891		helix-turn-helix transcriptional regulator	HTH (other)	1	130	2	41.502	0.772	1.361	7	shielded
SC_RS06415	SCO0895		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	33	5	19.401	0.485	3.556	0	shielded
SC_RS06430	SCO0897		PPC domain-containing DNA-binding protein	Other regulatory	1	172	4	30.621	0.803	1.914	7	shielded
SC_RS06435	SCO0898		AfsR/SARP family transcriptional regulator	SARP	1	186	6	100.07	0.008	0.577	8	shielded
SC_RS06575	SCO0925		LysR family transcriptional regulator	LysR	1	933	1	55.639	0.106	0.286	6	shielded
SC_RS06585	SCO0927		LysR family transcriptional regulator	LysR	1	1063	1	411.813	1.031	0.064	7	shielded
SC_RS06650	SCO0940		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	2116	0	21.576	0.119	0.271	4	shielded
SC_RS06660	SCO0942		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	2707	0	18.49	1.507	2.933	3	shielded
SC_RS06715	SCO0953		LacI family DNA-binding transcriptional regulator	LacI	1	990	4	62.181	-1.843	-0.363	5	shielded
SC_RS06810	SCO0971		LysR family transcriptional regulator	LysR	1	2602	0	430.048	-0.468	-0.825	2	shielded
SC_RS06865	SCO0981		short-chain fatty acyl-CoA regulator family protein	Other regulatory	1	738	3	86.295	-0.1	0.672	2	shielded
SC_RS06885	SCO0985	metE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	TetR	1	1332	1	1437.372	3.323	0.177	7	shielded
SC_RS06975	SCO1003		TetR/AcrR family transcriptional regulator	TetR	1	2655	0	113.304	1.075	0.159	7	shielded
SC_RS07000	SCO1008		ArsR/SmtB family transcription factor	ArsR	1	183	3	256.503	0.116	-1.354	4	exposed
SC_RS07005			helix-turn-helix domain-containing protein	HTH (other)	1	342	3	33.526	-1.264	-0.553	3	shielded
SC_RS07015	SCO1011		helix-turn-helix domain-containing protein	HTH (other)	1	1903	1	97.603	0.915	1.272	3	shielded
SC_RS07085	SCO1026		DeoR/GlpR family DNA-binding transcription regulator	DeoR	1	1046	2	588.806	-1.509	-1.638	4	shielded
SC_RS07125	SCO1034		TetR/AcrR family transcriptional regulator	TetR	1	134	4	69.647	-0.377	1.219	2	shielded
SC_RS07150	SCO1039		ROK family protein	ROK	1	545	4	526.179	0.563	-0.633	4	shielded
SC_RS07170	SCO1043		DeoR/GlpR family DNA-binding transcription regulator	DeoR	1	1111	1	89.877	-0.801	-0.668	10	shielded
SC_RS07215	SCO1052		helix-turn-helix domain-containing protein	HTH (other)	1	216	8	17.842	0.347	2.365	9	exposed
SC_RS07255	SCO1060		ROK family protein	ROK	1	3780	0	81.012	-0.358	-0.132	3	shielded
SC_RS07285	SCO1066		LacI family DNA-binding transcriptional regulator	LacI	1	4	1	40.736	-0.372	0.735	7	shielded
SC_RS07300	SCO1069		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	147	4	37.894	1.309	0.985	5	shielded
SC_RS07310	SCO1070		response regulator transcription factor	Response regulator	1	1133	2	49.093	0.809	1.033	5	shielded
SC_RS07315	SCO1071		sensor histidine kinase	Sensor kinase	1	2377	0	173.663	-0.566	0.092	2	shielded
SC_RS07340	SCO1077		ROK family protein	ROK	1	481	1	67.693	-1.454	-1.012	2	shielded
SC_RS07345	SCO1078		LacI family DNA-binding transcriptional regulator	LacI	1	695	1	165.929	0.026	-0.041	4	shielded
SC_RS07425	SCO1094		TetR/AcrR family transcriptional regulator	TetR	1	2920	0	155.009	-1.058	-1.329	0	shielded
SC_RS07440	SCO1098		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	574	7	124.465	-0.825	-1.236	3	shielded
SC_RS07470	SCO1104		TetR/AcrR family transcriptional regulator	TetR	1	336	3	155.427	-0.959	-0.938	2	shielded
SC_RS07490	SCO1108		ArsR/SmtB family transcription factor	ArsR	1	414	1	89.264	0.485	-0.753	6	shielded
SC_RS07505	SCO1111		PaaX family transcriptional regulator C-terminal domain-containing protein	Other regulatory	1	130	6	56.175	-1.229	-0.316	2	shielded
SC_RS07545	SCO1119		Lrp/AsnC family transcriptional regulator	Lrp	1	431	5	26.436	-1.815	-0.185	2	shielded
SC_RS07560	SCO1122		LysR substrate-binding domain-containing protein	LysR	1	92	3	369.395	-0.214	-1.048	6	shielded
SC_RS07625	SCO1135	xdhR	purine salvage operon transcriptional regulator XdhR	Other regulatory	1	1008	1	215.26	-0.018	-0.935	2	shielded
SC_RS07630	SCO1136		response regulator	Response regulator	1	1070	1	44.79	-1.352	-0.565	7	shielded
SC_RS07635	SCO1137		sensor histidine kinase	Sensor kinase	1	573	1	61.796	-1.192	0.648	6	shielded
SC_RS07675	SCO1145		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	3725	0	283.327	-2.209	-0.871	0	shielded
SC_RS07750	SCO1160		sensor histidine kinase	Sensor kinase	1	86	4	769.54	6.812	5.575	2	exposed
SC_RS07805	SCO1171		ROK family transcriptional regulator	ROK	1	249	2	92.09	-0.263	-0.11	4	shielded
SC_RS07840	SCO1177		FadR/GntR family transcriptional regulator	GntR	1	109	1	111.343	-0.205	3.66	3	shielded
SC_RS07885	SCO1186		LacI family DNA-binding transcriptional regulator	LacI	1	185	3	241.305	-0.747	-0.843	4	shielded
SC_RS07910	SCO1191		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	110	4	80.884	-2.825	-2.105	2	exposed
SC_RS07920	SCO1193		TetR/AcrR family transcriptional regulator	TetR	1	204	6	106.728	-0.683	-1.568	3	shielded
SC_RS07955	SCO1200		helix-turn-helix domain-containing protein	HTH (other)	1	704	1	123.021	0.265	0.084	8	shielded
SC_RS07985	SCO1206		1,3,6,8-tetrahydroxynaphthalene synthase	TetR	1	320	4	63.554	2.426	1.769	2	shielded
SC_RS08005	SCO1210		TetR family transcriptional regulator	TetR	1	650	7	369.963	-1.224	-1.446	2	shielded
SC_RS08040	SCO1217		sensor histidine kinase	Sensor kinase	1	153	2	87.62	-0.141	0.153	2	shielded
SC_RS08055	SCO1220		LytR/AlgR family response regulator transcription factor	Response regulator	1	1110	3	23.063	-0.193	1.692	2	shielded
SC_RS08060	SCO1221		Lrp/AsnC family transcriptional regulator	Lrp	1	1032	3	55.737	1.455	0.192	0	shielded
SC_RS08090	SCO1227		helix-turn-helix transcriptional regulator	HTH (other)	1	95	2	190.636	4.585	4.593	2	exposed
SC_RS08165	SCO1242		helix-turn-helix domain-containing protein	HTH (other)	1	2220	0	141.134	1.099	0.24	1	shielded
SC_RS08255	SCO1259		sensor histidine kinase	Sensor kinase	1	768	1	104.246	-0.743	-0.269	1	shielded
SC_RS08260	SCO1260		response regulator transcription factor	Response regulator	1	401	1	120.322	-0.449	-1.112	7	shielded
SC_RS08265	SCO1261		ROK family transcriptional regulator	ROK	1	1163	1	309.589	-0.344	-0.994	3	shielded
SC_RS08270	SCO1262		GntR family transcriptional regulator	GntR	1	496	1	964.715	1.017	0.125	10	shielded
SC_RS08275	SCO1263		RNA polymerase sigma-70 factor	Sigma factor	1	582	1	59.13	0.388	0.709	4	shielded
SC_RS08340	SCO1276		RNA polymerase sigma factor	Sigma factor	1	860	5	38.95	0.838	4.537	5	shielded
SC_RS08405	SCO1289	pdxR	MocR-like pyridoxine biosynthesis transcription factor PdxR	Other regulatory	1	62	2	388.018	2.128	2.111	1	shielded
SC_RS08435	SCO1295		Lrp/AsnC family transcriptional regulator	Lrp	1	314	6	87.265	0.099	-1.171	3	shielded
SC_RS08460	SCO1299		Lrp/AsnC family transcriptional regulator	Lrp	1	1121	4	36.606	-1.104	-0.487	2	shielded
SC_RS08510	SCO1309		ArsR/SmtB family transcription factor	ArsR	1	591	1	18.603	-0.531	0.26	2	shielded
SC_RS08525	SCO1312		helix-turn-helix domain-containing protein	HTH (other)	1	1483	2	47.027	-0.887	-0.55	3	shielded
SC_RS08590	SCO1325		winged helix-turn-helix transcriptional regulator	HTH (other)	1	364	2	65.219	-0.52	-0.759	3	shielded
SC_RS08620	SCO1331		LuxR C-terminal-related transcriptional regulator	Other regulatory	1	217	2	323.273	2.427	2.043	5	shielded
SC_RS08625			RNA polymerase sigma factor	Sigma factor	1	1648	1	19.214	0.179	2.258	2	shielded
SC_RS08660	SCO1339		TetR/AcrR family transcriptional regulator	TetR	1	1658	2	39.671	-0.938	-0.224	5	shielded
SC_RS08720	SCO1351		helix-turn-helix transcriptional regulator	HTH (other)	1	169	4	85.062	-0.2	1.671	4	shielded
SC_RS08730	SCO1353		helix-turn-helix domain-containing protein	HTH (other)	1	1777	2	51.174	0.464	0.495	4	shielded
SC_RS08755	SCO1358		LysR family transcriptional regulator	LysR	1	546	2	71.484	-0.884	-0.011	4	shielded
SC_RS08795	SCO1366		PadR family transcriptional regulator	PadR	1	126	2	815.778	-1.826	1.309	1	shielded
SC_RS08810	SCO1369		sensor histidine kinase	Sensor kinase	1	692	2	49.895	0.137	1.391	6	shielded
SC_RS08815	SCO1370		response regulator	Response regulator	1	519	2	18.302	0.318	1.433	3	shielded
SC_RS08845	SCO1376		LacI family DNA-binding transcriptional regulator	LacI	1	2016	0	375.664	2.003	1.427	3	shielded
SC_RS08870	SCO1381		MerR family transcriptional regulator	MerR	1	284	2	831.397	0.881	-0.271	0	shielded
SC_RS08880	SCO1383	ftsR	transcriptional regulator FtsR	Other regulatory	1	1744	1	593.97	-0.928	-2.246	4	shielded
SC_RS09025	SCO1410		GntR family transcriptional regulator	GntR	0	1591	1	88.763	-1.665	-1.569	4	shielded
SC_RS09060	SCO1417		SCO1417 family PLP biosynthesis transcription factor	Other regulatory	0	630	4	367.249	-0.32	-1.731	1	shielded
SC_RS09100	SCO1425		Lrp/AsnC family transcriptional regulator	Lrp	0	1098	3	80.059	-1.082	-1.104	5	shielded
SC_RS09125	SCO1430		TetR/AcrR family transcriptional regulator	TetR	0	2012	0	143.134	0.029	-0.424	12	shielded
SC_RS09210	SCO1447		ROK family transcriptional regulator	ROK	0	315	6	208.367	-1.866	-1.964	1	shielded
SC_RS09265	SCO1458		Lrp/AsnC family transcriptional regulator	Lrp	0	1777	1	75.456	-2.675	-2.273	1	shielded
SC_RS09290	SCO1463		sugar-binding transcriptional regulator	Other regulatory	0	420	3	3640.617	1.826	-0.657	4	shielded
SC_RS09315	SCO1468		tetratricopeptide repeat protein	TetR	0	163	2	167.615	3.874	4.256	4	exposed
SC_RS09415	SCO1488	pyrR	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	Other regulatory	0	1546	3	210.796	-2.693	-2.446	10	shielded
SC_RS09420	SCO1489	bldD	transcriptional regulator BldD	Other regulatory	0	1248	3	2243.291	-1.055	-1.899	6	shielded
SC_RS09425	SCO1490	nusB	transcription antitermination factor NusB	Other regulatory	0	113	4	1895.342	-1.885	-3.192	1	shielded
SC_RS09575	SCO1521		YebC/PmpR family DNA-binding transcriptional regulator	Other regulatory	0	1273	2	1878.423	-0.167	-0.934	7	shielded
SC_RS09690	SCO1541		SsgA family sporulation/cell division regulator	Other regulatory	0	375	3	171.746	1.312	2.908	2	shielded
SC_RS09835	SCO1564		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	267	2	74.921	3.559	1.106	6	exposed
SC_RS09855	SCO1568		TetR/AcrR family transcriptional regulator	TetR	0	840	4	472.881	-2.473	-2.068	8	shielded
SC_RS09895	SCO1576		arginine repressor	Repressor	0	1279	3	160.705	-0.618	0.043	4	shielded
SC_RS09980	SCO1593		transcriptional regulator	Other regulatory	0	293	3	114.329	-1.652	-0.061	2	shielded
SC_RS09995	SCO1596		sensor histidine kinase	Sensor kinase	0	828	1	303.037	-0.662	-1.045	5	shielded
SC_RS10080	SCO1614		FadR/GntR family transcriptional regulator	GntR	0	415	8	59.923	-0.56	0.042	6	shielded
SC_RS10090	SCO1616		LysR family transcriptional regulator	LysR	0	130	5	298.726	-2.333	-2.144	6	shielded
SC_RS10105	SCO1619		helix-turn-helix domain-containing protein	HTH (other)	0	711	3	240.356	0.713	0.813	6	shielded
SC_RS10160	SCO1630		sensor histidine kinase	Sensor kinase	0	66	3	5659.642	10.497	8.03	3	shielded
SC_RS10190	SCO1636		helix-turn-helix transcriptional regulator	HTH (other)	0	388	5	784.155	0.8	-0.337	4	shielded
SC_RS10195	SCO1637		helix-turn-helix transcriptional regulator	HTH (other)	0	242	5	709.457	0.554	-0.76	9	shielded
SC_RS10220	SCO1642		LacI family DNA-binding transcriptional regulator	LacI	0	237	2	234.354	0.789	-0.221	3	shielded
SC_RS10280	SCO1654		response regulator	Response regulator	0	47	2	782.102	-0.129	-1.392	3	shielded
SC_RS10300	SCO1658		IclR family transcriptional regulator	IclR	0	4247	0	207.321	0.211	-0.38	9	shielded
SC_RS10320	SCO1662	parJ	filament polymerization regulator ParJ	Other regulatory	0	892	1	1022.286	-0.133	-0.968	4	shielded
SC_RS10405	SCO1678		FadR/GntR family transcriptional regulator	GntR	0	534	2	155.825	-0.324	-0.879	1	shielded
SC_RS10435	SCO1684		tetratricopeptide repeat protein	TetR	0	39	7	41.042	1.729	2.6	6	exposed
SC_RS10470	SCO1691		TetR/AcrR family transcriptional regulator	TetR	0	2302	0	143.722	-0.27	-1.308	1	shielded
SC_RS10500	SCO1697	soxR	redox-sensitive transcriptional activator SoxR	Activator	0	615	2	145.824	0.624	-0.583	4	shielded
SC_RS10510	SCO1699		TetR/AcrR family transcriptional regulator	TetR	0	615	2	656.174	-0.92	-0.747	6	shielded
