gene_id	old_locus_tag	gene_name	chrom	start	end	strand	gff_tss	experimental_tss	tss_source	tss	promoter_4mC_sites	promoter_6mA_sites	promoter_methylated
SC_RS02820	SCO0174		NC_003888.3	164023	164931	-	164931	164961.0	Jeong2016_dRNA-seq	164961	0	0	False
SC_RS02845	SCO0179		NC_003888.3	167444	168514	-	168514	168615.0	Jeong2016_dRNA-seq	168615	0	0	False
SC_RS02875	SCO0185		NC_003888.3	173801	174946	+	173801	173768.0	Jeong2016_dRNA-seq	173768	1	1	True
SC_RS02920	SCO0194		NC_003888.3	184958	185566	+	184958	184865.0	Jeong2016_dRNA-seq	184865	0	0	False
SC_RS02935	SCO0197		NC_003888.3	187019	187459	-	187459	187501.0	Jeong2016_dRNA-seq	187501	0	0	False
SC_RS02950	SCO0200		NC_003888.3	189925	190830	-	190830	190994.0	Jeong2016_dRNA-seq	190994	0	0	False
SC_RS02955	SCO0201		NC_003888.3	190983	191612	-	191612	191652.0	Jeong2016_dRNA-seq	191652	0	0	False
SC_RS02970	SCO0204		NC_003888.3	194760	195461	-	195461	195490.0	Jeong2016_dRNA-seq	195490	0	0	False
SC_RS02985	SCO0208	ppdK	NC_003888.3	197221	199917	+	197221	197191.0	Jeong2016_dRNA-seq	197191	0	0	False
SC_RS03005	SCO0212		NC_003888.3	202370	202843	-	202843	202979.0	Jeong2016_dRNA-seq	202979	1	0	True
SC_RS03010	SCO0213		NC_003888.3	202863	204101	-	204101	204182.0	Jeong2016_dRNA-seq	204182	0	0	False
SC_RS03045	SCO0220		NC_003888.3	213421	213870	+	213421	213498.0	Jeong2016_dRNA-seq	213498	0	0	False
SC_RS03055	SCO0222		NC_003888.3	214913	215446	+	214913	214913.0	Jeong2016_dRNA-seq	214913	0	0	False
SC_RS03060	SCO0224		NC_003888.3	215807	216844	-	216844	216844.0	Jeong2016_dRNA-seq	216844	0	0	False
SC_RS03065	SCO0226		NC_003888.3	217315	217968	-	217968	218036.0	Jeong2016_dRNA-seq	218036	0	0	False
SC_RS03085	SCO0231		NC_003888.3	221092	221247	-	221247	221364.0	Jeong2016_dRNA-seq	221364	0	0	False
SC_RS03095	SCO0233		NC_003888.3	221699	222538	-	222538	222571.0	Jeong2016_dRNA-seq	222571	0	0	False
SC_RS03125	SCO0239		NC_003888.3	227081	228154	-	228154	228186.0	Jeong2016_dRNA-seq	228186	0	0	False
SC_RS03130	SCO0240		NC_003888.3	228714	229649	-	229649	229931.0	Jeong2016_dRNA-seq	229931	0	0	False
SC_RS03135	SCO0241		NC_003888.3	229995	230669	+	229995	229995.0	Jeong2016_dRNA-seq	229995	0	1	True
SC_RS03140	SCO0242		NC_003888.3	231022	231465	+	231022	230959.0	Jeong2016_dRNA-seq	230959	0	0	False
SC_RS03160	SCO0246		NC_003888.3	234870	236207	-	236207	236515.0	Jeong2016_dRNA-seq	236515	0	0	False
SC_RS03165	SCO0247		NC_003888.3	236794	237807	+	236794	236539.0	Jeong2016_dRNA-seq	236539	0	0	False
SC_RS03185	SCO0253		NC_003888.3	242203	242766	+	242203	242194.0	Jeong2016_dRNA-seq	242194	1	0	True
SC_RS03220	SCO0260		NC_003888.3	249755	250084	+	249755	249635.0	Jeong2016_dRNA-seq	249635	0	0	False
SC_RS03230	SCO0262		NC_003888.3	250805	251740	+	250805	250805.0	Jeong2016_dRNA-seq	250805	0	0	False
SC_RS03235	SCO0263		NC_003888.3	251764	252879	-	252879	252917.0	Jeong2016_dRNA-seq	252917	0	0	False
SC_RS03240	SCO0264		NC_003888.3	252946	253398	+	252946	252920.0	Jeong2016_dRNA-seq	252920	0	0	False
SC_RS03245	SCO0265		NC_003888.3	253499	254290	+	253499	253474.0	Jeong2016_dRNA-seq	253474	0	0	False
SC_RS03305	SCO0277		NC_003888.3	269020	269688	-	269688	269688.0	Jeong2016_dRNA-seq	269688	0	0	False
SC_RS03310	SCO0278		NC_003888.3	269783	270397	+	269783	269783.0	Jeong2016_dRNA-seq	269783	0	0	False
SC_RS03330	SCO0282		NC_003888.3	272898	273656	+	272898	272835.0	Jeong2016_dRNA-seq	272835	0	0	False
SC_RS03355	SCO0287		NC_003888.3	279691	280695	+	279691	279597.0	Jeong2016_dRNA-seq	279597	0	0	False
SC_RS03410	SCO0298		NC_003888.3	292656	293519	-	293519	293519.0	Jeong2016_dRNA-seq	293519	0	0	False
SC_RS03420	SCO0300		NC_003888.3	294494	296305	-	296305	296397.0	Jeong2016_dRNA-seq	296397	0	0	False
SC_RS03440	SCO0305		NC_003888.3	299213	302092	+	299213	298790.0	Jeong2016_dRNA-seq	298790	0	0	False
SC_RS03465	SCO0310		NC_003888.3	306816	307460	-	307460	307492.0	Jeong2016_dRNA-seq	307492	0	0	False
SC_RS03550	SCO0326		NC_003888.3	328333	329301	+	328333	328297.0	Jeong2016_dRNA-seq	328297	0	0	False
SC_RS03560	SCO0329		NC_003888.3	330235	331365	+	330235	330179.0	Jeong2016_dRNA-seq	330179	0	0	False
SC_RS03595	SCO0336		NC_003888.3	339521	340630	-	340630	340697.0	Jeong2016_dRNA-seq	340697	0	0	False
SC_RS03600	SCO0337		NC_003888.3	340752	341318	+	340752	340752.0	Jeong2016_dRNA-seq	340752	0	1	True
SC_RS03700	SCO0358		NC_003888.3	362635	363777	+	362635	362600.0	Jeong2016_dRNA-seq	362600	0	0	False
SC_RS03780	SCO0374		NC_003888.3	387750	389519	+	387750	387574.0	Jeong2016_dRNA-seq	387574	0	0	False
SC_RS03790	SCO0376		NC_003888.3	391232	391834	+	391232	391241.0	Jeong2016_dRNA-seq	391241	1	0	True
SC_RS03805	SCO0379		NC_003888.3	393498	394961	+	393498	393471.0	Jeong2016_dRNA-seq	393471	0	1	True
SC_RS03815	SCO0381		NC_003888.3	395939	397414	+	395939	395702.0	Jeong2016_dRNA-seq	395702	0	0	False
SC_RS03920	SCO0402		NC_003888.3	423654	424406	-	424406	424507.0	Jeong2016_dRNA-seq	424507	0	0	False
SC_RS03935	SCO0405		NC_003888.3	426015	426833	-	426833	426833.0	Jeong2016_dRNA-seq	426833	0	0	False
SC_RS03945	SCO0407		NC_003888.3	427610	428614	+	427610	427610.0	Jeong2016_dRNA-seq	427610	0	0	False
SC_RS03950	SCO0408		NC_003888.3	428657	429403	+	428657	428657.0	Jeong2016_dRNA-seq	428657	0	0	False
SC_RS03965	SCO0411		NC_003888.3	431312	431551	+	431312	431312.0	Jeong2016_dRNA-seq	431312	0	0	False
SC_RS03975	SCO0413		NC_003888.3	431962	432564	-	432564	432612.0	Jeong2016_dRNA-seq	432612	0	0	False
SC_RS03980	SCO0414	sigJ	NC_003888.3	432617	433513	-	433513	433679.0	Jeong2016_dRNA-seq	433679	0	0	False
SC_RS04010	SCO0420		NC_003888.3	437253	438287	-	438287	438289.0	Jeong2016_dRNA-seq	438289	0	0	False
SC_RS04040	SCO0426		NC_003888.3	444441	444671	+	444441	444441.0	Jeong2016_dRNA-seq	444441	0	1	True
SC_RS04060	SCO0430		NC_003888.3	447245	447868	+	447245	447193.0	Jeong2016_dRNA-seq	447193	0	0	False
SC_RS04075	SCO0433		NC_003888.3	453370	454374	+	453370	453340.0	Jeong2016_dRNA-seq	453340	0	0	False
SC_RS04110	SCO0440		NC_003888.3	460364	461083	-	461083	461153.0	Jeong2016_dRNA-seq	461153	0	0	False
SC_RS04115	SCO0441		NC_003888.3	461350	462102	+	461350	461350.0	Jeong2016_dRNA-seq	461350	0	0	False
SC_RS04145	SCO0447		NC_003888.3	465990	466436	+	465990	465990.0	Jeong2016_dRNA-seq	465990	0	0	False
SC_RS04170	SCO0451		NC_003888.3	470355	471209	-	471209	471264.0	Jeong2016_dRNA-seq	471264	0	0	False
SC_RS04210	SCO0459		NC_003888.3	480973	481791	+	480973	480973.0	Jeong2016_dRNA-seq	480973	0	0	False
SC_RS04215	SCO0460		NC_003888.3	481810	482319	-	482319	482348.0	Jeong2016_dRNA-seq	482348	0	0	False
SC_RS04240	SCO0465		NC_003888.3	486684	487514	-	487514	487546.0	Jeong2016_dRNA-seq	487546	0	0	False
SC_RS04255	SCO0468		NC_003888.3	489373	490350	-	490350	490414.0	Jeong2016_dRNA-seq	490414	0	0	False
SC_RS04290	SCO0475	aztB	NC_003888.3	496508	497359	-	497359	497359.0	Jeong2016_dRNA-seq	497359	0	0	False
SC_RS04295	SCO0476	aztA	NC_003888.3	497375	498133	+	497375	497384.0	Jeong2016_dRNA-seq	497384	1	0	True
SC_RS04325	SCO0481		NC_003888.3	501699	502217	+	501699	501511.0	Jeong2016_dRNA-seq	501511	0	0	False
SC_RS04365	SCO0489		NC_003888.3	510823	511035	-	511035	510997.0	Jeong2016_dRNA-seq	510997	0	0	False
SC_RS04370	SCO0490		NC_003888.3	511124	512215	+	511124	511074.0	Jeong2016_dRNA-seq	511074	2	0	True
SC_RS04390	SCO0494		NC_003888.3	526786	527838	-	527838	527873.0	Jeong2016_dRNA-seq	527873	0	0	False
SC_RS04395	SCO0495		NC_003888.3	527889	528752	-	528752	528775.0	Jeong2016_dRNA-seq	528775	0	2	True
SC_RS04410	SCO0498		NC_003888.3	530970	532325	-	532325	532356.0	Jeong2016_dRNA-seq	532356	0	0	False
SC_RS04415	SCO0499		NC_003888.3	532501	533448	+	532501	532473.0	Jeong2016_dRNA-seq	532473	0	0	False
SC_RS04420	SCO0500		NC_003888.3	533534	533773	-	533773	533799.0	Jeong2016_dRNA-seq	533799	0	0	False
SC_RS04440	SCO0504		NC_003888.3	537623	538942	+	537623	537545.0	Jeong2016_dRNA-seq	537545	0	0	False
SC_RS04445	SCO0505		NC_003888.3	539123	542131	+	539123	539051.0	Jeong2016_dRNA-seq	539051	0	0	False
SC_RS04450	SCO0506	nadE	NC_003888.3	542269	543099	+	542269	542235.0	Jeong2016_dRNA-seq	542235	0	0	False
SC_RS04465	SCO0509	glpK	NC_003888.3	544194	545717	+	544194	544141.0	Jeong2016_dRNA-seq	544141	0	0	False
SC_RS04485	SCO0513		NC_003888.3	547809	548900	+	547809	547809.0	Jeong2016_dRNA-seq	547809	0	0	False
SC_RS04520	SCO0521		NC_003888.3	553892	554473	+	553892	553892.0	Jeong2016_dRNA-seq	553892	0	0	False
SC_RS04535	SCO0524		NC_003888.3	555990	556898	+	555990	555961.0	Jeong2016_dRNA-seq	555961	0	0	False
SC_RS04540	SCO0525		NC_003888.3	557029	557844	+	557029	556992.0	Jeong2016_dRNA-seq	556992	0	0	False
SC_RS04550	SCO0527		NC_003888.3	558812	559015	-	559015	559144.0	Jeong2016_dRNA-seq	559144	0	0	False
SC_RS04600	SCO0537		NC_003888.3	569655	570482	+	569655	569516.0	Jeong2016_dRNA-seq	569516	0	0	False
SC_RS04630	SCO0543		NC_003888.3	578092	579228	+	578092	578063.0	Jeong2016_dRNA-seq	578063	0	0	False
SC_RS04645	SCO0546		NC_003888.3	583523	586897	-	586897	586925.0	Jeong2016_dRNA-seq	586925	0	1	True
SC_RS04675	SCO0552		NC_003888.3	592306	592995	-	592995	592995.0	Jeong2016_dRNA-seq	592995	0	0	False
SC_RS04705	SCO0557		NC_003888.3	598747	599769	+	598747	598727.0	Jeong2016_dRNA-seq	598727	0	0	False
SC_RS04710	SCO0558		NC_003888.3	599712	599978	-	599978	599978.0	Jeong2016_dRNA-seq	599978	0	1	True
SC_RS04725	SCO0561		NC_003888.3	603385	603840	-	603840	603840.0	Jeong2016_dRNA-seq	603840	0	0	False
SC_RS04735	SCO0563		NC_003888.3	605122	606555	-	606555	606604.0	Jeong2016_dRNA-seq	606604	0	0	False
SC_RS04775	SCO0570	rpmG	NC_003888.3	612156	612320	-	612320	612374.0	Jeong2016_dRNA-seq	612374	0	0	False
SC_RS04835	SCO0582		NC_003888.3	624273	625034	+	624273	624279.0	Jeong2016_dRNA-seq	624279	0	0	False
SC_RS04840	SCO0583		NC_003888.3	625127	626350	+	625127	625099.0	Jeong2016_dRNA-seq	625099	1	0	True
SC_RS04865	SCO0588		NC_003888.3	629185	630912	-	630912	631018.0	Jeong2016_dRNA-seq	631018	0	0	False
SC_RS04870	SCO0589		NC_003888.3	631216	632103	-	632103	632103.0	Jeong2016_dRNA-seq	632103	0	0	False
SC_RS04885	SCO0592		NC_003888.3	633986	634708	-	634708	634777.0	Jeong2016_dRNA-seq	634777	0	0	False
SC_RS04900	SCO0595		NC_003888.3	636561	637166	+	636561	636541.0	Jeong2016_dRNA-seq	636541	1	0	True
SC_RS04905	SCO0596		NC_003888.3	637261	637824	+	637261	637316.0	Jeong2016_dRNA-seq	637316	0	0	False
SC_RS04910	SCO0597		NC_003888.3	637911	638267	-	638267	638374.0	Jeong2016_dRNA-seq	638374	0	0	False
SC_RS04915	SCO0598		NC_003888.3	638451	638804	+	638451	638394.0	Jeong2016_dRNA-seq	638394	0	0	False
SC_RS04925	SCO0600		NC_003888.3	639859	640704	+	639859	639810.0	Jeong2016_dRNA-seq	639810	0	0	False
SC_RS04965	SCO0608	slbR	NC_003888.3	647887	648765	+	647887	647816.0	Jeong2016_dRNA-seq	647816	0	0	False
SC_RS05030	SCO0622		NC_003888.3	662373	663014	+	662373	662382.0	Jeong2016_dRNA-seq	662382	0	0	False
SC_RS05095	SCO0635		NC_003888.3	676262	677023	+	676262	676128.0	Jeong2016_dRNA-seq	676128	0	0	False
SC_RS05100	SCO0636		NC_003888.3	677227	678861	+	677227	677033.0	Jeong2016_dRNA-seq	677033	0	0	False
SC_RS05120	SCO0640		NC_003888.3	681435	681863	-	681863	681910.0	Jeong2016_dRNA-seq	681910	0	0	False
SC_RS05125	SCO0641		NC_003888.3	681960	682535	+	681960	681905.0	Jeong2016_dRNA-seq	681905	0	0	False
SC_RS05140	SCO0644		NC_003888.3	685288	687357	-	687357	687488.0	Jeong2016_dRNA-seq	687488	0	0	False
SC_RS05275	SCO0671		NC_003888.3	711379	711657	-	711657	711660.0	Jeong2016_dRNA-seq	711660	0	0	False
SC_RS05285	SCO0673		NC_003888.3	712209	712637	-	712637	712688.0	Jeong2016_dRNA-seq	712688	0	0	False
SC_RS05300	SCO0676		NC_003888.3	717150	719897	+	717150	717150.0	Jeong2016_dRNA-seq	717150	0	1	True
SC_RS05305	SCO0677	csnA	NC_003888.3	720032	720874	+	720032	720095.0	Jeong2016_dRNA-seq	720095	0	0	False
SC_RS05310	SCO0678		NC_003888.3	720985	721158	-	721158	721194.0	Jeong2016_dRNA-seq	721194	0	0	False
SC_RS05320	SCO0680		NC_003888.3	721495	722964	-	722964	723121.0	Jeong2016_dRNA-seq	723121	0	0	False
SC_RS05325	SCO0681		NC_003888.3	723181	724545	+	723181	723146.0	Jeong2016_dRNA-seq	723146	0	0	False
SC_RS05345	SCO0685		NC_003888.3	726401	726808	-	726808	726846.0	Jeong2016_dRNA-seq	726846	0	0	False
SC_RS05350	SCO0686		NC_003888.3	726998	728068	+	726998	726936.0	Jeong2016_dRNA-seq	726936	0	0	False
SC_RS05390	SCO0694	tgmA	NC_003888.3	736312	736503	+	736312	736229.0	Jeong2016_dRNA-seq	736229	1	2	True
SC_RS05415	SCO0698		NC_003888.3	739510	739773	-	739773	739795.0	Jeong2016_dRNA-seq	739795	0	0	False
SC_RS05435	SCO0702		NC_003888.3	742816	743394	-	743394	743453.0	Jeong2016_dRNA-seq	743453	0	0	False
SC_RS05440	SCO0703		NC_003888.3	743575	743802	+	743575	743467.0	Jeong2016_dRNA-seq	743467	0	0	False
SC_RS05450	SCO0705		NC_003888.3	744945	745763	-	745763	745801.0	Jeong2016_dRNA-seq	745801	2	0	True
SC_RS05515	SCO0718		NC_003888.3	761675	761896	+	761675	761626.0	Jeong2016_dRNA-seq	761626	0	0	False
SC_RS05535	SCO0722		NC_003888.3	766591	767331	-	767331	767331.0	Jeong2016_dRNA-seq	767331	0	0	False
SC_RS05550	SCO0724		NC_003888.3	768450	769367	+	768450	768417.0	Jeong2016_dRNA-seq	768417	0	0	False
SC_RS05560	SCO0726		NC_003888.3	770144	770632	-	770632	770623.0	Jeong2016_dRNA-seq	770623	0	0	False
SC_RS05565	SCO0727		NC_003888.3	770665	771498	-	771498	771521.0	Jeong2016_dRNA-seq	771521	0	0	False
SC_RS05580	SCO0730		NC_003888.3	772974	773381	-	773381	773381.0	Jeong2016_dRNA-seq	773381	0	0	False
SC_RS05595	SCO0733		NC_003888.3	776203	776388	-	776388	776376.0	Jeong2016_dRNA-seq	776376	0	0	False
SC_RS05610	SCO0736		NC_003888.3	779131	779826	-	779826	779890.0	Jeong2016_dRNA-seq	779890	0	1	True
SC_RS05620	SCO0738		NC_003888.3	780863	781402	+	780863	780863.0	Jeong2016_dRNA-seq	780863	0	0	False
SC_RS05665	SCO0747		NC_003888.3	789337	789837	-	789837	789837.0	Jeong2016_dRNA-seq	789837	0	0	False
SC_RS05670	SCO0748		NC_003888.3	789960	790541	+	789960	789915.0	Jeong2016_dRNA-seq	789915	0	0	False
SC_RS05695	SCO0753		NC_003888.3	796584	796799	+	796584	796462.0	Jeong2016_dRNA-seq	796462	1	0	True
SC_RS05740	SCO0762		NC_003888.3	806172	806606	-	806606	806670.0	Jeong2016_dRNA-seq	806670	0	0	False
SC_RS05745	SCO0763		NC_003888.3	806966	808135	+	806966	806741.0	Jeong2016_dRNA-seq	806741	0	0	False
SC_RS05750	SCO0764		NC_003888.3	808206	809813	-	809813	809987.0	Jeong2016_dRNA-seq	809987	0	0	False
SC_RS05765	SCO0767		NC_003888.3	815934	818315	+	815934	815887.0	Jeong2016_dRNA-seq	815887	0	0	False
SC_RS05775	SCO0769		NC_003888.3	819148	820116	-	820116	820151.0	Jeong2016_dRNA-seq	820151	0	0	False
SC_RS05800	SCO0774		NC_003888.3	822061	823299	-	823299	823332.0	Jeong2016_dRNA-seq	823332	0	0	False
SC_RS05805	SCO0775		NC_003888.3	823609	824058	+	823609	823562.0	Jeong2016_dRNA-seq	823562	0	0	False
SC_RS05825	SCO0779		NC_003888.3	826690	827085	-	827085	827134.0	Jeong2016_dRNA-seq	827134	0	0	False
SC_RS05840	SCO0782		NC_003888.3	828755	829708	-	829708	829924.0	Jeong2016_dRNA-seq	829924	0	0	False
SC_RS05845	SCO0783	otr(A)	NC_003888.3	829910	831817	+	829910	829802.0	Jeong2016_dRNA-seq	829802	0	0	False
SC_RS05890	SCO0792		NC_003888.3	838977	840008	+	838977	838746.0	Jeong2016_dRNA-seq	838746	0	0	False
SC_RS05905	SCO0795		NC_003888.3	841878	842372	+	841878	841835.0	Jeong2016_dRNA-seq	841835	0	0	False
SC_RS05915	SCO0797		NC_003888.3	843808	844860	+	843808	843749.0	Jeong2016_dRNA-seq	843749	0	0	False
SC_RS05925	SCO0799		NC_003888.3	846084	846809	-	846809	846842.0	Jeong2016_dRNA-seq	846842	0	0	False
SC_RS05940	SCO0802		NC_003888.3	849194	850042	-	850042	850042.0	Jeong2016_dRNA-seq	850042	0	0	False
SC_RS06030	SCO0820		NC_003888.3	869978	870337	-	870337	870363.0	Jeong2016_dRNA-seq	870363	0	0	False
SC_RS06100	SCO0834		NC_003888.3	882826	883014	-	883014	883005.0	Jeong2016_dRNA-seq	883005	0	0	False
SC_RS06110	SCO0836		NC_003888.3	883920	884921	-	884921	884961.0	Jeong2016_dRNA-seq	884961	0	1	True
SC_RS06150	SCO0844		NC_003888.3	892665	893006	-	893006	892997.0	Jeong2016_dRNA-seq	892997	0	0	False
SC_RS06155	SCO0845		NC_003888.3	893013	893240	-	893240	893283.0	Jeong2016_dRNA-seq	893283	0	0	False
SC_RS06160	SCO0846		NC_003888.3	893386	894186	+	893386	893357.0	Jeong2016_dRNA-seq	893357	0	0	False
SC_RS06170	SCO0848		NC_003888.3	894818	895819	-	895819	895819.0	Jeong2016_dRNA-seq	895819	0	1	True
SC_RS06195	SCO0853		NC_003888.3	898895	899293	+	898895	899035.0	Jeong2016_dRNA-seq	899035	0	0	False
SC_RS06200	SCO0854		NC_003888.3	899538	902129	+	899538	899420.0	Jeong2016_dRNA-seq	899420	1	1	True
SC_RS06220	SCO0858		NC_003888.3	905000	905377	-	905377	905377.0	Jeong2016_dRNA-seq	905377	0	0	False
SC_RS06245	SCO0863		NC_003888.3	909469	910926	-	910926	910972.0	Jeong2016_dRNA-seq	910972	1	1	True
SC_RS06255	SCO0865		NC_003888.3	912092	912862	-	912862	912865.0	Jeong2016_dRNA-seq	912865	1	0	True
SC_RS06265	SCO0867		NC_003888.3	913768	914472	-	914472	914475.0	Jeong2016_dRNA-seq	914475	0	0	False
SC_RS06290	SCO0872		NC_003888.3	918438	919640	-	919640	919722.0	Jeong2016_dRNA-seq	919722	0	0	False
SC_RS06310	SCO0877		NC_003888.3	922247	924913	+	922247	922247.0	Jeong2016_dRNA-seq	922247	0	1	True
SC_RS06340	SCO0881		NC_003888.3	927534	928499	-	928499	928506.0	Jeong2016_dRNA-seq	928506	0	0	False
SC_RS06350	SCO0883		NC_003888.3	929061	929717	+	929061	929049.0	Jeong2016_dRNA-seq	929049	0	0	False
SC_RS06355	SCO0884		NC_003888.3	929779	931212	-	931212	931212.0	Jeong2016_dRNA-seq	931212	0	0	False
SC_RS06360	SCO0885	trxA	NC_003888.3	931333	931737	+	931333	931266.0	Jeong2016_dRNA-seq	931266	0	0	False
SC_RS06375	SCO0888		NC_003888.3	933708	934271	+	933708	933635.0	Jeong2016_dRNA-seq	933635	0	0	False
SC_RS06455	SCO0902		NC_003888.3	949864	950292	-	950292	950366.0	Jeong2016_dRNA-seq	950366	0	0	False
SC_RS06500	SCO0910	egtA	NC_003888.3	954566	955867	+	954566	954502.0	Jeong2016_dRNA-seq	954502	0	0	False
SC_RS06570	SCO0924		NC_003888.3	970589	971260	-	971260	971296.0	Jeong2016_dRNA-seq	971296	0	0	False
SC_RS06595	SCO0929		NC_003888.3	976453	977265	-	977265	977298.0	Jeong2016_dRNA-seq	977298	1	1	True
SC_RS06600	SCO0930		NC_003888.3	977491	978444	-	978444	978498.0	Jeong2016_dRNA-seq	978498	0	0	False
SC_RS06605	SCO0931		NC_003888.3	978767	979324	+	978767	978713.0	Jeong2016_dRNA-seq	978713	0	0	False
SC_RS06635	SCO0937		NC_003888.3	983389	983850	+	983389	983389.0	Jeong2016_dRNA-seq	983389	0	0	False
SC_RS06645	SCO0939		NC_003888.3	985374	986189	-	986189	986189.0	Jeong2016_dRNA-seq	986189	0	0	False
SC_RS06665	SCO0943		NC_003888.3	988826	989341	+	988826	988617.0	Jeong2016_dRNA-seq	988617	0	0	False
SC_RS06675	SCO0945		NC_003888.3	990249	991112	-	991112	991112.0	Jeong2016_dRNA-seq	991112	0	1	True
SC_RS06680	SCO0946		NC_003888.3	991153	993243	-	993243	993243.0	Jeong2016_dRNA-seq	993243	0	0	False
SC_RS06725	SCO0954		NC_003888.3	1003996	1004478	-	1004478	1004478.0	Jeong2016_dRNA-seq	1004478	0	0	False
SC_RS06730	SCO0955		NC_003888.3	1004534	1004710	-	1004710	1004911.0	Jeong2016_dRNA-seq	1004911	0	0	False
SC_RS06740	SCO0957		NC_003888.3	1005700	1007202	-	1007202	1007260.0	Jeong2016_dRNA-seq	1007260	0	0	False
SC_RS06745	SCO0958		NC_003888.3	1007306	1008646	-	1008646	1008696.0	Jeong2016_dRNA-seq	1008696	0	0	False
SC_RS06765	SCO0962	glgA	NC_003888.3	1015300	1016463	-	1016463	1016490.0	Jeong2016_dRNA-seq	1016490	0	1	True
SC_RS06805	SCO0970		NC_003888.3	1022079	1022813	-	1022813	1022961.0	Jeong2016_dRNA-seq	1022961	0	0	False
SC_RS06810	SCO0971		NC_003888.3	1023053	1023964	+	1023053	1023032.0	Jeong2016_dRNA-seq	1023032	0	0	False
SC_RS06820	SCO0973		NC_003888.3	1024508	1025767	+	1024508	1024446.0	Jeong2016_dRNA-seq	1024446	0	0	False
SC_RS06845	SCO0978	panD	NC_003888.3	1030387	1030806	-	1030806	1030856.0	Jeong2016_dRNA-seq	1030856	0	0	False
SC_RS06885	SCO0985	metE	NC_003888.3	1038243	1040561	+	1038243	1037861.0	Jeong2016_dRNA-seq	1037861	0	0	False
SC_RS06900	SCO0988		NC_003888.3	1043385	1043969	+	1043385	1043351.0	Jeong2016_dRNA-seq	1043351	0	0	False
SC_RS06905	SCO0989		NC_003888.3	1043990	1044382	-	1044382	1044600.0	Jeong2016_dRNA-seq	1044600	1	1	True
SC_RS06915	SCO0991		NC_003888.3	1046251	1047114	+	1046251	1045891.0	Jeong2016_dRNA-seq	1045891	0	0	False
SC_RS06940	SCO0996		NC_003888.3	1051613	1052656	+	1051613	1051419.0	Jeong2016_dRNA-seq	1051419	0	0	False
SC_RS06955	SCO0999		NC_003888.3	1054754	1055401	-	1055401	1055437.0	Jeong2016_dRNA-seq	1055437	0	0	False
SC_RS06960	SCO1000		NC_003888.3	1055883	1056995	-	1056995	1057350.0	Jeong2016_dRNA-seq	1057350	0	0	False
SC_RS07000	SCO1008		NC_003888.3	1063185	1063520	+	1063185	1063165.0	Jeong2016_dRNA-seq	1063165	1	0	True
SC_RS07025	SCO1013		NC_003888.3	1069154	1069633	-	1069633	1069614.0	Jeong2016_dRNA-seq	1069614	0	0	False
SC_RS07040	SCO1017		NC_003888.3	1072677	1073219	-	1073219	1073219.0	Jeong2016_dRNA-seq	1073219	0	0	False
SC_RS07045	SCO1018		NC_003888.3	1073299	1074084	-	1074084	1074084.0	Jeong2016_dRNA-seq	1074084	0	0	False
SC_RS07050	SCO1019		NC_003888.3	1074124	1075377	+	1074124	1074142.0	Jeong2016_dRNA-seq	1074142	0	1	True
