chrom,position,strand,mod_type,timepoint,n_reps,total_coverage,weighted_mod_freq,unweighted_mod_freq
NC_003888.3,229696,-,6mA,T1,3,51,58.82392156862745,57.080000000000005
NC_003888.3,240265,-,6mA,T1,3,48,52.08416666666667,52.26
NC_003888.3,241148,-,4mC,T1,3,33,90.90757575757576,94.11666666666667
NC_003888.3,242078,-,4mC,T1,3,32,87.4996875,92.15666666666668
NC_003888.3,246147,+,6mA,T1,3,58,51.72379310344827,50.58666666666667
NC_003888.3,250423,-,6mA,T1,3,53,50.94490566037736,52.96
NC_003888.3,251051,+,6mA,T1,3,54,55.55481481481482,56.31333333333333
NC_003888.3,251362,-,4mC,T1,3,36,80.55666666666667,78.89
NC_003888.3,255491,-,6mA,T1,3,39,53.8474358974359,53.36666666666667
NC_003888.3,258445,-,6mA,T1,3,31,80.6458064516129,81.44
NC_003888.3,278824,-,6mA,T1,3,61,78.68934426229508,78.96666666666665
NC_003888.3,292053,+,6mA,T1,3,48,62.50062499999999,60.0
NC_003888.3,298186,+,6mA,T1,3,47,59.57468085106383,57.576666666666675
NC_003888.3,299931,+,4mC,T1,3,31,61.291612903225804,65.34333333333333
NC_003888.3,304667,-,4mC,T1,3,36,88.88944444444445,89.09999999999998
NC_003888.3,306824,-,6mA,T1,3,48,52.08166666666667,52.31333333333333
NC_003888.3,311643,+,6mA,T1,3,39,53.84615384615385,55.416666666666664
NC_003888.3,317665,-,6mA,T1,3,48,58.33375,57.573333333333345
NC_003888.3,320225,-,6mA,T1,3,48,72.91895833333332,71.71333333333332
NC_003888.3,321176,+,6mA,T1,3,47,53.19,51.74666666666667
NC_003888.3,321885,-,6mA,T1,3,44,61.36272727272728,61.10999999999999
NC_003888.3,321886,-,6mA,T1,3,57,80.70035087719299,79.45333333333333
NC_003888.3,321887,-,6mA,T1,3,51,50.97941176470588,50.69333333333333
NC_003888.3,322787,+,6mA,T1,3,47,55.32148936170213,55.576666666666675
NC_003888.3,323419,-,4mC,T1,3,30,83.33533333333334,81.86666666666667
NC_003888.3,327687,-,6mA,T1,3,67,65.6755223880597,65.45666666666666
NC_003888.3,335038,+,4mC,T1,3,37,91.89486486486486,93.51666666666667
NC_003888.3,335643,+,6mA,T1,3,50,58.0012,62.576666666666675
NC_003888.3,345730,+,6mA,T1,3,64,62.50234375,64.34
NC_003888.3,347855,+,6mA,T1,3,59,50.84559322033898,52.04333333333333
NC_003888.3,354684,+,6mA,T1,3,49,61.22408163265306,61.20333333333334
NC_003888.3,355330,+,6mA,T1,3,47,55.31936170212766,54.27333333333333
NC_003888.3,355626,+,6mA,T1,3,54,66.6675925925926,65.99
NC_003888.3,357889,+,6mA,T1,3,55,72.72672727272726,72.20333333333333
NC_003888.3,357890,+,6mA,T1,3,52,71.15288461538461,72.02333333333334
NC_003888.3,360262,+,6mA,T1,3,50,64.0018,64.33999999999999
NC_003888.3,361061,+,6mA,T1,3,51,52.94117647058823,53.526666666666664
NC_003888.3,364738,-,4mC,T1,3,37,94.59648648648648,94.66000000000001
NC_003888.3,372766,-,6mA,T1,3,59,50.84525423728813,51.38666666666666
NC_003888.3,372882,-,4mC,T1,3,30,93.334,93.26666666666665
NC_003888.3,380076,+,6mA,T1,3,61,63.936885245901635,60.56333333333333
NC_003888.3,381741,+,6mA,T1,3,42,59.5247619047619,58.03666666666667
NC_003888.3,381782,-,4mC,T1,3,34,91.17588235294116,92.85666666666667
NC_003888.3,393381,+,6mA,T1,3,42,50.0,47.36000000000001
NC_003888.3,394629,+,6mA,T1,3,42,73.81,73.81
NC_003888.3,405808,+,6mA,T1,3,50,72.0,72.48666666666666
NC_003888.3,406538,+,4mC,T1,3,32,100.0,100.0
NC_003888.3,408882,-,6mA,T1,3,55,56.366181818181815,60.53000000000001
NC_003888.3,419901,-,4mC,T1,3,30,96.66766666666666,97.43666666666667
NC_003888.3,429275,+,4mC,T1,3,43,97.67441860465117,98.66666666666667
NC_003888.3,429395,+,4mC,T1,3,43,79.06837209302326,80.88666666666667
NC_003888.3,429897,+,6mA,T1,3,58,79.31172413793104,78.53
NC_003888.3,436443,+,4mC,T1,3,55,92.72818181818182,91.61333333333334
NC_003888.3,440613,-,6mA,T1,3,54,53.7037037037037,52.083333333333336
NC_003888.3,441018,-,6mA,T1,3,57,50.87754385964913,50.919999999999995
NC_003888.3,441709,-,4mC,T1,3,33,84.8469696969697,81.94333333333333
NC_003888.3,444180,-,6mA,T1,3,64,50.00140625,51.24333333333334
NC_003888.3,447781,-,6mA,T1,3,54,51.85203703703704,51.06333333333333
NC_003888.3,450269,+,4mC,T1,3,37,100.0,100.0
NC_003888.3,455569,-,6mA,T1,3,59,59.32389830508474,61.11333333333334
NC_003888.3,459557,-,4mC,T1,3,30,93.33333333333333,93.33333333333333
NC_003888.3,460130,-,4mC,T1,3,32,93.7503125,93.63666666666666
NC_003888.3,462740,-,6mA,T1,3,45,62.22177777777778,61.86000000000001
NC_003888.3,462761,+,6mA,T1,3,50,62.0,63.333333333333336
NC_003888.3,466470,+,6mA,T1,3,49,69.38448979591837,70.76666666666667
NC_003888.3,467033,+,6mA,T1,3,47,63.829787234042556,61.63
NC_003888.3,467034,+,6mA,T1,3,39,69.23051282051281,68.07666666666667
NC_003888.3,476603,+,6mA,T1,3,49,53.06020408163265,52.46666666666667
NC_003888.3,476881,-,4mC,T1,3,46,97.825,97.77666666666666
NC_003888.3,481755,-,4mC,T1,3,37,81.0818918918919,80.07666666666667
NC_003888.3,488496,-,4mC,T1,3,37,59.46,60.60666666666666
NC_003888.3,489300,-,4mC,T1,3,30,76.666,78.70333333333333
NC_003888.3,491329,+,4mC,T1,3,31,87.0983870967742,87.22333333333334
NC_003888.3,491662,+,6mA,T1,3,60,60.00066666666667,59.61333333333334
NC_003888.3,493898,-,6mA,T1,3,56,57.1425,57.59666666666667
NC_003888.3,500408,+,6mA,T1,3,51,50.97941176470588,51.94333333333333
NC_003888.3,502432,+,6mA,T1,3,54,50.00222222222222,52.78
NC_003888.3,503062,+,6mA,T1,3,59,64.40745762711865,64.42666666666666
NC_003888.3,515717,-,6mA,T1,3,49,67.34755102040816,68.13
NC_003888.3,524695,+,6mA,T1,3,69,50.725072463768115,46.02333333333333
NC_003888.3,528960,+,6mA,T1,3,45,64.44555555555556,63.78333333333333
NC_003888.3,528980,+,6mA,T1,3,50,56.0,55.833333333333336
NC_003888.3,533344,+,6mA,T1,3,43,53.49023255813953,54.906666666666666
NC_003888.3,535839,+,6mA,T1,3,44,54.54590909090909,55.06
NC_003888.3,541105,+,6mA,T1,3,57,59.64736842105263,59.5
NC_003888.3,542610,+,6mA,T1,3,49,55.10142857142858,55.60333333333333
NC_003888.3,543273,+,6mA,T1,3,50,65.9972,66.44666666666667
NC_003888.3,550560,-,6mA,T1,3,60,50.00183333333333,51.22666666666667
NC_003888.3,561325,-,6mA,T1,3,58,53.44827586206897,52.97666666666667
NC_003888.3,569123,-,6mA,T1,3,50,54.0008,53.03666666666667
NC_003888.3,574878,+,6mA,T1,3,49,53.0595918367347,55.53666666666667
NC_003888.3,574922,+,6mA,T1,3,56,58.93053571428572,65.86
NC_003888.3,575259,+,6mA,T1,3,63,53.96793650793651,52.64333333333334
NC_003888.3,580713,+,6mA,T1,3,55,56.36527272727273,60.32
NC_003888.3,582571,+,6mA,T1,3,62,66.12967741935483,61.31333333333333
NC_003888.3,582575,+,4mC,T1,2,31,77.41774193548386,77.28999999999999
NC_003888.3,583494,+,6mA,T1,3,64,54.685625,57.25
NC_003888.3,585945,+,4mC,T1,3,30,100.0,100.0
NC_003888.3,592540,-,6mA,T1,3,61,50.81770491803279,51.79333333333333
NC_003888.3,593726,-,6mA,T1,3,51,84.31235294117647,84.81333333333333
NC_003888.3,593798,-,6mA,T1,3,64,54.68546875,54.06333333333333
NC_003888.3,594019,-,6mA,T1,3,56,55.3575,53.116666666666674
NC_003888.3,594828,-,4mC,T1,3,37,78.37837837837837,83.33333333333333
NC_003888.3,596907,-,6mA,T1,3,58,50.00086206896552,48.51333333333333
NC_003888.3,600113,+,6mA,T1,3,54,55.55425925925926,55.56
NC_003888.3,605395,-,6mA,T1,3,65,50.76861538461539,49.84666666666667
NC_003888.3,609828,+,6mA,T1,3,58,60.3448275862069,61.13333333333333
NC_003888.3,609829,+,6mA,T1,3,62,69.35129032258065,69.62333333333332
NC_003888.3,613833,-,6mA,T1,3,45,53.332,53.57
NC_003888.3,613984,+,4mC,T1,3,32,90.62593749999999,89.10333333333334
NC_003888.3,619692,-,4mC,T1,3,37,94.59594594594596,95.55666666666667
NC_003888.3,619824,-,6mA,T1,3,42,54.76190476190476,55.64333333333334
NC_003888.3,620836,+,4mC,T1,3,35,94.28714285714287,95.55666666666667
NC_003888.3,621343,-,6mA,T1,3,50,54.0,53.333333333333336
NC_003888.3,635181,+,6mA,T1,3,60,53.33266666666667,56.22666666666667
NC_003888.3,638927,-,6mA,T1,3,58,53.44689655172414,50.37
NC_003888.3,643546,-,6mA,T1,3,67,64.18014925373134,62.223333333333336
NC_003888.3,645581,+,6mA,T1,3,55,50.90727272727272,50.63333333333333
NC_003888.3,647285,+,4mC,T1,3,44,88.63454545454546,88.37
NC_003888.3,647457,-,6mA,T1,3,61,75.40803278688523,76.22
NC_003888.3,648235,+,6mA,T1,3,52,75.0023076923077,76.14
NC_003888.3,648246,+,6mA,T1,3,45,77.77777777777779,77.69333333333334
NC_003888.3,648438,+,6mA,T1,3,54,68.51888888888888,70.42999999999999
NC_003888.3,648450,+,6mA,T1,3,63,60.31587301587302,60.583333333333336
NC_003888.3,648454,+,4mC,T1,3,36,66.66833333333335,65.59
NC_003888.3,648804,-,6mA,T1,3,60,61.669333333333334,58.03333333333334
NC_003888.3,649826,+,6mA,T1,3,65,66.15353846153846,65.52
NC_003888.3,649992,-,6mA,T1,3,56,51.786964285714284,52.90333333333333
NC_003888.3,655652,-,6mA,T1,3,36,61.111111111111114,63.55333333333334
NC_003888.3,661265,-,6mA,T1,3,43,51.16186046511628,51.35333333333333
NC_003888.3,663377,+,4mC,T1,3,45,93.33133333333333,95.23666666666666
NC_003888.3,670858,-,6mA,T1,3,61,77.0483606557377,76.98333333333333
NC_003888.3,678046,+,6mA,T1,3,56,55.35607142857143,53.326666666666675
NC_003888.3,683994,-,4mC,T1,3,32,90.62406250000001,91.41333333333334
NC_003888.3,693130,+,6mA,T1,3,40,50.001,49.123333333333335
NC_003888.3,714416,-,6mA,T1,3,69,66.66884057971014,67.03666666666666
NC_003888.3,717308,-,4mC,T1,3,33,87.8769696969697,86.12
NC_003888.3,718697,+,6mA,T1,3,54,53.70444444444444,59.306666666666665
NC_003888.3,720913,+,6mA,T1,3,55,58.18181818181818,56.17333333333334
NC_003888.3,721152,-,4mC,T1,3,36,83.33333333333333,83.75
NC_003888.3,729353,+,6mA,T1,3,61,50.81967213114754,48.666666666666664
NC_003888.3,730838,+,6mA,T1,3,52,51.92288461538461,54.666666666666664
NC_003888.3,732709,-,6mA,T1,3,59,64.40847457627119,65.85000000000001
NC_003888.3,735989,-,6mA,T1,3,52,53.848076923076924,54.026666666666664
NC_003888.3,735990,-,6mA,T1,3,57,66.66508771929824,66.97
NC_003888.3,736996,+,6mA,T1,3,49,75.51081632653063,77.94666666666667
NC_003888.3,737000,+,4mC,T1,3,36,86.11305555555555,90.03000000000002
NC_003888.3,743049,-,4mC,T1,3,32,96.8753125,96.96999999999998
NC_003888.3,746027,+,4mC,T1,3,41,85.36463414634146,85.52999999999999
NC_003888.3,746405,-,4mC,T1,3,37,83.78351351351351,83.00666666666667
NC_003888.3,748628,-,6mA,T1,3,75,51.99906666666666,56.393333333333324
NC_003888.3,749030,-,6mA,T1,3,72,61.11208333333333,59.836666666666666
NC_003888.3,749518,-,4mC,T1,3,39,92.30794871794872,92.96333333333332
NC_003888.3,753589,-,6mA,T1,3,55,52.730000000000004,52.79999999999999
NC_003888.3,753689,-,4mC,T1,3,40,94.9975,92.58999999999999
NC_003888.3,761715,+,4mC,T1,3,34,64.70647058823529,65.51333333333334
NC_003888.3,763095,+,6mA,T1,3,62,51.61112903225806,51.81333333333333
NC_003888.3,764919,-,6mA,T1,3,66,53.02969696969697,51.663333333333334
NC_003888.3,766828,-,6mA,T1,3,59,62.71322033898305,63.28666666666667
NC_003888.3,767709,-,6mA,T1,3,60,53.33416666666667,53.45333333333334
NC_003888.3,769641,+,6mA,T1,3,56,76.78642857142857,76.29
NC_003888.3,769955,+,6mA,T1,3,69,63.7691304347826,63.89000000000001
NC_003888.3,771232,-,6mA,T1,3,71,52.111830985915496,53.03
NC_003888.3,772252,-,6mA,T1,3,62,56.45403225806451,56.43333333333334
NC_003888.3,774242,-,6mA,T1,3,67,68.6558208955224,69.71333333333332
NC_003888.3,774575,-,6mA,T1,3,66,62.1219696969697,62.24
NC_003888.3,778043,+,4mC,T1,3,30,80.00166666666668,80.68333333333334
NC_003888.3,778604,+,4mC,T1,3,44,93.18409090909091,92.91333333333334
NC_003888.3,779920,-,6mA,T1,3,78,71.79692307692308,72.0
NC_003888.3,789448,-,6mA,T1,3,60,68.33166666666666,65.51666666666667
NC_003888.3,796027,-,6mA,T1,3,80,53.75025000000001,55.449999999999996
NC_003888.3,798226,+,6mA,T1,3,66,54.543484848484844,51.00999999999999
NC_003888.3,801089,-,6mA,T1,3,64,51.56171875,48.25
NC_003888.3,801847,+,4mC,T1,3,30,56.665333333333336,57.776666666666664
NC_003888.3,811819,-,6mA,T1,3,41,58.53585365853659,59.06333333333333
NC_003888.3,821656,+,6mA,T1,3,79,50.63708860759493,50.25666666666666
NC_003888.3,826412,+,4mC,T1,3,33,90.9090909090909,92.5
NC_003888.3,826745,+,4mC,T1,3,31,67.74032258064516,66.11
NC_003888.3,827053,+,6mA,T1,3,73,64.38424657534246,63.910000000000004
NC_003888.3,827793,-,6mA,T1,3,54,62.96314814814815,61.873333333333335
NC_003888.3,835115,+,6mA,T1,3,73,61.6458904109589,63.35333333333333
NC_003888.3,835882,-,6mA,T1,3,67,53.73582089552239,52.04
NC_003888.3,837137,+,6mA,T1,3,66,54.54257575757576,56.88666666666666
NC_003888.3,840472,-,6mA,T1,3,51,56.85862745098039,54.830000000000005
NC_003888.3,849568,-,4mC,T1,3,34,85.29558823529412,88.81666666666666
NC_003888.3,851027,-,6mA,T1,3,44,63.63818181818181,67.41333333333334
NC_003888.3,851358,+,6mA,T1,3,47,57.446382978723406,57.57
NC_003888.3,862344,+,4mC,T1,3,31,96.77451612903226,96.96999999999998
NC_003888.3,863569,-,6mA,T1,3,71,56.33915492957746,50.18666666666667
NC_003888.3,864643,-,6mA,T1,3,57,61.401754385964914,62.673333333333325
NC_003888.3,864746,+,6mA,T1,3,58,60.34448275862069,63.01666666666667
NC_003888.3,864750,+,4mC,T1,3,34,79.41235294117647,78.94
NC_003888.3,869891,-,6mA,T1,3,49,69.3895918367347,66.17666666666666
NC_003888.3,869966,+,4mC,T1,3,37,89.19189189189188,89.34666666666668
NC_003888.3,875425,+,6mA,T1,3,69,60.86869565217392,61.4
NC_003888.3,879921,-,6mA,T1,3,53,77.35811320754716,77.18
NC_003888.3,886776,-,6mA,T1,3,61,50.81934426229508,53.163333333333334
NC_003888.3,899184,+,4mC,T1,3,32,90.625,92.06333333333333
NC_003888.3,900953,-,6mA,T1,3,61,62.2944262295082,62.50333333333333
NC_003888.3,900954,-,6mA,T1,3,66,53.03060606060606,53.46
NC_003888.3,901669,-,4mC,T1,3,36,100.0,100.0
NC_003888.3,905930,-,6mA,T1,3,60,54.99916666666666,55.913333333333334
NC_003888.3,908453,+,6mA,T1,3,69,52.17652173913043,51.59
NC_003888.3,910835,-,6mA,T1,3,68,60.29441176470589,58.54333333333333
NC_003888.3,911132,+,4mC,T1,3,33,81.81848484848486,80.89333333333333
NC_003888.3,912367,-,4mC,T1,3,32,90.6275,90.28000000000002
NC_003888.3,914286,+,6mA,T1,3,56,74.9994642857143,74.16333333333334
NC_003888.3,914289,+,6mA,T1,3,58,62.068275862068965,62.31
NC_003888.3,918189,-,6mA,T1,3,59,64.40779661016948,64.65666666666667
NC_003888.3,923429,-,6mA,T1,3,65,56.926153846153845,57.67333333333334
NC_003888.3,924670,+,6mA,T1,3,51,52.9435294117647,53.653333333333336
NC_003888.3,929651,-,6mA,T1,3,74,55.40797297297297,55.90333333333333
NC_003888.3,929697,-,6mA,T1,3,63,50.792698412698414,49.776666666666664
NC_003888.3,931766,-,6mA,T1,3,75,53.3336,55.419999999999995
NC_003888.3,932608,-,6mA,T1,3,63,61.904603174603174,61.403333333333336
NC_003888.3,934028,+,6mA,T1,3,62,56.450161290322576,58.52
NC_003888.3,934941,+,6mA,T1,3,62,64.51612903225806,66.33333333333333
NC_003888.3,942123,-,6mA,T1,3,53,64.15113207547171,63.50666666666667
NC_003888.3,942124,-,6mA,T1,3,67,80.59537313432837,80.25666666666666
NC_003888.3,943580,+,6mA,T1,3,50,52.00059999999999,59.52333333333333
NC_003888.3,946272,+,6mA,T1,3,59,84.74525423728814,84.37666666666667
NC_003888.3,946273,+,6mA,T1,3,52,73.07596153846154,70.48333333333333
NC_003888.3,947270,-,6mA,T1,3,55,70.90927272727272,70.39
NC_003888.3,948563,+,6mA,T1,3,48,54.16645833333333,52.27
NC_003888.3,949071,-,6mA,T1,3,58,51.721724137931034,47.53666666666667
NC_003888.3,955186,+,6mA,T1,3,61,57.377049180327866,59.5
NC_003888.3,956271,-,4mC,T1,3,39,76.92461538461538,76.54
NC_003888.3,957009,-,4mC,T1,3,60,96.6665,96.17
NC_003888.3,959397,-,6mA,T1,3,74,54.052972972972974,54.56666666666666
NC_003888.3,961344,+,4mC,T1,3,36,88.88888888888889,89.16666666666667
NC_003888.3,976908,-,4mC,T1,3,42,95.23714285714286,94.44333333333333
NC_003888.3,977528,-,6mA,T1,3,55,59.99818181818182,59.48666666666667
NC_003888.3,980601,-,6mA,T1,3,50,54.001599999999996,54.63666666666666
NC_003888.3,981319,-,6mA,T1,3,61,52.45688524590164,53.64333333333334
NC_003888.3,982073,+,4mC,T1,3,35,97.14371428571428,97.43666666666667
NC_003888.3,990837,-,4mC,T1,3,30,79.99866666666667,80.27666666666666
NC_003888.3,991133,+,6mA,T1,3,57,57.894210526315796,57.330000000000005
NC_003888.3,992016,+,4mC,T1,3,53,96.22547169811322,96.46666666666665
NC_003888.3,995973,-,4mC,T1,3,31,93.54838709677419,93.75
NC_003888.3,997791,-,4mC,T1,3,37,86.48648648648648,85.75999999999999
NC_003888.3,998576,-,6mA,T1,3,54,57.40648148148148,56.98333333333333
NC_003888.3,1001425,-,4mC,T1,3,36,75.00111111111111,77.06666666666666
NC_003888.3,1001429,-,6mA,T1,3,65,50.76815384615385,51.0
NC_003888.3,1016610,-,6mA,T1,3,50,50.0044,52.43333333333334
NC_003888.3,1016849,-,6mA,T1,3,47,59.573191489361704,57.94
NC_003888.3,1020345,-,4mC,T1,3,34,91.17588235294117,90.12333333333333
NC_003888.3,1025655,+,6mA,T1,3,79,56.96329113924051,57.06
NC_003888.3,1028664,-,6mA,T1,3,56,64.28571428571429,62.0
NC_003888.3,1029473,+,6mA,T1,3,74,70.27162162162162,69.21666666666667
NC_003888.3,1032700,+,6mA,T1,3,67,52.23865671641791,50.699999999999996
NC_003888.3,1034866,+,4mC,T1,3,44,86.36272727272727,86.57333333333332
NC_003888.3,1035686,-,4mC,T1,3,43,93.02186046511628,91.90333333333332
NC_003888.3,1040611,+,6mA,T1,3,61,54.0972131147541,53.903333333333336
NC_003888.3,1041062,+,6mA,T1,3,69,60.86913043478261,60.27
NC_003888.3,1043761,-,6mA,T1,3,80,79.998375,80.29666666666667
NC_003888.3,1044730,-,6mA,T1,3,54,55.558148148148156,54.75666666666667
NC_003888.3,1045181,+,6mA,T1,3,70,57.141714285714286,54.126666666666665
NC_003888.3,1061032,+,6mA,T1,3,62,51.611612903225804,50.18000000000001
NC_003888.3,1064554,+,4mC,T1,3,46,97.82695652173913,98.04
NC_003888.3,1064592,+,4mC,T1,3,32,87.4984375,85.27666666666666
NC_003888.3,1073789,-,6mA,T1,3,46,58.6991304347826,59.61333333333334
NC_003888.3,1078772,-,6mA,T1,3,56,58.926785714285714,57.72666666666667
NC_003888.3,1085501,-,6mA,T1,3,61,68.85344262295081,69.65666666666668
NC_003888.3,1087682,-,4mC,T1,3,35,85.71514285714285,85.77
NC_003888.3,1088362,-,6mA,T1,3,56,51.78642857142857,51.053333333333335
NC_003888.3,1088363,-,6mA,T1,3,51,72.54980392156862,73.13666666666667
NC_003888.3,1090733,-,4mC,T1,3,31,77.41870967741936,77.03666666666668
NC_003888.3,1094208,-,4mC,T1,3,41,85.36878048780487,85.71666666666668
NC_003888.3,1097919,-,4mC,T1,3,34,88.2344117647059,87.55
NC_003888.3,1104421,-,6mA,T1,3,69,59.42115942028986,60.69
NC_003888.3,1107099,+,4mC,T1,3,30,86.66499999999999,87.45
NC_003888.3,1107100,-,4mC,T1,3,34,100.0,100.0
NC_003888.3,1107137,-,4mC,T1,3,42,92.85690476190476,91.88
NC_003888.3,1107141,-,6mA,T1,3,72,52.77777777777778,52.080000000000005
NC_003888.3,1108088,-,6mA,T1,3,69,50.724347826086955,50.79333333333333
NC_003888.3,1108562,-,6mA,T1,3,59,52.54423728813559,52.59666666666667
NC_003888.3,1109050,+,4mC,T1,3,34,85.29147058823528,81.90333333333332
NC_003888.3,1115331,+,4mC,T1,3,50,80.00280000000001,79.70333333333333
NC_003888.3,1123645,-,4mC,T1,3,36,97.22222222222223,97.91666666666667
NC_003888.3,1126539,+,4mC,T1,3,33,60.60666666666667,54.28666666666667
NC_003888.3,1128572,+,4mC,T1,3,33,81.81636363636363,81.11
NC_003888.3,1128801,+,6mA,T1,3,72,56.94430555555555,59.10666666666666
NC_003888.3,1129717,+,6mA,T1,3,52,50.000384615384625,49.76666666666667
NC_003888.3,1137620,+,4mC,T1,2,32,96.8725,97.22
NC_003888.3,1144627,-,4mC,T1,3,30,76.666,77.77666666666666
NC_003888.3,1147601,-,4mC,T1,3,39,79.48846153846155,80.55666666666667
NC_003888.3,1147604,-,6mA,T1,3,59,57.627457627118645,57.21333333333333
NC_003888.3,1147605,-,6mA,T1,3,58,56.89637931034483,59.09666666666667
NC_003888.3,1147656,+,4mC,T1,3,31,64.51870967741935,69.44666666666667
NC_003888.3,1155718,+,6mA,T1,3,67,50.744029850746266,54.580000000000005
NC_003888.3,1157086,-,6mA,T1,3,59,64.40728813559322,65.91000000000001
NC_003888.3,1157284,+,4mC,T1,3,34,91.17647058823529,93.75
NC_003888.3,1157357,-,6mA,T1,3,57,59.64736842105263,61.53666666666667
NC_003888.3,1157370,-,6mA,T1,3,66,60.61000000000001,60.946666666666665
NC_003888.3,1157915,-,4mC,T1,3,55,87.27309090909091,86.73
NC_003888.3,1157919,-,6mA,T1,3,63,53.97047619047619,52.833333333333336
NC_003888.3,1162223,-,6mA,T1,3,64,53.12421875,53.669999999999995
NC_003888.3,1163113,-,6mA,T1,3,47,55.31957446808511,54.656666666666666
NC_003888.3,1168398,+,6mA,T1,3,76,50.00078947368421,50.25333333333333
NC_003888.3,1168581,-,6mA,T1,3,50,66.0016,64.75666666666666
NC_003888.3,1168620,+,4mC,T1,3,30,56.66733333333333,60.73333333333333
NC_003888.3,1172271,+,4mC,T1,3,30,86.66799999999999,85.12
NC_003888.3,1178737,+,6mA,T1,3,68,55.88117647058824,55.73
NC_003888.3,1184059,+,6mA,T1,3,76,55.26171052631578,55.77333333333333
