locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand
SC_RS07675		SCO1145	MarR family winged helix-turn-helix transcriptional regulator	MarR	1204428	1204889	+
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-
SC_RS07955		SCO1200	helix-turn-helix domain-containing protein	HTH (other)	1271991	1272566	-
SC_RS08005		SCO1210	TetR family transcriptional regulator	TetR	1281884	1282540	+
SC_RS08055		SCO1220	LytR/AlgR family response regulator transcription factor	Response regulator	1291356	1292117	-
SC_RS08060		SCO1221	Lrp/AsnC family transcriptional regulator	Lrp	1292195	1292698	+
SC_RS08165		SCO1242	helix-turn-helix domain-containing protein	HTH (other)	1313856	1314716	+
SC_RS08265		SCO1261	ROK family transcriptional regulator	ROK	1331678	1332832	+
SC_RS08270		SCO1262	GntR family transcriptional regulator	GntR	1332872	1333633	-
SC_RS08405	pdxR	SCO1289	MocR-like pyridoxine biosynthesis transcription factor PdxR	Other regulatory	1359896	1361419	+
SC_RS08435		SCO1295	Lrp/AsnC family transcriptional regulator	Lrp	1370221	1370712	+
SC_RS08620		SCO1331	LuxR C-terminal-related transcriptional regulator	Other regulatory	1406162	1408480	+
SC_RS08755		SCO1358	LysR family transcriptional regulator	LysR	1435312	1436223	-
SC_RS08795		SCO1366	PadR family transcriptional regulator	PadR	1443255	1443908	-
SC_RS08870		SCO1381	MerR family transcriptional regulator	MerR	1459887	1460573	-
SC_RS09025		SCO1410	GntR family transcriptional regulator	GntR	1504428	1505123	-
SC_RS09100		SCO1425	Lrp/AsnC family transcriptional regulator	Lrp	1521620	1522060	-
SC_RS09210		SCO1447	ROK family transcriptional regulator	ROK	1543454	1544653	-
SC_RS09265		SCO1458	Lrp/AsnC family transcriptional regulator	Lrp	1555656	1556108	-
SC_RS09290		SCO1463	sugar-binding transcriptional regulator	Other regulatory	1560350	1561393	-
SC_RS09415	pyrR	SCO1488	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	Other regulatory	1591502	1592083	-
SC_RS09420	bldD	SCO1489	transcriptional regulator BldD	Other regulatory	1592381	1592884	+
SC_RS09575		SCO1521	YebC/PmpR family DNA-binding transcriptional regulator	Other regulatory	1626033	1626785	-
SC_RS09690		SCO1541	SsgA family sporulation/cell division regulator	Other regulatory	1650377	1650790	+
SC_RS10090		SCO1616	LysR family transcriptional regulator	LysR	1728427	1729404	-
SC_RS10105		SCO1619	helix-turn-helix domain-containing protein	HTH (other)	1731316	1731885	-
SC_RS10190		SCO1636	helix-turn-helix transcriptional regulator	HTH (other)	1750078	1751160	-
SC_RS10195		SCO1637	helix-turn-helix transcriptional regulator	HTH (other)	1751179	1752132	-
SC_RS10300		SCO1658	IclR family transcriptional regulator	IclR	1776737	1777501	+
SC_RS10320	parJ	SCO1662	filament polymerization regulator ParJ	Other regulatory	1782041	1783042	+
SC_RS10405		SCO1678	FadR/GntR family transcriptional regulator	GntR	1797723	1798424	-
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	-
SC_RS10470		SCO1691	TetR/AcrR family transcriptional regulator	TetR	1810631	1811224	-
SC_RS10500	soxR	SCO1697	redox-sensitive transcriptional activator SoxR	Activator	1818351	1818878	-
SC_RS10650		SCO1728	GntR family transcriptional regulator	GntR	1848412	1848777	-
SC_RS11090		SCO1813	FadR/GntR family transcriptional regulator	GntR	1942957	1943649	+
SC_RS11225		SCO1839	helix-turn-helix domain-containing protein	HTH (other)	1967236	1967457	-
SC_RS11390		SCO1872	IclR family transcriptional regulator	IclR	2006250	2007023	+
SC_RS11480		SCO1890	GntR family transcriptional regulator	GntR	2024747	2025415	-
SC_RS11550		SCO1904	TetR/AcrR family transcriptional regulator	TetR	2038269	2038841	-
SC_RS11615	dapD	SCO1916	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	TetR	2050524	2051513	-
SC_RS11665		SCO1926	helix-turn-helix transcriptional regulator	HTH (other)	2058374	2059132	-
SC_RS11780	whiA	SCO1950	DNA-binding protein WhiA	Other regulatory	2084575	2085567	-
SC_RS11810		SCO1956	LacI family DNA-binding transcriptional regulator	LacI	2091825	2092931	+
SC_RS11925		SCO1979	helix-turn-helix domain-containing protein	HTH (other)	2117906	2118766	-
SC_RS12005		SCO1995	tetratricopeptide repeat protein	TetR	2130961	2131341	-
SC_RS12095		SCO2013	ANTAR domain-containing response regulator	Response regulator	2155123	2155779	-
SC_RS12415		SCO2075	TraR/DksA family transcriptional regulator	Other regulatory	2225964	2226683	-
SC_RS12540		SCO2100	TetR/AcrR family transcriptional regulator	TetR	2257287	2257916	+
SC_RS12550		SCO2102	SCO2102 family sporulation regulator	Other regulatory	2259944	2260936	-
SC_RS12555	metF	SCO2103	methylenetetrahydrofolate reductase [NAD(P)H]	TetR	2260993	2261916	-
SC_RS12565		SCO2105	Rv2175c family DNA-binding protein	Other regulatory	2262881	2263246	-
SC_RS12650	macS	SCO2121	MacS family sensor histidine kinase	Sensor kinase	2281433	2282674	-
SC_RS12675		SCO2126	ROK family glucokinase	ROK	2285983	2286936	-
SC_RS12745		SCO2140	Lrp/AsnC family transcriptional regulator	Lrp	2301552	2301833	+
SC_RS12805		SCO2152	response regulator	Response regulator	2314453	2314854	+
SC_RS12950		SCO2182	GntR family transcriptional regulator	GntR	2347778	2348401	+
SC_RS13040		SCO2201	winged helix-turn-helix transcriptional regulator	HTH (other)	2367728	2368099	+
SC_RS13080		SCO2209	MarR family transcriptional regulator	MarR	2373706	2374182	+
SC_RS13110		SCO2216	response regulator transcription factor	Response regulator	2379677	2380330	+
SC_RS13125		SCO2219	tetratricopeptide repeat protein	TetR	2382653	2383162	+
SC_RS13190		SCO2232	LacI family DNA-binding transcriptional regulator	LacI	2400651	2401685	+
SC_RS13245		SCO2243	TetR/AcrR family transcriptional regulator	TetR	2412355	2412933	+
SC_RS13290		SCO2253	helix-turn-helix domain-containing protein	HTH (other)	2419629	2420483	-
SC_RS13505		SCO2295	MerR family transcriptional regulator	MerR	2465169	2465930	+
SC_RS13625		SCO2319	TetR family transcriptional regulator	TetR	2490268	2490921	+
SC_RS13905		SCO2374	TetR family transcriptional regulator	TetR	2544733	2545416	+
SC_RS14165		SCO2426	helix-turn-helix domain-containing protein	HTH (other)	2600318	2601529	+
SC_RS14235		SCO2440	IclR family transcriptional regulator	IclR	2618647	2619420	-
SC_RS14455		SCO2481	winged helix-turn-helix transcriptional regulator	HTH (other)	2671552	2671941	-
SC_RS14495		SCO2489	TetR/AcrR family transcriptional regulator	TetR	2680340	2680924	+
SC_RS14555		SCO2501	helix-turn-helix transcriptional regulator	HTH (other)	2698679	2699575	-
SC_RS14615		SCO2513	helix-turn-helix domain-containing protein	HTH (other)	2709485	2710318	+
SC_RS14825	hrcA	SCO2555	heat-inducible transcriptional repressor HrcA	Repressor	2755007	2756023	-
SC_RS15140	folC	SCO2614	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	2837148	2838671	-
SC_RS15295		SCO2644	LysR family transcriptional regulator	LysR	2876450	2877352	-
SC_RS15310		SCO2647	MarR family winged helix-turn-helix transcriptional regulator	MarR	2879447	2879965	+
SC_RS15335		SCO2652	Rrf2 family transcriptional regulator	Other regulatory	2884084	2884518	+
SC_RS15360		SCO2657	ROK family transcriptional regulator	ROK	2888309	2889526	+
SC_RS15495		SCO2683	single-stranded DNA-binding protein	Other regulatory	2924515	2924985	-
SC_RS15515		SCO2686	helix-turn-helix domain-containing protein	HTH (other)	2929823	2930719	-
SC_RS15755		SCO2734	LysR family transcriptional regulator	LysR	2980555	2981592	+
SC_RS15850		SCO2753	LacI family DNA-binding transcriptional regulator	LacI	2999879	3000925	+
SC_RS16045		SCO2792	helix-turn-helix domain-containing protein	HTH (other)	3047135	3048331	+
SC_RS16060		SCO2794	LacI family DNA-binding transcriptional regulator	LacI	3049837	3050892	-
SC_RS16095		SCO2801	response regulator transcription factor	Response regulator	3059223	3059927	-
SC_RS16145		SCO2811	ArsR/SmtB family transcription factor	ArsR	3070230	3070556	-
SC_RS16165		SCO2815	TetR/AcrR family transcriptional regulator	TetR	3073685	3074278	+
SC_RS16305		SCO2840	LysR family transcriptional regulator	LysR	3101313	3102206	+
SC_RS16420		SCO2865	helix-turn-helix domain-containing protein	HTH (other)	3122091	3122933	+
SC_RS16445		SCO2869	helix-turn-helix domain-containing protein	HTH (other)	3124417	3125262	+
SC_RS16720		SCO2924	SsgA family sporulation/cell division regulator	Other regulatory	3175140	3175568	+
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-
SC_RS16870	rsuA	SCO2953	anti-sigma U factor RsuA	Anti-sigma	3211306	3212094	-
SC_RS16875		SCO2954	sigma-70 family RNA polymerase sigma factor	Sigma factor	3212154	3212678	-
SC_RS17040		SCO2987	MarR family winged helix-turn-helix transcriptional regulator	MarR	3257116	3257622	+
SC_RS17140		SCO3008	response regulator	Response regulator	3281872	3282630	-
SC_RS17160	mtrB	SCO3012	two-component system sensor histidine kinase MtrB	Sensor kinase	3286822	3288888	-
SC_RS17165	mtrA	SCO3013	two-component system response regulator MtrA	Response regulator	3288890	3289579	-
SC_RS17285		SCO3034	WhiB family transcriptional regulator	WhiB	3320753	3321016	-
SC_RS17430		SCO3063	response regulator transcription factor	Response regulator	3355990	3356667	-
SC_RS17455		SCO3068	RNA polymerase sigma factor SigF	Sigma factor	3360694	3361608	+
SC_RS17490		SCO3075	MurR/RpiR family transcriptional regulator	Other regulatory	3368495	3369364	-
SC_RS17725		SCO3119	sensor histidine kinase	Sensor kinase	3420021	3421340	-
SC_RS17790	tamR	SCO3133	MarR family transcriptional regulator TamR	MarR	3434529	3435026	+
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-
SC_RS17900		SCO3158	SsgA family sporulation/cell division regulator	Other regulatory	3460797	3461177	-
SC_RS17945		SCO3167	TetR/AcrR family transcriptional regulator	TetR	3469606	3470205	-
SC_RS17975		SCO3173	MerR family transcriptional regulator	MerR	3477824	3478471	+
SC_RS18030		SCO3183	5-formyltetrahydrofolate cyclo-ligase	TetR	3487555	3488169	+
SC_RS18105		SCO3198	DeoR/GlpR family DNA-binding transcription regulator	DeoR	3505418	3506179	-
SC_RS18120		SCO3201	TetR/AcrR family transcriptional regulator	TetR	3509244	3509954	-
SC_RS18125		SCO3202	sigma-70 family RNA polymerase sigma factor	Sigma factor	3510381	3511379	-
SC_RS18140		SCO3205	MarR family winged helix-turn-helix transcriptional regulator	MarR	3513024	3513515	+
SC_RS18150		SCO3207	TetR/AcrR family transcriptional regulator	TetR	3515302	3515955	-
SC_RS18200		SCO3217	AfsR/SARP family transcriptional regulator	SARP	3529272	3531188	+
SC_RS18245	absA2	SCO3226	two component system response regulator	Response regulator	3538679	3539347	+
SC_RS18415		SCO3259	GntR family transcriptional regulator	GntR	3608916	3609695	-
SC_RS18455		SCO3269	GntR family transcriptional regulator	GntR	3615480	3616235	+
SC_RS18490		SCO3275	MerR family transcriptional regulator	MerR	3619017	3619451	-
SC_RS18650		SCO3308	helix-turn-helix domain-containing protein	HTH (other)	3659641	3661035	-
SC_RS18705		SCO3320	redox-sensing transcriptional repressor Rex	Repressor	3672415	3673191	-
SC_RS18720		SCO3323	ECF subfamily RNA polymerase sigma factor, BldN family	Sigma factor	3675181	3675975	+
SC_RS18745		SCO3328	helix-turn-helix domain-containing protein	HTH (other)	3680056	3680268	-
SC_RS18895		SCO3356	SigE family RNA polymerase sigma factor	Sigma factor	3715604	3716137	+
SC_RS18920		SCO3361	Lrp/AsnC family transcriptional regulator	Lrp	3720125	3720577	-
SC_RS18945		SCO3365	helix-turn-helix domain-containing protein	HTH (other)	3722414	3723256	-
SC_RS18960		SCO3367	TetR/AcrR family transcriptional regulator	TetR	3725586	3726185	+
SC_RS19010		SCO3377	BlaI/MecI/CopY family transcriptional regulator	Other regulatory	3741230	3741628	-
SC_RS19075		SCO3390	sensor histidine kinase	Sensor kinase	3753279	3754484	-
SC_RS19195		SCO3414	MarR family winged helix-turn-helix transcriptional regulator	MarR	3779785	3780231	-
SC_RS19220		SCO3419	PadR family transcriptional regulator	PadR	3784717	3785358	-
SC_RS19230		SCO3421	helix-turn-helix domain-containing protein	HTH (other)	3786977	3787801	-
SC_RS19300		SCO3435	LysR family transcriptional regulator	LysR	3796515	3797402	+
SC_RS19360		SCO3447	Crp/Fnr family transcriptional regulator	CRP/FNR	3809247	3809876	-
SC_RS19375		SCO3450	RNA polymerase sigma factor	Sigma factor	3810669	3811226	-
SC_RS19550		SCO3485	LacI family DNA-binding transcriptional regulator	LacI	3849177	3850163	-
SC_RS19650		SCO3506	LacI family DNA-binding transcriptional regulator	LacI	3873639	3874676	+
SC_RS19880	bldG	SCO3549	anti-sigma factor antagonist BldG	Sigma factor	3924251	3924592	-
SC_RS19990		SCO3571	Crp/Fnr family transcriptional regulator	CRP/FNR	3950326	3951000	+
SC_RS20030	wblA	SCO3579	transcriptional regulator WblA	WhiB	3957444	3957782	-
SC_RS20085	vanR-Sc	SCO3590	VanSc-type vancomycin resistance response regulator transcription factor VanR	Response regulator	3967922	3968617	-
SC_RS20140		SCO3601	cation:proton antiporter regulatory subunit	Other regulatory	3977529	3978014	+
SC_RS20165		SCO3606	PucR family transcriptional regulator	Other regulatory	3982525	3983607	+
SC_RS20405		SCO3653	response regulator transcription factor	Response regulator	4031299	4032045	-
SC_RS20455		SCO3664	helix-turn-helix domain-containing protein	HTH (other)	4043964	4045001	+
SC_RS20465		SCO3666	helix-turn-helix transcriptional regulator	HTH (other)	4045944	4046981	-
SC_RS20630		SCO3699	ArsR/SmtB family transcription factor	ArsR	4078689	4078997	-
SC_RS20680		SCO3709	SigE family RNA polymerase sigma factor	Sigma factor	4085317	4085871	-
SC_RS20810		SCO3736	RNA polymerase sigma factor	Sigma factor	4108736	4109227	-
SC_RS21030		SCO3782	helix-turn-helix domain-containing protein	HTH (other)	4158580	4159929	-
SC_RS21175		SCO3810	GntR family transcriptional regulator	GntR	4189065	4189715	-
SC_RS21185		SCO3812	GntR family transcriptional regulator	GntR	4190999	4191346	+
SC_RS21215		SCO3818	response regulator	Response regulator	4197520	4198176	+
SC_RS21235		SCO3822	bacterial proteasome activator family protein	Activator	4202553	4203092	-
SC_RS21290		SCO3832	Lrp/AsnC family transcriptional regulator	Lrp	4214629	4215141	+
SC_RS21295		SCO3833	TetR/AcrR family transcriptional regulator	TetR	4215177	4215806	-
SC_RS21350	fhaA	SCO3843	antibiotic biosynthesis regulator FhaA	Other regulatory	4227374	4228246	+
SC_RS21460		SCO3864	GntR family transcriptional regulator	GntR	4248804	4249592	+
SC_RS21600		SCO3891	anti-sigma factor family protein	Sigma factor	4281711	4282559	-
SC_RS21605	sigM	SCO3892	RNA polymerase sigma factor SigM	Sigma factor	4282577	4283287	-
SC_RS21645		SCO3900	PadR family transcriptional regulator	PadR	4294873	4295550	-
SC_RS21715		SCO3914	MarR family winged helix-turn-helix transcriptional regulator	MarR	4310386	4310850	-
SC_RS21740		SCO3919	LysR family transcriptional regulator	LysR	4314389	4315294	-
SC_RS21775		SCO3926	SsgA family sporulation/cell division regulator	Other regulatory	4319474	4319911	+
SC_RS22050		SCO3981	GntR family transcriptional regulator	GntR	4383616	4384371	-
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+
SC_RS22155		SCO4009	hybrid sensor histidine kinase/response regulator	Sensor kinase	4402297	4406688	-
SC_RS22190		SCO4014	winged helix-turn-helix transcriptional regulator	HTH (other)	4410577	4410936	-
SC_RS22220		SCO4020	response regulator transcription factor	Response regulator	4415204	4415944	+
SC_RS22280		SCO4032	MarR family winged helix-turn-helix transcriptional regulator	MarR	4429662	4430162	-
SC_RS22290		SCO4034	RNA polymerase sigma factor SigF	Sigma factor	4430684	4431640	-
SC_RS22590	bldC	SCO4091	developmental transcriptional regulator BldC	Other regulatory	4485363	4485569	+
SC_RS22660		SCO4099	TetR/AcrR family transcriptional regulator	TetR	4499009	4499689	+
SC_RS22755		SCO4117	sigma-70 family RNA polymerase sigma factor	Sigma factor	4521256	4523319	-
SC_RS22760		SCO4118	TetR/AcrR family transcriptional regulator	TetR	4523502	4524395	-
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+
SC_RS22870		SCO4136	metal-sensitive transcriptional regulator	Other regulatory	4551282	4551683	-
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-
SC_RS22985	glnR	SCO4159	two-component system response regulator GlnR	Response regulator	4576177	4576980	-
SC_RS23070		SCO4176	helix-turn-helix domain-containing protein	HTH (other)	4588684	4589526	+
SC_RS23085		SCO4180	Fur family transcriptional regulator	Other regulatory	4590561	4590998	+
SC_RS23125		SCO4188	FadR/GntR family transcriptional regulator	GntR	4597379	4598290	+
SC_RS23135		SCO4190	winged helix-turn-helix domain-containing protein	HTH (other)	4598629	4599504	+
SC_RS23155		SCO4194	TetR family transcriptional regulator	TetR	4602509	4603132	+
SC_RS23175		SCO4198	helix-turn-helix domain-containing protein	HTH (other)	4607362	4607787	+
SC_RS23215		SCO4206	AraC family transcriptional regulator	AraC	4615154	4615969	-
SC_RS23260		SCO4215	GntR family transcriptional regulator	GntR	4623766	4624524	+
SC_RS23330		SCO4229	sensor histidine kinase	Sensor kinase	4633199	4634479	+
SC_RS23345		SCO4232	CarD family transcriptional regulator	Other regulatory	4636744	4637226	+
SC_RS23495		SCO4261	helix-turn-helix transcriptional regulator	HTH (other)	4674563	4675222	-
SC_RS23700		SCO4303	TetR/AcrR family transcriptional regulator	TetR	4717614	4718222	-
SC_RS23750		SCO4313	TetR/AcrR family transcriptional regulator	TetR	4724955	4725605	+
SC_RS23810		SCO4326	1,4-dihydroxy-6-naphthoate synthase	HTH (other)	4737844	4738692	-
SC_RS23860		SCO4336	MarR family winged helix-turn-helix transcriptional regulator	MarR	4750828	4751265	+
SC_RS24140		SCO4394	metal-dependent transcriptional regulator	Other regulatory	4810836	4811528	+
SC_RS24185	purU	SCO4403	formyltetrahydrofolate deformylase	TetR	4821748	4822641	+
SC_RS24205		SCO4407	GbsR/MarR family transcriptional regulator	MarR	4825352	4826125	+
SC_RS24215		SCO4409	sigma-70 family RNA polymerase sigma factor	Sigma factor	4827365	4827958	-
SC_RS24270		SCO4421	TetR family transcriptional regulator	TetR	4837557	4838192	-
SC_RS24295	afsR	SCO4426	transcriptional regulator AfsR	Other regulatory	4842787	4845768	-
SC_RS24335		SCO4434	LysR family transcriptional regulator	LysR	4853069	4853965	+
SC_RS24415		SCO4450	TetR/AcrR family transcriptional regulator	TetR	4872011	4872658	+
SC_RS24435		SCO4454	TetR/AcrR family transcriptional regulator	TetR	4876023	4876625	-
SC_RS24490		SCO4465	PadR family transcriptional regulator	PadR	4884950	4885462	+
SC_RS24560		SCO4480	TetR/AcrR family transcriptional regulator	TetR	4899301	4899900	-
SC_RS24570		SCO4482	LysR family transcriptional regulator	LysR	4901972	4902850	-
SC_RS24660		SCO4499	TetR/AcrR family transcriptional regulator	TetR	4917934	4918656	+
SC_RS24870	whiJ	SCO4543	transcriptional regulator WhiJ	Other regulatory	4959584	4960435	-
SC_RS24895		SCO4548	bacterial transcriptional activator domain-containing protein	Activator	4964061	4967069	+
SC_RS25095		SCO4588	tetratricopeptide repeat protein	TetR	5010296	5011708	+
SC_RS25135		SCO4596	response regulator transcription factor	Response regulator	5019699	5020358	-
SC_RS25300		SCO4628	GntR family transcriptional regulator	GntR	5049893	5050702	+
SC_RS25320	fxsT	SCO4632	FxSxx-COOH system tetratricopeptide repeat protein	TetR	5055828	5058728	+
SC_RS25375		SCO4640	TetR/AcrR family transcriptional regulator	TetR	5064405	5064998	+
SC_RS25565		SCO4678	helix-turn-helix domain-containing protein	HTH (other)	5108924	5109772	+
SC_RS25615		SCO4688	MerR family transcriptional regulator	MerR	5116372	5116728	-
SC_RS25945		SCO4757	RNA polymerase sigma factor	Sigma factor	5168216	5169475	+
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	+
SC_RS25995		SCO4767	WhiB family transcriptional regulator	WhiB	5179007	5179345	-
SC_RS26000		SCO4768	response regulator transcription factor	Response regulator	5179727	5180338	+
SC_RS26005		SCO4769	sigma-70 family RNA polymerase sigma factor	Sigma factor	5180620	5181207	+
SC_RS26275		SCO4822	single stranded DNA-binding domain-containing protein	Other regulatory	5253098	5253685	-
SC_RS26280		SCO4824	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	TetR	5253981	5254835	+
SC_RS26290		SCO4826	XRE family transcriptional regulator	XRE	5255754	5257154	+
SC_RS26410		SCO4850	TetR/AcrR family transcriptional regulator	TetR	5281448	5282203	-
SC_RS26480		SCO4864	RNA polymerase sigma factor	Sigma factor	5292481	5293098	+
SC_RS26490		SCO4866	RNA polymerase sigma factor	Sigma factor	5294399	5295061	+
SC_RS26515		SCO4871	TetR/AcrR family transcriptional regulator	TetR	5300705	5301355	+
SC_RS26635		SCO4895	sigma-70 family RNA polymerase sigma factor	Sigma factor	5328418	5329422	-
SC_RS26645		SCO4897	LysR family transcriptional regulator	LysR	5330904	5331857	+
SC_RS26695	afsQ1	SCO4907	two-component system response regulator AfsQ1	Response regulator	5339525	5340202	-
SC_RS26700		SCO4908	SigE family RNA polymerase sigma factor	Sigma factor	5340411	5341142	+
SC_RS26760		SCO4920	DeoR/GlpR family DNA-binding transcription regulator	DeoR	5354193	5355182	+
SC_RS26885		SCO4944	helix-turn-helix domain-containing protein	HTH (other)	5377855	5378730	-
SC_RS26925		SCO4952	TetR/AcrR family transcriptional regulator	TetR	5389080	5389676	+
SC_RS26970		SCO4961	MarR family winged helix-turn-helix transcriptional regulator	MarR	5396005	5396511	-
SC_RS26990	greA	SCO4965	transcription elongation factor GreA	Other regulatory	5400027	5400524	-
SC_RS27290		SCO5025	MerR family transcriptional regulator	MerR	5458994	5459911	+
SC_RS27330		SCO5033	LysR substrate-binding domain-containing protein	LysR	5468567	5469505	+
SC_RS27345		SCO5036	PadR family transcriptional regulator	PadR	5472658	5473182	-
SC_RS27395		SCO5046	WhiB family transcriptional regulator	WhiB	5486443	5486820	+
SC_RS27500		SCO5068	TetR/AcrR family transcriptional regulator	TetR	5510516	5511115	-
SC_RS27570	actII	SCO5082	TetR family transcriptional regulator ActII	TetR	5523183	5523962	-
SC_RS27585		SCO5085	AfsR/SARP family transcriptional regulator	SARP	5528094	5528861	+
SC_RS27660		SCO5100	GntR family transcriptional regulator	GntR	5541010	5541762	+
SC_RS27900	sigE	SCO5147	RNA polymerase sigma factor SigE	Sigma factor	5593690	5594361	+
SC_RS28115		SCO5190	WhiB family transcriptional regulator	WhiB	5647747	5648115	+
SC_RS28200		SCO5205	tetratricopeptide repeat protein	TetR	5664867	5666699	+
SC_RS28210		SCO5206	Fur family transcriptional regulator	Other regulatory	5666944	5667360	-
SC_RS28260	sigR	SCO5216	RNA polymerase sigma factor SigR	Sigma factor	5675219	5675902	+
