locus_tag	gene_name	old_locus_tag	product	tf_family	tf_domains	n_tf_domains	start	end	strand
SC_RS34320			helix-turn-helix transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	7094757	7095527	+
SC_RS34305			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	7091758	7092432	+
SC_RS34245			helix-turn-helix domain-containing protein	HTH (other)	HTH_26;HTH_3;HTH_31	3	7077312	7077563	+
SC_RS33960			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	7011086	7012171	+
SC_RS33805			ScbR family autoregulator-binding transcription factor	TetR	TetR_N	1	6972028	6972675	-
SC_RS33575			ScbR family autoregulator-binding transcription factor	TetR	TetR_N	1	6890528	6891175	-
SC_RS33480			allantoin degradation transcriptional regulator AllR	HTH (other)	HTH_IclR	1	6868657	6869469	-
SC_RS33415			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3	3	6857160	6858188	+
SC_RS33290			helix-turn-helix domain-containing protein	HTH (other)	HTH_22	1	6822714	6823082	+
SC_RS32970			TetR-like C-terminal domain-containing protein	TetR	TetR_N	1	6744201	6744770	-
SC_RS32950			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	6741629	6742288	+
SC_RS32380			response regulator transcription factor	LuxR	GerE;Response_reg	2	6618177	6618839	-
SC_RS32285			ABC transporter substrate-binding protein	Other regulatory	Peripla_BP_4	1	6589587	6590690	+
SC_RS32280			ROK family transcriptional regulator	MarR	HTH_24;MarR_2	2	6588242	6589453	+
SC_RS32255			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	6579213	6580073	-
SC_RS32230			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31;HTH_37	3	6573186	6574715	-
SC_RS32025			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	6527068	6527715	+
SC_RS31920			RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	6504108	6504752	+
SC_RS31825			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	6484965	6485303	+
SC_RS31650			response regulator transcription factor	Sigma factor	GerE;Sigma70_r4_2	2	6438206	6438859	-
SC_RS31605			response regulator	Response regulator	Response_reg;Trans_reg_C	2	6428862	6429545	+
SC_RS31480			GntR family transcriptional regulator	GntR	GntR	1	6402578	6403366	+
SC_RS31400			citrate synthase	HTH (other)	HTH_17	1	6381412	6382677	-
SC_RS31340			RNA polymerase sigma factor	Sigma factor	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	4	6367665	6369200	+
SC_RS31295			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	6355747	6356367	+
SC_RS31130			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	6315651	6316337	+
SC_RS31005			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	6293066	6293446	+
SC_RS30985			helix-turn-helix domain-containing protein	HTH (other)	HTH_25	1	6289190	6290053	+
SC_RS30675			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3	3	6200514	6201527	-
SC_RS30495			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	6155449	6155964	-
SC_RS30335			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	6122014	6122571	+
SC_RS30330			RNA polymerase sigma factor WhiG	Sigma factor	Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	4	6121043	6121885	+
SC_RS30020			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg	1	6059732	6059965	-
SC_RS29960			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	6049735	6050379	-
SC_RS29845			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	6027789	6028388	+
SC_RS29825			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_C_6;TetR_N	3	6022748	6023350	+
SC_RS29775			PucR family transcriptional regulator	HTH (other)	HTH_30	1	6010717	6011964	-
SC_RS29770			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	6010146	6010736	+
SC_RS29670			cupin domain-containing protein	AraC	AraC_binding	1	5984177	5984671	+
SC_RS29600			TetR family transcriptional regulator	TetR	TetR_N	1	5970588	5971214	-
SC_RS29370			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	5911410	5911808	+
SC_RS29315			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	5898979	5899692	-
SC_RS29245			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	5882733	5883242	+
SC_RS29205			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	5877408	5877884	-
SC_RS29195			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	5875298	5875966	+
SC_RS29100			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5852346	5852987	+
SC_RS29065			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	5847229	5847870	-
SC_RS28795			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	5794528	5795022	-
SC_RS28775			cupin domain-containing protein	AraC	AraC_binding	1	5789484	5789957	-
SC_RS28620			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_20;HTH_27;HTH_IclR;MarR;MarR_2	5	5760383	5760877	+
SC_RS28600			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	5755073	5755807	-
SC_RS28505			PadR family transcriptional regulator	PadR	PadR	1	5723633	5724715	-
SC_RS28495			helix-turn-helix domain-containing protein	HTH (other)	HTH_23	1	5722789	5722998	+
SC_RS28335			GntR family transcriptional regulator	GntR	GntR	1	5691072	5691836	-
SC_RS28260			RNA polymerase sigma factor SigR	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	5675219	5675902	+
SC_RS28015			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5617213	5617854	-
SC_RS27900			RNA polymerase sigma factor SigE	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	5593690	5594361	+
SC_RS27785			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	5572261	5573124	-
SC_RS27660			GntR family transcriptional regulator	GntR	GntR	1	5541010	5541762	+
SC_RS27585			AfsR/SARP family transcriptional regulator	SARP	BTAD;Trans_reg_C	2	5528094	5528861	+
SC_RS27345			PadR family transcriptional regulator	PadR	PadR	1	5472658	5473182	-
SC_RS27330			LysR substrate-binding domain-containing protein	LysR	HTH_1;LysR_substrate	2	5468567	5469505	+
SC_RS27290			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	5458994	5459911	+
SC_RS27150			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	5436371	5437222	-
SC_RS27140			SigE family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	5435560	5436069	-
SC_RS27105			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	5428166	5428930	+
SC_RS26965			sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	Sigma70_r4	1	5395316	5395822	-
SC_RS26925			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5389080	5389676	+
SC_RS26865			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_C_13;TetR_N	3	5374860	5375462	+
SC_RS26695			two-component system response regulator AfsQ1	Response regulator	Response_reg;Trans_reg_C	2	5339525	5340202	-
SC_RS26650			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5331991	5332572	-
SC_RS26635			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	5328418	5329422	-
SC_RS26620			winged helix-turn-helix domain-containing protein	MarR	HTH_20;HTH_24;HTH_5;MarR_2	4	5326010	5327032	+
SC_RS26515			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5300705	5301355	+
SC_RS26490			RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4_2	3	5294399	5295061	+
SC_RS26005			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	5180620	5181207	+
SC_RS25615			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	5116372	5116728	-
SC_RS25375			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5064405	5064998	+
SC_RS25370			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	5063734	5064339	+
SC_RS24435			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4876023	4876625	-
SC_RS24270			TetR family transcriptional regulator	TetR	TetR_N	1	4837557	4838192	-
SC_RS24235			GlxA family transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	4830650	4831684	-
SC_RS24215			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	4827365	4827958	-
SC_RS24205			GbsR/MarR family transcriptional regulator	MarR	HTH_23;HTH_38;MarR;MarR_2	4	4825352	4826125	+
SC_RS24140			metal-dependent transcriptional regulator	MarR	Fe_dep_repr_C;MarR_2	2	4810836	4811528	+
SC_RS24045			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	4789565	4790059	+
SC_RS23860			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	4750828	4751265	+
SC_RS23750			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4724955	4725605	+
SC_RS23700			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_N	2	4717614	4718222	-
SC_RS23335			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	4634476	4635156	+
SC_RS23170			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR_2	1	4606581	4607048	+
SC_RS23135			winged helix-turn-helix domain-containing protein	GntR	GntR;HTH_24;HTH_41	3	4598629	4599504	+
SC_RS23070			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	4588684	4589526	+
SC_RS22980			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	4575112	4576134	-
SC_RS22780			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	4529468	4530016	+
SC_RS22420			ArsR/SmtB family transcription factor	MarR	HTH_11;HTH_20;HTH_5;MarR_2	4	4451075	4451410	+
SC_RS22290			RNA polymerase sigma factor SigF	Sigma factor	Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	4	4430684	4431640	-
SC_RS22035			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4382030	4382620	+
SC_RS21855			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_3	2	4338034	4339146	-
SC_RS21715			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	4310386	4310850	-
SC_RS21645			PadR family transcriptional regulator	PadR	PadR	1	4294873	4295550	-
SC_RS21295			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4215177	4215806	-
SC_RS21290			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	4214629	4215141	+
SC_RS21185			GntR family transcriptional regulator	GntR	GntR	1	4190999	4191346	+
SC_RS21175			GntR family transcriptional regulator	GntR	FCD;GntR;HTH_24	3	4189065	4189715	-
SC_RS21030			helix-turn-helix domain-containing protein	HTH (other)	HTH_19;HTH_3	2	4158580	4159929	-
SC_RS20905			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4128978	4129652	-
SC_RS20810			RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	4108736	4109227	-
SC_RS20740			ArsR/SmtB family transcription factor	HTH (other)	HTH_20;HTH_5	2	4096845	4097198	-
SC_RS20680			SigE family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	4085317	4085871	-
SC_RS20650			TOBE domain-containing protein	MerR	HTH_17;MerR	2	4080650	4081045	+
SC_RS20630			ArsR/SmtB family transcription factor	HTH (other)	HTH_20;HTH_5	2	4078689	4078997	-
SC_RS20615			ArsR/SmtB family transcription factor	HTH (other)	HTH_20;HTH_5	2	4075938	4076306	+
SC_RS20605			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	4074756	4075130	-
SC_RS20475			heat shock protein transcriptional repressor HspR	MerR	MerR;MerR_1	2	4048460	4048915	-
SC_RS20470			sugar ABC transporter substrate-binding protein	Other regulatory	Peripla_BP_4	1	4047138	4048256	-
SC_RS20445			ATP-dependent chaperone ClpB	Sigma factor	Sigma54_activat	1	4040450	4043047	-
SC_RS20340			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4017820	4018506	-
SC_RS20330			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4015726	4016391	-
SC_RS20250			GntR family transcriptional regulator	GntR	FCD;GntR	2	4003147	4003848	+
SC_RS20215			LysR substrate-binding domain-containing protein	LysR	LysR_substrate	1	3995973	3996191	+
SC_RS20200			SigE family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	3992273	3992845	-
SC_RS20165			PucR family transcriptional regulator	HTH (other)	HTH_30	1	3982525	3983607	+
SC_RS20135			helix-turn-helix domain-containing protein	HTH (other)	HTH_20	1	3976873	3977412	+
SC_RS19990			Crp/Fnr family transcriptional regulator	HTH (other)	HTH_Crp_2	1	3950326	3951000	+
SC_RS19230			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	3786977	3787801	-
SC_RS19195			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	3779785	3780231	-
SC_RS19190			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	3778914	3779675	-
SC_RS19070			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	4	3752539	3753213	-
SC_RS18990			ATP-dependent Clp protease ATP-binding subunit	Sigma factor	Sigma54_activat	1	3736431	3738956	-
SC_RS18920			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_20;HTH_24	3	3720125	3720577	-
SC_RS18905			two-component system response regulator CseB	Response regulator	Response_reg;Trans_reg_C	2	3716926	3717630	+
SC_RS18895			SigE family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	3715604	3716137	+
SC_RS18850			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	3704768	3705382	-
SC_RS18795			GlxA family transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	3692339	3693343	-
SC_RS18720			ECF subfamily RNA polymerase sigma factor, BldN family	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	3675181	3675975	+
SC_RS18680			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	3666265	3666957	+
SC_RS18565			macro domain-containing protein	SARP	BTAD	1	3640178	3641611	+
SC_RS18125			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	4	3510381	3511379	-
SC_RS18105			DeoR/GlpR family DNA-binding transcription regulator	DeoR	DeoRC;HTH_DeoR	2	3505418	3506179	-
SC_RS17975			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	3477824	3478471	+
SC_RS17945			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	3469606	3470205	-
SC_RS17790			MarR family transcriptional regulator TamR	MarR	HTH_27;MarR;MarR_2	3	3434529	3435026	+
SC_RS17770			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	3431181	3431858	+
SC_RS17455			RNA polymerase sigma factor SigF	Sigma factor	HTH_23;Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	5	3360694	3361608	+
SC_RS17430			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	3355990	3356667	-
SC_RS17165			two-component system response regulator MtrA	Response regulator	Response_reg;Trans_reg_C	2	3288890	3289579	-
SC_RS17140			response regulator	LuxR	GerE;HTH_23;Response_reg	3	3281872	3282630	-
SC_RS16775			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	3186380	3187042	-
SC_RS16505			DUF742 domain-containing protein	HTH (other)	HTH_IclR	1	3136695	3137048	+
SC_RS16395			PadR family transcriptional regulator	PadR	PadR	1	3115957	3116334	-
SC_RS16145			ArsR/SmtB family transcription factor	HTH (other)	HTH_20	1	3070230	3070556	-
SC_RS16060			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	3049837	3050892	-
SC_RS15850			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	2999879	3000925	+
SC_RS15820			ABC transporter permease/substrate-binding protein	Other regulatory	Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	3	2992991	2994946	+
SC_RS15810			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	2990408	2991451	+
SC_RS15270			RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r4;Sigma70_r4_2	3	2870032	2870568	-
SC_RS14735			helix-turn-helix transcriptional regulator	HTH (other)	HTH_31	1	2735252	2736145	+
SC_RS14635			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	2712740	2713435	-
SC_RS14555			helix-turn-helix transcriptional regulator	HTH (other)	HTH_31	1	2698679	2699575	-
SC_RS14495			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_N	2	2680340	2680924	+
SC_RS14425			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	2666940	2667869	+
SC_RS14375			RNA polymerase sigma factor	Sigma factor	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	4	2653137	2654327	-
SC_RS14245			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	2620174	2620881	-
SC_RS14235			IclR family transcriptional regulator	MarR	HTH_IclR;MarR_2	2	2618647	2619420	-
SC_RS14165			helix-turn-helix domain-containing protein	HTH (other)	HTH_30	1	2600318	2601529	+
SC_RS14055			multiple monosaccharide ABC transporter substrate-binding protein	Other regulatory	Peripla_BP_1;Peripla_BP_4	2	2575786	2576895	+
SC_RS13425			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	2449644	2450291	-
SC_RS13190			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	2400651	2401685	+
SC_RS13145			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	2387313	2388005	+
SC_RS12960			helix-turn-helix transcriptional regulator	HTH (other)	HTH_11	1	2351510	2352493	+
SC_RS12950			GntR family transcriptional regulator	GntR	FCD;GntR	2	2347778	2348401	+
SC_RS12865			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	4	2329632	2330315	-
SC_RS12760			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	2303726	2304391	+
SC_RS12745			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg	1	2301552	2301833	+
SC_RS12645			response regulator	Sigma factor	GerE;HTH_23;Response_reg;Sigma70_r4_2	4	2280718	2281440	-
SC_RS12565			Rv2175c family DNA-binding protein	HTH (other)	HTH_17	1	2262881	2263246	-
SC_RS12270			ArsR/SmtB family transcription factor	HTH (other)	HTH_20;HTH_5	2	2196122	2196709	-
SC_RS12095			ANTAR domain-containing response regulator	Response regulator	Response_reg	1	2155123	2155779	-
SC_RS11925			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	2117906	2118766	-
SC_RS11665			helix-turn-helix transcriptional regulator	MarR	HTH_24;HTH_5;MarR_2	3	2058374	2059132	-
SC_RS11620			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	2051523	2052116	-
SC_RS11515			DeoR/GlpR family DNA-binding transcription regulator	DeoR	DeoRC;HTH_20;HTH_DeoR	3	2031485	2032261	+
SC_RS11390			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	2006250	2007023	+
SC_RS11090			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	1942957	1943649	+
SC_RS11030			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	1929011	1929652	-
SC_RS10735			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	1865045	1865710	+
SC_RS10690			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	1854078	1854524	-
SC_RS10650			GntR family transcriptional regulator	GntR	GntR;HTH_41	2	1848412	1848777	-
SC_RS10625			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	1843031	1843573	-
SC_RS10600			TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	TetR_N	1	1839094	1839798	-
SC_RS10590			GntR family transcriptional regulator	GntR	GntR	1	1837136	1837885	+
SC_RS10575			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	1834289	1834906	-
SC_RS10525			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	1821800	1822441	+
SC_RS10510			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	1819461	1820108	-
SC_RS10500			redox-sensitive transcriptional activator SoxR	MerR	MerR;MerR_1	2	1818351	1818878	-
