locus_tag	gene_name	tf_family	tss	tss_source	GCCGGC_delta	GCCGGC_n_T1	GCCGGC_n_T2	AAGCCCG_delta	AAGCCCG_n_T1	AAGCCCG_n_T2	unassigned_6mA_delta	unassigned_6mA_n_T1	unassigned_6mA_n_T2	LFC_T2vsT1	padj
SC_RS22980		LacI	4576134	experimental		0	0	-9.840000000000003	1	1	6.299999999999997	1	1	-0.0222782102607179	0.926132348542036
SC_RS23710		TetR	4719673	gene_start		0	0		0	0		0	0	-1.1485908521819146	6.724953217511754e-06
SC_RS24635		Other regulatory	4914637	gene_start		0	0		0	0	-1.7700000000000031	1	2	-2.885192098520523	2.39121332598803e-13
SC_RS25370		TetR	5063734	gene_start		0	0		0	0	-54.98	1	0	-1.2374927770659256	2.953020559404361e-08
SC_RS25990		LysR	5178021	experimental	8.679999999999993	1	1		0	0		0	0	-0.5619109836197297	0.0059447432079914
SC_RS26855	sigJ	Sigma factor	5373018	gene_start		0	0		0	0		0	0	0.0232527665501622	0.968761700368794
SC_RS27105		IclR	5428166	gene_start		0	0	-0.9150000000000063	2	2		0	0	-1.788905032851815	5.826692227034335e-19
SC_RS27300		HTH (other)	5461950	gene_start		0	0	-7.774999999999999	2	2		0	0	-2.0816956167144225	2.2933528337691613e-13
SC_RS28630		Sensor kinase	5762143	gene_start		0	0		0	0	54.02	0	1	-0.0369786446381299	0.8414520406331445
SC_RS29350	tcrA	Other regulatory	5905174	gene_start		0	0		0	0	51.93	0	1	1.1870150801249613	3.0865283741764397e-06
SC_RS29355		Response regulator	5908036	gene_start		0	0		0	0		0	0	-2.0721552618354653	2.1847389564353058e-13
SC_RS30140		Other regulatory	6087374	gene_start	7.6499999999999915	1	1		0	0	-52.12	1	0	-0.5520993440395129	0.0663544133440707
SC_RS31385		Response regulator	6378663	gene_start		0	0		0	0	-50.13	1	0	1.3645614961116626	1.8557352193124634e-07
SC_RS32025		TetR	6527068	gene_start		0	0	-10.935000000000002	2	2		0	0	-2.276955921465654	5.0560369061422746e-11
SC_RS33745		TetR	6959844	gene_start		0	0		0	0	-56.57	1	0	-1.4625627834801054	3.995221205154786e-07
SC_RS33895		Other regulatory	6994433	gene_start		0	0		0	0	8.009999999999998	1	1	1.2456809977015784	3.2118275643664055e-05
SC_RS34060		Sensor kinase	7030354	gene_start		0	0		0	0		0	0	1.6423366912164392	0.0005983805434141423
SC_RS35195		TetR	7319960	experimental		0	0		0	0	-3.3500000000000014	1	1	-1.6493677294403373	5.3649560693093984e-11
SC_RS35525		Sensor kinase	7409680	gene_start		0	0		0	0	-52.94	1	0	1.192730313621187	9.345178045249545e-05
SC_RS35610	ramR	Response regulator	7427004	gene_start		0	0		0	0	-9.290000000000006	1	2	8.847923903643316	3.332752738380108e-11
SC_RS36220		HTH (other)	7567666	gene_start		0	0		0	0	62.09	0	1	1.7717150262982868	0.0106912764751931
SC_RS36820		HTH (other)	7688201	gene_start	-0.12999999999999545	1	1	83.75	0	1		0	0	-2.6512168805872203	0.0002546877579960293
SC_RS37675		Sensor kinase	7877241	gene_start		0	0		0	0		0	0	0.5193064994679604	0.3202105107832096
SC_RS38475		Other regulatory	8062135	gene_start	92.31	0	1		0	0		0	0	9.530292574912137	1.8903837971568821e-252
SC_RS38610		HTH (other)	8086495	gene_start		0	0	65.59	0	1	53.87	0	1	1.459130272910083	1.8372545252536231e-09
SC_RS38785		Sigma factor	8120403	experimental	76.39	0	1		0	0		0	0	1.9106358305601812	6.405123198255963e-10
SC_RS39850		MerR	8350073	gene_start		0	0		0	0	51.14	0	1	0.841167050999035	0.0122301805229151
SC_RS40040		ROK	8392310	gene_start	72.9	0	1		0	0	64.8	0	1	-1.212956784482011	1.9798837921785498e-05
SC_RS40435		Response regulator	8475908	gene_start		0	0		0	0	1.3799999999999955	1	1	1.045517150533947	0.0005321444050626907
SC_RS40740		Sensor kinase	8546786	gene_start	83.815	0	2		0	0		0	0	3.323752560787572	5.5402957287204644e-31
