gene_id	old_locus_tag	gene_name	gene_biotype	contig	start	end	strand	product	protein_id	ontology_term
SC_RS02190	SCO0030		protein_coding	NC_003888.3	25248	25871	+	lamin tail domain-containing protein	WP_375336299.1	GO:0005882
SC_RS02195	SCO0031		protein_coding	NC_003888.3	25843	26385	-	hypothetical protein	WP_011026791.1	
SC_RS02200	SCO0033		protein_coding	NC_003888.3	26527	28728	-	exo-alpha-sialidase	WP_161269925.1	
SC_RS02205	SCO0034		protein_coding	NC_003888.3	29040	29519	+	helicase associated domain-containing protein	WP_011026794.1	GO:0003676
SC_RS02210	SCO0035		protein_coding	NC_003888.3	29605	30054	-	hypothetical protein	WP_011026795.1	
SC_RS02215			pseudogene	NC_003888.3	30155	30241	-	FAD-binding protein		
SC_RS02220	SCO0037		pseudogene	NC_003888.3	30379	31274	-	RNA polymerase sigma-70 factor		GO:0006352,GO:0003700,GO:0016987
SC_RS02225	SCO0039		protein_coding	NC_003888.3	31625	32137	+	patatin-like phospholipase family protein	WP_262377499.1	GO:0006629
SC_RS02230	SCO0040		protein_coding	NC_003888.3	32134	33357	+	glycosyltransferase	WP_011026800.1	GO:0016757
SC_RS02235	SCO0041		protein_coding	NC_003888.3	33360	33845	+	hypothetical protein	WP_011026801.1	
SC_RS02240	SCO0042		protein_coding	NC_003888.3	33842	34777	+	hypothetical protein	WP_011026802.1	
SC_RS02245	SCO0043		protein_coding	NC_003888.3	35179	35907	-	SDR family oxidoreductase	WP_011026803.1	GO:0016491,GO:0070403
SC_RS02250	SCO0044		protein_coding	NC_003888.3	36006	36674	-	nitroreductase	WP_011026804.1	GO:0000166,GO:0016491
SC_RS02255	SCO0046		protein_coding	NC_003888.3	36816	37478	+	FMN-dependent NADH-azoreductase	WP_011026806.1	GO:0008753,GO:0009055,GO:0010181,GO:0016491,GO:0050136,GO:0050446
SC_RS02260	SCO0047		protein_coding	NC_003888.3	37614	38768	-	MarR family winged helix-turn-helix transcriptional regulator	WP_011026807.1	GO:0006355,GO:0003700
SC_RS02265			protein_coding	NC_003888.3	39107	39325	-	hypothetical protein	WP_161269926.1	
SC_RS02270	SCO0049		protein_coding	NC_003888.3	39489	39812	+	ANTAR domain-containing protein	WP_011026809.1	GO:0003723
SC_RS02275	SCO0050		protein_coding	NC_003888.3	39901	40212	+	hypothetical protein	WP_030872760.1	
SC_RS02280	SCO0051		pseudogene	NC_003888.3	40223	41065	-	IS5 family transposase		GO:0004803
SC_RS02285	SCO0053		protein_coding	NC_003888.3	41354	42174	+	IS5 family transposase	WP_375336300.1	GO:0004803
SC_RS02290	SCO0055		protein_coding	NC_003888.3	42171	43682	-	oxidoreductase	WP_011026811.1	
SC_RS02295	SCO0057		protein_coding	NC_003888.3	43950	44090	+	hypothetical protein	WP_011026813.1	
SC_RS02300			pseudogene	NC_003888.3	44187	44555	+	hypothetical protein		
SC_RS02305			protein_coding	NC_003888.3	44796	44975	+	hypothetical protein	WP_237531508.1	
SC_RS02310	SCO0059		protein_coding	NC_003888.3	45267	46073	+	NADP-dependent oxidoreductase	WP_011026815.1	GO:0016491
SC_RS02315	SCO0060		protein_coding	NC_003888.3	46064	46201	+	hypothetical protein	WP_011026816.1	
SC_RS02320	SCO0061		protein_coding	NC_003888.3	46430	47734	-	glycoside hydrolase family 125 protein	WP_011026817.1	GO:0005975,GO:0004559
SC_RS02325	SCO0062		protein_coding	NC_003888.3	47789	48844	-	LacI family DNA-binding transcriptional regulator	WP_161269927.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02330	SCO0063		protein_coding	NC_003888.3	48889	49824	-	ROK family protein	WP_011026819.1	GO:0005524
SC_RS02335	SCO0064		protein_coding	NC_003888.3	49821	51539	-	class I mannose-6-phosphate isomerase	WP_011026820.1	GO:0009298,GO:0004476,GO:0008270
SC_RS02340	SCO0065		protein_coding	NC_003888.3	51831	53144	+	ABC transporter substrate-binding protein	WP_011026821.1	GO:0042626,GO:0140359,GO:0055052
SC_RS02345	SCO0066		protein_coding	NC_003888.3	53141	54100	+	carbohydrate ABC transporter permease	WP_011026822.1	GO:0008643,GO:0055085,GO:0042626,GO:0140359
SC_RS02350	SCO0067		protein_coding	NC_003888.3	54103	54918	+	carbohydrate ABC transporter permease	WP_037898166.1	GO:0008643,GO:0055085
SC_RS02355	SCO0068		protein_coding	NC_003888.3	54968	56173	+	glycoside hydrolase family 76 protein	WP_011026824.1	
SC_RS02360	SCO0069		protein_coding	NC_003888.3	56225	59383	+	glycoside hydrolase family 38 N-terminal domain-containing protein	WP_011026825.1	GO:0006013,GO:0004559
SC_RS02365	SCO0070		pseudogene	NC_003888.3	59546	60058	+	NAD-dependent epimerase/dehydratase family protein		GO:0016491,GO:0051287,GO:0070403
SC_RS02370	SCO0071		protein_coding	NC_003888.3	60069	60275	-	hypothetical protein	WP_011026827.1	
SC_RS02375			protein_coding	NC_003888.3	60485	60691	-	hypothetical protein	WP_030872731.1	
SC_RS02380	SCO0072		protein_coding	NC_003888.3	60740	64066	-	RHS repeat-associated core domain-containing protein	WP_134112143.1	
SC_RS02385	SCO0073		protein_coding	NC_003888.3	64587	64925	+	hypothetical protein	WP_231909079.1	
SC_RS02390	SCO0075		protein_coding	NC_003888.3	65140	65679	+	hypothetical protein	WP_237530292.1	
SC_RS02395			pseudogene	NC_003888.3	65943	66104	-	transposase		GO:0006313,GO:0003677,GO:0004803
SC_RS02400			protein_coding	NC_003888.3	66104	66418	-	transposase	WP_231909081.1	GO:0006310,GO:0015074,GO:0032196,GO:0003677,GO:0004803
SC_RS02405	SCO0079		protein_coding	NC_003888.3	66688	67911	-	MFS transporter	WP_011026832.1	GO:0055085,GO:0022857,GO:0005886,GO:0016020
SC_RS02410	SCO0080		protein_coding	NC_003888.3	68372	68887	+	YfbM family protein	WP_011026833.1	
SC_RS02415	SCO0081		pseudogene	NC_003888.3	68914	69676	-	IS5 family transposase		GO:0004803
SC_RS02420	SCO0083		protein_coding	NC_003888.3	69799	70647	+	IS5 family transposase	WP_011026834.1	GO:0004803
SC_RS02425	SCO0084		protein_coding	NC_003888.3	70777	71235	+	hypothetical protein	WP_011026835.1	
SC_RS02430			protein_coding	NC_003888.3	71273	71431	-	glutamate-cysteine ligase family protein	WP_133171724.1	GO:0042398,GO:0004357
SC_RS02435	SCO0085		protein_coding	NC_003888.3	71648	72139	-	ATP-dependent DNA ligase	WP_011026836.1	GO:0006281,GO:0006310,GO:0003910,GO:0005524
SC_RS02440	SCO0086		protein_coding	NC_003888.3	72159	73097	-	ADP-ribosylglycohydrolase family protein	WP_011026837.1	
SC_RS02445	SCO0087		protein_coding	NC_003888.3	73784	74833	-	MBL fold metallo-hydrolase	WP_011026838.1	GO:0016787,GO:0046872
SC_RS02450	SCO0088		protein_coding	NC_003888.3	74917	75876	-	serine hydrolase	WP_011026839.1	GO:0030655,GO:0008800
SC_RS02455	SCO0089		protein_coding	NC_003888.3	75916	76893	+	LysR family transcriptional regulator	WP_161270433.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02460			pseudogene	NC_003888.3	76985	77200	-	IS5/IS1182 family transposase		
SC_RS02465	SCO0091		protein_coding	NC_003888.3	77315	78271	+	IS481-like element IS1649 family transposase	WP_011026842.1	GO:0006313,GO:0004803
SC_RS02470	SCO0092		pseudogene	NC_003888.3	78489	78779	-	helix-turn-helix domain-containing protein		GO:0003677
SC_RS02475			pseudogene	NC_003888.3	78845	80690	-	IS481 family transposase		GO:0004803
SC_RS02480	SCO0097		protein_coding	NC_003888.3	80845	81165	-	hypothetical protein	WP_011026845.1	
SC_RS02485	SCO0098		protein_coding	NC_003888.3	81602	82441	-	IS5-like element ISSco3 family transposase	WP_011026846.1	GO:0006313,GO:0004803
SC_RS02490	SCO0099		pseudogene	NC_003888.3	82716	83500	+	IS5 family transposase		GO:0004803
SC_RS02495	SCO0101		protein_coding	NC_003888.3	83516	84235	-	DUF2625 domain-containing protein	WP_134111981.1	
SC_RS02500	SCO0103		protein_coding	NC_003888.3	85468	86643	+	globin domain-containing protein	WP_238363711.1	GO:0020037
SC_RS02505	SCO0104		protein_coding	NC_003888.3	86640	87311	+	pyridoxamine 5'-phosphate oxidase family protein	WP_003978773.1	
SC_RS02510	SCO0105		protein_coding	NC_003888.3	87907	88632	-	glycoside hydrolase family 11 protein	WP_003978772.1	
SC_RS02515	SCO0106		protein_coding	NC_003888.3	89073	89465	+	IS5 family transposase	WP_011026850.1	GO:0004803
SC_RS02520	SCO0107		protein_coding	NC_003888.3	89486	90010	-	nucleotidyltransferase domain-containing protein	WP_238363712.1	
SC_RS02525			protein_coding	NC_003888.3	90584	90757	+	hypothetical protein	WP_161269930.1	
SC_RS02530	SCO0110		protein_coding	NC_003888.3	90951	91790	-	helix-turn-helix transcriptional regulator	WP_011026854.1	GO:0003677
SC_RS02535	SCO0111		protein_coding	NC_003888.3	91977	92729	+	SDR family NAD(P)-dependent oxidoreductase	WP_011026855.1	GO:0016491,GO:0070403
SC_RS02540			protein_coding	NC_003888.3	93220	93549	-	hypothetical protein	WP_237530294.1	
SC_RS02545			protein_coding	NC_003888.3	93593	94087	-	IS5 family transposase	WP_238363713.1	GO:0004803
SC_RS02550	SCO0116		protein_coding	NC_003888.3	94306	94872	-	TetR/AcrR family transcriptional regulator	WP_011026857.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02555	SCO0117		protein_coding	NC_003888.3	94989	95681	+	SDR family oxidoreductase	WP_011026858.1	
SC_RS02560	SCO0118		protein_coding	NC_003888.3	95995	97518	+	glycoside hydrolase family 43 protein	WP_161269931.1	GO:0005975,GO:0004553
SC_RS02565	SCO0119		protein_coding	NC_003888.3	97760	98281	-	hypothetical protein	WP_011026860.1	
SC_RS02570	SCO0120		protein_coding	NC_003888.3	98463	99338	-	ABC transporter permease	WP_011026861.1	GO:0042626,GO:0140359
SC_RS02575	SCO0121		protein_coding	NC_003888.3	99335	99949	-	ABC transporter ATP-binding protein	WP_011026862.1	GO:0005524,GO:0016887,GO:0140359
SC_RS02580	SCO0122		protein_coding	NC_003888.3	100205	101566	+	flavin-containing monooxygenase	WP_238363714.1	GO:0004497,GO:0016709,GO:0050660
SC_RS02585	SCO0123		protein_coding	NC_003888.3	101656	103002	-	hypothetical protein	WP_011026864.1	
SC_RS02590	SCO0124		protein_coding	NC_003888.3	103781	104989	+	SDR family oxidoreductase	WP_161270434.1	
SC_RS02595	SCO0125		protein_coding	NC_003888.3	105057	106640	+	PfaD family polyunsaturated fatty acid/polyketide biosynthesis protein	WP_011026866.1	GO:0016740
SC_RS02600	SCO0126		protein_coding	NC_003888.3	106694	112885	+	type I polyketide synthase	WP_161269932.1	
SC_RS02605	SCO0127		protein_coding	NC_003888.3	112932	119654	+	type I polyketide synthase	WP_011026868.1	
SC_RS02610	SCO0128		protein_coding	NC_003888.3	119651	119833	+	hypothetical protein	WP_011026869.1	
SC_RS02615	SCO0130		protein_coding	NC_003888.3	120457	121371	+	MBL fold metallo-hydrolase	WP_003978746.1	GO:0016787,GO:0046872
SC_RS02620	SCO0131		protein_coding	NC_003888.3	121617	122456	-	endonuclease/exonuclease/phosphatase family protein	WP_011026871.1	GO:0003824
SC_RS02625	SCO0132		protein_coding	NC_003888.3	122743	125502	+	helix-turn-helix transcriptional regulator	WP_011026872.1	GO:0006355,GO:0003677,GO:0003700,GO:0005524
SC_RS02630	SCO0133		protein_coding	NC_003888.3	125625	126005	-	hypothetical protein	WP_011026873.1	
SC_RS02635	SCO0135		protein_coding	NC_003888.3	127571	128290	+	alpha/beta fold hydrolase	WP_011026874.1	
SC_RS02640	SCO0136		protein_coding	NC_003888.3	128634	130184	-	PTS ascorbate transporter subunit IIC	WP_011026875.1	GO:0009401,GO:0016020
SC_RS02645	SCO0137		protein_coding	NC_003888.3	130201	131001	-	PTS sugar transporter subunit IIA	WP_011026876.1	
SC_RS02650	SCO0138		protein_coding	NC_003888.3	131523	132296	+	SDR family oxidoreductase	WP_011026877.1	
SC_RS02655	SCO0139		protein_coding	NC_003888.3	132327	132647	+	nuclear transport factor 2 family protein	WP_003978737.1	
SC_RS02660	SCO0140		protein_coding	NC_003888.3	132693	133520	+	MerR family transcriptional regulator	WP_011026878.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02665	SCO0141		protein_coding	NC_003888.3	133570	134121	-	EF-hand domain-containing protein	WP_011026879.1	GO:0005509
SC_RS02670	SCO0142		protein_coding	NC_003888.3	134295	136100	-	NHL domain-containing thioredoxin family protein	WP_011026880.1	GO:0016491
SC_RS02675			protein_coding	NC_003888.3	136149	136307	+	hypothetical protein	WP_016324975.1	
SC_RS02680	SCO0143		protein_coding	NC_003888.3	136683	137183	+	TetR/AcrR family transcriptional regulator	WP_166680928.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02685	SCO0144		protein_coding	NC_003888.3	137197	137556	+	hypothetical protein	WP_003978731.1	
SC_RS02690	SCO0145		protein_coding	NC_003888.3	137561	138589	+	alpha/beta hydrolase	WP_011026882.1	GO:0016787
SC_RS02695	SCO0146		pseudogene	NC_003888.3	138543	138761	-	hypothetical protein		
SC_RS02700	SCO0147		protein_coding	NC_003888.3	138976	139467	+	DUF2975 domain-containing protein	WP_011026883.1	
SC_RS02705	SCO0148		protein_coding	NC_003888.3	139467	139712	+	helix-turn-helix domain-containing protein	WP_003978728.1	GO:0003677
SC_RS02710			pseudogene	NC_003888.3	139709	140862	+	FAD-dependent monooxygenase		GO:0071949
SC_RS02715	SCO0151		protein_coding	NC_003888.3	141370	141708	+	hypothetical protein	WP_011026886.1	
SC_RS02720	SCO0152		protein_coding	NC_003888.3	141705	143315	+	sodium/solute symporter	WP_011026887.1	GO:0055085,GO:0022857,GO:0016020
SC_RS02725	SCO0153		protein_coding	NC_003888.3	143776	144363	-	DM13 domain-containing protein	WP_003978724.1	
SC_RS02730	SCO0154		protein_coding	NC_003888.3	144704	145366	-	peroxiredoxin-like family protein	WP_011026888.1	
SC_RS02735	SCO0155		protein_coding	NC_003888.3	145499	146122	+	TetR/AcrR family transcriptional regulator	WP_003978722.1	GO:0006355,GO:0003677,GO:0003700
SC_RS02740	SCO0158		protein_coding	NC_003888.3	146977	148206	+	NAD(P)/FAD-dependent oxidoreductase	WP_011026891.1	GO:0006116,GO:0003954
SC_RS02745	SCO0159		protein_coding	NC_003888.3	148225	149184	+	sigma-70 family RNA polymerase sigma factor	WP_030870955.1	GO:0006352,GO:0006355,GO:0003700,GO:0016987
SC_RS02750	SCO0160		protein_coding	NC_003888.3	149508	150209	-	helix-turn-helix domain-containing protein	WP_003978717.1	GO:0003677
SC_RS02755	SCO0162		protein_coding	NC_003888.3	150579	151571	+	Acg family FMN-binding oxidoreductase	WP_011026893.1	GO:0010181,GO:0016491
SC_RS02760	SCO0163		protein_coding	NC_003888.3	151749	153275	+	bifunctional aminoglycoside phosphotransferase/ATP-binding protein	WP_011026894.1	GO:0005524
SC_RS02765	SCO0164		protein_coding	NC_003888.3	153398	155728	+	heavy metal translocating P-type ATPase	WP_011026895.1	GO:0006812,GO:0042625,GO:0016020
SC_RS02770	SCO0165		protein_coding	NC_003888.3	155707	156120	-	DUF302 domain-containing protein	WP_011026896.1	
SC_RS02775	SCO0166	ppk2	protein_coding	NC_003888.3	156338	157141	+	polyphosphate kinase 2	WP_003978711.1	GO:0006793,GO:0008976
SC_RS02780	SCO0167		protein_coding	NC_003888.3	157189	158073	-	universal stress protein	WP_003978710.1	GO:0050896,GO:0005524
SC_RS02785	SCO0168		protein_coding	NC_003888.3	158846	159304	+	cyclic nucleotide-binding domain-containing protein	WP_030862045.1	GO:0030551,GO:0030552
SC_RS02790	SCO0169		protein_coding	NC_003888.3	159339	160025	+	CBS domain-containing protein	WP_161269934.1	
SC_RS02795			protein_coding	NC_003888.3	160026	160238	-	hydantoinase B/oxoprolinase family protein	WP_134111983.1	GO:0003824
SC_RS02800	SCO0170		protein_coding	NC_003888.3	160356	161027	-	CBS domain-containing protein	WP_003978707.1	
SC_RS02805	SCO0171		protein_coding	NC_003888.3	161237	162553	+	nicotinate phosphoribosyltransferase	WP_011026898.1	
SC_RS02810	SCO0172		protein_coding	NC_003888.3	162661	163119	+	universal stress protein	WP_011026899.1	GO:0050896,GO:0005524
SC_RS02815	SCO0173		protein_coding	NC_003888.3	163235	163891	-	OsmC family protein	WP_234328580.1	GO:0006979,GO:0004601
SC_RS02820	SCO0174		protein_coding	NC_003888.3	164023	164931	-	pyridoxamine 5'-phosphate oxidase family protein	WP_161269935.1	
SC_RS02825			protein_coding	NC_003888.3	165275	165397	+	CBS domain-containing protein	WP_238363777.1	
SC_RS02830	SCO0176		protein_coding	NC_003888.3	165478	165855	+	BON domain-containing protein	WP_202492391.1	GO:0008289
SC_RS02835	SCO0177		protein_coding	NC_003888.3	166033	166614	+	Rv1733c family protein	WP_011026904.1	
SC_RS02840			pseudogene	NC_003888.3	166891	166965	+	universal stress protein		
SC_RS02845	SCO0179		protein_coding	NC_003888.3	167444	168514	-	zinc-dependent alcohol dehydrogenase family protein	WP_003978698.1	
SC_RS02850	SCO0180		protein_coding	NC_003888.3	168705	169556	-	universal stress protein	WP_003978697.1	
SC_RS02855	SCO0181		protein_coding	NC_003888.3	169584	170486	-	universal stress protein	WP_173943968.1	GO:0050896,GO:0005524
SC_RS02860			pseudogene	NC_003888.3	170827	171651	+	DUF2867 domain-containing protein		
SC_RS02865			pseudogene	NC_003888.3	171653	172158	+	FAD-binding domain-containing protein		
SC_RS02870	SCO0184		pseudogene	NC_003888.3	172170	173665	+	cryptochrome/photolyase family protein		GO:0003676
SC_RS02875	SCO0185		protein_coding	NC_003888.3	173801	174946	+	polyprenyl synthetase family protein	WP_030862096.1	GO:0008299,GO:0004659,GO:0046872
SC_RS02880	SCO0186	crtI	protein_coding	NC_003888.3	174943	176514	+	phytoene desaturase family protein	WP_011026910.1	GO:0016117,GO:0016166
SC_RS02885	SCO0187		protein_coding	NC_003888.3	176501	177496	+	phytoene/squalene synthase family protein	WP_011026911.1	GO:0008299,GO:0004659,GO:0046872
SC_RS02890	SCO0188		protein_coding	NC_003888.3	177493	178503	+	DUF5914 domain-containing protein	WP_011026912.1	
SC_RS02895	SCO0189		protein_coding	NC_003888.3	178519	180087	-	FAD-dependent oxidoreductase	WP_011026913.1	GO:0016491
SC_RS02900	SCO0190		protein_coding	NC_003888.3	180084	180824	-	class I SAM-dependent methyltransferase	WP_011026914.1	GO:0008168
SC_RS02905	SCO0191		protein_coding	NC_003888.3	180821	182038	-	lycopene cyclase family protein	WP_011026915.1	
SC_RS02910	SCO0192		protein_coding	NC_003888.3	182309	183559	-	NAD(P)/FAD-dependent oxidoreductase	WP_011026916.1	GO:0009055,GO:0016491
SC_RS02915	SCO0193		protein_coding	NC_003888.3	183793	184797	-	MerR family transcriptional regulator	WP_003978674.1	GO:0006355,GO:0003677,GO:0003700,GO:0031419,GO:0046872
SC_RS02920	SCO0194		protein_coding	NC_003888.3	184958	185566	+	sigma-70 family RNA polymerase sigma factor	WP_011026917.1	GO:0006352,GO:0006355,GO:0003700,GO:0016987
SC_RS02925	SCO0195		protein_coding	NC_003888.3	185675	186361	+	DUF4397 domain-containing protein	WP_011026918.1	
SC_RS02930	SCO0196		protein_coding	NC_003888.3	186447	186887	+	hypothetical protein	WP_003978671.1	
SC_RS02935	SCO0197		protein_coding	NC_003888.3	187019	187459	-	pyridoxamine 5'-phosphate oxidase family protein	WP_011026920.1	GO:0016491
SC_RS02940	SCO0198		protein_coding	NC_003888.3	187992	188858	-	universal stress protein	WP_011026921.1	
SC_RS02945	SCO0199	adhP	protein_coding	NC_003888.3	188864	189886	-	alcohol dehydrogenase AdhP	WP_003978667.1	
SC_RS02950	SCO0200		protein_coding	NC_003888.3	189925	190830	-	universal stress protein	WP_003978666.1	GO:0050896,GO:0005524
SC_RS02955	SCO0201		protein_coding	NC_003888.3	190983	191612	-	DoxX family membrane protein	WP_173668689.1	
SC_RS02960	SCO0202		protein_coding	NC_003888.3	191904	192848	+	Acg family FMN-binding oxidoreductase	WP_202492624.1	GO:0010181,GO:0016491
SC_RS02965	SCO0203		protein_coding	NC_003888.3	192880	194637	-	two-component system sensor histidine kinase	WP_011026923.1	
SC_RS02970	SCO0204		protein_coding	NC_003888.3	194760	195461	-	response regulator	WP_011026924.1	GO:0000160
SC_RS02975	SCO0205	pflA	pseudogene	NC_003888.3	195554	196307	-	pyruvate formate-lyase-activating protein		GO:0043365
SC_RS02980	SCO0207		protein_coding	NC_003888.3	196386	196991	-	universal stress protein	WP_011026925.1	GO:0042802
SC_RS02985	SCO0208	ppdK	protein_coding	NC_003888.3	197221	199917	+	pyruvate, phosphate dikinase	WP_011026926.1	GO:0006090,GO:0050242
SC_RS02990	SCO0209		protein_coding	NC_003888.3	200024	200428	+	hypothetical protein	WP_011026927.1	
SC_RS02995	SCO0210		protein_coding	NC_003888.3	200701	201369	+	CBS domain-containing protein	WP_173943967.1	
SC_RS03000	SCO0211		protein_coding	NC_003888.3	201374	202090	+	sensor histidine kinase	WP_011026929.1	GO:0007165,GO:0000155,GO:0004673,GO:0005524
SC_RS03005	SCO0212		protein_coding	NC_003888.3	202370	202843	-	hemerythrin domain-containing protein	WP_003978655.1	
SC_RS03010	SCO0213		protein_coding	NC_003888.3	202863	204101	-	nitrate/nitrite transporter	WP_011026930.1	GO:0055085,GO:0071705,GO:0022857,GO:0016020
SC_RS03015	SCO0214		protein_coding	NC_003888.3	204387	204800	+	pyridoxamine 5'-phosphate oxidase family protein	WP_003978653.1	GO:0016491
SC_RS03020	SCO0215		protein_coding	NC_003888.3	204881	205888	-	Acg family FMN-binding oxidoreductase	WP_011026931.1	GO:0010181,GO:0016491
SC_RS03025	SCO0216		protein_coding	NC_003888.3	206480	210181	+	nitrate reductase subunit alpha	WP_011026932.1	GO:0042126,GO:0008940,GO:0009325
SC_RS03030	SCO0217	narH	protein_coding	NC_003888.3	210183	211751	+	nitrate reductase subunit beta	WP_011026933.1	GO:0042126,GO:0008940,GO:0009325
SC_RS03035	SCO0218	narJ	protein_coding	NC_003888.3	211748	212551	+	nitrate reductase molybdenum cofactor assembly chaperone	WP_011026934.1	GO:0051131,GO:0051082
SC_RS03040	SCO0219	narI	protein_coding	NC_003888.3	212551	213321	+	respiratory nitrate reductase subunit gamma	WP_011026935.1	GO:0019645,GO:0008940,GO:0009325
SC_RS03045	SCO0220		protein_coding	NC_003888.3	213421	213870	+	nuclear transport factor 2 family protein	WP_003978646.1	
SC_RS03050	SCO0221		pseudogene	NC_003888.3	213892	214542	-	transposase		
SC_RS03055	SCO0222		protein_coding	NC_003888.3	214913	215446	+	GNAT family N-acetyltransferase	WP_011026937.1	GO:0008080,GO:0016746
SC_RS03060	SCO0224		protein_coding	NC_003888.3	215807	216844	-	questin oxidase family protein	WP_011026939.1	
SC_RS03065	SCO0226		protein_coding	NC_003888.3	217315	217968	-	hypothetical protein	WP_234308210.1	
SC_RS03070			protein_coding	NC_003888.3	218481	218771	+	hypothetical protein	WP_173943966.1	
SC_RS03075	SCO0229		protein_coding	NC_003888.3	219302	220150	+	oxidoreductase	WP_011026943.1	GO:0016491
SC_RS03080	SCO0230		protein_coding	NC_003888.3	220150	220764	+	TetR/AcrR family transcriptional regulator	WP_003978637.1	GO:0006355,GO:0003677,GO:0003700
SC_RS03085	SCO0231		protein_coding	NC_003888.3	221092	221247	-	hypothetical protein	WP_010059700.1	
SC_RS03090	SCO0232		protein_coding	NC_003888.3	221414	221599	-	beta/alpha barrel domain-containing protein	WP_011026944.1	
SC_RS03095	SCO0233		protein_coding	NC_003888.3	221699	222538	-	helix-turn-helix transcriptional regulator	WP_011026945.1	GO:0003677
SC_RS03100	SCO0234		protein_coding	NC_003888.3	222827	223288	+	SDR family NAD(P)-dependent oxidoreductase	WP_011026946.1	GO:0016491,GO:0070403
SC_RS03105	SCO0235		protein_coding	NC_003888.3	223294	224232	+	SDR family oxidoreductase	WP_011026947.1	GO:0016491
SC_RS03110	SCO0236		protein_coding	NC_003888.3	224404	225276	-	helix-turn-helix transcriptional regulator	WP_003978631.1	GO:0003677
SC_RS03115	SCO0237		protein_coding	NC_003888.3	225476	226237	+	SDR family oxidoreductase	WP_003978630.1	GO:0016491,GO:0051287
SC_RS03120	SCO0238		protein_coding	NC_003888.3	226481	227008	+	hypothetical protein	WP_011026948.1	
SC_RS03125	SCO0239		protein_coding	NC_003888.3	227081	228154	-	protein kinase family protein	WP_003978628.1	
SC_RS03130	SCO0240		protein_coding	NC_003888.3	228714	229649	-	oxidoreductase	WP_011026949.1	GO:0016491
SC_RS03135	SCO0241		protein_coding	NC_003888.3	229995	230669	+	TetR/AcrR family transcriptional regulator	WP_011026950.1	GO:0003677
SC_RS03140	SCO0242		protein_coding	NC_003888.3	231022	231465	+	VOC family protein	WP_011026951.1	
SC_RS03145	SCO0243		protein_coding	NC_003888.3	231475	231654	+	hypothetical protein	WP_011026952.1	
