locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	baseMean	T1_mean	T2_mean	T3_mean	log2FC_T2	log2FC_T3	padj_T2	padj_T3	gene_length	gc_promoter	intergenic_dist	n_fimo_hits	nearest_methyl_dist	sites_within_2kb	methyl_density_2kb	operon_size	is_monocistronic	temporal_pattern	coordination_T2	coordination_T3
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	arm	80.8842431031643	178.55982251802516	24.389284032169304	39.70362275929842	-2.8247283435391974	-2.1045634810451976	8.542326584087242e-19	4.162399989543619e-14	474	0.68	73.0	0	110	4	1.0	2	False	T2T3_down	concordant_repression	ambiguous
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	1300601	1302022	-	arm	190.63599674508	11.044999617745669	279.4638454280423	281.39914518945193	4.584810932372193	4.592536487844196	6.884471988046263e-44	1.4993462065414009e-44	1422	0.73	270.0	1	95	2	0.5	1	True	T2T3_up	discordant_gain_up	discordant_gain_up
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	1565986	1568358	-	core	167.61501866415725	13.975214659475212	212.30861130251617	276.56123003048043	3.873766306591509	4.2561166155195	1.2959238389849076e-39	1.1673007901518556e-48	2373	0.8033333333333333	59.0	2	163	2	0.5	3	False	T2T3_up	ambiguous	concordant_derepression
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1674273	1674773	-	core	74.92113781028928	14.56876351752552	177.77558541033034	32.41906450301203	3.559311712441188	1.105773502103029	2.6224452530615437e-26	0.0010388954742131	501	0.7033333333333334	58.0	6	267	2	0.5	3	False	T2T3_up	concordant_derepression	ambiguous
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	-	core	41.0418442467908	11.461076066242995	40.17627635827173	71.48818031585769	1.7289097130718962	2.599848031477136	1.1503249464833512e-05	7.34846910549439e-12	951	0.6666666666666666	59.0	6	39	7	1.75	2	False	T2T3_up	concordant_derepression	concordant_derepression
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	2031485	2032261	+	core	51.64886403671	24.029272422717884	61.8065240664007	69.11079562101143	1.3069071437293096	1.4766740596944503	4.581746776202382e-05	1.560984307725348e-06	777	0.7066666666666667	284.0	5	191	3	0.75	2	False	T2T3_up	ambiguous	discordant_gain_up
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	2388005	+	core	90.32774609798872	192.69391418889379	30.603845916664113	47.68547818840825	-2.60408418536578	-1.9735548451329563	1.2629170602358348e-22	7.098317130464676e-18	693	0.6933333333333334	67.0	6	288	2	0.5	2	False	T2T3_down	discordant_loss_down	discordant_loss_down
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	2559250	+	core	658.4212932136244	1207.3940525770345	469.70836485220497	298.16146221163393	-1.3457214719384083	-2.008260763804589	5.209355572407984e-19	1.0606675794215542e-40	1206	0.7166666666666667	63.0	1	24	8	2.0	5	False	T2T3_down	ambiguous	discordant_loss_down
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870032	2870568	-	core	57.65600978674502	102.3801701518109	29.96697780066941	40.62088140775478	-1.718484135527773	-1.28534328878955	9.355453169320593e-09	1.536662176317604e-06	537	0.67	2.0	2	113	7	1.75	2	False	T2T3_down	ambiguous	discordant_loss_down
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	2922815	+	core	170.0691728781177	274.8096764663972	84.99050777551628	150.40733439243968	-1.633740595502153	-0.8112210531302011	2.0668006416906303e-08	0.0030859018231273	2247	0.74	0.0	1	120	7	1.75	1	True	T2_down	discordant_loss_down	methyl_change_no_expr_change
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-	core	10732.932147555646	22368.026882267484	6899.335323514827	2931.434236884628	-1.6542997259922183	-2.9016567876690877	2.827966405340166e-12	2.745463874769721e-34	282	0.6866666666666666	185.0	3	265	2	0.5	1	True	T2T3_down	discordant_loss_down	ambiguous
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	3404759	3408313	-	core	715.4635719708774	948.3752562197618	753.1345012743382	444.88095841853215	-0.3256079258555034	-1.079052480924651	0.0366592637333631	4.436730741170686e-13	3555	0.76	118.0	2	131	1	0.25	1	True	T3_down	methyl_change_no_expr_change	discordant_loss_down
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-	core	877.3770107838754	126.48977469273302	1358.268568462149	1147.3726891967444	3.4047840224669184	3.160115290808316	6.4490549138040534e-49	1.7319557842793294e-42	780	0.6833333333333333	0.0	3	69	4	1.0	1	True	T2T3_up	discordant_gain_up	ambiguous
SC_RS20775		SCO3729	helix-turn-helix domain-containing protein	HTH (other)	4103188	4103841	-	core	138.572410152516	199.08139982596649	120.81535150541526	95.82047912616626	-0.6967113135206181	-1.0402438637691844	0.0009370287263348228	2.724410535663219e-07	654	0.8133333333333334	108.0	6	37	1	0.25	2	False	T3_down	methyl_change_no_expr_change	concordant_repression
SC_RS21680		SCO3907	single-stranded DNA-binding protein	Other regulatory	4303613	4304212	+	core	12967.670035057756	30729.220141834434	5193.311443851292	2980.478519487544	-2.5294364079004064	-3.3273941695903377	8.216758919198887e-26	1.2549405730008695e-43	600	0.6233333333333333	81.0	3	206	1	0.25	4	False	T2T3_down	concordant_repression	ambiguous
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+	core	473.0048265831937	119.60310347748468	145.5392574804703	1153.872118791626	0.2650411061157262	3.231774411787676	0.3644528431520644	2.9536927980454345e-33	606	0.75	529.0	4	52	4	1.0	2	False	T3_up	methyl_change_no_expr_change	concordant_derepression
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+	core	473.2408541558487	1227.2077941102295	87.0281342126658	105.48663414465113	-3.79957961958281	-3.5392565751456435	5.766380137126139e-88	9.025250669458276e-89	549	0.6033333333333334	146.0	3	207	5	1.25	1	True	T2T3_down	discordant_loss_down	ambiguous
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-	core	1108.0084647456797	1410.1248479003534	1383.2671672223967	530.6333791142887	-0.0261795784401953	-1.386678225928751	0.9099118869510534	3.3533132860895164e-12	1023	0.7033333333333334	127.0	9	172	4	1.0	4	False	T3_down	methyl_change_no_expr_change	discordant_loss_down
SC_RS23710		SCO4305	TetR/AcrR family transcriptional regulator	TetR	4719080	4719673	-	core	122.4080782728069	182.57757266536808	105.49659578220665	79.150066370846	-0.7638015556801351	-1.1916226395492695	0.0005500676360110483	2.3224448164584097e-08	594	0.7633333333333333	14.0	4	226	2	0.5	4	False	T3_down	methyl_change_no_expr_change	concordant_repression
SC_RS24380		SCO4443	MerR family transcriptional regulator	MerR	4864966	4865850	-	core	717.3174880669783	308.18435719892256	1368.1826773751945	475.58542962681736	2.1231739543915493	0.600174221573686	1.4387410976569703e-24	0.0038482355296621	885	0.73	94.0	4	49	5	1.25	3	False	T2_up	discordant_gain_up	methyl_change_no_expr_change
SC_RS24635		SCO4495	UdgX family uracil-DNA binding protein	Other regulatory	4914637	4915275	+	core	66.48965648397376	129.25520400778547	21.22416665353997	48.989598790595835	-2.524458093106345	-1.2942444890352447	1.552650565020701e-11	6.055976374760763e-05	639	0.73	225.0	4	82	3	0.75	6	False	T2T3_down	concordant_repression	concordant_repression
SC_RS25370		SCO4639	TetR/AcrR family transcriptional regulator	TetR	5063734	5064339	+	core	156.74722867162407	287.94781930005297	122.67220040090645	59.6216663139127	-1.205765616879327	-2.258394035683855	2.4762759966205292e-09	4.527002507536934e-28	606	0.7266666666666667	65.0	8	252	4	1.0	5	False	T2T3_down	discordant_loss_down	ambiguous
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	+	core	179.0115674051012	255.73988366392368	171.36351987473134	109.93129867664864	-0.5614154947959401	-1.193490472610386	0.0038732214510234	2.536545758473156e-10	921	0.7133333333333334	97.0	2	207	3	0.75	1	True	T3_down	methyl_change_no_expr_change	concordant_repression
SC_RS26855	sigJ	SCO4938	RNA polymerase sigma factor SigJ	Sigma factor	5373018	5373932	+	core	35.54905241908583	26.029839583768517	11.815196386770056	68.80212128671893	-1.018259879132294	1.3362125833071603	0.015351957887539	0.00010745558639037635	915	0.73	199.0	5	40	2	0.5	1	True	T2_down_T3_up	ambiguous	discordant_gain_up
SC_RS26965		SCO4960	sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	5395316	5395822	-	core	154.97663297976044	265.8756017840324	107.4379165393542	91.61638061589474	-1.272316820268741	-1.514544477647077	1.1788458467230524e-08	2.6337692345145036e-12	507	0.7033333333333334	47.0	5	94	5	1.25	3	False	T2T3_down	discordant_loss_down	ambiguous
SC_RS27105		SCO4989	IclR family transcriptional regulator	IclR	5428166	5428930	+	core	277.78271979600527	559.7474931699595	167.43673450861544	106.16393170944075	-1.7170840522337387	-2.391846336398685	7.190817694141732e-21	2.4727921870664027e-39	765	0.7766666666666666	0.0	7	197	6	1.5	1	True	T2T3_down	discordant_loss_down	discordant_loss_down
SC_RS27300		SCO5027	winged helix DNA-binding domain-containing protein	HTH (other)	5460757	5461950	-	core	112.75098391242147	204.5812430134864	41.595530977854594	92.07617774592343	-2.2543700120671244	-1.101360873538775	1.2788777406186013e-17	1.6746998758808693e-06	1194	0.6133333333333333	31.0	2	104	2	0.5	1	True	T2T3_down	ambiguous	discordant_loss_down
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	5765139	+	core	2509.052651588533	3459.152756793917	3424.526061681468	643.4791362902141	-0.0137258522464046	-2.4145957323816596	0.9354948002453458	4.6282469697251804e-60	2997	0.75	453.0	0	90	2	0.5	1	True	T3_down	methyl_change_no_expr_change	concordant_repression
SC_RS29350	tcrA	SCO5433	AfsR-like transcriptional regulator TcrA	Other regulatory	5905174	5907459	+	core	110.759079609376	55.21061223472242	117.57076121166051	159.49586538174512	1.0401395580980954	1.4918041436883782	3.683188120370881e-05	6.558912983566776e-10	2286	0.76	208.0	11	166	4	1.0	1	True	T2T3_up	discordant_gain_up	ambiguous
SC_RS29355		SCO5434	response regulator	Response regulator	5907344	5908036	-	core	67.7992181904013	119.41883686020678	30.2654039588549	53.71341375214222	-1.9216630018303835	-1.1163059002941826	4.020439306798874e-12	2.582215778884293e-06	693	0.81	0.0	2	76	2	0.5	1	True	T2T3_down	ambiguous	concordant_repression
SC_RS30140		SCO5584	P-II family nitrogen regulator	Other regulatory	6087374	6087712	+	core	61.07428954918451	91.05769276780437	59.610990912128266	32.55418496762094	-0.5802055478802578	-1.435204814633584	0.0394908387721756	2.3044045019199938e-07	339	0.7233333333333334	0.0	3	126	5	1.25	4	False	T3_down	methyl_change_no_expr_change	discordant_loss_down
SC_RS31385		SCO5828	response regulator	Response regulator	6377983	6378663	-	core	219.22692612499264	52.62015871953676	490.4724485247527	114.58817113068845	3.2007683924803816	1.0914308087972038	2.6639471115019306e-54	2.497770265500252e-07	681	0.7833333333333333	37.0	8	48	3	0.75	1	True	T2T3_up	concordant_derepression	concordant_derepression
SC_RS32025		SCO5956	TetR/AcrR family transcriptional regulator	TetR	6527068	6527715	+	core	64.32274360228784	114.22023616424981	25.7649493111152	52.983045331498495	-2.09236783247235	-1.036039802559863	5.888344612414325e-11	0.00015355066207725166	648	0.71	128.0	2	5	4	1.0	2	False	T2T3_down	ambiguous	discordant_loss_down
SC_RS33075		SCO6165	TraR/DksA family transcriptional regulator	Other regulatory	6768098	6768478	+	core	7.929447766569124	0.726343119020858	2.537618562334681	20.524381618351835	0.9232644917721738	4.398470931655745	0.1839126222262727	3.764871122571596e-05	381	0.7333333333333333	67.0	4	144	4	1.0	2	False	T3_up	methyl_change_no_expr_change	concordant_derepression
SC_RS33745		SCO6299	TetR/AcrR family transcriptional regulator	TetR	6958987	6959844	-	core	75.17936067078227	117.08708960535228	42.61450030153525	65.8364921054593	-1.4114119775299854	-0.8004049577607204	1.6258548905382441e-07	0.0009278002051725612	858	0.6966666666666667	89.0	7	35	3	0.75	3	False	T2_down	discordant_loss_down	methyl_change_no_expr_change
SC_RS33895		SCO6334	LuxR C-terminal-related transcriptional regulator	Other regulatory	6991755	6994433	-	core	99.45907092185624	31.20538493909449	68.97272838800818	198.19909943846605	1.0792987194838373	2.6248645299059365	0.0002553809415968921	5.1568194185469556e-21	2679	0.7266666666666667	346.0	4	30	4	1.0	2	False	T2T3_up	ambiguous	discordant_gain_up
SC_RS34060		SCO6369	HAMP domain-containing sensor histidine kinase	Sensor kinase	7030354	7031664	+	core	38.94814585701254	11.183243607646611	33.59422381329396	72.06697015009706	1.425234745616793	2.573759751578359	0.0025470969471078	4.112434248648229e-08	1311	0.7066666666666667	159.0	8	264	3	0.75	1	True	T2T3_up	ambiguous	discordant_gain_up
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-	arm	108.071206160425	193.7161381244323	65.66955608696186	64.82792426988091	-1.5315166238060172	-1.5502641674059274	3.3380934782945707e-12	6.082588908883867e-14	654	0.7933333333333333	16.0	1	236	2	0.5	2	False	T2T3_down	ambiguous	discordant_loss_down
SC_RS35525		SCO6668	sensor histidine kinase	Sensor kinase	7408463	7409680	-	arm	67.88311482027262	35.51420126814803	75.82336157634181	92.31178161632805	1.0418397945969575	1.3420720062885316	0.0003648569121190967	1.5222395898279151e-06	1218	0.78	0.0	3	99	4	1.0	2	False	T2T3_up	concordant_derepression	concordant_derepression
SC_RS35610	ramR	SCO6685	two-component system response regulator RamR	Response regulator	7426396	7427004	-	arm	55.32717278858127	0.3880141251565383	49.54134507419286	116.05215916639442	6.6041010227398775	7.902404097846659	1.6843067948138286e-08	1.8911172977523484e-11	609	0.74	5.0	3	286	6	1.5	1	True	T2T3_up	ambiguous	discordant_gain_up
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	7567337	7567666	-	arm	18.87275042201153	4.02374691651165	21.676925987835144	30.9175783616878	2.168987976181465	2.737953669278411	0.0001427567692109228	9.221715096261128e-07	330	0.6166666666666667	0.0	12	183	4	1.0	1	True	T2T3_up	discordant_gain_up	discordant_gain_up
SC_RS36820		SCO6924	helix-turn-helix domain-containing protein	HTH (other)	7687305	7688201	-	arm	24.73753347890885	20.872697278699288	2.934884828407481	50.405018329619786	-2.5425777989933764	1.1724818092504623	7.40547348508819e-05	0.0026139079143853	897	0.7066666666666667	3.0	2	15	3	0.75	3	False	T2_down_T3_up	concordant_repression	ambiguous
SC_RS37035			WhiB family transcriptional regulator	WhiB	7731868	7732188	-	arm	11.798932886866227	4.739278631556791	12.863699015068526	17.79382101397336	1.2351768680285735	1.7474209061331545	0.023562700652312	0.0010193313300751	321	0.7733333333333333	0.0	3	34	8	2.0	2	False	T2T3_up	concordant_derepression	ambiguous
SC_RS37675		SCO7089	sensor histidine kinase	Sensor kinase	7876048	7877241	-	arm	28.76277076586355	8.043476636772478	12.93657935935128	65.30825630146688	0.5692475959080903	2.938021809245114	0.220371723922328	3.1409947268072395e-11	1194	0.67	0.0	3	34	2	0.5	2	False	T3_up	methyl_change_no_expr_change	discordant_gain_up
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	8063643	+	arm	9088.505533318712	31.630485566552423	20292.972036728494	6940.914077661096	9.317497513720548	7.76413546802748	3.5040142420988754e-226	1.7204571545473354e-157	1509	0.71	297.0	1	46	4	1.0	1	True	T2T3_up	discordant_gain_up	ambiguous
SC_RS38610		SCO7279	helix-turn-helix domain-containing protein	HTH (other)	8086495	8086968	+	arm	213.16598296206575	94.83310208174	278.6338440141126	266.03100279034476	1.5122439263738874	1.437287270168461	2.7868803275573235e-09	9.332484510371041e-09	474	0.7	208.0	8	25	4	1.0	1	True	T2T3_up	discordant_gain_up	ambiguous
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+	arm	72.93538087547012	27.9378306899596	109.84160823146898	81.02670370498171	1.9292968279677385	1.4941315998411235	4.0457431010406377e-11	1.7896686511187993e-07	900	0.6933333333333334	193.0	8	67	3	0.75	5	False	T2T3_up	ambiguous	discordant_gain_up
SC_RS39260		SCO7411	LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+	arm	49.32886052421125	30.218460280842322	49.74617237199399	68.02194891979742	0.6752788836681285	1.1268958401806786	0.0417953703301207	0.0002811313017637984	1059	0.67	193.0	5	157	1	0.25	2	False	T3_up	methyl_change_no_expr_change	discordant_gain_up
SC_RS39850		SCO7530	MerR family transcriptional regulator	MerR	8348997	8350073	-	arm	50.89051971920797	24.701366173957343	45.14052734649635	82.82966563717025	0.804545404597441	1.6906408230956813	0.023562700652312	5.543770538283395e-07	1077	0.7633333333333333	43.0	7	225	6	1.5	3	False	T3_up	methyl_change_no_expr_change	discordant_gain_up
SC_RS40040		SCO7568	ROK family protein	ROK	8391351	8392310	-	arm	75.52056942044563	89.67095279396098	36.2196454773262	100.67110999004971	-1.2552343502126442	0.1545523986304376	2.703495194456091e-06	0.5136394671008345	960	0.7333333333333333	12.0	5	51	3	0.75	1	True	T2_down	concordant_repression	methyl_change_no_expr_change
SC_RS40435		SCO7648	response regulator transcription factor	Response regulator	8475216	8475908	-	arm	120.99486101283772	33.67528812996488	186.427504516693	142.88179039185533	2.439373553896403	2.0481399803843376	6.110294370672873e-25	1.9318833063227032e-18	693	0.7433333333333333	42.0	4	32	1	0.25	2	False	T2T3_up	ambiguous	concordant_derepression
SC_RS40740		SCO7711	sensor histidine kinase	Sensor kinase	8546786	8548315	+	arm	174.7222802230395	27.40299114216212	249.20947847537718	247.55437105157918	3.155882755112203	3.140448803384679	3.0234167912246887e-31	1.2720358703467991e-31	1530	0.6966666666666667	59.0	2	35	4	1.0	4	False	T2T3_up	discordant_gain_up	ambiguous
