rank	chrom	start_bp	end_bp	center_bp	FIRE_M	PC_M	methyl_n_T1	methyl_freqsum_T1	n_genes_in_window	nearest_gene	nearest_product	nearest_gene_dist_bp	in_compartmentA	in_core	dist_to_BGC_bp	nearest_BGC	FIRE_pct	methyl_pct	combined_score
55	NC_003888.3	5065000	5070000	5067500	1.6679	0.8303	2	148.6	5	SC_RS25390	UDP-N-acetylmuramate dehydrogenase	124	1	1	446309	act	0.6372549019607843	0.3333333333333333	0.48529411764705876
56	NC_003888.3	4605000	4610000	4607500	1.6675	0.4377	2	152.2	7	SC_RS23175	helix-turn-helix domain-containing protein	74	1	1	906309	act	0.6274509803921569	0.3333333333333333	0.48039215686274506
57	NC_003888.3	3990000	3995000	3992500	1.6615	0.1539	2	159.3	5	SC_RS20200	SigE family RNA polymerase sigma factor	59	1	1	390180	cda	0.6176470588235294	0.3333333333333333	0.47549019607843135
58	NC_003888.3	3995000	4000000	3997500	1.6581	0.1299	2	152.4	7	SC_RS20225	recombination mediator RecR	272	1	1	395180	cda	0.5980392156862745	0.3333333333333333	0.46568627450980393
59	NC_003888.3	4700000	4705000	4702500	1.6489	0.1306	2	176.9	6	SC_RS23615	extracellular solute-binding protein	196	1	1	811309	act	0.5784313725490197	0.3333333333333333	0.4558823529411765
60	NC_003888.3	5205000	5210000	5207500	1.4279	0.656	3	219.3	5	SC_RS26095	class II aldolase/adducin family protein	264	1	1	306309	act	0.09803921568627451	0.7990196078431373	0.4485294117647059
61	NC_003888.3	4555000	4560000	4557500	1.6343	0.5674	2	155.2	6	SC_RS22900	phosphate ABC transporter substrate-binding protein PstS	229	1	1	955180	cda	0.5637254901960784	0.3333333333333333	0.44852941176470584
62	NC_003888.3	4680000	4685000	4682500	1.6277	0.0779	2	180.9	6	SC_RS23515	zinc-binding dehydrogenase	124	1	1	831309	act	0.5490196078431373	0.3333333333333333	0.4411764705882353
63	NC_003888.3	3890000	3895000	3892500	1.4232	0.3497	3	250.0	8	SC_RS19740	hypothetical protein	246	1	1	290180	cda	0.0784313725490196	0.7990196078431373	0.4387254901960784
64	NC_003888.3	5095000	5100000	5097500	1.627	0.7866	2	145.6	5	SC_RS25510	sensor histidine kinase	328	1	1	416309	act	0.5392156862745098	0.3333333333333333	0.4362745098039216
65	NC_003888.3	3740000	3745000	3742500	1.6141	-0.3579	2	165.3	9	SC_RS19020	hypothetical protein	221	1	1	140180	cda	0.5196078431372549	0.3333333333333333	0.42647058823529416
66	NC_003888.3	3670000	3675000	3672500	1.4145	0.5052	3	239.3	5	SC_RS18705	redox-sensing transcriptional repressor Rex	303	1	1	70180	cda	0.049019607843137254	0.7990196078431373	0.4240196078431373
67	NC_003888.3	3485000	3490000	3487500	1.4048	0.7327	3	241.1	5	SC_RS18030	5-formyltetrahydrofolate cyclo-ligase	362	1	1	31949	cda	0.029411764705882353	0.7990196078431373	0.41421568627450983
68	NC_003888.3	6020000	6025000	6022500	1.5968	0.8189	2	154.8	4	SC_RS29820	agmatine deiminase family protein	279	1	1	410312	red	0.4803921568627451	0.3333333333333333	0.4068627450980392
69	NC_003888.3	4875000	4880000	4877500	1.5931	0.6078	2	175.8	6	SC_RS24440	hypothetical protein	411	1	1	636309	act	0.47058823529411764	0.3333333333333333	0.4019607843137255
70	NC_003888.3	3280000	3285000	3282500	1.5892	0.2975	2	157.4	6	SC_RS17140	response regulator	249	1	1	236949	cda	0.45098039215686275	0.3333333333333333	0.39215686274509803
71	NC_003888.3	3275000	3280000	3277500	1.5811	0.233	2	184.6	4	SC_RS17125	preprotein translocase subunit SecA	798	1	1	241949	cda	0.4411764705882353	0.3333333333333333	0.38725490196078427
72	NC_003888.3	4055000	4060000	4057500	1.5786	0.8598	2	185.4	4	SC_RS20505	FG-GAP repeat domain-containing protein	164	1	1	455180	cda	0.43137254901960786	0.3333333333333333	0.38235294117647056
73	NC_003888.3	5090000	5095000	5092500	1.5763	0.8669	2	129.2	4	SC_RS25490	elongation factor Tu	226	1	1	421309	act	0.4215686274509804	0.3333333333333333	0.37745098039215685
74	NC_003888.3	4870000	4875000	4872500	1.5686	0.7996	2	171.9	6	SC_RS24415	TetR/AcrR family transcriptional regulator	165	1	1	641309	act	0.4117647058823529	0.3333333333333333	0.37254901960784315
75	NC_003888.3	3725000	3730000	3727500	1.5661	0.0232	2	163.0	5	SC_RS18965	M23 family metallopeptidase	938	1	1	125180	cda	0.4019607843137255	0.3333333333333333	0.36764705882352944
76	NC_003888.3	4525000	4530000	4527500	1.5564	-0.4829	2	177.3	4	SC_RS22770	ATP-binding SpoIIE family protein phosphatase	339	1	1	925180	cda	0.38235294117647056	0.3333333333333333	0.3578431372549019
77	NC_003888.3	5155000	5160000	5157500	1.54	0.2108	2	182.9	7	SC_RS25875	helix-turn-helix domain-containing protein	170	1	1	356309	act	0.37254901960784315	0.3333333333333333	0.3529411764705882
78	NC_003888.3	5080000	5085000	5082500	1.5369	0.8316	2	170.4	2	SC_RS25455	DNA-directed RNA polymerase subunit beta'	1093	1	1	431309	act	0.3627450980392157	0.3333333333333333	0.3480392156862745
79	NC_003888.3	6035000	6040000	6037500	1.53	0.7577	2	172.8	4	SC_RS29885	nitrate- and nitrite sensing domain-containing protein	449	1	1	395312	red	0.3431372549019608	0.3333333333333333	0.3382352941176471
80	NC_003888.3	4840000	4845000	4842500	1.5204	0.7322	2	166.5	4	SC_RS24290	hypothetical protein	22	1	1	671309	act	0.30392156862745096	0.3333333333333333	0.31862745098039214
81	NC_003888.3	4810000	4815000	4812500	1.5131	0.3562	2	156.0	5	SC_RS24145	alpha/beta fold hydrolase	11	1	1	701309	act	0.29411764705882354	0.3333333333333333	0.3137254901960784
82	NC_003888.3	3475000	3480000	3477500	1.4892	0.7899	2	177.6	7	SC_RS17970	flavin-containing monooxygenase	615	1	1	41949	cda	0.28431372549019607	0.3333333333333333	0.3088235294117647
83	NC_003888.3	5175000	5180000	5177500	1.4879	0.4572	2	180.2	6	SC_RS25985	MOSC domain-containing protein	90	1	1	336309	act	0.27450980392156865	0.3333333333333333	0.303921568627451
84	NC_003888.3	5185000	5190000	5187500	1.4837	0.2686	2	164.5	4	SC_RS26030	glycerol-3-phosphate dehydrogenase/oxidase	644	1	1	326309	act	0.2647058823529412	0.3333333333333333	0.29901960784313725
85	NC_003888.3	3395000	3400000	3397500	1.4709	0.3389	2	153.3	6	SC_RS17630	SurA N-terminal domain-containing protein	484	1	1	121949	cda	0.24509803921568626	0.3333333333333333	0.2892156862745098
86	NC_003888.3	3665000	3670000	3667500	1.4657	0.5345	2	136.1	5	SC_RS18685	SDR family NAD(P)-dependent oxidoreductase	132	1	1	65180	cda	0.22549019607843138	0.3333333333333333	0.27941176470588236
87	NC_003888.3	5820000	5825000	5822500	1.4643	0.7159	2	190.7	5	SC_RS28950	homoserine dehydrogenase	358	1	1	287409	act	0.21568627450980393	0.3333333333333333	0.27450980392156865
88	NC_003888.3	6040000	6045000	6042500	1.4613	0.7297	2	163.1	3	SC_RS29905	sensor histidine kinase	72	1	1	390312	red	0.20588235294117646	0.3333333333333333	0.2696078431372549
89	NC_003888.3	5815000	5820000	5817500	1.4561	0.7744	2	160.5	8	SC_RS28920	tyrosine-type recombinase/integrase	215	1	1	282409	act	0.1715686274509804	0.3333333333333333	0.25245098039215685
90	NC_003888.3	3760000	3765000	3762500	1.4561	0.6498	2	165.5	4	SC_RS19110	phosphatidylglycerol lysyltransferase domain-containing protein	271	1	1	160180	cda	0.1715686274509804	0.3333333333333333	0.25245098039215685
91	NC_003888.3	3400000	3405000	3402500	1.4557	0.4973	2	164.0	6	SC_RS17650	hypothetical protein	244	1	1	116949	cda	0.1568627450980392	0.3333333333333333	0.24509803921568626
92	NC_003888.3	4730000	4735000	4732500	1.4462	0.1135	2	168.4	4	SC_RS23785	helicase-associated domain-containing protein	871	1	1	781309	act	0.14705882352941177	0.3333333333333333	0.24019607843137253
93	NC_003888.3	4935000	4940000	4937500	1.4358	0.5672	2	163.0	7	SC_RS24730	putative T7SS-secreted protein	61	1	1	576309	act	0.13725490196078433	0.3333333333333333	0.23529411764705882
94	NC_003888.3	5835000	5840000	5837500	1.4339	0.6982	2	175.6	7	SC_RS29015	F0F1 ATP synthase subunit A	343	1	1	302409	act	0.12745098039215685	0.3333333333333333	0.23039215686274508
95	NC_003888.3	4785000	4790000	4787500	1.432	0.7122	2	152.9	7	SC_RS24030	SUKH-4 family immunity protein	33	1	1	726309	act	0.11764705882352941	0.3333333333333333	0.22549019607843135
96	NC_003888.3	3765000	3770000	3767500	1.4317	0.6765	2	148.0	7	SC_RS19140	GTP cyclohydrolase I FolE	158	1	1	165180	cda	0.10784313725490197	0.3333333333333333	0.22058823529411764
97	NC_003888.3	5825000	5830000	5827500	1.4252	0.6964	2	162.7	3	SC_RS28965	transcription termination factor Rho	244	1	1	292409	act	0.08823529411764706	0.3333333333333333	0.2107843137254902
98	NC_003888.3	3255000	3260000	3257500	1.4216	0.5923	2	173.6	7	SC_RS17040	MarR family winged helix-turn-helix transcriptional regulator	131	1	1	261949	cda	0.06862745098039216	0.3333333333333333	0.20098039215686275
99	NC_003888.3	2210000	2215000	2212500	1.4197	0.6562	2	165.4	3	SC_RS12360	DNA polymerase III subunit alpha	906	0	1	1306949	cda	0.058823529411764705	0.3333333333333333	0.19607843137254902
100	NC_003888.3	5560000	5565000	5562500	1.408	0.3879	2	157.5	5	SC_RS27740	ABC transporter ATP-binding protein	563	1	1	27409	act	0.0392156862745098	0.3333333333333333	0.18627450980392157
101	NC_003888.3	2235000	2240000	2237500	1.4017	0.303	2	139.8	5	SC_RS12460	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	224	0	1	1281949	cda	0.014705882352941176	0.3333333333333333	0.17401960784313725
102	NC_003888.3	5210000	5215000	5212500	1.4017	0.6623	2	176.2	6	SC_RS26120	ATP-binding protein	259	1	1	301309	act	0.014705882352941176	0.3333333333333333	0.17401960784313725
