tf_name	tf_sco	tf_rs	bs_start	bs_stop	bs_strand	bs_score	bs_qvalue	target_gene	target_sco	target_tss	distance_to_tss	target_strand	target_product
SigB	SCO0600	SC_RS04925	6659602	6659628	-	18.6224	0.000514	SC_RS32580	SCO6068	6659276	339.0	-	roadblock/LC7 domain-containing protein
SigR	SCO5216	SC_RS28260	1835887	1835911	+	20.0204	0.0021	SC_RS10580	SCO1714	1835573	326.0	-	hypothetical protein
SigR	SCO5216	SC_RS28260	1835887	1835911	+	20.0204	0.0021	SC_RS10585	SCO1715	1835784	115.0	+	homogentisate 1,2-dioxygenase
SigR	SCO5216	SC_RS28260	2130545	2130569	-	20.0204	0.0021	SC_RS11995	SCO1993	2130524	33.0	-	class I SAM-dependent methyltransferase
SigR	SCO5216	SC_RS28260	2130545	2130569	-	20.0204	0.0021	SC_RS12000	SCO1994	2130695	138.0	+	DUF6343 family protein
SigR	SCO5216	SC_RS28260	8095719	8095743	+	20.0204	0.0021	SC_RS38665	SCO7290	8095633	98.0	-	LLM class F420-dependent oxidoreductase
SigR	SCO5216	SC_RS28260	8531589	8531613	-	20.0204	0.0021	SC_RS40660	SCO7695	8532009	408.0	-	VOC family protein
SigR	SCO5216	SC_RS28260	8531589	8531613	-	20.0204	0.0021	SC_RS40665	SCO7696	8532086	485.0	+	MarR family winged helix-turn-helix transcriptional regulator
SigE	SCO5147	SC_RS27900	2332	2356	-	18.0306	0.00252	SC_RS00010	SCP1.02c	2812	468.0	-	DUF932 domain-containing protein
SigE	SCO5147	SC_RS27900	631336	631360	-	18.0306	0.00252	SC_RS04865	SCO0588	630912	436.0	-	sensor histidine kinase
SigE	SCO5147	SC_RS27900	1777780	1777804	+	18.0306	0.00252	SC_RS10305	SCO1659	1777840	48.0	+	MIP/aquaporin family protein
SigE	SCO5147	SC_RS27900	1835887	1835911	+	18.0306	0.00252	SC_RS10580	SCO1714	1835573	326.0	-	hypothetical protein
SigE	SCO5147	SC_RS27900	1835887	1835911	+	18.0306	0.00252	SC_RS10585	SCO1715	1835784	115.0	+	homogentisate 1,2-dioxygenase
SigE	SCO5147	SC_RS27900	2130545	2130569	-	18.0306	0.00252	SC_RS11995	SCO1993	2130524	33.0	-	class I SAM-dependent methyltransferase
SigE	SCO5147	SC_RS27900	2130545	2130569	-	18.0306	0.00252	SC_RS12000	SCO1994	2130695	138.0	+	DUF6343 family protein
SigE	SCO5147	SC_RS27900	5562287	5562311	-	18.0306	0.00252	SC_RS27740	SCO5116	5562491	192.0	+	ABC transporter ATP-binding protein
SigE	SCO5147	SC_RS27900	8095719	8095743	+	18.0306	0.00252	SC_RS38665	SCO7290	8095633	98.0	-	LLM class F420-dependent oxidoreductase
SigE	SCO5147	SC_RS27900	8531589	8531613	-	18.0306	0.00252	SC_RS40660	SCO7695	8532009	408.0	-	VOC family protein
SigE	SCO5147	SC_RS27900	8531589	8531613	-	18.0306	0.00252	SC_RS40665	SCO7696	8532086	485.0	+	MarR family winged helix-turn-helix transcriptional regulator
PhoP	SCO7637	SC_RS40380	4091324	4091341	+	19.3878	0.0276	SC_RS20710	SCO3715	4091245	87.5	-	sigma-70 family RNA polymerase sigma factor
SigB	SCO0600	SC_RS04925	780704	780730	-	18.3367	0.00134	SC_RS05615	SCO0737	780812	95.0	-	SDR family NAD(P)-dependent oxidoreductase
SigB	SCO0600	SC_RS04925	780704	780730	-	18.3367	0.00134	SC_RS05620	SCO0738	780863	146.0	+	hypothetical protein
SigB	SCO0600	SC_RS04925	1504762	1504788	+	18.3367	0.00134	SC_RS09020	SCO1409	1504319	456.0	-	hypothetical protein
SigB	SCO0600	SC_RS04925	1504762	1504788	+	18.3367	0.00134	SC_RS09025	SCO1410	1505123	348.0	-	GntR family transcriptional regulator
SigB	SCO0600	SC_RS04925	1504762	1504788	+	18.3367	0.00134	SC_RS09030	SCO1411	1505261	486.0	+	MFS transporter
SigB	SCO0600	SC_RS04925	1515914	1515940	+	18.3367	0.00134	SC_RS09075	SCO1420	1515752	175.0	+	MFS transporter
SigB	SCO0600	SC_RS04925	1807255	1807281	-	18.3367	0.00134	SC_RS10450	SCO1687	1807505	237.0	+	YidH family protein
SigB	SCO0600	SC_RS04925	3104609	3104635	+	18.3367	0.00134	SC_RS16320	SCO2843	3104376	246.0	-	HAD-IIA family hydrolase
SigB	SCO0600	SC_RS04925	3104609	3104635	+	18.3367	0.00134	SC_RS16325	SCO2845	3104948	326.0	-	GntR family transcriptional regulator
SigB	SCO0600	SC_RS04925	3316990	3317016	+	18.3367	0.00134	SC_RS17275	SCO3032	3316761	242.0	-	DUF5719 family protein
SigB	SCO0600	SC_RS04925	3442671	3442697	-	18.3367	0.00134	SC_RS17830	SCO3144	3442976	292.0	-	helix-turn-helix transcriptional regulator
SigB	SCO0600	SC_RS04925	3661703	3661729	-	18.3367	0.00134	SC_RS18655		3661248	468.0	+	DUF4232 domain-containing protein
SigB	SCO0600	SC_RS04925	4114868	4114894	+	18.3367	0.00134	SC_RS20845	SCO3743	4114399	482.0	+	TIGR04282 family arsenosugar biosynthesis glycosyltransferase
SigB	SCO0600	SC_RS04925	4114868	4114894	+	18.3367	0.00134	SC_RS20850	SCO3744	4115028	147.0	+	class I SAM-dependent methyltransferase
SigB	SCO0600	SC_RS04925	5738368	5738394	+	18.3367	0.00134	SC_RS28560	SCO5275	5738498	117.0	+	FxSxx-COOH system tetratricopeptide repeat protein
SigB	SCO0600	SC_RS04925	6163586	6163612	+	18.3367	0.00134	SC_RS30535	SCO5664	6163511	88.0	+	DUF4190 domain-containing protein
SigB	SCO0600	SC_RS04925	6658025	6658051	+	18.3367	0.00134	SC_RS32570	SCO6066	6658509	471.0	-	GTP-binding protein
SigB	SCO0600	SC_RS04925	7289499	7289525	+	18.3367	0.00134	SC_RS35100	SCO6581	7289998	486.0	-	OFA family MFS transporter
SigB	SCO0600	SC_RS04925	7378703	7378729	+	18.3367	0.00134	SC_RS35405	SCO6643	7378334	382.0	+	GNAT family N-acetyltransferase
SigB	SCO0600	SC_RS04925	7378703	7378729	+	18.3367	0.00134	SC_RS35410	SCO6644	7378997	281.0	+	ABC transporter substrate-binding protein
SigB	SCO0600	SC_RS04925	7457591	7457617	+	18.3367	0.00134	SC_RS35710	SCO6705	7457457	147.0	-	DUF3048 domain-containing protein
SigB	SCO0600	SC_RS04925	7457591	7457617	+	18.3367	0.00134	SC_RS35715	SCO6706	7457668	64.0	+	zinc-dependent alcohol dehydrogenase
SigB	SCO0600	SC_RS04925	7624938	7624964	+	18.3367	0.00134	SC_RS36450	SCO6851	7624633	318.0	-	hypothetical protein
SigB	SCO0600	SC_RS04925	7811819	7811845	-	18.3367	0.00134	SC_RS37350	SCO7025	7812110	278.0	-	LysR family transcriptional regulator
SigB	SCO0600	SC_RS04925	7811819	7811845	-	18.3367	0.00134	SC_RS37355	SCO7026	7812182	350.0	+	tautomerase family protein
SigR	SCO5216	SC_RS28260	3372907	3372931	+	19.7347	0.00719	SC_RS17510	SCO3079	3373160	241.0	+	acetyl-CoA C-acetyltransferase
SigR	SCO5216	SC_RS28260	5334441	5334465	+	19.7347	0.00719	SC_RS26660	SCO4900	5334410	43.0	-	alpha/beta fold hydrolase
SigR	SCO5216	SC_RS28260	5334441	5334465	+	19.7347	0.00719	SC_RS26665	SCO4901	5334546	93.0	+	adenosine deaminase
SigR	SCO5216	SC_RS28260	6414874	6414898	-	19.7347	0.00719	SC_RS31530	SCO5857	6414875	11.0	-	D-arabinono-1,4-lactone oxidase
NdgR	SCO5552	SC_RS29970	297866	297880	+	20.8469	0.0104	SC_RS03430	SCO0302	298108	235.0	-	TetR/AcrR family transcriptional regulator
NdgR	SCO5552	SC_RS29970	297866	297880	+	20.8469	0.0104	SC_RS01560	SCP1.296	297562	311.0	+	hypothetical protein
NdgR	SCO5552	SC_RS29970	297866	297880	+	20.8469	0.0104	SC_RS01565	SCP1.297	298131	258.0	+	DUF6082 family protein
NdgR	SCO5552	SC_RS29970	899865	899879	+	20.8469	0.0104	SC_RS06200	SCO0854	899538	334.0	+	MXAN_6230/SCO0854 family RING domain-containing protein
NdgR	SCO5552	SC_RS29970	1097141	1097155	-	20.8469	0.0104	SC_RS07155	SCO1040	1097206	58.0	-	alpha-ketoglutarate-dependent dioxygenase AlkB family protein
NdgR	SCO5552	SC_RS29970	1097141	1097155	-	20.8469	0.0104	SC_RS07160	SCO1041	1097372	224.0	+	methyltransferase
NdgR	SCO5552	SC_RS29970	1186046	1186060	-	20.8469	0.0104	SC_RS07595	SCO1129	1185686	367.0	+	polysaccharide deacetylase family protein
NdgR	SCO5552	SC_RS29970	1186046	1186060	-	20.8469	0.0104	SC_RS07600	SCO1130	1186491	438.0	+	glycoside hydrolase family 15 protein
NdgR	SCO5552	SC_RS29970	1530102	1530116	-	20.8469	0.0104	SC_RS09145	SCO1434	1529751	358.0	+	AAA family ATPase
NdgR	SCO5552	SC_RS29970	2512144	2512158	-	20.8469	0.0104	SC_RS13740	SCO2342	2511747	404.0	-	hypothetical protein
NdgR	SCO5552	SC_RS29970	2512144	2512158	-	20.8469	0.0104	SC_RS13745	SCO2343	2511913	238.0	+	GNAT family N-acetyltransferase
NdgR	SCO5552	SC_RS29970	4244690	4244704	+	20.8469	0.0104	SC_RS21440	SCO3860	4244573	124.0	+	serine/threonine-protein kinase
NdgR	SCO5552	SC_RS29970	4422844	4422858	-	20.8469	0.0104	SC_RS22245	SCO4025	4422721	130.0	+	TetR/AcrR family transcriptional regulator
NdgR	SCO5552	SC_RS29970	5712656	5712670	-	20.8469	0.0104	SC_RS28435	SCO5251	5712608	55.0	+	GNAT family N-acetyltransferase
NdgR	SCO5552	SC_RS29970	5738666	5738680	-	20.8469	0.0104	SC_RS28560	SCO5275	5738498	175.0	+	FxSxx-COOH system tetratricopeptide repeat protein
PhoP	SCO7637	SC_RS40380	1992734	1992751	+	19.102	0.0276	SC_RS11325	SCO1859	1992416	326.5	+	Rv2231c family pyridoxal phosphate-dependent protein CobC
PhoP	SCO7637	SC_RS40380	3264133	3264150	-	19.102	0.0276	SC_RS17090	SCO2997	3264435	293.5	+	CDP-glycerol glycerophosphotransferase family protein
PhoP	SCO7637	SC_RS40380	3918425	3918442	-	19.102	0.0276	SC_RS19855		3918351	82.5	-	hypothetical protein
PhoP	SCO7637	SC_RS40380	5110331	5110348	-	19.102	0.0276	SC_RS25575	SCO4680	5110819	479.5	-	helix-turn-helix transcriptional regulator
PhoP	SCO7637	SC_RS40380	5162372	5162389	+	19.102	0.0276	SC_RS25905	SCO4749	5162590	209.5	-	hypothetical protein
PhoP	SCO7637	SC_RS40380	5162372	5162389	+	19.102	0.0276	SC_RS25910	SCO4750	5162784	403.5	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
PhoP	SCO7637	SC_RS40380	7702292	7702309	-	19.102	0.0276	SC_RS36890	SCO6936	7701950	350.5	-	hypothetical protein
PhoP	SCO7637	SC_RS40380	7702292	7702309	-	19.102	0.0276	SC_RS36895	SCO6937	7702498	197.5	-	LuxR C-terminal-related transcriptional regulator
AfsQ1	SCO4907	SC_RS26695	714350	714365	+	17.2245	0.0248	SC_RS05290	SCO0674	714181	176.5	-	endo-1,4-beta-xylanase
AfsQ1	SCO4907	SC_RS26695	714350	714365	+	17.2245	0.0248	SC_RS05295	SCO0675	714461	103.5	+	SpoIIE family protein phosphatase
AfsQ1	SCO4907	SC_RS26695	714350	714365	-	17.2245	0.0248	SC_RS05290	SCO0674	714181	176.5	-	endo-1,4-beta-xylanase
AfsQ1	SCO4907	SC_RS26695	714350	714365	-	17.2245	0.0248	SC_RS05295	SCO0675	714461	103.5	+	SpoIIE family protein phosphatase
AfsQ1	SCO4907	SC_RS26695	1146197	1146212	+	17.2245	0.0248	SC_RS07385	SCO1086	1146399	194.5	-	transglutaminase domain-containing protein
AfsQ1	SCO4907	SC_RS26695	1146197	1146212	-	17.2245	0.0248	SC_RS07385	SCO1086	1146399	194.5	-	transglutaminase domain-containing protein
AfsQ1	SCO4907	SC_RS26695	3692892	3692907	+	17.2245	0.0248	SC_RS18795	SCO3335	3693343	443.5	-	GlxA family transcriptional regulator
AfsQ1	SCO4907	SC_RS26695	3692892	3692907	-	17.2245	0.0248	SC_RS18795	SCO3335	3693343	443.5	-	GlxA family transcriptional regulator
AfsQ1	SCO4907	SC_RS26695	4829116	4829131	+	17.2245	0.0248	SC_RS24225	SCO4411	4828773	350.5	+	calcium binding protein CalD
AfsQ1	SCO4907	SC_RS26695	4829116	4829131	-	17.2245	0.0248	SC_RS24225	SCO4411	4828773	350.5	+	calcium binding protein CalD
AfsQ1	SCO4907	SC_RS26695	7334954	7334969	+	17.2245	0.0248	SC_RS35270	SCO6614	7335116	154.5	+	hypothetical protein
AfsQ1	SCO4907	SC_RS26695	7334954	7334969	-	17.2245	0.0248	SC_RS35270	SCO6614	7335116	154.5	+	hypothetical protein
GlnR	SCO4159	SC_RS22985	104502	104517	-	17.2245	0.0237	SC_RS00575	SCP1.107	104552	42.5	+	hypothetical protein
GlnR	SCO4159	SC_RS22985	507566	507581	-	17.2245	0.0237	SC_RS04360	SCO0488	507451	122.5	+	glycoside hydrolase family 78 protein
GlnR	SCO4159	SC_RS22985	2573859	2573874	+	17.2245	0.0237	SC_RS14045	SCO2402	2573567	299.5	+	zinc-dependent alcohol dehydrogenase
GlnR	SCO4159	SC_RS22985	3443172	3443187	+	17.2245	0.0237	SC_RS17830	SCO3144	3442976	203.5	-	helix-turn-helix transcriptional regulator
GlnR	SCO4159	SC_RS22985	3819728	3819743	-	17.2245	0.0237	SC_RS19420	SCO3459	3819297	438.5	-	methyltransferase domain-containing protein
GlnR	SCO4159	SC_RS22985	3819728	3819743	-	17.2245	0.0237	SC_RS19425	SCO3460	3819523	212.5	+	dihydrolipoyl dehydrogenase family protein
GlnR	SCO4159	SC_RS22985	4576721	4576736	+	17.2245	0.0237	SC_RS22985	SCO4159	4576980	251.5	-	two-component system response regulator GlnR
GlnR	SCO4159	SC_RS22985	4576721	4576736	+	17.2245	0.0237	SC_RS22990	SCO4160	4577199	470.5	+	alpha/beta hydrolase
GlnR	SCO4159	SC_RS22985	5293171	5293186	+	17.2245	0.0237	SC_RS26485	SCO4865	5293095	83.5	+	hypothetical protein
GlnR	SCO4159	SC_RS22985	5788074	5788089	+	17.2245	0.0237	SC_RS28765	SCO5317	5788219	137.5	-	ketosynthase chain-length factor
SigE	SCO5147	SC_RS27900	48025	48049	-	17.7449	0.0089	SC_RS02320	SCO0061	47734	303.0	-	glycoside hydrolase family 125 protein
SigE	SCO5147	SC_RS27900	48025	48049	-	17.7449	0.0089	SC_RS00240		47966	71.0	-	hypothetical protein
SigE	SCO5147	SC_RS27900	1552817	1552841	+	17.7449	0.0089	SC_RS09245	SCO1454	1552783	46.0	-	flavin monoamine oxidase family protein
SigE	SCO5147	SC_RS27900	3372907	3372931	+	17.7449	0.0089	SC_RS17510	SCO3079	3373160	241.0	+	acetyl-CoA C-acetyltransferase
SigE	SCO5147	SC_RS27900	3469836	3469860	+	17.7449	0.0089	SC_RS17940	SCO3166	3469459	389.0	-	MMPL family transporter
SigE	SCO5147	SC_RS27900	3469836	3469860	+	17.7449	0.0089	SC_RS17945	SCO3167	3470205	357.0	-	TetR/AcrR family transcriptional regulator
SigE	SCO5147	SC_RS27900	5334441	5334465	+	17.7449	0.0089	SC_RS26660	SCO4900	5334410	43.0	-	alpha/beta fold hydrolase
SigE	SCO5147	SC_RS27900	5334441	5334465	+	17.7449	0.0089	SC_RS26665	SCO4901	5334546	93.0	+	adenosine deaminase
SigE	SCO5147	SC_RS27900	5737182	5737206	-	17.7449	0.0089	SC_RS28555	SCO5274	5736744	450.0	+	aKG-HExxH-type peptide beta-hydroxylase
SigE	SCO5147	SC_RS27900	6414874	6414898	-	17.7449	0.0089	SC_RS31530	SCO5857	6414875	11.0	-	D-arabinono-1,4-lactone oxidase
SigE	SCO5147	SC_RS27900	7221296	7221320	-	17.7449	0.0089	SC_RS34845	SCO6530	7221367	59.0	+	vWA domain-containing protein
SigB	SCO0600	SC_RS04925	248542	248568	-	18.051	0.00431	SC_RS01295	SCP1.244	248259	296.0	+	acyl-CoA dehydrogenase family protein
SigB	SCO0600	SC_RS04925	248542	248568	-	18.051	0.00431	SC_RS03215	SCO0259	248677	122.0	+	NAD(P)-dependent alcohol dehydrogenase
SigB	SCO0600	SC_RS04925	749136	749162	-	18.051	0.00431	SC_RS05465	SCO0708	749279	130.0	-	branched-chain amino acid ABC transporter permease
SigB	SCO0600	SC_RS04925	1496835	1496861	+	18.051	0.00431	SC_RS09005	SCO1406	1496950	102.0	-	hypothetical protein
SigB	SCO0600	SC_RS04925	2284564	2284590	+	18.051	0.00431	SC_RS12665	SCO2124	2284435	142.0	+	hypothetical protein
SigB	SCO0600	SC_RS04925	3114362	3114388	-	18.051	0.00431	SC_RS16380	SCO2856	3114765	390.0	+	SRPBCC family protein
SigB	SCO0600	SC_RS04925	3822498	3822524	+	18.051	0.00431	SC_RS19440	SCO3463	3822850	339.0	+	MTAP family purine nucleoside phosphorylase
SigB	SCO0600	SC_RS04925	4562614	4562640	+	18.051	0.00431	SC_RS22915	SCO4145	4562205	422.0	-	RNA degradosome polyphosphate kinase
SigB	SCO0600	SC_RS04925	4562658	4562684	+	18.051	0.00431	SC_RS22915	SCO4145	4562205	466.0	-	RNA degradosome polyphosphate kinase
SigB	SCO0600	SC_RS04925	4562658	4562684	+	18.051	0.00431	SC_RS22920	SCO4146	4563131	460.0	+	RNA polymerase sigma factor
SigB	SCO0600	SC_RS04925	4562702	4562728	+	18.051	0.00431	SC_RS22920	SCO4146	4563131	416.0	+	RNA polymerase sigma factor
SigB	SCO0600	SC_RS04925	4562746	4562772	+	18.051	0.00431	SC_RS22920	SCO4146	4563131	372.0	+	RNA polymerase sigma factor
SigB	SCO0600	SC_RS04925	4562790	4562816	+	18.051	0.00431	SC_RS22920	SCO4146	4563131	328.0	+	RNA polymerase sigma factor
SigB	SCO0600	SC_RS04925	4885703	4885729	+	18.051	0.00431	SC_RS24495	SCO4466	4886016	300.0	-	hypothetical protein
SigB	SCO0600	SC_RS04925	5724549	5724575	+	18.051	0.00431	SC_RS28505	SCO5264	5724715	153.0	-	PadR family transcriptional regulator
SigB	SCO0600	SC_RS04925	7454818	7454844	+	18.051	0.00431	SC_RS35690	SCO6701	7454358	473.0	-	thiolase family protein
SigB	SCO0600	SC_RS04925	7454818	7454844	+	18.051	0.00431	SC_RS35695	SCO6702	7455008	177.0	-	CoA transferase subunit B
SigB	SCO0600	SC_RS04925	7964790	7964816	+	18.051	0.00431	SC_RS38060	SCO7167	7964647	156.0	-	ABC transporter substrate-binding protein
SigB	SCO0600	SC_RS04925	7964790	7964816	+	18.051	0.00431	SC_RS38065	SCO7168	7964783	20.0	+	GntR family transcriptional regulator
SigB	SCO0600	SC_RS04925	8301656	8301682	-	18.051	0.00431	SC_RS39645	SCO7489	8301216	453.0	-	ABC transporter substrate-binding protein
SigB	SCO0600	SC_RS04925	8301656	8301682	-	18.051	0.00431	SC_RS39650	SCO7490	8301441	228.0	+	zinc-dependent alcohol dehydrogenase
SigR	SCO5216	SC_RS28260	12173	12197	+	19.449	0.0177	SC_RS01930	SCP2.13c	11840	345.0	-	TIGR02391 family protein
SigR	SCO5216	SC_RS28260	12173	12197	+	19.449	0.0177	SC_RS00075	SCP1.15	11690	495.0	+	hypothetical protein
SigR	SCO5216	SC_RS28260	12173	12197	+	19.449	0.0177	SC_RS01935		12053	132.0	+	hypothetical protein
SigR	SCO5216	SC_RS28260	12173	12197	+	19.449	0.0177	SC_RS01940		12434	249.0	-	hypothetical protein
SigR	SCO5216	SC_RS28260	12173	12197	+	19.449	0.0177	SC_RS02110	SCO0010	12366	181.0	+	hypothetical protein
SigR	SCO5216	SC_RS28260	2252004	2252028	+	19.449	0.0177	SC_RS12520	SCO2096	2252308	292.0	+	transglutaminase TgpA family protein
SigR	SCO5216	SC_RS28260	3838078	3838102	+	19.449	0.0177	SC_RS19505	SCO3476	3837968	122.0	-	SDR family oxidoreductase
SigR	SCO5216	SC_RS28260	4249178	4249202	+	19.449	0.0177	SC_RS21460	SCO3864	4248804	386.0	+	GntR family transcriptional regulator
SigR	SCO5216	SC_RS28260	4249178	4249202	+	19.449	0.0177	SC_RS21465	SCO3865	4249601	411.0	+	glycosyltransferase family 2 protein
SigR	SCO5216	SC_RS28260	6975942	6975966	+	19.449	0.0177	SC_RS33815	SCO6318	6976401	447.0	-	TerD family protein
SigR	SCO5216	SC_RS28260	7309873	7309897	+	19.449	0.0177	SC_RS35165	SCO6593	7310059	174.0	-	hypothetical protein
SigR	SCO5216	SC_RS28260	7507111	7507135	+	19.449	0.0177	SC_RS35935	SCO6750	7506901	222.0	-	isopentenyl-diphosphate Delta-isomerase
SigR	SCO5216	SC_RS28260	7507113	7507137	-	19.449	0.0177	SC_RS35935	SCO6750	7506901	224.0	-	isopentenyl-diphosphate Delta-isomerase
SigR	SCO5216	SC_RS28260	8655311	8655335	-	19.449	0.0177	SC_RS41325	SCO7837	8655142	181.0	-	hypothetical protein
NdgR	SCO5552	SC_RS29970	56525	56539	-	20.5612	0.031	SC_RS00290	SCP1.54c	56593	61.0	-	acetylating acetaldehyde dehydrogenase
NdgR	SCO5552	SC_RS29970	56525	56539	-	20.5612	0.031	SC_RS02360	SCO0069	56225	307.0	+	glycoside hydrolase family 38 N-terminal domain-containing protein
NdgR	SCO5552	SC_RS29970	300344	300358	+	20.5612	0.031	SC_RS01580	SCP1.301	300309	42.0	+	4-hydroxy-2-oxovalerate aldolase
NdgR	SCO5552	SC_RS29970	528727	528741	-	20.5612	0.031	SC_RS04395	SCO0495	528752	18.0	-	ABC transporter ATP-binding protein
NdgR	SCO5552	SC_RS29970	542308	542322	-	20.5612	0.031	SC_RS04450	SCO0506	542269	46.0	+	ammonia-dependent NAD(+) synthetase
NdgR	SCO5552	SC_RS29970	3171931	3171945	+	20.5612	0.031	SC_RS16700	SCO2920	3171684	254.0	-	immune inhibitor A domain-containing protein
NdgR	SCO5552	SC_RS29970	3171931	3171945	+	20.5612	0.031	SC_RS16705	SCO2921	3172118	180.0	+	hypothetical protein
NdgR	SCO5552	SC_RS29970	3623808	3623822	+	20.5612	0.031	SC_RS18510	SCO3280	3623867	52.0	+	DUF4396 domain-containing protein
NdgR	SCO5552	SC_RS29970	3991872	3991886	+	20.5612	0.031	SC_RS20195	SCO3612	3992276	397.0	-	hypothetical protein
NdgR	SCO5552	SC_RS29970	4577095	4577109	-	20.5612	0.031	SC_RS22985	SCO4159	4576980	122.0	-	two-component system response regulator GlnR
NdgR	SCO5552	SC_RS29970	4577095	4577109	-	20.5612	0.031	SC_RS22990	SCO4160	4577199	97.0	+	alpha/beta hydrolase
NdgR	SCO5552	SC_RS29970	5328529	5328543	+	20.5612	0.031	SC_RS26630		5328139	397.0	+	STAS domain-containing protein
NdgR	SCO5552	SC_RS29970	5713670	5713684	-	20.5612	0.031	SC_RS28440	SCO5252	5713322	355.0	+	dihydrofolate reductase family protein
NdgR	SCO5552	SC_RS29970	5713670	5713684	-	20.5612	0.031	SC_RS28445	SCO5253	5713933	256.0	+	hypothetical protein
NdgR	SCO5552	SC_RS29970	6153556	6153570	+	20.5612	0.031	SC_RS30480	SCO5653	6153109	454.0	-	hypothetical protein
NdgR	SCO5552	SC_RS29970	6153556	6153570	+	20.5612	0.031	SC_RS30485	SCO5654	6153867	304.0	-	ABC transporter ATP-binding protein
NdgR	SCO5552	SC_RS29970	7201597	7201611	+	20.5612	0.031	SC_RS34750	SCO6511	7201941	337.0	-	bifunctional phosphatase PAP2/diacylglycerol kinase family protein
NdgR	SCO5552	SC_RS29970	7201597	7201611	+	20.5612	0.031	SC_RS34755	SCO6512	7202065	461.0	+	ABC-F family ATP-binding cassette domain-containing protein
NdgR	SCO5552	SC_RS29970	7973313	7973327	-	20.5612	0.031	SC_RS38095	SCO7175	7972971	349.0	+	SsgA family sporulation/cell division regulator
NdgR	SCO5552	SC_RS29970	8315500	8315514	+	20.5612	0.031	SC_RS39710	SCO7502	8315715	208.0	-	LacI family DNA-binding transcriptional regulator
NdgR	SCO5552	SC_RS29970	8315500	8315514	+	20.5612	0.031	SC_RS39715	SCO7503	8315870	363.0	+	extracellular solute-binding protein
SigE	SCO5147	SC_RS27900	12173	12197	+	17.4592	0.0208	SC_RS01930	SCP2.13c	11840	345.0	-	TIGR02391 family protein
