regulator_name	regulator_sco	regulator_type	target_gene	target_sco	target_type	distance_to_tss	bs_score	bs_qvalue
SigB	SCO0600	FIMO_characterized	SC_RS17795	SCO3134	exposed_regulator	290.0	8.54082	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS33745	SCO6299	exposed_regulator	236.0	8.54082	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS37675	SCO7089	exposed_regulator	211.0	8.54082	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS38785	SCO7314	exposed_regulator	78.0	8.54082	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS02455	SCO0089	exposed_regulator	340.0	8.2551	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS10435	SCO1684	exposed_regulator	436.0	8.2551	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS22135	SCO4005	exposed_regulator	173.0	8.2551	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS35610	SCO6685	exposed_regulator	78.0	8.2551	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS37675	SCO7089	exposed_regulator	498.0	8.2551	0.0361
AbrC3	SCO4596	FIMO_characterized	SC_RS02455	SCO0089	exposed_regulator	87.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS04270	SCO0471	exposed_regulator	159.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS06045	SCO0823	exposed_regulator	135.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS06310	SCO0877	exposed_regulator	347.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS07215	SCO1052	exposed_regulator	281.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS07750	SCO1160	exposed_regulator	148.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS11515	SCO1897	exposed_regulator	275.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS22980	SCO4158	exposed_regulator	119.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS26855	SCO4938	exposed_regulator	402.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	305.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS29355	SCO5434	exposed_regulator	462.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS31385	SCO5828	exposed_regulator	453.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS38785	SCO7314	exposed_regulator	145.5	15.5714	0.0439
AbrC3	SCO4596	FIMO_characterized	SC_RS39850	SCO7530	exposed_regulator	33.5	15.5714	0.0439
SigB	SCO0600	FIMO_characterized	SC_RS02455	SCO0089	exposed_regulator	368.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS05485	SCO0712	exposed_regulator	34.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS06310	SCO0877	exposed_regulator	94.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS06430	SCO0897	exposed_regulator	1.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS07750	SCO1160	exposed_regulator	244.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS22980	SCO4158	exposed_regulator	30.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS24635	SCO4495	exposed_regulator	0.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS27105	SCO4989	exposed_regulator	486.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS27300	SCO5027	exposed_regulator	142.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	329.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS32025	SCO5956	exposed_regulator	158.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS33895	SCO6334	exposed_regulator	476.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS37675	SCO7089	exposed_regulator	428.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS38610	SCO7279	exposed_regulator	27.0	7.96939	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS06310	SCO0877	exposed_regulator	446.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS07000	SCO1008	exposed_regulator	39.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS10435	SCO1684	exposed_regulator	448.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS16855	SCO2950	exposed_regulator	192.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS22135	SCO4005	exposed_regulator	113.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS22135	SCO4005	exposed_regulator	14.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS24635	SCO4495	exposed_regulator	15.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS29350	SCO5433	exposed_regulator	473.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS37675	SCO7089	exposed_regulator	244.0	7.68367	0.0473
SigB	SCO0600	FIMO_characterized	SC_RS38610	SCO7279	exposed_regulator	367.0	7.68367	0.0473
GlnR	SCO4159	FIMO_characterized	SC_RS22985	SCO4159	FIMO_TF_GlnR	251.5	17.2245	0.0237
NdgR	SCO5552	FIMO_characterized	SC_RS22985	SCO4159	FIMO_TF_GlnR	122.0	20.5612	0.031
SigR	SCO5216	FIMO_characterized	SC_RS25135	SCO4596	FIMO_TF_AbrC3	246.0	10.5102	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS22985	SCO4159	FIMO_TF_GlnR	242.0	9.93878	0.0427
SigR	SCO5216	FIMO_characterized	SC_RS27900	SCO5147	FIMO_TF_SigE	332.0	9.65306	0.0427
SigB	SCO0600	FIMO_characterized	SC_RS04925	SCO0600	FIMO_TF_SigB	406.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS28260	SCO5216	FIMO_TF_SigR	57.0	8.82653	0.0361
SigB	SCO0600	FIMO_characterized	SC_RS22985	SCO4159	FIMO_TF_GlnR	182.0	8.2551	0.0361
AbrC3	SCO4596	FIMO_characterized	SC_RS40380	SCO7637	FIMO_TF_PhoP	237.5	15.5714	0.0439
SigB	SCO0600	FIMO_characterized	SC_RS25135	SCO4596	FIMO_TF_AbrC3	146.0	7.68367	0.0473
