GeneName1,GeneName2,Probability,Number genomes pair conserved
SCO1632,SCO1633,100,22
SCO1643,SCO1644,96,10
SCO1646,SCO1647,100,15
SCO1659,SCO1660,95,77
SCO1660,SCO1661,100,48
SCO1689,SCO1690,100,13
SCO1759,SCO1760,100,14
SCO1768,SCO1769,100,63
SCO1769,SCO1770,100,82
SCO1775,SCO1776,100,15
SCO1780,SCO1781,100,86
SCO1781,SCO1782,100,23
SCO1796,SCO1797,100,38
SCO1822,SCO1823,98,12
SCO1847,SCO1848,100,37
SCO1849,SCO1850,97,11
SCO1850,SCO1851,98,12
SCO1851,SCO1852,100,37
SCO1852,SCO1853,100,19
SCO1855,SCO1856,100,44
SCO1856,SCO1857,100,45
SCO1857,SCO1858,97,11
SCO1864,SCO1865,100,13
SCO1865,SCO1866,100,13
SCO1888,SCO1889,96,10
SCO1922,SCO1923,100,14
SCO1923,SCO1924,100,16
SCO1925,SCO1926,100,13
SCO1928,SCO1929,100,88
SCO1929,SCO1930,100,15
SCO1935,SCO1936,100,34
SCO1936,SCO1937,100,22
SCO1937,SCO1938,100,19
SCO1938,SCO1939,100,17
SCO1944,SCO1945,97,11
SCO1946,SCO1947,100,115
SCO1950,SCO1951,95,54
SCO1951,SCO1952,100,60
SCO1952,SCO1953,100,23
SCO2008,SCO2009,100,96
SCO2009,SCO2010,100,71
SCO2010,SCO2011,100,119
SCO2016,SCO2017,100,15
SCO2025,SCO2026,100,102
SCO2032,SCO2033,100,14
SCO2036,SCO2037,100,135
SCO2050,SCO2051,100,139
SCO2051,SCO2052,100,123
SCO2052,SCO2053,100,106
SCO2053,SCO2054,100,99
SCO2074,SCO2075,100,17
SCO2077,SCO2078,98,12
SCO2078,SCO2079,100,13
SCO2079,SCO2080,100,47
SCO2080,SCO2081,100,24
SCO2081,SCO2082,100,24
SCO2082,SCO2083,98,12
SCO2083,SCO2084,100,14
SCO2084,SCO2085,100,123
SCO2085,SCO2086,100,156
SCO2086,SCO2087,100,134
SCO2090,SCO2091,98,12
SCO2091,SCO2092,97,11
SCO2094,SCO2095,100,22
SCO2095,SCO2096,96,10
SCO2108,SCO2109,100,30
SCO2148,SCO2149,100,20
SCO2149,SCO2150,100,17
SCO2150,SCO2151,100,15
SCO2155,SCO2156,100,87
SCO2215,SCO2216,100,81
SCO2235,SCO2236,100,26
SCO2275,SCO2276,100,25
SCO2276,SCO2277,100,32
SCO2293,SCO2294,96,10
SCO2300,SCO2301,100,16
SCO2305,SCO2306,100,44
SCO2306,SCO2307,100,18
SCO2358,SCO2359,95,77
SCO2362,SCO2363,100,14
SCO2387,SCO2388,100,96
SCO2389,SCO2390,100,108
SCO2421,SCO2422,100,101
SCO2487,SCO2488,100,35
SCO2505,SCO2506,100,104
SCO2506,SCO2507,100,138
SCO2507,SCO2508,100,30
SCO2509,SCO2510,100,16
SCO2532,SCO2533,100,120
SCO2542,SCO2543,100,13
SCO2554,SCO2555,100,50
SCO2567,SCO2568,100,42
SCO2576,SCO2577,100,25
SCO2596,SCO2597,100,169
SCO2607,SCO2608,100,130
SCO2617,SCO2618,100,127
SCO2619,SCO2620,100,118
SCO2663,SCO2664,100,13
SCO2666,SCO2667,100,22
SCO2687,SCO2688,100,60
SCO2710,SCO2711,100,13
SCO2750,SCO2751,97,11
SCO2782,SCO2783,100,14
SCO2783,SCO2784,100,22
SCO2784,SCO2785,100,22
SCO2800,SCO2801,95,54
SCO2828,SCO2829,100,66
SCO2829,SCO2830,100,40
SCO2880,SCO2881,96,10
SCO2881,SCO2882,96,10
SCO2894,SCO2895,100,24
SCO2895,SCO2896,100,23
SCO2915,SCO2916,100,14
SCO2930,SCO2931,100,104
SCO2968,SCO2969,100,93
SCO2978,SCO2979,100,44
SCO2995,SCO2996,100,97
SCO3009,SCO3010,96,10
SCO3018,SCO3019,100,61
SCO3025,SCO3026,96,10
SCO3036,SCO3037,97,11
SCO3041,SCO3042,100,13
SCO3070,SCO3071,96,10
SCO3093,SCO3094,100,18
SCO3094,SCO3095,100,20
SCO3095,SCO3096,100,14
SCO3123,SCO3124,100,49
SCO3124,SCO3125,100,82
SCO3148,SCO3149,100,47
SCO3159,SCO3160,100,30
SCO3160,SCO3161,100,52
SCO3179,SCO3180,100,44
SCO3180,SCO3181,100,35
SCO3181,SCO3182,100,15
SCO3196,SCO3197,100,83
SCO3197,SCO3198,100,50
SCO3211,SCO3212,100,120
SCO3295,SCO3296,100,22
SCO3317,SCO3318,100,39
SCO3318,SCO3319,100,52
SCO3325,SCO3326,100,13
SCO3338,SCO3339,100,87
SCO3347,SCO3348,96,10
SCO3351,SCO3352,100,20
SCO3381,SCO3382,95,54
SCO3400,SCO3401,100,63
SCO3401,SCO3402,100,16
SCO3405,SCO3406,95,54
SCO3429,SCO3430,100,17
SCO3453,SCO3454,100,74
SCO3454,SCO3455,100,66
SCO3473,SCO3474,100,33
SCO3494,SCO3495,100,26
SCO3554,SCO3555,100,14
SCO3555,SCO3556,100,20
SCO3556,SCO3557,100,15
SCO3565,SCO3566,100,13
SCO3568,SCO3569,100,13
SCO3575,SCO3576,96,10
SCO3618,SCO3619,100,117
SCO3645,SCO3646,100,14
SCO3668,SCO3669,100,24
SCO3669,SCO3670,100,91
SCO3691,SCO3692,96,10
SCO3698,SCO3699,97,11
SCO3716,SCO3717,95,77
SCO3717,SCO3718,95,77
SCO3815,SCO3816,100,111
SCO3816,SCO3817,100,127
SCO3827,SCO3828,100,18
SCO3829,SCO3830,100,113
SCO3843,SCO3844,100,17
SCO3844,SCO3845,100,20
SCO3845,SCO3846,100,19
SCO3846,SCO3847,100,131
SCO3872,SCO3873,100,20
SCO3873,SCO3874,100,127
SCO3874,SCO3875,100,19
SCO3875,SCO3876,100,17
SCO3880,SCO3881,100,39
SCO3881,SCO3882,100,25
SCO3882,SCO3883,100,67
SCO3883,SCO3884,100,59
SCO3884,SCO3885,100,27
SCO3887,SCO3888,100,16
SCO3894,SCO3895,100,16
SCO3906,SCO3907,100,71
SCO3907,SCO3908,100,73
SCO3908,SCO3909,100,112
SCO3945,SCO3946,100,125
SCO3946,SCO3947,100,34
SCO3965,SCO3966,98,12
SCO4077,SCO4078,100,68
SCO4078,SCO4079,100,39
SCO4086,SCO4087,100,53
SCO4137,SCO4138,100,34
SCO4139,SCO4140,100,173
SCO4141,SCO4142,100,95
SCO4232,SCO4233,100,20
SCO4234,SCO4235,100,21
SCO4235,SCO4236,100,64
SCO4284,SCO4285,100,37
SCO4307,SCO4308,100,19
SCO4379,SCO4380,98,12
SCO4380,SCO4381,100,79
SCO4452,SCO4453,100,19
SCO4469,SCO4470,96,10
SCO4472,SCO4473,100,36
SCO4473,SCO4474,100,18
SCO4474,SCO4475,100,31
SCO4490,SCO4491,96,10
SCO4491,SCO4492,100,16
SCO4562,SCO4563,100,125
SCO4563,SCO4564,100,125
SCO4564,SCO4565,100,83
SCO4565,SCO4566,100,87
SCO4566,SCO4567,100,100
SCO4567,SCO4568,100,98
SCO4568,SCO4569,100,94
SCO4569,SCO4570,100,133
SCO4570,SCO4571,100,110
SCO4571,SCO4572,100,126
SCO4594,SCO4595,100,72
SCO4596,SCO4597,100,67
SCO4599,SCO4600,100,124
SCO4602,SCO4603,100,125
SCO4603,SCO4604,100,112
SCO4604,SCO4605,100,127
SCO4607,SCO4608,100,16
SCO4636,SCO4637,100,18
SCO4646,SCO4647,100,19
SCO4647,SCO4648,100,157
SCO4648,SCO4649,100,196
SCO4652,SCO4653,100,159
SCO4653,SCO4654,100,116
SCO4659,SCO4660,100,210
SCO4667,SCO4668,100,74
SCO4701,SCO4702,100,165
SCO4702,SCO4703,100,196
SCO4703,SCO4704,100,179
SCO4704,SCO4705,100,185
SCO4705,SCO4706,100,210
SCO4706,SCO4707,100,201
SCO4707,SCO4708,100,206
SCO4708,SCO4709,100,194
SCO4709,SCO4710,100,128
SCO4710,SCO4711,100,127
SCO4711,SCO4712,100,193
SCO4712,SCO4713,100,187
SCO4713,SCO4714,100,198
SCO4714,SCO4715,100,165
SCO4715,SCO4716,100,160
SCO4716,SCO4717,100,213
SCO4717,SCO4718,100,198
SCO4718,SCO4719,100,205
SCO4719,SCO4720,100,101
SCO4720,SCO4721,100,110
SCO4721,SCO4722,100,191
SCO4724,SCO4725,100,40
SCO4725,SCO4726,100,88
SCO4726,SCO4727,100,131
SCO4727,SCO4728,100,224
SCO4728,SCO4729,100,205
SCO4729,SCO4730,100,190
SCO4730,SCO4731,100,61
SCO4734,SCO4735,100,206
SCO4735,SCO4736,100,14
SCO4750,SCO4751,100,71
SCO4751,SCO4752,100,37
SCO4756,SCO4757,100,19
SCO4761,SCO4762,100,162
SCO4803,SCO4804,100,14
SCO4804,SCO4805,100,13
SCO4808,SCO4809,100,125
SCO4813,SCO4814,100,45
SCO4841,SCO4842,100,23
SCO4843,SCO4844,100,14
SCO4855,SCO4856,100,151
SCO4856,SCO4857,100,13
SCO4857,SCO4858,97,11
SCO4880,SCO4881,100,28
SCO4888,SCO4889,100,21
SCO4889,SCO4890,100,36
SCO4916,SCO4917,100,15
SCO4947,SCO4948,100,82
SCO4948,SCO4949,100,43
SCO4949,SCO4950,100,43
SCO4971,SCO4972,100,70
SCO4972,SCO4973,100,30
SCO5010,SCO5011,100,24
SCO5031,SCO5032,100,21
SCO5050,SCO5051,97,11
SCO5055,SCO5056,100,20
SCO5106,SCO5107,100,151
SCO5110,SCO5111,100,16
SCO5112,SCO5113,100,85
SCO5113,SCO5114,100,37
SCO5129,SCO5130,100,37
SCO5130,SCO5131,100,19
SCO5135,SCO5136,100,13
SCO5152,SCO5153,98,12
SCO5153,SCO5154,100,13
SCO5211,SCO5212,98,12
SCO5225,SCO5226,100,97
SCO5232,SCO5233,100,86
SCO5240,SCO5241,96,10
SCO5290,SCO5291,96,10
SCO5291,SCO5292,96,10
SCO5301,SCO5302,100,133
SCO5352,SCO5353,98,12
SCO5353,SCO5354,96,10
SCO5359,SCO5360,100,40
SCO5361,SCO5362,100,57
SCO5364,SCO5365,97,11
SCO5367,SCO5368,100,48
SCO5368,SCO5369,100,69
SCO5369,SCO5370,100,87
SCO5370,SCO5371,100,107
SCO5371,SCO5372,100,135
SCO5440,SCO5441,100,19
SCO5448,SCO5449,100,18
SCO5470,SCO5471,98,12
SCO5493,SCO5494,96,10
SCO5498,SCO5499,100,84
SCO5513,SCO5514,100,68
SCO5525,SCO5526,100,67
SCO5553,SCO5554,100,131
SCO5558,SCO5559,96,10
SCO5559,SCO5560,100,20
SCO5565,SCO5566,100,33
SCO5566,SCO5567,100,13
SCO5567,SCO5568,96,76
SCO5568,SCO5569,100,13
SCO5569,SCO5570,100,18
SCO5570,SCO5571,97,11
SCO5571,SCO5572,96,10
SCO5572,SCO5573,100,16
SCO5585,SCO5586,100,13
SCO5591,SCO5592,100,43
SCO5592,SCO5593,100,40
SCO5593,SCO5594,100,135
SCO5594,SCO5595,100,131
SCO5595,SCO5596,100,20
SCO5601,SCO5602,100,14
SCO5602,SCO5603,100,21
SCO5603,SCO5604,100,23
SCO5624,SCO5625,100,170
SCO5625,SCO5626,100,108
SCO5626,SCO5627,100,163
SCO5627,SCO5628,100,121
SCO5669,SCO5670,100,131
SCO5670,SCO5671,100,18
SCO5687,SCO5688,100,87
SCO5688,SCO5689,96,10
SCO5694,SCO5695,100,118
SCO5695,SCO5696,100,26
SCO5696,SCO5697,96,10
SCO5703,SCO5704,100,104
SCO5704,SCO5705,100,30
SCO5708,SCO5709,100,115
SCO5712,SCO5713,100,98
SCO5739,SCO5740,96,10
SCO5744,SCO5745,100,41
SCO5752,SCO5753,100,20
SCO5753,SCO5754,100,23
SCO5754,SCO5755,97,11
SCO5758,SCO5759,100,20
SCO5760,SCO5761,97,11
SCO5762,SCO5763,100,13
SCO5769,SCO5770,100,25
SCO5771,SCO5772,96,10
SCO5774,SCO5775,100,29
SCO5775,SCO5776,100,99
SCO5782,SCO5783,100,13
SCO5800,SCO5801,100,16
SCO5828,SCO5829,100,59
SCO5848,SCO5849,97,11
SCO5868,SCO5869,100,20
SCO5900,SCO5901,96,10
SCO5958,SCO5959,100,35
SCO5959,SCO5960,100,26
SCO5960,SCO5961,100,23
SCO5975,SCO5976,100,48
SCO6010,SCO6011,100,92
SCO6062,SCO6063,100,123
SCO6081,SCO6082,100,33
SCO6094,SCO6095,100,131
SCO6095,SCO6096,100,82
SCO6097,SCO6098,100,71
SCO6098,SCO6099,95,54
SCO6099,SCO6100,100,14
SCO6133,SCO6134,100,20
SCO6150,SCO6151,100,24
SCO6170,SCO6171,100,44
SCO6171,SCO6172,100,72
SCO6205,SCO6206,100,32
SCO6262,SCO6263,100,21
SCO6269,SCO6270,100,72
SCO6290,SCO6291,100,19
SCO6292,SCO6293,100,15
SCO6297,SCO6298,100,27
SCO6303,SCO6304,97,11
SCO6337,SCO6338,100,33
SCO6353,SCO6354,100,57
SCO6358,SCO6359,100,13
SCO6393,SCO6394,100,36
SCO6441,SCO6442,96,10
SCO6452,SCO6453,100,136
SCO6453,SCO6454,100,89
SCO6454,SCO6455,100,75
SCO6461,SCO6462,100,25
SCO6467,SCO6468,100,39
SCO6470,SCO6471,100,26
SCO6532,SCO6533,100,43
SCO6533,SCO6534,100,43
SCO6534,SCO6535,100,73
SCO6558,SCO6559,100,20
SCO6559,SCO6560,100,96
SCO6585,SCO6586,100,125
SCO6644,SCO6645,100,64
SCO6660,SCO6661,100,15
SCO6661,SCO6662,100,19
SCO6662,SCO6663,100,26
SCO6672,SCO6673,100,18
SCO6683,SCO6684,96,10
SCO6698,SCO6699,100,17
SCO6702,SCO6703,100,74
SCO6757,SCO6758,100,81
SCO6789,SCO6790,100,15
SCO6794,SCO6795,96,10
SCO6795,SCO6796,96,10
SCO6796,SCO6797,96,10
SCO6814,SCO6815,100,129
SCO6815,SCO6816,100,79
SCO6832,SCO6833,96,10
SCO6958,SCO6959,100,14
SCO6961,SCO6962,96,10
SCO7004,SCO7005,100,15
SCO7005,SCO7006,100,33
SCO7045,SCO7046,100,30
SCO7071,SCO7072,100,43
SCO7184,SCO7185,100,73
SCO7226,SCO7227,100,28
SCO7297,SCO7298,100,26
SCO7332,SCO7333,100,19
SCO7399,SCO7400,100,60
SCO7436,SCO7437,100,14
SCO7463,SCO7464,96,10
SCO7464,SCO7465,96,10
SCO7465,SCO7466,96,10
SCO7469,SCO7470,100,15
SCO7471,SCO7472,100,19
SCO7472,SCO7473,100,19
SCO7473,SCO7474,100,23
SCO7474,SCO7475,100,19
SCO7488,SCO7489,100,30
SCO7490,SCO7491,96,10
SCO7545,SCO7546,100,71
SCO7581,SCO7582,100,29
SCO7677,SCO7678,95,77
SCO7678,SCO7679,100,85
SCO7679,SCO7680,100,58
SCO7798,SCO7799,100,28
