locus_tag	gene_name	old_locus_tag	tf_family	region	tss	mod_class	count_4mC_T1	density_4mC_T1	count_6mA_T1	density_6mA_T1	LFC_T2vsT1	padj_T2
SC_RS13145		SCO2223	TetR	core	2387313	6mA	0	0.0	1	0.17064846416382254	-2.7985256796387907	1.4619202996223605e-21
SC_RS13965	fasR	SCO2386	Other regulatory	core	2558045	4mC	2	0.3412969283276451	1	0.17064846416382254	-1.3096522610330428	3.848248885630113e-15
SC_RS15270		SCO2639	Sigma factor	core	2870568	4mC	1	0.17064846416382254	0	0.0	-1.7747397059724868	2.120495197321675e-07
SC_RS15485	fxsT	SCO2681	TetR	core	2920569	6mA	0	0.0	1	0.17064846416382254	0.0972640262333668	0.807059771939028
SC_RS16855		SCO2950	Other regulatory	core	3206684	4mC	1	0.17064846416382254	0	0.0	-1.6613775957407972	2.9831552655051355e-14
SC_RS17670	mfd	SCO3109	Other regulatory	core	3408313	4mC	1	0.17064846416382254	0	0.0	-0.3269667987752288	0.0592575079351018
SC_RS17795		SCO3134	Response regulator	core	3435764	6mA	0	0.0	0	0.0	3.862293400136804	1.104230837631596e-70
SC_RS21680		SCO3907	Other regulatory	core	4303613	4mC	0	0.0	0	0.0	-2.5696452550254967	1.3118774690164058e-32
SC_RS22135		SCO4005	Sigma factor	core	4397767	4mC	2	0.3412969283276451	1	0.17064846416382254	0.216302293760551	0.4473362277968655
SC_RS22780		SCO4122	MarR	core	4529468	6mA	0	0.0	1	0.17064846416382254	-3.862409740149491	2.6804264118874064e-83
SC_RS22980		SCO4158	LacI	core	4576134	4mC	1	0.17064846416382254	0	0.0	-0.0222782102607179	0.926132348542036
SC_RS23710		SCO4305	TetR	core	4719673	6mA	0	0.0	0	0.0	-1.1485908521819146	6.724953217511754e-06
SC_RS24635		SCO4495	Other regulatory	core	4914637	6mA	0	0.0	1	0.17064846416382254	-2.885192098520523	2.39121332598803e-13
SC_RS25370		SCO4639	TetR	core	5063734	6mA	0	0.0	1	0.17064846416382254	-1.2374927770659256	2.953020559404361e-08
SC_RS25990		SCO4766	LysR	core	5178021	6mA	1	0.17064846416382254	0	0.0	-0.5619109836197297	0.0059447432079914
SC_RS26855	sigJ	SCO4938	Sigma factor	core	5373018	6mA	0	0.0	0	0.0	0.0232527665501622	0.968761700368794
SC_RS27105		SCO4989	IclR	core	5428166	4mC	1	0.17064846416382254	1	0.17064846416382254	-1.788905032851815	5.826692227034337e-19
SC_RS27300		SCO5027	HTH (other)	core	5461950	both	1	0.17064846416382254	1	0.17064846416382254	-2.0816956167144225	2.2933528337691613e-13
SC_RS28630		SCO5289	Sensor kinase	core	5762143	6mA	0	0.0	0	0.0	-0.0369786446381299	0.8414520406331445
SC_RS29350	tcrA	SCO5433	Other regulatory	core	5905174	6mA	0	0.0	0	0.0	1.1870150801249613	3.0865283741764397e-06
SC_RS29355		SCO5434	Response regulator	core	5908036	6mA	0	0.0	0	0.0	-2.0721552618354653	2.1847389564353058e-13
SC_RS30140		SCO5584	Other regulatory	core	6087374	6mA	1	0.17064846416382254	1	0.17064846416382254	-0.5520993440395129	0.0663544133440707
SC_RS31385		SCO5828	Response regulator	core	6378663	6mA	0	0.0	1	0.17064846416382254	1.3645614961116626	1.8557352193124634e-07
SC_RS32025		SCO5956	TetR	core	6527068	4mC	1	0.17064846416382254	1	0.17064846416382254	-2.276955921465654	5.0560369061422746e-11
SC_RS33745		SCO6299	TetR	core	6959844	6mA	0	0.0	1	0.17064846416382254	-1.4625627834801054	3.995221205154786e-07
SC_RS33895		SCO6334	Other regulatory	core	6994433	6mA	0	0.0	0	0.0	1.2456809977015784	3.2118275643664055e-05
SC_RS34060		SCO6369	Sensor kinase	core	7030354	6mA	0	0.0	0	0.0	1.6423366912164392	0.0005983805434141
SC_RS35195		SCO6599	TetR	arm	7319846	6mA	0	0.0	1	0.17064846416382254	-1.6493677294403373	5.3649560693093984e-11
SC_RS35525		SCO6668	Sensor kinase	arm	7409680	6mA	0	0.0	1	0.17064846416382254	1.192730313621187	9.345178045249545e-05
SC_RS35610	ramR	SCO6685	Response regulator	arm	7427004	6mA	0	0.0	1	0.17064846416382254	8.847923903643316	3.332752738380108e-11
SC_RS36220			HTH (other)	arm	7567666	6mA	0	0.0	0	0.0	1.7717150262982868	0.0106912764751931
SC_RS36820		SCO6924	HTH (other)	arm	7688201	4mC	1	0.17064846416382254	0	0.0	-2.6512168805872203	0.000254687757996
SC_RS37675		SCO7089	Sensor kinase	arm	7877241	6mA	0	0.0	0	0.0	0.5193064994679604	0.3202105107832096
SC_RS38475		SCO7252	Other regulatory	arm	8062135	4mC	0	0.0	0	0.0	9.530292574912137	1.8903837971568821e-252
SC_RS38610		SCO7279	HTH (other)	arm	8086495	4mC	0	0.0	0	0.0	1.459130272910083	1.8372545252536231e-09
SC_RS38785		SCO7314	Sigma factor	arm	8120541	6mA	0	0.0	0	0.0	1.9106358305601812	6.405123198255961e-10
SC_RS39850		SCO7530	MerR	arm	8350073	6mA	0	0.0	0	0.0	0.841167050999035	0.0122301805229151
SC_RS40040		SCO7568	ROK	arm	8392310	4mC	0	0.0	0	0.0	-1.212956784482011	1.9798837921785498e-05
SC_RS40435		SCO7648	Response regulator	arm	8475908	6mA	0	0.0	1	0.17064846416382254	1.045517150533947	0.0005321444050626
SC_RS40740		SCO7711	Sensor kinase	arm	8546786	4mC	0	0.0	0	0.0	3.323752560787572	5.5402957287204644e-31
