threshold	inst	n	n_both	n_A_only	n_C_only	n_neither	OR
0.5	+2405960	142	17	10	86	29	0.5732558139534883
0.5	+2410836	159	64	47	22	26	1.609284332688588
0.5	+2411415	160	62	26	53	19	0.8548621190130624
0.5	+2415709	161	34	18	67	42	1.1840796019900497
0.5	+2419193	159	41	32	45	41	1.167361111111111
0.5	+2419225	161	34	28	66	33	0.6071428571428571
0.5	+2421166	155	31	36	47	41	0.7511820330969267
0.5	+2423333	145	35	30	46	34	0.8623188405797102
0.5	+2433109	149	67	32	25	25	2.09375
0.5	+2435429	163	81	30	33	19	1.5545454545454545
0.5	+2444862	172	66	27	52	27	1.2692307692307692
0.5	+2446667	158	43	37	46	32	0.8084606345475911
0.5	+2453045	151	35	27	48	41	1.1072530864197532
0.5	+2484552	152	27	88	6	31	1.5852272727272727
0.5	+2497569	144	28	28	41	47	1.146341463414634
0.5	+2504540	158	30	35	46	47	0.8757763975155279
0.5	+2517061	170	30	18	80	42	0.875
0.5	+2544297	168	35	15	92	26	0.6594202898550725
0.5	+255670	63	15	14	17	17	1.0714285714285714
0.5	+2557818	172	28	29	63	52	0.7969348659003831
0.5	+2558065	175	41	23	60	51	1.5152173913043478
0.5	+2558083	176	47	45	25	59	2.464888888888889
0.5	+2559888	186	85	36	42	23	1.292989417989418
0.5	+2568861	192	11	20	65	96	0.8123076923076923
0.5	+2571890	190	62	35	47	46	1.7337386018237082
0.5	+2576748	190	43	37	58	52	1.0419384902143523
0.5	+2608315	175	28	55	26	66	1.2923076923076924
0.5	+2618066	154	28	33	31	62	1.696969696969697
0.5	+2679812	198	51	33	85	29	0.5272727272727272
0.5	+2682947	196	71	49	37	39	1.5273028130170987
0.5	+2701382	161	56	43	36	26	0.9405684754521964
0.5	+2712071	157	51	42	29	35	1.4655172413793103
0.5	+2713585	149	40	29	53	27	0.7026675341574495
0.5	+2739860	166	56	41	22	47	2.917960088691796
0.5	+2848533	202	12	25	45	120	1.28
0.5	+2854562	183	51	28	69	35	0.9239130434782609
0.5	+2854829	181	37	26	55	63	1.6300699300699302
0.5	+2860897	192	50	26	87	29	0.6410256410256411
0.5	+2893662	162	49	47	24	42	1.824468085106383
0.5	+2922117	174	64	51	38	21	0.6934984520123839
0.5	+2967284	193	26	32	38	97	2.0740131578947367
0.5	+2968237	194	35	61	12	86	4.112021857923497
0.5	+2980761	194	34	19	91	50	0.9832272990167727
0.5	+299927	63	13	14	22	14	0.5909090909090909
0.5	+3032598	180	31	107	6	36	1.7383177570093458
0.5	+3033657	193	76	33	56	28	1.1515151515151516
0.5	+3034681	197	30	54	50	63	0.7
0.5	+3038104	192	60	84	15	33	1.5714285714285714
0.5	+3055827	197	105	34	42	16	1.1764705882352942
0.5	+3090221	203	49	42	69	43	0.7270531400966184
0.5	+3094489	188	34	21	94	39	0.6717325227963525
0.5	+3122766	218	72	19	91	36	1.4991324465008675
0.5	+3147379	194	38	50	48	58	0.9183333333333333
0.5	+3148885	191	33	39	55	64	0.9846153846153847
0.5	+317893	60	11	6	34	9	0.4852941176470588
0.5	+3186653	190	33	33	60	64	1.0666666666666667
0.5	+3206945	196	45	57	34	60	1.3931888544891642
0.5	+3207838	204	39	14	129	22	0.4750830564784053
0.5	+3229084	214	70	36	70	38	1.0555555555555556
0.5	+327700	57	17	17	17	6	0.35294117647058826
0.5	+3291265	179	68	56	19	36	2.300751879699248
0.5	+3296340	178	48	13	89	28	1.1616248919619707
0.5	+3322634	179	22	19	72	66	1.0614035087719298
0.5	+3332434	227	46	65	59	57	0.6837027379400261
0.5	+3336233	233	53	63	55	62	0.9483405483405484
0.5	+3337555	214	49	37	60	68	1.500900900900901
0.5	+3337690	213	35	55	66	57	0.5495867768595041
0.5	+3345421	199	62	38	62	37	0.9736842105263158
0.5	+3358874	214	83	39	50	42	1.7876923076923077
0.5	+3376220	197	17	57	30	93	0.9245614035087719
0.5	+3377110	192	42	46	56	48	0.782608695652174
0.5	+337718	77	18	10	26	23	1.5923076923076922
0.5	+3384174	206	29	67	44	66	0.6492537313432836
0.5	+3389518	199	24	48	37	90	1.2162162162162162
0.5	+3402192	218	39	42	75	62	0.7676190476190476
0.5	+3403240	227	78	54	46	49	1.538647342995169
0.5	+3416778	207	16	80	15	96	1.28
0.5	+3419248	213	47	14	120	32	0.8952380952380953
0.5	+3421908	204	27	90	11	76	2.0727272727272728
0.5	+3426865	200	23	26	107	44	0.3637670740474479
0.5	+3458068	224	50	55	70	49	0.6363636363636364
0.5	+3467471	189	56	19	70	44	1.8526315789473684
0.5	+3481040	204	16	42	50	96	0.7314285714285714
0.5	+3484387	217	56	32	96	33	0.6015625
0.5	+3511840	203	62	24	82	35	1.1026422764227641
0.5	+3521389	219	56	37	76	50	0.9957325746799431
0.5	+3524592	227	37	30	93	67	0.8885304659498208
0.5	+3532293	264	111	52	67	34	1.0832376578645235
0.5	+3535450	236	57	38	105	36	0.5142857142857142
0.5	+357889	70	35	21	3	11	6.111111111111111
0.5	+3591025	229	27	40	87	75	0.5818965517241379
0.5	+3627013	234	52	26	107	49	0.9158878504672897
0.5	+3638361	237	106	56	46	29	1.1933229813664596
0.5	+3642329	228	27	93	30	78	0.7548387096774194
0.5	+3652427	239	23	59	56	101	0.7030871670702179
0.5	+3658320	239	78	63	60	38	0.7841269841269841
0.5	+365992	78	12	10	44	12	0.32727272727272727
0.5	+3666188	220	44	64	58	54	0.6400862068965517
0.5	+3713379	254	69	29	125	31	0.5900689655172414
0.5	+3715070	255	36	128	13	78	1.6875
0.5	+3752368	240	40	57	66	77	0.8187134502923976
0.5	+3770308	243	25	25	148	45	0.30405405405405406
0.5	+3779730	267	63	127	21	56	1.3228346456692914
0.5	+3798569	235	82	44	82	27	0.6136363636363636
0.5	+3818188	235	69	61	65	40	0.6960907944514502
0.5	+3825682	264	112	95	26	31	1.405668016194332
0.5	+3826784	284	144	91	24	25	1.6483516483516483
0.5	+3842521	234	43	61	69	61	0.6231884057971014
0.5	+3843041	241	28	52	65	96	0.7952662721893491
0.5	+3855272	258	63	45	93	57	0.8580645161290322
0.5	+3866949	232	30	23	121	58	0.6252245777937477
0.5	+3885936	253	57	63	67	66	0.8912579957356077
0.5	+3897447	239	38	84	25	92	1.6647619047619047
0.5	+3907580	261	124	95	28	14	0.6526315789473685
0.5	+3909879	257	61	78	53	65	0.9591194968553459
0.5	+391204	67	19	17	14	17	1.3571428571428572
0.5	+3918011	246	46	124	21	55	0.9715821812596006
0.5	+3947109	263	40	52	62	109	1.3523573200992556
0.5	+3960369	256	128	79	19	30	2.558294470353098
0.5	+397246	67	14	10	25	18	1.008
0.5	+4079728	264	94	59	79	32	0.6453550740184509
0.5	+4088375	290	108	117	22	43	1.8041958041958042
0.5	+4089243	291	38	30	147	76	0.654875283446712
0.5	+409395	76	9	27	8	32	1.3333333333333333
0.5	+4117351	288	88	89	58	53	0.903525765207284
0.5	+4119809	300	134	45	100	21	0.6253333333333333
0.5	+4127183	275	75	33	109	58	1.2093411175979982
0.5	+4132159	309	68	89	78	74	0.7248631518294439
0.5	+4134416	304	59	58	111	76	0.6964895930413172
0.5	+4135549	319	58	39	154	68	0.6566766566766566
0.5	+4137009	313	119	41	99	54	1.583148558758315
0.5	+4141751	311	63	51	92	105	1.409846547314578
0.5	+4145034	282	74	42	108	58	0.9462081128747796
0.5	+4165195	273	52	83	39	99	1.5903614457831325
0.5	+4166176	284	53	48	83	100	1.3303212851405624
0.5	+4168526	295	71	58	87	79	1.111573523583036
0.5	+4168538	296	103	75	52	66	1.743076923076923
0.5	+4173881	299	96	27	140	36	0.9142857142857143
0.5	+4179014	315	107	82	67	59	1.149071714597743
0.5	+4181527	302	49	74	83	96	0.7658743080429827
0.5	+4218807	255	71	97	28	59	1.5423416789396172
0.5	+4244956	294	34	52	80	128	1.0461538461538462
0.5	+4256582	251	78	80	40	53	1.291875
0.5	+4275123	257	118	53	44	42	2.1252144082332762
0.5	+4290572	287	66	33	134	54	0.8059701492537313
0.5	+4292175	283	19	18	152	94	0.6527777777777778
0.5	+4292797	271	42	56	45	128	2.1333333333333333
0.5	+429391	88	24	10	39	15	0.9230769230769231
0.5	+4303403	269	29	37	106	97	0.7172361040285569
0.5	+4309902	270	26	44	117	83	0.41919191919191917
0.5	+4339627	288	121	62	66	39	1.153225806451613
0.5	+4355490	287	76	70	63	78	1.34421768707483
0.5	+43753	80	24	22	16	18	1.2272727272727273
0.5	+4376355	247	35	37	97	78	0.7606575647812761
0.5	+4380749	237	59	63	55	60	1.0216450216450217
0.5	+4380830	236	91	56	52	37	1.15625
0.5	+4410053	266	113	29	86	38	1.7217321571772253
0.5	+4415926	265	89	45	78	53	1.3438746438746438
0.5	+4454316	279	52	52	80	95	1.1875
0.5	+4459595	274	23	95	22	134	1.4746411483253588
0.5	+4465003	249	65	36	99	49	0.893658810325477
0.5	+4506740	246	107	17	110	12	0.6866310160427808
0.5	+4508895	254	123	20	95	16	1.0357894736842106
0.5	+4531247	236	50	32	102	52	0.7965686274509803
0.5	+4544892	223	83	38	75	27	0.7863157894736842
0.5	+4575035	262	45	31	89	97	1.582094961942733
0.5	+4581838	264	48	74	29	113	2.527493010251631
0.5	+4581915	278	95	45	84	54	1.3571428571428572
0.5	+4588611	291	104	93	53	41	0.8650841955771962
0.5	+4601619	241	55	38	90	58	0.9327485380116959
0.5	+4608283	243	95	85	19	44	2.588235294117647
0.5	+4627204	239	60	39	86	54	0.9660107334525939
0.5	+4639879	271	102	34	96	39	1.21875
0.5	+4663819	253	81	67	44	61	1.6760515603799186
0.5	+466470	66	31	15	12	8	1.3777777777777778
0.5	+4669460	269	86	56	73	54	1.1360078277886496
0.5	+4669535	272	53	92	43	84	1.1253791708796765
0.5	+467033	68	26	24	9	9	1.0833333333333333
0.5	+4671073	277	70	125	26	56	1.2061538461538461
0.5	+468596	71	17	16	27	11	0.43287037037037035
0.5	+4695344	257	40	51	87	79	0.71219292314627
0.5	+4699719	245	64	36	93	52	0.994026284348865
0.5	+4712674	264	132	43	61	28	1.4090735798703775
0.5	+4727612	258	86	59	71	42	0.8622582955359275
0.5	+4763016	258	60	53	52	93	2.0246734397677795
0.5	+4763284	261	30	40	118	73	0.4639830508474576
0.5	+4815052	253	35	84	44	90	0.8522727272727273
0.5	+4829045	233	107	51	36	39	2.272875816993464
0.5	+4832455	199	45	69	15	70	3.0434782608695654
0.5	+4840209	212	81	109	8	14	1.3004587155963303
0.5	+4848483	213	97	55	29	32	1.9460815047021944
0.5	+4848648	214	63	34	76	41	0.9996130030959752
0.5	+4848927	209	98	30	60	21	1.1433333333333333
0.5	+4863478	222	70	57	47	48	1.2541993281075028
0.5	+4879648	257	64	25	116	52	1.1475862068965517
0.5	+4881945	248	93	63	37	55	2.1943371943371943
0.5	+4890339	247	41	61	67	78	0.7824810374357719
0.5	+4916928	215	53	97	24	41	0.9334192439862543
0.5	+4922078	233	59	57	62	55	0.9182229767968307
0.5	+4942228	203	40	13	123	27	0.6754221388367729
0.5	+4948212	201	105	22	51	23	2.1524064171122994
0.5	+4969613	199	20	48	47	84	0.7446808510638298
0.5	+4972750	211	93	72	23	23	1.2916666666666667
0.5	+4979672	201	68	28	72	33	1.1130952380952381
0.5	+4985941	203	49	52	40	62	1.460576923076923
0.5	+4987414	204	52	57	31	64	1.8834182229767968
0.5	+4987471	205	62	51	55	37	0.817825311942959
0.5	+4994694	231	46	23	132	30	0.45454545454545453
0.5	+4998989	210	56	55	41	58	1.4403547671840355
0.5	+5049763	202	8	29	39	126	0.8912466843501327
0.5	+5051444	209	22	16	97	74	1.0489690721649485
0.5	+5060014	235	44	107	25	59	0.9704672897196261
0.5	+506101	79	27	10	24	18	2.025
0.5	+5075123	223	52	62	66	43	0.5464320625610948
0.5	+5077381	228	55	58	72	43	0.5663314176245211
0.5	+5081730	223	34	35	77	77	0.9714285714285714
0.5	+5081760	222	61	18	104	39	1.2708333333333333
0.5	+5094699	179	67	21	73	18	0.786692759295499
0.5	+5106231	198	39	66	39	54	0.8181818181818182
0.5	+5118990	218	38	43	51	86	1.4901960784313726
0.5	+5134999	239	66	34	92	47	0.9916879795396419
0.5	+5135638	244	84	34	85	41	1.1916955017301039
0.5	+5136506	229	66	39	65	59	1.536094674556213
0.5	+5140252	229	31	16	140	42	0.58125
0.5	+5147468	220	63	35	65	57	1.5784615384615384
0.5	+5155288	241	126	31	50	34	2.7638709677419353
0.5	+516572	74	26	14	23	11	0.8881987577639752
0.5	+5166538	224	19	34	104	67	0.36001131221719457
0.5	+5167763	223	68	65	36	54	1.5692307692307692
0.5	+516896	73	19	8	27	19	1.6712962962962963
0.5	+5186830	244	35	58	60	91	0.9152298850574713
0.5	+5187032	242	78	22	112	30	0.9496753246753247
0.5	+5189700	239	62	52	61	64	1.2509457755359394
0.5	+5190162	236	93	66	39	38	1.372960372960373
0.5	+5199465	210	34	78	31	67	0.9421009098428453
0.5	+5200095	209	34	65	47	63	0.7011456628477906
0.5	+5233883	189	61	48	46	34	0.9393115942028986
0.5	+5235829	178	54	56	30	38	1.2214285714285715
0.5	+5241339	189	79	53	30	27	1.3415094339622642
0.5	+5260237	201	74	42	56	29	0.9124149659863946
0.5	+5261448	212	69	67	42	34	0.8336886993603412
0.5	+5263060	197	52	66	30	49	1.286868686868687
0.5	+5269069	200	56	57	57	30	0.5170821791320406
0.5	+52709	66	16	24	11	15	0.9090909090909091
0.5	+5272247	201	37	31	68	65	1.1408918406072106
0.5	+5285162	196	39	16	109	32	0.7155963302752294
0.5	+5325244	214	120	32	46	16	1.3043478260869565
0.5	+5329806	220	35	90	26	69	1.0320512820512822
0.5	+5335652	209	45	16	97	51	1.478737113402062
0.5	+5345800	215	74	37	81	23	0.5679012345679012
0.5	+5351751	187	37	24	72	54	1.15625
0.5	+5369000	208	43	31	75	59	1.0911827956989246
0.5	+5395917	194	93	21	66	14	0.9393939393939394
0.5	+5395947	194	55	17	80	42	1.6985294117647058
0.5	+5395967	195	42	21	92	40	0.8695652173913043
0.5	+5402834	181	38	27	72	44	0.8600823045267489
0.5	+5407711	198	100	48	34	16	0.9803921568627451
0.5	+5411816	210	72	38	52	48	1.7489878542510122
0.5	+542610	70	14	25	18	13	0.40444444444444444
0.5	+5427965	190	63	57	27	43	1.760233918128655
0.5	+5428537	199	42	60	23	74	2.252173913043478
0.5	+5434344	214	36	50	50	78	1.1232
0.5	+5453546	174	20	36	79	39	0.2742616033755274
0.5	+5516895	192	33	18	93	48	0.946236559139785
0.5	+5520178	171	62	40	42	27	0.9964285714285714
0.5	+5520871	187	39	33	68	47	0.8168449197860963
0.5	+5541387	182	49	34	48	51	1.53125
0.5	+5547231	177	57	34	34	52	2.56401384083045
0.5	+5554072	187	78	43	37	29	1.421747328724073
0.5	+5555095	188	32	32	62	62	1.0
0.5	+5555374	191	67	39	41	44	1.843652282676673
0.5	+5557459	189	45	23	71	50	1.3778322106552359
0.5	+5559289	191	35	15	108	33	0.7129629629629629
0.5	+5561416	176	32	26	61	57	1.150063051702396
0.5	+5564456	181	40	45	41	55	1.1924119241192412
0.5	+5574962	169	48	35	48	38	1.0857142857142856
0.5	+5576108	170	60	33	34	43	2.299465240641711
0.5	+5576357	171	28	32	79	32	0.35443037974683544
0.5	+5576888	161	56	39	30	36	1.7230769230769232
0.5	+5577918	176	70	58	25	23	1.110344827586207
0.5	+5577930	176	74	62	19	21	1.3191850594227503
0.5	+5593069	171	63	22	55	31	1.6140495867768596
0.5	+5597295	154	40	65	19	30	0.97165991902834
0.5	+5598014	159	62	25	61	11	0.44721311475409836
0.5	+5598023	159	64	44	33	18	0.7933884297520661
0.5	+5598032	158	62	47	31	18	0.7659574468085106
0.5	+5598050	154	64	40	25	25	1.6
0.5	+5627586	176	45	48	36	47	1.2239583333333333
0.5	+5631606	194	98	26	44	26	2.227272727272727
0.5	+5652010	181	50	62	22	47	1.7228739002932552
0.5	+5660162	157	29	39	23	66	2.1337792642140467
0.5	+5685712	181	33	10	118	20	0.559322033898305
0.5	+5693194	171	74	49	20	28	2.1142857142857143
0.5	+571323	76	16	3	37	20	2.8828828828828827
0.5	+5765169	164	7	26	65	66	0.2733727810650888
0.5	+580712	75	11	30	13	21	0.5923076923076923
0.5	+582571	77	37	12	17	11	1.9950980392156863
0.5	+5835199	142	10	21	63	48	0.36281179138321995
0.5	+5837177	151	12	67	8	64	1.4328358208955223
0.5	+5846938	147	20	37	37	53	0.7742878013148283
0.5	+5864450	168	12	27	40	89	0.9888888888888889
0.5	+5878391	167	30	15	67	55	1.6417910447761195
0.5	+5886952	160	74	38	23	25	2.116704805491991
0.5	+5901194	166	20	30	30	86	1.9111111111111112
0.5	+5903472	182	30	30	97	25	0.25773195876288657
0.5	+5910961	199	67	49	40	43	1.4698979591836734
0.5	+5918798	171	44	31	46	50	1.5427769985974755
0.5	+5937944	151	15	32	59	45	0.357521186440678
0.5	+5944389	160	34	24	62	40	0.9139784946236559
0.5	+5973368	163	45	27	49	42	1.4285714285714286
0.5	+5974529	158	58	39	32	29	1.3477564102564104
0.5	+5976125	166	33	41	42	50	0.9581881533101045
0.5	+5984875	187	40	19	96	32	0.7017543859649122
0.5	+59890	55	15	6	19	15	1.9736842105263157
0.5	+6004403	165	52	53	33	27	0.8027444253859348
0.5	+6007831	165	66	56	20	23	1.355357142857143
0.5	+6058275	154	30	52	25	47	1.0846153846153845
0.5	+6059026	151	32	34	54	31	0.5403050108932462
0.5	+6062203	148	41	18	62	27	0.9919354838709677
0.5	+6065122	156	35	36	29	56	1.8773946360153257
0.5	+6082367	152	57	31	44	20	0.8357771260997068
0.5	+609828	84	38	22	9	15	2.878787878787879
0.5	+6106596	126	21	40	24	41	0.896875
0.5	+6112592	124	42	47	19	16	0.7525195968645016
0.5	+6115116	125	36	39	25	25	0.9230769230769231
0.5	+6115148	122	13	25	22	62	1.4654545454545456
0.5	+6124300	137	42	45	14	36	2.4
0.5	+6125183	129	51	24	29	25	1.831896551724138
0.5	+6131209	132	59	18	36	19	1.7299382716049383
0.5	+6134066	158	31	35	44	48	0.9662337662337662
0.5	+6143024	130	70	24	19	17	2.6096491228070176
0.5	+6144879	126	48	14	49	15	1.0495626822157433
0.5	+614825	79	28	9	26	16	1.9145299145299146
0.5	+6153020	135	21	33	24	57	1.5113636363636365
0.5	+6164126	137	35	38	32	32	0.9210526315789473
0.5	+6165411	145	53	20	42	30	1.8928571428571428
0.5	+6175231	133	15	19	37	62	1.3229018492176388
0.5	+6182518	143	39	54	22	28	0.9191919191919192
0.5	+6200799	149	41	9	79	20	1.1533052039381153
0.5	+6202506	148	28	21	79	20	0.33755274261603374
0.5	+6203059	155	48	20	70	17	0.5828571428571429
0.5	+6206486	142	23	35	48	36	0.4928571428571429
0.5	+6216858	140	31	49	15	45	1.8979591836734695
0.5	+6216957	135	22	29	43	41	0.723336006415397
0.5	+6216987	134	35	33	39	27	0.7342657342657343
0.5	+6235824	132	15	20	68	29	0.31985294117647056
0.5	+6237534	132	24	19	47	42	1.1287793952967524
0.5	+6244011	134	20	47	33	34	0.4384268214055448
0.5	+6260597	119	34	49	9	27	2.0816326530612246
0.5	+6269774	127	23	32	34	38	0.8033088235294118
0.5	+6270570	127	30	18	48	31	1.0763888888888888
0.5	+6286267	134	29	55	12	38	1.6696969696969697
0.5	+6286597	122	32	28	40	22	0.6285714285714286
0.5	+6289268	126	20	42	16	48	1.4285714285714286
0.5	+6289735	127	32	32	20	43	2.15
0.5	+6314261	158	20	19	75	44	0.6175438596491228
0.5	+6323735	155	28	36	56	35	0.4861111111111111
0.5	+6325730	146	28	26	41	51	1.3395872420262664
0.5	+6325883	141	45	26	43	27	1.0867620751341682
0.5	+6334867	132	45	31	25	31	1.8
0.5	+6349624	136	42	24	39	31	1.391025641025641
0.5	+6350485	131	42	47	12	30	2.234042553191489
0.5	+6360015	142	37	28	45	32	0.9396825396825397
0.5	+6396328	137	36	30	38	33	1.0421052631578946
0.5	+6397210	145	37	44	20	44	1.85
0.5	+6403190	133	49	23	42	19	0.9637681159420289
0.5	+6463120	130	27	15	62	26	0.7548387096774194
0.5	+6475455	138	19	37	14	68	2.494208494208494
0.5	+648234	85	42	20	13	10	1.6153846153846154
0.5	+648246	83	35	26	8	14	2.355769230769231
0.5	+648438	82	21	35	8	18	1.35
0.5	+648450	82	40	17	12	13	2.549019607843137
0.5	+6485079	138	60	32	24	22	1.71875
0.5	+6485788	126	35	42	12	37	2.5694444444444446
0.5	+6486995	131	10	22	39	60	0.6993006993006993
0.5	+6490762	129	30	20	38	41	1.618421052631579
0.5	+6494649	133	10	10	62	51	0.8225806451612904
0.5	+6519308	121	38	15	46	22	1.2115942028985507
0.5	+6527073	119	49	33	19	18	1.4066985645933014
0.5	+6532820	110	12	35	12	51	1.457142857142857
0.5	+6542794	127	44	16	49	18	1.010204081632653
0.5	+6547212	126	34	43	22	27	0.9704016913319239
0.5	+6566615	128	47	19	34	28	2.0371517027863777
0.5	+6583851	110	13	20	40	37	0.60125
0.5	+6596536	123	38	40	18	27	1.425
0.5	+6607885	127	28	33	25	41	1.3915151515151516
0.5	+6623620	110	25	25	30	30	1.0
0.5	+6624375	120	33	61	12	14	0.6311475409836066
0.5	+6638956	120	42	21	37	20	1.0810810810810811
0.5	+6668896	108	41	28	22	17	1.1314935064935066
0.5	+6693363	114	24	33	16	41	1.8636363636363635
0.5	+6701830	124	47	14	42	21	1.6785714285714286
0.5	+6710217	120	35	10	64	11	0.6015625
0.5	+6711767	125	34	43	26	22	0.669051878354204
0.5	+6712370	123	33	16	52	22	0.8725961538461539
0.5	+6737690	122	40	24	35	23	1.0952380952380953
0.5	+6744699	123	21	19	59	24	0.4495985727029438
0.5	+6763424	122	16	47	16	43	0.9148936170212766
0.5	+6763991	118	21	14	45	38	1.2666666666666666
0.5	+6767950	112	31	35	23	23	0.8857142857142857
0.5	+6783976	121	27	25	39	30	0.8307692307692308
0.5	+6804897	122	25	32	37	28	0.5912162162162162
0.5	+6812698	100	30	36	16	18	0.9375
0.5	+6820717	114	19	8	63	24	0.9047619047619048
0.5	+6833700	99	25	16	40	18	0.703125
0.5	+6835500	102	26	28	25	23	0.8542857142857143
0.5	+6842192	120	17	38	34	31	0.40789473684210525
0.5	+6843280	132	5	33	25	69	0.41818181818181815
0.5	+6858273	100	10	9	61	20	0.36429872495446264
0.5	+6862638	113	29	15	41	28	1.3203252032520325
0.5	+687159	63	8	8	25	22	0.88
0.5	+6874316	95	19	8	45	23	1.2138888888888888
0.5	+6879641	97	34	21	33	9	0.44155844155844154
0.5	+6915183	103	13	20	40	30	0.4875
0.5	+6917676	102	16	19	46	21	0.38443935926773454
0.5	+6925630	91	9	22	21	39	0.7597402597402597
0.5	+6941575	102	45	34	13	10	1.0180995475113122
