gene_id,old_locus_tag,gene_name,chrom,start,end,strand,gff_tss,experimental_tss,tss_source,tss
SC_RS02320,SCO0061,,NC_003888.3,46430,47734,-,47734,,GFF_annotation,47734
SC_RS02325,SCO0062,,NC_003888.3,47789,48844,-,48844,49113.0,Jeong2016_dRNA-seq,49113
SC_RS02330,SCO0063,,NC_003888.3,48889,49824,-,49824,,GFF_annotation,49824
SC_RS02335,SCO0064,,NC_003888.3,49821,51539,-,51539,,GFF_annotation,51539
SC_RS02340,SCO0065,,NC_003888.3,51831,53144,+,51831,,GFF_annotation,51831
SC_RS02345,SCO0066,,NC_003888.3,53141,54100,+,53141,,GFF_annotation,53141
SC_RS02350,SCO0067,,NC_003888.3,54103,54918,+,54103,,GFF_annotation,54103
SC_RS02355,SCO0068,,NC_003888.3,54968,56173,+,54968,,GFF_annotation,54968
SC_RS02360,SCO0069,,NC_003888.3,56225,59383,+,56225,,GFF_annotation,56225
SC_RS02370,SCO0071,,NC_003888.3,60069,60275,-,60275,,GFF_annotation,60275
SC_RS02375,,,NC_003888.3,60485,60691,-,60691,,GFF_annotation,60691
SC_RS02380,SCO0072,,NC_003888.3,60740,64066,-,64066,64143.0,Jeong2016_dRNA-seq,64143
SC_RS02385,SCO0073,,NC_003888.3,64587,64925,+,64587,64442.0,Jeong2016_dRNA-seq,64442
SC_RS02390,SCO0075,,NC_003888.3,65140,65679,+,65140,,GFF_annotation,65140
SC_RS02400,,,NC_003888.3,66104,66418,-,66418,,GFF_annotation,66418
SC_RS02405,SCO0079,,NC_003888.3,66688,67911,-,67911,,GFF_annotation,67911
SC_RS02410,SCO0080,,NC_003888.3,68372,68887,+,68372,68422.0,Jeong2016_dRNA-seq,68422
SC_RS02420,SCO0083,,NC_003888.3,69799,70647,+,69799,,GFF_annotation,69799
SC_RS02425,SCO0084,,NC_003888.3,70777,71235,+,70777,,GFF_annotation,70777
SC_RS02430,,,NC_003888.3,71273,71431,-,71431,,GFF_annotation,71431
SC_RS02435,SCO0085,,NC_003888.3,71648,72139,-,72139,,GFF_annotation,72139
SC_RS02440,SCO0086,,NC_003888.3,72159,73097,-,73097,,GFF_annotation,73097
SC_RS02445,SCO0087,,NC_003888.3,73784,74833,-,74833,,GFF_annotation,74833
SC_RS02450,SCO0088,,NC_003888.3,74917,75876,-,75876,76246.0,Jeong2016_dRNA-seq,76246
SC_RS02455,SCO0089,,NC_003888.3,75916,76893,+,75916,,GFF_annotation,75916
SC_RS02465,SCO0091,,NC_003888.3,77315,78271,+,77315,,GFF_annotation,77315
SC_RS02480,SCO0097,,NC_003888.3,80845,81165,-,81165,81225.0,Jeong2016_dRNA-seq,81225
SC_RS02485,SCO0098,,NC_003888.3,81602,82441,-,82441,,GFF_annotation,82441
SC_RS02495,SCO0101,,NC_003888.3,83516,84235,-,84235,84235.0,Jeong2016_dRNA-seq,84235
SC_RS02500,SCO0103,,NC_003888.3,85468,86643,+,85468,,GFF_annotation,85468
SC_RS02505,SCO0104,,NC_003888.3,86640,87311,+,86640,,GFF_annotation,86640
SC_RS02510,SCO0105,,NC_003888.3,87907,88632,-,88632,,GFF_annotation,88632
SC_RS02515,SCO0106,,NC_003888.3,89073,89465,+,89073,89092.0,Jeong2016_dRNA-seq,89092
SC_RS02520,SCO0107,,NC_003888.3,89486,90010,-,90010,,GFF_annotation,90010
SC_RS02525,,,NC_003888.3,90584,90757,+,90584,,GFF_annotation,90584
SC_RS02530,SCO0110,,NC_003888.3,90951,91790,-,91790,,GFF_annotation,91790
SC_RS02535,SCO0111,,NC_003888.3,91977,92729,+,91977,,GFF_annotation,91977
SC_RS02540,,,NC_003888.3,93220,93549,-,93549,,GFF_annotation,93549
SC_RS02545,,,NC_003888.3,93593,94087,-,94087,,GFF_annotation,94087
SC_RS02550,SCO0116,,NC_003888.3,94306,94872,-,94872,94899.0,Jeong2016_dRNA-seq,94899
SC_RS02555,SCO0117,,NC_003888.3,94989,95681,+,94989,,GFF_annotation,94989
SC_RS02560,SCO0118,,NC_003888.3,95995,97518,+,95995,,GFF_annotation,95995
SC_RS02565,SCO0119,,NC_003888.3,97760,98281,-,98281,,GFF_annotation,98281
SC_RS02570,SCO0120,,NC_003888.3,98463,99338,-,99338,,GFF_annotation,99338
SC_RS02575,SCO0121,,NC_003888.3,99335,99949,-,99949,100401.0,Jeong2016_dRNA-seq,100401
SC_RS02580,SCO0122,,NC_003888.3,100205,101566,+,100205,,GFF_annotation,100205
SC_RS02585,SCO0123,,NC_003888.3,101656,103002,-,103002,,GFF_annotation,103002
SC_RS02590,SCO0124,,NC_003888.3,103781,104989,+,103781,,GFF_annotation,103781
SC_RS02595,SCO0125,,NC_003888.3,105057,106640,+,105057,,GFF_annotation,105057
SC_RS02600,SCO0126,,NC_003888.3,106694,112885,+,106694,,GFF_annotation,106694
SC_RS02605,SCO0127,,NC_003888.3,112932,119654,+,112932,,GFF_annotation,112932
SC_RS02610,SCO0128,,NC_003888.3,119651,119833,+,119651,,GFF_annotation,119651
SC_RS02615,SCO0130,,NC_003888.3,120457,121371,+,120457,,GFF_annotation,120457
SC_RS02620,SCO0131,,NC_003888.3,121617,122456,-,122456,,GFF_annotation,122456
SC_RS02625,SCO0132,,NC_003888.3,122743,125502,+,122743,122730.0,Jeong2016_dRNA-seq,122730
SC_RS02630,SCO0133,,NC_003888.3,125625,126005,-,126005,,GFF_annotation,126005
SC_RS02635,SCO0135,,NC_003888.3,127571,128290,+,127571,,GFF_annotation,127571
SC_RS02640,SCO0136,,NC_003888.3,128634,130184,-,130184,,GFF_annotation,130184
SC_RS02645,SCO0137,,NC_003888.3,130201,131001,-,131001,131066.0,Jeong2016_dRNA-seq,131066
SC_RS02650,SCO0138,,NC_003888.3,131523,132296,+,131523,,GFF_annotation,131523
SC_RS02655,SCO0139,,NC_003888.3,132327,132647,+,132327,,GFF_annotation,132327
SC_RS02660,SCO0140,,NC_003888.3,132693,133520,+,132693,,GFF_annotation,132693
SC_RS02665,SCO0141,,NC_003888.3,133570,134121,-,134121,,GFF_annotation,134121
SC_RS02670,SCO0142,,NC_003888.3,134295,136100,-,136100,136100.0,Jeong2016_dRNA-seq,136100
SC_RS02675,,,NC_003888.3,136149,136307,+,136149,,GFF_annotation,136149
SC_RS02680,SCO0143,,NC_003888.3,136683,137183,+,136683,,GFF_annotation,136683
SC_RS02685,SCO0144,,NC_003888.3,137197,137556,+,137197,,GFF_annotation,137197
SC_RS02690,SCO0145,,NC_003888.3,137561,138589,+,137561,,GFF_annotation,137561
SC_RS02700,SCO0147,,NC_003888.3,138976,139467,+,138976,,GFF_annotation,138976
SC_RS02705,SCO0148,,NC_003888.3,139467,139712,+,139467,,GFF_annotation,139467
SC_RS02715,SCO0151,,NC_003888.3,141370,141708,+,141370,,GFF_annotation,141370
SC_RS02720,SCO0152,,NC_003888.3,141705,143315,+,141705,,GFF_annotation,141705
SC_RS02725,SCO0153,,NC_003888.3,143776,144363,-,144363,,GFF_annotation,144363
SC_RS02730,SCO0154,,NC_003888.3,144704,145366,-,145366,,GFF_annotation,145366
SC_RS02735,SCO0155,,NC_003888.3,145499,146122,+,145499,,GFF_annotation,145499
SC_RS02740,SCO0158,,NC_003888.3,146977,148206,+,146977,,GFF_annotation,146977
SC_RS02745,SCO0159,,NC_003888.3,148225,149184,+,148225,,GFF_annotation,148225
SC_RS02750,SCO0160,,NC_003888.3,149508,150209,-,150209,,GFF_annotation,150209
SC_RS02755,SCO0162,,NC_003888.3,150579,151571,+,150579,,GFF_annotation,150579
SC_RS02760,SCO0163,,NC_003888.3,151749,153275,+,151749,,GFF_annotation,151749
SC_RS02765,SCO0164,,NC_003888.3,153398,155728,+,153398,,GFF_annotation,153398
SC_RS02770,SCO0165,,NC_003888.3,155707,156120,-,156120,,GFF_annotation,156120
SC_RS02775,SCO0166,ppk2,NC_003888.3,156338,157141,+,156338,,GFF_annotation,156338
SC_RS02780,SCO0167,,NC_003888.3,157189,158073,-,158073,,GFF_annotation,158073
SC_RS02785,SCO0168,,NC_003888.3,158846,159304,+,158846,158768.0,Jeong2016_dRNA-seq,158768
SC_RS02790,SCO0169,,NC_003888.3,159339,160025,+,159339,,GFF_annotation,159339
SC_RS02795,,,NC_003888.3,160026,160238,-,160238,,GFF_annotation,160238
SC_RS02800,SCO0170,,NC_003888.3,160356,161027,-,161027,161094.0,Jeong2016_dRNA-seq,161094
SC_RS02805,SCO0171,,NC_003888.3,161237,162553,+,161237,,GFF_annotation,161237
SC_RS02810,SCO0172,,NC_003888.3,162661,163119,+,162661,,GFF_annotation,162661
SC_RS02815,SCO0173,,NC_003888.3,163235,163891,-,163891,,GFF_annotation,163891
SC_RS02820,SCO0174,,NC_003888.3,164023,164931,-,164931,164961.0,Jeong2016_dRNA-seq,164961
SC_RS02825,,,NC_003888.3,165275,165397,+,165275,,GFF_annotation,165275
SC_RS02830,SCO0176,,NC_003888.3,165478,165855,+,165478,,GFF_annotation,165478
SC_RS02835,SCO0177,,NC_003888.3,166033,166614,+,166033,,GFF_annotation,166033
SC_RS02845,SCO0179,,NC_003888.3,167444,168514,-,168514,168615.0,Jeong2016_dRNA-seq,168615
SC_RS02850,SCO0180,,NC_003888.3,168705,169556,-,169556,,GFF_annotation,169556
SC_RS02855,SCO0181,,NC_003888.3,169584,170486,-,170486,,GFF_annotation,170486
SC_RS02875,SCO0185,,NC_003888.3,173801,174946,+,173801,173768.0,Jeong2016_dRNA-seq,173768
SC_RS02880,SCO0186,crtI,NC_003888.3,174943,176514,+,174943,,GFF_annotation,174943
SC_RS02885,SCO0187,,NC_003888.3,176501,177496,+,176501,,GFF_annotation,176501
SC_RS02890,SCO0188,,NC_003888.3,177493,178503,+,177493,,GFF_annotation,177493
SC_RS02895,SCO0189,,NC_003888.3,178519,180087,-,180087,,GFF_annotation,180087
SC_RS02900,SCO0190,,NC_003888.3,180084,180824,-,180824,,GFF_annotation,180824
SC_RS02905,SCO0191,,NC_003888.3,180821,182038,-,182038,,GFF_annotation,182038
SC_RS02910,SCO0192,,NC_003888.3,182309,183559,-,183559,,GFF_annotation,183559
SC_RS02915,SCO0193,,NC_003888.3,183793,184797,-,184797,,GFF_annotation,184797
SC_RS02920,SCO0194,,NC_003888.3,184958,185566,+,184958,184865.0,Jeong2016_dRNA-seq,184865
SC_RS02925,SCO0195,,NC_003888.3,185675,186361,+,185675,,GFF_annotation,185675
SC_RS02930,SCO0196,,NC_003888.3,186447,186887,+,186447,,GFF_annotation,186447
SC_RS02935,SCO0197,,NC_003888.3,187019,187459,-,187459,187501.0,Jeong2016_dRNA-seq,187501
SC_RS02940,SCO0198,,NC_003888.3,187992,188858,-,188858,,GFF_annotation,188858
SC_RS02945,SCO0199,adhP,NC_003888.3,188864,189886,-,189886,,GFF_annotation,189886
SC_RS02950,SCO0200,,NC_003888.3,189925,190830,-,190830,190994.0,Jeong2016_dRNA-seq,190994
SC_RS02955,SCO0201,,NC_003888.3,190983,191612,-,191612,191652.0,Jeong2016_dRNA-seq,191652
SC_RS02960,SCO0202,,NC_003888.3,191904,192848,+,191904,,GFF_annotation,191904
SC_RS02965,SCO0203,,NC_003888.3,192880,194637,-,194637,,GFF_annotation,194637
SC_RS02970,SCO0204,,NC_003888.3,194760,195461,-,195461,195490.0,Jeong2016_dRNA-seq,195490
SC_RS02980,SCO0207,,NC_003888.3,196386,196991,-,196991,,GFF_annotation,196991
SC_RS02985,SCO0208,ppdK,NC_003888.3,197221,199917,+,197221,197191.0,Jeong2016_dRNA-seq,197191
SC_RS02990,SCO0209,,NC_003888.3,200024,200428,+,200024,,GFF_annotation,200024
SC_RS02995,SCO0210,,NC_003888.3,200701,201369,+,200701,,GFF_annotation,200701
SC_RS03000,SCO0211,,NC_003888.3,201374,202090,+,201374,,GFF_annotation,201374
SC_RS03005,SCO0212,,NC_003888.3,202370,202843,-,202843,202979.0,Jeong2016_dRNA-seq,202979
SC_RS03010,SCO0213,,NC_003888.3,202863,204101,-,204101,204182.0,Jeong2016_dRNA-seq,204182
SC_RS03015,SCO0214,,NC_003888.3,204387,204800,+,204387,,GFF_annotation,204387
SC_RS03020,SCO0215,,NC_003888.3,204881,205888,-,205888,,GFF_annotation,205888
SC_RS03025,SCO0216,,NC_003888.3,206480,210181,+,206480,,GFF_annotation,206480
SC_RS03030,SCO0217,narH,NC_003888.3,210183,211751,+,210183,,GFF_annotation,210183
SC_RS03035,SCO0218,narJ,NC_003888.3,211748,212551,+,211748,,GFF_annotation,211748
SC_RS03040,SCO0219,narI,NC_003888.3,212551,213321,+,212551,,GFF_annotation,212551
SC_RS03045,SCO0220,,NC_003888.3,213421,213870,+,213421,213498.0,Jeong2016_dRNA-seq,213498
SC_RS03055,SCO0222,,NC_003888.3,214913,215446,+,214913,214913.0,Jeong2016_dRNA-seq,214913
SC_RS03060,SCO0224,,NC_003888.3,215807,216844,-,216844,216844.0,Jeong2016_dRNA-seq,216844
SC_RS03065,SCO0226,,NC_003888.3,217315,217968,-,217968,218036.0,Jeong2016_dRNA-seq,218036
SC_RS03070,,,NC_003888.3,218481,218771,+,218481,,GFF_annotation,218481
SC_RS03075,SCO0229,,NC_003888.3,219302,220150,+,219302,,GFF_annotation,219302
SC_RS03080,SCO0230,,NC_003888.3,220150,220764,+,220150,,GFF_annotation,220150
SC_RS03085,SCO0231,,NC_003888.3,221092,221247,-,221247,221364.0,Jeong2016_dRNA-seq,221364
SC_RS03090,SCO0232,,NC_003888.3,221414,221599,-,221599,,GFF_annotation,221599
SC_RS03095,SCO0233,,NC_003888.3,221699,222538,-,222538,222571.0,Jeong2016_dRNA-seq,222571
SC_RS03100,SCO0234,,NC_003888.3,222827,223288,+,222827,,GFF_annotation,222827
SC_RS03105,SCO0235,,NC_003888.3,223294,224232,+,223294,,GFF_annotation,223294
SC_RS03110,SCO0236,,NC_003888.3,224404,225276,-,225276,,GFF_annotation,225276
SC_RS03115,SCO0237,,NC_003888.3,225476,226237,+,225476,,GFF_annotation,225476
SC_RS03120,SCO0238,,NC_003888.3,226481,227008,+,226481,,GFF_annotation,226481
SC_RS03125,SCO0239,,NC_003888.3,227081,228154,-,228154,228186.0,Jeong2016_dRNA-seq,228186
SC_RS03130,SCO0240,,NC_003888.3,228714,229649,-,229649,229931.0,Jeong2016_dRNA-seq,229931
SC_RS03135,SCO0241,,NC_003888.3,229995,230669,+,229995,229995.0,Jeong2016_dRNA-seq,229995
SC_RS03140,SCO0242,,NC_003888.3,231022,231465,+,231022,230959.0,Jeong2016_dRNA-seq,230959
SC_RS03145,SCO0243,,NC_003888.3,231475,231654,+,231475,,GFF_annotation,231475
SC_RS03150,SCO0244,,NC_003888.3,232508,233518,+,232508,,GFF_annotation,232508
SC_RS03155,SCO0245,,NC_003888.3,233854,234873,-,234873,,GFF_annotation,234873
SC_RS03160,SCO0246,,NC_003888.3,234870,236207,-,236207,236515.0,Jeong2016_dRNA-seq,236515
SC_RS03165,SCO0247,,NC_003888.3,236794,237807,+,236794,236539.0,Jeong2016_dRNA-seq,236539
SC_RS03170,SCO0249,,NC_003888.3,238280,239794,-,239794,,GFF_annotation,239794
SC_RS03175,SCO0250,,NC_003888.3,239858,240523,+,239858,,GFF_annotation,239858
SC_RS03180,SCO0252,,NC_003888.3,240876,242123,-,242123,,GFF_annotation,242123
SC_RS03185,SCO0253,,NC_003888.3,242203,242766,+,242203,242194.0,Jeong2016_dRNA-seq,242194
SC_RS03190,SCO0254,,NC_003888.3,243022,243762,-,243762,,GFF_annotation,243762
SC_RS03195,SCO0255,,NC_003888.3,243936,245759,-,245759,,GFF_annotation,245759
SC_RS03200,SCO0256,,NC_003888.3,245986,246783,+,245986,,GFF_annotation,245986
SC_RS03205,SCO0257,,NC_003888.3,246868,247869,+,246868,,GFF_annotation,246868
SC_RS03210,SCO0258,,NC_003888.3,247871,248680,+,247871,,GFF_annotation,247871
SC_RS03215,SCO0259,,NC_003888.3,248677,249702,+,248677,,GFF_annotation,248677
SC_RS03220,SCO0260,,NC_003888.3,249755,250084,+,249755,249635.0,Jeong2016_dRNA-seq,249635
SC_RS03225,SCO0261,,NC_003888.3,250164,250691,-,250691,,GFF_annotation,250691
SC_RS03230,SCO0262,,NC_003888.3,250805,251740,+,250805,250805.0,Jeong2016_dRNA-seq,250805
SC_RS03235,SCO0263,,NC_003888.3,251764,252879,-,252879,252917.0,Jeong2016_dRNA-seq,252917
SC_RS03240,SCO0264,,NC_003888.3,252946,253398,+,252946,252920.0,Jeong2016_dRNA-seq,252920
SC_RS03245,SCO0265,,NC_003888.3,253499,254290,+,253499,253474.0,Jeong2016_dRNA-seq,253474
SC_RS03250,SCO0266,,NC_003888.3,254332,255198,-,255198,,GFF_annotation,255198
SC_RS03255,SCO0267,,NC_003888.3,255311,256087,+,255311,,GFF_annotation,255311
SC_RS03260,SCO0268,lanA,NC_003888.3,256281,256442,+,256281,,GFF_annotation,256281
SC_RS03265,SCO0269,,NC_003888.3,256526,259687,+,256526,,GFF_annotation,256526
SC_RS03270,SCO0270,,NC_003888.3,259684,261084,+,259684,,GFF_annotation,259684
SC_RS03275,SCO0271,,NC_003888.3,261366,262319,+,261366,,GFF_annotation,261366
SC_RS03280,SCO0272,,NC_003888.3,262330,263220,+,262330,,GFF_annotation,262330
SC_RS03285,SCO0273,,NC_003888.3,263285,264634,+,263285,,GFF_annotation,263285
SC_RS03290,SCO0274,,NC_003888.3,264764,266263,+,264764,,GFF_annotation,264764
SC_RS03295,SCO0275,,NC_003888.3,266356,267513,+,266356,,GFF_annotation,266356
SC_RS03300,SCO0276,,NC_003888.3,267585,268838,+,267585,,GFF_annotation,267585
SC_RS03305,SCO0277,,NC_003888.3,269020,269688,-,269688,269688.0,Jeong2016_dRNA-seq,269688
SC_RS03310,SCO0278,,NC_003888.3,269783,270397,+,269783,269783.0,Jeong2016_dRNA-seq,269783
SC_RS03315,SCO0279,,NC_003888.3,270444,271748,+,270444,,GFF_annotation,270444
SC_RS03320,SCO0280,,NC_003888.3,271768,272469,-,272469,,GFF_annotation,272469
SC_RS03325,SCO0281,,NC_003888.3,272466,272849,-,272849,,GFF_annotation,272849
SC_RS03330,SCO0282,,NC_003888.3,272898,273656,+,272898,272835.0,Jeong2016_dRNA-seq,272835
SC_RS03335,SCO0283,,NC_003888.3,274101,274535,-,274535,,GFF_annotation,274535
SC_RS03340,SCO0284,,NC_003888.3,274763,276805,+,274763,,GFF_annotation,274763
SC_RS03345,SCO0285,,NC_003888.3,276953,278827,+,276953,,GFF_annotation,276953
SC_RS03350,SCO0286,,NC_003888.3,278910,279416,-,279416,,GFF_annotation,279416
SC_RS03355,SCO0287,,NC_003888.3,279691,280695,+,279691,279597.0,Jeong2016_dRNA-seq,279597
SC_RS03360,SCO0288,,NC_003888.3,280692,281132,-,281132,,GFF_annotation,281132
SC_RS03365,SCO0289,,NC_003888.3,281129,282157,-,282157,,GFF_annotation,282157
SC_RS03370,SCO0290,,NC_003888.3,282491,283801,+,282491,,GFF_annotation,282491
SC_RS03375,SCO0291,,NC_003888.3,283798,284700,+,283798,,GFF_annotation,283798
SC_RS03380,SCO0292,,NC_003888.3,284702,285598,+,284702,,GFF_annotation,284702
SC_RS03385,SCO0293,,NC_003888.3,285714,288104,+,285714,,GFF_annotation,285714
SC_RS03390,SCO0294,,NC_003888.3,288187,288840,-,288840,,GFF_annotation,288840
SC_RS03395,SCO0295,,NC_003888.3,288987,290456,-,290456,,GFF_annotation,290456
SC_RS03400,SCO0296,,NC_003888.3,290584,291165,+,290584,,GFF_annotation,290584
SC_RS03405,SCO0297,,NC_003888.3,291315,292592,+,291315,,GFF_annotation,291315
SC_RS03410,SCO0298,,NC_003888.3,292656,293519,-,293519,293519.0,Jeong2016_dRNA-seq,293519
SC_RS03415,SCO0299,,NC_003888.3,293613,294497,+,293613,,GFF_annotation,293613
SC_RS03420,SCO0300,,NC_003888.3,294494,296305,-,296305,296397.0,Jeong2016_dRNA-seq,296397
SC_RS03425,SCO0301,,NC_003888.3,296477,297499,+,296477,,GFF_annotation,296477
SC_RS03430,SCO0302,,NC_003888.3,297515,298108,-,298108,,GFF_annotation,298108
SC_RS03435,SCO0304,,NC_003888.3,298468,298836,-,298836,,GFF_annotation,298836
SC_RS03440,SCO0305,,NC_003888.3,299213,302092,+,299213,298790.0,Jeong2016_dRNA-seq,298790
SC_RS03445,SCO0306,,NC_003888.3,302053,303030,-,303030,,GFF_annotation,303030
SC_RS03450,SCO0307,,NC_003888.3,303084,303971,+,303084,,GFF_annotation,303084
SC_RS03455,SCO0308,,NC_003888.3,304074,305429,+,304074,,GFF_annotation,304074
SC_RS03460,SCO0309,,NC_003888.3,305537,306721,-,306721,,GFF_annotation,306721
SC_RS03465,SCO0310,,NC_003888.3,306816,307460,-,307460,307492.0,Jeong2016_dRNA-seq,307492
SC_RS03470,SCO0311,,NC_003888.3,307575,309131,+,307575,,GFF_annotation,307575
SC_RS03475,SCO0312,,NC_003888.3,309147,310316,+,309147,,GFF_annotation,309147
SC_RS03480,SCO0313,,NC_003888.3,310378,311727,+,310378,,GFF_annotation,310378
SC_RS03485,SCO0314,,NC_003888.3,311724,313670,+,311724,,GFF_annotation,311724
SC_RS03490,SCO0315,,NC_003888.3,313697,315055,-,315055,,GFF_annotation,315055
SC_RS03495,SCO0316,,NC_003888.3,315254,316921,-,316921,,GFF_annotation,316921
SC_RS03500,SCO0317,,NC_003888.3,316975,318237,-,318237,,GFF_annotation,318237
SC_RS03505,SCO0318,,NC_003888.3,318329,319288,-,319288,,GFF_annotation,319288
SC_RS03515,SCO0320,,NC_003888.3,320113,320583,+,320113,,GFF_annotation,320113
SC_RS03520,SCO0321,,NC_003888.3,320720,322255,+,320720,,GFF_annotation,320720
SC_RS03525,SCO0322,,NC_003888.3,322244,323938,-,323938,,GFF_annotation,323938
SC_RS03530,,,NC_003888.3,324330,324617,+,324330,,GFF_annotation,324330
SC_RS03540,SCO0324,,NC_003888.3,325238,327616,-,327616,,GFF_annotation,327616
SC_RS03545,SCO0325,,NC_003888.3,327944,328264,+,327944,,GFF_annotation,327944
SC_RS03550,SCO0326,,NC_003888.3,328333,329301,+,328333,328297.0,Jeong2016_dRNA-seq,328297
SC_RS03555,SCO0328,,NC_003888.3,329342,330174,+,329342,,GFF_annotation,329342
SC_RS03560,SCO0329,,NC_003888.3,330235,331365,+,330235,330179.0,Jeong2016_dRNA-seq,330179
SC_RS03565,SCO0330,,NC_003888.3,331504,332253,+,331504,,GFF_annotation,331504
SC_RS03570,SCO0331,,NC_003888.3,332311,333210,+,332311,,GFF_annotation,332311
SC_RS03575,SCO0332,,NC_003888.3,333529,334149,+,333529,,GFF_annotation,333529
SC_RS03580,SCO0333,,NC_003888.3,334223,335734,-,335734,,GFF_annotation,335734
SC_RS03585,SCO0334,,NC_003888.3,335948,336292,+,335948,,GFF_annotation,335948
SC_RS03590,SCO0335,,NC_003888.3,336333,339467,+,336333,,GFF_annotation,336333
SC_RS03595,SCO0336,,NC_003888.3,339521,340630,-,340630,340697.0,Jeong2016_dRNA-seq,340697
SC_RS03600,SCO0337,,NC_003888.3,340752,341318,+,340752,340752.0,Jeong2016_dRNA-seq,340752
SC_RS03605,SCO0338,,NC_003888.3,341370,341909,-,341909,,GFF_annotation,341909
SC_RS03610,SCO0339,,NC_003888.3,341803,342561,+,341803,,GFF_annotation,341803
SC_RS03615,SCO0340,,NC_003888.3,342578,343156,-,343156,,GFF_annotation,343156
SC_RS03620,SCO0341,,NC_003888.3,343234,345663,-,345663,,GFF_annotation,345663
SC_RS03625,SCO0342,,NC_003888.3,345817,347706,-,347706,,GFF_annotation,347706
SC_RS03630,SCO0344,,NC_003888.3,348206,349381,+,348206,,GFF_annotation,348206
SC_RS03635,SCO0345,,NC_003888.3,349419,350201,-,350201,,GFF_annotation,350201
SC_RS03640,SCO0346,,NC_003888.3,350474,351352,+,350474,,GFF_annotation,350474
