tss_id,tss_position,strand,abundance,category,sco_gene,reference,gene_id
TSS-0146,624279,+,4,P,SCO0582,,SC_RS04835
TSS-0147,625099,+,11,P,SCO0583,,SC_RS04840
TSS-0148,631018,-,73,P,SCO0588,,SC_RS04865
TSS-0149,632103,-,3,P,SCO0589,,SC_RS04870
TSS-0150,634777,-,36,P,SCO0592,,SC_RS04885
TSS-0151,636541,+,28,P,SCO0595,,SC_RS04900
TSS-0152,637316,+,5,P,SCO0596,,SC_RS04905
TSS-0153,638374,-,2,P,SCO0597,,SC_RS04910
TSS-0154,638394,+,11,P,SCO0598,Romero et al.,SC_RS04915
TSS-0155,639810,+,14,P,SCO0600,,SC_RS04925
TSS-0156,646242,-,9,N,,,
TSS-0157,647816,+,28,P,SCO0608,,SC_RS04965
TSS-0158,662382,+,67,P,SCO0622,,SC_RS05030
TSS-0159,669652,+,3,A,SCO0627,Romero et al.,SC_RS05055
TSS-0160,673580,-,152,P,SCO0631,Romero et al.,
TSS-0161,676128,+,2,P,SCO0635,,SC_RS05095
TSS-0162,677033,+,236,P,SCO0636,Romero et al.,SC_RS05100
TSS-0163,681854,-,3,S,SCO0640,,SC_RS05120
TSS-0164,681905,+,109,P,SCO0641,Vockenhuber et al. and Romero et al.,SC_RS05125
TSS-0165,681910,-,2,P,SCO0640,,SC_RS05120
TSS-0166,687488,-,4,P,SCO0644,,SC_RS05140
TSS-0167,711660,-,11,P,SCO0671,Romero et al.,SC_RS05275
TSS-0168,712688,-,13,P,SCO0673,,SC_RS05285
TSS-0169,717150,+,224,P,SCO0676,Romero et al.,SC_RS05300
TSS-0170,720095,+,2,P,SCO0677,,SC_RS05305
TSS-0171,721194,-,5,P,SCO0678,Romero et al.,SC_RS05310
TSS-0172,723121,-,4,P,SCO0680,,SC_RS05320
TSS-0173,723146,+,50,P,SCO0681,,SC_RS05325
TSS-0174,726846,-,12,P,SCO0685,Vockenhuber et al. and Romero et al.,SC_RS05345
TSS-0175,726936,+,4,P,SCO0686,,SC_RS05350
TSS-0176,736229,+,5,P,SCO0694,,SC_RS05390
TSS-0177,737782,-,12,N,,,
TSS-0178,739795,-,3,P,SCO0698,,SC_RS05415
TSS-0179,743453,-,4,P,SCO0702,Romero et al.,SC_RS05435
TSS-0180,743467,+,21176,P,SCO0703,Romero et al.,SC_RS05440
TSS-0181,743902,+,170,P,SCO0704,Romero et al.,
TSS-0182,745801,-,720,P,SCO0705,,SC_RS05450
TSS-0183,756443,+,12,A,SCO0713,,SC_RS05490
TSS-0184,761626,+,5,P,SCO0718,,SC_RS05515
TSS-0185,767331,-,2,P,SCO0722,,SC_RS05535
TSS-0186,768309,-,2,N,,,
TSS-0187,768417,+,5,P,SCO0724,Romero et al.,SC_RS05550
TSS-0188,770623,-,9,P,SCO0726,,SC_RS05560
TSS-0189,771521,-,3,P,SCO0727,,SC_RS05565
TSS-0190,773381,-,147,P,SCO0730,Romero et al.,SC_RS05580
TSS-0191,776376,-,3692,P,SCO0733,Romero et al.,SC_RS05595
TSS-0192,779890,-,24,P,SCO0736,Romero et al.,SC_RS05610
TSS-0193,780863,+,7,P,SCO0738,,SC_RS05620
TSS-0194,789837,-,62,P,SCO0747,Romero et al.,SC_RS05665
TSS-0195,789915,+,8,P,SCO0748,,SC_RS05670
TSS-0196,796462,+,22,P,SCO0753,,SC_RS05695
TSS-0197,804722,-,3,A,SCO0759,,SC_RS05725
TSS-0198,806670,-,80,P,SCO0762,Romero et al.,SC_RS05740
TSS-0199,806741,+,18,P,SCO0763,Romero et al.,SC_RS05745
TSS-0200,806933,+,17,S,SCO0763,,SC_RS05745
TSS-0201,809987,-,657,P,SCO0764,Romero et al.,SC_RS05750
TSS-0202,810312,+,5,A,SCO0765,,SC_RS05755
TSS-0203,815887,+,3,P,SCO0767,Romero et al.,SC_RS05765
TSS-0204,816294,-,6,A,SCO0767,,SC_RS05765
TSS-0205,820151,-,12,P,SCO0769,,SC_RS05775
TSS-0206,823332,-,20,P,SCO0774,,SC_RS05800
TSS-0207,823562,+,5,P,SCO0775,,SC_RS05805
TSS-0208,827134,-,32,P,SCO0779,,SC_RS05825
TSS-0209,829802,+,5,P,SCO0783,,SC_RS05845
TSS-0210,829924,-,7,P,SCO0782,,SC_RS05840
TSS-0211,838746,+,25,P,SCO0792,Romero et al.,SC_RS05890
TSS-0212,841835,+,24,P,SCO0795,,SC_RS05905
TSS-0213,843749,+,6,P,SCO0797,Romero et al.,SC_RS05915
TSS-0214,846842,-,16,P,SCO0799,,SC_RS05925
TSS-0215,850042,-,5,P,SCO0802,Romero et al.,SC_RS05940
TSS-0216,854804,+,4,A,SCO0808,,SC_RS05970
TSS-0217,870363,-,11,P,SCO0820,Romero et al.,SC_RS06030
TSS-0218,883005,-,10,P,SCO0834,,SC_RS06100
TSS-0219,884961,-,40,P,SCO0836,,SC_RS06110
TSS-0220,892441,-,5,I,SCO0843,,SC_RS06145
TSS-0221,892997,-,22,P,SCO0844,Romero et al.,SC_RS06150
TSS-0222,893283,-,14,P,SCO0845,,SC_RS06155
TSS-0223,893357,+,26,P,SCO0846,,SC_RS06160
TSS-0224,895819,-,3,P,SCO0848,,SC_RS06170
TSS-0225,899035,+,9,P,SCO0853,,SC_RS06195
TSS-0226,899420,+,12,P,SCO0854,Romero et al.,SC_RS06200
TSS-0227,905377,-,32,P,SCO0858,,SC_RS06220
TSS-0228,910972,-,23,P,SCO0863,,SC_RS06245
TSS-0229,912865,-,4,P,SCO0865,,SC_RS06255
TSS-0230,914475,-,41,P,SCO0867,,SC_RS06265
TSS-0231,914615,+,16,N,,,
TSS-0232,919722,-,210,P,SCO0872,Romero et al.,SC_RS06290
TSS-0233,922247,+,7,P,SCO0877,,SC_RS06310
TSS-0234,928506,-,7,P,SCO0881,,SC_RS06340
TSS-0235,929049,+,2,P,SCO0883,,SC_RS06350
TSS-0236,931212,-,22,P,SCO0884,,SC_RS06355
TSS-0237,931266,+,7,P,SCO0885,,SC_RS06360
TSS-0238,933635,+,165,P,SCO0888,,SC_RS06375
TSS-0239,950366,-,17,P,SCO0902,Romero et al.,SC_RS06455
TSS-0240,954502,+,3,P,SCO0910,,SC_RS06500
TSS-0241,971296,-,282,P,SCO0924,,SC_RS06570
TSS-0242,976796,+,16,A,SCO0929,,SC_RS06595
TSS-0243,977298,-,14,P,SCO0929,,SC_RS06595
TSS-0244,978498,-,3,P,SCO0930,,SC_RS06600
TSS-0245,978713,+,17,P,SCO0931,,SC_RS06605
TSS-0246,983389,+,13,P,SCO0937,,SC_RS06635
TSS-0247,986189,-,5,P,SCO0939,,SC_RS06645
TSS-0248,988617,+,21,P,SCO0943,,SC_RS06665
TSS-0249,988755,+,12,S,SCO0943,Romero et al.,SC_RS06665
TSS-0250,991112,-,9,P,SCO0945,Romero et al.,SC_RS06675
TSS-0251,993243,-,20,P,SCO0946,Romero et al.,SC_RS06680
TSS-0252,1004478,-,3,P,SCO0954,,SC_RS06725
TSS-0253,1004911,-,34,P,SCO0955,,SC_RS06730
TSS-0254,1006810,+,3,A,SCO0957,,SC_RS06740
TSS-0255,1007260,-,4,P,SCO0957,,SC_RS06740
TSS-0256,1008696,-,5,P,SCO0958,Romero et al.,SC_RS06745
TSS-0257,1008746,+,4,N,,Romero et al.,
TSS-0258,1016490,-,4,P,SCO0962,,SC_RS06765
TSS-0259,1022961,-,7,P,SCO0970,,SC_RS06805
TSS-0260,1023032,+,43,P,SCO0971,Romero et al.,SC_RS06810
TSS-0261,1024446,+,14,P,SCO0973,Vockenhuber et al. and Romero et al.,SC_RS06820
TSS-0262,1030856,-,111,P,SCO0978,,SC_RS06845
TSS-0263,1037861,+,11,P,SCO0985,Romero et al.,SC_RS06885
TSS-0264,1039954,-,9,A,SCO0985,,SC_RS06885
TSS-0265,1043333,-,5,A,SCO0988,Romero et al.,SC_RS06900
TSS-0266,1043351,+,4,P,SCO0988,Romero et al.,SC_RS06900
TSS-0267,1044600,-,182,P,SCO0989,Romero et al.,SC_RS06905
TSS-0268,1044619,+,9,N,,,
TSS-0269,1045891,+,100,P,SCO0991,Romero et al.,SC_RS06915
TSS-0270,1051419,+,77,P,SCO0996,,SC_RS06940
TSS-0271,1055437,-,1441,P,SCO0999,Romero et al.,SC_RS06955
TSS-0272,1056841,+,4,A,SCO1000,,SC_RS06960
TSS-0273,1057183,-,8,S,SCO1000,Romero et al.,SC_RS06960
TSS-0274,1057350,-,13,P,SCO1000,,SC_RS06960
TSS-0275,1058543,+,5,I,SCO1003,Romero et al.,SC_RS06975
TSS-0276,1061553,-,2,P,SCO1006,,
TSS-0277,1062550,+,2,A,SCO1007,Romero et al.,SC_RS06995
TSS-0278,1063165,+,3,P,SCO1008,Romero et al.,SC_RS07000
TSS-0279,1069614,-,4,P,SCO1013,,SC_RS07025
TSS-0280,1069912,+,5,A,SCO1014,,SC_RS07030
TSS-0281,1073219,-,3,P,SCO1017,Romero et al.,SC_RS07040
TSS-0282,1074084,-,193,P,SCO1018,Romero et al.,SC_RS07045
TSS-0283,1074142,+,4,P,SCO1019,Romero et al.,SC_RS07050
TSS-0284,1076997,-,9,P,SCO1020,,SC_RS07055
TSS-0285,1077501,+,684,P,SCO1022,,SC_RS07065
TSS-0286,1078484,+,53,P,SCO1023,Romero et al.,SC_RS07070
TSS-0287,1079141,+,2,P,SCO1024,,SC_RS07075
TSS-0288,1084179,-,11,P,SCO1025,,SC_RS07080
TSS-0289,1084307,+,56,P,SCO1026,,SC_RS07085
TSS-0290,1087230,+,10,P,SCO1029,,
TSS-0291,1087637,+,13,P,SCO1030,Romero et al.,SC_RS07105
TSS-0292,1087841,-,34,A,SCO1030,,SC_RS07105
TSS-0293,1087921,-,30,A,SCO1030,,SC_RS07105
TSS-0294,1092334,+,8,P,SCO1034,Romero et al.,SC_RS07125
TSS-0295,1094860,+,31,P,SCO1038,,SC_RS07145
TSS-0296,1100826,-,5,P,SCO1044,,SC_RS07175
TSS-0297,1105000,-,2,P,SCO1048,,SC_RS07195
TSS-0298,1115434,-,14,A,SCO1057,,SC_RS07240
TSS-0299,1119114,-,6,P,SCO1060,Romero et al.,SC_RS07255
TSS-0300,1123761,+,18,A,SCO1063,,SC_RS07270
TSS-0301,1127668,+,5,P,SCO1067,,SC_RS07290
TSS-0302,1130108,-,10,P,SCO1069,,SC_RS07300
TSS-0303,1134106,+,24,P,SCO1074,,SC_RS07325
TSS-0304,1134121,-,94,P,SCO1073,Romero et al.,SC_RS07320
TSS-0305,1136712,-,2,P,SCO1075,,SC_RS07330
TSS-0306,1138198,-,13,P,SCO1077,,SC_RS07340
TSS-0307,1141642,-,2,P,SCO1080,,SC_RS07355
TSS-0308,1142851,-,2,P,SCO1081,,SC_RS07360
TSS-0309,1143606,-,70,S,SCO1082,Romero et al.,SC_RS07365
TSS-0310,1143673,-,234,P,SCO1082,,SC_RS07365
TSS-0311,1144997,+,97,P,SCO1085,Romero et al.,SC_RS07380
TSS-0312,1145009,+,45,S,SCO1085,,SC_RS07380
TSS-0313,1146399,-,21,P,SCO1086,,SC_RS07385
TSS-0314,1147712,-,2,P,SCO1087,Romero et al.,SC_RS07390
TSS-0315,1149801,-,13,P,SCO1089,,SC_RS07400
TSS-0316,1152798,+,3,P,SCO1094,Vockenhuber et al.,SC_RS07425
TSS-0317,1153370,-,4,A,SCO1094,,SC_RS07425
TSS-0318,1154858,-,10,A,SCO1097,,SC_RS07435
TSS-0319,1156424,-,2,P,SCO1098,,SC_RS07440
TSS-0320,1160123,+,3,P,SCO1102,,SC_RS07460
TSS-0321,1163965,+,9,P,SCO1106,,SC_RS07480
TSS-0322,1168779,-,2,P,SCO1111,,SC_RS07505
TSS-0323,1170662,+,13,P,SCO1113,Romero et al.,SC_RS07515
TSS-0324,1171863,+,88,P,SCO1114,,SC_RS07520
TSS-0325,1177673,-,8,P,SCO1118,,SC_RS07540
TSS-0326,1177741,+,21,P,SCO1119,,SC_RS07545
TSS-0327,1179063,+,4,P,SCO1121,,SC_RS07555
TSS-0328,1180792,-,36,P,SCO1122,Romero et al.,SC_RS07560
TSS-0329,1180851,+,62,P,SCO1123,Romero et al.,SC_RS07565
TSS-0330,1193304,+,10,P,SCO1135,Romero et al.,SC_RS07625
TSS-0331,1193325,-,10,P,SCO1134,,SC_RS07620
TSS-0332,1196757,-,5,P,SCO1137,,SC_RS07635
TSS-0333,1204390,-,10,P,SCO1144,,SC_RS07670
TSS-0334,1204428,+,8,P,SCO1145,,SC_RS07675
TSS-0335,1205837,+,7,P,SCO1147,,SC_RS07685
TSS-0336,1208713,-,36,A,SCO1148,,SC_RS07690
TSS-0337,1209660,+,6,P,SCO1149,Romero et al.,SC_RS07695
TSS-0338,1211477,-,8,P,SCO1151,,SC_RS07705
TSS-0339,1211555,+,6,P,SCO1152,,SC_RS07710
TSS-0340,1216584,+,13,P,SCO1156,,SC_RS07730
TSS-0341,1224157,-,86,P,SCO1163,Romero et al.,SC_RS07765
TSS-0342,1224219,+,4,P,SCO1164,,SC_RS07770
TSS-0343,1225870,-,2,P,SCO1166,Romero et al.,
TSS-0344,1231546,-,7,P,SCO1169,,SC_RS07795
TSS-0345,1234674,+,29,P,SCO1172,,SC_RS07810
TSS-0346,1235112,-,8,A,SCO1172,,SC_RS07810
TSS-0347,1235338,-,3,A,SCO1172,,SC_RS07810
TSS-0348,1238060,-,110,A,SCO1174,,SC_RS07820
TSS-0349,1242783,-,10,P,SCO1178,,SC_RS07845
TSS-0350,1244890,+,5,P,SCO1181,,SC_RS07860
TSS-0351,1262121,+,30,P,SCO1189,,SC_RS07900
TSS-0352,1264654,-,3,P,SCO1191,,SC_RS07910
TSS-0353,1272566,-,22,P,SCO1200,Romero et al.,SC_RS07955
TSS-0354,1277241,+,29,P,SCO1205,Romero et al.,SC_RS07980
TSS-0355,1281832,-,3,P,SCO1209,,SC_RS08000
TSS-0356,1281851,+,19,P,SCO1210,,SC_RS08005
TSS-0357,1283145,+,71,P,SCO1212,,SC_RS08015
TSS-0358,1283231,+,47,S,SCO1212,Vockenhuber et al. and Romero et al.,SC_RS08015
TSS-0359,1285400,+,30,P,SCO1214,Romero et al.,SC_RS08025
TSS-0360,1286625,+,2,S,SCO1215,Vockenhuber et al. and Romero et al.,SC_RS08030
TSS-0361,1286663,+,11,P,SCO1215,,SC_RS08030
TSS-0362,1287646,+,10,P,SCO1216,Romero et al.,SC_RS08035
TSS-0363,1292117,-,5,S,SCO1220,,SC_RS08055
TSS-0364,1292172,-,9,P,SCO1220,,SC_RS08055
TSS-0365,1292195,+,4,P,SCO1221,,SC_RS08060
TSS-0366,1295438,-,8,P,SCO1224,,SC_RS08075
TSS-0367,1302237,+,3,P,SCO1228,,SC_RS08095
TSS-0368,1305844,-,3,P,SCO1230,Romero et al.,SC_RS08105
TSS-0369,1310656,-,4,P,SCO1236,,SC_RS08135
TSS-0370,1313719,-,71,P,SCO1241,Romero et al.,SC_RS08160
TSS-0371,1313737,+,15,P,SCO1242,,SC_RS08165
TSS-0372,1316114,-,10,P,SCO1243,,SC_RS08175
TSS-0373,1316289,+,27,P,SCO1244,,SC_RS08180
TSS-0374,1319859,+,5,P,SCO1247,Romero et al.,SC_RS08195
TSS-0375,1321207,-,21,P,SCO1249,Romero et al.,SC_RS08205
TSS-0376,1321315,+,3,P,SCO1250,,SC_RS08210
TSS-0377,1324333,+,3,P,SCO1253,,SC_RS08225
TSS-0378,1328895,+,3,A,SCO1258,Romero et al.,SC_RS08250
TSS-0379,1331650,+,14,P,SCO1261,,SC_RS08265
TSS-0380,1333703,-,8,P,SCO1262,Romero et al.,SC_RS08270
TSS-0381,1339372,-,7,P,SCO1268,,SC_RS08300
TSS-0382,1359669,+,15,P,SCO1289,,SC_RS08405
TSS-0383,1363305,-,11,A,SCO1291,,SC_RS08415
TSS-0384,1367543,+,60,P,SCO1293,Romero et al.,SC_RS08425
TSS-0385,1370221,+,4,P,SCO1295,,SC_RS08435
TSS-0386,1370791,+,41,P,SCO1296,,SC_RS08440
TSS-0387,1373469,-,12,P,SCO1297,,SC_RS08450
TSS-0388,1378820,-,18,P,SCO1301,,SC_RS08470
TSS-0389,1379752,-,7,P,SCO1302,Romero et al.,SC_RS08475
TSS-0390,1385216,+,7,P,SCO1308,,SC_RS08505
TSS-0391,1385349,-,62,P,SCO1307,Vockenhuber et al. and Romero et al.,SC_RS08500
TSS-0392,1385454,+,4,S,SCO1308,,SC_RS08505
TSS-0393,1387084,+,10,P,SCO1310,,SC_RS08515
TSS-0394,1391345,+,19,P,SCO1315,,SC_RS08540
TSS-0395,1392662,-,6,P,SCO1316,,SC_RS08545
TSS-0396,1393143,-,44,P,SCO1317,,SC_RS08550
TSS-0397,1393213,+,8,P,SCO1318,,SC_RS08555
TSS-0398,1394273,+,866,P,SCO1319,Romero et al.,SC_RS08560
TSS-0399,1396164,-,6,P,SCO1320,,SC_RS08565
TSS-0400,1398366,+,38,P,SCO1323,,SC_RS08580
TSS-0401,1401111,+,11,P,SCO1326,,SC_RS08595
TSS-0402,1402531,+,5,P,SCO1327,,SC_RS08600
TSS-0403,1404380,+,5,A,SCO1328,Romero et al.,SC_RS08605
TSS-0404,1406038,+,32,P,SCO1331,,SC_RS08620
TSS-0405,1409911,+,13,P,SCO1333,,SC_RS08630
TSS-0406,1411345,-,9,N,,,
TSS-0407,1411647,+,36,P,SCO1334,Romero et al.,SC_RS08635
TSS-0408,1415222,-,39,P,SCO1337,,SC_RS08650
TSS-0409,1417147,+,34,P,SCO1340,,SC_RS08665
TSS-0410,1419712,-,5,P,SCO1343,,SC_RS08680
TSS-0411,1425431,-,5,P,SCO1349,,SC_RS08710
TSS-0412,1436223,-,3,P,SCO1358,,SC_RS08755
TSS-0413,1439097,-,4,P,SCO1360,,SC_RS08765
TSS-0414,1442748,-,14,P,SCO1364,Romero et al.,SC_RS08785
TSS-0415,1442946,+,6,P,SCO1365,Romero et al.,SC_RS08790
TSS-0416,1443454,-,10,I,SCO1366,,SC_RS08795
TSS-0417,1443944,-,11,P,SCO1366,Romero et al.,SC_RS08795
TSS-0418,1447950,+,3,P,SCO1371,,SC_RS08820
TSS-0419,1451347,+,10,P,SCO1374,Romero et al.,SC_RS08835
TSS-0420,1451440,-,5,P,SCO1373,,SC_RS08830
TSS-0421,1451590,+,2,S,SCO1374,Romero et al.,SC_RS08835
TSS-0422,1452497,+,696,P,SCO1375,Romero et al.,SC_RS08840
